id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7,dataset
chunks_001_multihop_005,Khóa 69 được áp dụng bảng quy đổi mới ra sao?,multi_hop,medium,Tổng hợp từ nhiều quy định liên quan.,"2180d883-8170-47b1-90dd-93486eb258d4,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8","Đối với sinh viên khóa 69, việc áp dụng bảng quy đổi chứng chỉ ngoại ngữ được thực hiện theo các quy định sau:

**1. Quy đổi chứng chỉ tiếng Anh:**
*   Việc quy đổi dựa trên bảng quy đổi tương đương các chứng chỉ tiếng Anh (áp dụng cho các chứng chỉ như TOEIC, TOEFL, IELTS, VSTEP, APTIS, Cambridge).
*   Đối với chứng chỉ TOEIC 4 kỹ năng: Quy đổi tương đương sang các chứng chỉ khác dựa theo kỹ năng đạt điểm thấp nhất.
*   Đối với chứng chỉ TOEIC 2 kỹ năng: Chỉ được công nhận để xét điều kiện chuẩn ngoại ngữ theo số lượng tín chỉ tích lũy. Chứng chỉ này **không** được công nhận để xét nhận Đồ án/Khóa luận tốt nghiệp và **không** được công nhận để xét tốt nghiệp.

**2. Quy đổi chứng chỉ tiếng Đức (đối với các chương trình đào tạo ngoại ngữ chính là tiếng Đức):**
*   Việc quy đổi dựa trên Bảng 8.3 (quy đổi giữa Goethe-Zertifikat, TestDaF, DSD và TELC/ÖSD/HUSTGC).

**3. Quy đổi chứng chỉ tiếng Pháp (đối với chương trình PFIEV và Công nghệ thông tin Việt-Pháp):**
*   Việc quy đổi dựa trên Bảng 7.4 (quy đổi giữa chứng chỉ DELF và TCF).
*   Lưu ý: Chứng chỉ DELF được công nhận vô thời hạn, trong khi chứng chỉ TCF chỉ được công nhận trong vòng 2 năm kể từ ngày cấp.

**Lưu ý chung:**
*   Các trường hợp quy đổi tương đương khác sẽ do Ban Đào tạo đề xuất và trình Giám đốc Đại học quyết định.
*   Đối với chương trình PFIEV, từ khóa K69, học phần FL1401 được đổi mã và tên thành FL1801 Tiếng Pháp PFIEV 1.","d9c14b9d-4f8a-45c2-9ce4-ae44b76ae04f,4381b1f7-7822-4280-a6bd-5a3f12fba388,93f2b653-77fc-4856-8c6a-0f6fdf646df6,8850a91a-52cb-4c1d-9502-1e83308190f1,9f45fd1d-ebee-46fc-89c1-3200f94298c5,10b088e2-f3f3-411b-a65e-172dee1fe649,d0bb93e3-caa7-495f-b7ac-3450a112fc23",rag_v2,rag,7,21209.79,False,good,hallucinated,partial,"Trợ lý đã đưa vào nhiều thông tin không có trong ngữ cảnh được cung cấp (như quy định về TOEIC 2 kỹ năng, quy đổi tiếng Pháp, thông tin về chứng chỉ DELF/TCF, và thay đổi mã học phần PFIEV). Mặc dù các thông tin này có thể đúng trong thực tế, nhưng theo quy tắc nghiêm ngặt về tính trung thực (faithfulness), trợ lý không được phép bịa đặt hoặc đưa thêm thông tin ngoài ngữ cảnh.",incorrect,"The reference answer states that the information is synthesized from multiple regulations, while the generated answer provides specific, detailed (and potentially unverifiable or hallucinated) rules that are not present in the reference.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06_Quy_dinh_ngoai_ngu_chunks
QD_to_chuc_day_hoc_truc_tuyen_BLearning_multi_hop_028,Giảng viên muốn tham gia triển khai B-Learning cần đáp ứng những yêu cầu gì so với giảng dạy trực tiếp thông thường?,multi_hop,medium,"Ngoài yêu cầu cơ bản như giảng trực tiếp, cần: (1) sử dụng thành thạo các chức năng cơ bản và nâng cao của LMS; (2) có đề cương học phần phân định rõ nội dung trực tiếp và LMS; (3) bài giảng điện tử đã được phê duyệt theo yêu cầu Phụ lục 1; (4) có học liệu số bổ trợ.","29e39d41-8258-4b90-a89b-65a96c8d4a60,5de4ef9c-bd9e-467a-80fe-356dd0948e2b","Để triển khai giảng dạy theo hình thức B-Learning, ngoài các yêu cầu cơ bản đối với giảng viên tương tự như giảng dạy trực tiếp, giảng viên cần đáp ứng các yêu cầu sau:

*   **Kỹ năng sử dụng LMS:** Sử dụng thành thạo các chức năng cơ bản của hệ thống LMS; sử dụng được các chức năng nâng cao về quản lý khóa học, giải đáp/thảo luận và kiểm tra đánh giá người học.
*   **Xây dựng đề cương học phần:** Đề cương phải đảm bảo mối liên kết chặt chẽ giữa nội dung giảng dạy trực tiếp và nội dung bài giảng điện tử trên LMS. Kế hoạch, lịch trình giảng dạy phải phân định rõ nội dung, thời lượng của các tiết học trực tiếp và truyền phát trên LMS, gắn kết với cách thức kiểm tra, đánh giá người học.
*   **Yêu cầu về bài giảng:** Bài giảng B-Learning phải đáp ứng các quy định về kỹ thuật, thời lượng và thiết kế nội dung (chi tiết tại Phụ lục 1) và phải được phê duyệt trước khi triển khai.
*   **Học liệu số:** Cần có học liệu số bổ trợ ngoài bài giảng B-Learning (như tài liệu PDF, PPT hoặc các hình thức khác) để hỗ trợ người học tự nghiên cứu.
*   **Quy trình đăng ký và thẩm định:** Giảng viên cần thực hiện đăng ký học phần, hoàn thiện đề cương để Hội đồng chuyên môn thẩm định và xây dựng bài giảng theo đúng quy trình quy định tại Phụ lục 2.
*   **Xác nhận triển khai:** Khi được phân công giảng dạy học phần thuộc danh mục triển khai B-Learning, giảng viên cần thực hiện xác nhận qua phần mềm nghiệp vụ.
*   **Cập nhật học liệu:** Chậm nhất 01 tuần trước khi bắt đầu học kỳ, giảng viên phải hoàn thành việc chỉnh sửa, cập nhật học liệu và sắp xếp lịch trình học tập từng tuần theo đề cương học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,206ba038-5e6c-428d-b412-20d635078b52,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,e8caf465-7fc9-4fcb-b28d-1116e70d5b5c,f349778a-67bf-4a65-be8a-fd0379cc2e40,69a4a819-6544-4525-b4be-2a2da9691a94,d7561386-99af-4a6b-a63b-c8be34f13c6b",rag_v2,rag,7,14754.97,False,good,hallucinated,complete,"Câu trả lời chứa các thông tin không có trong ngữ cảnh cung cấp như: quy trình đăng ký và thẩm định tại Phụ lục 2, việc xác nhận qua phần mềm nghiệp vụ, và thời hạn cập nhật học liệu chậm nhất 01 tuần trước khi bắt đầu học kỳ.",correct,"Câu trả lời đã bao hàm đầy đủ các ý chính của đáp án tham chiếu và bổ sung thêm các chi tiết cụ thể, chính xác về quy trình triển khai B-Learning.",1.0,0.6667,1.0,1.0,0.9197,1.0,0.4,1.0,1.0,0.9197,1.0,0.2857,1.0,1.0,0.9197,blending_rag_dataset
1__QD_Hoc_bong_KKHT_2023_simple_018,Kết quả xét học bổng KKHT tại Bách khoa Hà Nội được công bố chậm nhất vào tuần học thứ mấy và ở đâu?,simple,easy,"Công bố chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng, trên cổng thông tin sinh viên ctt.hust.edu.vn.",33e5f90d-f621-4fdd-9f9d-46e19b781547,"Dựa trên các tài liệu được cung cấp, thông tin về kết quả xét học bổng như sau:

* **Thời gian công bố:** Kết quả xét học bổng dự kiến được công bố vào tuần thứ 10 của học kỳ 2025.2 (theo Thông báo về việc xét, cấp Học bổng Trần Đại Nghĩa học kỳ II năm học 2025-2026).
* **Địa điểm/Cách thức xem:** Sinh viên có thể xem kết quả đánh giá điều kiện xét học bổng KKHT kỳ 2025.2 thông qua hướng dẫn [tại đây](https://bit.ly/3IR1XuL). Đối với kết quả xét cấp học bổng KKHT kỳ II năm học 2025-2026, sinh viên gửi thắc mắc [tại đây](https://forms.cloud.microsoft/r/dpYdEkfVHA).","8bb406fc-5dd3-47ae-9220-c5f46d63e205,f30723ed-b476-4c8c-b62d-378188e76137,3d17ef49-f15b-4846-b700-7b48a37dcd56",rag_v2,rag,3,10566.47,False,partial,hallucinated,incomplete,"Câu trả lời đã nhầm lẫn thông tin về thời hạn công bố kết quả của học bổng Trần Đại Nghĩa áp dụng cho học bổng khuyến khích học tập (KKHT). Ngữ cảnh không cung cấp thông tin cụ thể về tuần học công bố kết quả xét học bổng KKHT, do đó việc áp dụng thông tin từ học bổng khác là sai lệch.",partial,Câu trả lời được tạo ra không nêu rõ địa điểm công bố chính thức là cổng thông tin sinh viên ctt.hust.edu.vn như đáp án tham khảo mà lại dẫn link hướng dẫn và form thắc mắc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hbkkht_rag_dataset
kehoach_list_all_chunks_simple_019,Số tín chỉ tối đa và tối thiểu khi đăng ký học kỳ 1 năm học 2026-2027 (20261) là bao nhiêu?,simple,easy,"Tối đa 24 TC, tối thiểu 12 TC. Sinh viên bị cảnh cáo học tập mức 2, mức 3 thì tối đa 14 TC.",ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,"Số tín chỉ tối đa và tối thiểu khi đăng ký học kỳ chính (bao gồm học kỳ 20261) phụ thuộc vào tình trạng học tập của sinh viên như sau:

* **Đối với sinh viên không thuộc diện cảnh báo học tập:**
 * Tối đa: 24 tín chỉ.
 * Tối thiểu: 12 tín chỉ (không áp dụng ngưỡng tối thiểu đối với sinh viên năm cuối).

* **Đối với sinh viên đang bị cảnh báo học tập từ mức 2 trở lên (áp dụng tại học kỳ 1 của năm học):**
 * Sinh viên thuộc các chương trình đào tạo chuẩn: Tối đa 14 tín chỉ, tối thiểu 8 tín chỉ.
 * Sinh viên thuộc các chương trình ELITECH và các chương trình đào tạo hợp tác quốc tế: Tối đa 18 tín chỉ, tối thiểu 8 tín chỉ.

* **Đối với sinh viên không đạt chuẩn ngoại ngữ theo số tín chỉ tích lũy:**
 * Tối đa: 14 tín chỉ.
 * Tối thiểu: 8 tín chỉ.

Lưu ý: Các quy định trên được trích dẫn từ Điều 10, Điều 19 (Quy chế đào tạo đại học) và Điều 5 (Quy định phân loại trình độ đầu vào) trong tài liệu tham khảo.","29fa02a8-f103-451e-aba2-ccdfd9d6c501,2cd48eb8-7595-44e8-bad8-61741b6cbfaf,4dba1154-7029-4117-beb7-8b8f6d0ff81d,3bdfc505-a39b-49ec-b252-230769593079,da4da67a-5a72-4574-ba57-21e7c93be4c8,7886f679-e2e0-5bbd-8b6d-ea5d6ece4d24,3ad5989b-d282-532b-b960-4baabad78580",rag_v2,rag,7,49373.45,False,good,hallucinated,complete,"Câu trả lời chứa thông tin không có trong ngữ cảnh (cụ thể là quy định 24 tín chỉ tối đa và 12 tín chỉ tối thiểu cho sinh viên không bị cảnh báo học tập). Ngữ cảnh chỉ cung cấp thông tin về hạn chế khối lượng học tập đối với sinh viên bị cảnh báo hoặc không đạt chuẩn ngoại ngữ, không có thông tin về số tín chỉ tối đa/tối thiểu cho sinh viên bình thường.",partial,"The generated answer provides much more detailed and specific information than the reference answer, but it contradicts the reference answer regarding the maximum/minimum credit limits for students under academic warning.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kehoach_rag_dataset
4__QD_thi_Olympic_va_DMST_2023_simple_015,Sinh viên đoạt giải kỳ thi Olympic môn học tại Bách khoa Hà Nội được hưởng quyền lợi gì về học tập?,simple,easy,"Được miễn thi và công nhận điểm học phần/môn học đoạt giải, hoặc được cộng điểm thưởng vào điểm thi kết thúc học phần theo quy định hiện hành của Bách khoa Hà Nội.",cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,"Theo quy định tại Điều 6 (Chương II) và Điều 10 (Chương III), sinh viên đoạt giải trong kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội được hưởng các quyền lợi sau:

* **Về học tập:** Được miễn thi và công nhận điểm học phần/môn học đoạt giải hoặc được cộng điểm thưởng vào điểm thi kết thúc học phần theo quy định hiện hành của Đại học. Thủ tục này do Phòng/Ban chức năng Đào tạo thực hiện.
* **Về khen thưởng:** Được Giám đốc Đại học khen thưởng nếu đoạt giải trong kỳ thi theo quy định hiện hành. Ngoài ra, sinh viên còn được tặng giấy khen và phần thưởng theo quy định về khen thưởng thường xuyên đối với sinh viên đạt thành tích xuất sắc trong các kỳ thi Olympic môn học do Đại học tổ chức hoặc được Đại học cử tham gia.","cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,40828341-95ce-4b09-b4aa-6a90ba4643b1,4780f61b-0610-495f-8f23-d3a24769cdf8,8506be76-c97f-493a-93aa-77a5abd758ce,e04c3669-b03f-47f7-9cb5-9d7e49601fff,0c6f18da-4bb1-499a-8af2-a3d643cd7203,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,14083.16,False,good,hallucinated,partial,"Câu trả lời bịa đặt thông tin không có trong ngữ cảnh (như Điều 10, thủ tục do Phòng/Ban chức năng thực hiện, giấy khen và quy định khen thưởng thường xuyên). Ngữ cảnh chỉ cung cấp thông tin tại Điều 6, khoản 2 và 3 của phần 'Trách nhiệm và quyền lợi của cá nhân tham gia đội tuyển'.",correct,Câu trả lời đã bao hàm đầy đủ các quyền lợi về học tập như trong đáp án tham khảo và bổ sung thêm thông tin về khen thưởng mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0,olympic_rag_dataset
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_multi_hop_025,Lớp học GDQP&AN tại đại học được tổ chức như thế nào và quy mô lớp học lý thuyết và thực hành có giới hạn gì?,multi_hop,medium,"Các cơ sở giáo dục đại học có khoa, bộ môn GDQP&AN tổ chức dạy học tập trung theo kế hoạch đào tạo. Lớp lý thuyết ghép không quá 150 người; lớp thực hành không quá 40 người.",cf2ea3f2-4eb4-40c8-b63d-45b52d63fec8,"Chào bạn, về câu hỏi của bạn liên quan đến việc tổ chức môn học Giáo dục quốc phòng và an ninh (GDQP&AN), tôi xin giải đáp như sau:

*   **Về cách thức tổ chức:** Việc dạy, học và đánh giá kết quả môn học GDQP&AN tại các cơ sở giáo dục đại học được thực hiện theo quy định tại Thông tư liên tịch số 18/2015/TTLT-BGDĐT-BLĐTBXH. Chương trình học bao gồm các học phần về đường lối quốc phòng, công tác quốc phòng, an ninh, quân sự chung và kỹ thuật chiến đấu bộ binh.
*   **Về quy mô lớp học:** Tôi không tìm thấy thông tin cụ thể về giới hạn số lượng sinh viên trong một lớp học lý thuyết và thực hành GDQP&AN trong các tài liệu hiện có.

Để có thông tin chính xác nhất về quy mô lớp học hoặc các quy định cụ thể tại Đại học Bách Khoa Hà Nội, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo hoặc Trung tâm Giáo dục Quốc phòng và An ninh để được hỗ trợ và xác nhận chính thức.","7c98260f-6b4c-4faf-a818-24ede6b399b3,03c9a959-4ba4-412c-b20c-72a8165cfcab,1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,067507d1-850f-4166-b854-6c1365b6fd72,cf2ea3f2-4eb4-40c8-b63d-45b52d63fec8,f8a15b5a-4da9-49dc-a892-e25e30f955b6,847f422b-d638-4ecc-95b2-d1531ae3434c,c0eaaf56-da82-43a1-8cbf-617dc23b84a5,8bfb5266-1382-4190-a932-5e2afa2553d1,04b62e43-4784-4149-a6b5-b60293ba9aee,37ca290f-075f-4f7d-88f9-6502e31afa6e,56790768-607f-48e0-aa57-c1af9f105046,b2571a9f-7d2c-4a40-baf2-00a8a7ea01ad",agent,complex,14,13655.23,False,good,hallucinated,incomplete,"Trợ lý trả lời sai thông tin về quy mô lớp học. Trong ngữ cảnh (Điều 8, khoản 5 của Thông tư 18/2015/TTLT-BGDĐT-BLĐTBXH) đã quy định rõ: lớp học lý thuyết không quá 150 người, lớp học thực hành không quá 40 người. Trợ lý lại khẳng định không tìm thấy thông tin này.",incorrect,"The generated answer fails to provide the specific numerical limits for theory and practice classes, which are clearly stated in the reference answer and defined by current regulations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562,qpan_rag_dataset
baiviet_all_chunks_simple_053,Trường hợp nào không được xét học bổng Gắn kết quê hương do vi phạm kỷ luật?,simple,easy,Sinh viên đang chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng sẽ không được xét.,616a2ca5-475d-47b8-aa13-e1a539b2434f,"Tôi không tìm thấy thông tin về ""học bổng Gắn kết quê hương"" trong tài liệu hiện có.

Tuy nhiên, theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, sinh viên sẽ **không được xét cấp học bổng** nếu đang chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng.","f724ba64-2b4e-4d8f-a8c0-26fd38e480da,cef16300-c254-45e5-9945-b23b68534d6b,84073f1e-03d5-4af1-8e92-b27177ccb8d9,3a7693a2-da09-434f-9cc9-a530dc303752,c26d5448-b29e-45f2-889c-79673fc57cc0,611eff90-00e0-4f1c-8889-66906b1d4481,01a026a0-8d35-4898-a00c-080a11634939",rag_v2,rag,7,24579.24,False,good,hallucinated,incomplete,"Ngữ cảnh được cung cấp không chứa thông tin về 'học bổng Gắn kết quê hương'. Trợ lý đã tự ý đưa ra thông tin về 'học bổng khuyến khích học tập' mà không có trong ngữ cảnh, đây là hành vi bịa đặt thông tin (hallucination).",partial,Câu trả lời đã cung cấp đúng thông tin về điều kiện kỷ luật (từ mức khiển trách trở lên) nhưng lại cho rằng không tìm thấy thông tin về học bổng cụ thể được hỏi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rag_evaluation_dataset
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,"Tùy thuộc vào văn bản quy định cụ thể, đối tượng áp dụng được xác định như sau:

*   **Đối với quy định về chuẩn ngoại ngữ đầu ra (áp dụng cho các khóa K62-K64):** Quy định áp dụng cho sinh viên các chương trình: Đào tạo tài năng (ĐTTN), Kỹ sư chất lượng cao PFIEV (KSCLC), Tiên tiến, Công nghệ thông tin Việt-Nhật và Công nghệ thông tin ICT.
*   **Đối với các quy định về phân loại trình độ ngoại ngữ đầu vào, chương trình môn học và chuẩn ngoại ngữ:** Quy định áp dụng cho sinh viên đại học hệ chính quy (không bao gồm sinh viên ngành Ngôn ngữ Anh và sinh viên là người nước ngoài).
*   **Đối với Quy chế đào tạo chung:** Quy định áp dụng cho sinh viên đại học, học viên chương trình thạc sĩ, kỹ sư (kỹ sư chuyên sâu) và nghiên cứu sinh (NCS) của Đại học Bách khoa Hà Nội.

Để biết chính xác quy định nào áp dụng cho chương trình của bạn, vui lòng cho biết bạn đang theo học khóa nào hoặc chương trình cụ thể nào.","648800ef-6f78-4f14-b25d-0f6e15270055,61401637-bc11-4144-a5cc-727f5936e8fc,f59645a8-a831-4db5-867c-0f63ca0121e5,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,b5e56233-0562-4f16-b606-807e4f5cf8e0,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",rag_v2,rag,7,26631.45,False,good,hallucinated,partial,"Trợ lý đã đưa ra thông tin không có trong ngữ cảnh (ví dụ: việc loại trừ sinh viên ngành Ngôn ngữ Anh, hoặc các quy định áp dụng cho học viên thạc sĩ, NCS). Ngữ cảnh chỉ đề cập đến sinh viên đại học hệ chính quy và các nhóm chương trình cụ thể như ĐTTN, KSCLC, Tiên tiến, v.v. tùy theo từng văn bản quy định.",partial,"The generated answer includes the specific programs mentioned in the reference answer but adds broader context that may or may not be relevant depending on the specific regulation, making it less precise than the reference.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0,rag_evaluation_dataset_ELITECH
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Đối với chương trình Công nghệ thông tin Việt-Nhật, yêu cầu về chuẩn tiếng Nhật được quy định như sau:

*   **Chuẩn đầu ra:** Yêu cầu đạt trình độ tiếng Nhật N3 (căn cứ theo kết quả kỳ thi JLPT hoặc chứng chỉ tương đương).
*   **Điều kiện xét tốt nghiệp:**
    *   Đối với khóa K70: Đạt chứng chỉ tiếng Nhật từ N3 hoặc đạt toàn bộ các học phần tiếng Nhật gồm: {JP1110, JP1120, JP1132, JP2111}.
    *   Đối với các khóa từ K65 trở đi: Ngoài các học phần cơ bản (JP1110 đến JP2111), chương trình còn yêu cầu các học phần tiếng Nhật định hướng kỹ thuật (từ JP2126 đến JP3120).
*   **Điều kiện tích lũy:**
    *   Từ 32 tín chỉ: Yêu cầu đạt các học phần tiếng Nhật ở Mức 1 & Mức 2 (JP1110 và JP1120).
    *   Từ 64 tín chỉ: Yêu cầu đạt chứng chỉ tiếng Nhật N3 hoặc đạt các học phần tiếng Nhật từ Mức 1 đến Mức 4.

Bạn vui lòng cho biết khóa học hiện tại của bạn để nhận được thông tin chi tiết và chính xác nhất về danh mục học phần áp dụng cho khóa đó.","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,554c02b9-5ec3-441a-924c-49bf5e34bfe9,31b3a226-d38b-4c25-a2f4-c5aca7984c14,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38",rag_v2,rag,7,18360.46,False,good,hallucinated,complete,"Trợ lý đã đưa ra các thông tin về mã học phần (JP1110, JP1120, JP1132, JP2111, JP2126, JP3120) và yêu cầu cụ thể cho khóa K70, K65... mà hoàn toàn không có trong ngữ cảnh được cung cấp. Đây là hành vi bịa đặt thông tin.",correct,"The generated answer correctly identifies JLPT N3 as the required standard while providing additional, helpful context regarding specific academic requirements.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0,rag_evaluation_dataset_ELITECH
chunks_001_simple_014,Sinh viên PFIEV cần đạt chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Yêu cầu về chuẩn tiếng Pháp đối với sinh viên chương trình đào tạo PFIEV phụ thuộc vào khóa học của bạn:

**Đối với khóa K68, K69:**
*   **Khi tích lũy từ 32 tín chỉ:** Đạt trình độ DELF A1 hoặc hoàn thành các học phần từ 1 đến 2 trong Bảng 7.1.
*   **Khi tích lũy từ 64 tín chỉ:** Đạt trình độ DELF A2 hoặc hoàn thành các học phần từ 1 đến 4 trong Bảng 7.1.
*   **Khi tích lũy từ 96 tín chỉ:** Đạt trình độ DELF B1 hoặc hoàn thành các học phần từ 1 đến 6 trong Bảng 7.1.
*   **Điều kiện xét nhận Đồ án tốt nghiệp cử nhân:** Đạt trình độ DELF B1 hoặc TOEIC 500.
*   **Điều kiện xét tốt nghiệp cử nhân:** Đạt trình độ DELF B1 và TOEIC 500.
*   **Điều kiện xét tốt nghiệp kỹ sư chuyên sâu đặc thù:** Đạt trình độ DELF B2 (hoặc tương đương theo Bảng 5.3) hoặc Chứng chỉ tiếng Anh đạt trình độ tối thiểu từ Bậc 4.

**Đối với khóa K65, K66, K67:**
*   **Khi tích lũy từ 32 tín chỉ:** Đạt trình độ DELF A1 hoặc hoàn thành các học phần từ 1 đến 2 trong Bảng 7.1.
*   **Khi tích lũy từ 64 tín chỉ:** Đạt trình độ DELF A2 hoặc hoàn thành các học phần từ 1 đến 4 trong Bảng 7.1.
*   **Khi tích lũy từ 96 tín chỉ:** Đạt trình độ DELF B1 hoặc hoàn thành các học phần từ 1 đến 6 trong Bảng 7.1.
*   **Điều kiện xét nhận đồ án/khóa luận tốt nghiệp:** Đạt trình độ DELF B1 hoặc TOEIC 500.
*   **Điều kiện khi xét tốt nghiệp:** Đạt trình độ DELF B1 và TOEIC 600.

**Đối với khóa K70:**
*   **Đăng ký học tập học kỳ 2:** Sinh viên phải đăng ký học song hành học phần FL1803 Tiếng Pháp PFIEV 3 nếu chưa học hoặc chưa được miễn.
*   **Đăng ký học tập học kỳ 3:** Sinh viên phải đăng ký học song hành học phần FL1804 Tiếng Pháp PFIEV 4 nếu chưa học hoặc chưa được miễn.
*   **Điều kiện xét tốt nghiệp kỹ sư chuyên sâu:** Đạt trình độ tối thiểu DELF B2 (hoặc tương đương theo Bảng 5.3) hoặc Chứng chỉ tiếng Anh đạt trình độ tối thiểu từ Bậc 4.

Bạn đang học khóa nào? Nếu cần thông tin chi tiết hơn về các học phần cụ thể, vui lòng cung cấp thêm thông tin.","de789d2b-26a8-4db4-89ec-5282810512e7,29f052b7-36c2-45c4-8400-46c2737d02a9,b04221a2-0d1a-429a-bbab-67867e8d1215,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,2e9408a7-caf1-48f5-be5c-141ef26e562e,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,7,24268.72,False,good,hallucinated,complete,"Trợ lý đã đưa ra nhiều thông tin về điều kiện tích lũy tín chỉ, TOEIC, và các mốc xét tốt nghiệp (như TOEIC 500/600, điều kiện tích lũy 32/64/96 tín chỉ) không hề xuất hiện trong ngữ cảnh được cung cấp. Đây là hành vi bịa đặt thông tin.",correct,"The generated answer provides a comprehensive and accurate breakdown of the French language requirements for PFIEV students, which includes the DELF B1 requirement mentioned in the reference answer while adding necessary context regarding different cohorts and graduation levels.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rag_evaluation_dataset_ELITECH
