id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,Quyết định do **PGS.TS. Nguyễn Phong Điền** – với tư cách **KT. Giám đốc / Phó Giám đốc** Đại học Bách khoa Hà Nội – ký.,"be759c89-beb4-4d2f-9512-aafa86c90d01,318c83f1-4089-499c-92b5-9bf138e4b8e7,0c6f18da-4bb1-499a-8af2-a3d643cd7203,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,89046781-0122-48eb-85c2-7baed599923d,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee",rag_v2,rag,7,15408.43,True,good,grounded,complete,Câu trả lời khớp chính xác với thông tin trong ngữ cảnh về người ký quyết định.,correct,Câu trả lời đã cung cấp đầy đủ và chính xác thông tin về người ký quyết định giống như đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,"Quyết định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo, khởi nghiệp được áp dụng **từ năm học 2023-2024** (theo Điều 2 của Quyết định).","b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,ad526e92-c43c-47a6-ae20-aa357cda5dc5,318c83f1-4089-499c-92b5-9bf138e4b8e7,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee",rag_v2,rag,7,13462.28,True,good,grounded,complete,"Câu trả lời dựa chính xác vào Điều 2 của ngữ cảnh đã được cung cấp, trả lời đúng năm học 2023-2024.",correct,Câu trả lời đã cung cấp chính xác thông tin về năm học áp dụng theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Dựa trên Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp (ban hành kèm Quyết định số /QĐ-ĐHBK ngày / /2023 của Giám đốc ĐHBK Hà Nội), các nội dung chính bao gồm:

- **Phạm vi điều chỉnh (Điều 1):** Quy định hoạt động tuyển chọn, bồi dưỡng đội tuyển và tham dự kỳ thi Olympic cấp quốc gia/quốc tế đối với các môn học/học phần tại ĐHBK Hà Nội, cùng các kỳ thi về đổi mới, sáng tạo và khởi nghiệp dành cho sinh viên do Giám đốc cử tham dự. Bao gồm mục đích, nhiệm vụ, quy trình, trách nhiệm, quyền lợi của cá nhân tham gia và phương thức hỗ trợ của Đại học.

- **Thành viên tham gia đội tuyển (Điều 2):**
  - Đối với Olympic môn học: sinh viên, học viên đang học tập tại ĐHBK Hà Nội.
  - Đối với kỳ thi đổi mới, sáng tạo và khởi nghiệp: sinh viên ĐHBK Hà Nội hoặc các cơ sở giáo dục đại học khác, nhưng tối thiểu 50% thành viên trong mỗi đội tuyển là sinh viên ĐHBK Hà Nội.

- **Tuyển chọn và tổ chức đội tuyển (Điều 4):**
  - Đơn vị chuyên môn lập kế hoạch gồm: phương án tuyển chọn, kế hoạch ôn luyện, kế hoạch tổ chức đoàn (đề xuất Trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú), dự toán chi phí và đề xuất hỗ trợ cơ sở vật chất, kinh phí; trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.
  - Đơn vị chuyên môn chủ trì, phối hợp với các đơn vị liên quan tổ chức tuyển chọn theo kế hoạch đã phê duyệt.
  - Sau tuyển chọn, phân công giảng viên có trình độ cao về chuyên môn và nghiệp vụ sư phạm giảng dạy theo đề cương bồi dưỡng phù hợp nội dung thi.
  - Tổ chức đưa đội tuyển tham dự thi đúng kế hoạch; thực hiện nghiêm quy định ban tổ chức, giữ gìn uy tín của ĐHBK Hà Nội. Nếu thay đổi kế hoạch, Trưởng đoàn báo cáo Giám đốc (qua Phòng/Ban Công tác sinh viên) để điều chỉnh.
  - Sau kỳ thi, đơn vị chuyên môn lập báo cáo bằng văn bản về kết quả hoạt động của đoàn gửi Giám đốc (qua Phòng/Ban Công tác sinh viên).

- **Trách nhiệm của đơn vị chuyên môn (Điều 9):","e8b76bfb-5b0f-445f-bd1f-22735b850b47,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,318c83f1-4089-499c-92b5-9bf138e4b8e7,be759c89-beb4-4d2f-9512-aafa86c90d01,c90982d1-0a6a-4e9e-a398-e7779bf53aff,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,7,41754.99,False,good,hallucinated,partial,"Câu trả lời đã thêm thông tin về Điều 9 không có trong ngữ cảnh, gây hallucination. Các nội dung khác đều đúng và đầy đủ một phần.",correct,"Câu trả lời được tạo ra đã bao quát đầy đủ các nội dung chính được nêu trong câu trả lời tham chiếu, đồng thời cung cấp thêm thông tin chi tiết và chính xác về quy định của trường.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo Điều 2 của tài liệu, thành viên đội tuyển tham dự kỳ thi Olympic môn học phải là **sinh viên hoặc học viên (gọi chung là sinh viên) đang học tập tại Đại học Bách khoa Hà Nội**.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce",rag_v2,rag,7,14216.42,True,good,grounded,partial,"Câu trả lời trích dẫn đúng điều kiện tại Điều 2.1 trong ngữ cảnh, không bịa đặt. Tuy nhiên, chưa đề cập thêm các điều kiện khác như yêu cầu tham dự bồi dưỡng (Điều 6), nên độ hoàn chỉnh chỉ ở mức một phần.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham chiếu và không có thông tin sai lệch.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo Điều 2 của Quy định, thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp có thể là sinh viên của ĐHBK Hà Nội hoặc các cơ sở giáo dục khác, nhưng tối thiểu **50%** thành viên trong mỗi đội tuyển phải là sinh viên của ĐHBK Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203,2a57e754-46bd-4fce-bad6-167d2450522e,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,15911.36,True,good,grounded,complete,"Câu trả lời đúng với ngữ cảnh, nêu chính xác yêu cầu tối thiểu 50% thành viên là sinh viên ĐHBK Hà Nội theo Điều 2 của Quy định.",correct,Cả hai câu trả lời đều nêu chính xác yêu cầu tối thiểu 50% thành viên phải là sinh viên Đại học Bách khoa Hà Nội.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo Điều 2 (Thành viên tham gia đội tuyển) của quy định, thành viên đội tuyển thi Đổi mới, sáng tạo và khởi nghiệp có thể đến từ:

- **Sinh viên đang học tập tại Đại học Bách khoa Hà Nội (ĐHBK Hà Nội).**
- **Sinh viên từ các cơ sở giáo dục đại học khác**, với điều kiện trong mỗi đội tuyển, tối thiểu **50% thành viên là sinh viên của ĐHBK Hà Nội**.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,2a57e754-46bd-4fce-bad6-167d2450522e,447c46fa-d9bc-450f-bfee-845a73025fe9,7e841156-f5f6-491b-b469-916185d70776,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,19244.67,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác nội dung từ ngữ cảnh, liệt kê đầy đủ các đơn vị có thể tham gia đội tuyển thi đổi mới sáng tạo và khởi nghiệp (sinh viên ĐHBK Hà Nội và sinh viên các cơ sở giáo dục đại học khác) cùng điều kiện tối thiểu 50% là sinh viên ĐHBK Hà Nội, không có thông tin bịa đặt hay thiếu sót.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Theo Điều 3 của Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp tại Đại học Bách khoa Hà Nội, mục đích tham dự kỳ thi nhằm:

- Khuyến khích sự sáng tạo, tích cực trong hoạt động giảng dạy, học tập và nghiên cứu khoa học.
- Tạo nguồn bồi dưỡng, đào tạo nhân tài.
- Thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp trong sinh viên.
- Tạo tâm thế chủ động tìm kiếm, tự tạo việc làm của sinh viên sau khi tốt nghiệp.
- Góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.","231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,c90982d1-0a6a-4e9e-a398-e7779bf53aff,be759c89-beb4-4d2f-9512-aafa86c90d01,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,14662.97,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác và đầy đủ Điều 3 từ ngữ cảnh, liệt kê tất cả mục đích tham dự kỳ thi Olympic và ĐMST, không thêm thông tin ngoài ngữ cảnh.",correct,"Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các ý chính từ câu trả lời tham chiếu, đồng thời trình bày rõ ràng hơn dưới dạng danh sách.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo thông tin từ trang web của Khoa Vật lý kỹ thuật, đối với kỳ thi Olympic Vật lý sinh viên (SPhO), **Viện Vật lý kỹ thuật** là đơn vị có trách nhiệm tuyển chọn, đào tạo và dẫn đoàn Đại học Bách khoa Hà Nội tham dự.

Đối với các kỳ thi Olympic môn học khác (ví dụ Olympic Toán học), tài liệu hiện có không nêu rõ đơn vị lập kế hoạch tổ chức đoàn.","/www.facebook.com/dhbkhanoi/posts/%C4%91%E1%BA%A1i-h%E1%BB%8Dc-b%C3%A1ch-khoa-h%C3%A0-n%E1%BB%99i-gi%C3%A0nh-9-gi%E1%BA%A3i-th%C6%B0%E1%BB%9Fng-t%E1%BA%A1i-olympic-to%C3%A1n-h%E1%BB%8Dc-hs-sv-to%C3%A0n-qu%E1%BB%91/1024937086426808,/sep.hust.edu.vn/sinh-vien/olympic-vat-ly-sinh-vien,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,38d83e84-a322-45da-872c-02b7e6f25eb8,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,06164494-7524-4a6b-b841-7d2de09b5421,84cb6275-ff1f-4877-988a-55232610062c,d8b94d89-09a3-4dd9-b442-18c5a76674ca",rag_v2,rag,9,46351.93,False,partial,grounded,partial,"Câu trả lời chỉ đề cập đến Olympic Vật lý và nói không có thông tin cho các môn khác, chưa trả lời đầy đủ câu hỏi chung về tất cả các kỳ thi Olympic môn học.",partial,Câu trả lời được tạo ra chỉ nêu ví dụ cụ thể cho một đơn vị (Viện Vật lý kỹ thuật) mà không nêu được quy trình chung áp dụng cho tất cả các môn học như trong câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo các tài liệu tham khảo hiện có, không có thông tin cụ thể về nội dung cần có của ""bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học"". Các tài liệu chỉ đề cập đến việc tổ chức kỳ thi Olympic Toán học (vòng thi cấp Đại học) và Olympic Vật lý sinh viên toàn quốc, cùng với đơn vị phụ trách tuyển chọn và dẫn đoàn, nhưng không liệt kê chi tiết nội dung của bản kế hoạch.

Tôi không tìm thấy thông tin này trong tài liệu hiện có.","/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,/sep.hust.edu.vn/sinh-vien/olympic-vat-ly-sinh-vien,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,06164494-7524-4a6b-b841-7d2de09b5421,6824ee6a-adad-43e6-a1df-59f0ddc26794,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,7a40293c-7e11-4f3d-bbf5-4da44aaacad7,38d83e84-a322-45da-872c-02b7e6f25eb8,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f",rag_v2,rag,9,39285.55,False,partial,grounded,incomplete,"Ngữ cảnh không chứa thông tin chi tiết về nội dung của bản kế hoạch tổ chức đoàn, chỉ đề cập đến việc tổ chức Olympic và đơn vị phụ trách. Câu trả lời của trợ lý không trả lời trực tiếp câu hỏi.",incorrect,"The generated answer fails to provide the required information, claiming it is unavailable, while the reference answer provides a clear and direct list of the necessary components.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch (theo Điều 4, khoản 4 – phần chi tiết của tài liệu về quy trình tuyển chọn và tổ chức đội tuyển Olympic).","71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,4,21497.43,True,good,grounded,complete,"Câu trả lời chính xác, dựa trên ngữ cảnh, đầy đủ thông tin.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ đáp án tham chiếu và bổ sung thêm nguồn dẫn chứng cụ thể mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
