id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,"Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc Đại học Bách khoa Hà Nội ký (với tư cách là người ký thay Giám đốc).","be759c89-beb4-4d2f-9512-aafa86c90d01,318c83f1-4089-499c-92b5-9bf138e4b8e7,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e8b76bfb-5b0f-445f-bd1f-22735b850b47,89046781-0122-48eb-85c2-7baed599923d,56b2f15f-466c-40f3-9ec2-b29c81b15872,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,7,6962.82,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về người ký quyết định.,correct,"Câu trả lời đã nêu đúng người ký và chức danh, đảm bảo đầy đủ thông tin như đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,"Theo tài liệu hiện có, quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp được ban hành kèm theo Quyết định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp.

Tuy nhiên, trong các tài liệu được cung cấp, thông tin về thời điểm áp dụng (năm học) chỉ được đề cập cụ thể tại **Điều 9** của ""Quy định về tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến"" (áp dụng từ học kỳ 2 năm học 2020-2021). 

Tôi không tìm thấy thông tin về năm học áp dụng cụ thể cho ""Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp"" trong tài liệu hiện có.","/www.studocu.vn/vn/document/hanoi-university-of-science/chess/quyet-dinh-2023-to-chuc-doi-tuyen-du-thi-olympic-va-dmst/148752402,/fami.hust.edu.vn/thong-bao-sinh-vien/thong-bao-ve-ky-thi-olympic-toan-hoc-sinh-vien-va-hoc-sinh-toan-quoc-nam-2025,/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,ad526e92-c43c-47a6-ae20-aa357cda5dc5,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,9132.75,False,good,grounded,incomplete,"Ngữ cảnh được cung cấp không chứa thông tin về thời điểm áp dụng (năm học) của quy định về tổ chức đội tuyển thi Olympic và ĐMST. Trợ lý đã nhận diện đúng là thông tin không có trong tài liệu, tuy nhiên cần thực hiện web search để tìm kiếm thông tin chính xác từ nguồn chính thức của trường.",incorrect,Câu trả lời được tạo ra không tìm thấy thông tin về năm học áp dụng trong khi câu trả lời tham chiếu đã xác định rõ là năm học 2023-2024.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Theo ""Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp"", các nội dung chính bao gồm:

*   **Phạm vi điều chỉnh:** Quy định hoạt động tuyển chọn, bồi dưỡng và tham dự các kỳ thi Olympic cấp quốc gia/quốc tế đối với các môn học/học phần và các kỳ thi về đổi mới, sáng tạo, khởi nghiệp do Giám đốc Đại học cử tham dự.
*   **Thành viên tham gia:**
    *   Đối với kỳ thi Olympic môn học: Phải là sinh viên, học viên đang học tập tại ĐHBK Hà Nội.
    *   Đối với kỳ thi về đổi mới, sáng tạo và khởi nghiệp: Có thể là sinh viên ĐHBK Hà Nội hoặc các cơ sở giáo dục đại học khác, nhưng tối thiểu 50% thành viên trong đội tuyển phải là sinh viên ĐHBK Hà Nội.
*   **Quy trình tuyển chọn và tổ chức:**
    *   Đơn vị chuyên môn (Trường, Viện hoặc Khoa) lập kế hoạch (phương án tuyển chọn, kế hoạch ôn luyện, kế hoạch tham dự, dự toán chi phí) trình Giám đốc Đại học phê duyệt thông qua Phòng/Ban chức năng Công tác sinh viên.
    *   Đơn vị chuyên môn chủ trì tổ chức tuyển chọn, phân công giảng viên có trình độ cao bồi dưỡng kiến thức và tổ chức đưa đội tuyển tham dự kỳ thi.
    *   Trường hợp có thay đổi kế hoạch, Trưởng đoàn phải báo cáo Giám đốc Đại học quyết định.
    *   Sau khi kết thúc kỳ thi, đơn vị chuyên môn phải lập báo cáo kết quả hoạt động gửi Giám đốc Đại học.
*   **Trách nhiệm của đơn vị chuyên môn:**
    *   Chủ trì lập kế hoạch, tổ chức ôn luyện và cử cán bộ dẫn đoàn tham dự kỳ thi Olympic.
    *   Phối hợp với Phòng/Ban chức năng Công tác sinh viên để lựa chọn đội tuyển và cử cán bộ hướng dẫn chuyên môn cho các kỳ thi về đổi mới, sáng tạo và khởi nghiệp.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,318c83f1-4089-499c-92b5-9bf138e4b8e7,be759c89-beb4-4d2f-9512-aafa86c90d01,c90982d1-0a6a-4e9e-a398-e7779bf53aff,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,7,8574.21,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ và chính xác các nội dung chính từ ngữ cảnh được cung cấp, bao gồm phạm vi điều chỉnh, đối tượng tham gia, quy trình tổ chức và trách nhiệm của các đơn vị liên quan.",correct,The generated answer provides a more detailed and comprehensive breakdown of the regulations while still encompassing all the core components mentioned in the reference answer.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần đáp ứng điều kiện sau:

*   Là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e8b76bfb-5b0f-445f-bd1f-22735b850b47",rag_v2,rag,5,5091.14,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác điều kiện cần thiết từ Điều 2, khoản 1 của ngữ cảnh cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp yêu cầu số lượng thành viên tối thiểu 50% là sinh viên ĐHBK Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203,2a57e754-46bd-4fce-bad6-167d2450522e,8e1fdef8-31cb-4bc5-93ea-79b96006f341",rag_v2,rag,5,9601.95,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 2, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin về tỷ lệ thành viên tối thiểu là sinh viên Bách khoa theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp có thể đến từ các đơn vị sau:

*   Sinh viên đang học tập tại Đại học Bách khoa Hà Nội.
*   Sinh viên đang học tập tại các cơ sở giáo dục đại học khác (với điều kiện số lượng thành viên trong mỗi đội tuyển phải có tối thiểu 50% là sinh viên Đại học Bách khoa Hà Nội).","c90982d1-0a6a-4e9e-a398-e7779bf53aff,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,2a57e754-46bd-4fce-bad6-167d2450522e,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,6,6936.82,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ Điều 2, khoản 2 của ngữ cảnh cung cấp về đối tượng thành viên tham gia đội tuyển thi Đổi mới sáng tạo và khởi nghiệp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng có trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp, mục đích của việc tổ chức đội tuyển bao gồm:

*   Tuyển chọn, bồi dưỡng đội tuyển và tham dự kỳ thi Olympic cấp quốc gia/quốc tế đối với các môn học/học phần đang được giảng dạy tại Đại học Bách khoa Hà Nội.
*   Tham dự các kỳ thi về đổi mới, sáng tạo và khởi nghiệp dành cho sinh viên do Giám đốc Đại học cử tham dự.

Quy định này cũng nhằm xác định mục đích, nhiệm vụ, quy trình thực hiện của các đơn vị liên quan, trách nhiệm và quyền lợi của cá nhân tham gia, cũng như phương thức hỗ trợ của Đại học đối với các hoạt động này.","/soict.hust.edu.vn/en/student/student-activities,/admission.usth.edu.vn/mission-and-vision-169,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01",rag_v2,rag,5,10377.2,False,good,partially_grounded,incomplete,"Câu trả lời của trợ lý mới chỉ liệt kê các hoạt động thuộc phạm vi điều chỉnh của quy định (tuyển chọn, bồi dưỡng, tham dự) chứ chưa nêu được 'mục đích' (tại sao phải tổ chức các đội tuyển này, ví dụ: để nâng cao chất lượng đào tạo, khẳng định uy tín, v.v.). Ngữ cảnh cung cấp chỉ nêu phạm vi điều chỉnh chứ không nêu rõ mục đích cụ thể của việc tổ chức đội tuyển.",partial,"The generated answer focuses on the administrative scope and participation process rather than the underlying objectives (such as fostering innovation, talent development, and enhancing the university's brand) mentioned in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội, đơn vị có trách nhiệm lập kế hoạch tổ chức đoàn tham dự là **đơn vị chuyên môn** (bao gồm các Trường, Viện hoặc Khoa phụ trách môn học đó).

Cụ thể, trách nhiệm của đơn vị chuyên môn bao gồm:
*   Lập kế hoạch tổ chức đoàn tham dự và trình Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) phê duyệt. Bản kế hoạch bao gồm: phương án tuyển chọn đội tuyển; kế hoạch ôn luyện; kế hoạch tổ chức đoàn (nhân sự, thời gian, phương tiện, lưu trú) và dự toán chi phí.
*   Chủ trì phối hợp với các đơn vị liên quan để tổ chức tuyển chọn đội tuyển theo kế hoạch đã được phê duyệt.
*   Chịu trách nhiệm tổ chức ôn luyện cho đội tuyển.
*   Cử cán bộ dẫn đoàn tham dự kỳ thi.
*   Lập báo cáo tổng kết kỳ thi sau khi kết thúc.","/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,/soict.hust.edu.vn/cuoc-thi-olympic-tin-hoc-bkhn-2024.html,/fami.hust.edu.vn/thong-bao-sinh-vien/ket-qua-ky-thi-olympic-toan-sinh-vien-cap-dai-hoc-bach-khoa-ha-noi-va-lua-chon-doi-tuyen-tham-du-ky-thi-cap-toan-quoc-nam-2025,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,be759c89-beb4-4d2f-9512-aafa86c90d01",rag_v2,rag,7,10287.41,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các văn bản quy định được cung cấp trong ngữ cảnh (Điều 4 và Điều 9).",correct,Câu trả lời được tạo ra đã bao hàm đầy đủ thông tin chính từ câu trả lời tham chiếu và cung cấp thêm các chi tiết bổ sung chính xác về quy trình.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học, bản kế hoạch tổ chức đoàn tham dự cần bao gồm các nội dung sau:

*   Phương án tuyển chọn đội tuyển.
*   Kế hoạch tổ chức ôn luyện cho đội tuyển.
*   Kế hoạch tổ chức đoàn tham dự kỳ thi, bao gồm:
    *   Đề xuất Trưởng đoàn và các thành viên của đoàn.
    *   Thời gian thực hiện.
    *   Phương tiện di chuyển và nơi lưu trú.
*   Dự toán chi tiết về chi phí tham dự kỳ thi.
*   Đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí triển khai.

Bạn có thể xem chi tiết quy định [tại đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/EU7K3Ly3sh9Bj3ifsXAtf7QBsltPAyU5PLtY-MDZCprifg?e=0rwnz7).","/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,/sep.hust.edu.vn/sinh-vien/olympic-vat-ly-sinh-vien,e8b76bfb-5b0f-445f-bd1f-22735b850b47,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,3fa43088-b299-470c-a5df-fe9ee21096bf",rag_v2,rag,5,20402.84,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác các nội dung cần thiết cho bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học từ ngữ cảnh được cung cấp (Điều 4, mục 1).",correct,Câu trả lời đã liệt kê đầy đủ và chính xác các nội dung cần thiết theo yêu cầu của câu hỏi và khớp với các ý chính trong câu trả lời tham chiếu.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải báo cáo Giám đốc Đại học (thông qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.","/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/soict.hust.edu.vn/cuoc-thi-olympic-tin-hoc-bkhn-2024.html,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,6,7986.02,True,good,grounded,complete,"Câu trả lời hoàn toàn chính xác và dựa trên thông tin được cung cấp tại Điều 4, khoản 4 của tài liệu hướng dẫn về quy trình tổ chức đội tuyển tham dự kỳ thi Olympic.",correct,"Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu, chỉ thay đổi từ nối 'qua' thành 'thông qua' nhưng không làm thay đổi ý nghĩa.",1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
