id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_001,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa nào trở đi?,simple,easy,Áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.,ac75f157-2b84-4dd1-8127-ca04dcea21d2,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC) áp dụng cho sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học tập theo chương trình này.,"b985fb9c-7425-42bd-ae10-232d12f95390,ac75f157-2b84-4dd1-8127-ca04dcea21d2,c6af41fa-6b81-4406-9741-1e12a9b33e0d,1fec193d-7ca1-4258-b67b-7b721bc94853,0777413b-8c13-40a7-9ea3-55c8d7907f29,57958025-04df-4643-a2eb-f6cdaf6b4ce1,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,7,2451.18,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin trong ngữ cảnh được cung cấp (mục 1. Phạm vi áp dụng).",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_002,Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu bao nhiêu tín chỉ để được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu?,simple,easy,Sinh viên cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân để được phép học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu đặc thù.

Một số lưu ý kèm theo:
- Sinh viên được học tích lũy trước tối đa 15 tín chỉ. Nếu tích lũy nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ.
- Các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo kỹ sư cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,c6af41fa-6b81-4406-9741-1e12a9b33e0d,1c71f965-a30a-4054-8676-7851eb052284,06ada73c-1835-4f94-8b7f-61d465ebb914,720ab953-7802-40d2-bbd5-c485049281a6,212eb491-0182-43ee-abcb-b92b8d8d5ec7,da4da67a-5a72-4574-ba57-21e7c93be4c8",rag_v2,rag,7,2744.85,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về điều kiện học chuyển tiếp Cử nhân - Kỹ sư chuyên sâu đặc thù.",correct,Câu trả lời đã nêu chính xác số tín chỉ tối thiểu (118) và cung cấp thêm các thông tin bổ sung chính xác liên quan đến quy định học tích lũy.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_003,Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa bao nhiêu tín chỉ của chương trình Kỹ sư chuyên sâu?,simple,easy,Tối đa 15 tín chỉ. Trường hợp học tích lũy trước nhiều hơn 15 tín chỉ cũng chỉ được công nhận tối đa 15 tín chỉ.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Sinh viên chưa tốt nghiệp bậc cử nhân được phép học tích lũy trước tối đa 15 tín chỉ của chương trình đào tạo Kỹ sư chuyên sâu.

Lưu ý:
- Trường hợp sinh viên tích lũy trước nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ.
- Các học phần đã học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,c6af41fa-6b81-4406-9741-1e12a9b33e0d,a9cbc26a-3d9b-4d5d-8352-b8a3444b7406,06ada73c-1835-4f94-8b7f-61d465ebb914,720ab953-7802-40d2-bbd5-c485049281a6,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb",rag_v2,rag,7,2564.6,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu đầy đủ thông tin chính về hạn mức 15 tín chỉ và quy định công nhận, đồng thời bổ sung thêm thông tin chi tiết về điều kiện tính học phần.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về việc công nhận các học phần đã tích lũy trước vào chương trình Kỹ sư chuyên sâu (KSCS), quy định cụ thể như sau:

1. **Đối với sinh viên chưa tốt nghiệp bậc cử nhân:**
   - Bạn được phép học tích lũy trước tối đa **15 tín chỉ** của chương trình đào tạo Kỹ sư chuyên sâu nếu đã tích lũy từ 118 tín chỉ trở lên của chương trình cử nhân.
   - Các học phần đã học tích lũy trước này **sẽ chưa được tính vào chương trình đào tạo** cho tới khi bạn hoàn thành các điều kiện sau:
     - Được công nhận tốt nghiệp bậc cử nhân.
     - Đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.

2. **Nguyên tắc công nhận chung:**
   - Kết quả học tập đã tích lũy từ các trình độ hoặc chương trình đào tạo khác có thể được xem xét công nhận, chuyển đổi sang tín chỉ của các học phần trong chương trình đào tạo dựa trên việc đối sánh chuẩn đầu ra, nội dung, khối lượng học tập và cách thức đánh giá.

Nếu bạn cần xác nhận cụ thể về trường hợp của mình hoặc các thủ tục chuyển đổi tín chỉ, vui lòng liên hệ trực tiếp với **Phòng Đào tạo** để được hướng dẫn chi tiết.","a2111fd6-a1f2-4836-b32f-1397ebf5f9a7,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,040125ca-904b-49d4-8ef6-ae3318bc1092,a68a1d75-9cef-4f0d-a75c-03d400c7d7ed,eef54984-8702-4bed-80cc-c80308ef2150,c414c02c-99d5-41c0-a0f9-e100253d63bb,63238a1f-b201-429a-ad20-002a67a82ff3,03fcc47c-49dd-4eb4-b05a-f62898a5986d,b98b1fea-6b84-4784-b6c8-8d77bf8fd929,178c1668-06ff-46b2-8d57-cfaebe02082d,10733c54-298f-4ea9-8ead-a60c4f1ed978,d12ba07c-c098-421d-9221-5e1e7bf91325,1c71f965-a30a-4054-8676-7851eb052284",agent,complex,14,3187.16,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về điều kiện học tích lũy trước cho chương trình Kỹ sư chuyên sâu.",correct,"The generated answer correctly conveys the core information that previously accumulated credits are not counted until graduation and registration for the professional engineer program, while providing additional helpful context.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_005,Sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu phải làm gì?,simple,easy,Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển thực hiện theo quy định và hướng dẫn riêng.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, đối với sinh viên đã tốt nghiệp bậc cử nhân và có mong muốn học chương trình Kỹ sư chuyên sâu đặc thù, bạn cần thực hiện các bước sau:

1. **Đăng ký xét tuyển:** Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển sẽ được thực hiện theo quy định và hướng dẫn riêng của Nhà trường.
2. **Tham khảo hướng dẫn:** Bạn có thể xem chi tiết ""Hướng dẫn học chuyển tiếp chương trình kỹ sư chuyên sâu đặc thù (180 TC)"" tại cổng thông tin đào tạo của Đại học Bách khoa Hà Nội (ctt.hust.edu.vn).
3. **Thủ tục hành chính:** Nếu cần thực hiện các thủ tục liên quan đến việc đăng ký hoặc thay đổi chương trình đào tạo Kỹ sư chuyên sâu, bạn có thể tải mẫu đơn tương ứng, điền thông tin, xin xác nhận của Trường/Khoa quản lý ngành và gửi về chuyên viên phụ trách (Nguyễn Huy Hùng - email: hung.nguyenhuy@hust.edu.vn).

Để được hướng dẫn chi tiết và xác nhận chính thức về quy trình xét tuyển cho trường hợp cụ thể của mình, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc bộ phận quản lý đào tạo tại Trường/Khoa chuyên ngành mà bạn dự định theo học.","c6af41fa-6b81-4406-9741-1e12a9b33e0d,6c965fc0-0be0-4751-87d4-47ba6b1aa880,d7085a52-6ea2-42fa-8955-e65a17fedeee,eeda9725-fffd-4633-9b5a-53830e3caaeb,3bd80f7a-5584-476c-86be-33d22c8ca522,97f29169-6c64-41b5-89b3-5b46d43e6aec,7fb3baf7-b7bc-4f70-9995-156c082d2bb1,1fec193d-7ca1-4258-b67b-7b721bc94853,ac75f157-2b84-4dd1-8127-ca04dcea21d2,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,57958025-04df-4643-a2eb-f6cdaf6b4ce1,95475683-9f13-5f94-99c8-d6ab0c973c8f,37b43412-4011-58ad-995c-7e29cea4469f,8fe4b849-07db-5b96-9173-26b38e8bd1d1,583a2ce8-651b-4044-ad8f-af4240eae6f1,8bb7a80f-9624-4112-a2f2-be81ebca1db8,10733c54-298f-4ea9-8ead-a60c4f1ed978,f7464bc2-d8e3-4394-9ea5-caa236c450fa,03fcc47c-49dd-4eb4-b05a-f62898a5986d,94cb3b90-7b66-42e0-8330-6f7b531e7e54,7996ce7e-276d-47a6-862b-0c2331119a6d",agent,complex,21,3644.42,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc sinh viên đã tốt nghiệp cử nhân cần đăng ký xét tuyển theo quy định riêng, đồng thời cung cấp hướng dẫn về thủ tục hành chính và nguồn tham khảo cần thiết.",correct,The generated answer includes all the core information from the reference answer while providing additional helpful context and specific contact information for the institution mentioned.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_006,Sinh viên chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu nào?,simple,easy,Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu chuẩn.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo quy định hiện hành, sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu đặc thù.

Tuy nhiên, dữ liệu hiện có chưa liệt kê danh sách cụ thể các chương trình Kỹ sư chuyên sâu mà sinh viên Elitech được phép chuyển tiếp sang. Để có thông tin chính xác và hướng dẫn thủ tục đăng ký phù hợp với ngành học hiện tại của bạn, vui lòng liên hệ trực tiếp với Phòng Đào tạo hoặc Viện quản lý chương trình Elitech của bạn để được hỗ trợ.","e39cd621-0ca2-4096-8aee-6148211fdb26,4ada24cd-4e86-4ba2-8880-2e4dea595247,1fec193d-7ca1-4258-b67b-7b721bc94853,ac75f157-2b84-4dd1-8127-ca04dcea21d2,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,57958025-04df-4643-a2eb-f6cdaf6b4ce1,d2c3a4c4-dbc6-4542-b2b0-cb6897a7f654,583a2ce8-651b-4044-ad8f-af4240eae6f1,fef395c3-b560-4e04-b2b3-1b06f6167fb5,a61742df-8f9a-4a8e-ab81-b217148e2ab0,498bd9e4-f550-4862-bcd5-4f598e09ef65,8f6cbf87-53a1-441a-aeb0-d58f56945ccd,0777413b-8c13-40a7-9ea3-55c8d7907f29,0a3f7251-6ea9-4df3-ad47-869e93e5cb6b",agent,complex,14,2761.43,True,good,grounded,complete,"Câu trả lời phản ánh đúng thông tin trong ngữ cảnh (sinh viên Elitech học chuyển tiếp lên chương trình Kỹ sư chuyên sâu chuẩn) và thừa nhận sự thiếu hụt thông tin chi tiết về danh mục cụ thể nếu có, đồng thời đưa ra hướng dẫn liên hệ phù hợp.",partial,The generated answer incorrectly identifies the target program as 'Kỹ sư chuyên sâu đặc thù' instead of 'Kỹ sư chuyên sâu chuẩn' as stated in the reference.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_007,Sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì phải làm gì?,simple,easy,Sinh viên sẽ cần phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu cung cấp chỉ nêu cấu trúc chương trình đào tạo và chuẩn đầu ra, không đề cập đến quy định hoặc thủ tục khi sinh viên thay đổi định hướng chuyên ngành giữa bậc cử nhân và bậc kỹ sư.","4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,1c71f965-a30a-4054-8676-7851eb052284,dd99bfc5-c5d2-40f1-bb06-177f1a308bbb,1f60bf0b-3383-4083-a8b0-36cbbc687d88,63f7262b-f8ce-4d45-ba18-9e0773cbee45,1d006ced-47a7-4372-8555-a239c9082247",rag_v2,rag,7,3768.84,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ mô tả cấu trúc chương trình đào tạo (số tín chỉ, các khối kiến thức) của bậc cử nhân và kỹ sư, hoàn toàn không chứa thông tin về quy định hay thủ tục xử lý khi sinh viên muốn thay đổi định hướng chuyên ngành. Trợ lý đã trả lời chính xác dựa trên phạm vi ngữ cảnh.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer provides a direct and correct response.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_008,Sinh viên được phép đăng ký học hướng chuyên ngành Kỹ sư như thế nào so với bậc cử nhân?,simple,easy,Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng khác sẽ phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Về việc đăng ký hướng chuyên ngành Kỹ sư (KS) so với bậc cử nhân, quy định của Đại học Bách khoa Hà Nội như sau:

*   **Định hướng chuyên ngành:** Sinh viên được phép học theo hướng chuyên ngành KS phù hợp với định hướng đã chọn ở bậc cử nhân.
*   **Trường hợp thay đổi định hướng:** Nếu sinh viên chọn hướng chuyên ngành KS khác với định hướng ở bậc cử nhân, sinh viên sẽ cần phải học bổ sung các học phần theo quy định.

Nếu bạn cần thêm thông tin chi tiết hoặc hướng dẫn cụ thể về các học phần bổ sung, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ chính xác.","40708bf3-8707-4e3e-8f4f-22adc9e5a154,da4da67a-5a72-4574-ba57-21e7c93be4c8,1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,f6c7379a-8d4f-4703-b216-cc81b96f9c73,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,40708bf3-8707-4e3e-8f4f-22adc9e5a154,720ab953-7802-40d2-bbd5-c485049281a6,da4da67a-5a72-4574-ba57-21e7c93be4c8,1fec193d-7ca1-4258-b67b-7b721bc94853,f6c7379a-8d4f-4703-b216-cc81b96f9c73,4dba1154-7029-4117-beb7-8b8f6d0ff81d,3bdfc505-a39b-49ec-b252-230769593079",agent,complex,14,3649.52,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc lựa chọn hướng chuyên ngành Kỹ sư so với bậc cử nhân, bao gồm cả trường hợp phù hợp và trường hợp cần học bổ sung.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin cốt lõi từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_009,Sinh viên cần hoàn thành những học phần gì để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân 180 TC?,simple,easy,Cần hoàn thành học phần Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp cử nhân 6 tín chỉ.,720ab953-7802-40d2-bbd5-c485049281a6,"Chào bạn, để tốt nghiệp chương trình đào tạo cử nhân 180 tín chỉ tại Đại học Bách khoa Hà Nội, sinh viên cần hoàn thành các khối kiến thức chính sau đây (cấu trúc có thể thay đổi tùy theo ngành đào tạo cụ thể):

**1. Khối Giáo dục đại cương (thường là 51 tín chỉ):**
*   **Toán và khoa học cơ bản:** Thiết kế phù hợp theo nhóm ngành.
*   **Lý luận chính trị và Pháp luật đại cương:** Theo quy định của Bộ GD&ĐT.
*   **Giáo dục thể chất (GDTC) và Giáo dục quốc phòng - an ninh (GD QP-AN):** Theo quy định của Bộ GD&ĐT.
*   **Tiếng Anh:** Gồm các học phần tiếng Anh cơ bản hoặc theo lộ trình HUST START tùy trình độ đầu vào.

**2. Khối Giáo dục chuyên nghiệp (thường là 81 tín chỉ):**
*   **Cơ sở và cốt lõi ngành:** Bao gồm các học phần chuyên môn và các đồ án thiết kế, chế tạo/triển khai.
*   **Kiến thức bổ trợ:** Gồm các học phần bắt buộc về kỹ năng mềm/khởi nghiệp và Viết/thuyết trình kỹ thuật (Technical Writing and Presentation).
*   **Tự chọn theo định hướng/mô đun:** Cung cấp kiến thức chuyên sâu theo từng lĩnh vực ứng dụng.
*   **Thực tập kỹ thuật và Đồ án tốt nghiệp:** Các học phần thực tế và đồ án cuối khóa.

**Lưu ý quan trọng:**
*   Sinh viên cần đăng ký tốt nghiệp theo các đợt xét tốt nghiệp của Nhà trường (cuối mỗi học kỳ chính và học kỳ hè).
*   Tại thời điểm xét tốt nghiệp, sinh viên không được trong thời gian bị truy cứu trách nhiệm hình sự hoặc kỷ luật đình chỉ học tập.
*   Đối với các học phần Giáo dục thể chất và Giáo dục quốc phòng - an ninh, sinh viên bắt buộc phải hoàn thành để đủ điều kiện xét tốt nghiệp.

Vì cấu trúc chi tiết có thể khác nhau tùy theo mã ngành cụ thể, bạn nên tham khảo chương trình đào tạo chi tiết của ngành mình đang theo học trên cổng thông tin đào tạo hoặc liên hệ trực tiếp với Phòng Đào tạo để được hướng dẫn chính xác nhất.","272d72e7-326c-4c72-8816-a645d10f2391,af34153a-8b1e-4280-8b9f-82e63705702e,7e4d4297-1f98-4602-aeaa-539cd77c3c1f,d7f2014c-ffbd-4eac-8bf1-8513e0ecf0c4,f97f50c3-b0c3-4275-9d9d-33bedb81ffad,c003758b-eba0-426e-8a33-e8b3761171f1,720ab953-7802-40d2-bbd5-c485049281a6,10733c54-298f-4ea9-8ead-a60c4f1ed978,63238a1f-b201-429a-ad20-002a67a82ff3,a22d61ee-68ea-4273-b975-c186d2d63842,8fd80084-2714-48f8-a06a-30264ee58d26,14276e2b-436c-41ac-80fc-e4e1b3c7b757,03fcc47c-49dd-4eb4-b05a-f62898a5986d,a94a0dc5-b08b-4727-aca1-05a79ad2a07a",agent,complex,14,4539.63,False,good,hallucinated,incomplete,"Câu trả lời của trợ lý đã tự ý đưa ra các thông tin về cấu trúc khối kiến thức (51 tín chỉ, 81 tín chỉ, các môn cụ thể...) mà không có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ đề cập đến điều kiện về thời điểm xét tốt nghiệp, tình trạng kỷ luật và việc hoàn thành các học phần Giáo dục quốc phòng-an ninh/Giáo dục thể chất, chứ không liệt kê chi tiết các học phần cần hoàn thành cho chương trình 180 tín chỉ.",partial,Câu trả lời được tạo ra liệt kê các khối kiến thức chung chung thay vì chỉ rõ hai học phần cụ thể bắt buộc để tốt nghiệp như yêu cầu của câu hỏi và đáp án tham khảo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1429,0.3333
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_010,Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu thì điều gì xảy ra?,simple,easy,Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.,720ab953-7802-40d2-bbd5-c485049281a6,"Theo hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, nếu sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên chương trình Kỹ sư chuyên sâu thì sẽ xảy ra các vấn đề sau:

*   Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.
*   Trên hệ thống quản lý học tập, trạng thái của sinh viên sẽ là ""Tốt nghiệp ra trường"".","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,d32b24de-fe79-47f8-ab79-fded4431941f,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,c6af41fa-6b81-4406-9741-1e12a9b33e0d,d7085a52-6ea2-42fa-8955-e65a17fedeee,4a325b03-664f-45bb-bfcc-7b624e3e2b27",rag_v2,rag,7,3812.45,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các thông tin được cung cấp trong ngữ cảnh về quy định đối với sinh viên đã tốt nghiệp cử nhân nhưng chưa đăng ký học chuyển tiếp lên chương trình Kỹ sư chuyên sâu.",correct,Câu trả lời đã bao gồm thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin chi tiết về trạng thái trên hệ thống mà không làm sai lệch nội dung.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
