id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_001,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do cơ quan nào ban hành và quy định về vấn đề gì?,simple,easy,"Do Bộ Giáo dục và Đào tạo cùng Bộ Lao động, Thương binh và Xã hội ban hành. Quy định tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.",08d0e430-3330-43f5-8c28-ab3347dbccdf,"Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do Bộ Giáo dục và Đào tạo phối hợp cùng Bộ Lao động - Thương binh và Xã hội ban hành.

Thông tư này quy định về việc tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học.","08d0e430-3330-43f5-8c28-ab3347dbccdf,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,854b7e9d-aa64-4499-a464-5d0cb6966af9",rag_v2,rag,5,8808.6,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và hoàn toàn dựa trên ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu đầy đủ và chính xác cơ quan ban hành cũng như nội dung quy định của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH giống với đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_002,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày nào?,simple,easy,Có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015.,1edf2db3-b901-4141-a927-e23a677a4b6c,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015.,"1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,4,6781.19,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin có trong ngữ cảnh được cung cấp tại Điều 14.",correct,Câu trả lời được tạo ra cung cấp thông tin chính xác và trùng khớp hoàn toàn với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_003,Thông tư liên tịch 18/2015 thay thế những văn bản quy phạm pháp luật nào trước đó về GDQP&AN?,simple,easy,"Thay thế Thông tư số 40/2012/TT-BGDĐT ngày 19/11/2012 của Bộ GD&ĐT và Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25/11/2008 của Bộ LĐ-TB&XH về tổ chức dạy, học và đánh giá kết quả môn GDQP&AN.",1edf2db3-b901-4141-a927-e23a677a4b6c,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, văn bản này thay thế các quy định sau:

*   Thông tư số 40/2012/TT-BGDĐT ngày 19 tháng 11 năm 2012 của Bộ Giáo dục và Đào tạo ban hành Quy định tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng - an ninh trong các trường trung cấp, trường cao đẳng, trường đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN.
*   Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25 tháng 11 năm 2008 của Bộ Lao động - Thương binh và Xã hội ban hành Quy chế tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở dạy nghề.","1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,067507d1-850f-4166-b854-6c1365b6fd72,2ed31f4b-7260-46ec-8e25-5deba83736d3,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,6,10176.92,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác các văn bản được thay thế bởi Thông tư liên tịch 18/2015 dựa trên Điều 14 của ngữ cảnh cung cấp.,correct,"Câu trả lời đã nêu chính xác các văn bản bị thay thế bởi Thông tư liên tịch 18/2015, tương đương với nội dung trong đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_004,Thông tư liên tịch 18/2015 áp dụng đối với những loại cơ sở giáo dục nào?,simple,easy,"Áp dụng với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, gồm: trường trung cấp, trường cao đẳng, trường đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN; cùng các tổ chức, cá nhân có liên quan.",03c9a959-4ba4-412c-b20c-72a8165cfcab,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, quy định này áp dụng đối với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, bao gồm:

*   Trường trung cấp
*   Trường cao đẳng
*   Trường đại học
*   Học viện
*   Đại học vùng
*   Đại học Quốc gia
*   Trung tâm GDQP&AN
*   Các tổ chức, cá nhân có liên quan.","03c9a959-4ba4-412c-b20c-72a8165cfcab,7c98260f-6b4c-4faf-a818-24ede6b399b3,08d0e430-3330-43f5-8c28-ab3347dbccdf,1edf2db3-b901-4141-a927-e23a677a4b6c,854b7e9d-aa64-4499-a464-5d0cb6966af9,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6",rag_v2,rag,6,6308.94,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 1 của Thông tư 18/2015.",correct,Câu trả lời được tạo ra đã liệt kê đầy đủ và chính xác các đối tượng áp dụng theo Thông tư liên tịch 18/2015 như trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_005,Môn học GDQP&AN có vị trí như thế nào trong chương trình giáo dục tại các cơ sở giáo dục?,simple,easy,"GDQP&AN là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân, an ninh nhân dân, là môn học chính khóa thuộc chương trình giáo dục của các cơ sở giáo dục.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo tài liệu đã cung cấp, môn học Giáo dục quốc phòng và an ninh (GDQP&AN) có vị trí như sau:

*   Là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân, an ninh nhân dân.
*   Là môn học chính khóa thuộc chương trình giáo dục của các cơ sở giáo dục.","927dd722-b363-4d76-8e60-008ce78d898e,12ba5d70-d4c5-42c9-a41e-715480b304f8,c3120733-3886-44a0-b45f-bd96cd2f1232,bae4b92c-3738-4703-9dc0-7fb18ac2194b,47c2be76-dc8c-4175-b8ed-41159ce70426,1edf2db3-b901-4141-a927-e23a677a4b6c,f8a15b5a-4da9-49dc-a892-e25e30f955b6",rag_v2,rag,7,8892.61,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2 trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_006,Môn học GDQP&AN trang bị cho sinh viên những kiến thức gì?,simple,easy,"Trang bị kiến thức cơ bản về nền quốc phòng toàn dân, an ninh nhân dân; quan điểm của Đảng, chính sách pháp luật nhà nước về quốc phòng - an ninh; truyền thống chống ngoại xâm, lực lượng vũ trang, nghệ thuật quân sự Việt Nam; kiến thức về phòng thủ dân sự, kỹ năng quân sự; sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo quy định tại Điều 2, môn học GDQP&AN trang bị cho sinh viên những kiến thức sau:

*   Hiểu biết cơ bản về nền quốc phòng toàn dân, an ninh nhân dân.
*   Quan điểm của Đảng, chính sách, pháp luật của nhà nước về quốc phòng và an ninh.
*   Truyền thống chống ngoại xâm của dân tộc, lực lượng vũ trang nhân dân và nghệ thuật quân sự Việt Nam.
*   Kiến thức về xây dựng nền quốc phòng toàn dân, an ninh nhân dân, lực lượng vũ trang nhân dân.
*   Kiến thức cơ bản, cần thiết về phòng thủ dân sự và kỹ năng quân sự.
*   Sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.","927dd722-b363-4d76-8e60-008ce78d898e,12ba5d70-d4c5-42c9-a41e-715480b304f8,f8a15b5a-4da9-49dc-a892-e25e30f955b6,4cc1171a-bff4-4bda-92aa-51428f57d368,4048c721-2b2a-4a78-b11e-479490cef9b1,3c76013b-ff3d-4835-97ef-b9a7c5f9acfa,e2a1951a-2d3a-46fd-8186-10dd4642e834",rag_v2,rag,7,8479.27,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác và đầy đủ các nội dung kiến thức mà môn học GDQP&AN trang bị cho sinh viên dựa trên Điều 2 của ngữ cảnh được cung cấp.,correct,The generated answer covers all the key points mentioned in the reference answer and provides a more structured presentation.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_007,"Theo Thông tư liên tịch 18/2015, giáo viên dạy GDQP&AN phải mặc trang phục như thế nào khi giảng dạy?",simple,easy,"Khi giảng dạy tại giảng đường hoặc trên thao trường phải mặc trang phục GDQP&AN theo quy định. Giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo quy định tại Điều 3, Chương I của tài liệu, khi giảng dạy tại giảng đường hoặc trên thao trường, giáo viên dạy GDQP&AN phải tuân thủ các yêu cầu về trang phục như sau:

*   Giáo viên, giảng viên phải mang mặc trang phục GDQP&AN theo quy định.
*   Giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mang mặc theo Điều lệnh quân đội, công an nhân dân.","12ba5d70-d4c5-42c9-a41e-715480b304f8,03c9a959-4ba4-412c-b20c-72a8165cfcab,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,3,8504.07,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh tại Điều 3, Chương I.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_008,"Dạy, học GDQP&AN phải đảm bảo những nguyên tắc gì theo Điều 3 Thông tư liên tịch 18/2015?",simple,easy,"Phải đảm bảo tính toàn diện, có trọng tâm trọng điểm; kết hợp lý luận và thực tiễn, lý thuyết và thực hành; phù hợp quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Điều 3 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, việc dạy và học môn Giáo dục quốc phòng và an ninh (GDQP&AN) phải tuân thủ các nguyên tắc và yêu cầu sau:

*   **Tính toàn diện và phương pháp:** Phải bảo đảm tính toàn diện, có trọng tâm, trọng điểm bằng các hình thức phù hợp; kết hợp giữa lý luận và thực tiễn, giữa lý thuyết và thực hành.
*   **Sự phù hợp:** Phù hợp với quy chế tổ chức đào tạo của từng trình độ.
*   **Giáo dục tư tưởng và kỹ năng:** Phải gắn liền với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.
*   **Trang phục:** Giáo viên, giảng viên khi giảng dạy tại giảng đường hoặc thao trường phải mặc trang phục GDQP&AN theo quy định; đối với sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.
*   **Tuân thủ kế hoạch và an toàn:** Giáo viên, giảng viên, cán bộ quản lý, học sinh, sinh viên phải thực hiện đúng, đủ kế hoạch giảng dạy, học tập, nội quy, quy tắc về đảm bảo an toàn về người, vũ khí và trang thiết bị.","12ba5d70-d4c5-42c9-a41e-715480b304f8,cf2ea3f2-4eb4-40c8-b63d-45b52d63fec8,03c9a959-4ba4-412c-b20c-72a8165cfcab,bae4b92c-3738-4703-9dc0-7fb18ac2194b,067507d1-850f-4166-b854-6c1365b6fd72,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,7,14141.72,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác các nội dung từ Điều 3 của ngữ cảnh được cung cấp.,correct,The generated answer includes all the principles mentioned in the reference answer while providing additional relevant details from the same article of the circular.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_009,Sinh viên nào được miễn toàn bộ môn học GDQP&AN theo Thông tư liên tịch 18/2015?,simple,easy,"Ba đối tượng được miễn: (a) sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do trường quân đội, công an cấp; (b) sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo; (c) sinh viên là người nước ngoài.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, các đối tượng được miễn học toàn bộ môn học Giáo dục quốc phòng và an ninh (GDQP&AN) bao gồm:

*   Học sinh, sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do các trường quân đội, công an cấp.
*   Học sinh, sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo.
*   Học sinh, sinh viên là người nước ngoài.

Để biết thêm thông tin về thủ tục miễn học, bạn có thể xem hướng dẫn và mẫu đơn [tại đây](https://docs.google.com/document/d/1ubhKJQtnzYFwZwI1q5uSXIywiMx1ACBT/edit?usp=sharing&ouid=101159646455627822179&rtpof=true&sd=true).","f8a15b5a-4da9-49dc-a892-e25e30f955b6,84073f1e-03d5-4af1-8e92-b27177ccb8d9,c3120733-3886-44a0-b45f-bd96cd2f1232,03c9a959-4ba4-412c-b20c-72a8165cfcab,7c98260f-6b4c-4faf-a818-24ede6b399b3,9ebee123-3237-4f37-9512-c8adaa6eb6e4,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,7,14877.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 4, Khoản 1 của Thông tư liên tịch 18/2015 được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã nêu đầy đủ và chính xác các đối tượng được miễn học GDQP&AN theo quy định, tương đương với thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_010,Sinh viên được miễn học một số học phần trong chương trình GDQP&AN khi nào?,simple,easy,"Khi có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5 điểm trở lên theo thang điểm 10.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Sinh viên được miễn học, miễn thi các học phần hoặc nội dung trong chương trình GDQP&AN khi có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5 điểm trở lên theo thang điểm 10.

Ngoài ra, sinh viên có thể xem hướng dẫn và mẫu đơn xin miễn GDQP-AN [tại đây](https://docs.google.com/document/d/1ubhKJQtnzYFwZwI1q5uSXIywiMx1ACBT/edit?usp=sharing&ouid=101159646455627822179&rtpof=true&sd=true).","f8a15b5a-4da9-49dc-a892-e25e30f955b6,84073f1e-03d5-4af1-8e92-b27177ccb8d9,9ebee123-3237-4f37-9512-c8adaa6eb6e4",rag_v2,rag,3,13612.83,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác điều kiện miễn học/miễn thi học phần GDQP&AN theo ngữ cảnh cung cấp và cung cấp thêm thông tin hữu ích về thủ tục đăng ký tại trường.,correct,Câu trả lời đã nêu đầy đủ thông tin chính xác như đáp án tham khảo và cung cấp thêm thông tin bổ sung hữu ích mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
