id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
1__QD_Hoc_bong_KKHT_2023_simple_001,Quyết định ban hành Quy định xét cấp học bổng KKHT tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,89046781-0122-48eb-85c2-7baed599923d,Quyết định ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc (ký thay Giám đốc) ký.,"89046781-0122-48eb-85c2-7baed599923d,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6,0b8da89f-51d2-48ec-9752-ade4b2dd1456,eb93021c-c166-41d3-8ce2-7bab03c2cbef,51697373-bff8-4e3d-b4b7-0445464c1e79,56b2f15f-466c-40f3-9ec2-b29c81b15872,60f95c34-f5ea-45a6-806b-2ebb55e8db5e",rag_v2,rag,7,15450.41,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh (phần đầu tiên của tài liệu).,correct,Cả hai câu trả lời đều xác định đúng người ký là PGS.TS. Nguyễn Phong Điền với tư cách là Phó Giám đốc ký thay Giám đốc.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_002,Quy định xét cấp học bổng KKHT của Đại học Bách khoa Hà Nội áp dụng đối với đối tượng sinh viên nào?,simple,easy,Áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,"Theo Quy định xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, đối tượng áp dụng là sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của ĐHBK Hà Nội.","2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,8fbc8520-f66a-4849-a64e-b3e5086459f2,ba5ffe2a-b465-4912-bac3-ab63163a5e55,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,075114cd-700b-422e-ae89-9f27c672dcd3,01a026a0-8d35-4898-a00c-080a11634939,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,7,5676.2,True,good,grounded,complete,"Câu trả lời chính xác và đầy đủ dựa trên thông tin tại Điều 1, mục 2 của tài liệu 'QUY ĐỊNH XÉT CẤP HỌC BỔNG KHUYẾN KHÍCH HỌC TẬP TẠI ĐẠI HỌC BÁCH KHOA HÀ NỘI'.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin về đối tượng áp dụng học bổng KKHT giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_003,Học bổng KKHT tại Đại học Bách khoa Hà Nội được xét theo chu kỳ nào trong năm học?,simple,easy,"Học bổng KKHT được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.",075114cd-700b-422e-ae89-9f27c672dcd3,"Học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.","075114cd-700b-422e-ae89-9f27c672dcd3,61ad4466-603d-4799-a251-6382f4db1234,346ca798-e5db-4dad-bbad-904cfc80453b,b1cd7b78-9893-4784-8f6c-b6dce5f07eb5,9d6ff65f-2a99-4a81-b296-37259497f611",rag_v2,rag,5,9926.65,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 1).",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp về nội dung và ý nghĩa với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_004,Quỹ học bổng KKHT tại Đại học Bách khoa Hà Nội được hình thành từ nguồn nào và chiếm bao nhiêu phần trăm?,simple,easy,Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% học phí của học kỳ lấy điểm xét cấp học bổng.,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, quỹ học bổng được hình thành từ nguồn học phí và chiếm 8% học phí của học kỳ lấy điểm xét cấp học bổng.","075114cd-700b-422e-ae89-9f27c672dcd3,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,3,7368.98,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_005,Học bổng KKHT loại A (xuất sắc) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại A (xuất sắc) bằng 1,5 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại xuất sắc (loại A) có giá trị bằng 1,5 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,dd0edcae-b5fc-4abe-bac4-d82f3556ef19",rag_v2,rag,3,7366.18,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 4c).",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_006,Học bổng KKHT loại B (giỏi) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại B (giỏi) bằng 1,2 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại giỏi (loại B) có giá trị bằng 1,2 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,dd0edcae-b5fc-4abe-bac4-d82f3556ef19",rag_v2,rag,3,13117.97,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 4b).",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_007,Mức học bổng KKHT loại C (khá) được tính như thế nào tại Đại học Bách khoa Hà Nội?,simple,easy,Học bổng loại khá (loại C) bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, mức học bổng loại khá (loại C) được tính bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).","075114cd-700b-422e-ae89-9f27c672dcd3,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,eb93021c-c166-41d3-8ce2-7bab03c2cbef",rag_v2,rag,3,7875.69,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh tại Điều 2, mục 4a.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_008,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại C (khá)?,simple,easy,"GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, để được xét học bổng loại C (loại khá), sinh viên cần đạt các tiêu chuẩn sau:

*   **GPA:** ≥ 2,5
*   **Điểm rèn luyện học kỳ:** ≥ 65 điểm","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,3,16514.71,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về GPA và điểm rèn luyện tối thiểu theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_009,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại B (giỏi)?,simple,easy,"GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo tài liệu **1._QĐ_Học_bổng_KKHT_2023**, Điều 3, để được xét học bổng KKHT loại B (giỏi), sinh viên cần đạt:

- **GPA ≥ 3,2**
- **Điểm rèn luyện học kỳ ≥ 80 điểm**","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,3,13775.79,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác các thông tin về GPA và điểm rèn luyện theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_010,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại A (xuất sắc)?,simple,easy,"GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy chế xét cấp học bổng khuyến khích học tập (KKHT) của Đại học Bách khoa Hà Nội, để được xét học bổng loại A (xuất sắc), sinh viên cần đạt:

- **GPA** ≥ 3,6
- **Điểm rèn luyện học kỳ** ≥ 90 điểm

(Thông tin từ Điều 3 của Quy định xét cấp học bổng KKHT)","/www.facebook.com/dhbkhanoi/posts/b%E1%BA%A1n-c%C3%B3-bi%E1%BA%BFth%E1%BB%8Dc-b%E1%BB%95ng-khuy%E1%BA%BFn-kh%C3%ADch-h%E1%BB%8Dc-t%E1%BA%ADp-kkht-c%E1%BA%A5p-cho-c%C3%A1c-sinh-vi%C3%AAn-theo-t%E1%BB%ABng-h%E1%BB%8D/2108126089325403,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=43473,/ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/Quy%20%C4%91%E1%BB%8Bnh%20v%E1%BB%81%20vi%E1%BB%87c%20x%C3%A9t%20c%E1%BA%A5p%20HB%20KKHT.pdf,075114cd-700b-422e-ae89-9f27c672dcd3,2d9397a2-c900-4852-a039-a9eca2695ac2,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,6,22423.85,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 3 của Quy định xét cấp học bổng KKHT).",correct,"Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về GPA và điểm rèn luyện theo yêu cầu của câu hỏi, tương đương với câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.3869,1.0,0.1429,1.0,0.2,0.3869
1__QD_Hoc_bong_KKHT_2023_simple_011,Kết quả của học kỳ nào được dùng để xét học bổng KKHT tại Đại học Bách khoa Hà Nội?,simple,easy,Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau.,01a026a0-8d35-4898-a00c-080a11634939,"Theo các thông báo về kết quả xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, kết quả được dùng để xét học bổng là kết quả học tập và rèn luyện của học kỳ tương ứng. Cụ thể, đối với thông báo gần nhất, kết quả xét cấp học bổng là của **học kỳ II năm học 2025-2026**.

Bạn có thể xem chi tiết danh sách sinh viên được nhận học bổng [tại đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/IQD6aDkf6pBaS4kZmvT2JNTFATdV1EgsODZKi1p00GpHPRc?e=vfaut2) và xem chi tiết quy định về việc xét cấp học bổng KKHT [tại đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/ESCBPVQlzNFOlglsvRwxAZYBqxdZc6QR_f9Y2TuGC2IiSA?e=Pszv9k).","3d17ef49-f15b-4846-b700-7b48a37dcd56,8bb406fc-5dd3-47ae-9220-c5f46d63e205,f4fbfa2f-1578-4509-abcf-3b06f03cc776,9584d3fb-8652-454f-88d6-1721edec0963",rag_v2,rag,4,7546.3,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp, xác định rõ học bổng KKHT được xét dựa trên kết quả học tập và rèn luyện của chính học kỳ đó.",incorrect,"The generated answer provides incorrect information by stating the result is based on the 'corresponding semester' and cites a future academic year (2025-2026), whereas the correct policy is to use the results of the immediately preceding semester.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1__QD_Hoc_bong_KKHT_2023_simple_012,"Khi hai sinh viên có cùng GPA khi xét học bổng KKHT tại Bách khoa, tiêu chí nào được dùng để phân biệt thứ tự ưu tiên?",simple,easy,Ưu tiên sinh viên có điểm rèn luyện cao hơn.,01a026a0-8d35-4898-a00c-080a11634939,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, khi hai sinh viên có cùng điểm GPA, tiêu chí được dùng để phân biệt thứ tự ưu tiên là **điểm rèn luyện** (ưu tiên sinh viên có điểm rèn luyện cao hơn).","01a026a0-8d35-4898-a00c-080a11634939,075114cd-700b-422e-ae89-9f27c672dcd3,eaeeb63b-e5d2-442c-aeb1-77e5a3f5151b",rag_v2,rag,3,10874.53,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào Điều 4, khoản 2 của ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu chính xác tiêu chí ưu tiên là điểm rèn luyện khi GPA bằng nhau, tương đồng hoàn toàn với đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
