id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_001,Quyết định 5777/QĐ-ĐHBK về quản lý sinh viên nước ngoài tại Đại học Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 18 tháng 7 năm 2023.,56b2f15f-466c-40f3-9ec2-b29c81b15872,"Quyết định số 5777/QĐ-ĐHBK về việc ban hành quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội được ban hành vào ngày 18 tháng 7 năm 2023.","56b2f15f-466c-40f3-9ec2-b29c81b15872,ea86d08d-0051-4f6f-a93e-3a2983ccc1c8,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,5,8742.35,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin có trong ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác ngày ban hành quyết định theo đúng thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_002,Lưu học sinh Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học Bách khoa Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.",07c0b91d-2e67-46fa-89d7-313c05fd4a6d,"Lưu học sinh Hiệp định tại Đại học Bách khoa Hà Nội là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1,44f35944-3bf7-4ddb-84fc-e1570e33919f",rag_v2,rag,6,7780.85,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_003,Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) tại Đại học theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng cho sinh viên.

Bạn có thể xem chi tiết quy định tại [bản tiếng Việt](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing) hoặc [bản tiếng Anh](https://docs.google.com/document/d/1PgU_N9d9y-SxsCWRGTcDScyt-9x_KzaJ/edit?usp=sharing&ouid=109611688586793764116&rtpof=true&sd=true).","8fbc8520-f66a-4849-a64e-b3e5086459f2,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,6763c7e6-e904-4a63-b6cd-6d8501577078,f724ba64-2b4e-4d8f-a8c0-26fd38e480da",rag_v2,rag,6,8426.87,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu, đồng thời cung cấp thêm đường dẫn tài liệu hữu ích.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_004,Lưu học sinh trao đổi tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của Đại học Bách khoa Hà Nội hoặc các đơn vị thuộc/trực thuộc.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, lưu học sinh trao đổi là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của ĐHBK Hà Nội hoặc các đơn vị thuộc/trực thuộc ĐHBK Hà Nội.

Bạn có thể xem chi tiết văn bản quy định [tại đây](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing).","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2,rag,5,10716.57,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",incorrect,"Judge call error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 11.249279645s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.1-flash-lite', 'location': 'global'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '11s'}]}}]",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_005,Hồ sơ quản lý lưu học sinh học tập dài hạn tại Đại học Bách khoa Hà Nội cần có những giấy tờ gì?,simple,easy,"Gồm: lý lịch tóm tắt có dán ảnh (1 bản); quyết định tiếp nhận của Đại học (1 bản); bản sao hộ chiếu có thị thực nhập cảnh còn thời hạn (1 bản); bản sao bảo hiểm y tế còn hiệu lực; ảnh 4x6cm chụp không quá 6 tháng (4 ảnh); các văn bản, quyết định liên quan (nếu có).",8502405d-fb25-42ca-9d31-770bc2d5e0a4,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, hồ sơ quản lý đối với lưu học sinh (LHS) học tập dài hạn bao gồm các giấy tờ sau:

*   Lý lịch tóm tắt có dán ảnh (theo mẫu): 1 bản
*   Quyết định tiếp nhận của ĐHBK Hà Nội: 1 bản
*   Bản sao hộ chiếu có thị thực nhập cảnh Việt Nam còn thời hạn: 1 bản
*   Bản sao bảo hiểm y tế có giá trị trong thời hạn LHS thực hiện trao đổi tại ĐHBK Hà Nội
*   Ảnh cỡ 4x6 cm (chụp không quá 6 tháng tính đến ngày nộp hồ sơ): 4 ảnh
*   Các văn bản, quyết định liên quan trực tiếp đến LHS (nếu có) trong quá trình LHS học tập tại ĐHBK Hà Nội

Bạn có thể xem chi tiết bản tiếng Việt [tại đây](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing).","8502405d-fb25-42ca-9d31-770bc2d5e0a4,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,3,8474.08,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác và đầy đủ các thành phần hồ sơ cho lưu học sinh học tập dài hạn từ ngữ cảnh được cung cấp.,correct,The generated answer includes all the required documents listed in the reference answer and provides the same information with additional helpful context.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_006,Lưu học sinh tại Đại học Bách khoa Hà Nội có được xét cấp học bổng không?,simple,easy,"Có, lưu học sinh được xét/đăng ký xét cấp các loại học bổng dành cho sinh viên Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo Quy chế đào tạo, lưu học sinh tại Đại học Bách khoa Hà Nội được xét hoặc đăng ký xét cấp các loại học bổng dành cho sinh viên của Đại học.","40828341-95ce-4b09-b4aa-6a90ba4643b1,eb93021c-c166-41d3-8ce2-7bab03c2cbef,01a026a0-8d35-4898-a00c-080a11634939,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,51697373-bff8-4e3d-b4b7-0445464c1e79,0b8da89f-51d2-48ec-9752-ade4b2dd1456,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6",rag_v2,rag,7,13861.49,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ Điều 3, khoản 8 trong ngữ cảnh được cung cấp, khẳng định lưu học sinh được quyền xét/đăng ký xét cấp học bổng.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin chính xác như đáp án tham khảo, chỉ bổ sung thêm nguồn căn cứ là Quy chế đào tạo.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_007,Lưu học sinh tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục gì liên quan đến thị thực nhập cảnh?,simple,easy,"Được hỗ trợ làm các thủ tục cấp, gia hạn, thay đổi thị thực nhập cảnh phù hợp với kế hoạch học tập tại Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo quy định, lưu học sinh (LHS) tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục liên quan đến thị thực nhập cảnh như sau:

*   **Hỗ trợ thủ tục:** Được hỗ trợ làm các thủ tục cấp, gia hạn hoặc thay đổi thị thực nhập cảnh để phù hợp với kế hoạch học tập tại Đại học.
*   **Quy trình thực hiện:**
    *   LHS cần chuẩn bị hồ sơ theo mẫu quy định.
    *   Gửi hồ sơ đến Phòng/Ban chức năng Công tác sinh viên (đối với LHS Hiệp định và LHS ngoài Hiệp định) hoặc Phòng/Ban chức năng Hợp tác đối ngoại (đối với LHS trao đổi).
*   **Lưu ý:**
    *   Các đề nghị về gia hạn hoặc thay đổi thị thực được giải quyết theo quy định hiện hành của cơ quan quản lý xuất, nhập cảnh Việt Nam và của Đại học.
    *   LHS phải trả lệ phí cấp, gia hạn hoặc thay đổi thị thực theo quy định hiện hành của Nhà nước Việt Nam.
    *   LHS phải đảm bảo có thị thực nhập cảnh đúng với mục đích học tập, thực tập, nghiên cứu hoặc trao đổi tại Đại học.","40828341-95ce-4b09-b4aa-6a90ba4643b1,7b92ab2b-5cc3-4278-8e44-abc1733a4c13,8502405d-fb25-42ca-9d31-770bc2d5e0a4,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,44f35944-3bf7-4ddb-84fc-e1570e33919f,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,7,7397.85,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác và bám sát ngữ cảnh được cung cấp về quyền lợi và quy trình hỗ trợ thị thực cho lưu học sinh tại Đại học Bách khoa Hà Nội.",correct,The generated answer includes all the information from the reference answer and provides additional relevant details regarding the process and requirements.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_008,Tập thể lưu học sinh cùng một nước tại Đại học Bách khoa Hà Nội có thể chọn ai để làm đầu mối liên hệ với Đại học?,simple,easy,Tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.,40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo quy định, tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.","40828341-95ce-4b09-b4aa-6a90ba4643b1,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,3,28647.73,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ ngữ cảnh (Điều 3, khoản 3) về việc tập thể lưu học sinh cùng một nước có thể cử đại diện làm đầu mối liên hệ với Đại học.",correct,"Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu, chỉ bổ sung thêm cụm từ 'Theo quy định' không làm thay đổi ý nghĩa.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_009,Lưu học sinh tại Đại học Bách khoa Hà Nội có bắt buộc phải có bảo hiểm y tế không và cần đăng ký khám chữa bệnh ở đâu?,simple,easy,"Có, lưu học sinh bắt buộc phải có bảo hiểm y tế và đăng ký khám, chữa bệnh tại một trong các bệnh viện tại Hà Nội hoặc Trung tâm Y tế của Đại học Bách khoa Hà Nội trong toàn bộ quá trình học tập.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Chào bạn, về vấn đề bảo hiểm y tế (BHYT) đối với lưu học sinh tại Đại học Bách khoa Hà Nội, tôi xin giải đáp như sau:

1. **Quy định về BHYT:** Lưu học sinh **bắt buộc** phải có bảo hiểm y tế trong toàn bộ quá trình học tập tại Đại học Bách khoa Hà Nội.

2. **Nơi đăng ký khám chữa bệnh:** Lưu học sinh cần đăng ký khám, chữa bệnh tại một trong các địa điểm sau:
   - Trung tâm Y tế của Đại học Bách khoa Hà Nội (địa chỉ: số 5 phố Tạ Quang Bửu, cạnh KTX nhà B10).
   - Hoặc các bệnh viện khác tại Hà Nội.

Để được hỗ trợ chi tiết hơn về các thủ tục hành chính hoặc tư vấn cụ thể, bạn có thể liên hệ với các đơn vị quản lý lưu học sinh hoặc Phòng Đào tạo của Nhà trường.","e2336e32-5532-4a31-9810-8d086c348eeb,5c706c54-e110-4d33-904d-7f49c91d0a39,0e407510-3c1b-4a3c-8008-ef02d280b5a7,44f35944-3bf7-4ddb-84fc-e1570e33919f,8502405d-fb25-42ca-9d31-770bc2d5e0a4,4d982f49-7443-47b7-8e38-88037215cd43,40828341-95ce-4b09-b4aa-6a90ba4643b1,8fbc8520-f66a-4849-a64e-b3e5086459f2",agent,complex,8,10349.45,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc lưu học sinh bắt buộc phải có BHYT và nơi đăng ký khám chữa bệnh theo quy định tại Điều 4, mục 7 của tài liệu về lưu học sinh.",correct,Câu trả lời đã truyền tải đầy đủ các thông tin chính từ đáp án tham khảo và cung cấp thêm thông tin chi tiết hữu ích mà không làm sai lệch nội dung.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_010,Lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm gì về việc đóng học phí?,simple,easy,"Phải đóng học phí đầy đủ, đúng hạn theo quy định hiện hành của Đại học Bách khoa Hà Nội đối với lưu học sinh.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Theo quy định tại Điều 4 về trách nhiệm của lưu học sinh, lưu học sinh có trách nhiệm đóng học phí đầy đủ và đúng hạn theo quy định hiện hành của ĐHBK Hà Nội.","44f35944-3bf7-4ddb-84fc-e1570e33919f,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,f724ba64-2b4e-4d8f-a8c0-26fd38e480da,40828341-95ce-4b09-b4aa-6a90ba4643b1,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,8fbc8520-f66a-4849-a64e-b3e5086459f2",rag_v2,rag,7,7532.07,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 4, khoản 8).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính về trách nhiệm đóng học phí đầy đủ và đúng hạn theo quy định của trường.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_011,Lưu học sinh Hiệp định và ngoài Hiệp định tại Bách khoa Hà Nội đăng ký thông tin cư trú với đơn vị nào?,simple,easy,Đăng ký với Phòng/Ban chức năng Công tác sinh viên.,441faaac-c820-44f6-bbf4-6db6579e5960,"Theo quy định về quản lý, hỗ trợ sinh viên nước ngoài tại Đại học Bách khoa Hà Nội, Lưu học sinh (LHS) Hiệp định và ngoài Hiệp định phải đăng ký thông tin cư trú, kế hoạch học tập, trao đổi và thông báo khi có bất kỳ sự thay đổi nào liên quan tới vấn đề cư trú tại Việt Nam với **Phòng/Ban chức năng Công tác sinh viên**.

Bạn có thể xem chi tiết văn bản quy định tại [đây](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing).","441faaac-c820-44f6-bbf4-6db6579e5960,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,8fbc8520-f66a-4849-a64e-b3e5086459f2,d0804d84-445e-4c11-aec8-95d591df8edd,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,6,6424.1,False,bad,hallucinated,incomplete,"Self-eval crashed: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 10.08239303s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-flash-lite'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}]",correct,"Câu trả lời đã cung cấp chính xác thông tin về đơn vị cần đăng ký cư trú là Phòng/Ban chức năng Công tác sinh viên, tương đồng với đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_012,Lưu học sinh trao đổi tại Bách khoa Hà Nội đăng ký thông tin cư trú với đơn vị nào?,simple,easy,Đăng ký với Phòng/Ban chức năng Hợp tác đối ngoại.,441faaac-c820-44f6-bbf4-6db6579e5960,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, lưu học sinh trao đổi cần đăng ký thông tin cư trú với Phòng/Ban chức năng Hợp tác đối ngoại.","441faaac-c820-44f6-bbf4-6db6579e5960,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,8fbc8520-f66a-4849-a64e-b3e5086459f2,44f35944-3bf7-4ddb-84fc-e1570e33919f",rag_v2,rag,5,10842.17,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin tại Điều 5, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về đơn vị cần đăng ký cư trú theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_013,"Lưu học sinh cần cấp, gia hạn hoặc thay đổi thị thực nhập cảnh gửi hồ sơ đến đơn vị nào tại Bách khoa?",simple,easy,LHS Hiệp định và LHS ngoài Hiệp định gửi đến Phòng/Ban chức năng Công tác sinh viên. LHS trao đổi gửi đến Phòng/Ban chức năng Hợp tác đối ngoại.,7b92ab2b-5cc3-4278-8e44-abc1733a4c13,"Theo quy định về thủ tục cấp, gia hạn hoặc thay đổi thị thực nhập cảnh, lưu học sinh (LHS) cần chuẩn bị hồ sơ theo mẫu và gửi đến các đơn vị sau:

*   **Phòng/Ban chức năng Công tác sinh viên:** Đối với LHS Hiệp định và LHS ngoài Hiệp định.
*   **Phòng/Ban chức năng Hợp tác đối ngoại:** Đối với LHS trao đổi.","7b92ab2b-5cc3-4278-8e44-abc1733a4c13,cc5b955a-00f1-409c-8ad2-98be4c63abf2,c3010287-ac02-4981-87c1-dd549b118b8c,8502405d-fb25-42ca-9d31-770bc2d5e0a4,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2,rag,7,13621.72,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 6 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu về đơn vị tiếp nhận hồ sơ cho từng nhóm lưu học sinh.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_014,"Lưu học sinh có phải tự trả lệ phí cấp, gia hạn thị thực nhập cảnh không?",simple,easy,"Có, lưu học sinh phải trả lệ phí cấp, gia hạn/thay đổi thị thực theo quy định hiện hành của Nhà nước Việt Nam.",7b92ab2b-5cc3-4278-8e44-abc1733a4c13,"Có, lưu học sinh phải tự trả lệ phí cấp, gia hạn hoặc thay đổi thị thực theo quy định hiện hành của Nhà nước Việt Nam.","7b92ab2b-5cc3-4278-8e44-abc1733a4c13,40828341-95ce-4b09-b4aa-6a90ba4643b1,44f35944-3bf7-4ddb-84fc-e1570e33919f",rag_v2,rag,3,6170.25,True,good,grounded,complete,"Câu trả lời chính xác và đầy đủ dựa trên thông tin tại Khoản 4, Điều 6 của ngữ cảnh cung cấp.",correct,"The generated answer conveys the same information as the reference answer, with only a minor, acceptable addition of 'hoặc thay đổi' which is consistent with the context of visa regulations.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
