id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_001,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa nào trở đi?,simple,easy,Áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.,ac75f157-2b84-4dd1-8127-ca04dcea21d2,"Theo Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC), chương trình này áp dụng cho sinh viên các khóa từ K62 đang học tập và có mong muốn tiếp tục học tập theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.","ac75f157-2b84-4dd1-8127-ca04dcea21d2,1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,b985fb9c-7425-42bd-ae10-232d12f95390",rag_v2,rag,7,6928.5,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_002,Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu bao nhiêu tín chỉ để được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu?,simple,easy,Sinh viên cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo quy định, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ **118 tín chỉ trở lên** của chương trình đào tạo cử nhân để được phép học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu.

Một số lưu ý kèm theo:
*   Sinh viên được học tích lũy trước tối đa 15 tín chỉ.
*   Các học phần đã học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình Kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,6381c6e7-76fa-430e-b855-24e7c33898bb,da4da67a-5a72-4574-ba57-21e7c93be4c8,0d0a90c8-c722-4c26-ae5c-66c4030a50f0,63238a1f-b201-429a-ad20-002a67a82ff3",rag_v2,rag,7,11219.19,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu chính xác số tín chỉ tối thiểu theo yêu cầu và cung cấp thêm thông tin bổ sung hữu ích mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_003,Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa bao nhiêu tín chỉ của chương trình Kỹ sư chuyên sâu?,simple,easy,Tối đa 15 tín chỉ. Trường hợp học tích lũy trước nhiều hơn 15 tín chỉ cũng chỉ được công nhận tối đa 15 tín chỉ.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo các tài liệu hướng dẫn và Quy chế đào tạo, sinh viên chưa tốt nghiệp bậc cử nhân được phép học tích lũy trước tối đa **15 tín chỉ** của chương trình đào tạo kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,da4da67a-5a72-4574-ba57-21e7c93be4c8,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,6381c6e7-76fa-430e-b855-24e7c33898bb",rag_v2,rag,5,9412.23,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin trong ngữ cảnh đã cung cấp (mục 2.A và Điều 21 khoản 3).",correct,Câu trả lời đã nêu đúng con số 15 tín chỉ theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về việc công nhận các học phần đã tích lũy trước khi chuyển sang chương trình Kỹ sư chuyên sâu, quy định của Đại học Bách khoa Hà Nội như sau:

*   **Thời điểm công nhận:** Các học phần bạn đã tích lũy trước đó sẽ **chưa được tính** vào chương trình đào tạo Kỹ sư chuyên sâu cho tới khi bạn được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình Kỹ sư.
*   **Cơ chế chuyển đổi:** Sau khi bạn chính thức chuyển sang học chương trình Kỹ sư, các học phần đã tích lũy trước đó sẽ được xem xét công nhận và chuyển đổi sang tín chỉ của các học phần tương ứng trong chương trình đào tạo Kỹ sư dựa trên việc đối sánh chuẩn đầu ra, nội dung, khối lượng học tập và cách thức đánh giá.
*   **Lưu ý về học tích lũy trước:** Đối với sinh viên chưa tốt nghiệp cử nhân, bạn được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư (nếu đã tích lũy từ 118 tín chỉ trở lên của chương trình cử nhân). Tuy nhiên, các tín chỉ này cũng chỉ được công nhận chính thức vào chương trình Kỹ sư sau khi bạn hoàn thành tốt nghiệp bậc cử nhân.

Để được hướng dẫn chi tiết về lộ trình chuyển đổi cụ thể cho ngành học của mình, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc bộ phận quản lý đào tạo tại Viện chuyên ngành để được hỗ trợ xác nhận chính thức.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,040125ca-904b-49d4-8ef6-ae3318bc1092,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1d2d6f79-e9d1-40fd-b188-9a3e16afe397,37b43412-4011-58ad-995c-7e29cea4469f,838508a8-50fd-4dec-8425-1c0b003834e7,1d207c88-030f-4638-b19d-29c476377eb8,63238a1f-b201-429a-ad20-002a67a82ff3,03fcc47c-49dd-4eb4-b05a-f62898a5986d,229d36fa-6606-4d48-b256-c89f3cdf5328,10733c54-298f-4ea9-8ead-a60c4f1ed978,2584499d-ba8c-40cf-9a10-873ad3cf8e13",agent,complex,13,11185.78,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về điều kiện và thời điểm công nhận các học phần tích lũy trước khi chuyển tiếp lên chương trình Kỹ sư chuyên sâu.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham khảo và cung cấp thêm các thông tin bổ sung chính xác, hữu ích về quy trình công nhận tín chỉ.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_005,Sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu phải làm gì?,simple,easy,Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển thực hiện theo quy định và hướng dẫn riêng.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, đối với sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu, bạn cần lưu ý các thông tin sau:

*   **Điều kiện:** Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển sẽ được thực hiện theo quy định và hướng dẫn riêng.
*   **Thủ tục:** Để thay đổi hoặc đăng ký chương trình đào tạo Kỹ sư chuyên sâu, bạn cần thực hiện các bước sau:
    1. Tải mẫu đơn tương ứng (tại mục hướng dẫn thủ tục của Ban Đào tạo).
    2. Điền đầy đủ thông tin vào đơn.
    3. Xin xác nhận của Trường/Khoa quản lý ngành.
    4. Chụp và gửi đơn qua email cho chuyên viên phụ trách: **hung.nguyenhuy@hust.edu.vn** (Nguyễn Huy Hùng).

Để được hướng dẫn chi tiết về quy trình xét tuyển và các quy định cụ thể cho trường hợp của mình, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc chuyên viên phụ trách để được hỗ trợ chính xác nhất.","d7085a52-6ea2-42fa-8955-e65a17fedeee,c6af41fa-6b81-4406-9741-1e12a9b33e0d,3bd80f7a-5584-476c-86be-33d22c8ca522,37b43412-4011-58ad-995c-7e29cea4469f,95475683-9f13-5f94-99c8-d6ab0c973c8f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1fec193d-7ca1-4258-b67b-7b721bc94853,57958025-04df-4643-a2eb-f6cdaf6b4ce1,40708bf3-8707-4e3e-8f4f-22adc9e5a154,8fe4b849-07db-5b96-9173-26b38e8bd1d1,03fcc47c-49dd-4eb4-b05a-f62898a5986d,10733c54-298f-4ea9-8ead-a60c4f1ed978,8fd80084-2714-48f8-a06a-30264ee58d26",agent,complex,13,12678.68,True,good,grounded,complete,"Câu trả lời đã trích xuất đúng thông tin từ ngữ cảnh về việc sinh viên đã tốt nghiệp cử nhân cần đăng ký xét tuyển theo quy định riêng, đồng thời cung cấp các bước thủ tục hành chính liên quan đến chương trình Kỹ sư chuyên sâu có trong tài liệu.",correct,"The generated answer includes all the information from the reference answer while providing additional, helpful procedural details for the specific context of HUST.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1429,0.3333
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_006,Sinh viên chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu nào?,simple,easy,Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu chuẩn.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về câu hỏi của bạn, tôi xin cung cấp thông tin dựa trên quy định đào tạo như sau:

Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu. Cụ thể:

*   **Định hướng chuyên ngành:** Bạn được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu bạn chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân, bạn sẽ cần học bổ sung các học phần theo quy định.
*   **Điều kiện chuyển tiếp:**
    *   **Sinh viên chưa tốt nghiệp cử nhân:** Nếu đã tích lũy từ 118 tín chỉ trở lên, bạn được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư.
    *   **Sinh viên đã tốt nghiệp cử nhân:** Bạn cần đăng ký xét tuyển để học chương trình Kỹ sư theo hướng dẫn riêng.
*   **Lưu ý:** Khi đủ điều kiện tốt nghiệp cử nhân (hoàn thành Thực tập kỹ thuật và Đề án tốt nghiệp), bạn cần đăng ký tốt nghiệp đồng thời đăng ký học chuyển tiếp lên chương trình Kỹ sư để được tiếp tục học tập.

Để biết chính xác lộ trình chuyển tiếp cụ thể cho ngành học của mình, bạn nên liên hệ trực tiếp với Phòng Đào tạo hoặc Viện chuyên ngành để được hướng dẫn chi tiết.","1fec193d-7ca1-4258-b67b-7b721bc94853,40708bf3-8707-4e3e-8f4f-22adc9e5a154,720ab953-7802-40d2-bbd5-c485049281a6,583a2ce8-651b-4044-ad8f-af4240eae6f1,5e88bac4-5c87-4348-95b4-d2a9bc354f5b,bffe58e2-74a2-46ad-b134-61b650e18ed3",agent,complex,6,8064.98,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc sinh viên Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu chuẩn, đồng thời cung cấp đầy đủ các điều kiện và lưu ý liên quan có trong tài liệu.",correct,"The generated answer correctly identifies that Elitech students can transition to the Kỹ sư chuyên sâu program and provides additional relevant, accurate details regarding the process.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_007,Sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì phải làm gì?,simple,easy,Sinh viên sẽ cần phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,1c71f965-a30a-4054-8676-7851eb052284",rag_v2,rag,3,5278.98,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ mô tả cấu trúc chương trình đào tạo (số tín chỉ, các khối kiến thức) mà không đề cập đến quy định hoặc thủ tục xử lý khi sinh viên muốn thay đổi hướng chuyên ngành giữa bậc cử nhân và bậc kỹ sư.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer clearly states that students must take additional courses.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_008,Sinh viên được phép đăng ký học hướng chuyên ngành Kỹ sư như thế nào so với bậc cử nhân?,simple,easy,Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng khác sẽ phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Chào bạn, về quy định đăng ký hướng chuyên ngành Kỹ sư so với bậc Cử nhân, bạn cần lưu ý các điểm sau:

*   **Định hướng chuyên ngành:** Sinh viên được phép đăng ký học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng đã chọn ở bậc Cử nhân.
*   **Thay đổi hướng chuyên ngành:** Nếu bạn chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc Cử nhân, bạn sẽ cần phải học bổ sung các học phần theo quy định.
*   **Đăng ký học tích lũy trước:** Khi đang học bậc Cử nhân (đã tích lũy từ 118 tín chỉ trở lên), bạn được phép đăng ký học tích lũy trước tối đa 15 tín chỉ thuộc chương trình đào tạo Kỹ sư.

Để được hướng dẫn chi tiết và cụ thể cho trường hợp của mình, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo hoặc bộ phận quản lý đào tạo tại Viện chuyên ngành để được hỗ trợ chính xác nhất.","720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,40708bf3-8707-4e3e-8f4f-22adc9e5a154,720ab953-7802-40d2-bbd5-c485049281a6,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,29f052b7-36c2-45c4-8400-46c2737d02a9",agent,complex,10,8213.38,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc chọn hướng chuyên ngành Kỹ sư so với bậc Cử nhân và quy định học tích lũy trước.,correct,Câu trả lời đã bao hàm đầy đủ các thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin hữu ích về quy định đăng ký học tích lũy trước.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.9871
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_009,Sinh viên cần hoàn thành những học phần gì để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân 180 TC?,simple,easy,Cần hoàn thành học phần Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp cử nhân 6 tín chỉ.,720ab953-7802-40d2-bbd5-c485049281a6,"Để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân, sinh viên cần hoàn thành các khối kiến thức theo cấu trúc chương trình đào tạo của ngành học, bao gồm:

**1. Khối kiến thức Giáo dục đại cương:**
*   **Toán và Khoa học cơ bản:** Thiết kế phù hợp theo nhóm ngành.
*   **Lý luận chính trị và Pháp luật đại cương:** Theo quy định của Bộ GD&ĐT.
*   **Giáo dục thể chất (GDTC) và Giáo dục Quốc phòng - An ninh (GD QP-AN):** Theo quy định của Bộ GD&ĐT.
*   **Ngoại ngữ:** Sinh viên cần hoàn thành các học phần ngoại ngữ theo lộ trình của chương trình đào tạo và đáp ứng chuẩn đầu ra ngoại ngữ khi xét tốt nghiệp (tùy thuộc vào chương trình đào tạo cụ thể như chương trình chuẩn, chương trình Tiên tiến/Elitech, hoặc chương trình Việt-Pháp).

**2. Khối kiến thức Giáo dục chuyên nghiệp:**
*   **Kiến thức cơ sở và cốt lõi ngành:** Bao gồm các học phần chuyên môn và các đồ án thiết kế/chế tạo/triển khai.
*   **Kiến thức bổ trợ:** Thường bao gồm các học phần về kỹ năng mềm, khởi nghiệp và học phần Viết và thuyết trình kỹ thuật (Technical Writing and Presentation).
*   **Học phần tự chọn:** Theo định hướng chuyên ngành hoặc mô đun.
*   **Thực tập kỹ thuật:** Thường được bố trí vào năm thứ ba.
*   **Đồ án tốt nghiệp/Đồ án nghiên cứu:** Báo cáo khoa học hoặc đề tài liên quan đến chuyên ngành.

**Lưu ý:**
*   Cấu trúc tín chỉ chi tiết (tổng số tín chỉ, số lượng tín chỉ cho từng khối) có thể khác nhau tùy theo từng ngành đào tạo cụ thể.
*   Sinh viên cần theo dõi lộ trình học tập cá nhân trên hệ thống quản lý đào tạo và đối chiếu với khung chương trình đào tạo của ngành mình để đảm bảo hoàn thành đủ số tín chỉ tích lũy theo yêu cầu.

Để xác nhận chính xác các học phần còn thiếu hoặc các quy định cụ thể cho ngành học của mình, bạn vui lòng liên hệ trực tiếp với **Phòng Đào tạo** hoặc Văn phòng chương trình đào tạo của Viện quản lý ngành học.","29f052b7-36c2-45c4-8400-46c2737d02a9,98115d2d-4153-46bc-bd1d-00a1e80402f8,9776b7fa-c7ef-4c56-8e3f-f517f09260d6,880b1a8b-047e-4b22-bebf-5d3232d90283,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,3405d3b5-d35f-4a39-ad58-362ceb51a44e,bb2fb021-3902-45c9-827f-2921192b764e,2584499d-ba8c-40cf-9a10-873ad3cf8e13,63238a1f-b201-429a-ad20-002a67a82ff3,8fd80084-2714-48f8-a06a-30264ee58d26,10733c54-298f-4ea9-8ead-a60c4f1ed978,a22d61ee-68ea-4273-b975-c186d2d63842,229d36fa-6606-4d48-b256-c89f3cdf5328,3c76013b-ff3d-4835-97ef-b9a7c5f9acfa",agent,complex,14,15061.02,False,good,hallucinated,incomplete,"Câu trả lời của trợ lý liệt kê các khối kiến thức chung chung không dựa trên ngữ cảnh được cung cấp. Ngữ cảnh chỉ cung cấp thông tin về ngoại ngữ, không có thông tin về cấu trúc 180 tín chỉ. Trợ lý đã tự bịa đặt các thông tin về khối kiến thức chuyên nghiệp, thực tập, đồ án mà không có trong dữ liệu đầu vào.",partial,The generated answer provides a general overview of the curriculum structure but fails to explicitly mention the specific requirements (Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp 6 tín chỉ) as requested by the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_010,Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu thì điều gì xảy ra?,simple,easy,Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.,720ab953-7802-40d2-bbd5-c485049281a6,"Theo hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, nếu sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên chương trình Kỹ sư chuyên sâu:

*   Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.
*   Trên hệ thống quản lý học tập, trạng thái của sinh viên sẽ là ""Tốt nghiệp ra trường"".","720ab953-7802-40d2-bbd5-c485049281a6,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,1fec193d-7ca1-4258-b67b-7b721bc94853",rag_v2,rag,3,5755.91,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời đã bao gồm thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin phụ trợ chính xác về trạng thái trên hệ thống.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
