id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
kehoach_list_all_chunks_simple_001,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 30/06/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ **05/05/2026 đến 30/06/2026** (theo thông báo trên cổng thông tin đào tạo).,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,15989.4,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác thông tin từ ngữ cảnh: thời hạn từ 05/05/2026 đến 30/06/2026, đầy đủ và không bịa đặt.",correct,"The generated answer provides the exact same date range as the reference answer, and the additional parenthetical note does not introduce any inaccuracy.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_002,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 15/08/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là **từ 05/05/2026 đến 15/08/2026**.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,33278482-6061-46c5-9591-80f6a3276efc,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,12723.82,True,good,grounded,complete,"Câu trả lời chính xác và đầy đủ dựa trên ngữ cảnh, không có sai sót hay bịa đặt.",correct,"Generated answer states exactly the same date range as the reference answer, with only minor formatting differences.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_003,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và 20261 nộp đơn gặp ai tại Ban Đào tạo?,simple,easy,Gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,93f509f0-fab2-47b8-b53a-ecb613d7f719,"Theo tài liệu về tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026–2027 (20261), sinh viên nộp đơn tại **Ban Đào tạo (Tầng 1 nhà C1) gặp chuyên viên Nguyễn Kim Huệ**.","93f509f0-fab2-47b8-b53a-ecb613d7f719,1c439f64-e234-44b2-9d7c-b416ba23fd81,e0ceeb51-2d84-4c9a-a5d1-d51f4f73d90a,35d08556-af5c-4513-81e8-ba3229a33997,536cfd55-1209-499d-bbeb-302bfa730043,fa598ac1-3957-4a80-ad28-18f8f338e7b3,c6ade1c2-7f76-4d91-b418-8b53a64f55a8",rag_v2,rag,7,20924.0,True,good,grounded,complete,"Câu trả lời đúng với ngữ cảnh, trích dẫn chính xác thông tin về nơi nhận đơn và chuyên viên phụ trách.",correct,"The generated answer includes the exact same key fact: sinh viên gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1), with only minor wording differences and no incorrect information.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Theo thông báo **Tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027 (20261)**, sinh viên tiếp nhận trở lại học từ kỳ hè 20253 **không cần đăng ký học phần**. Sinh viên chỉ cần đăng ký lớp học trong đợt đăng ký điều chỉnh, online trên hệ thống đăng ký lớp.","/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=28237,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27232,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25210,1c439f64-e234-44b2-9d7c-b416ba23fd81,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,93f509f0-fab2-47b8-b53a-ecb613d7f719,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,33278482-6061-46c5-9591-80f6a3276efc,3a8a340a-14a0-4d31-adb2-ddda7085efa9,985eaee0-a4a5-4dc4-a7ee-5de4bc2c3f88",rag_v2,rag,10,31209.99,True,good,grounded,complete,"Câu trả lời khớp hoàn toàn với nội dung trong ngữ cảnh: sinh viên tiếp nhận trở lại học không cần đăng ký học phần, chỉ đăng ký lớp trong đợt điều chỉnh.",incorrect,Parse error: ,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
kehoach_list_all_chunks_simple_005,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày nào?,simple,easy,Cập nhật ngày 28/04/2026.,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày **28.04.2026**.,"/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27236,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_Lichthi/2025-2026/LTGK-CK%2020252A-AB-28042026.pdf,73aea3ac-54d2-4a1a-a954-55ed178a11e1,3091d21c-f574-477f-a2a7-e22b96f2f72f,e8327e5e-ea47-4b9e-812c-528ef16f1c3d,97da2544-86a1-436c-8e2f-d464dba15663,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,3c664c5d-8000-4afb-8bfd-456c3bef2e5e",rag_v2,rag,9,25049.25,True,good,grounded,complete,"Câu trả lời đúng, đầy đủ và dựa trên ngữ cảnh.",correct,"Both answers state the same date, with only a minor formatting difference.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_006,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 27/04/2026 đến ngày 18/05/2026.,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là **từ ngày 27/04/2026 đến ngày 18/05/2026** (theo Thông báo đăng ký học tích hợp chương trình Kỹ sư chuyên sâu học kỳ 2025.2).,"31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,68f47a69-4fab-4911-bed5-882f06e12595,f82fc24b-1cc0-4f65-966b-6c65f7dbbf71,060e3c41-3c9c-44db-9822-9ecfa564684e,b5bae25d-078e-4aef-bfe7-62c85f258897,e2da6031-35bb-4717-ad0b-6b9743a87649,d6dba542-0a9d-4633-b043-66da6a04f9f7",rag_v2,rag,7,15008.42,True,good,grounded,complete,Câu trả lời đúng và đầy đủ dựa trên ngữ cảnh: mốc thời gian từ 27/04/2026 đến 18/05/2026 được trích dẫn chính xác từ thông báo.,correct,"The generated answer states the exact same date range (27/04/2026 to 18/05/2026) as the reference answer, with only a minor addition of a citation.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_007,Điều kiện tín chỉ tích lũy tối thiểu để sinh viên được đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu là bao nhiêu?,simple,easy,Tổng số tín chỉ tích lũy cộng với tín chỉ đang học tại kỳ hiện tại của các học phần bậc cử nhân phải đạt từ 115 TC trở lên.,68f47a69-4fab-4911-bed5-882f06e12595,"Sinh viên cần tích lũy từ **118 tín chỉ** trở lên của chương trình đào tạo cử nhân để được phép học tích lũy trước tối đa 15 tín chỉ của CTĐT Kỹ sư chuyên sâu đặc thù. (Theo tài liệu hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù, mục 2.A).","1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,da4da67a-5a72-4574-ba57-21e7c93be4c8,29fa02a8-f103-451e-aba2-ccdfd9d6c501,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,3405d3b5-d35f-4a39-ad58-362ceb51a44e",rag_v2,rag,7,34164.47,True,good,grounded,complete,"Câu trả lời chính xác trích dẫn con số 118 tín chỉ từ ngữ cảnh, đúng với câu hỏi.",incorrect,"The generated answer specifies a threshold of 118 credits and adds a condition about a maximum of 15 credits, whereas the reference answer states a threshold of 115 credits including currently enrolled credits, without mentioning a maximum.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_008,Sinh viên đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu được tối đa bao nhiêu tín chỉ?,simple,easy,"Tối đa 15 tín chỉ học phần bậc kỹ sư chuyên sâu (trừ các học phần Đồ án chuyên ngành KS, Thực tập KS và Đồ án tốt nghiệp KS).",68f47a69-4fab-4911-bed5-882f06e12595,"Sinh viên được học tích lũy trước tối đa **15 tín chỉ** các học phần thuộc chương trình đào tạo kỹ sư chuyên sâu đặc thù. Nếu đăng ký nhiều hơn 15 tín chỉ, chỉ được công nhận tối đa 15 tín chỉ (theo Hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù và Quy chế đào tạo, Điều 21).","1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,720ab953-7802-40d2-bbd5-c485049281a6,eef54984-8702-4bed-80cc-c80308ef2150,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,5,32342.54,True,good,grounded,complete,"Câu trả lời trích dẫn đúng thông tin từ ngữ cảnh: tối đa 15 tín chỉ, phù hợp với cả hai nguồn trong ngữ cảnh.",incorrect,Parse error: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_009,"Sau khi đăng ký học tích hợp KSCS thành công, sinh viên được cấp gì?",simple,easy,Sinh viên được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên kỹ sư.,68f47a69-4fab-4911-bed5-882f06e12595,"Sau khi đăng ký học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 tín chỉ) thành công, sinh viên được **cấp mã số người học mới** dựa trên mã số sinh viên bậc cử nhân (theo Hướng dẫn học tập CTĐT KS, mục 5).","7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,720ab953-7802-40d2-bbd5-c485049281a6,8038a171-9e3d-4b1f-8cfd-28fc5e97e6bf",rag_v2,rag,3,19683.28,True,good,grounded,complete,"Câu trả lời hoàn toàn dựa trên ngữ cảnh, trích dẫn chính xác mục 5 về việc cấp mã số người học mới khi đăng ký học tiếp CTĐT KS. Đầy đủ, liên quan, trung thực.",partial,"Generated answer mentions a new learner code but omits the email for engineer students, which is a key fact in the reference.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_010,Học phí các học phần bậc Kỹ sư chuyên sâu được tính như thế nào so với bậc cử nhân?,simple,easy,"Học phí các học phần bậc KSCS được tính theo học phí bậc cử nhân của chương trình đào tạo chuẩn tương ứng, mức học phí trong và ngoài CTĐT là như nhau.",d4df1842-6745-454b-a0b3-e3437844092a,"Học phí các học phần bậc Kỹ sư chuyên sâu được tính **bằng với mức học phí/một tín chỉ học phí của chương trình đào tạo đại học chính quy chuẩn (cử nhân) tương ứng**. Cụ thể:

- Theo Quyết định học phí năm học 2025–2026: *""Mức học phí/một TCHP đối với các học phần thuộc khung CTĐT kỹ sư chuyên sâu (KSCS) được tính bằng với mức học phí/một TCHP của chương trình đào tạo đại học chính quy chuẩn tương ứng.""* Một số chương trình KSCS có quy định đối sánh riêng (ví dụ: KSCS Kỹ thuật Ô tô số tính theo mức của cử nhân Kỹ thuật Ô tô; KSCS Trí tuệ nhân tạo tạo sinh tính theo mức của IT-E10, …).

- Hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù (180 TC) cũng nêu: *""Mức thu tương đương học phí bậc đại học (Cử nhân).""*

Như vậy, học phí bậc Kỹ sư chuyên sâu **không cao hơn** so với bậc cử nhân cùng ngành/chương trình tương ứng.","8fe4b849-07db-5b96-9173-26b38e8bd1d1,37b43412-4011-58ad-995c-7e29cea4469f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,fe800938-7627-4648-873e-e04252f33280,1fec193d-7ca1-4258-b67b-7b721bc94853,00b56977-9fdc-4772-80e1-05e1da7ea41f,2e32f70a-a561-415f-8e53-7360e45e2423",rag_v2,rag,7,49571.98,False,good,hallucinated,partial,"Câu trả lời có trích dẫn một nguồn (Hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù) mà không có trong ngữ cảnh được cung cấp, dẫn đến thông tin không trung thực (hallucination). Nội dung chính về việc học phí bằng với bậc cử nhân là đúng dựa trên ngữ cảnh QD HOC PHI, nhưng phần trích dẫn thêm là bịa đặt.",correct,"The generated answer conveys the same key fact that tuition for the advanced engineering program is equal to that of the corresponding bachelor's program, and adds supportive detail without introducing any incorrect information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
