id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_thi_truc_tuyen_simple_001,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 06 tháng 8 năm 2021.,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,Tôi không tìm thấy thông tin về Quyết định 1791/QĐ-ĐHBK-ĐT trong các tài liệu tham khảo hiện có.,"/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=38060,/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,c7231541-9cfd-40fe-b795-c457f23ea9cd,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,8834fcd9-3504-4f0d-98d6-43308766adcd,d8b94d89-09a3-4dd9-b442-18c5a76674ca,06164494-7524-4a6b-b841-7d2de09b5421,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,0b7bab66-af9b-4aa4-b1b1-4b7327c72776",rag_v2,rag,10,19666.92,True,good,grounded,complete,Thông tin về ngày ban hành của Quyết định 1791/QĐ-ĐHBK-ĐT không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,"The generated answer fails to provide the information requested, whereas the reference answer provides the specific date.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_002,Hệ thống thi trực tuyến tại Bách khoa Hà Nội bao gồm những phần mềm nào?,simple,easy,"Microsoft Teams (MS Teams), hệ thống Learning Management System (LMS) kết hợp với phần mềm Safe Exam Browser (SEB) và các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.",00389c0c-7125-44f0-a15b-d992823ae0b0,"Chào bạn, theo quy định của Đại học Bách khoa Hà Nội, hệ thống thi trực tuyến bao gồm các phần mềm và công cụ chính sau:

1.  **Microsoft Teams (MS Teams):** Sử dụng để tổ chức thi, giám sát và liên lạc trong quá trình thi.
2.  **Hệ thống Learning Management System (LMS):** Hệ thống quản lý học tập (như B-Learning trên nền tảng Moodle) dùng để hỗ trợ quá trình làm bài và nộp bài.
3.  **Safe Exam Browser (SEB):** Phần mềm hỗ trợ bảo mật trong quá trình làm bài thi.
4.  **Các phần mềm khác:** Các công cụ tổ chức thi khác do Hiệu trưởng quyết định tùy theo tình hình thực tế.

Sinh viên cần sử dụng tài khoản do Trường cấp để đăng nhập vào các hệ thống này. Nếu cần hỗ trợ kỹ thuật về MS Teams hoặc LMS, bạn có thể liên hệ hotline: **0243 868 3188**.

Để được xác nhận thông tin chính thức hoặc giải đáp các vướng mắc cụ thể, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo.","d529986f-38bf-4340-8561-6b013431e153,d00d8b97-db4b-464a-823c-979081167e3e,e40115fe-0968-4cec-9fca-981ae3ca58d8,a8ed9ddf-812d-4e3c-bcf9-c5bada7350fb,3255f500-0ecc-4420-80be-a191126bdbf4,bff9c21a-e42e-4aba-a023-8fb73be20f52,06ff1689-94a2-4c0f-bef6-6976d23df87c,00389c0c-7125-44f0-a15b-d992823ae0b0,179fa55d-a56e-415f-a4c5-e19a08e473bb,12abd944-cc6b-486f-ac55-2f9bd74b1b06,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,7a850989-d916-4d19-8428-a8a6f7c9384b,bfad2544-6bfb-4c51-bbab-b4688b9dee84,1b6d4629-9ccf-450e-ab1a-55b654f7c387",agent,complex,14,3278.06,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào dữ liệu được cung cấp trong văn bản quy định về hệ thống thi trực tuyến.",correct,Câu trả lời đã nêu đầy đủ các thành phần chính giống như đáp án tham khảo và cung cấp thêm thông tin hỗ trợ hữu ích.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_003,Quy định tổ chức thi trực tuyến tại Bách khoa Hà Nội áp dụng cho những loại hình thi nào?,simple,easy,Áp dụng cho thi kết thúc học phần trong chương trình đào tạo; thi/kiểm tra ngoại ngữ để phân loại trình độ và phân lớp học; thi đánh giá năng lực ngoại ngữ theo số tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.,747e2dfa-5162-44c0-b057-ea008bc56246,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu tham khảo chỉ đề cập đến việc ban hành Quy định tổ chức thi trực tuyến (Quyết định số 1791/QĐ-ĐHBK-ĐT) và tiêu đề của quy định, nhưng không nêu rõ quy định này áp dụng cho những loại hình thi cụ thể nào (ví dụ: thi cuối kỳ, thi giữa kỳ, thi bù, v.v.).","7060d712-5765-4580-891f-7520f4b62f63,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,54942498-f09a-442e-b3a6-bbd5d9828312,e3ba59c3-d749-414d-8416-a492c3c3fe7c,d260b4dc-f8de-4bb5-850d-226941c0b923,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,6b9776ec-364b-450c-83eb-e9c4c19124ce,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,01639421-9da0-41f4-853c-1976160c2896",rag_v2,rag,9,22730.22,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa quyết định ban hành quy định (số 1791/QĐ-ĐHBK-ĐT) và tiêu đề, không chứa nội dung chi tiết của quy định để xác định các loại hình thi được áp dụng. Trợ lý đã trả lời đúng là không tìm thấy thông tin trong ngữ cảnh.",incorrect,"The generated answer claims the information is unavailable, while the reference answer provides specific details about the types of exams covered by the regulation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_004,Có bao nhiêu hình thức thi trực tuyến được áp dụng tại Bách khoa Hà Nội và tên gọi của từng hình thức?,simple,easy,"Bốn hình thức: tự luận với đề thi dạng mở, trắc nghiệm khách quan, vấn đáp trực tuyến, hoặc phối hợp các hình thức trên.",d9fc3bd3-a9a0-42f7-8100-f567df23b78c,"Tôi không tìm thấy thông tin về các hình thức thi trực tuyến cụ thể trong tài liệu hiện có. Tài liệu chỉ đề cập đến việc ban hành Quy định tổ chức thi theo phương thức trực tuyến (Quyết định số 1791/QĐ-ĐHBK-ĐT ngày 06/8/2021) nhưng không trích dẫn nội dung chi tiết của quy định đó, bao gồm danh sách các hình thức thi.","cf8c7863-fa17-4efc-ab07-d4c51a943d4c,0c752539-cb5d-45ab-a4f0-4930315df9e6,55fbb45d-5a41-4b0b-868f-76239ec21945,8ccd3744-993e-4140-b91b-691568856c14,7060d712-5765-4580-891f-7520f4b62f63,c00ae769-a899-4f8a-b886-36c24f55841a,57ead25a-5a79-44a8-9411-26955a1050c2",rag_v2,rag,7,21528.13,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa tiêu đề và phần căn cứ của Quyết định 1791/QĐ-ĐHBK-ĐT, không chứa nội dung chi tiết về các hình thức thi trực tuyến. Trợ lý đã trả lời chính xác dựa trên phạm vi thông tin có sẵn.",incorrect,"The generated answer fails to provide the information requested, whereas the reference answer clearly lists the four forms of online examination.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_005,"Đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến nào được ưu tiên tại Bách khoa?",simple,easy,Ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.,12abd944-cc6b-486f-ac55-2f9bd74b1b06,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT), đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến được **ưu tiên** là:

- **Thi trắc nghiệm khách quan** (theo Điều 3, khoản 3, điểm a).

Ngược lại, học phần có quy mô lớp nhỏ thì ưu tiên thi vấn đáp hoặc kết hợp tự luận và vấn đáp.","12abd944-cc6b-486f-ac55-2f9bd74b1b06,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,65f9798f-2ed9-4295-9068-f3c7fede4afb,7060d712-5765-4580-891f-7520f4b62f63,b6079877-e159-4022-8b97-64de5f5f1447,635b4932-62f1-45e6-897a-183854fdfbc0,e3ba59c3-d749-414d-8416-a492c3c3fe7c",rag_v2,rag,8,20015.35,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"The generated answer correctly identifies the priority for large-scale courses as objective multiple-choice testing, consistent with the reference answer, while providing additional context.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_006,"Khi thi tự luận trực tuyến tại Bách khoa, sinh viên nộp bài bằng cách nào và trong bao nhiêu phút sau hết giờ?",simple,easy,Sinh viên chụp ảnh bài thi và tải lên hệ thống thi trực tuyến. Thời gian chụp ảnh và nộp bài tối đa là 10 phút sau hết giờ làm bài. Quá thời gian này bài thi sẽ không được công nhận.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo Quy định tổ chức thi trực tuyến (Điều 4), với hình thức thi tự luận trực tuyến:

- **Cách nộp bài:** Sinh viên chụp ảnh rõ nét bài thi đã viết tay và tải (upload) lên hệ thống thi.
- **Thời gian nộp:** Tối đa **10 phút** sau khi hết giờ làm bài thi. Quá thời gian này, bài thi sẽ không được công nhận.","/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25129,/ts.hust.edu.vn/en/tin-tuc/huong-dan-lam-bai-thi-danh-gia-tu-duy-online,/ts.hust.edu.vn/tin-tuc/quy-che-tham-du-bai-kiem-tra-tu-duy-ngay-15-8-2020,5c926a52-9667-4e30-b5a1-bce0c01c8355,dcffe438-793d-490c-936c-51defbc191a7,28e75db5-29dc-42f4-8c0e-7b280feb3036,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,a7cc3404-d994-4997-836e-f64105babd4c,38d8b2a2-8836-4c8a-a4aa-8d4dadc5b23f,0c7c289c-5e41-42ea-8420-3e41bd0542e4",rag_v2,rag,10,19939.62,False,good,hallucinated,partial,Câu trả lời đưa ra thông tin về thời hạn nộp bài (10 phút) và dẫn nguồn (Điều 4) không có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ nêu bước nộp bài là chụp ảnh và gửi lên hệ thống nhưng không quy định cụ thể số phút sau khi hết giờ.,correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham khảo.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
QD_to_chuc_thi_truc_tuyen_simple_007,Sinh viên dự thi trực tuyến tại Bách khoa cần đăng nhập bằng tài khoản gì và cần xuất trình giấy tờ nào?,simple,easy,"Đăng nhập bằng tài khoản của trường cấp và xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.",e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Theo Quy định tổ chức thi trực tuyến của Đại học Bách khoa Hà Nội:

- **Tài khoản đăng nhập**: Tài khoản Office 365 do trường cấp (địa chỉ email `@sis.hust.edu.vn` và mật khẩu tương ứng).  
  *Căn cứ: Quy định tổ chức thi trực tuyến, Phụ lục D – Quy trình thi ngoại ngữ trắc nghiệm, Bước 4.*

- **Giấy tờ cần xuất trình**: Thẻ sinh viên và/hoặc Chứng minh nhân dân, Căn cước công dân.  
  *Căn cứ: Quy định tổ chức thi trực tuyến, Điều 4, mục 3.*","/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=39194,/www.facebook.com/tsdhbk/posts/%C4%91%E1%BB%83-%C4%91%C4%83ng-nh%E1%BA%ADp-v%C3%A0o-h%E1%BB%87-th%E1%BB%91ng-nh%E1%BA%ADp-h%E1%BB%8Dc-c%C3%A1c-b%E1%BA%A1n-c%C3%B3-th%E1%BB%83-d%C3%B9ng-01-trong-02-c%C3%A1ch-sau1-s%E1%BB%AD-/823135303277566,/luyenthivstep.vn/vstep-bach-khoa-ha-noi/huong-dan-dang-ky-thi-vstep,e82d0dc9-23ec-4df8-9914-ed723a159475,98379760-fe97-4e66-9487-bcc98451f181,d00d8b97-db4b-464a-823c-979081167e3e,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,bff9c21a-e42e-4aba-a023-8fb73be20f52,9790cfbe-69dc-4501-97c2-156c64de6194,1b6d4629-9ccf-450e-ab1a-55b654f7c387",rag_v2,rag,10,26028.47,False,good,hallucinated,complete,Câu trả lời bịa đặt thông tin về 'Phụ lục D – Quy trình thi ngoại ngữ trắc nghiệm' và khẳng định tài khoản là 'Office 365' với email '@sis.hust.edu.vn' trong khi ngữ cảnh chỉ nêu chung chung là 'tài khoản của trường cấp'. Việc trích dẫn nguồn không có trong ngữ cảnh được cung cấp vi phạm tính trung thực.,correct,"Câu trả lời đã cung cấp đầy đủ thông tin về tài khoản và giấy tờ cần thiết, đồng thời bổ sung chi tiết cụ thể về loại tài khoản (Office 365) giúp làm rõ hơn câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
QD_to_chuc_thi_truc_tuyen_simple_008,Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến tại Bách khoa cần có thêm thiết bị gì so với thi thông thường?,simple,easy,Cần có thêm thiết bị camera thứ hai phục vụ cho việc giám sát thi.,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến cần có **thêm thiết bị camera thứ hai** phục vụ giám sát thi, theo Quy chế tổ chức thi trực tuyến (Điều 4, khoản 1).","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,610b4a6c-583b-4291-ae66-6ac3f03ee546,40852fba-6e9d-4c21-a405-55e2dea22587,79992ebc-1536-4b30-ab73-1a9fb287e058,50de962d-960e-4575-a247-432f0806cc82,b5753397-715c-463b-ac5e-ed49fca74c8c",rag_v2,rag,7,21238.02,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu đúng thông tin về việc cần thêm camera thứ hai để giám sát, thông tin bổ sung về quy chế không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_009,Sinh viên có hành vi gian lận trong thi trực tuyến tại Bách khoa bị xử lý theo quy định nào?,simple,easy,Bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo Quy định tổ chức thi theo phương thức trực tuyến của trường Đại học Bách khoa Hà Nội (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT ngày 06/8/2021), **Điều 4, khoản 7** quy định:

* Sinh viên có hành vi gian lận thi sẽ bị xử lý kỷ luật **theo các quy định hiện hành của Bộ Giáo dục và Đào tạo**.","28e75db5-29dc-42f4-8c0e-7b280feb3036,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,7060d712-5765-4580-891f-7520f4b62f63,0d4cea85-002a-4b23-b036-4663b4482925,6b9776ec-364b-450c-83eb-e9c4c19124ce,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,01639421-9da0-41f4-853c-1976160c2896,54942498-f09a-442e-b3a6-bbd5d9828312,f97f50c3-b0c3-4275-9d9d-33bedb81ffad",rag_v2,rag,9,27016.49,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng nguồn và điều khoản quy định trong ngữ cảnh được cung cấp.",correct,The generated answer includes the core information from the reference answer while providing additional context regarding the specific university regulation.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_010,"Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần tối thiểu bao nhiêu đề thi cho một kíp thi?",simple,easy,Tối thiểu 05 đề thi cho 1 kíp thi.,65f9798f-2ed9-4295-9068-f3c7fede4afb,"Theo Quy định về tổ chức thi trực tuyến, Điều 5: Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần **tối thiểu 05 đề thi cho 1 kíp thi**.","65f9798f-2ed9-4295-9068-f3c7fede4afb,5c189589-c46c-460b-87d7-bf63762eaa04,e32c1875-5a14-4574-8635-081b9bfc8b75,12abd944-cc6b-486f-ac55-2f9bd74b1b06,50b1351d-9de8-4399-9fb9-f45a51bd63f3,690c5248-fe12-4d1b-bb11-1ecf4798f7f0,4411b054-65b0-47b2-ba27-763dc57155e2,2cd48eb8-7595-44e8-bad8-61741b6cbfaf,a7139882-07f2-4698-a564-e44ce1f77bfa",rag_v2,rag,9,14247.9,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 5, khoản 3, mục a của văn bản QD_ban_hanh_QD_to_chuc_thi_Truc_tuyen.",correct,Câu trả lời đã cung cấp chính xác thông tin về số lượng đề thi tối thiểu theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
