id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_danh_gia_diem_ren_luyen_SV_2023_simple_001,Quy định đánh giá điểm rèn luyện sinh viên Bách khoa Hà Nội áp dụng cho đối tượng nào?,simple,easy,"Áp dụng cho sinh viên đại học hình thức đào tạo chính quy, không bao gồm lưu học sinh nước ngoài.",6763c7e6-e904-4a63-b6cd-6d8501577078,"Theo tài liệu tham khảo, Quy định đánh giá kết quả rèn luyện áp dụng cho:

- **Sinh viên đại học hình thức đào tạo chính quy** thuộc Đại học Bách khoa Hà Nội, **không bao gồm lưu học sinh nước ngoài**.

*(Nguồn: Văn bản QUY ĐỊNH, Điều 1 – Phạm vi điều chỉnh và đối tượng áp dụng)*","6763c7e6-e904-4a63-b6cd-6d8501577078,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb,540719ef-179e-457d-8d6f-5a245f6271bd,54942498-f09a-442e-b3a6-bbd5d9828312,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,0775f280-836d-478c-90dd-2f1d29901223,c92deb80-a0c6-4d36-a44f-69bd87442f7e",rag_v2,rag,7,31816.08,False,bad,hallucinated,incomplete,Failed to parse evaluation: ,incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Cả hai câu trả",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_002,Điểm rèn luyện tại Bách khoa Hà Nội được đánh giá bằng thang điểm bao nhiêu và mức Xuất sắc cần đạt bao nhiêu điểm?,simple,easy,Điểm rèn luyện được đánh giá bằng thang điểm 100. Mức Xuất sắc từ 90 đến 100 điểm.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,Điểm rèn luyện tại Đại học Bách khoa Hà Nội được đánh giá bằng **thang điểm 100**. Mức **Xuất sắc** yêu cầu đạt từ **90 đến 100 điểm**.,"58a3f5df-9048-43b1-bd1a-2e92c2d749af,f6e06049-71e8-425f-bc49-c4dfbdae6dad,2d9397a2-c900-4852-a039-a9eca2695ac2,6763c7e6-e904-4a63-b6cd-6d8501577078,e32c1875-5a14-4574-8635-081b9bfc8b75,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,6,21345.65,True,good,grounded,complete,Câu trả lời khớp hoàn toàn với thông tin trong ngữ cảnh: thang điểm 100 và mức Xuất sắc từ 90 đến 100 điểm.,incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Cả hai câu trả lời đều khẳng định thang điểm 100 và mức Xuất sắ",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_003,Điểm rèn luyện từ bao nhiêu đến bao nhiêu được xếp loại Khá tại Bách khoa Hà Nội?,simple,easy,Từ 65 đến dưới 80 điểm được xếp loại Khá.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,"Theo Quy chế đào tạo của Đại học Bách khoa Hà Nội, điểm rèn luyện từ **65 đến 79 điểm** được xếp loại Khá (Điều 24, Chương IV). Một tài liệu khác trong tham khảo cũng ghi nhận xếp loại Khá tương ứng với khung từ **65 đến dưới 80 điểm** (Điều 3).","f6e06049-71e8-425f-bc49-c4dfbdae6dad,58a3f5df-9048-43b1-bd1a-2e92c2d749af,50b1351d-9de8-4399-9fb9-f45a51bd63f3,2d9397a2-c900-4852-a039-a9eca2695ac2,e32c1875-5a14-4574-8635-081b9bfc8b75,895e49cb-8ff6-4700-bbbd-e6c88dcc6a82",rag_v2,rag,6,34099.32,True,good,grounded,complete,"Câu trả lời dựa chính xác trên ngữ cảnh, cung cấp khoảng điểm cho xếp loại Khá từ hai nguồn tài liệu (65-79 và 65 đến dưới 80), không bịa đặt thông tin.",correct,"Both answers state that the training score range for 'Khá' is from 65 to under 80 points, with the generated answer providing equivalent expressions (65-79 and 65 to under 80).",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_004,Điểm rèn luyện toàn khóa tại Bách khoa Hà Nội được tính là trung bình cộng của bao nhiêu học kỳ tối thiểu?,simple,easy,Tối thiểu 07 học kỳ.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu tham khảo chỉ hướng dẫn cách tính điểm rèn luyện từng học kỳ và liên kết đến quy định đánh giá điểm rèn luyện, nhưng không nêu cụ thể số học kỳ tối thiểu để tính điểm rèn luyện toàn khóa.

Để biết chính xác, bạn có thể tham khảo trực tiếp **Quy định về việc đánh giá điểm rèn luyện sinh viên** (xem tại [đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/EfxQE-BNnyFJnMF7bcRaAbIBzvd7kN47SXfePclUDLmJHA?e=pJjZ2e)) hoặc liên hệ Phòng Công tác Sinh viên.","e32c1875-5a14-4574-8635-081b9bfc8b75,5c189589-c46c-460b-87d7-bf63762eaa04,b8e0dd53-c5a0-4aa1-8142-ef58491699da,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,18f2acf9-7293-4ebd-bd17-879618732b0f,9bd34a49-afe2-4480-8c70-ba14008ef5f9,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,/www.facebook.com/hoisinhvienbkhn/posts/-nh%E1%BB%AFng-kh%C3%A1i-ni%E1%BB%87m-t%C3%A2n-sinh-vi%C3%AAn-c%E1%BA%A7n-bi%E1%BA%BFt-ph%E1%BA%A7n-1-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-m%E1%BB%99t-h%C3%A0nh-tr%C3%ACnh-m%E1%BB%9Bi-%C4%91%E1%BA%A7y-th/904785008346160,/www.facebook.com/hoisinhvienbkhn/photos/nh%E1%BB%AFng-kh%C3%A1i-ni%E1%BB%87m-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-t%C3%A2n-sinh-vi%C3%AAn-c%E1%BA%A7n-bi%E1%BA%BFt-ph%E1%BA%A7n-1ch%E1%BA%AFc-h%E1%BA%B3n-sau-bu%E1%BB%95i-nh%E1%BA%ADp-h%E1%BB%8Dc-/679619924196004",rag_v2,rag,9,45328.06,False,partial,grounded,incomplete,"Ngữ cảnh không cung cấp thông tin về số học kỳ tối thiểu để tính điểm rèn luyện toàn khóa. Trợ lý đã thừa nhận điều này, nhưng không trả lời được câu hỏi.",incorrect,"Generated answer states it cannot find the information, while the reference answer clearly states the minimum is 07 học kỳ.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_005,Điểm rèn luyện của năm học tại Bách khoa Hà Nội được tính như thế nào?,simple,easy,Là trung bình cộng của điểm rèn luyện các học kỳ của năm học đó.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,"Theo Quy định đánh giá kết quả rèn luyện của sinh viên Đại học Bách khoa Hà Nội, Điều 5, điểm rèn luyện của năm học được tính bằng **trung bình cộng của điểm rèn luyện các học kỳ trong năm học đó**.","ac10eee1-e011-4914-90f2-dd49a1c5caf0,6763c7e6-e904-4a63-b6cd-6d8501577078,58a3f5df-9048-43b1-bd1a-2e92c2d749af,01a026a0-8d35-4898-a00c-080a11634939,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,2d9397a2-c900-4852-a039-a9eca2695ac2,0775f280-836d-478c-90dd-2f1d29901223",rag_v2,rag,7,42445.85,True,good,grounded,complete,"Câu trả lời dựa chính xác vào quy định tại Điều 5 của ngữ cảnh, trả lời đúng câu hỏi và không thiếu thông tin.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_006,Kết quả đánh giá rèn luyện toàn khóa được ghi vào tài liệu nào của sinh viên khi tốt nghiệp?,simple,easy,Được ghi vào bảng điểm kết quả học tập và lưu trong hồ sơ của người học khi tốt nghiệp.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Kết quả đánh giá rèn luyện toàn khóa được **ghi chung vào bảng điểm kết quả học tập** và **lưu trong hồ sơ tốt nghiệp** của sinh viên (theo Điều 6, khoản 2; Điều 25, khoản 3 của tài liệu tham khảo).","/soict.hust.edu.vn/wp-content/uploads/Bachelor-Hedspi-program.pdf,/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/soict.hust.edu.vn/wp-content/uploads/Bachelor-Global-ICT-program.pdf,f6e06049-71e8-425f-bc49-c4dfbdae6dad,709acc59-af70-4f5c-8ff0-4edae3a89605,3eadf358-0021-4cb2-b450-e5cc18076dfa,b0a8fa91-826f-437f-83e8-8413c4cbf558,6c15e6f3-09df-482e-80fe-a6b644a62b65,c6dd14b6-6c76-4236-b771-e8f74f3de111,ac10eee1-e011-4914-90f2-dd49a1c5caf0",rag_v2,rag,10,40842.71,False,partial,hallucinated,partial,"Câu trả lời nói kết quả rèn luyện toàn khóa được ghi chung vào bảng điểm kết quả học tập, nhưng ngữ cảnh chỉ đề cập đến việc cấp trong hồ sơ tốt nghiệp, không có thông tin về bảng điểm.",correct,"Generated answer conveys the same key facts: the result is recorded in the academic transcript and stored in the graduation file, which is equivalent to the reference answer's learner file.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.3869,1.0,0.1429,1.0,0.2,0.3869
QD_danh_gia_diem_ren_luyen_SV_2023_simple_007,Sinh viên bị xếp loại rèn luyện Yếu trong hai học kỳ liên tiếp tại Bách khoa sẽ bị ảnh hưởng như thế nào?,simple,easy,Bị hạn chế đăng ký học tập tương đương cảnh báo học tập mức 2.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Sinh viên bị xếp loại rèn luyện Yếu/Kém trong hai học kỳ liên tiếp sẽ bị **hạn chế đăng ký học tập, tương đương cảnh báo học tập mức 2**. Theo Điều 6, khoản 4 của quy định, biện pháp này được áp dụng và Phòng/Ban chức năng Đào tạo phối hợp với Phòng CTSV để xử lý (theo Điều 8).","709acc59-af70-4f5c-8ff0-4edae3a89605,7d462060-34ee-47b7-8bf2-ade7687f8e02,5d347da2-c4f6-4504-b610-4bb7b016fc4e",rag_v2,rag,3,26979.93,True,good,grounded,complete,"Câu trả lời trích dẫn đúng thông tin từ ngữ cảnh (Điều 6 khoản 4 và Điều 8) về ảnh hưởng hạn chế đăng ký học tập tương đương cảnh báo học tập mức 2, không bịa đặt, đầy đủ và phù hợp câu hỏi.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_008,Kết quả đánh giá điểm rèn luyện được công bố công khai trước bao nhiêu ngày trước khi ban hành quyết định chính thức?,simple,easy,Trước 14 ngày.,3eadf358-0021-4cb2-b450-e5cc18076dfa,"Tôi không tìm thấy thông tin về số ngày công bố công khai kết quả đánh giá điểm rèn luyện trước khi ban hành quyết định chính thức trong các tài liệu tham khảo hiện có. Các tài liệu chỉ đề cập đến kế hoạch thời gian đánh giá và điều chỉnh, nhưng không nêu rõ khoảng thời gian công bố cụ thể.","/www.studocu.vn/vn/document/truong-dai-hoc-bach-khoa-ha-noi/he-dieu-hanh/quy-che-danh-gia-ren-luyen-sinh-vien-2025-tai-lieu-tham-khao/139536657,/www.facebook.com/ictsv.hust/posts/k%E1%BA%BF-ho%E1%BA%A1ch-%C4%91%C3%A1nh-gi%C3%A1-%C4%91i%E1%BB%83m-r%C3%A8n-luy%E1%BB%87n-h%E1%BB%8Dc-k%E1%BB%B3-20251%EF%B8%8F-c%C4%83n-c%E1%BB%A9-theo-k%E1%BA%BF-ho%E1%BA%A1ch-h%E1%BB%8Dc-t%E1%BA%ADp-v%C3%A0-c/1212497530985392,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25093,cd2f5755-2ee3-4964-825e-133cee1d4fed,10a77213-1105-4d32-9fe2-197392ad6ccd,f30723ed-b476-4c8c-b62d-378188e76137,c708e8d8-c11d-4917-aad8-fae5958c4a69,f5398d42-849a-4c88-9dee-b91d09bd7220,6824ee6a-adad-43e6-a1df-59f0ddc26794,3d17ef49-f15b-4846-b700-7b48a37dcd56",rag_v2,rag,10,33677.98,True,good,grounded,partial,"Câu trả lời của trợ lý đúng khi không tìm thấy thông tin rõ ràng trong ngữ cảnh. Ngữ cảnh chỉ có câu hỏi trắc nghiệm với các lựa chọn 7,10,14,15 ngày nhưng không xác nhận đáp án đúng. Do đó, trợ lý trả lời trung thực, phù hợp với ngữ cảnh, nhưng thông tin cần thiết vẫn chưa có nên cần tìm kiếm thêm trên nguồn chính thống.",incorrect,"Generated answer fails to provide the specific 14-day period stated in reference answer, instead claiming no information is available.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_009,Sinh viên Bách khoa có quyền khiếu nại kết quả điểm rèn luyện trong thời hạn tối thiểu bao nhiêu ngày?,simple,easy,Tối thiểu 15 ngày.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Theo Điều 7 (Quy chế đánh giá rèn luyện), thời gian tối thiểu để sinh viên khiếu nại kết quả điểm rèn luyện là **15 ngày**.","1d027fed-86ee-419d-ad43-39866cc3a23d,ec1d7a3c-baa4-45fc-83f6-3ff6ca9607f7,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,3,19540.96,True,good,grounded,complete,"Câu trả lời đúng, dựa trên ngữ cảnh: thời hạn tối thiểu khiếu nại điểm rèn luyện là 15 ngày theo Điều 7.",correct,"The generated answer states the same minimum period of 15 days as the reference answer, and the additional detail about the regulation does not introduce any inaccuracies.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_010,"Khi nhận được đơn khiếu nại điểm rèn luyện, các đơn vị phải trả lời sinh viên trong thời gian tối đa bao nhiêu ngày?",simple,easy,Không quá 07 ngày kể từ ngày nhận được đơn khiếu nại.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Theo **Điều 7** của Quy định: Khi nhận được đơn khiếu nại, các đơn vị có trách nhiệm trả lời sinh viên trong thời gian **không quá 07 ngày** kể từ ngày nhận đơn.","1d027fed-86ee-419d-ad43-39866cc3a23d,e9b377f9-4648-42e1-9e4d-16c9315a99c8,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,3,19742.29,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác quy định tại Điều 7, trả lời đúng thời hạn 07 ngày, không bịa đặt, đầy đủ thông tin.",correct,"Generated answer states the same 07-day limit from receipt of the complaint, and the extra citation is accurate and does not conflict.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
