id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
baiviet_all_chunks_simple_001,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra lúc mấy giờ và vào ngày nào?,simple,easy,Hội thảo online diễn ra lúc 20h00 ngày 12/05/2026.,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra lúc **20h00 ngày 12/05/2026**.,"0fe3aa2d-cda5-4fa5-844a-ba73e3823030,ac83efd7-3854-4b11-bf72-007309dd45f3,a54f5383-ff21-47b8-917d-dca19357acbb,95265f14-adf1-48a6-b3f2-ebd68f57364c,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,22ac7873-a3a0-47ac-b591-59009531051a",rag_v2,rag,6,13635.64,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp chính xác thông tin về thời gian và ngày diễn ra hội thảo giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_002,Chương trình tham quan nhà máy và phỏng vấn tuyển dụng của Goertek Vina bắt đầu lúc mấy giờ và ở đâu?,simple,easy,Tham quan bắt đầu lúc 7h00 ngày 15/05/2026 tại Nhà máy Goertek Vina tại Bắc Ninh.,ac83efd7-3854-4b11-bf72-007309dd45f3,"Theo tài liệu từ chương trình tham quan tuyển dụng, chương trình tham quan nhà máy và phỏng vấn sinh viên bắt đầu lúc **7h00 ngày 15/05/2026** tại **Nhà máy Goertek Vina tại Bắc Ninh**.","ac83efd7-3854-4b11-bf72-007309dd45f3,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,a54f5383-ff21-47b8-917d-dca19357acbb,95265f14-adf1-48a6-b3f2-ebd68f57364c,82921303-6af6-42a8-a257-9978315c71d8,5a27e1fc-30e6-4671-a4c6-a1796c7a3858",rag_v2,rag,7,11955.03,True,good,grounded,complete,Câu trả lời cung cấp chính xác thời gian và địa điểm dựa trên thông tin có trong ngữ cảnh được cung cấp.,correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về thời gian và địa điểm giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_003,Chương trình tham quan tuyển dụng Goertek Vina tuyển tối đa bao nhiêu người?,simple,easy,Chương trình tuyển tối đa 20 người.,95265f14-adf1-48a6-b3f2-ebd68f57364c,"Theo tài liệu **""Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh""**, chương trình tuyển dụng **""Cán Bộ Nguồn Đôi Cánh Goertek 2026""** có số lượng tuyển dụng là **20 người**.  
Không có thông tin về số lượng tuyển dụng cho chương trình **""Cán bộ Tinh Anh 2026""** trong cùng tài liệu này.","ac83efd7-3854-4b11-bf72-007309dd45f3,95265f14-adf1-48a6-b3f2-ebd68f57364c,53ba4f6f-e628-4b9e-8bea-5bc519a42e18,82921303-6af6-42a8-a257-9978315c71d8,a54f5383-ff21-47b8-917d-dca19357acbb,22ac7873-a3a0-47ac-b591-59009531051a",rag_v2,rag,6,30519.87,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp, xác định rõ số lượng cho chương trình Cán bộ nguồn và làm rõ việc thiếu thông tin cho chương trình Cán bộ tinh anh.",correct,Câu trả lời đã xác định chính xác con số 20 người theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
baiviet_all_chunks_simple_004,Lương thử việc tại Goertek Vina bằng bao nhiêu phần trăm lương chính thức và ước tính khoảng bao nhiêu tiền?,simple,easy,"Lương thử việc bằng 85% lương chính thức, khoảng 9,2 triệu VND, chưa bao gồm tăng ca và các khoản trợ cấp.",95265f14-adf1-48a6-b3f2-ebd68f57364c,Tôi không tìm thấy thông tin về lương thử việc tại Goertek Vina trong các tài liệu hiện có.,"b8e0dd53-c5a0-4aa1-8142-ef58491699da,8c7b778a-a63f-4b15-9fe4-b075e6997ded,d275e767-8661-4a7f-b3e4-332d2f57a681,ed299a78-747e-48e0-8e43-249aba846ae9,418b90d7-0d1a-4a12-8e15-d410fbec1001,88f60177-8031-4836-94bd-de30f2b39e61,fa80d01c-3289-4064-81ec-e79a6bd800e2",rag_v2,rag,7,22226.79,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về lương thử việc tại công ty Goertek Vina. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,Câu trả lời được tạo không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã đưa ra con số cụ thể.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baiviet_all_chunks_simple_005,Goertek Vina được thành lập năm nào và ở đâu tại Việt Nam?,simple,easy,"Goertek Vina được thành lập năm 2019 tại KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh.",53ba4f6f-e628-4b9e-8bea-5bc519a42e18,"Theo thông tin từ Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh, Goertek Vina được thành lập vào năm 2019 tại **KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh**.","53ba4f6f-e628-4b9e-8bea-5bc519a42e18,ac83efd7-3854-4b11-bf72-007309dd45f3,22ac7873-a3a0-47ac-b591-59009531051a",rag_v2,rag,3,22163.43,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác thông tin về năm thành lập và địa điểm của Goertek Vina giống như đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_006,Chế độ nghỉ phép theo giờ tại Goertek Vina là bao nhiêu lần mỗi tháng và mỗi lần mấy tiếng?,simple,easy,"Mỗi tháng nghỉ 2 lần, mỗi lần 2 tiếng và vẫn hưởng lương.",a54f5383-ff21-47b8-917d-dca19357acbb,"Chế độ nghỉ phép theo giờ tại Goertek Vina là **2 lần mỗi tháng, mỗi lần 2 giờ và vẫn được hưởng nguyên lương** (theo thông tin trong Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh).","5a27e1fc-30e6-4671-a4c6-a1796c7a3858,a54f5383-ff21-47b8-917d-dca19357acbb,95265f14-adf1-48a6-b3f2-ebd68f57364c",rag_v2,rag,3,16272.22,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn trên thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
baiviet_all_chunks_simple_007,Chương trình 'Tuyển dụng cán bộ nguồn 2027' của Goertek Vina nhắm đến sinh viên tốt nghiệp trước thời điểm nào?,simple,easy,Sinh viên tốt nghiệp trước tháng 8 năm 2027.,dca512e6-269b-4ad8-be4c-c8d64cb607b2,Sinh viên tốt nghiệp trước tháng 8 năm 2027.,"dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3,22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8",rag_v2,rag,4,9341.31,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_008,Hạn nộp báo danh cho chương trình tuyển dụng cán bộ nguồn 2027 của Goertek Vina là khi nào?,simple,easy,Hạn báo danh đến hết ngày 10 tháng 05 năm 2026.,82921303-6af6-42a8-a257-9978315c71d8,Hạn nộp báo danh (thời gian báo danh) cho chương trình tuyển dụng cán bộ nguồn 2027 của Goertek Vina là **đến hết ngày 10 tháng 5 năm 2026**.,"82921303-6af6-42a8-a257-9978315c71d8,22ac7873-a3a0-47ac-b591-59009531051a,dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3",rag_v2,rag,4,12827.69,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh về thời gian báo danh của chương trình tuyển dụng cán bộ nguồn 2027.",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin về thời hạn báo danh giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_009,Chương trình đào tạo cán bộ nguồn Goertek Vina kéo dài bao lâu và dự kiến diễn ra từ khi nào đến khi nào?,simple,easy,"Chương trình kéo dài 1 học kỳ tại trung tâm đào tạo Goertek Việt Nam, dự kiến từ tháng 02 đến tháng 06/2027.",22ac7873-a3a0-47ac-b591-59009531051a,"Theo thông tin từ tài liệu ""Chương trình “Tuyển dụng cán bộ nguồn 2027” Công ty Goertek Vina – Đào tạo tại Việt Nam"", chương trình đào tạo này kéo dài **1 học kỳ** tại trung tâm đào tạo công nghệ kỹ thuật Goertek Việt Nam, dự kiến diễn ra từ **tháng 2 đến tháng 6 năm 2027**. Sau đó, từ tháng 7/2027 sinh viên sẽ trở thành nhân viên chính thức của công ty.","22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8,ac83efd7-3854-4b11-bf72-007309dd45f3",rag_v2,rag,3,28323.77,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thời gian đào tạo và mốc thời gian dự kiến như trong đáp án tham chiếu, đồng thời bổ sung thêm thông tin phụ không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_010,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 tại Đại học Bách khoa Hà Nội là bao nhiêu?,simple,easy,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 là 08 chỉ tiêu.,4ece021b-66c9-4c9a-919f-6cb4245d0f2b,"Theo tài liệu tham khảo, tôi không tìm thấy thông tin về tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 tại Đại học Bách khoa Hà Nội.","fcc28993-fe62-4ee0-a124-14e93d2b5ede,a8a28e34-df56-4cde-85f8-dabfa212c436,874f739b-4012-4751-ac09-16f9062ecc98,dd0edcae-b5fc-4abe-bac4-d82f3556ef19,1158a7c9-5eef-4bfc-9f4b-457edc9e5c2a,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,/ts.hust.edu.vn/tin-tuc/du-kien-phuong-an-tuyen-sinh-dai-hoc-2026-cua-bach-khoa-ha-noi,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47615",rag_v2,rag,9,31925.66,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về chỉ tiêu đào tạo sĩ quan dự bị. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin chính xác theo tài liệu tham khảo mà lại báo không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
