id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định này áp dụng cho sinh viên khóa nào?,simple,easy,K63 và K64,43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Dựa trên các tài liệu được cung cấp, phạm vi áp dụng đối với sinh viên các khóa như sau:

*   **Khóa 70 trở về sau:** Áp dụng theo quy định mới từ học kỳ 1 năm học 2025-2026.
*   **Khóa 69 trở về trước:** Các quy định hiện hành về ngoại ngữ vẫn tiếp tục có hiệu lực cho đến khi kết thúc khóa đào tạo (trừ quy định về quy đổi tương đương chứng chỉ).
*   **Khóa 63 và 64 (chương trình chuẩn):** Áp dụng quy định riêng về chuẩn tiếng Anh [xem chi tiết](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35493).
*   **Khóa 62 đến 64 (chương trình Elitech):** Áp dụng quy định riêng về chuẩn ngoại ngữ đầu ra [xem chi tiết](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35495).

Ngoài ra, các quy định về học bổng khuyến khích học tập và các quy chế đào tạo chung áp dụng cho sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất đang học tập tại Đại học Bách khoa Hà Nội.","4825815f-a9cb-477c-846e-52bd2209a149,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,648800ef-6f78-4f14-b25d-0f6e15270055,43dc8f77-a8cb-4250-9ff4-57163f5c21de,89728544-bace-5b19-8837-acb52cc8364e,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc",rag_v2,rag,7,11249.97,True,good,grounded,complete,Câu trả lời đã tổng hợp chính xác các đối tượng áp dụng cho từng khóa dựa trên các văn bản khác nhau có trong ngữ cảnh cung cấp.,partial,"The generated answer includes K63 and K64 as requested, but provides a much broader and more complex context that goes beyond the simple scope of the reference answer.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
chunks_001_simple_002,Những đối tượng nào không áp dụng quy định này?,simple,easy,"Ngành Ngôn ngữ Anh, ELITECH và SV nước ngoài",43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Dựa trên các tài liệu được cung cấp, đối tượng không áp dụng quy định về ngoại ngữ (phân loại trình độ đầu vào, chương trình môn học, chuẩn ngoại ngữ) bao gồm:

*   **Đối với sinh viên khóa K65, K66, K67, K68, K69:**
    *   Sinh viên thuộc ngành Ngôn ngữ Anh.
    *   Sinh viên là người nước ngoài đang học tại Đại học Bách khoa Hà Nội.

*   **Đối với sinh viên khóa K70:**
    *   Sinh viên là người nước ngoài theo học các chương trình đào tạo (CTĐT) có ngôn ngữ giảng dạy chính là tiếng Việt.
    *   *Lưu ý:* Đối với sinh viên nước ngoài theo học các CTĐT có ngôn ngữ giảng dạy khác tiếng Việt, việc xét miễn/áp dụng ngoại ngữ cơ bản thực hiện theo nguyên tắc tương đương năng lực và Phụ lục của Quy định.

Nếu bạn đang học khóa khác hoặc cần làm rõ thêm về chương trình đào tạo của mình, vui lòng cung cấp thông tin khóa học để tôi hỗ trợ chính xác hơn.","4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,b5e56233-0562-4f16-b606-807e4f5cf8e0,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",rag_v2,rag,4,24979.23,True,good,grounded,complete,Câu trả lời đã tổng hợp chính xác các đối tượng không áp dụng quy định dựa trên các văn bản khác nhau dành cho các khóa sinh viên khác nhau có trong ngữ cảnh.,correct,"Câu trả lời được tạo ra bao quát đầy đủ các đối tượng trong câu trả lời tham chiếu và cung cấp thông tin chi tiết, chính xác hơn theo từng khóa học.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_003,Sinh viên đạt điều kiện nào được miễn 2 học phần tiếng Anh cơ bản?,simple,easy,Đạt điểm thi hoặc có chứng chỉ quốc tế phù hợp,c788754c-50b2-4f77-b454-da84817e116e,"Điều kiện miễn 2 học phần tiếng Anh cơ bản phụ thuộc vào chương trình đào tạo của sinh viên như sau:

*   **Đối với sinh viên các khóa K63, K64:** Sinh viên đạt yêu cầu về điểm thi môn Tiếng Anh trong kỳ thi THPT Quốc gia hàng năm hoặc có chứng chỉ tiếng Anh quốc tế sẽ được miễn học và công nhận đã hoàn thành 2 học phần tiếng Anh cơ bản.
*   **Đối với sinh viên ngành Cơ điện tử - ĐH Leibniz Hannover (ME-LUH):** Sinh viên có chứng chỉ tiếng Anh năm thứ nhất tương đương TOEIC >= 300 có thể được miễn 2 học phần này.
*   **Đối với sinh viên khóa K70 (CTĐT chuẩn, tài năng và các chương trình ELiTech/hợp tác quốc tế):** Việc miễn học (ghi điểm R) được quy định theo nhóm trình độ (Nhóm 2, 3, 4 tùy theo từng chương trình) dựa trên kết quả đánh giá phân loại tiếng Anh đầu vào hoặc chứng chỉ quốc tế (APTIS ESOL, Cambridge Assessment English, PEIC). Bạn vui lòng tham khảo chi tiết tại Bảng 3.1 (đối với CTĐT chuẩn/tài năng) hoặc Bảng 4.1 (đối với CTĐT ELiTech/hợp tác quốc tế) trong tài liệu liên quan đến khóa K70.

Để có câu trả lời chính xác nhất cho trường hợp của bạn, bạn đang theo học chương trình đào tạo nào?","c788754c-50b2-4f77-b454-da84817e116e,d667cb24-43d5-48a9-a2df-4f97b6db5e37,87879cb9-d1f4-4f25-8374-48c610d9e60b,42da1af7-8270-4cd7-9219-78d53d1dfea5,6c764ae6-eb75-457c-a363-805f9702a5df",rag_v2,rag,5,13542.89,False,good,hallucinated,complete,"Câu trả lời chứa thông tin bịa đặt về 'sinh viên ngành Cơ điện tử - ĐH Leibniz Hannover (ME-LUH)' và điều kiện 'TOEIC >= 300', thông tin này không có trong ngữ cảnh được cung cấp.",correct,"The generated answer provides a more comprehensive and accurate explanation of the conditions for exemption, which encompasses the core requirement mentioned in the reference answer (scores or international certificates).",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Học phần tiếng Anh cơ bản có tính vào GPA không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Việc tính điểm các học phần tiếng Anh cơ bản vào GPA phụ thuộc vào khóa đào tạo của sinh viên:

*   **Đối với sinh viên khóa K63, K64:** Điểm thi kết thúc các học phần tiếng Anh cơ bản **không** tính vào điểm trung bình học kỳ, điểm trung bình tích lũy và điểm trung bình tốt nghiệp.
*   **Đối với sinh viên khóa K65, K66, K67:** Các học phần Tiếng Anh cơ sở 1 (FL1129) và Tiếng Anh cơ sở 2 (FL1130) có tính tín chỉ trong chương trình đào tạo (3 tín chỉ/học phần).
*   **Đối với sinh viên khóa K70:** Tài liệu hiện có không đề cập trực tiếp việc các học phần này có tính vào GPA hay không, chỉ nêu danh mục học phần và điều kiện miễn học.

Nếu bạn đang học khóa khác hoặc cần làm rõ thông tin cho khóa cụ thể của mình, vui lòng cung cấp thêm thông tin về khóa học.","c788754c-50b2-4f77-b454-da84817e116e,6c764ae6-eb75-457c-a363-805f9702a5df,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,3,39677.0,True,good,grounded,complete,"Câu trả lời đã phân loại chính xác theo từng nhóm khóa dựa trên ngữ cảnh được cung cấp. Đối với K63/K64, ngữ cảnh khẳng định rõ không tính vào GPA. Đối với K65-K67, ngữ cảnh chỉ rõ có tính tín chỉ (thường đồng nghĩa với việc tính vào GPA). Đối với K70, ngữ cảnh không đề cập đến việc tính vào GPA, trợ lý đã phản hồi trung thực dựa trên tài liệu.",partial,"The reference answer provides a definitive 'No', while the generated answer suggests that it depends on the student's cohort, indicating a potential discrepancy in institutional policy or context.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Chưa hoàn thành tiếng Anh cơ bản có được thi chứng chỉ nội bộ không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Theo quy định đối với sinh viên khóa K63, K64, sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản **không được phép** đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.","c788754c-50b2-4f77-b454-da84817e116e,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee",rag_v2,rag,3,25335.33,True,good,grounded,complete,"Câu trả lời chính xác, dựa trực tiếp vào thông tin trong ngữ cảnh được cung cấp (mục 2 phần Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ).",correct,"Cả hai câu trả lời đều khẳng định việc không được phép thi chứng chỉ nội bộ khi chưa hoàn thành tiếng Anh cơ bản, câu trả lời được tạo ra chỉ bổ sung thêm ngữ cảnh cụ thể cho sinh viên.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Trượt học phần tiếng Anh cơ bản phải làm gì?,simple,easy,Đăng ký học lại,c788754c-50b2-4f77-b454-da84817e116e,"Việc xử lý khi trượt học phần tiếng Anh cơ bản được quy định tùy theo khóa học của sinh viên như sau:

*   **Đối với sinh viên khóa K63, K64:**
    *   Sinh viên không hoàn thành học phần nào thì phải đăng ký học lại học phần đó.
    *   Lưu ý: Điểm thi kết thúc các học phần tiếng Anh cơ bản là điều kiện để công nhận hoàn thành chương trình; sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản không được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.

*   **Đối với sinh viên khóa K65, K66, K67 và K70:**
    *   Tài liệu hiện có không nêu cụ thể quy định về việc học lại khi trượt học phần tiếng Anh cơ bản cho các khóa này.

Nếu bạn thuộc khóa K65, K66, K67 hoặc K70, vui lòng cung cấp thêm thông tin hoặc tham khảo các quy định chi tiết hơn tại các kênh thông tin chính thức của Nhà trường.","c788754c-50b2-4f77-b454-da84817e116e,6c764ae6-eb75-457c-a363-805f9702a5df,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,3,11899.96,True,good,grounded,complete,"Câu trả lời đã trích xuất đúng thông tin từ ngữ cảnh cho khóa K63, K64 và phản ánh chính xác việc thiếu thông tin cụ thể về quy trình học lại đối với các khóa còn lại trong tài liệu được cung cấp.",correct,The generated answer includes the core requirement of retaking the course (đăng ký học lại) while providing more detailed and context-specific information.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo các tài liệu quy định, sinh viên được phép tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường nhiều lần. Kết quả thi sẽ được công nhận dựa trên điểm thi cao nhất trong các lần thi đó.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,17644.08,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (sinh viên được thi nhiều lần và lấy kết quả cao nhất).",correct,"Câu trả lời đã truyền tải đúng thông tin chính là sinh viên được thi nhiều lần, đồng thời bổ sung thêm thông tin hữu ích về việc công nhận kết quả.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo các tài liệu hiện có, không có thông tin cụ thể về thời hạn hiệu lực của kết quả thi tiếng Anh nội bộ. Tài liệu chỉ đề cập đến việc nhận kết quả thi và thủ tục cấp giấy chứng nhận, nhưng không nêu rõ giá trị sử dụng trong bao lâu.

Bạn có thể tham khảo thêm trên trang Trung tâm Khảo thí ngoại ngữ và Trao đổi văn hóa (CLC) để biết chi tiết.","b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/clc.hust.edu.vn/faqs-mot-cau-hoi-thuong-gap",rag_v2,rag,10,39232.88,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về thời hạn hiệu lực của kết quả thi tiếng Anh nội bộ. Trợ lý đã trả lời đúng dựa trên ngữ cảnh và hướng dẫn người dùng tìm kiếm thêm.,incorrect,"The generated answer states that there is no information about the validity period, while the reference answer explicitly provides the correct duration of 2 years.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,TOEIC bao nhiêu được cấp chứng nhận nội bộ?,simple,easy,500,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo quy định đối với sinh viên khóa K63, K64, sinh viên đạt điểm TOEIC 500 trở lên trong kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường sẽ được cấp Chứng nhận tiếng Anh nội bộ. Chứng nhận này có giá trị trong thời gian 2 năm kể từ ngày cấp.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee,802dab5c-4871-45a2-9e86-01e7a65c36d7",rag_v2,rag,3,17455.61,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định cấp chứng nhận tiếng Anh nội bộ cho sinh viên khóa K63, K64.",correct,Câu trả lời đã nêu đúng mức điểm 500 theo yêu cầu và cung cấp thêm thông tin bổ sung hợp lý.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_010,Chuẩn tiếng Anh từ 64 tín chỉ là bao nhiêu TOEIC?,simple,easy,350,92d8e047-8bb5-4660-93e7-681e3804d5ee,"Thông tin về chuẩn tiếng Anh từ 64 tín chỉ (tính theo điểm TOEIC) phụ thuộc vào khóa học của bạn:

- **K63, K64** (theo văn bản `chuan_tieng_anh_k63_k64`): Từ 64 tín chỉ trở lên yêu cầu **tối thiểu 350 TOEIC**.
- **K65, K66, K67** (theo văn bản `QD_NN_DHCQ-2020-2021-1501`):  
  - CTĐT chuẩn (Bảng 3.2): Từ 64÷95 TC yêu cầu **tối thiểu 400 TOEIC**.  
  - CTĐT Tài năng (Bảng 4.2): Từ 64÷95 TC yêu cầu **tối thiểu 400 TOEIC**.  
  - CTĐT tiên tiến (Phụ lục 5): Từ 64÷95 TC yêu cầu **tối thiểu 400 TOEIC**.
- **K68, K69** (theo văn bản `QD_ngoai_ngu_tu_K68_CQ_final`): Quy định không dùng điểm TOEIC, thay bằng bậc năng lực. Cụ thể:  
  - CTĐT chuẩn (Bảng 3.2): Từ 64÷95 TC yêu cầu đạt tối thiểu **Bậc 2.2** (hoặc hoàn thành các học phần FL1131–FL1134).  
  - CTĐT Tài năng (Bảng 4.2): Từ 64÷95 TC yêu cầu đạt tối thiểu **Bậc 2.3** (hoặc hoàn thành các học phần FL1105–FL1108).

Bạn đang thuộc khóa nào? Mình sẽ trả lời chính xác theo khóa của bạn.","92d8e047-8bb5-4660-93e7-681e3804d5ee,e3a29e1c-9828-458f-8089-ebccfa6e428c,0db1712a-4ff5-42c0-af28-2e759190c6f7,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e,a53edad8-7533-49d8-ba03-b33725bde4dc,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7",rag_v2,rag,7,36752.92,False,good,partially_grounded,complete,"Câu trả lời có thông tin bịa đặt ở phần K68, K69: Ngữ cảnh cho K68, K69 (Bảng 4.2) quy định từ 64-95 TC là Bậc 2.3, nhưng trợ lý lại liệt kê thêm Bậc 2.2 cho CTĐT chuẩn (thông tin này không có trong ngữ cảnh được cung cấp cho K68, K69).",partial,"The generated answer provides a more nuanced and accurate breakdown based on specific student cohorts, whereas the reference answer provides a single value that only applies to specific older cohorts.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
