id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
baiviet_all_chunks_simple_001,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra lúc mấy giờ và vào ngày nào?,simple,easy,Hội thảo online diễn ra lúc 20h00 ngày 12/05/2026.,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,Hội thảo online của chương trình tham quan tuyển dụng Goertek Vina diễn ra vào lúc **20h00 ngày 12/05/2026**.,"0fe3aa2d-cda5-4fa5-844a-ba73e3823030,14a3bbdd-a8ca-4711-9f02-985bf908186c,54a60ba9-1de1-48b3-94a9-09dcd0a00ba3",rag_v2,rag,3,12145.45,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp chính xác thông tin về thời gian và ngày diễn ra hội thảo giống hệt với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_002,Chương trình tham quan nhà máy và phỏng vấn tuyển dụng của Goertek Vina bắt đầu lúc mấy giờ và ở đâu?,simple,easy,Tham quan bắt đầu lúc 7h00 ngày 15/05/2026 tại Nhà máy Goertek Vina tại Bắc Ninh.,ac83efd7-3854-4b11-bf72-007309dd45f3,"- **Thời gian:** 7h00 ngày 15/05/2026  
- **Địa điểm:** Nhà máy Goertek Vina tại Bắc Ninh","ac83efd7-3854-4b11-bf72-007309dd45f3,0fe3aa2d-cda5-4fa5-844a-ba73e3823030,82921303-6af6-42a8-a257-9978315c71d8",rag_v2,rag,3,8802.19,True,good,grounded,complete,Câu trả lời cung cấp chính xác thời gian và địa điểm dựa trên thông tin được cung cấp trong ngữ cảnh về chương trình tham quan nhà máy và phỏng vấn tuyển dụng của Goertek Vina.,correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin về thời gian và địa điểm giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_003,Chương trình tham quan tuyển dụng Goertek Vina tuyển tối đa bao nhiêu người?,simple,easy,Chương trình tuyển tối đa 20 người.,95265f14-adf1-48a6-b3f2-ebd68f57364c,Chương trình tham quan tuyển dụng của Goertek Vina (Cán bộ nguồn Đôi cánh Goertek 2026) tuyển tối đa **20 người**.,"ac83efd7-3854-4b11-bf72-007309dd45f3,95265f14-adf1-48a6-b3f2-ebd68f57364c,82921303-6af6-42a8-a257-9978315c71d8,22ac7873-a3a0-47ac-b591-59009531051a",rag_v2,rag,4,19060.28,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin về chương trình 'Cán bộ nguồn Đôi cánh Goertek 2026' được cung cấp trong ngữ cảnh.,correct,"Câu trả lời đã cung cấp chính xác con số 20 người theo yêu cầu của câu hỏi, dù có thêm thông tin bổ sung về tên chương trình.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
baiviet_all_chunks_simple_004,Lương thử việc tại Goertek Vina bằng bao nhiêu phần trăm lương chính thức và ước tính khoảng bao nhiêu tiền?,simple,easy,"Lương thử việc bằng 85% lương chính thức, khoảng 9,2 triệu VND, chưa bao gồm tăng ca và các khoản trợ cấp.",95265f14-adf1-48a6-b3f2-ebd68f57364c,"Tôi không tìm thấy thông tin về tỷ lệ phần trăm lương thử việc so với lương chính thức hay ước tính số tiền cụ thể tại Goertek Vina trong tài liệu hiện có. Nguồn duy nhất đề cập đến Goertek là một trang TikTok nói chung về mức thu nhập từ 5 triệu đến 100 triệu đồng, nhưng không có chi tiết về chính sách thử việc.","c61eccd0-db75-5e96-857e-75d4c2100305,c648678a-cd06-5e80-8c8e-4cff8505f22d,13188ea5-14f5-536d-8231-68e47ae637ab,b584d748-1083-495f-8f68-ea9fbcab9df7,0f3cc32d-1112-5259-b44a-ff825c03492c,6d7608d0-da32-4b16-85eb-6a6c012a36f6,50a8cf93-5fcd-5292-8ddb-1630db703ce8,/www.tiktok.com/discover/b%E1%BA%A3ng-l%C6%B0%C6%A1ng-c%E1%BB%A7a-cty-goertek-b%E1%BA%AFc-ninh",rag_v2,rag,8,22829.72,True,good,grounded,complete,Thông tin về chính sách lương thử việc tại Goertek Vina không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng dựa trên phạm vi dữ liệu hiện có và xác nhận không tìm thấy thông tin cụ thể.,incorrect,"The generated answer fails to provide the specific information requested, whereas the reference answer provides clear figures regarding the probation salary percentage and estimated amount.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baiviet_all_chunks_simple_005,Goertek Vina được thành lập năm nào và ở đâu tại Việt Nam?,simple,easy,"Goertek Vina được thành lập năm 2019 tại KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh.",53ba4f6f-e628-4b9e-8bea-5bc519a42e18,"Theo **Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh**, Goertek Vina được thành lập vào **năm 2019** tại **KCN Quế Võ, phường Nam Sơn, TP Bắc Ninh, tỉnh Bắc Ninh**.","53ba4f6f-e628-4b9e-8bea-5bc519a42e18,8a58f95f-8c77-449c-a7cb-62fb39d17298,95605f70-9fd0-4d21-a09a-f1b0110089d5",rag_v2,rag,3,18962.24,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về năm thành lập và địa điểm của Goertek Vina giống như đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_006,Chế độ nghỉ phép theo giờ tại Goertek Vina là bao nhiêu lần mỗi tháng và mỗi lần mấy tiếng?,simple,easy,"Mỗi tháng nghỉ 2 lần, mỗi lần 2 tiếng và vẫn hưởng lương.",a54f5383-ff21-47b8-917d-dca19357acbb,"Theo thông tin từ Chương trình tham quan tuyển dụng của công ty Goertek Vina tại Bắc Ninh, chế độ nghỉ phép theo giờ là:

- **2 lần/tháng**, mỗi lần **2 giờ**, được hưởng nguyên lương.","5a27e1fc-30e6-4671-a4c6-a1796c7a3858,22ac7873-a3a0-47ac-b591-59009531051a,febdd53d-8753-4933-b2ec-dbdf8e4ae2a9",rag_v2,rag,3,12267.09,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh về chế độ nghỉ phép theo giờ tại Goertek Vina.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baiviet_all_chunks_simple_007,Chương trình 'Tuyển dụng cán bộ nguồn 2027' của Goertek Vina nhắm đến sinh viên tốt nghiệp trước thời điểm nào?,simple,easy,Sinh viên tốt nghiệp trước tháng 8 năm 2027.,dca512e6-269b-4ad8-be4c-c8d64cb607b2,Chương trình yêu cầu sinh viên tốt nghiệp **trước tháng 8 năm 2027** (theo mục 1. Đối tượng).,"dca512e6-269b-4ad8-be4c-c8d64cb607b2,22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8",rag_v2,rag,3,9686.59,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về thời điểm tốt nghiệp theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_008,Hạn nộp báo danh cho chương trình tuyển dụng cán bộ nguồn 2027 của Goertek Vina là khi nào?,simple,easy,Hạn báo danh đến hết ngày 10 tháng 05 năm 2026.,82921303-6af6-42a8-a257-9978315c71d8,Hạn nộp báo danh cho chương trình **“Tuyển dụng cán bộ nguồn 2027”** của Công ty Goertek Vina là **đến hết ngày 10 tháng 05 năm 2026**.,"82921303-6af6-42a8-a257-9978315c71d8,22ac7873-a3a0-47ac-b591-59009531051a,dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3",rag_v2,rag,4,13657.2,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp thông tin chính xác và đầy đủ giống hệt với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_009,Chương trình đào tạo cán bộ nguồn Goertek Vina kéo dài bao lâu và dự kiến diễn ra từ khi nào đến khi nào?,simple,easy,"Chương trình kéo dài 1 học kỳ tại trung tâm đào tạo Goertek Việt Nam, dự kiến từ tháng 02 đến tháng 06/2027.",22ac7873-a3a0-47ac-b591-59009531051a,"Theo **Chương trình “Tuyển dụng cán bộ nguồn 2027” Công ty Goertek Vina – Đào tạo tại Việt Nam**, thời gian đào tạo kéo dài **1 học kỳ** tại trung tâm đào tạo công nghệ kỹ thuật Goertek Việt Nam, dự kiến từ **tháng 2 đến tháng 6 năm 2027**.","22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8,dca512e6-269b-4ad8-be4c-c8d64cb607b2,ac83efd7-3854-4b11-bf72-007309dd45f3",rag_v2,rag,4,25662.39,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin về thời gian đào tạo và mốc thời gian dự kiến như trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
baiviet_all_chunks_simple_010,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 tại Đại học Bách khoa Hà Nội là bao nhiêu?,simple,easy,Tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 là 08 chỉ tiêu.,4ece021b-66c9-4c9a-919f-6cb4245d0f2b,"Theo tài liệu hiện có, tôi không tìm thấy thông tin về tổng chỉ tiêu đào tạo sĩ quan dự bị năm 2026 tại Đại học Bách khoa Hà Nội.","/ts.hust.edu.vn/p/tin-tuc?page=2,/ts.hust.edu.vn/tin-tuc/du-kien-phuong-an-tuyen-sinh-dai-hoc-2026-cua-bach-khoa-ha-noi,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,755a2270-9ade-4083-8695-faef10a68014,a8a28e34-df56-4cde-85f8-dabfa212c436",rag_v2,rag,5,20009.05,True,good,grounded,complete,Ngữ cảnh có nhắc đến thông báo tuyển chọn nam sinh viên đi đào tạo sĩ quan dự bị năm 2026 nhưng không cung cấp con số chỉ tiêu cụ thể. Trợ lý đã trả lời đúng là không tìm thấy thông tin này trong ngữ cảnh.,incorrect,"The generated answer fails to provide the specific information requested, which is clearly stated in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baiviet_all_chunks_simple_011,Điều kiện về tuổi đời khi tham gia đào tạo sĩ quan dự bị năm 2026 là gì?,simple,easy,"Nam sinh viên có tuổi đời không quá 30, đã tốt nghiệp đại học trong năm 2026.",fae1f043-8818-4139-8bfd-b8635fe0ba62,"Tôi không tìm thấy thông tin về điều kiện tuổi đời khi tham gia đào tạo sĩ quan dự bị năm 2026 trong tài liệu tham khảo hiện có. Thông báo tuyển chọn năm 2026 (tại đây) chỉ nêu thời gian đào tạo 4 tháng, dự kiến khai giảng đầu tháng 7/2026, và trách nhiệm của sinh viên được tuyển chọn, nhưng không đề cập cụ thể đến yêu cầu về tuổi. Để biết chi tiết, bạn có thể tham khảo Quyết định số 60/QĐ-BGDĐT ngày 07/4/2026 hoặc liên hệ Phòng Đào tạo.","f8a15b5a-4da9-49dc-a892-e25e30f955b6,163b82d3-2ab4-451d-b766-ed70b416b3ae,25c75fd3-e368-4287-8d35-97489d8b95a4,fe37ad9f-fa20-4452-82df-fb6fd065e4ea,cbdaf934-cb74-4f9d-927d-6dd8986b664f,95475683-9f13-5f94-99c8-d6ab0c973c8f,cfebccb7-28d9-430a-878b-3d349f9d81f6,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47615,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=44517",rag_v2,rag,9,32505.02,False,good,hallucinated,incomplete,"Trợ lý đã tự bịa đặt thông tin về 'Quyết định số 60/QĐ-BGDĐT ngày 07/4/2026' và các chi tiết về thời gian đào tạo, khai giảng mà không có trong ngữ cảnh được cung cấp. Ngữ cảnh hoàn toàn không chứa thông tin về điều kiện tuổi đời cho sĩ quan dự bị.",incorrect,"The generated answer fails to provide the correct information regarding the age requirement (not over 30) which is a standard regulation for reserve officer training, instead claiming the information is unavailable.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
