id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_thi_truc_tuyen_simple_001,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 06 tháng 8 năm 2021.,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,8834fcd9-3504-4f0d-98d6-43308766adcd,f30723ed-b476-4c8c-b62d-378188e76137,047b5a56-39e3-45fd-a643-ebe5b8f974b8,73aea3ac-54d2-4a1a-a954-55ed178a11e1,/www.facebook.com/tsdhbk/posts/n%C4%83m-2026-x%C3%A9t-tuy%E1%BB%83n-t%C3%A0i-n%C4%83ng-v%E1%BA%ABn-g%E1%BB%93m-03-di%E1%BB%87n-11-12-v%C3%A0-13-b%E1%BA%AFt-%C4%91%E1%BA%A7u-t%E1%BB%AB-185-h%E1%BB%87-th%E1%BB%91ng-/1266876622236763,/thi.tuyensinh247.com/dai-hoc-bach-khoa-ha-noi-cong-bo-quy-dinh-phuong-thuc-xet-tuyen-tai-nang-2026-c24a88924.html,/soict.hust.edu.vn/thong-tin-tuyen-sinh-2026.html",rag_v2,rag,10,28577.47,True,good,grounded,complete,Thông tin về Quyết định 1791/QĐ-ĐHBK-ĐT không có trong các văn bản được cung cấp.,incorrect,Câu trả lời được tạo không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã nêu rõ ngày ban hành.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_002,Hệ thống thi trực tuyến tại Bách khoa Hà Nội bao gồm những phần mềm nào?,simple,easy,"Microsoft Teams (MS Teams), hệ thống Learning Management System (LMS) kết hợp với phần mềm Safe Exam Browser (SEB) và các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.",00389c0c-7125-44f0-a15b-d992823ae0b0,"Theo tài liệu tham khảo, hệ thống thi trực tuyến tại Đại học Bách khoa Hà Nội bao gồm:

- **Microsoft Teams (MS Teams)**
- **Hệ thống Learning Management System (LMS)**
- **Phần mềm Safe Exam Browser (SEB)**","d8b94d89-09a3-4dd9-b442-18c5a76674ca,0c752539-cb5d-45ab-a4f0-4930315df9e6,1529bcb6-9a0a-462b-8ec0-f46886fb9a7c,aea387b5-946d-44f9-bcf5-ba19c30ae5f5,39e76415-3b93-4979-b1ac-04830ee4e4a7,a057b784-1273-4f4f-8867-f5f0bf254539,9bd34a49-afe2-4480-8c70-ba14008ef5f9,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf,/ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/dien-tu-va-vien-thong",rag_v2,rag,9,15988.53,False,good,hallucinated,incomplete,Ngữ cảnh được cung cấp không chứa thông tin về các phần mềm thi trực tuyến tại Đại học Bách khoa Hà Nội. Trợ lý đã tự ý đưa ra thông tin (hallucination) không có trong dữ liệu đầu vào.,partial,"The generated answer omits the reference to other examination software that may be decided by the Rector, which is a key part of the official policy.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_003,Quy định tổ chức thi trực tuyến tại Bách khoa Hà Nội áp dụng cho những loại hình thi nào?,simple,easy,Áp dụng cho thi kết thúc học phần trong chương trình đào tạo; thi/kiểm tra ngoại ngữ để phân loại trình độ và phân lớp học; thi đánh giá năng lực ngoại ngữ theo số tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.,747e2dfa-5162-44c0-b057-ea008bc56246,"Theo tài liệu hiện có (Quyết định số 1791/QĐ-ĐHBK-ĐT và Quy định tổ chức thi theo phương thức trực tuyến), phần nội dung chi tiết về các loại hình thi được áp dụng không được hiển thị đầy đủ. Do đó, tôi không tìm thấy thông tin này trong tài liệu tham khảo được cung cấp.","7060d712-5765-4580-891f-7520f4b62f63,e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,3,25308.34,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa phần căn cứ và quyết định ban hành, không chứa nội dung chi tiết của văn bản quy định nên không thể trả lời câu hỏi của người dùng.",incorrect,"The generated answer fails to provide the information requested and instead claims it cannot be found, while the reference answer provides a clear and specific list of the applicable exam types.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_004,Có bao nhiêu hình thức thi trực tuyến được áp dụng tại Bách khoa Hà Nội và tên gọi của từng hình thức?,simple,easy,"Bốn hình thức: tự luận với đề thi dạng mở, trắc nghiệm khách quan, vấn đáp trực tuyến, hoặc phối hợp các hình thức trên.",d9fc3bd3-a9a0-42f7-8100-f567df23b78c,"Theo Quy định tổ chức thi theo phương thức trực tuyến của trường Đại học Bách khoa Hà Nội (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT), có **3 hình thức thi trực tuyến** chính được áp dụng:

- Tự luận với đề thi dạng mở
- Trắc nghiệm khách quan
- Vấn đáp trực tuyến

Ngoài ra, cũng cho phép phối hợp các hình thức trên.","d9fc3bd3-a9a0-42f7-8100-f567df23b78c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,e3ba59c3-d749-414d-8416-a492c3c3fe7c",rag_v2,rag,3,20039.97,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ dựa trên ngữ cảnh được cung cấp, liệt kê đúng các hình thức thi và đề cập đến việc có thể phối hợp các hình thức này.",correct,"Cả hai câu trả lời đều liệt kê đầy đủ các hình thức thi giống nhau, sự khác biệt về cách đếm (3 hình thức chính cộng thêm hình thức phối hợp so với cách gọi chung là 4 hình thức) không làm thay đổi bản chất thông tin.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_005,"Đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến nào được ưu tiên tại Bách khoa?",simple,easy,Ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.,12abd944-cc6b-486f-ac55-2f9bd74b1b06,"Theo Điều 3, mục 3, điểm a của quy định về thi trực tuyến, đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến được ưu tiên là **trắc nghiệm khách quan**.","12abd944-cc6b-486f-ac55-2f9bd74b1b06,747e2dfa-5162-44c0-b057-ea008bc56246,d9fc3bd3-a9a0-42f7-8100-f567df23b78c",rag_v2,rag,3,18939.21,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu chính xác hình thức thi được ưu tiên và cung cấp thêm thông tin tham chiếu hợp lệ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_006,"Khi thi tự luận trực tuyến tại Bách khoa, sinh viên nộp bài bằng cách nào và trong bao nhiêu phút sau hết giờ?",simple,easy,Sinh viên chụp ảnh bài thi và tải lên hệ thống thi trực tuyến. Thời gian chụp ảnh và nộp bài tối đa là 10 phút sau hết giờ làm bài. Quá thời gian này bài thi sẽ không được công nhận.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo Quy chế đào tạo (tại Điều 4, khoản 6), với hình thức thi tự luận trực tuyến:

- **Cách nộp bài:** Sinh viên làm bài trên giấy, sau đó chụp ảnh rõ nét và tải (upload) lên hệ thống thi trực tuyến.
- **Thời gian nộp bài:** Tối đa **10 phút** sau hết giờ làm bài thi. Quá thời gian này, bài thi sẽ không được công nhận.","28e75db5-29dc-42f4-8c0e-7b280feb3036,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,5c926a52-9667-4e30-b5a1-bce0c01c8355,dcffe438-793d-490c-936c-51defbc191a7",rag_v2,rag,4,14618.12,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 4, khoản 6).",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_007,Sinh viên dự thi trực tuyến tại Bách khoa cần đăng nhập bằng tài khoản gì và cần xuất trình giấy tờ nào?,simple,easy,"Đăng nhập bằng tài khoản của trường cấp và xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.",e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Tôi không tìm thấy thông tin về việc đăng nhập khi dự thi trực tuyến hay giấy tờ cần xuất trình trong các tài liệu được cung cấp. Tài liệu chỉ đề cập đến tài khoản email HUST dùng để đăng nhập vào Cổng thông tin sinh viên, MS Teams (học trực tuyến) và các dịch vụ khác, nhưng không nêu cụ thể quy trình hay yêu cầu giấy tờ khi thi trực tuyến.","e82d0dc9-23ec-4df8-9914-ed723a159475,792710f5-a9bf-4f6d-a7c1-4780c52e92fa,9790cfbe-69dc-4501-97c2-156c64de6194,02aa9e31-64fb-494f-a07b-7b741ff6112e",rag_v2,rag,4,23281.49,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ hướng dẫn sử dụng tài khoản email cho các dịch vụ chung như Cổng thông tin, MS Teams, nhưng không có thông tin cụ thể về quy định hay giấy tờ cần xuất trình khi tham gia dự thi trực tuyến.",incorrect,"The generated answer fails to provide the required information, claiming it is not available, whereas the reference answer provides the specific requirements.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_008,Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến tại Bách khoa cần có thêm thiết bị gì so với thi thông thường?,simple,easy,Cần có thêm thiết bị camera thứ hai phục vụ cho việc giám sát thi.,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Theo Điều 4 của Quy định thi trực tuyến, so với thi thông thường, sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra cần có **thêm thiết bị camera thứ hai** để phục vụ giám sát thi.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,610b4a6c-583b-4291-ae66-6ac3f03ee546,bff9c21a-e42e-4aba-a023-8fb73be20f52",rag_v2,rag,3,28742.69,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu chính xác yêu cầu về thiết bị camera thứ hai để giám sát thi như trong đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_009,Sinh viên có hành vi gian lận trong thi trực tuyến tại Bách khoa bị xử lý theo quy định nào?,simple,easy,Bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo tài liệu tham khảo:

- **Điều 4, khoản 7** của Quy định tổ chức thi trực tuyến nêu rõ: ""Sinh viên có hành vi gian lận thi sẽ bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.""
- **Điều 7** của Quy chế công tác sinh viên liệt kê các hành vi sinh viên không được làm, trong đó có **hành vi gian lận trong học tập, kiểm tra, thi cử** như quay cóp, mang/sử dụng tài liệu, thiết bị, phần mềm, mạng internet trái phép, học/hộ thi hộ, nhờ làm đồ án/khóa luận, v.v.

Như vậy, sinh viên gian lận trong thi trực tuyến bị xử lý kỷ luật theo quy định của Bộ Giáo dục và Đào tạo, đồng thời hành vi đó nằm trong nhóm bị cấm theo Quy chế sinh viên của Đại học Bách khoa Hà Nội.","28e75db5-29dc-42f4-8c0e-7b280feb3036,f97f50c3-b0c3-4275-9d9d-33bedb81ffad,747e2dfa-5162-44c0-b057-ea008bc56246,0d4cea85-002a-4b23-b036-4663b4482925,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb",rag_v2,rag,5,39139.43,False,good,hallucinated,partial,"Trợ lý đã đưa thêm thông tin về 'Điều 7 của Quy chế công tác sinh viên' và các hành vi cụ thể (quay cóp, học hộ, thi hộ...) mà không có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ cung cấp thông tin tại Điều 4, khoản 7 về việc xử lý theo quy định của Bộ GD&ĐT.",correct,"Câu trả lời đã nêu đầy đủ thông tin từ đáp án tham khảo và bổ sung thêm các căn cứ quy định cụ thể của trường, giúp làm rõ hơn vấn đề.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_010,"Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần tối thiểu bao nhiêu đề thi cho một kíp thi?",simple,easy,Tối thiểu 05 đề thi cho 1 kíp thi.,65f9798f-2ed9-4295-9068-f3c7fede4afb,"Theo Điều 5 của quy định về đề thi, đối với học phần có từ 30 sinh viên trở lên, hình thức thi tự luận với đề thi dạng mở yêu cầu tối thiểu **05 đề thi cho 1 kíp thi**. Tài liệu không phân biệt hình thức thi trực tiếp hay trực tuyến, do đó yêu cầu này được áp dụng chung.","65f9798f-2ed9-4295-9068-f3c7fede4afb,e32c1875-5a14-4574-8635-081b9bfc8b75,c6471f96-d493-4a74-a2d3-12b840e8fad6",rag_v2,rag,3,18691.68,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ ngữ cảnh (Điều 5, khoản 3a) về số lượng đề thi tối thiểu cho học phần từ 30 sinh viên trở lên. Việc trợ lý bổ sung thêm thông tin về việc quy định áp dụng chung cho cả thi trực tiếp và trực tuyến là suy luận hợp lý dựa trên nội dung văn bản cung cấp.",correct,Câu trả lời đã nêu chính xác số lượng đề thi tối thiểu theo yêu cầu và giải thích rõ ràng về phạm vi áp dụng.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
