id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,"Tùy theo khóa học, quy định ngoại ngữ có phạm vi áp dụng khác nhau. Cụ thể:

- **Khóa K62, K63, K64:** Quy định áp dụng cho các chương trình: Đào tạo tài năng (ĐTTN), Kỹ sư chất lượng cao PFIEV (KSCLC), Tiên tiến, Công nghệ thông tin Việt-Nhật (CNTT Việt-Nhật) và Công nghệ thông tin ICT (ICT).  
  *(Theo tài liệu cho nhóm khóa K62–K64, mục ""Đối tượng áp dụng"")*

- **Khóa K65, K66, K67:** Quy định áp dụng cho sinh viên đại học hệ chính quy, **không** bao gồm ngành Ngôn ngữ Anh của Trường.  
  *(Theo tài liệu cho nhóm khóa K65–K67, Điều 1 về Phạm vi và đối tượng áp dụng; Phụ lục 1 liệt kê chi tiết các CTĐT kèm ngoại ngữ chính)*

- **Khóa K70:** Quy định áp dụng cho sinh viên theo học các chương trình đào tạo (CTĐT) hình thức chính quy của Đại học Bách khoa Hà Nội. Yêu cầu chi tiết với từng chương trình được nêu trong các Phụ lục tương ứng.  
  *(Theo tài liệu cho khóa K70, Điều 1)*

Nếu bạn cho biết khóa học của mình, tôi sẽ cung cấp thông tin chính xác hơn về ch","648800ef-6f78-4f14-b25d-0f6e15270055,61401637-bc11-4144-a5cc-727f5936e8fc,f59645a8-a831-4db5-867c-0f63ca0121e5,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,b5e56233-0562-4f16-b606-807e4f5cf8e0",rag_v2,rag,5,35561.61,True,good,grounded,partial,"Câu trả lời trích dẫn đúng các đối tượng áp dụng từ ngữ cảnh theo từng nhóm khóa (K62-64, K65-67, K70). Thông tin hoàn toàn dựa trên tài liệu, không bịa đặt. Tuy nhiên chưa liệt kê chi tiết tất cả các chương trình cụ thể (như trong Phụ lục 1) nên tính đầy đủ chỉ ở mức một phần.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,KSCLC yêu cầu TOEIC bao nhiêu?,simple,easy,600,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,Chương trình KSCLC yêu cầu chuẩn tiếng Anh đầu ra với mức TOEIC **600** điểm.,"26e290ff-48bf-4531-8e3d-4e6eb8cfb297,6c764ae6-eb75-457c-a363-805f9702a5df,bcf80e92-ff6d-4f03-8d93-3309053d4305",rag_v2,rag,3,13676.82,True,good,grounded,complete,"Câu trả lời khớp chính xác với ngữ cảnh: chương trình KSCLC yêu cầu TOEIC 600 điểm. Thông tin đầy đủ, trung thực và liên quan trực tiếp đến câu hỏi.",correct,"The generated answer states that KSCLC requires a TOEIC score of 600, which matches the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,KSCLC yêu cầu chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,Chương trình KSCLC yêu cầu chuẩn tiếng Pháp đầu ra là **DELF B1** (theo kết quả của kỳ thi đánh giá trình độ tiếng Pháp DELF).,"26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,2e9408a7-caf1-48f5-be5c-141ef26e562e,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,29f052b7-36c2-45c4-8400-46c2737d02a9,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,7,15949.32,True,good,grounded,complete,Câu trả lời chính xác và đầy đủ dựa trên ngữ cảnh: chuẩn tiếng Pháp đầu ra KSCLC là DELF B1.,correct,"The generated answer states the required standard as DELF B1, matching the reference answer exactly, and the additional context does not introduce any inaccuracy.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Không đạt chuẩn ngoại ngữ KSCLC có thể làm gì?,simple,easy,Đề nghị cấp bằng chính quy cùng ngành,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu về chuẩn ngoại ngữ đầu ra đối với chương trình KSCLC (khóa K62, K63, K64):

- Sinh viên đã tích lũy đủ số tín chỉ của chương trình đào tạo KSCLC nhưng **không đạt chuẩn ngoại ngữ đầu ra** (TOEIC 600 hoặc DELF B1) thì có thể **đề nghị Hiệu trưởng xem xét việc cấp bằng tốt nghiệp đại học hệ chính quy cùng ngành**.

Ngoài ra, đối với các khóa khác, tài liệu hiện có không đề cập trực tiếp đến trường hợp không đạt chuẩn ngoại ngữ riêng cho chương trình KSCLC.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,bf63050b-88ed-45e2-ab7a-7e5f6601168b,29fa02a8-f103-451e-aba2-ccdfd9d6c501",rag_v2,rag,3,41590.53,True,good,grounded,complete,"Câu trả lời trích dẫn đúng quy định từ ngữ cảnh về việc đề nghị Hiệu trưởng xem xét cấp bằng, không thêm thông tin ngoài ngữ cảnh.",correct,"Generated answer conveys the same key fact: students who fail the foreign language requirement can request a regular degree in the same field, with no incorrect additions.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,ĐTTN yêu cầu TOEIC bao nhiêu?,simple,easy,600,40852fba-6e9d-4c21-a405-55e2dea22587,Chương trình Đào tạo tài năng (ĐTTN) yêu cầu chuẩn tiếng Anh đầu ra là **TOEIC 600**.,"40852fba-6e9d-4c21-a405-55e2dea22587,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,bcf80e92-ff6d-4f03-8d93-3309053d4305",rag_v2,rag,3,13291.24,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh: Đào tạo tài năng yêu cầu TOEIC 600. Không bịa đặt, đầy đủ và liên quan trực tiếp.",correct,"The generated answer accurately states that the ĐTTN program requires TOEIC 600, matching the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,ICT yêu cầu TOEIC bao nhiêu?,simple,easy,650,40852fba-6e9d-4c21-a405-55e2dea22587,"Theo tài liệu dành cho các khóa K62, K63, K64, chương trình Công nghệ thông tin ICT yêu cầu chuẩn tiếng Anh đầu ra là **TOEIC 650**.","40852fba-6e9d-4c21-a405-55e2dea22587,6c764ae6-eb75-457c-a363-805f9702a5df,7b653b5b-d25b-41e4-8849-c24b2fcdc63e",rag_v2,rag,3,13956.65,True,good,grounded,complete,"Câu trả lời đúng, trích dẫn chính xác từ ngữ cảnh (K62-K64) về yêu cầu TOEIC 650 cho ICT.",correct,"The generated answer correctly states the required TOEIC score of 650, which matches the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Chương trình Công nghệ thông tin Việt-Nhật yêu cầu chuẩn tiếng Nhật đầu ra tối thiểu là **trình độ N3** (theo kỳ thi năng lực tiếng Nhật JLPT) hoặc hoàn thành **toàn bộ 4 học phần tiếng Nhật cơ bản**: JP1110 (Tiếng Nhật 1), JP1120 (Tiếng Nhật 2), JP1132 (Tiếng Nhật 3) và JP2111 (Tiếng Nhật 4).

Cụ thể:

- **Tài liệu khóa K62–K64 nêu**: ""Chương trình Công nghệ thông tin Việt-Nhật yêu cầu chuẩn tiếng Nhật đầu ra trình độ N3"".
- **Tài liệu khóa K70 (Bảng 7.3)** ghi rõ chuẩn đầu ra khi xét tốt nghiệp: ""Đạt chứng chỉ tiếng Nhật từ N3; Hoặc đạt toàn bộ các học phần tiếng Nhật gồm: JP1110, JP1120, JP1132, JP2111"".

Nếu bạn có chứng chỉ JLPT N3 trở lên, bạn sẽ được miễn các học phần tiếng Nhật cơ bản (từ Tiếng Nhật 1 đến Tiếng Nhật 4) và tiếp tục các học phần tiếng Nhật kỹ thuật bắt buộc trong chương trình.","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,554c02b9-5ec3-441a-924c-49bf5e34bfe9,31b3a226-d38b-4c25-a2f4-c5aca7984c14,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38",rag_v2,rag,7,22883.19,False,partial,hallucinated,partial,"Trả lời đúng một phần (yêu cầu N3), nhưng thêm thông tin về khóa K70 và các mã học phần JP1110, JP1120, JP1132, JP2111 không có trong ngữ cảnh, dẫn đến bịa đặt thông tin (hallucination).",correct,"Generated answer correctly states the required JLPT N3 level as the minimum standard, consistent with the reference answer, and adds only clarifying details without contradiction.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,62e638d3-744a-451f-bf9f-ba21910b9635,"Sinh viên có thể tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần**, không giới hạn số lần. Điểm thi cao nhất trong các lần thi sẽ được công nhận.

(Theo Quy định chuẩn tiếng Anh cho khóa K63, K64 và Quy định phân loại trình độ cho khóa K65-K67)","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,20791.65,True,good,grounded,complete,"Câu trả lời khớp với ngữ cảnh: sinh viên được thi nhiều lần, không giới hạn, và điểm cao nhất được công nhận.",correct,"The generated answer accurately conveys that students can take the internal exam multiple times, which matches 'nhiều lần' in the reference, and adds no incorrect information.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_009,Điểm thi nội bộ được công nhận như thế nào?,simple,easy,Lấy điểm cao nhất,62e638d3-744a-451f-bf9f-ba21910b9635,"Dựa trên các tài liệu tham khảo, điểm thi tiếng Anh nội bộ của Trường được công nhận như sau:

- Sinh viên được tham dự kỳ thi tiếng Anh nội bộ nhiều lần và **điểm thi cao nhất** trong các lần thi sẽ được công nhận.
- Kết quả thi có **giá trị trong vòng 2 năm** kể từ ngày thi.

Ngoài ra, có một số điều kiện kèm theo:

- Sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản (các học phần FL1100, FL1101) **không được phép đăng ký** tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ.
- Nếu đạt điểm **TOEIC 500 trở lên** trong kỳ thi nội bộ, sinh viên sẽ được cấp **Chứng nhận tiếng Anh nội bộ**, chứng chỉ này cũng có giá trị 2 năm kể từ ngày cấp.","cc76675a-03f2-4ce9-bd63-e3505995581a,62e638d3-744a-451f-bf9f-ba21910b9635,a518a642-cf7f-46f9-bb00-97a3d6f9de7a",rag_v2,rag,3,28836.21,True,good,grounded,partial,"Câu trả lời đúng trọng tâm, dựa hoàn toàn vào ngữ cảnh, nhưng chưa đề cập mục đích công nhận (xét chuẩn ngoại ngữ theo tín chỉ và đầu ra) và ngoại lệ cho chương trình đặc biệt, nên completeness ở mức partial.",incorrect,Parse error: ,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_010,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,62e638d3-744a-451f-bf9f-ba21910b9635,"Tôi không tìm thấy thông tin về thời hạn giá trị của kết quả thi nội bộ trong tài liệu hiện có. Các tài liệu chỉ đề cập đến thủ tục nhận chứng chỉ và kết quả thi, nhưng không nêu rõ kết quả thi có giá trị trong bao lâu.","b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,/clc.hust.edu.vn/vstep/thu-tuc-nhan-chung-chi-ket-qua-thi-vstep-2,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf",rag_v2,rag,10,27695.8,True,good,grounded,complete,"Câu trả lời trung thực dựa trên ngữ cảnh, không tìm thấy thông tin về thời hạn giá trị của kết quả thi nội bộ. Cần tìm kiếm trên nguồn chính thức.",incorrect,"Generated answer states it cannot find the validity period, while the reference answer explicitly states it is 2 years.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
