id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định này áp dụng cho sinh viên khóa nào?,simple,easy,K63 và K64,43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Trong các tài liệu tham khảo có nhiều quy định khác nhau, mỗi quy định áp dụng cho các khóa sinh viên khác nhau. Cụ thể:

- **Quy định về chuẩn tiếng Anh** (tài liệu `chuan_tieng_anh_k63_k64`): áp dụng cho sinh viên đại học hệ chính quy **khóa K63 và K64** (chương trình chuẩn), không bao gồm ngành Ngôn ngữ Anh, chương trình ELITECH và sinh viên có quốc tịch nước ngoài.

- **Quy định về chuẩn ngoại ngữ đầu ra cho các chương trình đặc biệt** (tài liệu `ELITECH_K62_K64`): áp dụng cho sinh viên các chương trình Đào tạo tài năng, Kỹ sư chất lượng cao PFIEV, Tiên tiến, CNTT Việt–Nhật và ICT – theo tên tài liệu gồm các khóa **K62, K63, K64**.

- **Quy định về mua bảo hiểm y tế bắt buộc** (tài liệu `BHYT_K70`): áp dụng cho sinh viên **khóa 70**.

- **Quy chế đào tạo chung** (tài liệu `QCDT_2025_5445_QD-DHBK`): áp dụng cho **tất cả người học** (sinh viên đại học, học viên thạc sĩ, nghiên cứu sinh) của Đại học Bách khoa Hà Nội.

Bạn đang muốn hỏi về quy định nào? Vui lòng cho biết thêm để tôi trả lời chính xác.","496f8813-537b-4893-b751-bdbc59085d37,54942498-f09a-442e-b3a6-bbd5d9828312,43dc8f77-a8cb-4250-9ff4-57163f5c21de,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,648800ef-6f78-4f14-b25d-0f6e15270055,23d8e9e2-6207-4e96-aef7-16738546989c,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7",rag_v2,rag,7,39086.55,True,good,grounded,complete,"Câu trả lời đã phân loại và liệt kê chính xác đối tượng áp dụng của từng quy định có trong ngữ cảnh cung cấp, đồng thời làm rõ rằng mỗi văn bản có phạm vi áp dụng khác nhau.",partial,"The generated answer provides a comprehensive breakdown of different regulations but fails to definitively identify which one the user is asking about, whereas the reference answer provides a specific, direct response.",1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
chunks_001_simple_002,Những đối tượng nào không áp dụng quy định này?,simple,easy,"Ngành Ngôn ngữ Anh, ELITECH và SV nước ngoài",43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Theo Quy định đánh giá điểm rèn luyện sinh viên 2023, đối tượng không áp dụng quy định này là **lưu học sinh nước ngoài**.","54942498-f09a-442e-b3a6-bbd5d9828312,8fbc8520-f66a-4849-a64e-b3e5086459f2,89728544-bace-5b19-8837-acb52cc8364e,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,6763c7e6-e904-4a63-b6cd-6d8501577078,648800ef-6f78-4f14-b25d-0f6e15270055,04989a61-aa96-4922-8ae6-98d1986ef337",rag_v2,rag,7,25211.97,True,good,grounded,complete,Câu trả lời xác định chính xác đối tượng không áp dụng quy định dựa trên ngữ cảnh được cung cấp (Quy định đánh giá điểm rèn luyện sinh viên 2023).,partial,Câu trả lời thiếu hai đối tượng quan trọng là ngành Ngôn ngữ Anh và chương trình ELITECH so với đáp án tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_003,Sinh viên đạt điều kiện nào được miễn 2 học phần tiếng Anh cơ bản?,simple,easy,Đạt điểm thi hoặc có chứng chỉ quốc tế phù hợp,c788754c-50b2-4f77-b454-da84817e116e,"Tôi không tìm thấy thông tin về điều kiện miễn 2 học phần tiếng Anh cơ bản (FL1100 và FL1101) trong các tài liệu tham khảo hiện có. Các tài liệu chỉ mô tả mục tiêu, nội dung và khối lượng của từng học phần, không đề cập đến quy định miễn giảm.","e49e1825-a5c4-4a21-924c-c9bb40f40eab,4ba71ca8-d9cf-467d-92a9-02568ed97d51,200bf7c7-1f1d-4257-a2f0-55499724dcdb,8c0e71ee-4010-431b-acb3-3c7299afa7b4,d5a8f2ce-3393-4222-91ea-42e33690ee21,87879cb9-d1f4-4f25-8374-48c610d9e60b,4a3f2a22-782f-4a40-a9c5-5c9b799d4ce4",rag_v2,rag,7,19889.82,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa thông tin mô tả học phần (mục tiêu, nội dung, khối lượng) mà không chứa quy định về việc miễn học phần. Trợ lý đã trả lời đúng là không tìm thấy thông tin trong ngữ cảnh.",incorrect,Câu trả lời được tạo ra không cung cấp thông tin về điều kiện miễn học phần mà thay vào đó lại khẳng định không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,Học phần tiếng Anh cơ bản có tính vào GPA không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu về chuẩn tiếng Anh cho khóa K63, K64, điểm thi kết thúc các học phần tiếng Anh cơ bản **không tính** vào điểm trung bình học kỳ, điểm trung bình tích lũy (GPA) và điểm trung bình tốt nghiệp.","c788754c-50b2-4f77-b454-da84817e116e,e32c1875-5a14-4574-8635-081b9bfc8b75,b5753397-715c-463b-ac5e-ed49fca74c8c,03b524cd-cae3-43da-89ca-179ddb2dac13,9ebee123-3237-4f37-9512-c8adaa6eb6e4,e62eed5a-8c75-4981-a4fd-2baca01e7378,340ca57b-9f9b-4f57-9406-0c1347649f9f",rag_v2,rag,7,12469.12,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp (văn bản về chuẩn tiếng Anh K63, K64) và trả lời trực tiếp câu hỏi của người dùng.",correct,"Cả hai câu trả lời đều khẳng định học phần tiếng Anh cơ bản không tính vào GPA, câu trả lời được tạo ra cung cấp thêm thông tin chi tiết nhưng vẫn đảm bảo tính chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Chưa hoàn thành tiếng Anh cơ bản có được thi chứng chỉ nội bộ không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu dành cho khóa **K63, K64**:

- **Sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản (FL1100, FL1101) không được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.**  
  (Nguồn: *chuan_tieng_anh_k63_k64*, mục ""Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ"", điểm 2)

Đối với khóa **K70**, tài liệu hiện có (Quy định ngoại ngữ từ K70) không nêu rõ quy định tương tự về điều kiện thi chứng chỉ nội bộ khi chưa hoàn thành chương trình tiếng Anh cơ bản. Nếu bạn thuộc khóa K70, hãy kiểm tra thêm thông tin từ Phòng Đào tạo hoặc Trung tâm CLC.","b5753397-715c-463b-ac5e-ed49fca74c8c,c788754c-50b2-4f77-b454-da84817e116e,92d8e047-8bb5-4660-93e7-681e3804d5ee,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,1e5e427d-f574-47eb-a3da-a3c5da032c1c,6fc224c8-f92a-4845-b309-56db9f51038a,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,7,24600.01,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác quy định từ ngữ cảnh (đối với K63, K64) và xử lý khéo léo thông tin thiếu hụt đối với các khóa khác (như K70) bằng cách hướng dẫn người dùng liên hệ đơn vị chức năng.",correct,"Câu trả lời đã xác nhận thông tin chính là 'Không' (đối với các khóa cụ thể) và cung cấp thêm ngữ cảnh chi tiết, chính xác hơn so với câu trả lời tham chiếu.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_006,Trượt học phần tiếng Anh cơ bản phải làm gì?,simple,easy,Đăng ký học lại,c788754c-50b2-4f77-b454-da84817e116e,"Theo quy định về chuẩn tiếng Anh cho khóa K63, K64: Nếu sinh viên không hoàn thành (trượt) học phần tiếng Anh cơ bản nào, sinh viên **phải đăng ký học lại học phần đó**.

Đồng thời, nếu chưa hoàn thành toàn bộ chương trình tiếng Anh cơ bản, sinh viên **chưa được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ** của Trường.","c788754c-50b2-4f77-b454-da84817e116e,9ebee123-3237-4f37-9512-c8adaa6eb6e4,776186e4-740d-4352-8a93-01fef8397689,5ebeaf08-95e9-4dcb-ac98-24846f7f6ca5,d5a8f2ce-3393-4222-91ea-42e33690ee21,eeb42690-6e47-4491-bb44-44bb08a8e059,e49e1825-a5c4-4a21-924c-c9bb40f40eab",rag_v2,rag,7,17906.34,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định đối với sinh viên K63, K64 khi không hoàn thành học phần tiếng Anh cơ bản.",correct,"Câu trả lời đã nêu đúng thông tin cốt lõi là phải đăng ký học lại, đồng thời bổ sung thêm thông tin chi tiết về quy định liên quan một cách chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo quy định về chuẩn tiếng Anh cho khóa K63, K64, sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần** và được công nhận điểm thi cao nhất trong các lần thi.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,b5753397-715c-463b-ac5e-ed49fca74c8c,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,c788754c-50b2-4f77-b454-da84817e116e,dfbef422-8c37-411d-ac23-207d8abfe6cc,5d347da2-c4f6-4504-b610-4bb7b016fc4e,1e5e427d-f574-47eb-a3da-a3c5da032c1c",rag_v2,rag,7,9601.84,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu đúng thông tin cốt lõi là sinh viên được thi nhiều lần, đồng thời bổ sung thêm thông tin hữu ích về việc công nhận điểm cao nhất.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Tôi không tìm thấy thông tin về giá trị của kết quả thi nội bộ trong tài liệu hiện có. Các tài liệu tham khảo chỉ đề cập đến lịch thi giữa kỳ/cuối kỳ, điều kiện xét học bổng, và thông tin tuyển dụng, không có quy định nào về thời hạn hiệu lực của kết quả thi nội bộ.","/mthi.tuyensinh247.com/thi-danh-gia-tu-duy-dai-hoc-bach-khoa-ha-noi-xong-bao-lau-thi-biet-diem-thi-q9744.html,/www.facebook.com/groups/danhgiatuduyhust/posts/2385500451891434,/vietnamnet.vn/thoi-gian-dh-bach-khoa-ha-noi-cong-bo-diem-thi-danh-gia-tu-duy-2364633.html,b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6",rag_v2,rag,10,20814.21,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về thời hạn hiệu lực của kết quả thi nội bộ. Trợ lý đã trả lời chính xác dựa trên phạm vi ngữ cảnh.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn 2 năm như trong đáp án tham khảo mà lại khẳng định không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,TOEIC bao nhiêu được cấp chứng nhận nội bộ?,simple,easy,500,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo tài liệu về chuẩn tiếng Anh cho khóa K63, K64, sinh viên đạt điểm TOEIC **500 trở lên** được cấp Chứng nhận tiếng Anh nội bộ của Trường.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee,08694ca3-bb12-4194-b18e-835acaf0dab6,e8f2f0f3-0523-48dc-87ee-5eeedf26b2d1,7b521723-1680-4625-bd5c-8ca53b70c890,d7f2014c-ffbd-4eac-8bf1-8513e0ecf0c4,b5753397-715c-463b-ac5e-ed49fca74c8c",rag_v2,rag,7,12535.14,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định cấp chứng nhận tiếng Anh nội bộ cho sinh viên khóa K63, K64.",correct,"Câu trả lời đã nêu đúng con số 500 theo yêu cầu của câu hỏi, đồng thời cung cấp thêm ngữ cảnh cụ thể về đối tượng áp dụng.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_010,Chuẩn tiếng Anh từ 64 tín chỉ là bao nhiêu TOEIC?,simple,easy,350,92d8e047-8bb5-4660-93e7-681e3804d5ee,"Theo các tài liệu hiện có, chuẩn tiếng Anh khi tích lũy từ **64 tín chỉ (TC)** trở lên khác nhau tùy theo **khóa** và **chương trình đào tạo**:

- **Khóa K63, K64** (tài liệu *chuan_tieng_anh_k63_k64*): yêu cầu **TOEIC 350** (từ 64 TC) – bảng trên có ghi: “Từ 64 TC: 350”.
- **Khóa K65, K66, K67** – Chương trình đào tạo **chuẩn** và **Tài năng** (tài liệu *QD_NN_DHCQ-2020-2021-1501*, Phụ lục 3 & 4): yêu cầu **TOEIC 400** (từ 64 ÷ 95 TC).
- **Khóa K68, K69** – Chương trình **Tài năng** và **hợp tác quốc tế** (tài liệu *QD_ngoai_ngu_tu_K68_CQ_final*): không quy đổi sang TOEIC, thay vào đó yêu cầu **Bậc 2.3** (đối với CT Tài năng) hoặc **IELTS 5.5** (đối với CT hợp tác quốc tế) ở mốc 64 TC.

Bạn thuộc **khóa** nào và **chương trình** (chuẩn / Tài năng / tiên tiến / hợp tác quốc tế) để tôi trả lời chính xác?","92d8e047-8bb5-4660-93e7-681e3804d5ee,0db1712a-4ff5-42c0-af28-2e759190c6f7,e3a29e1c-9828-458f-8089-ebccfa6e428c,a53edad8-7533-49d8-ba03-b33725bde4dc,06ada73c-1835-4f94-8b7f-61d465ebb914,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e",rag_v2,rag,7,25097.19,True,good,grounded,complete,"Câu trả lời đã phân tích đầy đủ các quy định khác nhau dựa trên ngữ cảnh được cung cấp, phân loại rõ ràng theo khóa và chương trình đào tạo, đồng thời đặt câu hỏi làm rõ để người dùng có thể nhận được thông tin chính xác nhất.",correct,"The generated answer correctly identifies 350 TOEIC as the requirement for specific cohorts while providing necessary context that the requirement varies by program and cohort, which is more accurate than a single-number answer.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
