id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,simple,easy,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,2180d883-8170-47b1-90dd-93486eb258d4,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi đáp ứng các điều kiện sau:

*   **Đạt chứng chỉ ngoại ngữ:** Sinh viên đạt được chứng chỉ ngoại ngữ theo quy định tương ứng với trình độ đạt được.
*   **Chứng chỉ còn hạn:** Chứng chỉ ngoại ngữ phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật:** Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn.
*   **Thời hạn nộp đơn:** Đơn đề nghị xét miễn phải được nộp muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch năm học (hoặc Biểu đồ kế hoạch học tập/Khung kế hoạch thời gian của năm học tùy theo văn bản áp dụng cho từng khóa).

Khi được xét miễn, kết quả học tập của học phần đó sẽ được ghi bằng ký hiệu ""R"" trong bảng điểm.","2180d883-8170-47b1-90dd-93486eb258d4,57f25b7e-9744-47c3-a69a-060d300ab4ce,317f09ff-1255-4b5d-a903-61da23e2a92f,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e,be891215-b92e-4f67-af3b-e0d10a53cb6b,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,9ebee123-3237-4f37-9512-c8adaa6eb6e4",rag_v2,rag,7,34147.87,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác dựa trên các quy định được cung cấp trong ngữ cảnh về điều kiện và thời hạn xét miễn học phần ngoại ngữ.",correct,"Câu trả lời được tạo ra bao hàm đầy đủ ý chính của câu trả lời tham chiếu và cung cấp thêm các thông tin chi tiết, chính xác về quy trình xét miễn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,simple,easy,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.",2180d883-8170-47b1-90dd-93486eb258d4,"Kết quả miễn học các học phần ngoại ngữ cơ bản được ghi nhận như sau:

*   Kết quả được ghi bằng ký hiệu ""R"" trong dữ liệu học tập.
*   Kết quả này có giá trị toàn khóa kể từ ngày nhập điểm R.","/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD_ngoai_ngu_tu_K68_CQ_final.pdf,/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,2180d883-8170-47b1-90dd-93486eb258d4,31da4b25-270a-49f6-a2a2-a610f558e7c0,87879cb9-d1f4-4f25-8374-48c610d9e60b",rag_v2,rag,6,9978.32,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 3, khoản 2).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính từ đáp án tham khảo và diễn đạt rõ ràng hơn.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,"Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong các tài liệu hiện có. Các tài liệu chỉ cung cấp thông tin về quy định hủy/mở lớp, rút học phần, tiếp nhận trở lại học, nộp học phí và thủ tục tốt nghiệp.","ff4fa62d-7f66-4c03-be95-0500ac5d489f,1c439f64-e234-44b2-9d7c-b416ba23fd81,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,7d8aa391-43e8-4e39-89eb-bcc9d0d282c0,285e35cc-290a-40b0-bf04-7baec313ebb0,2cd329b9-a791-4429-8290-3865105bb0c7,9b48a0f9-0787-475f-868f-26c1522fc401,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ts.hust.edu.vn/tin-tuc/kiem-tra-tieng-anh-dau-khoa,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35493",rag_v2,rag,10,13619.25,True,good,grounded,complete,Dữ liệu được cung cấp không chứa thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản. Trợ lý đã trả lời đúng và trung thực dựa trên ngữ cảnh.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn nộp đơn theo yêu cầu mà lại khẳng định không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",simple,easy,Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định tại Điều 4 của tài liệu về lộ trình học tập các học phần ngoại ngữ cơ bản (áp dụng cho khóa K70), trong học kỳ 1 và học kỳ 2, **Ban Đào tạo** là đơn vị xếp lớp học các học phần ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,14a66cde-ac07-4fcd-b310-76acfd120627,29f052b7-36c2-45c4-8400-46c2737d02a9,317f09ff-1255-4b5d-a903-61da23e2a92f,9776b7fa-c7ef-4c56-8e3f-f517f09260d6,880b1a8b-047e-4b22-bebf-5d3232d90283",rag_v2,rag,6,8993.42,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 4, Khoản 1 của ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu đầy đủ thông tin chính xác về đơn vị chịu trách nhiệm xếp lớp và căn cứ thực hiện, tương đồng với câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,simple,easy,Từ học kỳ 3 trở đi.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định đối với sinh viên khóa K70, lộ trình tự đăng ký học phần ngoại ngữ cơ bản được quy định như sau:

*   **Từ học kỳ 3 trở đi:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản cùng với các học phần khác trong chương trình đào tạo.
*   Việc đăng ký này là điều kiện bắt buộc để được đăng ký học tập các học phần khác trong chương trình đào tạo (trừ trường hợp đã học hoặc được miễn học phần).
*   Sinh viên không được phép hủy các học phần ngoại ngữ cơ bản đã đăng ký học song hành, trừ trường hợp xin rút hoặc chủ động rút toàn bộ đăng ký học tập trong học kỳ.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,87879cb9-d1f4-4f25-8374-48c610d9e60b,28a3ac1a-2355-480a-9dd4-a4f2170283c9,317f09ff-1255-4b5d-a903-61da23e2a92f,14a66cde-ac07-4fcd-b310-76acfd120627,740e7a27-9086-41fa-bfe0-d5a156af0e5f,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e",rag_v2,rag,7,10044.16,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 4 trong ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu rõ thông tin chính là từ học kỳ 3 trở đi, đồng thời cung cấp thêm các chi tiết bổ sung chính xác liên quan đến quy định đăng ký.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Sinh viên có được hủy học phần NNCB đã đăng ký không?,simple,easy,"Không, trừ khi rút toàn bộ đăng ký học tập.",9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định của Đại học Bách khoa Hà Nội, đối với các học phần Ngoại ngữ cơ bản (NNCB), sinh viên **không được phép hủy** các học phần này.

Việc đăng ký học song hành các học phần NNCB từ học kỳ 3 trở đi là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.

Nếu bạn cần thêm thông tin chi tiết hoặc hỗ trợ về các trường hợp đặc biệt, vui lòng liên hệ trực tiếp với Phòng Đào tạo để được giải đáp chính thức.","ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,a92ed215-3a64-403f-8073-7c2130b4228d,9390fe56-1d81-4068-99a4-fd86e0fccbfc,7eb93900-883a-4e4f-9a10-4f4053e3d6e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,4411b054-65b0-47b2-ba27-763dc57155e2,3bdfc505-a39b-49ec-b252-230769593079",agent,complex,8,15375.9,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác quy định tại Điều 4, khoản 4 của tài liệu về lộ trình học tập các học phần NNCB, nêu rõ việc không được phép hủy trừ các trường hợp ngoại lệ đã nêu trong văn bản.",correct,"Cả hai câu trả lời đều khẳng định sinh viên không được phép hủy học phần NNCB, với câu trả lời được tạo ra cung cấp thêm bối cảnh cụ thể về quy định của trường.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562
chunks_001_simple_007,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,simple,easy,Phải đánh giá đầy đủ 4 kỹ năng.,930e63ee-8533-412a-95ed-967bac30208c,"Theo các tài liệu quy định, yêu cầu về chứng chỉ tiếng Anh xét chuẩn đầu ra đối với các chương trình đào tạo như sau:

*   **Đối với các chương trình tiên tiến (Elitech) có ngoại ngữ chính là tiếng Anh:** Yêu cầu IELTS 5.5 hoặc chứng chỉ tiếng Anh tương đương **4 kỹ năng**.
*   **Đối với các chương trình đào tạo hợp tác quốc tế có ngoại ngữ chính là tiếng Anh:** Yêu cầu IELTS 5.5 hoặc chứng chỉ tiếng Anh tương đương **4 kỹ năng**.
*   **Đối với chương trình đào tạo Tài năng và chương trình đào tạo Chuẩn:** Tài liệu không quy định cụ thể về số lượng kỹ năng đối với chứng chỉ tiếng Anh xét tốt nghiệp, mà quy định dựa trên các bậc trình độ theo Khung năng lực ngoại ngữ 6 bậc của Việt Nam.","7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e,880b1a8b-047e-4b22-bebf-5d3232d90283",rag_v2,rag,5,24363.28,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về yêu cầu 4 kỹ năng đối với các chương trình Elitech và hợp tác quốc tế, đồng thời làm rõ sự khác biệt trong quy định đối với chương trình Tài năng.",partial,"The generated answer provides specific details for certain programs but fails to provide a general, definitive statement that 4 skills are required, which is the core requirement stated in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_008,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,simple,easy,Trong vòng 2 năm.,930e63ee-8533-412a-95ed-967bac30208c,"Tôi không tìm thấy thông tin về thời hạn cấp chứng chỉ tiếng Anh xét chuẩn đầu ra trong các tài liệu hiện có.

Tuy nhiên, tài liệu có đề cập đến chứng chỉ Linguaskill (được cấp bởi Đại học Cambridge) có thời gian trả kết quả thi trong vòng 48 giờ. Bạn có thể xem chi tiết về các loại chứng chỉ và thủ tục xác thực [tại đây](https://clc.hust.edu.vn/chung-chi-linguaskill-la-gi).","b92d6aa5-ecb5-4497-a262-65f4104f1442,80f0489c-4157-402b-9dfe-2cc134b9f1a0,554c02b9-5ec3-441a-924c-49bf5e34bfe9,0f964f3c-b600-4096-8efe-2498d74e434c,e3a29e1c-9828-458f-8089-ebccfa6e428c,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,0db1712a-4ff5-42c0-af28-2e759190c6f7,/ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/tieng-anh-khoa-hoc-ky-thuat-va-cong-nghe,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35493,/clc.hust.edu.vn/chung-chi-linguaskill-la-gi",rag_v2,rag,10,27940.68,False,good,hallucinated,incomplete,"Ngữ cảnh được cung cấp không chứa thông tin về thời hạn hiệu lực của chứng chỉ tiếng Anh (thời gian chứng chỉ còn giá trị để xét tốt nghiệp). Trợ lý đã tự ý đưa thêm thông tin về chứng chỉ Linguaskill và thời gian trả kết quả thi, đây là thông tin không có trong ngữ cảnh, vi phạm tính trung thực.",incorrect,Câu trả lời được tạo không cung cấp thông tin về thời hạn hiệu lực của chứng chỉ (2 năm) mà lại nhầm lẫn sang thời gian trả kết quả thi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,simple,easy,Được xếp từ học phần đầu tiên của khối NNCB.,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,"Chào bạn, theo quy định của Đại học Bách khoa Hà Nội về việc phân loại trình độ ngoại ngữ đầu vào:

Nếu sinh viên không đáp ứng các điều kiện về phân loại trình độ ngoại ngữ đầu vào (dựa trên điểm thi tốt nghiệp THPT, chứng chỉ quốc tế hoặc kết quả kiểm tra nội bộ tùy theo chương trình đào tạo), sinh viên sẽ **phải học toàn bộ chương trình ngoại ngữ theo quy định**.

Để biết lộ trình học tập cụ thể cho ngành và chương trình đào tạo của mình, bạn có thể tham khảo chương trình đào tạo chi tiết hoặc liên hệ trực tiếp với Phòng Đào tạo để được hướng dẫn cụ thể.","63238a1f-b201-429a-ad20-002a67a82ff3,35ffa9a7-83be-4092-b468-31448a5a7819,14da736c-a6df-404b-bbfc-83ee554e3c72,d59d8e0c-d956-4f0e-bd34-30f9475acfc7,6de37c76-ea95-4b6d-a2ee-18a632f1391c,b5e56233-0562-4f16-b606-807e4f5cf8e0,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,33c2924f-186a-44a1-a0d8-b06183684405,29fa02a8-f103-451e-aba2-ccdfd9d6c501,3a74e984-4903-4b5c-b8d9-cbbbcbd6b456",agent,complex,10,9636.87,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin tại Điều 2, mục 4 của tài liệu quy định về phân loại trình độ đầu vào được cung cấp trong ngữ cảnh.",partial,The generated answer provides a general explanation but fails to mention the specific requirement that students must start from the first module of the 'NNCB' (Ngoại ngữ cơ bản) block as stated in the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_010,Các học phần NNCB có tính vào tín chỉ chính khóa không?,simple,easy,Không tính tín chỉ trong CTĐT chính khóa.,2180d883-8170-47b1-90dd-93486eb258d4,"Theo quy định, các học phần ngoại ngữ cơ bản (NNCB) được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ** trong chương trình đào tạo chính khóa.","2180d883-8170-47b1-90dd-93486eb258d4,f59645a8-a831-4db5-867c-0f63ca0121e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8",rag_v2,rag,3,11744.19,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 3, khoản 1 của ngữ cảnh cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin là các học phần NNCB không được tính vào tín chỉ của chương trình đào tạo chính khóa.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
