id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
ITE6_fix_chunks_simple_001,Chương trình đào tạo Công nghệ thông tin Việt-Nhật (IT-E6) của Đại học Bách khoa Hà Nội có khối lượng kiến thức toàn khóa là bao nhiêu tín chỉ?,simple,easy,148 tín chỉ.,9d21412b-50a6-4a46-9fad-ce8e4555b450,Chương trình đào tạo Cử nhân Công nghệ thông tin Việt-Nhật (HEDSPI) có khối lượng kiến thức toàn khóa là 148 tín chỉ.,"9d21412b-50a6-4a46-9fad-ce8e4555b450,13188ea5-14f5-536d-8231-68e47ae637ab,c5b4362d-53ba-4584-aafe-609e87d36808,4017170b-cb68-4dd8-a42b-247851257060",rag_v2,rag,4,11009.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,"Cả hai câu trả lời đều xác nhận khối lượng kiến thức toàn khóa là 148 tín chỉ, việc bổ sung tên gọi HEDSPI không làm thay đổi tính chính xác của thông tin.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE6_fix_chunks_simple_002,"Theo mục tiêu chung của chương trình Công nghệ thông tin Việt-Nhật (IT-E6), sinh viên tốt nghiệp cần đạt trình độ tiếng Nhật tối thiểu là bậc nào?",simple,easy,Tối thiểu đạt trình độ N3.,290b4102-1a2b-4e77-9bd9-528fd5616624,"Theo mục tiêu chung của chương trình Công nghệ thông tin Việt-Nhật (IT-E6), sinh viên tốt nghiệp cần đạt trình độ tiếng Nhật tối thiểu là N3.","290b4102-1a2b-4e77-9bd9-528fd5616624,c5b4362d-53ba-4584-aafe-609e87d36808,50de962d-960e-4575-a247-432f0806cc82,be784e43-a586-4bae-a895-869eb1a2b05a,406235a4-07a1-488e-999a-b9d7c64ba3a2,932e8cef-aa91-4a5e-8a16-8acdb42efbd9,4017170b-cb68-4dd8-a42b-247851257060",rag_v2,rag,7,7987.56,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào mục 1.1 trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE6_fix_chunks_simple_003,Chuẩn đầu ra 2.3.3 của chương trình Công nghệ thông tin Việt-Nhật (IT-E6) yêu cầu sinh viên đạt chứng chỉ tiếng Nhật nào?,simple,easy,Chứng chỉ JLPT N3.,8fff645c-f76d-4495-8659-d05329aca74e,"Theo tài liệu cung cấp, chương trình Công nghệ thông tin Việt-Nhật yêu cầu chuẩn tiếng Nhật đầu ra là trình độ N3, căn cứ theo kết quả của kỳ thi năng lực tiếng Nhật JLPT (Japanese-Language Proficiency Test) hoặc chứng chỉ tiếng Nhật tương đương.","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,554c02b9-5ec3-441a-924c-49bf5e34bfe9,4017170b-cb68-4dd8-a42b-247851257060,31b3a226-d38b-4c25-a2f4-c5aca7984c14,29f052b7-36c2-45c4-8400-46c2737d02a9",rag_v2,rag,7,7762.48,False,partial,grounded,incomplete,Câu trả lời chỉ nêu được yêu cầu chung về trình độ N3 mà không đề cập đến thông tin cụ thể về 'chuẩn đầu ra 2.3.3' như người dùng yêu cầu. Ngữ cảnh cung cấp không chứa thông tin chi tiết về các mã chuẩn đầu ra cụ thể (như 2.3.3).,correct,"Câu trả lời đã nêu chính xác yêu cầu đạt chứng chỉ JLPT N3, đồng thời bổ sung thông tin về các chứng chỉ tương đương một cách hợp lý.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE6_fix_chunks_simple_004,"Trong cấu trúc chung của chương trình Công nghệ thông tin Việt-Nhật (IT-E6), khối kiến thức Tiếng Nhật chiếm bao nhiêu tín chỉ tính vào CPA?",simple,easy,7 tín chỉ tính CPA (ngoài ra còn có 16 tín chỉ tiếng Nhật không tính CPA).,bab0d66f-53e6-4cdd-addf-fdc1607989ee,"Trong cấu trúc chương trình đào tạo ngành Công nghệ thông tin (Việt-Nhật) [IT-E6], khối kiến thức Tiếng Nhật chiếm **07 tín chỉ** tính vào CPA.

Ngoài ra, chương trình còn có 16 tín chỉ Tiếng Nhật khác không tính vào CPA.","bab0d66f-53e6-4cdd-addf-fdc1607989ee,98b6d0d3-694d-476b-904c-0bb09e975ca7,9d21412b-50a6-4a46-9fad-ce8e4555b450",rag_v2,rag,3,8704.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác thông tin về số tín chỉ tiếng Nhật tính vào CPA và số tín chỉ không tính vào CPA giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE6_fix_chunks_simple_005,Hai học phần tiếng Anh bắt buộc của chương trình Công nghệ thông tin Việt-Nhật (IT-E6) có tên là gì?,simple,easy,FL1101 – Tiếng Anh TOEIC I và FL1102 – Tiếng Anh TOEIC II.,afb5a0bb-c649-4a7c-a4ff-699755ea95a3,"Tôi không tìm thấy thông tin về các học phần tiếng Anh bắt buộc trong chương trình Công nghệ thông tin Việt-Nhật (IT-E6) trong tài liệu hiện có.

Theo tài liệu, chương trình Công nghệ thông tin Việt-Nhật có ngoại ngữ chính là **tiếng Nhật** và danh mục các học phần tiếng Nhật bắt buộc bao gồm: Tiếng Nhật 1 đến Tiếng Nhật 8, Tiếng Nhật chuyên ngành 1 và Tiếng Nhật chuyên ngành 2.","/soict.hust.edu.vn/wp-content/uploads/Tho%CC%82ng-tin-chu%CC%9Bo%CC%9Bng-tri%CC%80nh-DS-AI_2025_vn.pdf,/soict.hust.edu.vn/thong-tin-tuyen-sinh-2025.html,/soict.hust.edu.vn/en/wp-content/uploads/IT-E6.pdf,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38,a8961a31-b1bd-4d13-8861-95cf188d42ee,2744defe-51d8-4c3b-967c-81c3a37f2e91,99613efb-4623-4afe-ac23-3949f590f792,554c02b9-5ec3-441a-924c-49bf5e34bfe9",rag_v2,rag,9,8233.95,True,good,grounded,complete,Ngữ cảnh cung cấp thông tin về các học phần tiếng Nhật của chương trình IT-E6 nhưng không đề cập đến các học phần tiếng Anh. Trợ lý đã trả lời đúng là không tìm thấy thông tin trong ngữ cảnh và cung cấp thông tin liên quan về ngoại ngữ chính của chương trình này.,incorrect,"The generated answer fails to provide the requested information and incorrectly claims it cannot be found, whereas the reference answer provides the specific names of the two required English courses.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE6_fix_chunks_simple_006,Học phần Tiếng Nhật 8 (JP2220) trong chương trình Công nghệ thông tin Việt-Nhật (IT-E6) được học vào kỳ thứ mấy và có bao nhiêu tín chỉ?,simple,easy,"Học vào kỳ 8, có 1 tín chỉ.",98b6d0d3-694d-476b-904c-0bb09e975ca7,"Theo tài liệu tham khảo về chương trình Công nghệ thông tin Việt-Nhật (IT-E6), học phần Tiếng Nhật 8 (JP2220) có các thông tin sau:

*   **Số tín chỉ:** 1 tín chỉ (thời lượng 1(0-2-0-2)).
*   **Học kỳ:** Tài liệu không quy định cụ thể học kỳ cho học phần này.

Lưu ý: Theo Bảng 9.3 và Bảng 9.4, học phần này được tính tín chỉ trong chương trình đào tạo và là học phần bắt buộc, định hướng kỹ thuật.","3815b690-92fc-4c4f-be68-1d7fc7899b38,4017170b-cb68-4dd8-a42b-247851257060,554c02b9-5ec3-441a-924c-49bf5e34bfe9,ebd85651-3350-447f-92d1-6fe3e7e65cba",rag_v2,rag,4,7797.42,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp. Ngữ cảnh chỉ cung cấp thông tin về thời lượng (1 tín chỉ) và tính chất học phần, không đề cập đến học kỳ cụ thể, nên việc trợ lý xác nhận thông tin này không có trong tài liệu là hoàn toàn chính xác.",partial,"Câu trả lời được tạo ra xác định đúng số tín chỉ nhưng lại cho rằng tài liệu không quy định cụ thể học kỳ, trong khi câu trả lời tham chiếu xác định rõ là học kỳ 8.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE6_fix_chunks_simple_007,Module 1 (Trí tuệ nhân tạo và Dữ liệu lớn) thuộc khối tự chọn theo định hướng của chương trình Công nghệ thông tin Việt-Nhật (IT-E6) bao gồm những học phần nào?,simple,easy,"Bao gồm: IT4409 – Công nghệ Web và dịch vụ trực tuyến, IT4785 – Phát triển ứng dụng cho thiết bị di động, IT4542 – Quản trị phát triển phần mềm, IT4930 – Nhập môn Khoa học dữ liệu, IT3190 – Học máy và khai phá dữ liệu, IT4441 – Giao diện và trải nghiệm người dùng.",a057b784-1273-4f4f-8867-f5f0bf254539,"Module 1 (Trí tuệ nhân tạo và Dữ liệu lớn) thuộc khối kiến thức tự chọn theo định hướng của chương trình Công nghệ thông tin (Việt-Nhật) (IT-E6) bao gồm các học phần sau:

*   **IT4409:** Công nghệ Web và dịch vụ trực tuyến (3 tín chỉ, kỳ 7)
*   **IT4785:** Phát triển ứng dụng cho thiết bị di động (2 tín chỉ, kỳ 7)
*   **IT4542:** Quản trị phát triển phần mềm (2 tín chỉ, kỳ 8)
*   **IT4930:** Nhập môn Khoa học dữ liệu (2 tín chỉ, kỳ 8)
*   **IT3190:** Học máy và khai phá dữ liệu (3 tín chỉ, kỳ 7)
*   **IT4441:** Giao diện và trải nghiệm người dùng (3 tín chỉ, kỳ 6)","a057b784-1273-4f4f-8867-f5f0bf254539,2570f74c-6ac2-4fde-ac65-3b9c1100381b,57adfb06-4aa0-4e8e-b2e3-93809362b3e3",rag_v2,rag,3,6183.0,True,good,grounded,complete,Câu trả lời liệt kê đầy đủ và chính xác các học phần thuộc Module 1 của chương trình IT-E6 dựa trên dữ liệu được cung cấp trong ngữ cảnh.,correct,Câu trả lời đã liệt kê đầy đủ các học phần có trong đáp án tham khảo và bổ sung thêm thông tin chi tiết về số tín chỉ và kỳ học mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE6_fix_chunks_simple_008,Học phần Thực tập công nghiệp (IT4948) của chương trình Công nghệ thông tin Việt-Nhật (IT-E6) được thực hiện vào học kỳ thứ mấy và có bao nhiêu tín chỉ?,simple,easy,Thực hiện vào học kỳ 7 với 2 tín chỉ.,d21d121c-0983-4f96-981d-b8ed33b4fa66,"Đối với chương trình Công nghệ thông tin (Việt-Nhật) (IT-E6), học phần Thực tập công nghiệp (IT4948) có thông tin như sau:

*   **Học kỳ:** 7
*   **Số tín chỉ:** 2 tín chỉ (0-0-4-4)","d21d121c-0983-4f96-981d-b8ed33b4fa66,9d21412b-50a6-4a46-9fad-ce8e4555b450,13188ea5-14f5-536d-8231-68e47ae637ab",rag_v2,rag,3,7585.22,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (phần danh mục học phần Thực tập kỹ thuật và Đồ án tốt nghiệp).",correct,"Câu trả lời đã cung cấp chính xác thông tin về học kỳ và số tín chỉ theo yêu cầu, đồng thời bổ sung thêm thông tin chi tiết về cấu trúc tín chỉ mà không làm sai lệch nội dung.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE6_fix_chunks_simple_009,"Sau khi hoàn thành học phần JP1110 và JP1120 (Tiếng Nhật 1, 2) trong chương trình Công nghệ thông tin Việt-Nhật (IT-E6), sinh viên hướng tới mục tiêu đạt bao nhiêu điểm trong kỳ thi thử trực tuyến trình độ N5?",simple,easy,Đạt từ 80 điểm trở lên.,d639c809-4591-46a3-a375-41ca5dc2d66f,"Sau khi hoàn thành học phần JP1110 (Tiếng Nhật 1) và JP1120 (Tiếng Nhật 2) trong chương trình Công nghệ thông tin Việt-Nhật (IT-E6), sinh viên hướng tới mục tiêu đạt từ 80 điểm trở lên trong kỳ thi thử trực tuyến trình độ N5.","d639c809-4591-46a3-a375-41ca5dc2d66f,e2cda9b9-fa5a-42c9-b8cc-5b1d0278487e,554c02b9-5ec3-441a-924c-49bf5e34bfe9,4017170b-cb68-4dd8-a42b-247851257060,98b6d0d3-694d-476b-904c-0bb09e975ca7,3815b690-92fc-4c4f-be68-1d7fc7899b38",rag_v2,rag,6,9646.24,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin mục tiêu JLPT được nêu trong phần mô tả học phần JP1110 và JP1120 của ngữ cảnh.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác thông tin về mục tiêu điểm số theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE6_fix_chunks_simple_010,Học phần Tiếng Nhật 5 (JP2126) trong chương trình Công nghệ thông tin Việt-Nhật (IT-E6) đặt mục tiêu tỷ lệ sinh viên đỗ kỳ thi N3 là bao nhiêu phần trăm?,simple,easy,Tỷ lệ đỗ N3 là 60%.,1e627127-d84a-47f8-9529-424a53b1b4c9,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu cung cấp chỉ liệt kê danh mục học phần, thời lượng, điều kiện miễn/học và tính chất của học phần JP2126 (Tiếng Nhật 5) trong chương trình Công nghệ thông tin Việt-Nhật, không đề cập đến mục tiêu tỷ lệ sinh viên đỗ kỳ thi N3.","4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38,ebd85651-3350-447f-92d1-6fe3e7e65cba,554c02b9-5ec3-441a-924c-49bf5e34bfe9,80f0489c-4157-402b-9dfe-2cc134b9f1a0,0f964f3c-b600-4096-8efe-2498d74e434c",rag_v2,rag,6,8354.39,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ liệt kê danh mục học phần và các thông tin liên quan đến điều kiện miễn/học, không chứa thông tin về mục tiêu tỷ lệ đỗ kỳ thi N3 cho học phần Tiếng Nhật 5.",incorrect,"The generated answer fails to provide the specific information requested, whereas the reference answer provides the correct target percentage.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
