id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_001,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do cơ quan nào ban hành và quy định về vấn đề gì?,simple,easy,"Do Bộ Giáo dục và Đào tạo cùng Bộ Lao động, Thương binh và Xã hội ban hành. Quy định tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.",08d0e430-3330-43f5-8c28-ab3347dbccdf,"Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do **Bộ Giáo dục và Đào tạo** và **Bộ Lao động – Thương binh và Xã hội** ban hành, quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học **Giáo dục quốc phòng và an ninh** trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.","08d0e430-3330-43f5-8c28-ab3347dbccdf,854b7e9d-aa64-4499-a464-5d0cb6966af9,c26d5448-b29e-45f2-889c-79673fc57cc0,7c98260f-6b4c-4faf-a818-24ede6b399b3,32d85493-4256-4e4d-85aa-21dd94982c82,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,b0a8fa91-826f-437f-83e8-8413c4cbf558",rag_v2,rag,7,11348.14,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_002,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày nào?,simple,easy,Có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015.,1edf2db3-b901-4141-a927-e23a677a4b6c,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, văn bản có hiệu lực thi hành kể từ ngày **23 tháng 10 năm 2015**.","/chinhphu.vn/default.aspx?pageid=27160&docid=181587,/thuvienphapluat.vn/van-ban/Giao-duc/Thong-tu-lien-tich-18-2015-TTLT-BGDDT-BLDTBXH-day-danh-gia-ket-qua-hoc-Giao-duc-quoc-phong-an-ninh-289668.aspx,08d0e430-3330-43f5-8c28-ab3347dbccdf,1edf2db3-b901-4141-a927-e23a677a4b6c,c26d5448-b29e-45f2-889c-79673fc57cc0,7c98260f-6b4c-4faf-a818-24ede6b399b3,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,e8b2c51d-09fe-4e6c-b320-1b1cc8d7852a,e9d1b659-7668-495a-837a-a307673b6987",rag_v2,rag,9,15578.2,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp chính xác ngày có hiệu lực của Thông tư giống như câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_003,Thông tư liên tịch 18/2015 thay thế những văn bản quy phạm pháp luật nào trước đó về GDQP&AN?,simple,easy,"Thay thế Thông tư số 40/2012/TT-BGDĐT ngày 19/11/2012 của Bộ GD&ĐT và Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25/11/2008 của Bộ LĐ-TB&XH về tổ chức dạy, học và đánh giá kết quả môn GDQP&AN.",1edf2db3-b901-4141-a927-e23a677a4b6c,"Theo Điều 14 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, văn bản này thay thế **hai văn bản quy phạm pháp luật** trước đó về GDQP&AN:

- **Thông tư số 40/2012/TT-BGDĐT** ngày 19/11/2012 của Bộ Giáo dục và Đào tạo (quy định tổ chức dạy, học và đánh giá kết quả môn học GDQP&AN trong các trường trung cấp, cao đẳng, đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN).

- **Quyết định số 63/2008/QĐ-BLĐTBXH** ngày 25/11/2008 của Bộ Lao động – Thương binh và Xã hội (Quy chế tổ chức dạy, học và đánh giá kết quả học tập môn học GDQP&AN trong các cơ sở dạy nghề).","1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,03c9a959-4ba4-412c-b20c-72a8165cfcab,854b7e9d-aa64-4499-a464-5d0cb6966af9,9ebee123-3237-4f37-9512-c8adaa6eb6e4,7c98260f-6b4c-4faf-a818-24ede6b399b3,84073f1e-03d5-4af1-8e92-b27177ccb8d9",rag_v2,rag,7,16662.93,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 14 của ngữ cảnh.",correct,Câu trả lời đã nêu đầy đủ và chính xác các văn bản bị thay thế bởi Thông tư liên tịch 18/2015 như trong đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_004,Thông tư liên tịch 18/2015 áp dụng đối với những loại cơ sở giáo dục nào?,simple,easy,"Áp dụng với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, gồm: trường trung cấp, trường cao đẳng, trường đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN; cùng các tổ chức, cá nhân có liên quan.",03c9a959-4ba4-412c-b20c-72a8165cfcab,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, Điều 1, đối tượng áp dụng bao gồm các cơ sở giáo dục sau:

- Trường trung cấp
- Trường cao đẳng
- Trường đại học
- Học viện
- Đại học vùng
- Đại học Quốc gia
- Trung tâm GDQP&AN

Các cơ sở này được gọi chung là ""cơ sở giáo dục"". Ngoài ra, thông tư cũng áp dụng đối với tổ chức, cá nhân có liên quan.","08d0e430-3330-43f5-8c28-ab3347dbccdf,1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,854b7e9d-aa64-4499-a464-5d0cb6966af9,c26d5448-b29e-45f2-889c-79673fc57cc0,7c98260f-6b4c-4faf-a818-24ede6b399b3,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6",rag_v2,rag,7,19618.71,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác và đầy đủ các cơ sở giáo dục được quy định tại Điều 1 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH dựa trên ngữ cảnh được cung cấp.,correct,Câu trả lời đã liệt kê đầy đủ các loại hình cơ sở giáo dục và các đối tượng liên quan theo đúng nội dung của Thông tư liên tịch 18/2015.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_005,Môn học GDQP&AN có vị trí như thế nào trong chương trình giáo dục tại các cơ sở giáo dục?,simple,easy,"GDQP&AN là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân, an ninh nhân dân, là môn học chính khóa thuộc chương trình giáo dục của các cơ sở giáo dục.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo Điều 2 của tài liệu quy định môn học GDQP&AN, môn học này là **môn học chính khóa** thuộc chương trình giáo dục của các cơ sở giáo dục, đồng thời là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân và an ninh nhân dân.","927dd722-b363-4d76-8e60-008ce78d898e,103ecd9f-c394-49d8-a516-2f0257b70039,12ba5d70-d4c5-42c9-a41e-715480b304f8,c3120733-3886-44a0-b45f-bd96cd2f1232,f4526d2f-1f30-4af6-8b8c-d1d3de6f0184,f8a15b5a-4da9-49dc-a892-e25e30f955b6,13231bd4-da8d-4bdc-a3f5-1a2c6f4ff5e5",rag_v2,rag,7,9842.68,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác và đầy đủ thông tin về vị trí của môn học GDQP&AN dựa trên Điều 2 của ngữ cảnh được cung cấp.,correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng có trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_006,Môn học GDQP&AN trang bị cho sinh viên những kiến thức gì?,simple,easy,"Trang bị kiến thức cơ bản về nền quốc phòng toàn dân, an ninh nhân dân; quan điểm của Đảng, chính sách pháp luật nhà nước về quốc phòng - an ninh; truyền thống chống ngoại xâm, lực lượng vũ trang, nghệ thuật quân sự Việt Nam; kiến thức về phòng thủ dân sự, kỹ năng quân sự; sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo Thông tư liên tịch 01/2015/TT-LT (Quy định đánh giá GDQP&AN), Điều 2, môn học GDQP&AN trang bị cho sinh viên những kiến thức:

- Hiểu biết cơ bản về nền quốc phòng toàn dân, an ninh nhân dân.
- Quan điểm của Đảng, chính sách, pháp luật của Nhà nước về quốc phòng và an ninh.
- Truyền thống chống ngoại xâm của dân tộc, lực lượng vũ trang nhân dân và nghệ thuật quân sự Việt Nam.
- Xây dựng nền quốc phòng toàn dân, an ninh nhân dân, lực lượng vũ trang nhân dân.
- Kiến thức cơ bản, cần thiết về phòng thủ dân sự, kỹ năng quân sự.
- Chuẩn bị sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.","927dd722-b363-4d76-8e60-008ce78d898e,9ebee123-3237-4f37-9512-c8adaa6eb6e4,103ecd9f-c394-49d8-a516-2f0257b70039,12ba5d70-d4c5-42c9-a41e-715480b304f8,c3120733-3886-44a0-b45f-bd96cd2f1232,f8a15b5a-4da9-49dc-a892-e25e30f955b6,3c76013b-ff3d-4835-97ef-b9a7c5f9acfa",rag_v2,rag,7,13184.32,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh tại Điều 2 của văn bản 01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN.",correct,"Câu trả lời được tạo ra bao hàm đầy đủ các nội dung kiến thức trong câu trả lời tham chiếu và trình bày rõ ràng, chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_007,"Theo Thông tư liên tịch 18/2015, giáo viên dạy GDQP&AN phải mặc trang phục như thế nào khi giảng dạy?",simple,easy,"Khi giảng dạy tại giảng đường hoặc trên thao trường phải mặc trang phục GDQP&AN theo quy định. Giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Điều 3, khoản 2 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH:

- Giáo viên, giảng viên dạy GDQP&AN khi giảng dạy tại giảng đường hoặc trên thao trường **phải mang mặc trang phục GDQP&AN theo quy định**.
- Riêng giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải **mang mặc theo Điều lệnh quân đội, công an nhân dân**.","12ba5d70-d4c5-42c9-a41e-715480b304f8,1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,067507d1-850f-4166-b854-6c1365b6fd72,2ed31f4b-7260-46ec-8e25-5deba83736d3,03c9a959-4ba4-412c-b20c-72a8165cfcab,84073f1e-03d5-4af1-8e92-b27177ccb8d9,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,8,16163.67,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác thông tin từ Điều 3, khoản 2 của văn bản được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu, đồng thời trích dẫn thêm căn cứ pháp lý cụ thể.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_008,"Dạy, học GDQP&AN phải đảm bảo những nguyên tắc gì theo Điều 3 Thông tư liên tịch 18/2015?",simple,easy,"Phải đảm bảo tính toàn diện, có trọng tâm trọng điểm; kết hợp lý luận và thực tiễn, lý thuyết và thực hành; phù hợp quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Điều 3 Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, dạy và học môn Giáo dục quốc phòng và an ninh (GDQP&AN) phải đảm bảo các nguyên tắc sau:

- **Nguyên tắc 1:** Dạy, học phải bảo đảm tính toàn diện, có trọng tâm, trọng điểm bằng hình thức phù hợp; kết hợp giữa lý luận và thực tiễn, giữa lý thuyết và thực hành; phù hợp với quy chế tổ chức đào tạo của từng trình độ; gắn liền với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.
- **Nguyên tắc 2:** Giáo viên, giảng viên dạy GDQP&AN khi giảng dạy tại giảng đường hoặc trên thao trường phải mang mặc trang phục GDQP&AN theo quy định; giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mang mặc theo Điều lệnh quân đội, công an nhân dân.
- **Nguyên tắc 3:** Giáo viên, giảng viên, cán bộ quản lý, học sinh, sinh viên giảng dạy và học tập môn học GDQP&AN phải thực hiện đúng, đủ kế hoạch giảng dạy, học tập, nội quy, quy tắc về đảm bảo an toàn về người, vũ khí, trang thiết bị.","12ba5d70-d4c5-42c9-a41e-715480b304f8,1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,9ebee123-3237-4f37-9512-c8adaa6eb6e4,08d0e430-3330-43f5-8c28-ab3347dbccdf,7c98260f-6b4c-4faf-a818-24ede6b399b3,84073f1e-03d5-4af1-8e92-b27177ccb8d9",rag_v2,rag,7,23388.83,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác các nội dung từ Điều 3 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có trong ngữ cảnh.,correct,"Câu trả lời đã bao gồm đầy đủ các nội dung của nguyên tắc được quy định tại Điều 3 Thông tư liên tịch 18/2015, đồng thời bổ sung thêm các khoản khác trong cùng điều luật để làm rõ hơn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_009,Sinh viên nào được miễn toàn bộ môn học GDQP&AN theo Thông tư liên tịch 18/2015?,simple,easy,"Ba đối tượng được miễn: (a) sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do trường quân đội, công an cấp; (b) sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo; (c) sinh viên là người nước ngoài.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Theo **Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, Điều 4, khoản 1**, các đối tượng sinh viên được miễn toàn bộ môn học GDQP&AN bao gồm:

- Sinh viên có **giấy chứng nhận sĩ quan dự bị** hoặc **bằng tốt nghiệp do các trường quân đội, công an cấp**.
- Sinh viên đã có **chứng chỉ GDQP&AN tương ứng với trình độ đào tạo**.
- Sinh viên là **người nước ngoài**.","1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,c3120733-3886-44a0-b45f-bd96cd2f1232,854b7e9d-aa64-4499-a464-5d0cb6966af9,84073f1e-03d5-4af1-8e92-b27177ccb8d9,08d0e430-3330-43f5-8c28-ab3347dbccdf,f8a15b5a-4da9-49dc-a892-e25e30f955b6",rag_v2,rag,7,16930.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 4, khoản 1 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã liệt kê đầy đủ và chính xác các đối tượng được miễn học GDQP&AN theo quy định, tương đương với nội dung của câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1429,0.3333
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_010,Sinh viên được miễn học một số học phần trong chương trình GDQP&AN khi nào?,simple,easy,"Khi có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5 điểm trở lên theo thang điểm 10.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Theo **Điều 4, Thông tư Liên tịch số 01/2015/TTLT-BGDĐT-BLĐTBXH** (về đánh giá GDQP&AN), sinh viên được miễn học một số học phần/nội dung trong chương trình GDQP&AN trong các trường hợp sau:

- **Miễn học, miễn thi học phần/nội dung** (khoản 2): Sinh viên có **giấy xác nhận kết quả học tập các học phần/nội dung đó đạt từ 5 điểm trở lên** theo thang điểm 10.
- **Miễn học các nội dung thực hành kỹ năng quân sự** (khoản 3):
  - Sinh viên là người khuyết tật (có giấy xác nhận khuyết tật).
  - Sinh viên không đủ sức khỏe về thể lực hoặc mắc bệnh thuộc diện miễn nghĩa vụ quân sự.
  - Sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Ngoài ra, nếu sinh viên đã có **chứng chỉ GDQP&AN tương ứng trình độ đào tạo** hoặc thuộc các đối tượng khác theo khoản 1 (sĩ quan dự bị, bằng tốt nghiệp quân đội/công an, người nước ngoài) thì được miễn **toàn bộ** môn học.","f8a15b5a-4da9-49dc-a892-e25e30f955b6,9ebee123-3237-4f37-9512-c8adaa6eb6e4,40387007-caba-4fc6-a3a3-a3c776eefdaa,03fcc47c-49dd-4eb4-b05a-f62898a5986d,554c02b9-5ec3-441a-924c-49bf5e34bfe9,84073f1e-03d5-4af1-8e92-b27177ccb8d9,740e7a27-9086-41fa-bfe0-d5a156af0e5f",rag_v2,rag,7,31282.35,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác và đầy đủ các thông tin từ ngữ cảnh về các trường hợp sinh viên được miễn học phần hoặc nội dung trong chương trình GDQP&AN.,correct,The generated answer includes the specific condition mentioned in the reference answer while providing a more comprehensive and accurate explanation of the regulations.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
