id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_001,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa nào trở đi?,simple,easy,Áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.,ac75f157-2b84-4dd1-8127-ca04dcea21d2,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC) áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học tập theo chương trình này.,"ac75f157-2b84-4dd1-8127-ca04dcea21d2,1fec193d-7ca1-4258-b67b-7b721bc94853,b985fb9c-7425-42bd-ae10-232d12f95390,c6af41fa-6b81-4406-9741-1e12a9b33e0d,bd094507-e38e-445a-a5ad-8bc41a85258e,212eb491-0182-43ee-abcb-b92b8d8d5ec7,1c71f965-a30a-4054-8676-7851eb052284",rag_v2,rag,7,7610.52,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (phần 1. Phạm vi áp dụng).",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_002,Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu bao nhiêu tín chỉ để được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu?,simple,easy,Sinh viên cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo tài liệu hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ **118 tín chỉ trở lên** của chương trình đào tạo cử nhân để được phép học tích lũy trước các học phần của chương trình kỹ sư.

Một số lưu ý kèm theo:
* Sinh viên được học tích lũy trước tối đa 15 tín chỉ của chương trình kỹ sư.
* Các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,212eb491-0182-43ee-abcb-b92b8d8d5ec7,bd094507-e38e-445a-a5ad-8bc41a85258e,1c71f965-a30a-4054-8676-7851eb052284,70935415-7412-4a91-9fa7-6bd794486b81",rag_v2,rag,7,7454.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu chính xác số tín chỉ tối thiểu cần tích lũy (118 tín chỉ) và cung cấp thêm thông tin bổ sung chính xác, không làm sai lệch nội dung gốc.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_003,Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa bao nhiêu tín chỉ của chương trình Kỹ sư chuyên sâu?,simple,easy,Tối đa 15 tín chỉ. Trường hợp học tích lũy trước nhiều hơn 15 tín chỉ cũng chỉ được công nhận tối đa 15 tín chỉ.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo quy định về điều kiện học chuyển tiếp Cử nhân - Kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân đã tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân sẽ được phép học tích lũy trước tối đa **15 tín chỉ** của chương trình đào tạo kỹ sư.

Lưu ý:
- Trường hợp sinh viên tích lũy trước nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ.
- Các học phần học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb",rag_v2,rag,3,12468.02,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu chính xác con số tối đa 15 tín chỉ và bổ sung thêm các thông tin chi tiết liên quan, hoàn toàn khớp với nội dung của câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Dựa trên các tài liệu được cung cấp, việc công nhận tín chỉ tích lũy trước khi vào chương trình đào tạo sau đại học (thạc sĩ/kỹ sư chuyên sâu) được quy định cụ thể như sau:

*   **Đối với ngành Kỹ thuật Hóa học (CH2):** Sinh viên theo học chương trình đào tạo tích hợp được công nhận 12 tín chỉ ngành rộng (bao gồm 6 tín chỉ là đồ án nghiên cứu bậc cử nhân và 6 tín chỉ trong danh mục D1).
*   **Đối với ngành Kỹ thuật Điện (EE1):**
    *   Sinh viên theo học chương trình tích hợp được công nhận 12 tín chỉ, bao gồm 8 tín chỉ đồ án nghiên cứu bậc cử nhân và 4 tín chỉ trong khối mô đun tự chọn theo định hướng.
    *   Sinh viên không theo học chương trình tích hợp được công nhận tối đa 6 tín chỉ và cần thực hiện đồ án nghiên cứu đề xuất với thời lượng 6 tín chỉ.
*   **Đối với các ngành/chương trình khác (ME1, IT-E15):** Tài liệu hiện có không đề cập chi tiết về việc công nhận các học phần đã tích lũy trước đó vào chương trình đào tạo thạc sĩ/kỹ sư chuyên sâu.

Nếu bạn đang theo học ngành hoặc chương trình khác với các ngành nêu trên, vui lòng cung cấp thông tin ngành học để tôi có thể hỗ trợ kiểm tra chính xác hơn.","b98b1fea-6b84-4784-b6c8-8d77bf8fd929,2584499d-ba8c-40cf-9a10-873ad3cf8e13,838508a8-50fd-4dec-8425-1c0b003834e7,1c71f965-a30a-4054-8676-7851eb052284,682b6218-f719-44d9-adb0-00963dd3cfaa,1d207c88-030f-4638-b19d-29c476377eb8,2f5334b1-2b7c-41e0-bf8b-64e1e59ac29f",rag_v2,rag,7,15457.19,True,good,grounded,complete,"Câu trả lời đã tổng hợp chính xác thông tin từ ngữ cảnh cho các ngành có dữ liệu (Hóa học, Kỹ thuật điện) và thừa nhận sự thiếu hụt thông tin đối với các ngành khác, đáp ứng yêu cầu của người dùng dựa trên tài liệu được cung cấp.",incorrect,The generated answer provides specific credit recognition details for certain majors instead of addressing the general policy requirement that credits are only counted after graduation from the bachelor's program and registration for the professional engineer program.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_005,Sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu phải làm gì?,simple,easy,Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển thực hiện theo quy định và hướng dẫn riêng.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, đối với sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu tại Đại học Bách khoa Hà Nội, bạn cần lưu ý các thông tin sau:

*   **Đăng ký xét tuyển:** Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển sẽ được thực hiện theo quy định và hướng dẫn riêng.
*   **Hướng chuyên ngành:** Bạn được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng chuyên ngành khác, bạn sẽ cần học bổ sung các học phần theo quy định.
*   **Thủ tục:** Để được hướng dẫn chi tiết về thủ tục đăng ký hoặc thay đổi chương trình đào tạo Kỹ sư chuyên sâu, bạn có thể liên hệ với chuyên viên phụ trách tại Ban Đào tạo (thông tin liên hệ: anh Nguyễn Huy Hùng - email: [hung.nguyenhuy@hust.edu.vn](mailto:hung.nguyenhuy@hust.edu.vn)).

Để có thông tin chính xác và cập nhật nhất về quy trình xét tuyển dành riêng cho đối tượng đã tốt nghiệp cử nhân, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc tham khảo các thông báo chính thức trên trang thông tin đào tạo của trường.","d7085a52-6ea2-42fa-8955-e65a17fedeee,c6af41fa-6b81-4406-9741-1e12a9b33e0d,3bd80f7a-5584-476c-86be-33d22c8ca522,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,0d0a90c8-c722-4c26-ae5c-66c4030a50f0,37b43412-4011-58ad-995c-7e29cea4469f,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",agent,complex,10,10012.0,True,good,grounded,complete,"Câu trả lời đã trích xuất đầy đủ thông tin từ ngữ cảnh về việc sinh viên đã tốt nghiệp cử nhân cần đăng ký xét tuyển theo quy định riêng, lưu ý về hướng chuyên ngành và cung cấp thông tin liên hệ hỗ trợ thủ tục.",correct,"Câu trả lời đã bao hàm đầy đủ thông tin từ đáp án tham khảo và cung cấp thêm các chi tiết hữu ích về quy trình, thủ tục liên quan.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_006,Sinh viên chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu nào?,simple,easy,Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu chuẩn.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Dựa trên các tài liệu hiện có, tôi xin giải đáp thắc mắc của bạn như sau:

Thông tin về việc sinh viên chương trình Elitech học chuyển tiếp lên chương trình Kỹ sư chuyên sâu được quy định như sau:

*   **Quy định chung:** Sinh viên đang học hoặc đã tốt nghiệp các chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu.
*   **Điều kiện học tập:**
    *   **Sinh viên chưa tốt nghiệp cử nhân:** Nếu đã tích lũy từ 118 tín chỉ trở lên, bạn được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư. Các học phần này sẽ chỉ được tính vào chương trình đào tạo Kỹ sư sau khi bạn đã tốt nghiệp cử nhân và đăng ký học tiếp chương trình Kỹ sư.
    *   **Sinh viên đã tốt nghiệp cử nhân:** Bạn được đăng ký xét tuyển để học chương trình Kỹ sư chuyên sâu theo các quy định và hướng dẫn riêng.

Ví dụ cụ thể về lộ trình tích hợp (như chương trình Cử nhân Elitech – Kỹ sư An toàn không gian số) cho thấy sinh viên có thể theo học liên thông từ bậc Cử nhân lên Kỹ sư với tổng khối lượng kiến thức toàn khóa là 180 tín chỉ.

Để biết chính xác danh mục các chương trình Kỹ sư chuyên sâu cụ thể mà ngành học hiện tại của bạn được phép chuyển tiếp, bạn vui lòng liên hệ trực tiếp với **Phòng Đào tạo** hoặc văn phòng Viện quản lý ngành học của bạn để được hướng dẫn chi tiết và xác nhận chính thức.","1fec193d-7ca1-4258-b67b-7b721bc94853,e5f9f577-740f-40c6-9190-e4d675bc911e,d2c3a4c4-dbc6-4542-b2b0-cb6897a7f654,583a2ce8-651b-4044-ad8f-af4240eae6f1,fef395c3-b560-4e04-b2b3-1b06f6167fb5,fdf3a8f6-ac8a-48d6-9edd-80a06bd8b045",agent,complex,6,9541.47,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh, làm rõ quy định chuyển tiếp cho sinh viên Elitech và cung cấp hướng dẫn cần thiết khi thông tin cụ thể về danh mục ngành không có sẵn trong tài liệu.",correct,Câu trả lời đã bao hàm thông tin chính từ đáp án tham khảo và cung cấp thêm các chi tiết bổ sung hữu ích về điều kiện và quy trình chuyển tiếp.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_007,Sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì phải làm gì?,simple,easy,Sinh viên sẽ cần phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu cung cấp chỉ nêu cấu trúc chương trình đào tạo và khối lượng tín chỉ, không đề cập đến quy định hoặc thủ tục khi sinh viên thay đổi hướng chuyên ngành giữa bậc cử nhân và bậc kỹ sư.","4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,212eb491-0182-43ee-abcb-b92b8d8d5ec7",rag_v2,rag,3,32180.93,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ mô tả cấu trúc chương trình đào tạo (số tín chỉ, các khối kiến thức) mà không đề cập đến quy định hay quy trình xử lý khi sinh viên muốn thay đổi hướng chuyên ngành giữa bậc cử nhân và kỹ sư.",incorrect,"The generated answer fails to provide the required information, claiming it is unavailable, whereas the reference answer provides a direct and correct response.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_008,Sinh viên được phép đăng ký học hướng chuyên ngành Kỹ sư như thế nào so với bậc cử nhân?,simple,easy,Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng khác sẽ phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Chào bạn, về quy định đăng ký hướng chuyên ngành Kỹ sư so với bậc Cử nhân, bạn cần lưu ý các điểm sau:

*   **Định hướng chuyên ngành:** Bạn được phép đăng ký học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng đã chọn ở bậc Cử nhân.
*   **Thay đổi hướng chuyên ngành:** Nếu bạn chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc Cử nhân, bạn sẽ cần phải học bổ sung các học phần theo quy định.
*   **Đăng ký học trước:** Khi đang học bậc Cử nhân (đã tích lũy từ 118 tín chỉ trở lên), bạn được phép đăng ký học tích lũy trước tối đa 15 tín chỉ thuộc chương trình đào tạo Kỹ sư.

Để được hướng dẫn chi tiết và cụ thể cho trường hợp của mình, bạn nên liên hệ trực tiếp với Phòng Đào tạo hoặc bộ phận quản lý đào tạo của Viện/Trường nơi bạn đang theo học.","720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,40708bf3-8707-4e3e-8f4f-22adc9e5a154,720ab953-7802-40d2-bbd5-c485049281a6,37b43412-4011-58ad-995c-7e29cea4469f,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",agent,complex,10,10212.56,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc lựa chọn hướng chuyên ngành Kỹ sư (phù hợp hoặc khác với bậc cử nhân) và quy định về việc học trước tín chỉ.,correct,The generated answer includes all the information from the reference answer and provides additional relevant details regarding the registration process.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.9871
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_009,Sinh viên cần hoàn thành những học phần gì để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân 180 TC?,simple,easy,Cần hoàn thành học phần Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp cử nhân 6 tín chỉ.,720ab953-7802-40d2-bbd5-c485049281a6,"Để tốt nghiệp chương trình đào tạo cử nhân 180 tín chỉ, sinh viên cần hoàn thành các khối kiến thức chính sau đây:

**1. Khối Giáo dục đại cương (51 tín chỉ):**
*   **Toán và khoa học cơ bản:** 32 tín chỉ (thiết kế theo nhóm ngành).
*   **Lý luận chính trị và Pháp luật đại cương:** 13 tín chỉ.
*   **Tiếng Anh:** 6 tín chỉ (gồm 2 học phần Tiếng Anh cơ bản).
*   **GDTC / GD QP-AN:** Theo quy định của Bộ Giáo dục & Đào tạo.

**2. Khối Giáo dục chuyên nghiệp (81 tín chỉ):**
*   **Cơ sở và cốt lõi ngành:** 48 tín chỉ (bao gồm các đồ án thiết kế, chế tạo/triển khai).
*   **Kiến thức bổ trợ:** 9 tín chỉ (gồm 6 tín chỉ kỹ năng xã hội/khởi nghiệp và 3 tín chỉ Technical Writing and Presentation).
*   **Tự chọn theo mô đun/định hướng:** 16 tín chỉ.
*   **Thực tập kỹ thuật:** 2 tín chỉ.
*   **Đồ án/Khóa luận tốt nghiệp:** (Tùy theo yêu cầu cụ thể của từng ngành).

**Lưu ý:**
*   Sinh viên cần đảm bảo đạt chuẩn ngoại ngữ theo quy định của chương trình đào tạo để đủ điều kiện xét tốt nghiệp.
*   Thông tin chi tiết về các học phần cụ thể trong từng khối kiến thức có thể thay đổi tùy theo mã ngành đào tạo. Bạn nên tham khảo chương trình đào tạo chi tiết của ngành mình trên cổng thông tin đào tạo hoặc liên hệ Phòng Đào tạo để được hướng dẫn cụ thể.","bb2fb021-3902-45c9-827f-2921192b764e,032d67c0-6960-4dea-9a05-61d60e562fe9,bf63050b-88ed-45e2-ab7a-7e5f6601168b,8fd80084-2714-48f8-a06a-30264ee58d26,10733c54-298f-4ea9-8ead-a60c4f1ed978,a22d61ee-68ea-4273-b975-c186d2d63842",agent,complex,6,10643.07,False,good,partially_grounded,partial,"Câu trả lời dựa trên ngữ cảnh của một ngành cụ thể (Kỹ thuật Môi trường - 132 tín chỉ) để trả lời cho câu hỏi về chương trình 180 tín chỉ. Thông tin về 180 tín chỉ không có trong ngữ cảnh cung cấp, dẫn đến việc trợ lý tự suy diễn cấu trúc từ một ngành khác, gây sai lệch về tổng số tín chỉ (51+81=132, không phải 180).",partial,The generated answer provides a broad overview of the curriculum but fails to explicitly identify the specific two components (Thực tập kỹ thuật và Đề án tốt nghiệp) as the final requirements mentioned in the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_010,Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu thì điều gì xảy ra?,simple,easy,Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.,720ab953-7802-40d2-bbd5-c485049281a6,"Theo hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, nếu sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên chương trình Kỹ sư chuyên sâu:

*   Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.
*   Trên hệ thống quản lý học tập, trạng thái của sinh viên sẽ là ""Tốt nghiệp ra trường"".","720ab953-7802-40d2-bbd5-c485049281a6,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,1fec193d-7ca1-4258-b67b-7b721bc94853",rag_v2,rag,3,6643.82,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã bao gồm thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin phụ trợ chính xác về trạng thái trên hệ thống.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
