id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_001,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do cơ quan nào ban hành và quy định về vấn đề gì?,simple,easy,"Do Bộ Giáo dục và Đào tạo cùng Bộ Lao động, Thương binh và Xã hội ban hành. Quy định tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.",08d0e430-3330-43f5-8c28-ab3347dbccdf,"Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do **Bộ Giáo dục và Đào tạo** và **Bộ Lao động – Thương binh và Xã hội** ban hành, quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học **Giáo dục quốc phòng và an ninh** trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.","08d0e430-3330-43f5-8c28-ab3347dbccdf,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,854b7e9d-aa64-4499-a464-5d0cb6966af9",rag_v2,rag,5,14634.43,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ thông tin từ ngữ cảnh về cơ quan ban hành và nội dung của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_002,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày nào?,simple,easy,Có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015.,1edf2db3-b901-4141-a927-e23a677a4b6c,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày **23 tháng 10 năm 2015** (Theo Điều 14 của Thông tư).,"1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,4,12671.99,True,good,grounded,complete,"Câu trả lời đúng, trích dẫn chính xác từ ngữ cảnh (Điều 14 của Thông tư) về hiệu lực từ ngày 23/10/2015.",correct,"Câu trả lời đã cung cấp chính xác ngày có hiệu lực thi hành của Thông tư, trùng khớp với thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_003,Thông tư liên tịch 18/2015 thay thế những văn bản quy phạm pháp luật nào trước đó về GDQP&AN?,simple,easy,"Thay thế Thông tư số 40/2012/TT-BGDĐT ngày 19/11/2012 của Bộ GD&ĐT và Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25/11/2008 của Bộ LĐ-TB&XH về tổ chức dạy, học và đánh giá kết quả môn GDQP&AN.",1edf2db3-b901-4141-a927-e23a677a4b6c,"Theo Điều 14 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, văn bản này thay thế các quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh (GDQP&AN) ban hành kèm theo:

- **Thông tư số 40/2012/TT-BGDĐT** ngày 19/11/2012 của Bộ Giáo dục và Đào tạo.
- **Quyết định số 63/2008/QĐ-BLĐTBXH** ngày 25/11/2008 của Bộ Lao động – Thương binh và Xã hội.","1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,067507d1-850f-4166-b854-6c1365b6fd72,2ed31f4b-7260-46ec-8e25-5deba83736d3,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,6,16422.89,True,good,grounded,complete,"Câu trả lời trích dẫn đúng hai văn bản được thay thế theo Điều 14 của Thông tư liên tịch 18/2015, hoàn toàn dựa trên ngữ cảnh, không bịa đặt.",correct,Câu trả lời đã nêu đầy đủ và chính xác các văn bản quy phạm pháp luật bị thay thế bởi Thông tư liên tịch 18/2015 như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_004,Thông tư liên tịch 18/2015 áp dụng đối với những loại cơ sở giáo dục nào?,simple,easy,"Áp dụng với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, gồm: trường trung cấp, trường cao đẳng, trường đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN; cùng các tổ chức, cá nhân có liên quan.",03c9a959-4ba4-412c-b20c-72a8165cfcab,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, văn bản này áp dụng đối với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, bao gồm:

- Trường trung cấp
- Trường cao đẳng
- Trường đại học
- Học viện
- Đại học vùng
- Đại học Quốc gia
- Trung tâm Giáo dục quốc phòng và an ninh (GDQP&AN)

Ngoài ra, đối tượng áp dụng còn bao gồm tổ chức, cá nhân có liên quan.","03c9a959-4ba4-412c-b20c-72a8165cfcab,7c98260f-6b4c-4faf-a818-24ede6b399b3,08d0e430-3330-43f5-8c28-ab3347dbccdf,1edf2db3-b901-4141-a927-e23a677a4b6c,854b7e9d-aa64-4499-a464-5d0cb6966af9,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6",rag_v2,rag,6,14334.35,True,good,grounded,complete,"Câu trả lời khớp chính xác với thông tin trong ngữ cảnh (Điều 1), liệt kê đúng các loại cơ sở giáo dục áp dụng và không thêm thông tin ngoài.",correct,Câu trả lời đã liệt kê đầy đủ và chính xác các đối tượng áp dụng theo Thông tư liên tịch 18/2015 giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_005,Môn học GDQP&AN có vị trí như thế nào trong chương trình giáo dục tại các cơ sở giáo dục?,simple,easy,"GDQP&AN là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân, an ninh nhân dân, là môn học chính khóa thuộc chương trình giáo dục của các cơ sở giáo dục.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo Điều 2 tài liệu tham khảo, môn học GDQP&AN là **môn học chính khóa** thuộc chương trình giáo dục của các cơ sở giáo dục, đồng thời là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân và an ninh nhân dân.","927dd722-b363-4d76-8e60-008ce78d898e,12ba5d70-d4c5-42c9-a41e-715480b304f8,c3120733-3886-44a0-b45f-bd96cd2f1232,bae4b92c-3738-4703-9dc0-7fb18ac2194b,47c2be76-dc8c-4175-b8ed-41159ce70426,1edf2db3-b901-4141-a927-e23a677a4b6c,f8a15b5a-4da9-49dc-a892-e25e30f955b6",rag_v2_fallback,rag,7,13835.37,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác nội dung Điều 2 trong ngữ cảnh, phản ánh đúng vị trí của môn GDQP&AN là môn chính khóa và nội dung cơ bản trong xây dựng quốc phòng, an ninh. Đầy đủ, trung thực và phù hợp câu hỏi.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các ý chính từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_006,Môn học GDQP&AN trang bị cho sinh viên những kiến thức gì?,simple,easy,"Trang bị kiến thức cơ bản về nền quốc phòng toàn dân, an ninh nhân dân; quan điểm của Đảng, chính sách pháp luật nhà nước về quốc phòng - an ninh; truyền thống chống ngoại xâm, lực lượng vũ trang, nghệ thuật quân sự Việt Nam; kiến thức về phòng thủ dân sự, kỹ năng quân sự; sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo tài liệu tham khảo về môn học GDQP&AN, Điều 2 quy định:

Môn học GDQP&AN trang bị cho sinh viên những hiểu biết cơ bản về:
- Nền quốc phòng toàn dân, an ninh nhân dân
- Quan điểm của Đảng, chính sách, pháp luật của nhà nước về quốc phòng và an ninh
- Truyền thống chống ngoại xâm của dân tộc, lực lượng vũ trang nhân dân và nghệ thuật quân sự Việt Nam
- Xây dựng nền quốc phòng toàn dân, an ninh nhân dân, lực lượng vũ trang nhân dân
- Kiến thức cơ bản, cần thiết về phòng thủ dân sự, kỹ năng quân sự
- Sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.","927dd722-b363-4d76-8e60-008ce78d898e,12ba5d70-d4c5-42c9-a41e-715480b304f8,f8a15b5a-4da9-49dc-a892-e25e30f955b6,4cc1171a-bff4-4bda-92aa-51428f57d368,4048c721-2b2a-4a78-b11e-479490cef9b1,3c76013b-ff3d-4835-97ef-b9a7c5f9acfa,e2a1951a-2d3a-46fd-8186-10dd4642e834",rag_v2,rag,7,16370.31,True,good,grounded,complete,"Câu trả lời liệt kê đầy đủ và chính xác các kiến thức được trang bị theo Điều 2 của ngữ cảnh, không thêm bớt hay bịa đặt.",correct,"The generated answer covers all the key points mentioned in the reference answer and provides a structured, accurate summary.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_007,"Theo Thông tư liên tịch 18/2015, giáo viên dạy GDQP&AN phải mặc trang phục như thế nào khi giảng dạy?",simple,easy,"Khi giảng dạy tại giảng đường hoặc trên thao trường phải mặc trang phục GDQP&AN theo quy định. Giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo tài liệu tham khảo (Điều 3), giáo viên dạy GDQP&AN khi giảng dạy tại giảng đường hoặc trên thao trường phải:

- **Mang mặc trang phục GDQP&AN** theo quy định.
- Trường hợp giáo viên là **sĩ quan quân đội, công an biệt phái** thì phải mang mặc theo Điều lệnh quân đội, công an nhân dân.

Tài liệu tham khảo hiện có không nhắc đến số hiệu ""Thông tư liên tịch 18/2015"", nhưng nội dung quy định về trang phục nêu trên đã được trích dẫn trực tiếp từ tài liệu.","12ba5d70-d4c5-42c9-a41e-715480b304f8,03c9a959-4ba4-412c-b20c-72a8165cfcab,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,3,20560.24,True,good,grounded,complete,"Câu trả lời trích dẫn đúng nội dung từ Điều 3 của Thông tư liên tịch 18/2015, bao gồm các trường hợp về trang phục GDQP&AN và điều lệnh quân đội/công an.",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin cốt lõi từ đáp án tham chiếu, đồng thời làm rõ nguồn gốc thông tin một cách minh bạch.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_008,"Dạy, học GDQP&AN phải đảm bảo những nguyên tắc gì theo Điều 3 Thông tư liên tịch 18/2015?",simple,easy,"Phải đảm bảo tính toàn diện, có trọng tâm trọng điểm; kết hợp lý luận và thực tiễn, lý thuyết và thực hành; phù hợp quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Thông tư liên tịch 18/2015, Điều 3 quy định việc dạy và học môn GDQP&AN phải đảm bảo các nguyên tắc sau:

- **Toàn diện, có trọng tâm, trọng điểm:** Kết hợp lý luận và thực tiễn, lý thuyết và thực hành; phù hợp với quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.
- **Trang phục giảng dạy:** Giáo viên, giảng viên phải mặc trang phục GDQP&AN theo quy định khi giảng dạy; sĩ quan quân đội, công an biệt phái mặc theo Điều lệnh quân đội, công an nhân dân.
- **Thực hiện đúng kế hoạch và đảm bảo an toàn:** Giáo viên, giảng viên, cán bộ quản lý, học sinh, sinh viên phải thực hiện đúng, đủ kế hoạch giảng dạy, học tập, nội quy, quy tắc về an toàn người, vũ khí, trang thiết bị.","12ba5d70-d4c5-42c9-a41e-715480b304f8,cf2ea3f2-4eb4-40c8-b63d-45b52d63fec8,03c9a959-4ba4-412c-b20c-72a8165cfcab,bae4b92c-3738-4703-9dc0-7fb18ac2194b,067507d1-850f-4166-b854-6c1365b6fd72,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,7,37537.8,True,good,grounded,complete,"Câu trả lời đúng với câu hỏi, dựa hoàn toàn vào ngữ cảnh Điều 3, liệt kê đầy đủ các nguyên tắc.",partial,The generated answer includes the correct principles from the reference answer but adds extra information regarding dress codes and safety regulations that are not part of the specific principles listed in Article 3 of Circular 18/2015.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_009,Sinh viên nào được miễn toàn bộ môn học GDQP&AN theo Thông tư liên tịch 18/2015?,simple,easy,"Ba đối tượng được miễn: (a) sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do trường quân đội, công an cấp; (b) sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo; (c) sinh viên là người nước ngoài.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Theo **Điều 4, khoản 1** của Thông tư liên tịch 18/2015, các đối tượng được **miễn toàn bộ môn học GDQP&AN** bao gồm:

- **Sinh viên có giấy chứng nhận sĩ quan dự bị** hoặc **bằng tốt nghiệp do các trường quân đội, công an cấp**.
- **Sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo**.
- **Sinh viên là người nước ngoài**.

(Các trường hợp miễn một phần như miễn nội dung thực hành kỹ năng quân sự được quy định riêng tại khoản 3 Điều 4, không thuộc diện miễn toàn bộ môn học.)","f8a15b5a-4da9-49dc-a892-e25e30f955b6,84073f1e-03d5-4af1-8e92-b27177ccb8d9,c3120733-3886-44a0-b45f-bd96cd2f1232,03c9a959-4ba4-412c-b20c-72a8165cfcab,7c98260f-6b4c-4faf-a818-24ede6b399b3,9ebee123-3237-4f37-9512-c8adaa6eb6e4,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,7,32472.59,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác Điều 4, khoản 1 của Thông tư liên tịch 18/2015 trong ngữ cảnh, liệt kê đầy đủ ba đối tượng được miễn toàn bộ môn học GDQP&AN.",correct,"Câu trả lời đã nêu đầy đủ và chính xác các đối tượng được miễn toàn bộ môn học GDQP&AN theo quy định, đồng thời bổ sung thông tin làm rõ giúp người đọc tránh nhầm lẫn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_010,Sinh viên được miễn học một số học phần trong chương trình GDQP&AN khi nào?,simple,easy,"Khi có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5 điểm trở lên theo thang điểm 10.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Dựa theo Điều 4, khoản 2 và 3 của tài liệu tham khảo, sinh viên được miễn học một số học phần (từng phần) trong chương trình GDQP&AN trong các trường hợp sau:

- **Miễn học và miễn thi học phần/nội dung**: sinh viên có giấy xác nhận kết quả học tập các học phần hoặc nội dung đó đạt từ **5 điểm trở lên** theo thang điểm 10.
- **Miễn học các nội dung thực hành kỹ năng quân sự**:
  - Sinh viên là người khuyết tật (có giấy xác nhận khuyết tật).
  - Sinh viên không đủ sức khỏe về thể lực hoặc mắc bệnh thuộc diện miễn làm nghĩa vụ quân sự.
  - Sinh viên đã hoàn thành nghĩa vụ quân sự hoặc công an nhân dân.

Ngoài ra, nếu có chứng chỉ GDQP&AN tương ứng, sinh viên có thể xin miễn toàn bộ môn học (theo khoản 1b). Thủ tục và mẫu đơn xin miễn GDQP-AN có thể tham khảo [tại đây](https://docs.google.com/document/d/1ubhKJQtnzYFwZwI1q5uSXIywiMx1ACBT/edit?usp=sharing&ouid=101159646455627822179&rtpof=true&sd=true).","f8a15b5a-4da9-49dc-a892-e25e30f955b6,84073f1e-03d5-4af1-8e92-b27177ccb8d9,9ebee123-3237-4f37-9512-c8adaa6eb6e4",rag_v2,rag,3,40491.89,True,good,grounded,complete,"Câu trả lời đúng trọng tâm, dựa chính xác vào ngữ cảnh về các điều kiện miễn học một số học phần GDQP&AN (khoản 2,3 Điều 4), cung cấp đầy đủ các trường hợp và không bịa đặt thông tin.",correct,Câu trả lời được tạo ra bao hàm đầy đủ thông tin của câu trả lời tham khảo và cung cấp thêm các trường hợp miễn học khác một cách chính xác theo quy định.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
