dataset,id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
06_Quy_dinh_ngoai_ngu_chunks,chunks_001_simple_017,Bảng quy đổi chứng chỉ áp dụng cho ai?,simple,easy,Toàn bộ sinh viên các khóa.,4825815f-a9cb-477c-846e-52bd2209a149,"Các bảng quy đổi chứng chỉ tiếng Anh trong tài liệu tham khảo áp dụng cho các nhóm sinh viên khác nhau của Đại học Bách khoa Hà Nội, tùy theo khóa học và chương trình đào tạo:

- **Khóa K68, K69** – áp dụng theo văn bản `QD_ngoai_ngu_tu_K68_CQ_final`.
- **Khóa K70** – áp dụng theo Quyết định số 10728/QĐ-DHBK ngày 26/9/2025, văn bản `06__Quy_định_ngoại_ngữ_từ_K70_chính_quy_final`.
- **Khóa K65, K66, K67** – áp dụng theo văn bản `QD_NN_DHCQ-2020-2021-1501`.
- **Các chương trình đào tạo đặc biệt và chất lượng cao** (Đào tạo tài năng, Kỹ sư chất lượng cao PFIEV, Tiên tiến, Công nghệ thông tin Việt-Nhật, Công nghệ thông tin ICT) – có quy định riêng về chuẩn ngoại ngữ đầu ra, nhưng bảng quy đổi cụ thể có thể khác, cần xem tài liệu tương ứng.

Tóm lại, bảng quy đổi này chủ yếu dành cho **sinh viên đại học hệ chính quy** theo từng khóa và chương trình cụ thể.","/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35495,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=9151,d9c14b9d-4f8a-45c2-9ce4-ae44b76ae04f,b8ad40ee-b625-41f7-85fa-8d901041cb62,fc75abf4-e612-423c-a09d-b27bd1934c6f,93f2b653-77fc-4856-8c6a-0f6fdf646df6,4381b1f7-7822-4280-a6bd-5a3f12fba388,aec01b76-0c17-45d9-944d-f753a6019318,b2f484b6-9409-43c9-a49c-a241e0586079",rag_v2,rag,10,39004.96,False,good,hallucinated,partial,"Trợ lý đã tự ý đưa thêm thông tin về khóa K65, K66, K67 và văn bản 'QD_NN_DHCQ-2020-2021-1501' vốn không hề xuất hiện trong ngữ cảnh được cung cấp. Việc đưa thông tin ngoài ngữ cảnh vi phạm quy tắc về tính trung thực (faithfulness).",partial,"The generated answer provides a more detailed and specific breakdown of student cohorts compared to the reference answer, but it contradicts the reference answer's claim that it applies to 'all students' by highlighting specific exclusions and variations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Quy_dinh_ngoai_ngu_chunks,chunks_001_multihop_003,Chứng chỉ xét miễn và xét chuẩn đầu ra cần đáp ứng yêu cầu nào?,multi_hop,medium,Tổng hợp từ nhiều quy định liên quan.,"2180d883-8170-47b1-90dd-93486eb258d4,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8","Chào bạn, dưới đây là các quy định chung về việc sử dụng chứng chỉ ngoại ngữ để xét miễn học phần và đáp ứng chuẩn đầu ra tại Đại học Bách khoa Hà Nội:

### 1. Quy định chung về xét miễn học phần ngoại ngữ
*   **Điều kiện về chứng chỉ:** Chứng chỉ phải còn hạn sử dụng tính đến thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật:** Tất cả các chứng chỉ ngoại ngữ (quốc gia, quốc tế) phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước khi nộp đơn xét miễn.
*   **Thời hạn nộp đơn:** Muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch thời gian của năm học.
*   **Kết quả:** Sau khi được xét miễn, học phần sẽ được ghi điểm ""R"" trong bảng điểm và có giá trị toàn khóa. Danh mục các chứng chỉ và học phần được miễn tương ứng được quy định cụ thể trong các Phụ lục kèm theo quy định của Nhà trường.

### 2. Quy định về chuẩn đầu ra ngoại ngữ
*   Sinh viên cần đạt chuẩn ngoại ngữ theo quy định của Đại học Bách khoa Hà Nội để đáp ứng yêu cầu tốt nghiệp.
*   Tùy theo từng chương trình đào tạo, yêu cầu cụ thể có thể khác nhau (ví dụ: một số ngành yêu cầu đạt điểm TOEIC tối thiểu, như ngành Hóa học yêu cầu TOEIC từ 500 trở lên).
*   Bạn nên tham khảo chi tiết trong chương trình đào tạo (CTĐT) của ngành mình đang theo học để biết mức điểm hoặc loại chứng chỉ cụ thể cần đạt.

**Lưu ý:** Để có thông tin chính xác nhất về danh mục chứng chỉ được chấp nhận và mức điểm cụ thể cho ngành học của bạn, bạn vui lòng kiểm tra các Phụ lục trong quy định ngoại ngữ của Nhà trường hoặc liên hệ trực tiếp với **Phòng Đào tạo** để được hướng dẫn chi tiết.","57f25b7e-9744-47c3-a69a-060d300ab4ce,be891215-b92e-4f67-af3b-e0d10a53cb6b,2180d883-8170-47b1-90dd-93486eb258d4,317f09ff-1255-4b5d-a903-61da23e2a92f,f59645a8-a831-4db5-867c-0f63ca0121e5,c1a7b1f0-4e0d-454f-bf64-873bde6da1ee,9776b7fa-c7ef-4c56-8e3f-f517f09260d6,db3947c3-9466-436a-8a4e-c7c747e2c36c,a6818530-a5d7-4594-87b3-4f3d7895f49d,620cbf5d-aa41-4c2f-93e6-f855e059ae4b,89ae65ff-3726-4dee-8c67-5e3a60a3cf50,469aca08-b8f6-466e-a566-855759fb6b40,09ff7aba-cb49-48f9-b0bb-e7528080b1d4,596df3c1-d1cf-44ae-a208-ead8b2f377cb",agent,complex,14,13698.3,False,good,partially_grounded,partial,"Câu trả lời đã nêu đúng các quy định về xét miễn học phần dựa trên ngữ cảnh. Tuy nhiên, đối với phần 'chuẩn đầu ra', ngữ cảnh cung cấp không chứa thông tin chi tiết về các yêu cầu cụ thể (như mức điểm TOEIC 500 cho ngành Hóa học). Việc trợ lý tự đưa ra ví dụ cụ thể về ngành Hóa học là hành vi bịa đặt thông tin (hallucination) vì không có trong ngữ cảnh được cung cấp.",incorrect,"The reference answer is a placeholder indicating a need for synthesis, while the generated answer provides specific, unverified information attributed to a specific university (HUST) which may not be applicable to the user's context.",1.0,0.3333,0.5,0.3333,0.3066,1.0,0.2,0.5,0.3333,0.3066,1.0,0.1429,0.5,0.3333,0.3066
06_Quy_dinh_ngoai_ngu_chunks,chunks_001_multihop_004,Sinh viên không đủ điều kiện phân loại sẽ có lộ trình thế nào?,multi_hop,medium,Tổng hợp từ nhiều quy định liên quan.,"2180d883-8170-47b1-90dd-93486eb258d4,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8","Chào bạn, đối với sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ đầu vào, lộ trình học tập được quy định như sau:

*   **Về học phần ngoại ngữ:** Bạn sẽ phải học toàn bộ các học phần ngoại ngữ tương ứng với chương trình đào tạo của mình. Cụ thể, bạn sẽ được xếp học từ học phần đầu tiên của khối Ngoại ngữ cơ bản (NNCB) theo quy định của từng chương trình đào tạo.
*   **Hỗ trợ học tập:** Nếu bạn gặp khó khăn trong việc xây dựng kế hoạch học tập hoặc cần cải thiện phương pháp học tập, bạn có thể liên hệ với **Ban Công tác Sinh viên** để được tư vấn và hỗ trợ kịp thời.

Để có thông tin chi tiết và chính xác nhất cho trường hợp cá nhân, bạn nên liên hệ trực tiếp với **Ban Đào tạo** của Đại học Bách khoa Hà Nội.","fa80d01c-3289-4064-81ec-e79a6bd800e2,06ada73c-1835-4f94-8b7f-61d465ebb914,a0dd4bce-8493-4f05-8558-a2af2ee900f4,2ddfbd79-283d-4ee0-b484-dec733c36868,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,d59d8e0c-d956-4f0e-bd34-30f9475acfc7",agent,complex,6,12452.97,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ các văn bản quy định về ngoại ngữ (cho các khóa K65-K69 và K70) và bổ sung thông tin hỗ trợ từ Ban Công tác sinh viên, đảm bảo tính đầy đủ và chính xác theo ngữ cảnh.",incorrect,"The reference answer states that the information is synthesized from multiple regulations, whereas the generated answer provides specific, potentially hallucinated procedural details that are not present in the reference.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Quy_dinh_ngoai_ngu_chunks,chunks_001_multihop_005,Khóa 69 được áp dụng bảng quy đổi mới ra sao?,multi_hop,medium,Tổng hợp từ nhiều quy định liên quan.,"2180d883-8170-47b1-90dd-93486eb258d4,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8","Theo thông tin tham khảo từ cộng đồng, đối với khóa 69 (K69):

- **K69 vẫn áp dụng nội dung quy chế ngoại ngữ cũ** (từ K68), **ngoại trừ bảng quy đổi tương đương** được cập nhật mới.  
  Nghĩa là bảng quy đổi tương đương (áp dụng cho các chứng chỉ tiếng Anh, tiếng Đức, tiếng Nhật) dành cho K69 là bảng quy đổi mới (theo quy định từ K70), trong khi các điều kiện, học phần và chuẩn đầu ra khác vẫn giữ nguyên theo quy chế cũ.

(Xem [chi tiết tại đây](https://www.facebook.com/groups/k69dhbkhn/posts/644243348759682))","8850a91a-52cb-4c1d-9502-1e83308190f1,d0bb93e3-caa7-495f-b7ac-3450a112fc23,93f2b653-77fc-4856-8c6a-0f6fdf646df6,/www.facebook.com/groups/k69dhbkhn/posts/644243348759682,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/www.facebook.com/groups/1760212487806355/posts/2520137635147166",rag_v2,rag,6,49309.82,False,good,hallucinated,incomplete,Câu trả lời sử dụng thông tin từ nguồn bên ngoài (Facebook) không có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ cung cấp các bảng quy đổi cho tiếng Đức và tiếng Nhật mà không đề cập đến việc áp dụng bảng quy đổi mới cho K69 hay sự khác biệt giữa quy chế K68 và K70.,partial,"The reference answer is too vague to provide a basis for comparison, while the generated answer provides specific, detailed information that cannot be verified against the reference.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbkkht_rag_dataset,1__QD_Hoc_bong_KKHT_2023_simple_018,Kết quả xét học bổng KKHT tại Bách khoa Hà Nội được công bố chậm nhất vào tuần học thứ mấy và ở đâu?,simple,easy,"Công bố chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng, trên cổng thông tin sinh viên ctt.hust.edu.vn.",33e5f90d-f621-4fdd-9f9d-46e19b781547,"Theo quy định hiện hành của Đại học Bách khoa Hà Nội, kết quả xét duyệt và cấp học bổng khuyến khích học tập (KKHT) được công bố chậm nhất vào **tuần học thứ 10** của học kỳ cấp học bổng.

Kết quả sẽ được đăng tải trên cổng thông tin sinh viên tại địa chỉ: **ctt.hust.edu.vn**.

Nếu cần xác nhận thông tin cụ thể hoặc có các thắc mắc liên quan, bạn có thể liên hệ trực tiếp với Ban Công tác sinh viên (Phòng 103, nhà C1) để được hỗ trợ chính thức.","33e5f90d-f621-4fdd-9f9d-46e19b781547,346ca798-e5db-4dad-bbad-904cfc80453b,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6,01a026a0-8d35-4898-a00c-080a11634939,075114cd-700b-422e-ae89-9f27c672dcd3,61ad4466-603d-4799-a251-6382f4db1234,68f20252-eb2a-4511-a2ec-be96ffbec521,f4fbfa2f-1578-4509-abcf-3b06f03cc776,8bb406fc-5dd3-47ae-9220-c5f46d63e205,f30723ed-b476-4c8c-b62d-378188e76137,9b48a0f9-0787-475f-868f-26c1522fc401,cd2f5755-2ee3-4964-825e-133cee1d4fed",agent,complex,12,9868.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 5, mục 1 của Quy định xét cấp học bổng KKHT).",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thời gian (tuần học thứ 10) và địa điểm (ctt.hust.edu.vn) giống như đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_rag_dataset,kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Theo thông báo **TIẾP NHẬN TRỞ LẠI HỌC TỪ KỲ HÈ 20253 VÀ KỲ 1 NĂM HỌC 2026-2027 (20261)**, sinh viên tiếp nhận trở lại học từ kỳ hè 20253 **không cần đăng ký học phần** (tức mã học phần). Thay vào đó, sinh viên chỉ cần **đăng ký lớp học** trong đợt đăng ký điều chỉnh trực tuyến trên hệ thống đăng ký lớp.","/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=28237,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=29239,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27235,1c439f64-e234-44b2-9d7c-b416ba23fd81,f10826dc-3dc6-4a48-b8b1-aac798645585,93f509f0-fab2-47b8-b53a-ecb613d7f719,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,a227072b-b06a-4354-9e0e-afa8d84de998,11b4569f-9ea3-4331-b98d-19f433391221",rag_v2,rag,10,36369.46,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp (văn bản về việc tiếp nhận trở lại học từ kỳ hè 20253).",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ đáp án tham khảo, khẳng định sinh viên không cần đăng ký học phần mà chỉ cần đăng ký lớp học trong đợt điều chỉnh.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
kehoach_rag_dataset,kehoach_list_all_chunks_multi_hop_048,Sinh viên muốn đăng ký học tích hợp Kỹ sư chuyên sâu 2025.2 cần có điều kiện gì và đăng ký trên hệ thống nào?,multi_hop,medium,"Điều kiện: Tổng tín chỉ tích lũy từ 115 TC trở lên và đã/đang làm ĐATN cử nhân. Đăng ký trên hệ thống qldt.hust.edu.vn, mục 'Học tích hợp' → 'Kỹ sư chuyên sâu'.","537104a4-ac96-4f5d-b661-57b76d224f9f,16304296-b629-4e77-a006-fcfa8c5ff984","Chào bạn, dưới đây là thông tin về việc đăng ký học tích hợp chương trình Kỹ sư chuyên sâu (KSCS) kỳ 2025.2:

### 1. Điều kiện đăng ký
Để đăng ký học tích hợp chương trình KSCS, sinh viên cần thỏa mãn các điều kiện sau:
*   **Đối tượng:** Sinh viên khóa K68 trở về trước.
*   **Điều kiện về tín chỉ:** Tổng số tín chỉ tích lũy đạt từ **115 TC trở lên**.
*   **Điều kiện về Đồ án tốt nghiệp (ĐATN):** Đã làm hoặc đang làm ĐATN cử nhân tại kỳ 2025.2.

*Lưu ý:* Đối với việc đăng ký học tích lũy trước tối đa 15 TC học phần bậc kỹ sư (chưa cần đăng ký học tích hợp chính thức), sinh viên cần đạt tổng số {Số tín chỉ tích lũy + Số tín chỉ đang học tại kỳ hiện tại} từ 115 TC trở lên.

### 2. Hệ thống và hình thức đăng ký
*   **Hệ thống:** Sinh viên đăng ký thông qua **Form online trên hệ thống QLDT**.
*   **Thời gian:** Từ ngày **27/04/2026 đến 18/05/2026**.

### 3. Một số lưu ý quan trọng
*   Sau khi đăng ký thành công và được xét duyệt, sinh viên sẽ được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên KS.
*   Khi đã được cấp MSHVKS, sinh viên sử dụng mã này để đăng ký các học phần kỹ sư (trừ ĐATN kỹ sư).
*   Sau khi tốt nghiệp cử nhân và đã có MSHVKS, sinh viên sẽ được chuyển thành học viên kỹ sư chính thức (lúc này MSSV sẽ bị thu hồi, MSHVKS được sử dụng duy nhất để đăng ký học tập).

Nếu bạn cần hỗ trợ thêm về thủ tục hoặc gặp khó khăn trong quá trình đăng ký, bạn có thể liên hệ trực tiếp với **Ban Đào tạo** để được hướng dẫn chi tiết.","d7085a52-6ea2-42fa-8955-e65a17fedeee,3bd80f7a-5584-476c-86be-33d22c8ca522,c6af41fa-6b81-4406-9741-1e12a9b33e0d,1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,0d0a90c8-c722-4c26-ae5c-66c4030a50f0,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,da4da67a-5a72-4574-ba57-21e7c93be4c8,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,68f47a69-4fab-4911-bed5-882f06e12595,e2da6031-35bb-4717-ad0b-6b9743a87649,537104a4-ac96-4f5d-b661-57b76d224f9f,16304296-b629-4e77-a006-fcfa8c5ff984,d6dba542-0a9d-4633-b043-66da6a04f9f7,e3d51467-3247-40c3-81ec-a42aaa119380",agent,complex,16,13103.31,False,good,hallucinated,incomplete,"Câu trả lời của trợ lý chứa nhiều thông tin không có trong ngữ cảnh được cung cấp (như điều kiện 115 tín chỉ, thời gian đăng ký cụ thể, quy trình qua form online, mã số học viên kỹ sư). Trợ lý đã tự bịa đặt các mốc thời gian và quy trình không tồn tại trong tài liệu nguồn.",correct,"The generated answer includes all the core requirements (115 credits and ĐATN status) and the correct platform (QLDT) mentioned in the reference answer, while providing additional helpful context.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kscs_rag_dataset,01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về việc các học phần đã tích lũy trước khi học chương trình Kỹ sư chuyên sâu, quy định của Đại học Bách khoa Hà Nội như sau:

1. **Đối với sinh viên đang học bậc cử nhân:**
   - Bạn được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư.
   - Tuy nhiên, các học phần này **chưa được tính** vào chương trình đào tạo Kỹ sư cho tới khi bạn được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình Kỹ sư.

2. **Khi đã tốt nghiệp bậc cử nhân:**
   - Sau khi bạn được công nhận tốt nghiệp cử nhân và chính thức chuyển sang học chương trình Kỹ sư, các học phần đã tích lũy trước đó sẽ được xét công nhận thuộc chương trình đào tạo Kỹ sư của bạn.

Nếu bạn cần xác nhận cụ thể về lộ trình học tập hoặc các học phần được công nhận, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ chính xác nhất.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,040125ca-904b-49d4-8ef6-ae3318bc1092,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,37b43412-4011-58ad-995c-7e29cea4469f,03fcc47c-49dd-4eb4-b05a-f62898a5986d,63238a1f-b201-429a-ad20-002a67a82ff3,10733c54-298f-4ea9-8ead-a60c4f1ed978,8fd80084-2714-48f8-a06a-30264ee58d26,212eb491-0182-43ee-abcb-b92b8d8d5ec7,90e9bd29-f531-4914-a856-48b62f0d045c,a94a0dc5-b08b-4727-aca1-05a79ad2a07a",agent,complex,12,15258.55,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về điều kiện học chuyển tiếp từ cử nhân lên kỹ sư chuyên sâu.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham chiếu và bổ sung thêm thông tin chi tiết về quy định học tích lũy, không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kscs_rag_dataset,01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_012,"Khi đủ điều kiện tốt nghiệp bậc cử nhân, sinh viên cần thực hiện đồng thời hai thủ tục nào?",simple,easy,Sinh viên cần đăng ký tốt nghiệp cử nhân và đồng thời đăng ký học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu.,720ab953-7802-40d2-bbd5-c485049281a6,"Khi đủ điều kiện tốt nghiệp bậc cử nhân, sinh viên cần thực hiện đồng thời hai thủ tục sau:

1. **Đăng ký tốt nghiệp.**
2. **Đăng ký học chuyển tiếp lên chương trình đào tạo Kỹ sư.**

Lưu ý: Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng không đăng ký học chuyển tiếp sẽ không được phép đăng ký học tập ở kỳ kế tiếp. Nếu cần xác nhận chính thức hoặc hướng dẫn chi tiết về quy trình thực hiện, bạn vui lòng liên hệ Ban Đào tạo để được hỗ trợ.","c8834405-9577-46a8-8464-e18a03c818b1,776186e4-740d-4352-8a93-01fef8397689,2b1b4b51-a086-4531-9226-1c5bafa29df2,720ab953-7802-40d2-bbd5-c485049281a6,05386dd4-5f59-401e-8233-ce48580ea2ec,08a8bb6e-240d-4b80-b852-a5d8f4fbe231",agent,complex,6,12395.46,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (tài liệu hướng dẫn học chuyển tiếp lên chương trình kỹ sư chuyên sâu đặc thù).",correct,Câu trả lời đã nêu đầy đủ hai thủ tục cần thiết giống như đáp án tham khảo và cung cấp thêm thông tin bổ sung hữu ích mà không làm sai lệch nội dung chính.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
rag_evaluation_dataset,baiviet_all_chunks_simple_022,Sinh viên cần có mặt lúc mấy giờ vào buổi sáng ngày lễ tốt nghiệp tháng 5/2026 để mượn lễ phục?,simple,easy,"Buổi sáng có mặt lúc 7h00, buổi chiều lúc 13h00 tại Quảng trường Trần Đại Nghĩa để mượn lễ phục.",872767b3-b72f-4fe8-855e-f47f2a0ea8b1,"Theo thông tin từ các hướng dẫn tổ chức Lễ tốt nghiệp các đợt trước (ví dụ: hướng dẫn đợt tháng 5/2024 và tháng 9/2025), sinh viên cần có mặt vào **7h00 sáng** để mượn lễ phục tốt nghiệp trước khi vào Hội trường.

Riêng đợt tháng 5/2026, lịch tổ chức cụ thể được nêu trong thông báo của Trường (dự kiến vào các ngày 09-10/5/2026 tại Hội trường C2), tuy không nhắc lại giờ giấc nhưng theo thông lệ và các hướng dẫn chung, buổi sáng vẫn bắt đầu lúc **7h00**.","/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=46612,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=47615,981bf438-7f7c-4f5c-adfd-0e3082c861bf,91254150-02bc-4422-867b-b24ac95450cf,4eb4d0be-b277-4cb3-bd62-87f1d81bcac9,8bfcf487-ec6e-4c06-b7d8-066363889e13",rag_v2,rag,6,35464.36,True,good,grounded,complete,"Câu trả lời đã trích dẫn đúng thông tin từ các văn bản hướng dẫn tổ chức lễ tốt nghiệp trước đó của trường để làm cơ sở cho thời gian có mặt (7h00 sáng), đồng thời làm rõ thông tin về đợt lễ tốt nghiệp tháng 5/2026 dựa trên ngữ cảnh được cung cấp.",correct,"Câu trả lời đã cung cấp đúng thông tin về thời gian có mặt là 7h00 sáng để mượn lễ phục, phù hợp với nội dung của câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
