id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_001,Quyết định 5777/QĐ-ĐHBK về quản lý sinh viên nước ngoài tại Đại học Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 18 tháng 7 năm 2023.,56b2f15f-466c-40f3-9ec2-b29c81b15872,Quyết định 5777/QĐ-ĐHBK được ban hành vào ngày **18 tháng 7 năm 2023**.,"56b2f15f-466c-40f3-9ec2-b29c81b15872,ea86d08d-0051-4f6f-a93e-3a2983ccc1c8,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,5,12476.21,True,good,grounded,complete,Câu trả lời cung cấp chính xác ngày ban hành 18/7/2023 dựa trên thông tin trong ngữ cảnh (địa danh và số hiệu quyết định).,correct,"Câu trả lời đã cung cấp chính xác ngày, tháng, năm ban hành quyết định như trong đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_002,Lưu học sinh Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học Bách khoa Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.",07c0b91d-2e67-46fa-89d7-313c05fd4a6d,"Theo tài liệu ""Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội"", **Lưu học sinh Hiệp định** là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại ĐHBK Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1,44f35944-3bf7-4ddb-84fc-e1570e33919f",rag_v2,rag,6,23698.92,True,good,grounded,complete,"Câu trả lời trích dẫn đúng định nghĩa từ ngữ cảnh, phù hợp câu hỏi, không bịa đặt và đầy đủ thông tin hiện có.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ câu trả lời tham chiếu và bổ sung thêm nguồn dẫn chứng hợp lý.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_003,Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, **Lưu học sinh ngoài Hiệp định** là:

- Sinh viên nước ngoài được tiếp nhận học tập **dài hạn** hoặc **học tích lũy tín chỉ** (từ 1 học kỳ trở lên) tại ĐHBK Hà Nội.
- Cơ sở tiếp nhận: theo **thỏa thuận, hợp đồng đào tạo** ký kết giữa ĐHBK Hà Nội với **cá nhân sinh viên** hoặc các **tổ chức, cá nhân gửi đào tạo, tài trợ học bổng** cho sinh viên.","8fbc8520-f66a-4849-a64e-b3e5086459f2,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,6763c7e6-e904-4a63-b6cd-6d8501577078,f724ba64-2b4e-4d8f-a8c0-26fd38e480da",rag_v2,rag,6,30787.8,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác định nghĩa về Lưu học sinh ngoài Hiệp định từ ngữ cảnh, bao gồm đầy đủ các yếu tố: đối tượng, hình thức học tập và cơ sở tiếp nhận. Không có thông tin bịa đặt hay thiếu sót.",correct,"Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu, chỉ thay đổi cách trình bày bằng dấu gạch đầu dòng để dễ đọc hơn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_004,Lưu học sinh trao đổi tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của Đại học Bách khoa Hà Nội hoặc các đơn vị thuộc/trực thuộc.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, **Lưu học sinh trao đổi** là:

- Người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của ĐHBK Hà Nội hoặc các đơn vị thuộc/trực thuộc ĐHBK Hà Nội.","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2,rag,5,24311.37,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác định nghĩa từ ngữ cảnh, đầy đủ và phù hợp với câu hỏi.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_005,Hồ sơ quản lý lưu học sinh học tập dài hạn tại Đại học Bách khoa Hà Nội cần có những giấy tờ gì?,simple,easy,"Gồm: lý lịch tóm tắt có dán ảnh (1 bản); quyết định tiếp nhận của Đại học (1 bản); bản sao hộ chiếu có thị thực nhập cảnh còn thời hạn (1 bản); bản sao bảo hiểm y tế còn hiệu lực; ảnh 4x6cm chụp không quá 6 tháng (4 ảnh); các văn bản, quyết định liên quan (nếu có).",8502405d-fb25-42ca-9d31-770bc2d5e0a4,"Theo **Điều 2. Hồ sơ quản lý lưu học sinh** (Chương I – Quy định chung), hồ sơ của lưu học sinh (LHS) học tập dài hạn hoặc học tích lũy tín chỉ tại Đại học Bách khoa Hà Nội bao gồm các giấy tờ sau:

- **Lý lịch tóm tắt có dán ảnh** (theo mẫu): **1 bản**
- **Quyết định tiếp nhận của ĐHBK Hà Nội**: **1 bản**
- **Bản sao hộ chiếu** có thị thực nhập cảnh Việt Nam còn thời hạn: **1 bản**
- **Bản sao bảo hiểm y tế** có giá trị trong thời hạn LHS thực hiện trao đổi tại ĐHBK Hà Nội
- **Ảnh cỡ 4×6 cm** (chụp không quá 6 tháng tính đến ngày nộp hồ sơ): **4 ảnh**
- **Các văn bản, quyết định liên quan trực tiếp đến LHS** (nếu có) trong quá trình học tập tại ĐHBK Hà Nội

> Hồ sơ có thể nộp bằng tiếng Việt hoặc tiếng Anh. Riêng LHS trao đổi (ngắn hạn) có thành phần hồ sơ khác, không áp dụng danh sách trên.","/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/ts.hust.edu.vn/tin-tuc/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2026,/sdh.hust.edu.vn/Default.aspx?scid=23&CategoryID=130,8502405d-fb25-42ca-9d31-770bc2d5e0a4,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,6,34541.88,True,good,grounded,complete,"Câu trả lời liệt kê chính xác và đầy đủ các giấy tờ trong hồ sơ lưu học sinh học tập dài hạn theo Điều 2 của ngữ cảnh được cung cấp, không thêm thông tin sai lệch.",correct,Câu trả lời được tạo ra đã bao gồm đầy đủ các thành phần hồ sơ như trong đáp án tham khảo và trình bày rõ ràng hơn.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_006,Lưu học sinh tại Đại học Bách khoa Hà Nội có được xét cấp học bổng không?,simple,easy,"Có, lưu học sinh được xét/đăng ký xét cấp các loại học bổng dành cho sinh viên Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo Điều 3, khoản 8 của Quy định đối với lưu học sinh, **lưu học sinh tại Đại học Bách khoa Hà Nội được xét/đăng ký xét cấp các loại học bổng dành cho sinh viên ĐHBK Hà Nội**. 

Tuy nhiên, việc xét cấp cụ thể (ví dụ học bổng khuyến khích học tập) còn phụ thuộc vào các điều kiện riêng của từng loại học bổng (ví dụ: không thuộc trường hợp học chương trình do đối tác nước ngoài cấp bằng duy nhất, đăng ký đủ tín chỉ, không bị kỷ luật...).","40828341-95ce-4b09-b4aa-6a90ba4643b1,eb93021c-c166-41d3-8ce2-7bab03c2cbef,01a026a0-8d35-4898-a00c-080a11634939,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,51697373-bff8-4e3d-b4b7-0445464c1e79,0b8da89f-51d2-48ec-9752-ade4b2dd1456,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6",rag_v2,rag,7,38031.05,True,good,grounded,complete,"Câu trả lời trích dẫn đúng Điều 3 khoản 8 trong ngữ cảnh, xác nhận lưu học sinh được xét cấp học bổng, và bổ sung các điều kiện từ Điều 4 (cũng trong ngữ cảnh), không bịa đặt, đầy đủ và liên quan.",correct,"Câu trả lời đã khẳng định đúng thông tin như đáp án tham chiếu và bổ sung thêm các chi tiết cụ thể về điều kiện xét duyệt, giúp thông tin đầy đủ và chính xác hơn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_007,Lưu học sinh tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục gì liên quan đến thị thực nhập cảnh?,simple,easy,"Được hỗ trợ làm các thủ tục cấp, gia hạn, thay đổi thị thực nhập cảnh phù hợp với kế hoạch học tập tại Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo tài liệu tham khảo, lưu học sinh (LHS) tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục sau liên quan đến thị thực nhập cảnh:

- **Cấp, gia hạn hoặc thay đổi thị thực nhập cảnh** phù hợp với kế hoạch học tập (Điều 3, khoản 7).
- **Hỗ trợ làm thủ tục**: LHS chuẩn bị hồ sơ theo mẫu quy định và gửi đến:
  - Phòng/Ban chức năng **Công tác sinh viên** (đối với LHS Hiệp định và LHS ngoài Hiệp định).
  - Phòng/Ban chức năng **Hợp tác đối ngoại** (đối với LHS trao đổi).  
  (Điều 6, khoản 2)

LHS phải tự trả lệ phí cấp, gia hạn/thay đổi thị thực theo quy định của Nhà nước Việt Nam (Điều 6, khoản 4).","40828341-95ce-4b09-b4aa-6a90ba4643b1,7b92ab2b-5cc3-4278-8e44-abc1733a4c13,8502405d-fb25-42ca-9d31-770bc2d5e0a4,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,44f35944-3bf7-4ddb-84fc-e1570e33919f,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,7,24109.93,True,good,grounded,complete,"Câu trả lời trích dẫn đúng thông tin từ ngữ cảnh về hỗ trợ cấp/gia hạn/thay đổi thị thực nhập cảnh, nơi nộp hồ sơ và lệ phí, không bịa đặt, trả lời đầy đủ câu hỏi.",correct,The generated answer includes all the information from the reference answer while providing additional relevant details regarding the procedure and responsibilities.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_008,Tập thể lưu học sinh cùng một nước tại Đại học Bách khoa Hà Nội có thể chọn ai để làm đầu mối liên hệ với Đại học?,simple,easy,Tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.,40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo Điều 3, khoản 3 trong tài liệu về Quyền lợi của lưu học sinh, tập thể lưu học sinh cùng một nước được cử **đại diện** làm đầu mối liên hệ với Đại học Bách khoa Hà Nội để giải quyết những việc có liên quan đến tập thể.","40828341-95ce-4b09-b4aa-6a90ba4643b1,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,3,24042.97,True,good,grounded,complete,"Câu trả lời dựa đúng vào ngữ cảnh (Điều 3 khoản 3), trả lời chính xác câu hỏi về việc tập thể lưu học sinh cùng nước cử đại diện làm đầu mối liên hệ.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính từ đáp án tham khảo và bổ sung thêm nguồn dẫn chứng cụ thể.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_009,Lưu học sinh tại Đại học Bách khoa Hà Nội có bắt buộc phải có bảo hiểm y tế không và cần đăng ký khám chữa bệnh ở đâu?,simple,easy,"Có, lưu học sinh bắt buộc phải có bảo hiểm y tế và đăng ký khám, chữa bệnh tại một trong các bệnh viện tại Hà Nội hoặc Trung tâm Y tế của Đại học Bách khoa Hà Nội trong toàn bộ quá trình học tập.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Có, theo Điều 4 khoản 7 của Quy chế quản lý lưu học sinh, lưu học sinh tại Đại học Bách khoa Hà Nội **bắt buộc phải có bảo hiểm y tế** trong toàn bộ quá trình học tập.

Về nơi đăng ký khám, chữa bệnh: lưu học sinh có thể đăng ký tại **một trong các bệnh viện tại Hà Nội** hoặc **Trung tâm Y tế của Đại học Bách khoa Hà Nội** (địa chỉ: số 5 Phố Tạ Quang Bửu, cạnh KTX nhà B10).","44f35944-3bf7-4ddb-84fc-e1570e33919f,496f8813-537b-4893-b751-bdbc59085d37,0e407510-3c1b-4a3c-8008-ef02d280b5a7,e2336e32-5532-4a31-9810-8d086c348eeb,8502405d-fb25-42ca-9d31-770bc2d5e0a4,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2_fallback,rag,6,27225.3,True,good,grounded,complete,"Câu trả lời hoàn toàn dựa trên ngữ cảnh, trả lời đúng và đầy đủ câu hỏi về tính bắt buộc của bảo hiểm y tế và nơi đăng ký khám chữa bệnh cho lưu học sinh tại ĐHBK Hà Nội.",correct,Câu trả lời đã truyền tải đầy đủ các thông tin chính từ đáp án tham khảo và cung cấp thêm thông tin chi tiết về địa chỉ cụ thể mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_010,Lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm gì về việc đóng học phí?,simple,easy,"Phải đóng học phí đầy đủ, đúng hạn theo quy định hiện hành của Đại học Bách khoa Hà Nội đối với lưu học sinh.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Theo Điều 4, khoản 8 của Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, lưu học sinh có trách nhiệm:

- **Đóng học phí đầy đủ, đúng hạn** theo quy định hiện hành của ĐHBK Hà Nội đối với lưu học sinh.","44f35944-3bf7-4ddb-84fc-e1570e33919f,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,f724ba64-2b4e-4d8f-a8c0-26fd38e480da,40828341-95ce-4b09-b4aa-6a90ba4643b1,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,8fbc8520-f66a-4849-a64e-b3e5086459f2",rag_v2,rag,7,20467.02,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác nội dung từ ngữ cảnh (Điều 4, khoản 8) về trách nhiệm đóng học phí của lưu học sinh, hoàn toàn trung thực và đầy đủ.",correct,Câu trả lời được tạo ra đã truyền tải đầy đủ thông tin chính từ câu trả lời tham chiếu và cung cấp thêm thông tin về nguồn quy định một cách chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
