id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy học trên nền tảng công nghệ kết nối và trực tuyến được ban hành vào ngày **29 tháng 6 năm 2021** (theo tài liệu [1] – QUY ĐỊNH Tổ chức hoạt động dạy học... ban hành kèm theo Quyết định số 1515/QĐ-ĐHBK-ĐT).,"4867c8f4-9a82-4d51-9341-47c7bd4e4c77,c7231541-9cfd-40fe-b795-c457f23ea9cd,d78b860f-2174-45c7-927e-4abb7c80cbd0,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,78cf807d-0e3e-4781-a9a1-ce3570f1faf1,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,047b5a56-39e3-45fd-a643-ebe5b8f974b8,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20day%20hoc%20tren%20nen%20tang%20CN%20ket%20noi%20-%20truc%20tuyen.pdf,/www.facebook.com/dhbkhanoi/posts/b%C3%A1ch-khoa-h%C3%A0-n%E1%BB%99i-%C4%91%E1%BB%99t-ph%C3%A1-%C4%91%E1%BB%83-%C4%91%E1%BB%95i-m%E1%BB%9Bi-v%C3%A0-n%C3%A2ng-cao-ch%E1%BA%A5t-l%C6%B0%E1%BB%A3ng-%C4%91%C3%A0o-t%E1%BA%A1otinb%C3%A0i-trong-b/1075037881416728,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=43456",rag_v2,rag,10,33401.85,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác ngày ban hành 29 tháng 6 năm 2021 từ ngữ cảnh, hoàn toàn phù hợp với câu hỏi.",correct,Câu trả lời đã cung cấp chính xác ngày ban hành quyết định theo yêu cầu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_002,Quy định dạy-học trực tuyến tại Bách khoa Hà Nội được áp dụng cho những loại hình đào tạo nào?,simple,easy,Áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ.,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,"Theo Quy định tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến (ban hành kèm Quyết định số 1515/QĐ-ĐHBK-ĐT), văn bản này áp dụng cho **các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ** của Trường Đại học Bách khoa Hà Nội.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,d260b4dc-f8de-4bb5-850d-226941c0b923,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,a8a28e34-df56-4cde-85f8-dabfa212c436,01639421-9da0-41f4-853c-1976160c2896,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,7,29317.64,True,good,grounded,complete,"Câu trả lời đúng, đầy đủ, dựa chính xác vào ngữ cảnh, không có sai sót hay thiếu sót.",correct,"Câu trả lời đã nêu chính xác thông tin về các loại hình đào tạo được áp dụng theo quy định, đồng thời cung cấp thêm thông tin bổ sung chính xác về văn bản quy định.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_003,Dạy-học trực tuyến theo thời gian thực tại Bách khoa Hà Nội ưu tiên sử dụng phần mềm nào?,simple,easy,Ưu tiên Microsoft Teams (MS Teams).,b59db2df-eead-4a9d-9150-b4400e361391,Dạy-học trực tuyến theo thời gian thực tại Đại học Bách khoa Hà Nội ưu tiên sử dụng **Microsoft Teams (MS Teams)**.,"bff9c21a-e42e-4aba-a023-8fb73be20f52,d00d8b97-db4b-464a-823c-979081167e3e,b59db2df-eead-4a9d-9150-b4400e361391,a8ed9ddf-812d-4e3c-bcf9-c5bada7350fb,3255f500-0ecc-4420-80be-a191126bdbf4",rag_v2,rag,5,29006.05,True,good,grounded,complete,"Câu trả lời đúng trọng tâm, khớp với thông tin trong ngữ cảnh rằng Microsoft Teams (MS Teams) là phần mềm ưu tiên cho dạy-học trực tuyến theo thời gian thực tại Đại học Bách khoa Hà Nội.",correct,Câu trả lời đã nêu chính xác phần mềm được ưu tiên sử dụng theo đúng thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_004,"Tại Bách khoa Hà Nội, dạy-học trực tuyến được áp dụng mấy hình thức và tên gọi của từng hình thức là gì?",simple,easy,"Ba hình thức: (a) Dạy-học trực tuyến theo thời gian thực; (b) Dạy-học hỗn hợp (B-Learning); (c) Dạy-học trực tuyến ngoài khung thời khóa biểu để bổ trợ, ôn tập kiến thức.","01639421-9da0-41f4-853c-1976160c2896,5075916e-0bf3-4b35-bad6-a5032d1948c9","Theo Quy định tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến của Trường Đại học Bách khoa Hà Nội (Điều 2), dạy-học trực tuyến được áp dụng **ba hình thức**:

- **Dạy-học trực tuyến theo thời gian thực** – tổ chức đúng khung thời gian trong thời khóa biểu, thực hiện qua phần mềm giảng dạy trực tuyến.
- **Dạy-học hỗn hợp (B-Learning)** – kết hợp dạy-học trực tiếp trên lớp với truyền phát bài giảng điện tử có kiểm soát qua hệ thống LMS.
- **Dạy-học trực tuyến được tổ chức ngoài khung thời gian thời khóa biểu** – nhằm bổ trợ, tổng kết, ôn tập kiến thức.","01639421-9da0-41f4-853c-1976160c2896,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,8694eb8d-09e7-4385-b921-599a7c96d562,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,4,29564.01,True,good,grounded,complete,"Câu trả lời dựa chính xác vào ngữ cảnh, trả lời đúng số lượng và tên gọi 3 hình thức dạy-học trực tuyến tại ĐHBK Hà Nội, không bịa đặt hay thiếu sót.",correct,"Câu trả lời đã nêu chính xác ba hình thức dạy-học trực tuyến tại Bách khoa Hà Nội giống với đáp án tham khảo và cung cấp thêm thông tin giải thích chi tiết, chính xác.",1.0,0.3333,0.5,1.0,0.6131,1.0,0.2,0.5,1.0,0.6131,1.0,0.1429,0.5,1.0,0.6131
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,"Theo thông tin trên Báo Quân đội nhân dân [xem chi tiết](https://www.qdnd.vn/giao-duc-khoa-hoc/cac-van-de/truong-dai-hoc-bach-khoa-ha-noi-trien-khai-phuong-thuc-day-va-hoc-truc-tuyen-651699), dạy-học trực tuyến không được áp dụng cho các lớp/phần kiến thức đặc thù, bao gồm:

- Lớp thí nghiệm
- Lớp thực hành
- Lớp thực tập
- Phần luyện tập của Giáo dục (thể chất/quốc phòng)","0c752539-cb5d-45ab-a4f0-4930315df9e6,55fbb45d-5a41-4b0b-868f-76239ec21945,d00d8b97-db4b-464a-823c-979081167e3e,8ccd3744-993e-4140-b91b-691568856c14,57ead25a-5a79-44a8-9411-26955a1050c2,bff9c21a-e42e-4aba-a023-8fb73be20f52,c00ae769-a899-4f8a-b886-36c24f55841a,/www.qdnd.vn/giao-duc-khoa-hoc/cac-van-de/truong-dai-hoc-bach-khoa-ha-noi-trien-khai-phuong-thuc-day-va-hoc-truc-tuyen-651699,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20day%20hoc%20tren%20nen%20tang%20CN%20ket%20noi%20-%20truc%20tuyen.pdf,/pbgdpl.hanoi.gov.vn/tin-tuc-su-kien/-/asset_publisher/sxBNLsQSLyY8/content/cac-truong-h-o-ha-noi-yeu-cau-sv-khong-roi-noi-cu-tru-hoc-online-sau-tet",rag_v2,rag,10,38299.98,True,good,grounded,complete,"Câu trả lời liệt kê chính xác các loại học phần không áp dụng dạy-học trực tuyến dựa trên ngữ cảnh từ bài báo Quân đội nhân dân (lớp thí nghiệm, thực hành, thực tập, phần luyện tập của Giáo dục).",correct,"Câu trả lời đã nêu đầy đủ các loại học phần không áp dụng dạy-học trực tuyến theo quy định của Bách khoa Hà Nội, bao gồm thí nghiệm, thực hành và thực tập.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_006,Tổng số tín chỉ dạy-học trên LMS của các học phần B-Learning không được vượt quá bao nhiêu phần trăm tổng số tín chỉ của chương trình đào tạo?,simple,easy,Không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.,83d42fb2-ce2f-4afd-aae9-c458efd880a8,"Theo Quy định về dạy-học trực tuyến, Điều 2 khoản 5, tổng số tín chỉ được dạy-học trên LMS của các học phần B-Learning không được vượt quá **30%** tổng số tín chỉ của chương trình đào tạo.","83d42fb2-ce2f-4afd-aae9-c458efd880a8,29e39d41-8258-4b90-a89b-65a96c8d4a60,06c81241-5745-423c-8095-5474e70f29f1,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,4,23431.37,True,good,grounded,complete,"Câu trả lời khớp hoàn toàn với nội dung quy định tại Điều 2 khoản 5, cung cấp đúng con số 30%.",correct,Câu trả lời đã nêu chính xác con số 30% theo yêu cầu của câu hỏi và cung cấp thêm thông tin tham chiếu hợp lệ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_007,Thời lượng kiến thức truyền phát trên LMS trong B-Learning tối đa bằng bao nhiêu phần trăm thời lượng học phần?,simple,easy,Tối đa 70% thời lượng của học phần.,29e39d41-8258-4b90-a89b-65a96c8d4a60,"Thời lượng kiến thức truyền phát trên LMS trong B-Learning tối đa là **70%** thời lượng của học phần (theo Điều 4, Quy định về dạy-học trực tuyến).","29e39d41-8258-4b90-a89b-65a96c8d4a60,83d42fb2-ce2f-4afd-aae9-c458efd880a8,10373bab-6651-47b6-881d-22da9dadfbd8,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,4,22222.87,True,good,grounded,complete,"Câu trả lời đúng với ngữ cảnh, cung cấp chính xác thông tin 70% theo Điều 4.",correct,Câu trả lời đã cung cấp chính xác thông tin về tỷ lệ phần trăm tối đa theo yêu cầu và bổ sung thêm nguồn dẫn chứng hợp lý.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_008,Điểm quá trình có trọng số tối thiểu là bao nhiêu khi tính điểm học phần B-Learning tại Bách khoa?,simple,easy,"Điểm quá trình có trọng số tối thiểu là 0,3 khi tính điểm học phần.",29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo **Điều 4** trong quy định về B-Learning, điểm quá trình có trọng số tối thiểu là **0,3** khi tính điểm học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,2b0fbec5-5367-4be1-bb76-82c39b262de1,05386dd4-5f59-401e-8233-ce48580ea2ec",rag_v2,rag,3,19454.78,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác quy định Điều 4 về B-Learning, nêu đúng trọng số tối thiểu 0,3, không bịa đặt và đầy đủ thông tin cần thiết.",correct,"Câu trả lời đã nêu đúng thông tin về trọng số tối thiểu là 0,3 và bổ sung thêm nguồn tham chiếu hợp lý.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_009,Đối với lớp học phần B-Learning có quy mô từ bao nhiêu người học trở lên phải bố trí trợ lý học tập?,simple,easy,Lớp học phần có quy mô từ 40 người học trở lên phải có tối thiểu một trợ lý học tập.,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo quy định tại Điều 4 (mục 5) của tài liệu, đối với lớp học phần B-Learning có quy mô **từ 40 người học trở lên** thì phải bố trí tối thiểu một (01) trợ lý học tập.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,83d42fb2-ce2f-4afd-aae9-c458efd880a8,69a4a819-6544-4525-b4be-2a2da9691a94",rag_v2,rag,3,19122.99,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác quy định tại Điều 4, mục 5 của ngữ cảnh, nêu đúng ngưỡng 'từ 40 người học trở lên' và đầy đủ thông tin.",correct,Câu trả lời đã nêu chính xác thông tin về quy mô lớp học (từ 40 người trở lên) và yêu cầu về trợ lý học tập tương tự như đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_010,Trợ lý học tập trong B-Learning có thể là đối tượng nào?,simple,easy,"Sinh viên năm cuối, học viên cao học hoặc nghiên cứu sinh.",5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo Điều 4, mục 5 của tài liệu, trợ lý học tập trong B-Learning có thể là:

- **Sinh viên năm cuối**, hoặc
- **Học viên cao học (HVCH)**, hoặc
- **Nghiên cứu sinh (NCS)**.

Các lớp học phần áp dụng B-Learning có quy mô từ **40 người học trở lên** mới bắt buộc bố trí tối thiểu 01 trợ lý học tập.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,ee35346d-2962-4113-b5d4-d43f197379ed,69a4a819-6544-4525-b4be-2a2da9691a94",rag_v2,rag,3,19697.93,True,good,grounded,complete,"Câu trả lời đúng, đầy đủ, dựa chính xác vào ngữ cảnh Điều 4 mục 5 về các đối tượng có thể làm trợ lý học tập trong B-Learning.",correct,Câu trả lời đã nêu đầy đủ các đối tượng theo yêu cầu và bổ sung thêm thông tin quy mô lớp học mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
