id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,simple,easy,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,2180d883-8170-47b1-90dd-93486eb258d4,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản (NNCB) khi đáp ứng các điều kiện sau:

- **Đạt chứng chỉ ngoại ngữ theo quy định:** Trong quá trình học tập, nếu sinh viên có chứng chỉ ngoại ngữ phù hợp (theo danh mục tại Phụ lục kèm theo Quy định), sẽ được xét miễn các học phần NNCB tương ứng với trình độ đạt được. Kết quả miễn được ghi điểm ""R"" trong bảng điểm.
- **Chứng chỉ còn hạn:** Chứng chỉ ngoại ngữ phải còn hiệu lực tính đến thời điểm nộp đơn xét miễn.
- **Thẩm định và cập nhật điểm:** Chứng chỉ quốc tế phải được thẩm định nguồn gốc và cập nhật lên hệ thống quản lý đào tạo trước khi nộp đơn.
- **Nộp đơn đúng hạn:** Thời gian tiếp nhận đơn xét miễn muộn nhất là **2 tuần trước khi bắt đầu học kỳ** (theo Khung kế hoạch năm học hoặc Biểu đồ kế hoạch học tập).

Tóm lại, sinh viên được xét miễn khi có chứng chỉ ngoại ngữ hợp lệ và hoàn thành thủ tục đúng thời hạn quy định.","2180d883-8170-47b1-90dd-93486eb258d4,57f25b7e-9744-47c3-a69a-060d300ab4ce,317f09ff-1255-4b5d-a903-61da23e2a92f,f59645a8-a831-4db5-867c-0f63ca0121e5,87879cb9-d1f4-4f25-8374-48c610d9e60b,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e,be891215-b92e-4f67-af3b-e0d10a53cb6b",rag_v2,rag,7,25375.12,True,good,grounded,complete,"Câu trả lời của trợ lý dựa hoàn toàn vào các điều kiện trong ngữ cảnh (đạt chứng chỉ, chứng chỉ còn hạn, thẩm định và nộp đơn đúng hạn 2 tuần trước học kỳ) và trả lời trực tiếp câu hỏi của người dùng, không bịa đặt hay thiếu sót thông tin quan trọng.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,simple,easy,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.",2180d883-8170-47b1-90dd-93486eb258d4,"Kết quả miễn học các học phần ngoại ngữ cơ bản được ghi nhận bằng **ký hiệu ""R""** (điểm R) trong dữ liệu học tập / bảng điểm của sinh viên. Cụ thể:

- Theo Quy định về công nhận, xét miễn học phần ngoại ngữ cơ bản (khóa K70), Điều 3: kết quả miễn học được ghi bằng ký hiệu **""R""** trong dữ liệu học tập và có giá trị toàn khóa kể từ ngày nhập điểm R.
- Theo Quy định ban hành kèm Quyết định số /QĐ-ĐHBK (áp dụng cho khóa K68, K69), Điều 3: các học phần được miễn sẽ được ghi **điểm R** trong bảng điểm.","/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35494,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=35493,2180d883-8170-47b1-90dd-93486eb258d4,317f09ff-1255-4b5d-a903-61da23e2a92f,31da4b25-270a-49f6-a2a2-a610f558e7c0",rag_v2,rag,6,31584.79,True,good,grounded,complete,Câu trả lời trích dẫn chính xác thông tin từ ngữ cảnh: kết quả miễn học ngoại ngữ cơ bản được ghi bằng ký hiệu 'R' trong bảng điểm. Thông tin phù hợp với cả hai nguồn tài liệu (khóa K70 và K68/K69).,correct,"Generated answer correctly states that the exemption result is recorded with symbol 'R' and has value for the whole course, matching all key facts from the reference.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,"Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong tài liệu hiện có. Các tài liệu tham khảo chỉ đề cập đến việc kiểm tra tiếng Anh đầu khóa, quy đổi chứng chỉ ngoại ngữ và danh mục học phần, nhưng không nêu rõ thời hạn cụ thể cho đơn xin miễn. Bạn có thể tham khảo thêm trên trang Phòng Đào tạo (ctt.hust.edu.vn) hoặc liên hệ trực tiếp để biết chi tiết.","ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,a92ed215-3a64-403f-8073-7c2130b4228d,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,1c439f64-e234-44b2-9d7c-b416ba23fd81,e7eaa2e8-22ae-4e03-b9af-c40a5d5cc24c,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ts.hust.edu.vn/tin-tuc/kiem-tra-tieng-anh-dau-khoa",rag_v2,rag,9,34822.97,True,good,grounded,complete,"Ngữ cảnh không cung cấp thông tin về thời hạn nộp đơn miễn học phần ngoại ngữ cơ bản, trợ lý đã trả lời trung thực và đề xuất tìm kiếm thêm, do đó cần tìm kiếm trên web.",incorrect,"Generated answer states no deadline is found, while the reference specifies a clear deadline of 2 weeks before the semester starts.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",simple,easy,Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Trong hai học kỳ đầu, **Ban Đào tạo** xếp lớp học các học phần ngoại ngữ cơ bản cho sinh viên, dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,14a66cde-ac07-4fcd-b310-76acfd120627,31da4b25-270a-49f6-a2a2-a610f558e7c0,87879cb9-d1f4-4f25-8374-48c610d9e60b,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,29f052b7-36c2-45c4-8400-46c2737d02a9,317f09ff-1255-4b5d-a903-61da23e2a92f",rag_v2,rag,7,21213.53,True,good,grounded,complete,"Câu trả lời của trợ lý trích dẫn chính xác từ ngữ cảnh: trong học kỳ 1 và 2, Ban Đào tạo xếp lớp ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại đầu vào. Đầy đủ, trung thực và liên quan.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,simple,easy,Từ học kỳ 3 trở đi.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Từ **học kỳ 3**, sinh viên tự đăng ký học các học phần ngoại ngữ cơ bản (gọi tắt là NNCB).  

- Theo Điều 4 (tài liệu áp dụng cho khóa K70):  
  - Học kỳ 1 và 2: Ban Đào tạo xếp lớp.  
  - **Từ học kỳ 3 trở đi**: Sinh viên tự đăng ký học song hành các học phần NNCB cùng với các học phần khác trong CTĐT.  

*Lưu ý:* Nếu bạn thuộc khóa K68/K69, quy định cũ có khác biệt nhỏ (học kỳ 3 tự đăng ký học lại các học phần chưa đạt, từ kỳ 4 Ban Đào tạo đăng ký bắt buộc).","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,87879cb9-d1f4-4f25-8374-48c610d9e60b,28a3ac1a-2355-480a-9dd4-a4f2170283c9,317f09ff-1255-4b5d-a903-61da23e2a92f,14a66cde-ac07-4fcd-b310-76acfd120627,740e7a27-9086-41fa-bfe0-d5a156af0e5f,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e",rag_v2,rag,7,31181.92,False,good,hallucinated,partial,"Câu trả lời chính xác về học kỳ 3 dựa trên ngữ cảnh, nhưng thêm thông tin không có trong ngữ cảnh về khóa K68/K69, dẫn đến bịa đặt (hallucination).",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Sinh viên có được hủy học phần NNCB đã đăng ký không?,simple,easy,"Không, trừ khi rút toàn bộ đăng ký học tập.",9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định tại Điều 4, khoản 4 của tài liệu, sinh viên **không được phép hủy** các học phần NNCB đã đăng ký học song hành, ngoại trừ trường hợp xin rút hoặc chủ động rút toàn bộ đăng ký học tập trong học kỳ.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,2180d883-8170-47b1-90dd-93486eb258d4,f59645a8-a831-4db5-867c-0f63ca0121e5,31da4b25-270a-49f6-a2a2-a610f558e7c0",rag_v2_fallback,rag,4,23228.53,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác khoản 4 Điều 4 trong ngữ cảnh, trả lời đúng câu hỏi về việc hủy học phần NNCB đã đăng ký.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,simple,easy,Phải đánh giá đầy đủ 4 kỹ năng.,930e63ee-8533-412a-95ed-967bac30208c,"Theo tài liệu tham khảo, yêu cầu về số kỹ năng của chứng chỉ tiếng Anh xét chuẩn đầu ra phụ thuộc vào khóa học và chương trình đào tạo cụ thể:

- **Khóa K70 (Quy định chung):** Chứng chỉ tiếng Anh phải đánh giá **đầy đủ 4 kỹ năng** nghe, nói, đọc, viết (Điều 5.2).
- **Khóa K68, K69 – chương trình Elitech (tiên tiến, tài năng, hợp tác quốc tế):** Yêu cầu chứng chỉ tiếng Anh quốc tế **4 kỹ năng** hoặc chứng chỉ VSTEP tương đương (Điều 4.4 và Phụ lục 5/6).
- **Khóa K63, K64 – chương trình chuẩn:** Chuẩn đầu ra là điểm TOEIC tối thiểu 500, và theo Phụ lục 2, TOEIC được coi là chứng chỉ **2 kỹ năng** (nghe, đọc) khi xét tốt nghiệp.

Để trả lời chính xác, bạn vui lòng cho biết **khóa học** và **chương trình đào tạo** (ví dụ: K70 chương trình chuẩn, K69 Elitech, …) của mình.","930e63ee-8533-412a-95ed-967bac30208c,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,60d576b6-e055-478d-9181-979c6d4ca7b3,92d8e047-8bb5-4660-93e7-681e3804d5ee,0fc121e1-e9b8-49b1-ae89-f4265ce3087f",rag_v2,rag,7,37120.61,False,partial,hallucinated,partial,"Câu trả lời có thông tin từ ngữ cảnh (yêu cầu 4 kỹ năng cho K70, K68/69) nhưng thêm thông tin về K63, K64 và TOEIC 2 kỹ năng không có trong ngữ cảnh, dẫn đến bịa đặt (hallucination).",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,simple,easy,Trong vòng 2 năm.,930e63ee-8533-412a-95ed-967bac30208c,"Chứng chỉ tiếng Anh xét chuẩn đầu ra phải được cấp trong thời hạn **2 năm** tính đến thời điểm xét và còn hiệu lực tại thời điểm đó.

- Theo tài liệu áp dụng cho khóa K70 (Điều 5.2): *""Chứng chỉ tiếng Anh phải … được cấp trong vòng 2 năm tính đến thời điểm xét chuẩn ngoại ngữ đầu ra và còn hiệu lực tại thời điểm xét.""*
- Theo tài liệu áp dụng cho khóa K68–K69 (Điều 4.4): *""Các chứng chỉ tiếng Anh có giá trị công nhận trong vòng 2 năm kể từ ngày cấp.""*

Các tài liệu khác dành cho các khóa K63, K64 cũng thống nhất: kết quả thi/chứng chỉ tiếng Anh nội bộ hoặc quốc tế có giá trị trong **2 năm** kể từ ngày thi/ngày cấp.","930e63ee-8533-412a-95ed-967bac30208c,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,fb559e62-7fd5-415c-860a-ca19d9c5a5fd",rag_v2,rag,5,29189.41,True,good,grounded,complete,"Câu trả lời đúng với câu hỏi, dựa trên ngữ cảnh cung cấp, không bịa đặt, và đầy đủ thông tin về thời hạn 2 năm.",correct,"The generated answer correctly states that the English certificate must be issued within 2 years, which matches the reference answer's core fact.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_009,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,simple,easy,Được xếp từ học phần đầu tiên của khối NNCB.,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,"Theo tài liệu tham khảo, quy định về việc học dành cho sinh viên không đáp ứng điều kiện phân loại đầu vào có sự khác nhau tùy theo khóa nhập học:

- **Khóa K65, K66, K67:** Sinh viên phải học toàn bộ chương trình ngoại ngữ theo quy định.
- **Khóa K68, K69:** Sinh viên phải học toàn bộ các học phần ngoại ngữ tương ứng với chương trình đào tạo theo lộ trình quy định.
- **Khóa K70:** Sinh viên được xếp học từ học phần đầu tiên của khối NNCB (ngoại ngữ cơ bản) tương ứng của từng chương trình đào tạo.

Vui lòng cho biết **khóa nhập học (K__)** của bạn để tôi trả lời chính xác nhất.","d59d8e0c-d956-4f0e-bd34-30f9475acfc7,2ddfbd79-283d-4ee0-b484-dec733c36868,7f4e79f9-1f86-45fa-ae34-9e4c03934a44",rag_v2_fallback,rag,3,28460.15,True,good,grounded,complete,"Câu trả lời trích xuất chính xác thông tin từ ngữ cảnh cho từng nhóm khóa (K65-K67, K68-K69, K70), phù hợp với câu hỏi, không bịa đặt và đầy đủ.",incorrect,"Parse error: {
  ""match"": ""partial"",
  ""reason"": ""The generated answer provides correct information for K70 (matc",1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
chunks_001_simple_010,Các học phần NNCB có tính vào tín chỉ chính khóa không?,simple,easy,Không tính tín chỉ trong CTĐT chính khóa.,2180d883-8170-47b1-90dd-93486eb258d4,"Theo Quy định về ngoại ngữ cơ bản (Điều 3, khoản 1), các học phần NNCB được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ trong CTĐT chính khóa**.","2180d883-8170-47b1-90dd-93486eb258d4,f59645a8-a831-4db5-867c-0f63ca0121e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8",rag_v2,rag,3,22150.57,True,good,grounded,complete,"Câu trả lời trích dẫn đúng quy định từ ngữ cảnh, khẳng định học phần NNCB không tính tín chỉ chính khóa, đầy đủ và chính xác.",correct,"The generated answer states the same key fact that NNCB credits are not included in the main curriculum, with additional context that does not contradict the reference.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
