id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_001,Quyết định 5777/QĐ-ĐHBK về quản lý sinh viên nước ngoài tại Đại học Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 18 tháng 7 năm 2023.,56b2f15f-466c-40f3-9ec2-b29c81b15872,"Quyết định số 5777/QĐ-ĐHBK về việc ban hành quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội được ban hành vào ngày 18 tháng 7 năm 2023.","56b2f15f-466c-40f3-9ec2-b29c81b15872,ea86d08d-0051-4f6f-a93e-3a2983ccc1c8,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,5,8596.6,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin có trong ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác ngày ban hành quyết định theo đúng thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_002,Lưu học sinh Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học Bách khoa Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.",07c0b91d-2e67-46fa-89d7-313c05fd4a6d,"Theo quy định về quản lý, hỗ trợ sinh viên nước ngoài tại Đại học Bách khoa Hà Nội, Lưu học sinh Hiệp định là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.

Bạn có thể xem chi tiết văn bản quy định [tại đây](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing).","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1,44f35944-3bf7-4ddb-84fc-e1570e33919f",rag_v2,rag,6,15927.29,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra đã truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_003,Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) tại Đại học theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng cho sinh viên.

Bạn có thể xem chi tiết quy định tại [bản tiếng Việt](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing) hoặc [bản tiếng Anh](https://docs.google.com/document/d/1PgU_N9d9y-SxsCWRGTcDScyt-9x_KzaJ/edit?usp=sharing&ouid=109611688586793764116&rtpof=true&sd=true).","8fbc8520-f66a-4849-a64e-b3e5086459f2,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,6763c7e6-e904-4a63-b6cd-6d8501577078,f724ba64-2b4e-4d8f-a8c0-26fd38e480da",rag_v2,rag,6,9279.4,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu, đồng thời cung cấp thêm đường dẫn tài liệu hữu ích.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_004,Lưu học sinh trao đổi tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của Đại học Bách khoa Hà Nội hoặc các đơn vị thuộc/trực thuộc.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo ""Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội"", lưu học sinh trao đổi là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của ĐHBK Hà Nội hoặc các đơn vị thuộc/trực thuộc ĐHBK Hà Nội.

Bạn có thể xem chi tiết văn bản quy định [tại đây](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing).","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2,rag,5,7648.32,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin cốt lõi từ đáp án tham chiếu, đồng thời bổ sung thêm nguồn dẫn chứng cụ thể.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_005,Hồ sơ quản lý lưu học sinh học tập dài hạn tại Đại học Bách khoa Hà Nội cần có những giấy tờ gì?,simple,easy,"Gồm: lý lịch tóm tắt có dán ảnh (1 bản); quyết định tiếp nhận của Đại học (1 bản); bản sao hộ chiếu có thị thực nhập cảnh còn thời hạn (1 bản); bản sao bảo hiểm y tế còn hiệu lực; ảnh 4x6cm chụp không quá 6 tháng (4 ảnh); các văn bản, quyết định liên quan (nếu có).",8502405d-fb25-42ca-9d31-770bc2d5e0a4,"Theo quy định về quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, hồ sơ quản lý đối với lưu học sinh (LHS) học tập dài hạn (bằng tiếng Việt hoặc tiếng Anh) bao gồm các giấy tờ sau:

*   Lý lịch tóm tắt có dán ảnh (theo mẫu): 1 bản.
*   Quyết định tiếp nhận của ĐHBK Hà Nội: 1 bản.
*   Bản sao hộ chiếu có thị thực nhập cảnh Việt Nam còn thời hạn: 1 bản.
*   Bản sao bảo hiểm y tế có giá trị trong thời hạn LHS thực hiện trao đổi tại ĐHBK Hà Nội.
*   Ảnh cỡ 4x6 cm (chụp không quá 6 tháng tính đến ngày nộp hồ sơ): 4 ảnh.
*   Các văn bản, quyết định liên quan trực tiếp đến LHS (nếu có) trong quá trình LHS học tập tại ĐHBK Hà Nội.

Bạn có thể xem chi tiết quy định [tại đây](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing).","8502405d-fb25-42ca-9d31-770bc2d5e0a4,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,3,8052.17,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác dựa trên ngữ cảnh được cung cấp và trích dẫn đúng các thành phần hồ sơ cần thiết cho LHS học tập dài hạn.",correct,Câu trả lời được tạo ra đã liệt kê đầy đủ các thành phần hồ sơ theo yêu cầu của câu trả lời tham chiếu với độ chính xác cao.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_006,Lưu học sinh tại Đại học Bách khoa Hà Nội có được xét cấp học bổng không?,simple,easy,"Có, lưu học sinh được xét/đăng ký xét cấp các loại học bổng dành cho sinh viên Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo Quy chế đào tạo, lưu học sinh tại Đại học Bách khoa Hà Nội có quyền được xét hoặc đăng ký xét cấp các loại học bổng dành cho sinh viên của Đại học.","40828341-95ce-4b09-b4aa-6a90ba4643b1,eb93021c-c166-41d3-8ce2-7bab03c2cbef,01a026a0-8d35-4898-a00c-080a11634939,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,51697373-bff8-4e3d-b4b7-0445464c1e79,0b8da89f-51d2-48ec-9752-ade4b2dd1456,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6",rag_v2,rag,7,14915.73,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ Điều 3, khoản 8 trong ngữ cảnh được cung cấp về quyền lợi của lưu học sinh.",correct,Cả hai câu trả lời đều khẳng định lưu học sinh tại Đại học Bách khoa Hà Nội có quyền được xét cấp học bổng như sinh viên bình thường.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_007,Lưu học sinh tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục gì liên quan đến thị thực nhập cảnh?,simple,easy,"Được hỗ trợ làm các thủ tục cấp, gia hạn, thay đổi thị thực nhập cảnh phù hợp với kế hoạch học tập tại Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo quy định, lưu học sinh (LHS) tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục liên quan đến thị thực nhập cảnh như sau:

*   **Hỗ trợ thủ tục:** LHS được hỗ trợ làm các thủ tục cấp, gia hạn hoặc thay đổi thị thực nhập cảnh sao cho phù hợp với kế hoạch học tập tại Đại học.
*   **Quy trình thực hiện:** 
    *   LHS cần chuẩn bị hồ sơ theo mẫu quy định.
    *   Gửi hồ sơ đến Phòng/Ban chức năng Công tác sinh viên (đối với LHS Hiệp định và LHS ngoài Hiệp định) hoặc Phòng/Ban chức năng Hợp tác đối ngoại (đối với LHS trao đổi).
*   **Lưu ý:** 
    *   Các đề nghị về gia hạn hoặc thay đổi thị thực được giải quyết theo quy định hiện hành của cơ quan quản lý xuất, nhập cảnh Việt Nam và của Đại học.
    *   LHS phải trả lệ phí cấp, gia hạn hoặc thay đổi thị thực theo quy định hiện hành của Nhà nước Việt Nam.
    *   LHS phải đảm bảo có thị thực nhập cảnh đúng với mục đích học tập, thực tập, nghiên cứu hoặc trao đổi tại Đại học.","40828341-95ce-4b09-b4aa-6a90ba4643b1,7b92ab2b-5cc3-4278-8e44-abc1733a4c13,8502405d-fb25-42ca-9d31-770bc2d5e0a4,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,44f35944-3bf7-4ddb-84fc-e1570e33919f,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,7,8029.68,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác và dựa hoàn toàn vào các điều khoản trong ngữ cảnh được cung cấp (Điều 3 và Điều 6).",correct,The generated answer includes all the information from the reference answer while providing additional relevant details about the process and requirements.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_008,Tập thể lưu học sinh cùng một nước tại Đại học Bách khoa Hà Nội có thể chọn ai để làm đầu mối liên hệ với Đại học?,simple,easy,Tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.,40828341-95ce-4b09-b4aa-6a90ba4643b1,"Theo quy định về quyền lợi của lưu học sinh tại Đại học Bách khoa Hà Nội, tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.","40828341-95ce-4b09-b4aa-6a90ba4643b1,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d",rag_v2,rag,3,10132.37,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 3, khoản 3 của ngữ cảnh.",correct,"The generated answer conveys the exact same information as the reference answer, with the addition of a minor introductory phrase that does not change the meaning.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_009,Lưu học sinh tại Đại học Bách khoa Hà Nội có bắt buộc phải có bảo hiểm y tế không và cần đăng ký khám chữa bệnh ở đâu?,simple,easy,"Có, lưu học sinh bắt buộc phải có bảo hiểm y tế và đăng ký khám, chữa bệnh tại một trong các bệnh viện tại Hà Nội hoặc Trung tâm Y tế của Đại học Bách khoa Hà Nội trong toàn bộ quá trình học tập.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Chào bạn, về vấn đề bảo hiểm y tế (BHYT) đối với lưu học sinh tại Đại học Bách khoa Hà Nội, thông tin cụ thể như sau:

1. **Quy định về BHYT:** Lưu học sinh **bắt buộc** phải có bảo hiểm y tế trong toàn bộ quá trình học tập tại Đại học Bách khoa Hà Nội. Đây là một trong những trách nhiệm bắt buộc đối với lưu học sinh theo quy định của Nhà trường.

2. **Nơi đăng ký khám chữa bệnh:** Lưu học sinh có thể đăng ký khám, chữa bệnh tại:
   - Trung tâm Y tế của Đại học Bách khoa Hà Nội (địa chỉ: số 5 phố Tạ Quang Bửu).
   - Hoặc một trong các bệnh viện tại Hà Nội.

Khi đi khám chữa bệnh, bạn cần mang theo thẻ bảo hiểm y tế và các giấy tờ tùy thân cần thiết (như hộ chiếu hoặc thẻ sinh viên).

Nếu cần xác nhận thông tin chi tiết hoặc hỗ trợ về thủ tục, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo hoặc đơn vị quản lý lưu học sinh của Nhà trường để được hướng dẫn cụ thể.","0e407510-3c1b-4a3c-8008-ef02d280b5a7,5c706c54-e110-4d33-904d-7f49c91d0a39,e2336e32-5532-4a31-9810-8d086c348eeb,cfebccb7-28d9-430a-878b-3d349f9d81f6,496f8813-537b-4893-b751-bdbc59085d37,44f35944-3bf7-4ddb-84fc-e1570e33919f,8502405d-fb25-42ca-9d31-770bc2d5e0a4,4d982f49-7443-47b7-8e38-88037215cd43,8fbc8520-f66a-4849-a64e-b3e5086459f2",agent,complex,9,13061.04,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về trách nhiệm bắt buộc mua BHYT và các địa điểm khám chữa bệnh dành cho lưu học sinh tại ĐHBK Hà Nội.,correct,Câu trả lời đã truyền tải đầy đủ các thông tin chính từ câu trả lời tham chiếu và cung cấp thêm thông tin hữu ích về địa chỉ cụ thể cũng như hướng dẫn liên hệ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_010,Lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm gì về việc đóng học phí?,simple,easy,"Phải đóng học phí đầy đủ, đúng hạn theo quy định hiện hành của Đại học Bách khoa Hà Nội đối với lưu học sinh.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Theo quy định tại Điều 4 về trách nhiệm của lưu học sinh, lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm đóng học phí đầy đủ và đúng hạn theo quy định hiện hành của Đại học.","44f35944-3bf7-4ddb-84fc-e1570e33919f,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,f724ba64-2b4e-4d8f-a8c0-26fd38e480da,40828341-95ce-4b09-b4aa-6a90ba4643b1,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,8fbc8520-f66a-4849-a64e-b3e5086459f2",rag_v2,rag,7,6859.1,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 4 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi về trách nhiệm đóng học phí đầy đủ và đúng hạn theo quy định của nhà trường.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
