id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,"Theo tài liệu về **Quy định chuẩn ngoại ngữ đầu ra đối với các chương trình đặc biệt và chất lượng cao** (áp dụng cho khóa K62–K64 Elitech), quy định này áp dụng cho các chương trình sau tại Đại học Bách khoa Hà Nội:

- Đào tạo tài năng (ĐTTN)
- Kỹ sư chất lượng cao PFIEV (KSCLC)
- Tiên tiến
- Công nghệ thông tin Việt-Nhật (CNTT Việt-Nhật)
- Công nghệ thông tin ICT (ICT)

Nếu câu hỏi của bạn đề cập đến một quy định cụ thể khác, vui lòng nêu rõ để tôi tra cứu chính xác hơn.","2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,c6af41fa-6b81-4406-9741-1e12a9b33e0d,648800ef-6f78-4f14-b25d-0f6e15270055,1104e8ef-b58d-4603-a261-4303893c61a6,163b82d3-2ab4-451d-b766-ed70b416b3ae,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,cabe3ce2-a2a1-40d0-a498-dfe199575f8e",rag_v2,rag,7,33183.37,True,good,grounded,complete,"Câu trả lời đã xác định rõ ngữ cảnh được sử dụng (quy định ngoại ngữ cho chương trình đặc biệt/chất lượng cao) và liệt kê đầy đủ các chương trình được nêu trong văn bản cung cấp. Đồng thời, trợ lý cũng khéo léo yêu cầu làm rõ nếu người dùng muốn hỏi về quy định khác.",correct,Câu trả lời đã liệt kê đầy đủ các chương trình được nêu trong đáp án tham chiếu và cung cấp thêm ngữ cảnh cụ thể một cách chính xác.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
chunks_001_simple_002,KSCLC yêu cầu TOEIC bao nhiêu?,simple,easy,600,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo Quy chế đào tạo dành cho chương trình KSCLC, chuẩn tiếng Anh đầu ra yêu cầu **TOEIC 600**.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,b5753397-715c-463b-ac5e-ed49fca74c8c,8c7b778a-a63f-4b15-9fe4-b075e6997ded,7b521723-1680-4625-bd5c-8ca53b70c890,957a9761-611e-427a-a274-3277b862b6fa,0db1712a-4ff5-42c0-af28-2e759190c6f7,08694ca3-bb12-4194-b18e-835acaf0dab6",rag_v2,rag,7,10761.44,True,good,grounded,complete,"Câu trả lời chính xác, dựa trực tiếp vào thông tin trong ngữ cảnh về chuẩn ngoại ngữ đầu ra của chương trình KSCLC.",correct,Câu trả lời đã cung cấp đúng thông tin về mức điểm TOEIC 600 theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,KSCLC yêu cầu chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu **ELITECH_K62_K64** (mục ""Chuẩn ngoại ngữ đầu ra đối với chương trình KSCLC""), chương trình KSCLC yêu cầu chuẩn tiếng Pháp đầu ra là **DELF B1**.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,de789d2b-26a8-4db4-89ec-5282810512e7,b5753397-715c-463b-ac5e-ed49fca74c8c,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,eb023a40-0b82-4105-ab49-a178c9dc17cd,2e9408a7-caf1-48f5-be5c-141ef26e562e",rag_v2,rag,7,18728.88,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp cho chương trình KSCLC (khóa K62-K64). Đối với các chương trình đặc thù khác như PFIEV hay Tiên tiến Việt-Pháp có yêu cầu khác biệt, ngữ cảnh đã phân loại rõ ràng, nên câu trả lời tập trung vào chuẩn chung cho KSCLC là phù hợp.",correct,Câu trả lời đã cung cấp chính xác thông tin về chuẩn tiếng Pháp DELF B1 theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Không đạt chuẩn ngoại ngữ KSCLC có thể làm gì?,simple,easy,Đề nghị cấp bằng chính quy cùng ngành,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu về chương trình KSCLC (khóa K62–K64), nếu sinh viên tích lũy đủ tín chỉ nhưng **không đạt chuẩn ngoại ngữ đầu ra** (TOEIC 600 hoặc DELF B1), thì có thể **đề nghị Hiệu trưởng xem xét việc cấp bằng tốt nghiệp đại học hệ chính quy cùng ngành**.

Tài liệu không nêu rõ quy trình xử lý cụ thể cho khóa K68–K70 đối với chương trình KSCLC, vì vậy thông tin trên chỉ áp dụng cho các khóa thuộc phạm vi tài liệu tham khảo hiện có.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,29fa02a8-f103-451e-aba2-ccdfd9d6c501,bf63050b-88ed-45e2-ab7a-7e5f6601168b,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,b5753397-715c-463b-ac5e-ed49fca74c8c,032d67c0-6960-4dea-9a05-61d60e562fe9,fbd3089f-e35a-4a43-8e21-343526c4ecfe",rag_v2,rag,7,15208.25,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ ngữ cảnh về quy định đối với sinh viên KSCLC (K62-K64) không đạt chuẩn ngoại ngữ đầu ra, đồng thời có sự phân biệt rõ ràng về phạm vi áp dụng của tài liệu.",correct,"Câu trả lời đã nêu đúng thông tin cốt lõi là đề nghị cấp bằng chính quy cùng ngành, đồng thời bổ sung ngữ cảnh cụ thể một cách minh bạch.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,ĐTTN yêu cầu TOEIC bao nhiêu?,simple,easy,600,40852fba-6e9d-4c21-a405-55e2dea22587,"Chương trình Đào tạo tài năng (ĐTTN) yêu cầu chuẩn đầu ra tiếng Anh tối thiểu là **TOEIC 600**.

- Theo tài liệu ELITECH_K62_K64 (dành cho khóa K62–K64) và tài liệu QD_NN_DHCQ-2020-2021-1501 (Phụ lục 4, khóa K65–K67), đều quy định mức TOEIC 600 là điều kiện xét tốt nghiệp cho các chương trình Đào tạo tài năng.","40852fba-6e9d-4c21-a405-55e2dea22587,0db1712a-4ff5-42c0-af28-2e759190c6f7,8c7b778a-a63f-4b15-9fe4-b075e6997ded,e3a29e1c-9828-458f-8089-ebccfa6e428c,6c764ae6-eb75-457c-a363-805f9702a5df,9395ae49-7e19-43fa-aad3-4448ddc33c6c,957a9761-611e-427a-a274-3277b862b6fa",rag_v2,rag,7,22084.48,True,good,grounded,complete,"Câu trả lời chính xác, dựa trên ngữ cảnh được cung cấp và phân biệt rõ ràng các quy định theo khóa học.",correct,Câu trả lời đã cung cấp đúng con số 600 theo yêu cầu và bổ sung thêm thông tin chi tiết về nguồn tài liệu tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,ICT yêu cầu TOEIC bao nhiêu?,simple,easy,650,40852fba-6e9d-4c21-a405-55e2dea22587,"ICT (Công nghệ thông tin ICT) yêu cầu chuẩn TOEIC đầu ra là **650**, theo quy định trong tài liệu về chuẩn ngoại ngữ đầu ra cho các chương trình Đào tạo tài năng, Tiên tiến và ICT.","40852fba-6e9d-4c21-a405-55e2dea22587,08694ca3-bb12-4194-b18e-835acaf0dab6,8c7b778a-a63f-4b15-9fe4-b075e6997ded,7b521723-1680-4625-bd5c-8ca53b70c890,957a9761-611e-427a-a274-3277b862b6fa,06ada73c-1835-4f94-8b7f-61d465ebb914,a7103c42-dda6-45aa-bc2b-5f3fa992e66b",rag_v2,rag,7,10189.94,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đúng con số 650 theo yêu cầu và giải thích thêm ngữ cảnh một cách chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Chương trình Công nghệ thông tin Việt-Nhật yêu cầu chuẩn tiếng Nhật đầu ra là **trình độ N3**, căn cứ theo kết quả kỳ thi năng lực tiếng Nhật JLPT hoặc chứng chỉ tiếng Nhật tương đương.","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,7757fd52-18d0-4e6f-a739-a397f2f4bbb1,587b3470-6b4f-49ca-8030-c7ee75b665e6,86b35d2d-3005-4d4c-9ce3-bdcf9a4a3ccb",rag_v2,rag,7,8659.04,True,good,grounded,complete,Câu trả lời chính xác và đầy đủ dựa trên ngữ cảnh được cung cấp về chuẩn đầu ra tiếng Nhật cho chương trình CNTT Việt-Nhật.,correct,"Câu trả lời đã nêu đúng yêu cầu chuẩn tiếng Nhật N3 và bổ sung thêm thông tin về cách thức chứng minh năng lực, không làm thay đổi nội dung cốt lõi.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,62e638d3-744a-451f-bf9f-ba21910b9635,"Theo tài liệu ""chuan_tieng_anh_k63_k64"", sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần** và được công nhận điểm thi cao nhất trong các lần thi.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,b5753397-715c-463b-ac5e-ed49fca74c8c,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,c788754c-50b2-4f77-b454-da84817e116e,dfbef422-8c37-411d-ac23-207d8abfe6cc,5d347da2-c4f6-4504-b610-4bb7b016fc4e,1e5e427d-f574-47eb-a3da-a3c5da032c1c",rag_v2,rag,7,14490.07,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ ngữ cảnh cung cấp, khẳng định sinh viên được thi nhiều lần và được công nhận điểm cao nhất.",correct,"Câu trả lời đã nêu đúng thông tin chính là sinh viên được thi nhiều lần, đồng thời bổ sung thêm chi tiết về việc công nhận điểm cao nhất giúp làm rõ hơn nội dung.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,Điểm thi nội bộ được công nhận như thế nào?,simple,easy,Lấy điểm cao nhất,62e638d3-744a-451f-bf9f-ba21910b9635,"Kết quả thi chứng chỉ tiếng Anh nội bộ của Trường Đại học Bách khoa Hà Nội được công nhận như sau:

- Sinh viên được tham dự kỳ thi nhiều lần và được công nhận **điểm thi cao nhất** trong các lần thi.
- Kết quả thi có giá trị công nhận trong **02 năm** kể từ ngày thi (theo Quy chế đào tạo ELITECH_K62_K64 và QD_NN_DHCQ-2020-2021-1501).
- Điểm thi nội bộ được sử dụng để xác định **điều kiện chuẩn ngoại ngữ theo tín chỉ tích lũy** và **chuẩn ngoại ngữ đầu ra** cho sinh viên đại học chính quy.
- Riêng đối với sinh viên thuộc chương trình đào tạo tiên tiến, tài năng và hợp tác quốc tế, **phải có chứng chỉ ngoại ngữ quốc tế** mới được xét công nhận đạt chuẩn đầu ra (theo QD_NN_DHCQ-2020-2021-1501, Điều 4).
- Với sinh viên khóa K63, K64: đạt TOEIC từ **500 điểm** trở lên trong kỳ thi nội bộ sẽ được cấp Chứng nhận tiếng Anh nội bộ, có giá trị 2 năm (theo chuan_tieng_anh_k63_k64).

**Lưu ý:** Sinh viên cần hoàn thành chương trình tiếng Anh cơ bản trước khi được đăng ký thi nội bộ (theo tài liệu chuan_tieng_anh_k63_k64).","62e638d3-744a-451f-bf9f-ba21910b9635,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,cc76675a-03f2-4ce9-bd63-e3505995581a,9d2c64bb-2c53-4934-a17d-ca125794c353,c788754c-50b2-4f77-b454-da84817e116e,e32c1875-5a14-4574-8635-081b9bfc8b75,5c189589-c46c-460b-87d7-bf63762eaa04",rag_v2,rag,7,23794.95,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác, trích dẫn đúng các nguồn tài liệu được cung cấp và bao quát được các quy định liên quan đến việc công nhận điểm thi nội bộ cho các đối tượng sinh viên khác nhau.",correct,"Câu trả lời được tạo ra đã bao gồm thông tin cốt lõi từ câu trả lời tham chiếu (lấy điểm cao nhất) và cung cấp thêm các ngữ cảnh chi tiết, chính xác về quy định của trường.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_010,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,62e638d3-744a-451f-bf9f-ba21910b9635,"Tôi không tìm thấy thông tin về thời hạn giá trị của kết quả thi nội bộ trong tài liệu hiện có. Các tài liệu tham khảo chỉ đề cập đến việc sinh viên cần tham dự thi nội bộ để đạt yêu cầu theo từng năm, nhưng không nêu rõ kết quả có giá trị trong bao lâu.","/clc.hust.edu.vn/faqs-mot-cau-hoi-thuong-gap,/vnexpress.net/bach-khoa-ha-noi-cong-bo-top-thi-sinh-theo-diem-thi-danh-gia-tu-duy-4893295.html,/ts.hust.edu.vn/tin-tuc/cach-tinh-diem-xet-tuyen-cua-dhbk-ha-noi,b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6",rag_v2,rag,10,17995.01,True,good,grounded,complete,Ngữ cảnh cung cấp không chứa thông tin về thời hạn giá trị của kết quả thi nội bộ. Trợ lý đã trả lời chính xác dựa trên ngữ cảnh và xác nhận không tìm thấy thông tin.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin chính xác về thời hạn 2 năm như trong đáp án tham chiếu mà lại khẳng định không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
