id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_thi_truc_tuyen_simple_001,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 06 tháng 8 năm 2021.,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,Tôi không tìm thấy thông tin về Quyết định 1791/QĐ-ĐHBK-ĐT trong tài liệu tham khảo hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,d8b94d89-09a3-4dd9-b442-18c5a76674ca,38d83e84-a322-45da-872c-02b7e6f25eb8,d1b6ca77-139d-44dd-b526-070cd79fbf36,06164494-7524-4a6b-b841-7d2de09b5421,9ec20721-ef2b-4d10-8b1d-913f41c98429,/thi.tuyensinh247.com/dai-hoc-bach-khoa-ha-noi-cong-bo-quy-dinh-phuong-thuc-xet-tuyen-tai-nang-2026-c24a88924.html,/soict.hust.edu.vn/thong-tin-tuyen-sinh-2026.html",rag_v2,rag,9,23055.18,True,good,grounded,complete,"Ngữ cảnh không chứa thông tin về quyết định này, trợ lý đã trả lời trung thực dựa trên ngữ cảnh được cung cấp.",incorrect,"The generated answer fails to provide the requested information, whereas the reference answer provides the specific date.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_002,Hệ thống thi trực tuyến tại Bách khoa Hà Nội bao gồm những phần mềm nào?,simple,easy,"Microsoft Teams (MS Teams), hệ thống Learning Management System (LMS) kết hợp với phần mềm Safe Exam Browser (SEB) và các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.",00389c0c-7125-44f0-a15b-d992823ae0b0,"Theo Quyết định tổ chức thi trực tuyến của Trường Đại học Bách khoa Hà Nội, hệ thống thi trực tuyến bao gồm:

- **Microsoft Teams (MS Teams)**  
- **Hệ thống Learning Management System (LMS)**  
- **Phần mềm Safe Exam Browser (SEB)**

Bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf).","d639c809-4591-46a3-a375-41ca5dc2d66f,8ccd3744-993e-4140-b91b-691568856c14,c00ae769-a899-4f8a-b886-36c24f55841a,bddeb3c5-2c25-464b-b80e-ab31224d42b5,665d85a3-6409-4bb2-9aaf-c59b45396b7f,7d76364a-47cd-44fd-b0f3-74399861e752,8834fcd9-3504-4f0d-98d6-43308766adcd,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf,/soict.hust.edu.vn/bo-phan/khoa-hoc-may-tinh",rag_v2,rag,9,22520.11,False,good,hallucinated,complete,Trợ lý đã tự ý đưa ra thông tin về các phần mềm thi trực tuyến trong khi ngữ cảnh cung cấp là trống (no context retrieved). Việc bịa đặt thông tin vi phạm nghiêm ngặt quy tắc về tính trung thực.,partial,"The generated answer omits the reference answer's mention of 'các phần mềm tổ chức thi khác do Hiệu trưởng quyết định', which is a key part of the official regulation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_003,Quy định tổ chức thi trực tuyến tại Bách khoa Hà Nội áp dụng cho những loại hình thi nào?,simple,easy,Áp dụng cho thi kết thúc học phần trong chương trình đào tạo; thi/kiểm tra ngoại ngữ để phân loại trình độ và phân lớp học; thi đánh giá năng lực ngoại ngữ theo số tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.,747e2dfa-5162-44c0-b057-ea008bc56246,"Dựa trên Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT ngày 06/8/2021), các loại hình thi trực tuyến được áp dụng bao gồm:

- **Tự luận với đề thi dạng mở**: sinh viên làm bài viết tay trên giấy, chụp ảnh và nộp file JPG/PNG/PDF qua hệ thống.
- **Trắc nghiệm khách quan**: lựa chọn phương án đúng trong các đáp án sẵn, có thể kết hợp một số câu tự luận.
- **Vấn đáp trực tuyến**: sinh viên nhận câu hỏi ngay tại buổi thi hoặc nộp bài tập lớn/tiểu luận trước, sau đó trả lời hỏi đáp trực tiếp với giảng viên qua hệ thống.
- **Phối hợp các hình thức trên**.

Căn cứ vào đề cương chi tiết học phần, bộ môn hoặc nhóm chuyên môn sẽ xác định hình thức thi cụ thể và đăng ký trên hệ thống quản lý đào tạo của Trường.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,7060d712-5765-4580-891f-7520f4b62f63,e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,d260b4dc-f8de-4bb5-850d-226941c0b923,8694eb8d-09e7-4385-b921-599a7c96d562",rag_v2,rag,7,23450.35,False,good,hallucinated,complete,"Ngữ cảnh được cung cấp trống (no context retrieved), nhưng trợ lý đã tự ý đưa ra thông tin chi tiết về các loại hình thi. Do không có dữ liệu nguồn để kiểm chứng, câu trả lời bị coi là bịa đặt (hallucinated).",incorrect,"The generated answer describes the methods/formats of online testing (essay, multiple choice, oral) instead of the types of exams/purposes for which online testing is applied as requested by the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_004,Có bao nhiêu hình thức thi trực tuyến được áp dụng tại Bách khoa Hà Nội và tên gọi của từng hình thức?,simple,easy,"Bốn hình thức: tự luận với đề thi dạng mở, trắc nghiệm khách quan, vấn đáp trực tuyến, hoặc phối hợp các hình thức trên.",d9fc3bd3-a9a0-42f7-8100-f567df23b78c,"Tôi không tìm thấy thông tin về số lượng và tên gọi các hình thức thi trực tuyến trong tài liệu hiện có. Tài liệu chỉ cung cấp phần ban hành Quyết định số 1791/QĐ-ĐHBK-ĐT (ngày 06/8/2021) về quy định tổ chức thi trực tuyến, nhưng không bao gồm nội dung chi tiết của quy định đó.","8ccd3744-993e-4140-b91b-691568856c14,c00ae769-a899-4f8a-b886-36c24f55841a,7d76364a-47cd-44fd-b0f3-74399861e752,0c752539-cb5d-45ab-a4f0-4930315df9e6,fcc28993-fe62-4ee0-a124-14e93d2b5ede,a578c467-b1fc-4a6d-be66-7b413e256d1e,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,7,27384.47,True,good,grounded,complete,"Ngữ cảnh không cung cấp thông tin, trợ lý đã phản hồi trung thực về việc thiếu dữ liệu và đề xuất đúng trạng thái cần tìm kiếm thêm.",incorrect,"Câu trả lời được tạo ra thừa nhận không tìm thấy thông tin, trong khi câu trả lời tham chiếu đã cung cấp đầy đủ các hình thức thi trực tuyến tại Bách khoa Hà Nội.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_005,"Đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến nào được ưu tiên tại Bách khoa?",simple,easy,Ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.,12abd944-cc6b-486f-ac55-2f9bd74b1b06,"Theo quy định trong tài liệu về các hình thức thi trực tuyến, đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức được ưu tiên là **thi trắc nghiệm khách quan** (ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan đối với học phần có nhiều lớp học phần, số lượng sinh viên lớn).","12abd944-cc6b-486f-ac55-2f9bd74b1b06,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,05386dd4-5f59-401e-8233-ce48580ea2ec",rag_v2,rag,3,23623.57,False,good,hallucinated,complete,Trợ lý đã tự bịa đặt thông tin vì ngữ cảnh được cung cấp trống rỗng (no context retrieved). Dù câu trả lời có vẻ hợp lý nhưng không có cơ sở dữ liệu để kiểm chứng.,correct,Câu trả lời đã truyền tải chính xác thông tin từ đáp án tham khảo và không có thông tin sai lệch.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_006,"Khi thi tự luận trực tuyến tại Bách khoa, sinh viên nộp bài bằng cách nào và trong bao nhiêu phút sau hết giờ?",simple,easy,Sinh viên chụp ảnh bài thi và tải lên hệ thống thi trực tuyến. Thời gian chụp ảnh và nộp bài tối đa là 10 phút sau hết giờ làm bài. Quá thời gian này bài thi sẽ không được công nhận.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo quy định tại **Điều 4, khoản 6** trong tài liệu về yêu cầu đối với người dự thi:

- **Cách nộp bài:** Sinh viên chụp ảnh bài thi đã viết tay (rõ nét) và tải (upload) file lên hệ thống thi trực tuyến.
- **Thời gian cho phép:** Tối đa **10 phút** sau khi hết giờ làm bài. Quá thời gian này, bài thi sẽ không được công nhận.","/www.facebook.com/dhbkhanoi/posts/c%C3%A1c-m%E1%BB%91c-th%E1%BB%9Di-gian-c%E1%BA%A7n-l%C6%B0u-%C3%BD-v%E1%BB%9Bi-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-x%C3%A9t-tuy%E1%BB%83n-t%C3%A0i-n%C4%83ng-n%C4%83m-2025-t%E1%BB%AB-ng%C3%A0y-/1031791829074667,/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=39194,/ts.hust.edu.vn/en/tin-tuc/huong-dan-lam-bai-thi-danh-gia-tu-duy-online,28e75db5-29dc-42f4-8c0e-7b280feb3036,f3007816-161b-4959-a480-80081a8406a9,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,5c926a52-9667-4e30-b5a1-bce0c01c8355,0c7c289c-5e41-42ea-8420-3e41bd0542e4,0a39c202-02fb-4908-89d6-9bddf65af39a,dcffe438-793d-490c-936c-51defbc191a7",rag_v2,rag,10,29112.56,False,good,hallucinated,complete,"Trợ lý đã tự bịa đặt thông tin (hallucinated) vì ngữ cảnh cung cấp là trống (no context retrieved) nhưng trợ lý vẫn đưa ra các quy định cụ thể như Điều 4, khoản 6.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_007,Sinh viên dự thi trực tuyến tại Bách khoa cần đăng nhập bằng tài khoản gì và cần xuất trình giấy tờ nào?,simple,easy,"Đăng nhập bằng tài khoản của trường cấp và xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.",e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Theo quy định tại Điều 4 về các yêu cầu đối với người dự thi và quy trình tổ chức thi trực tuyến:

- **Tài khoản đăng nhập:** Sinh viên đăng nhập vào phần mềm thi/phòng thi trực tuyến bằng **tài khoản của trường cấp**. Trong các quy trình thi trắc nghiệm và thi ngoại ngữ, tài khoản này được xác định cụ thể là **Tài khoản Office 365** (bao gồm địa chỉ email và mật khẩu email do trường cung cấp, thường là địa chỉ @sis.hust.edu.vn).

- **Giấy tờ cần xuất trình:** Sinh viên phải xuất trình **thẻ sinh viên** và/hoặc **chứng minh nhân dân** hoặc **căn cước công dân** để xác minh danh tính khi tham gia phòng thi trực tuyến.","/ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=39194,/ts.hust.edu.vn/tin-tuc/huong-dan-khai-bao-thong-tin-nhap-hoc-truc-tuyen-k65,/ts.hust.edu.vn/tin-tuc/huong-dan-cac-buoc-dang-ky-du-thi-dgtd-2025,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,dcb87d87-a72d-4992-9e23-b84b44f3121f,1b6d4629-9ccf-450e-ab1a-55b654f7c387",rag_v2,rag,6,29714.68,False,good,hallucinated,complete,Trợ lý đã tự bịa đặt thông tin (hallucinated) vì ngữ cảnh cung cấp là trống (no context retrieved) nhưng trợ lý vẫn đưa ra các quy định cụ thể như thể dựa trên văn bản.,correct,"Câu trả lời được tạo ra cung cấp đầy đủ thông tin như đáp án tham khảo và bổ sung thêm chi tiết cụ thể về tài khoản Office 365 của trường Bách khoa, giúp làm rõ thông tin mà không làm sai lệch nội dung.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_008,Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến tại Bách khoa cần có thêm thiết bị gì so với thi thông thường?,simple,easy,Cần có thêm thiết bị camera thứ hai phục vụ cho việc giám sát thi.,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu tham khảo chỉ đề cập đến chuẩn ngoại ngữ đầu ra (TOEIC, DELF B1, JLPT N3...) và danh mục học phần ngoại ngữ cơ bản, nhưng không có nội dung nào về yêu cầu thiết bị khi thi trực tuyến so với thi thông thường.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,40852fba-6e9d-4c21-a405-55e2dea22587,50de962d-960e-4575-a247-432f0806cc82,b92d6aa5-ecb5-4497-a262-65f4104f1442,98115d2d-4153-46bc-bd1d-00a1e80402f8,9776b7fa-c7ef-4c56-8e3f-f517f09260d6,880b1a8b-047e-4b22-bebf-5d3232d90283,/hcmut.edu.vn/tuyen-sinh/dai-hoc-chinh-quy/phuong-thuc-tuyen-sinh/xet-tuyen-tong-hop-2026",rag_v2,rag,8,40955.92,True,good,grounded,complete,"Trợ lý đã trả lời trung thực dựa trên ngữ cảnh trống và xác nhận không có thông tin, đồng thời đề xuất tìm kiếm thông tin chính thức.",incorrect,"The generated answer fails to provide the required information, claiming it is unavailable, whereas the reference answer clearly identifies the need for a second camera.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_009,Sinh viên có hành vi gian lận trong thi trực tuyến tại Bách khoa bị xử lý theo quy định nào?,simple,easy,Bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo tài liệu tham khảo (phần QUY ĐỊNH, Điều 4, khoản 7), sinh viên có hành vi gian lận trong thi trực tuyến sẽ bị **xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo**. Tài liệu không nêu chi tiết các mức xử lý cụ thể.","28e75db5-29dc-42f4-8c0e-7b280feb3036,0d4cea85-002a-4b23-b036-4663b4482925,7060d712-5765-4580-891f-7520f4b62f63",rag_v2,rag,3,31451.49,False,good,hallucinated,incomplete,"Ngữ cảnh cung cấp trống (no context retrieved) nhưng trợ lý vẫn tự bịa ra nội dung từ 'Điều 4, khoản 7' để trả lời, vi phạm nghiêm ngặt quy tắc về tính trung thực.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham khảo và bổ sung thêm ngữ cảnh mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_010,"Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần tối thiểu bao nhiêu đề thi cho một kíp thi?",simple,easy,Tối thiểu 05 đề thi cho 1 kíp thi.,65f9798f-2ed9-4295-9068-f3c7fede4afb,"Theo Điều 5, khoản 3a của Quy định về đề thi, đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở (bao gồm cả hình thức trực tuyến) cần tối thiểu **05 đề thi cho 1 kíp thi**.","65f9798f-2ed9-4295-9068-f3c7fede4afb,dcffe438-793d-490c-936c-51defbc191a7,b6079877-e159-4022-8b97-64de5f5f1447",rag_v2,rag,3,18880.32,False,good,hallucinated,complete,"Ngữ cảnh cung cấp trống rỗng nhưng trợ lý vẫn đưa ra thông tin cụ thể về điều khoản và số lượng đề thi, đây là hành vi bịa đặt thông tin.",correct,Câu trả lời đã cung cấp chính xác thông tin về số lượng đề thi tối thiểu theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
