id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
kehoach_list_all_chunks_simple_001,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 30/06/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày 05/05/2026 đến ngày 30/06/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,8529.95,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_002,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 15/08/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày 05/05/2026 đến ngày 15/08/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,33278482-6061-46c5-9591-80f6a3276efc,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,7968.43,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_003,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và 20261 nộp đơn gặp ai tại Ban Đào tạo?,simple,easy,Gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,93f509f0-fab2-47b8-b53a-ecb613d7f719,Sinh viên làm thủ tục tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027 cần nộp đơn và gặp chuyên viên **Nguyễn Kim Huệ** tại Ban Đào tạo (Tầng 1 nhà C1).,"93f509f0-fab2-47b8-b53a-ecb613d7f719,1c439f64-e234-44b2-9d7c-b416ba23fd81,e0ceeb51-2d84-4c9a-a5d1-d51f4f73d90a,35d08556-af5c-4513-81e8-ba3229a33997,536cfd55-1209-499d-bbeb-302bfa730043,fa598ac1-3957-4a80-ad28-18f8f338e7b3,c6ade1c2-7f76-4d91-b418-8b53a64f55a8",rag_v2,rag,7,9273.89,False,good,partially_grounded,complete,"Ngữ cảnh mâu thuẫn: Một văn bản thông báo ghi 'Nơi nhận đơn: Ban Đào tạo (Tầng 1 nhà C1) gặp chuyên viên Nguyễn Kim Huệ', nhưng mục 24 trong Sổ tay sinh viên lại quy định 'Sinh viên chụp ảnh đơn và gửi qua email để lưu thời điểm nộp đơn, không tiếp nhận trực tiếp'. Câu trả lời của trợ lý chỉ đưa ra thông tin nộp trực tiếp mà bỏ qua quy định gửi email, dẫn đến thông tin không chính xác hoặc thiếu an toàn cho sinh viên.",correct,"The generated answer correctly identifies the person and location, and the slight difference in naming the semester (20261 vs 2026-2027) is a standard interpretation of academic terminology.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Theo thông báo **TIẾP NHẬN TRỞ LẠI HỌC TỪ KỲ HÈ 20253 VÀ KỲ 1 NĂM HỌC 2026-2027 (20261)**, sinh viên tiếp nhận trở lại học từ kỳ hè 20253 **không cần đăng ký học phần** (tức mã học phần). Thay vào đó, sinh viên chỉ cần **đăng ký lớp học** trong đợt đăng ký điều chỉnh trực tuyến trên hệ thống đăng ký lớp.","/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=28237,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=29239,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27235,1c439f64-e234-44b2-9d7c-b416ba23fd81,f10826dc-3dc6-4a48-b8b1-aac798645585,93f509f0-fab2-47b8-b53a-ecb613d7f719,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,a227072b-b06a-4354-9e0e-afa8d84de998,11b4569f-9ea3-4331-b98d-19f433391221",rag_v2,rag,10,36369.46,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp (văn bản về việc tiếp nhận trở lại học từ kỳ hè 20253).",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ đáp án tham khảo, khẳng định sinh viên không cần đăng ký học phần mà chỉ cần đăng ký lớp học trong đợt điều chỉnh.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
kehoach_list_all_chunks_simple_005,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày nào?,simple,easy,Cập nhật ngày 28/04/2026.,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày 28/04/2026. Bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/Upload/Nguyễn%20Quốc%20Đạt/files/DTDH_Lichthi/2025-2026/LTGK-CK%2020252A-AB-28042026.pdf).,"73aea3ac-54d2-4a1a-a954-55ed178a11e1,3091d21c-f574-477f-a2a7-e22b96f2f72f,e8327e5e-ea47-4b9e-812c-528ef16f1c3d,97da2544-86a1-436c-8e2f-d464dba15663,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,3c664c5d-8000-4afb-8bfd-456c3bef2e5e",rag_v2,rag,7,49199.3,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh về ngày cập nhật lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A.",correct,Câu trả lời đã cung cấp chính xác ngày cập nhật theo yêu cầu và bổ sung thêm đường dẫn hữu ích mà không làm sai lệch thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_006,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 27/04/2026 đến ngày 18/05/2026.,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,"Theo thông báo về việc đăng ký học tích hợp chương trình Kỹ sư chuyên sâu học kỳ 2025.2, mốc thời gian đăng ký form tích hợp là từ ngày 27/04/2026 đến ngày 18/05/2026.

Bạn có thể xem chi tiết thông tin [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayKeHoach?kehoach=28236).","31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,68f47a69-4fab-4911-bed5-882f06e12595,f82fc24b-1cc0-4f65-966b-6c65f7dbbf71,060e3c41-3c9c-44db-9822-9ecfa564684e,b5bae25d-078e-4aef-bfe7-62c85f258897,e2da6031-35bb-4717-ad0b-6b9743a87649,d6dba542-0a9d-4633-b043-66da6a04f9f7",rag_v2,rag,7,8933.35,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác mốc thời gian theo yêu cầu và khớp hoàn toàn với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_007,Điều kiện tín chỉ tích lũy tối thiểu để sinh viên được đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu là bao nhiêu?,simple,easy,Tổng số tín chỉ tích lũy cộng với tín chỉ đang học tại kỳ hiện tại của các học phần bậc cử nhân phải đạt từ 115 TC trở lên.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo Quy chế đào tạo (Chương III, Điều 21), điều kiện để sinh viên được đăng ký học tích lũy trước các học phần thuộc chương trình đào tạo kỹ sư chuyên sâu đặc thù là đã tích lũy từ **118 tín chỉ** trở lên của chương trình đào tạo cử nhân.

Một số lưu ý kèm theo:
- Sinh viên được phép học tích lũy trước tối đa 15 tín chỉ.
- Các học phần đã học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,da4da67a-5a72-4574-ba57-21e7c93be4c8,29fa02a8-f103-451e-aba2-ccdfd9d6c501,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,3405d3b5-d35f-4a39-ad58-362ceb51a44e",rag_v2,rag,7,22276.44,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (phần A mục 2 và Điều 21 Chương III).",incorrect,"The generated answer provides a different credit threshold (118 credits) compared to the reference answer (115 credits), leading to a factual discrepancy.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_008,Sinh viên đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu được tối đa bao nhiêu tín chỉ?,simple,easy,"Tối đa 15 tín chỉ học phần bậc kỹ sư chuyên sâu (trừ các học phần Đồ án chuyên ngành KS, Thực tập KS và Đồ án tốt nghiệp KS).",68f47a69-4fab-4911-bed5-882f06e12595,"Theo các tài liệu hướng dẫn về chương trình đào tạo kỹ sư chuyên sâu đặc thù và Quy chế đào tạo, sinh viên được đăng ký học tích lũy trước tối đa **15 tín chỉ** các học phần thuộc chương trình đào tạo kỹ sư trong quá trình học tập ở bậc cử nhân.

Lưu ý:
- Trường hợp sinh viên tích lũy trước nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ.
- Các học phần đã học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,720ab953-7802-40d2-bbd5-c485049281a6,eef54984-8702-4bed-80cc-c80308ef2150,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,5,13475.22,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (cả phần hướng dẫn chương trình kỹ sư chuyên sâu đặc thù và quy chế đào tạo kỹ sư).",correct,"Câu trả lời đã nêu đúng hạn mức 15 tín chỉ và bổ sung thêm các thông tin giải thích hợp lý, không làm sai lệch nội dung chính.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_009,"Sau khi đăng ký học tích hợp KSCS thành công, sinh viên được cấp gì?",simple,easy,Sinh viên được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên kỹ sư.,68f47a69-4fab-4911-bed5-882f06e12595,"Sau khi được công nhận tốt nghiệp cử nhân và đăng ký học tiếp chương trình đào tạo kỹ sư chuyên sâu (KSCS), sinh viên sẽ được cấp mã số người học mới dựa trên mã số sinh viên bậc cử nhân.","7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,720ab953-7802-40d2-bbd5-c485049281a6,8038a171-9e3d-4b1f-8cfd-28fc5e97e6bf",rag_v2,rag,3,7492.75,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về việc cấp mã số người học mới khi sinh viên đăng ký học tiếp chương trình đào tạo kỹ sư chuyên sâu.",incorrect,Câu trả lời được tạo ra không đề cập đến việc cấp email học viên kỹ sư và đưa ra thông tin về mã số người học không khớp với thông tin trong câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_010,Học phí các học phần bậc Kỹ sư chuyên sâu được tính như thế nào so với bậc cử nhân?,simple,easy,"Học phí các học phần bậc KSCS được tính theo học phí bậc cử nhân của chương trình đào tạo chuẩn tương ứng, mức học phí trong và ngoài CTĐT là như nhau.",d4df1842-6745-454b-a0b3-e3437844092a,"Theo các tài liệu hiện có, mức học phí đối với các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu được quy định như sau:

*   **Cách tính:** Mức học phí cho một tín chỉ học phí (TCHP) của các học phần thuộc khung chương trình đào tạo Kỹ sư chuyên sâu được tính bằng với mức học phí cho một TCHP của chương trình đào tạo đại học chính quy chuẩn tương ứng.
*   **Các trường hợp cụ thể:**
    *   Đối với chương trình Kỹ sư chuyên sâu Kỹ thuật Ô tô số: mức học phí bằng mức học phí chương trình đào tạo cử nhân Kỹ thuật Ô tô.
    *   Đối với chương trình Kỹ sư chuyên sâu Thiết kế vi mạch: mức học phí bằng mức học phí chương trình đào tạo Kỹ thuật Điện tử - Viễn thông.
    *   Đối với chương trình Kỹ sư chuyên sâu Trí tuệ nhân tạo tạo sinh (GenAI): mức học phí bằng mức học phí chương trình đào tạo Khoa học dữ liệu và Trí tuệ nhân tạo (IT-E10).
*   **Lưu ý về chính sách:** Việc hỗ trợ học phí chênh lệch và chế độ miễn giảm học phí theo quy định của Nhà nước không áp dụng với các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu.","8fe4b849-07db-5b96-9173-26b38e8bd1d1,37b43412-4011-58ad-995c-7e29cea4469f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,fe800938-7627-4648-873e-e04252f33280,1fec193d-7ca1-4258-b67b-7b721bc94853,00b56977-9fdc-4772-80e1-05e1da7ea41f,2e32f70a-a561-415f-8e53-7360e45e2423",rag_v2,rag,7,16182.6,True,good,grounded,complete,"Câu trả lời đã trích xuất đầy đủ và chính xác các thông tin từ ngữ cảnh về cách tính học phí cho bậc Kỹ sư chuyên sâu, bao gồm cả các trường hợp đặc thù và lưu ý về chính sách miễn giảm.",correct,"The generated answer correctly conveys the core principle that the tuition fee for the professional engineer program is equal to the standard bachelor's program, while providing additional specific context.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
