id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,"Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc Đại học Bách khoa Hà Nội ký (với tư cách là người ký thay Giám đốc).","be759c89-beb4-4d2f-9512-aafa86c90d01,318c83f1-4089-499c-92b5-9bf138e4b8e7,0c6f18da-4bb1-499a-8af2-a3d643cd7203,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,89046781-0122-48eb-85c2-7baed599923d,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee",rag_v2,rag,7,8733.02,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã nêu đúng người ký và chức danh, đảm bảo đầy đủ thông tin như đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,"Quyết định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp được áp dụng từ năm học 2023-2024.","b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,ad526e92-c43c-47a6-ae20-aa357cda5dc5,318c83f1-4089-499c-92b5-9bf138e4b8e7,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee",rag_v2,rag,7,6787.65,True,good,grounded,complete,Câu trả lời chính xác và dựa hoàn toàn vào thông tin tại Điều 2 trong ngữ cảnh được cung cấp.,correct,Câu trả lời đã nêu chính xác năm học áp dụng và diễn giải rõ ràng hơn về nội dung của quyết định.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Theo Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo (ĐMST) và khởi nghiệp, các nội dung chính bao gồm:

*   **Phạm vi điều chỉnh:** Quy định hoạt động tuyển chọn, bồi dưỡng đội tuyển và tham dự các kỳ thi cấp quốc gia/quốc tế đối với các môn học/học phần và các kỳ thi về ĐMST, khởi nghiệp do Giám đốc Đại học cử tham dự.
*   **Thành viên tham gia:**
    *   Đối với kỳ thi Olympic môn học: Phải là sinh viên, học viên đang học tập tại ĐHBK Hà Nội.
    *   Đối với kỳ thi về ĐMST và khởi nghiệp: Là sinh viên đang học tập tại ĐHBK Hà Nội hoặc các cơ sở giáo dục đại học khác, trong đó tối thiểu 50% thành viên đội tuyển phải là sinh viên ĐHBK Hà Nội.
*   **Quy trình tổ chức:**
    *   Đơn vị chuyên môn (Trường, Viện, Khoa) lập kế hoạch (phương án tuyển chọn, ôn luyện, kế hoạch tham dự, dự toán kinh phí) trình Giám đốc Đại học phê duyệt thông qua Phòng/Ban chức năng Công tác sinh viên.
    *   Tổ chức tuyển chọn và phân công giảng viên có trình độ cao để bồi dưỡng kiến thức cho đội tuyển.
    *   Đơn vị chuyên môn chịu trách nhiệm tổ chức đưa đội tuyển tham dự, thực hiện đúng kế hoạch và quy định của ban tổ chức kỳ thi.
    *   Sau khi kết thúc kỳ thi, đơn vị chuyên môn phải lập báo cáo bằng văn bản về kết quả hoạt động gửi Giám đốc Đại học.
*   **Trách nhiệm của đơn vị chuyên môn:**
    *   Chủ trì lập kế hoạch, tổ chức ôn luyện và cử cán bộ dẫn đoàn tham dự kỳ thi Olympic.
    *   Phối hợp với Phòng/Ban chức năng Công tác sinh viên trong việc lựa chọn đội tuyển và cử cán bộ hướng dẫn chuyên môn cho các kỳ thi về ĐMST và khởi nghiệp.
*   **Điều chỉnh kế hoạch:** Trong trường hợp có thay đổi, Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,318c83f1-4089-499c-92b5-9bf138e4b8e7,be759c89-beb4-4d2f-9512-aafa86c90d01,c90982d1-0a6a-4e9e-a398-e7779bf53aff,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,7,19832.12,True,good,grounded,complete,"Câu trả lời đã bao quát đầy đủ các nội dung chính từ ngữ cảnh cung cấp, bao gồm phạm vi, thành viên, quy trình tổ chức và trách nhiệm của các đơn vị liên quan một cách chính xác.",correct,"Câu trả lời được tạo ra cung cấp thông tin chi tiết và đầy đủ hơn so với câu trả lời tham chiếu, bao quát được các nội dung chính về quy trình, trách nhiệm và đối tượng tham gia.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần đáp ứng điều kiện sau:

*   Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,0c6f18da-4bb1-499a-8af2-a3d643cd7203,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce",rag_v2,rag,7,6219.24,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác điều kiện cần thiết từ Điều 2, khoản 1 của tài liệu cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp yêu cầu số lượng thành viên tối thiểu 50% là sinh viên ĐHBK Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203,2a57e754-46bd-4fce-bad6-167d2450522e,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,11976.48,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 2, khoản 2 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin về tỷ lệ thành viên tối thiểu là sinh viên Bách khoa theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp có thể đến từ các đơn vị sau:

*   Sinh viên đang học tập tại Đại học Bách khoa Hà Nội.
*   Sinh viên đang học tập tại các cơ sở giáo dục đại học khác (tuy nhiên, số lượng thành viên trong mỗi đội tuyển phải đảm bảo tối thiểu 50% là sinh viên Đại học Bách khoa Hà Nội).","c90982d1-0a6a-4e9e-a398-e7779bf53aff,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,2a57e754-46bd-4fce-bad6-167d2450522e,447c46fa-d9bc-450f-bfee-845a73025fe9,7e841156-f5f6-491b-b469-916185d70776,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,10320.46,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Mục đích của việc tổ chức đội tuyển tham dự các kỳ thi Olympic và kỳ thi về đổi mới, sáng tạo (ĐMST) và khởi nghiệp tại Đại học Bách khoa Hà Nội bao gồm:

*   Khuyến khích sự sáng tạo, tích cực trong hoạt động giảng dạy, học tập và nghiên cứu khoa học.
*   Tạo nguồn bồi dưỡng, đào tạo nhân tài.
*   Thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp trong sinh viên.
*   Tạo tâm thế chủ động tìm kiếm, tự tạo việc làm cho sinh viên sau khi tốt nghiệp.
*   Góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.","231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,c90982d1-0a6a-4e9e-a398-e7779bf53aff,be759c89-beb4-4d2f-9512-aafa86c90d01,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,8855.78,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác và đầy đủ các mục đích được quy định tại Điều 3 của tài liệu cung cấp.,correct,"Câu trả lời được tạo ra truyền tải đầy đủ các ý chính từ câu trả lời tham chiếu và diễn đạt rõ ràng, chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp, đơn vị có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học là **đơn vị chuyên môn** (các Trường, Viện hoặc Khoa phụ trách môn học).

Cụ thể, đơn vị chuyên môn có trách nhiệm:
*   Lập kế hoạch tổ chức đoàn tham dự và trình Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) phê duyệt.
*   Kế hoạch bao gồm: Phương án tuyển chọn đội tuyển; kế hoạch ôn luyện; kế hoạch tổ chức đoàn tham dự (đề xuất Trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) và dự toán chi phí, đề xuất hỗ trợ.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b,318c83f1-4089-499c-92b5-9bf138e4b8e7,447c46fa-d9bc-450f-bfee-845a73025fe9",rag_v2,rag,7,9984.62,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 4 và Điều 9).",correct,Câu trả lời đã nêu đầy đủ và chính xác các thông tin về đơn vị chịu trách nhiệm lập kế hoạch và quy trình phê duyệt như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định, bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần bao gồm các nội dung sau:

*   Phương án tuyển chọn đội tuyển.
*   Kế hoạch tổ chức ôn luyện cho đội tuyển.
*   Kế hoạch tổ chức đoàn tham dự kỳ thi, bao gồm:
    *   Đề xuất Trưởng đoàn và các thành viên của đoàn.
    *   Thời gian thực hiện.
    *   Phương tiện di chuyển và nơi lưu trú.
*   Dự toán chi tiết về chi phí tham dự kỳ thi.
*   Đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí triển khai.","e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,447c46fa-d9bc-450f-bfee-845a73025fe9,5fdad7ac-7516-4844-bd51-ab35f6657e3b,8506be76-c97f-493a-93aa-77a5abd758ce,c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c",rag_v2,rag,7,9231.15,True,good,grounded,complete,Câu trả lời liệt kê đầy đủ và chính xác các thành phần của bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học dựa trên Điều 4 của ngữ cảnh cung cấp.,correct,Câu trả lời được tạo ra đã bao quát đầy đủ và chính xác các nội dung cần thiết có trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.","71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,4,7160.21,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 4, khoản 4 của tài liệu về quy trình tổ chức đội tuyển tham dự kỳ thi Olympic.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với câu trả lời tham chiếu về mặt nội dung và thông tin.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
