id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
ITE7_fix_chunks_simple_001,Chương trình đào tạo Công nghệ thông tin toàn cầu (IT-E7 / Global ICT) của Đại học Bách khoa Hà Nội có khối lượng kiến thức toàn khóa là bao nhiêu tín chỉ?,simple,easy,133 tín chỉ.,2ffccdea-96f5-4aaa-9581-779b983f9476,"Chương trình Cử nhân CNTT Global ICT (IT-E7) có khối lượng kiến thức toàn khóa là **133 tín chỉ**, theo tài liệu chương trình giáo dục đại học 2020 của Đại học Bách khoa Hà Nội.","2ffccdea-96f5-4aaa-9581-779b983f9476,ac99a827-01b0-40b0-8886-510c26548912,b76faa6f-a62a-4723-9172-bce5c8f44d9b,ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,13188ea5-14f5-536d-8231-68e47ae637ab,eef54984-8702-4bed-80cc-c80308ef2150,89820eec-c53d-4d1f-936c-68fb8c1e8a4c",rag_v2,rag,7,14361.1,True,good,grounded,complete,"Câu trả lời cung cấp chính xác số tín chỉ 133 từ ngữ cảnh, đúng câu hỏi và đầy đủ.",correct,"Generated answer exactly matches the reference answer by stating 133 tín chỉ, and the additional context does not introduce any inaccuracy.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_002,"Theo mục tiêu chung của chương trình Công nghệ thông tin toàn cầu (IT-E7), sinh viên tốt nghiệp cần đạt trình độ ngoại ngữ tiếng Anh ở mức nào?",simple,easy,Đủ để giao tiếp và làm việc trong môi trường quốc tế sử dụng tiếng Anh.,233c86c4-f7a7-46d0-b722-5f68bfc361b6,"Theo tài liệu về Chuẩn đầu ra của chương trình Công nghệ thông tin (Global ICT) [IT-E7], sinh viên tốt nghiệp cần đạt trình độ tiếng Anh tối thiểu **TOEIC 650** (mục **2.3.3**). Mục tiêu chung của chương trình cũng nhấn mạnh khả năng tiếng Anh đủ để giao tiếp và làm việc trong môi trường quốc tế.","233c86c4-f7a7-46d0-b722-5f68bfc361b6,a434c1c5-656c-46d4-87d9-cf0d59ec38c5,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,29f052b7-36c2-45c4-8400-46c2737d02a9,40852fba-6e9d-4c21-a405-55e2dea22587,a53edad8-7533-49d8-ba03-b33725bde4dc,0fc121e1-e9b8-49b1-ae89-f4265ce3087f",rag_v2,rag,7,33427.43,True,good,grounded,complete,"Câu trả lời nêu đúng yêu cầu TOEIC 650 từ chuẩn đầu ra (mục 2.3.3), có căn cứ từ ngữ cảnh, và bổ sung mục tiêu chung liên quan đến tiếng Anh. Mặc dù câu hỏi hỏi 'theo mục tiêu chung', nhưng mục tiêu chung không có con số cụ thể, nên việc dẫn chuẩn đầu ra là hợp lý và đầy đủ.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_003,Chuẩn đầu ra 2.3.3 của chương trình Công nghệ thông tin toàn cầu (IT-E7) yêu cầu sinh viên đạt trình độ tiếng Anh tối thiểu là bao nhiêu điểm TOEIC?,simple,easy,Tối thiểu TOEIC 650 điểm.,a434c1c5-656c-46d4-87d9-cf0d59ec38c5,Chuẩn đầu ra 2.3.3 của chương trình Công nghệ thông tin (Global ICT) [IT-E7] yêu cầu sinh viên đạt trình độ tiếng Anh tối thiểu **TOEIC 650** (theo tài liệu chuẩn đầu ra chương trình giáo dục).,"a434c1c5-656c-46d4-87d9-cf0d59ec38c5,92d8e047-8bb5-4660-93e7-681e3804d5ee,40852fba-6e9d-4c21-a405-55e2dea22587,e3a29e1c-9828-458f-8089-ebccfa6e428c,98115d2d-4153-46bc-bd1d-00a1e80402f8,a53edad8-7533-49d8-ba03-b33725bde4dc,0db1712a-4ff5-42c0-af28-2e759190c6f7",rag_v2,rag,7,19464.63,True,good,grounded,complete,"Câu trả lời đúng với câu hỏi, dựa hoàn toàn vào ngữ cảnh (mục 2.3.3 yêu cầu TOEIC 650), và đầy đủ thông tin.",correct,"The generated answer states the same required minimum TOEIC score of 650, matching the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_004,"Trong cấu trúc chung của chương trình Công nghệ thông tin toàn cầu (IT-E7), khối kiến thức Cơ sở và cốt lõi ngành chiếm bao nhiêu tín chỉ?",simple,easy,49 tín chỉ.,4048c721-2b2a-4a78-b11e-479490cef9b1,"Theo cấu trúc chung của chương trình Cử nhân Công nghệ thông tin (Global ICT), khối kiến thức **Cơ sở và cốt lõi ngành** chiếm **49 tín chỉ**.","2ffccdea-96f5-4aaa-9581-779b983f9476,90c56dd2-40b3-4415-bdc6-a9aa28c7f6bd,73b7dd34-a90d-49e5-8b06-de376bd48412,ac99a827-01b0-40b0-8886-510c26548912,13188ea5-14f5-536d-8231-68e47ae637ab",rag_v2,rag,5,18439.87,True,good,grounded,complete,"Câu trả lời trích dẫn đúng số tín chỉ 49 từ ngữ cảnh, đáp ứng đầy đủ câu hỏi.",incorrect,Parse error: ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE7_fix_chunks_simple_005,Chương trình tiếng Anh HUST start của chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm tổng cộng bao nhiêu tín chỉ và học phần FL1141 – Practical Grammar for writing được học vào kỳ nào?,simple,easy,Chương trình tiếng Anh HUST start gồm 25 tín chỉ và học phần FL1141 được học vào kỳ 1.,a578c467-b1fc-4a6d-be66-7b413e256d1e,"Theo tài liệu chương trình Cử nhân CNTT Global ICT (IT-E7):

- **Tổng tín chỉ của chương trình tiếng Anh HUST start:** 06 tín chỉ (được tính vào khối kiến thức Giáo dục đại cương). Tổng khối lượng các học phần yêu cầu là 25 tín chỉ (thể hiện qua tiêu đề ""Tiếng Anh HUST start — 6 (25 tín chỉ)"").
- **Học phần FL1141 – Practical Grammar for writing** được học vào **kỳ 1** (theo danh mục học phần trong cùng tài liệu).","8ccd3744-993e-4140-b91b-691568856c14,a578c467-b1fc-4a6d-be66-7b413e256d1e,2ffccdea-96f5-4aaa-9581-779b983f9476,396a72af-68ee-48dc-a26c-04a600d142ab,77b09ab9-3e22-4eac-afce-da7841f70681",rag_v2,rag,5,29684.55,False,bad,hallucinated,incomplete,Failed to parse evaluation: ,incorrect,Parse error: ,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
ITE7_fix_chunks_simple_006,Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn trong khối tự chọn của chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm những học phần nào?,simple,easy,"Gồm: IT4409E – Web technologies and e-Services, IT4785E – Mobile Programming, IT4542E – Management of Software Development, IT4142E – Introduction to Data Science, IT3191E – Machine Learning and Data Mining, IT4441E – User Interface and User Experience.",b76faa6f-a62a-4723-9172-bce5c8f44d9b,"Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn (15 tín chỉ) trong chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm 6 học phần sau:

| TT | Mã HP | Tên học phần | Tín chỉ | Kỳ |
|---|---|---|---|---|
| 1 | IT4409E | Web technologies and e-Services | 3(2-2-0-6) | 6 |
| 2 | IT4785E | Mobile Programming | 2(2-1-0-4) | 7 |
| 3 | IT4542E | Management of Software Development | 2(2-0-0-4) | 7 |
| 4 | IT4142E | Introduction to Data Science | 2(2-1-0-4) | 7 |
| 5 | IT3191E | Machine Learning and Data Mining | 3(3-1-0-6) | 6 |
| 6 | IT4441E | User Interface and User Experience | 3(2-2-0-6) | 7 |","b76faa6f-a62a-4723-9172-bce5c8f44d9b,8019408e-a714-46d4-bbac-78dfb42353d4,55db18f7-0295-41b4-8729-4bb9b01d658c",rag_v2,rag,3,22832.86,True,good,grounded,complete,"Câu trả lời liệt kê chính xác 6 học phần từ ngữ cảnh, đầy đủ và trung thực.",correct,"The generated answer includes all six course codes and names from the reference answer, and adds only supplementary credit/semester details without any inaccuracies.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_007,Học phần ITSS Internship (IT4948) của chương trình Công nghệ thông tin toàn cầu (IT-E7) được thực hiện vào học kỳ thứ mấy và có bao nhiêu tín chỉ?,simple,easy,"Thực hiện vào học kỳ 6, có 2 tín chỉ.",ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,Học phần **ITSS Internship (IT4948)** trong chương trình Công nghệ thông tin (Global ICT) [IT-E7] được thực hiện vào **học kỳ thứ 6** và có **2 tín chỉ** (2(0-0-4-4)).,"ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,2ffccdea-96f5-4aaa-9581-779b983f9476,90c56dd2-40b3-4415-bdc6-a9aa28c7f6bd,b76faa6f-a62a-4723-9172-bce5c8f44d9b,8a71de1c-d3c1-4913-b575-362aefa5acef,9da3748a-e009-4e5f-8980-f4dc201925e9",rag_v2,rag,6,23924.95,True,good,grounded,complete,Câu trả lời khớp chính xác với thông tin trong ngữ cảnh: học phần IT4948 có 2 tín chỉ và thực hiện ở học kỳ 6.,correct,"Generated answer correctly states học kỳ 6 and 2 tín chỉ, matching the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_008,Học phần MI1114E – Giải tích I trong chương trình Công nghệ thông tin toàn cầu (IT-E7) yêu cầu học song hành với học phần nào?,simple,easy,Học song hành với MI1144E (Đại số).,b99cdb88-b583-4871-b2d6-cdb2b1ab99ed,"Theo tài liệu chương trình IT-E7 (Global ICT), học phần MI1114E – Giải tích I có học phần song hành là **MI1144E (Đại số)**.","b99cdb88-b583-4871-b2d6-cdb2b1ab99ed,5f4cdf83-81a2-4f5a-98f0-67496a229b0f,ca2aebfd-be5e-47df-9c82-69f7fb3fefe8,d9bf0dc1-6e66-4d25-8de8-713f0c062529,13a01630-4291-4db4-a52d-d39e8bfcf1a8",rag_v2,rag,5,16486.92,True,good,grounded,complete,Câu trả lời khớp chính xác với thông tin trong ngữ cảnh: học phần song hành của MI1114E là MI1144E (Đại số).,correct,"The generated answer states the same co-requisite course (MI1144E - Đại số) as the reference answer, with no incorrect information.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_009,Học phần IT4110E – Tính toán khoa học trong chương trình Công nghệ thông tin toàn cầu (IT-E7) sử dụng công cụ lập trình nào để tính toán?,simple,easy,Sử dụng MATLAB.,4d713a4a-6d5f-4db3-978f-0ae98ecd022c,Học phần **IT4110E – Tính toán khoa học** trong chương trình Công nghệ thông tin (Global ICT) (IT-E7) sử dụng **MATLAB** làm công cụ lập trình để tính toán (theo nội dung học phần).,"4d713a4a-6d5f-4db3-978f-0ae98ecd022c,078c2c7b-010a-49fb-b222-1bf3525e3335,8c3b12d9-74c8-4e03-8559-69dbc08346ff",rag_v2,rag,3,18898.08,True,good,grounded,complete,"Câu trả lời đúng với câu hỏi, dựa trên nội dung ngữ cảnh có đề cập 'Tính toán và lập trình trên MATLAB' và 'Ứng dụng Matlab trong tính toán khoa học' cho học phần IT4110E.",correct,"Generated answer states MATLAB as the tool, same as reference, with no incorrect additions.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_010,Học phần IT2120 – Kiến thức máy tính trong chương trình Công nghệ thông tin toàn cầu (IT-E7) có tỷ lệ đánh giá như thế nào?,simple,easy,40% điểm quá trình và 60% điểm thi.,428552e0-1ba2-49e2-ae97-df986de9e215,"Tôi không tìm thấy thông tin về học phần **IT2120 – Kiến thức máy tính** trong các tài liệu tham khảo hiện có. Các tài liệu này chỉ đề cập đến danh mục học phần ngoại ngữ (tiếng Nhật, tiếng Pháp) và chuẩn đầu ra tương ứng, không bao gồm nội dung chi tiết về môn học chuyên ngành như IT2120 hay tỷ lệ đánh giá của nó.

Để biết thông tin chính xác, bạn có thể tham khảo chương trình đào tạo chi tiết của ngành Công nghệ thông tin toàn cầu (IT-E7) trên cổng thông tin đào tạo của Đại học Bách khoa Hà Nội (ctt.hust.edu.vn) hoặc liên hệ Phòng Đào tạo.","554c02b9-5ec3-441a-924c-49bf5e34bfe9,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0,13188ea5-14f5-536d-8231-68e47ae637ab,eb023a40-0b82-4105-ab49-a178c9dc17cd",rag_v2,rag,7,31805.87,True,good,grounded,complete,"Câu trả lời đúng là không tìm thấy thông tin trong ngữ cảnh, không bịa đặt và đề xuất nguồn khác. Tuy nhiên cần tìm kiếm thêm vì câu hỏi yêu cầu tỷ lệ đánh giá không có trong tài liệu.",incorrect,"Generated answer does not provide the required ratio (40% process, 60% exam) and instead states that no information is found.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
