id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Tôi không tìm thấy thông tin về Quyết định 1515/QĐ-ĐHBK-ĐT trong tài liệu hiện có.,"4867c8f4-9a82-4d51-9341-47c7bd4e4c77,c7231541-9cfd-40fe-b795-c457f23ea9cd,d78b860f-2174-45c7-927e-4abb7c80cbd0,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,78cf807d-0e3e-4781-a9a1-ce3570f1faf1,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,047b5a56-39e3-45fd-a643-ebe5b8f974b8",rag_v2,rag,7,13240.53,True,good,grounded,complete,Thông tin về Quyết định 1515/QĐ-ĐHBK-ĐT không có trong ngữ cảnh được cung cấp.,incorrect,"The generated answer fails to provide the information requested, while the reference answer provides the specific date.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_002,Quy định dạy-học trực tuyến tại Bách khoa Hà Nội được áp dụng cho những loại hình đào tạo nào?,simple,easy,Áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ.,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,"Theo quy định về tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến của Đại học Bách khoa Hà Nội, quy định này áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ của Trường.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,d260b4dc-f8de-4bb5-850d-226941c0b923,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,a8a28e34-df56-4cde-85f8-dabfa212c436,01639421-9da0-41f4-853c-1976160c2896,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,7,7050.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 1, mục 2 của văn bản quy định về dạy-học trực tuyến trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_003,Dạy-học trực tuyến theo thời gian thực tại Bách khoa Hà Nội ưu tiên sử dụng phần mềm nào?,simple,easy,Ưu tiên Microsoft Teams (MS Teams).,b59db2df-eead-4a9d-9150-b4400e361391,Việc dạy-học trực tuyến theo thời gian thực tại Đại học Bách khoa Hà Nội ưu tiên sử dụng phần mềm Microsoft Teams (MS Teams).,"bff9c21a-e42e-4aba-a023-8fb73be20f52,d00d8b97-db4b-464a-823c-979081167e3e,b59db2df-eead-4a9d-9150-b4400e361391,a8ed9ddf-812d-4e3c-bcf9-c5bada7350fb,3255f500-0ecc-4420-80be-a191126bdbf4",rag_v2,rag,5,16392.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 3 quy định về dạy-học trực tuyến).",correct,Câu trả lời đã nêu chính xác phần mềm được ưu tiên sử dụng theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_004,"Tại Bách khoa Hà Nội, dạy-học trực tuyến được áp dụng mấy hình thức và tên gọi của từng hình thức là gì?",simple,easy,"Ba hình thức: (a) Dạy-học trực tuyến theo thời gian thực; (b) Dạy-học hỗn hợp (B-Learning); (c) Dạy-học trực tuyến ngoài khung thời khóa biểu để bổ trợ, ôn tập kiến thức.","01639421-9da0-41f4-853c-1976160c2896,5075916e-0bf3-4b35-bad6-a5032d1948c9","Theo Quy định tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến (ban hành kèm theo Quyết định số 1515/QĐ-ĐHBK-ĐT), Trường Đại học Bách khoa Hà Nội áp dụng 03 hình thức dạy-học trực tuyến bao gồm:

*   **Dạy-học trực tuyến theo thời gian thực:** Được tổ chức đúng khung thời gian trong thời khóa biểu học tập, nội dung giảng dạy theo đề cương học phần và thực hiện bằng phần mềm giảng dạy trực tuyến.
*   **Dạy-học hỗn hợp (B-Learning):** Kết hợp giữa dạy-học trực tiếp trên lớp theo thời khóa biểu và truyền phát bài giảng điện tử có kiểm soát thông qua hệ thống quản trị học tập (Learning Management System - LMS).
*   **Dạy-học trực tuyến ngoài khung thời gian:** Được tổ chức ngoài thời khóa biểu học tập nhằm mục đích bổ trợ, tổng kết, ôn tập kiến thức cho các học phần trong chương trình đào tạo hoặc đáp ứng năng lực ngoại ngữ theo yêu cầu.","01639421-9da0-41f4-853c-1976160c2896,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,8694eb8d-09e7-4385-b921-599a7c96d562,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,4,35061.59,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và hoàn toàn dựa trên ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu đúng 3 hình thức dạy-học trực tuyến tại Bách khoa Hà Nội và giải thích chi tiết hơn so với đáp án tham khảo nhưng vẫn đảm bảo tính chính xác về nội dung.,1.0,0.3333,0.5,1.0,0.6131,1.0,0.2,0.5,1.0,0.6131,1.0,0.1429,0.5,1.0,0.6131
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu chỉ đề cập đến việc sử dụng Microsoft Teams cho quá trình học tập trực tuyến trong giai đoạn giãn cách xã hội do ảnh hưởng của dịch Covid, chứ không quy định về các loại học phần không được áp dụng hình thức này.","0c752539-cb5d-45ab-a4f0-4930315df9e6,55fbb45d-5a41-4b0b-868f-76239ec21945,d00d8b97-db4b-464a-823c-979081167e3e,8ccd3744-993e-4140-b91b-691568856c14,57ead25a-5a79-44a8-9411-26955a1050c2,bff9c21a-e42e-4aba-a023-8fb73be20f52,c00ae769-a899-4f8a-b886-36c24f55841a",rag_v2,rag,7,22746.42,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về các loại học phần không được áp dụng dạy-học trực tuyến. Trợ lý đã trả lời đúng là không tìm thấy thông tin và giải thích rõ những gì có trong ngữ cảnh.,incorrect,"The generated answer fails to provide the information requested and claims it cannot be found, whereas the reference answer provides a specific policy regarding the exclusion of practical/lab-based courses from online learning.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_006,Tổng số tín chỉ dạy-học trên LMS của các học phần B-Learning không được vượt quá bao nhiêu phần trăm tổng số tín chỉ của chương trình đào tạo?,simple,easy,Không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.,83d42fb2-ce2f-4afd-aae9-c458efd880a8,"Theo quy định tại Điều 2, khoản 5, tổng số tín chỉ được dạy-học trên hệ thống quản trị học tập (LMS) của các học phần theo hình thức B-Learning không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.","83d42fb2-ce2f-4afd-aae9-c458efd880a8,29e39d41-8258-4b90-a89b-65a96c8d4a60,06c81241-5745-423c-8095-5474e70f29f1",rag_v2,rag,3,16751.08,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 2, khoản 5 của ngữ cảnh.",correct,Câu trả lời đã nêu chính xác con số 30% theo yêu cầu của câu hỏi và cung cấp thêm thông tin tham chiếu hợp lệ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_007,Thời lượng kiến thức truyền phát trên LMS trong B-Learning tối đa bằng bao nhiêu phần trăm thời lượng học phần?,simple,easy,Tối đa 70% thời lượng của học phần.,29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo quy định, thời lượng kiến thức được truyền phát trên LMS tối đa là 70% thời lượng của học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,83d42fb2-ce2f-4afd-aae9-c458efd880a8,10373bab-6651-47b6-881d-22da9dadfbd8,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,4,23608.16,True,good,grounded,complete,"Câu trả lời chính xác và dựa hoàn toàn vào thông tin tại Điều 4, khoản 2 của ngữ cảnh cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin về tỷ lệ phần trăm tối đa của thời lượng kiến thức trên LMS so với học phần theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_008,Điểm quá trình có trọng số tối thiểu là bao nhiêu khi tính điểm học phần B-Learning tại Bách khoa?,simple,easy,"Điểm quá trình có trọng số tối thiểu là 0,3 khi tính điểm học phần.",29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo quy định về điều kiện thực hiện B-Learning, điểm quá trình phải có trọng số tối thiểu là 0,3 khi tính điểm học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,2b0fbec5-5367-4be1-bb76-82c39b262de1,05386dd4-5f59-401e-8233-ce48580ea2ec",rag_v2,rag,3,17500.68,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 4, khoản 2 của tài liệu về B-Learning.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác về trọng số tối thiểu của điểm quá trình theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_009,Đối với lớp học phần B-Learning có quy mô từ bao nhiêu người học trở lên phải bố trí trợ lý học tập?,simple,easy,Lớp học phần có quy mô từ 40 người học trở lên phải có tối thiểu một trợ lý học tập.,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Đối với các lớp học phần B-Learning có quy mô từ 40 người học trở lên, đơn vị chuyên môn phải có kế hoạch tuyển chọn và bố trí tối thiểu một (01) trợ lý học tập.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,83d42fb2-ce2f-4afd-aae9-c458efd880a8,69a4a819-6544-4525-b4be-2a2da9691a94",rag_v2,rag,3,21722.48,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 4, khoản 5 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính về quy mô lớp học (từ 40 người trở lên) và yêu cầu bố trí trợ lý học tập.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_010,Trợ lý học tập trong B-Learning có thể là đối tượng nào?,simple,easy,"Sinh viên năm cuối, học viên cao học hoặc nghiên cứu sinh.",5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo quy định tại Điều 4, đối tượng có thể làm trợ lý học tập trong các lớp học phần B-Learning bao gồm:

*   Sinh viên năm cuối.
*   Học viên cao học (HVCH).
*   Nghiên cứu sinh (NCS).","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,ee35346d-2962-4113-b5d4-d43f197379ed,69a4a819-6544-4525-b4be-2a2da9691a94",rag_v2,rag,3,12770.86,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 4, khoản 5 của ngữ cảnh cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
