id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_thi_truc_tuyen_simple_001,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 06 tháng 8 năm 2021.,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi theo phương thức trực tuyến được ban hành vào ngày **06 tháng 8 năm 2021**.,"e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,3,22268.79,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào dữ liệu được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã cung cấp chính xác ngày, tháng, năm ban hành quyết định giống với đáp án tham chiếu.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_to_chuc_thi_truc_tuyen_simple_002,Hệ thống thi trực tuyến tại Bách khoa Hà Nội bao gồm những phần mềm nào?,simple,easy,"Microsoft Teams (MS Teams), hệ thống Learning Management System (LMS) kết hợp với phần mềm Safe Exam Browser (SEB) và các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.",00389c0c-7125-44f0-a15b-d992823ae0b0,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT ngày 06/08/2021), hệ thống thi trực tuyến tại Đại học Bách khoa Hà Nội bao gồm:

- **Microsoft Teams (MS Teams)**
- **Hệ thống Learning Management System (LMS)**
- **Phần mềm Safe Exam Browser (SEB)**
- Các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.","00389c0c-7125-44f0-a15b-d992823ae0b0,bff9c21a-e42e-4aba-a023-8fb73be20f52,d00d8b97-db4b-464a-823c-979081167e3e,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,4,21213.95,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra đã liệt kê đầy đủ các thành phần giống như câu trả lời tham chiếu và bổ sung thêm thông tin nguồn gốc quy định một cách chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_003,Quy định tổ chức thi trực tuyến tại Bách khoa Hà Nội áp dụng cho những loại hình thi nào?,simple,easy,Áp dụng cho thi kết thúc học phần trong chương trình đào tạo; thi/kiểm tra ngoại ngữ để phân loại trình độ và phân lớp học; thi đánh giá năng lực ngoại ngữ theo số tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.,747e2dfa-5162-44c0-b057-ea008bc56246,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành theo Quyết định số 1791/QĐ-ĐHBK-ĐT), các hình thức thi trực tuyến được áp dụng tại Trường bao gồm:

*   **Tự luận với đề thi dạng mở:** Đánh giá năng lực vận dụng kiến thức, tư duy và quan điểm của sinh viên. Sinh viên làm bài viết tay trên giấy, sau đó chụp ảnh hoặc chuyển đổi sang định dạng file (JPG, PNG hoặc PDF) để nộp qua hệ thống thi trực tuyến.
*   **Thi có nội dung vấn đáp:** Giảng viên giao câu hỏi trực tiếp tại buổi thi hoặc sinh viên nộp trước bài tập lớn/tiểu luận trên hệ thống. Việc đánh giá bao gồm phần hỏi đáp, trả lời trực tiếp giữa giảng viên và sinh viên thông qua hệ thống thi trực tuyến.
*   **Trắc nghiệm khách quan:** Sinh viên lựa chọn phương án đúng từ các phương án trả lời sẵn. Đề thi theo hình thức này có thể bao gồm một số lượng câu hỏi dạng tự luận.
*   **Phối hợp các hình thức trên.**","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,7060d712-5765-4580-891f-7520f4b62f63,e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,d260b4dc-f8de-4bb5-850d-226941c0b923,8694eb8d-09e7-4385-b921-599a7c96d562",rag_v2,rag,7,16355.53,True,good,grounded,complete,Câu trả lời đã liệt kê đầy đủ và chính xác các hình thức thi trực tuyến được quy định tại Điều 3 của văn bản được cung cấp trong ngữ cảnh.,incorrect,"The generated answer lists the methods/formats of online testing (essay, oral, multiple choice) instead of the types of exams/purposes for which online testing is applied as requested by the question and provided in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_004,Có bao nhiêu hình thức thi trực tuyến được áp dụng tại Bách khoa Hà Nội và tên gọi của từng hình thức?,simple,easy,"Bốn hình thức: tự luận với đề thi dạng mở, trắc nghiệm khách quan, vấn đáp trực tuyến, hoặc phối hợp các hình thức trên.",d9fc3bd3-a9a0-42f7-8100-f567df23b78c,"Theo quy định về tổ chức thi theo phương thức trực tuyến của Đại học Bách khoa Hà Nội, có 3 hình thức thi trực tuyến chính (hoặc phối hợp các hình thức này), bao gồm:

*   **Thi tự luận với đề thi dạng mở:** Hình thức giao câu hỏi mở để đánh giá năng lực vận dụng kiến thức, tư duy và quan điểm của sinh viên. Sinh viên làm bài viết tay trên giấy, sau đó chụp ảnh và gửi file định dạng JPG, PNG hoặc PDF qua hệ thống.
*   **Thi có nội dung vấn đáp:** Hình thức giao câu hỏi trực tiếp tại buổi thi hoặc thông qua bài tập lớn/tiểu luận đã nộp trước. Việc đánh giá dựa trên quá trình hỏi đáp trực tiếp giữa giảng viên và sinh viên thông qua hệ thống.
*   **Thi trắc nghiệm khách quan:** Hình thức cho câu hỏi với các phương án trả lời sẵn để sinh viên lựa chọn. Đề thi này cũng có thể bao gồm một số lượng câu hỏi dạng tự luận.","d9fc3bd3-a9a0-42f7-8100-f567df23b78c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,e3ba59c3-d749-414d-8416-a492c3c3fe7c",rag_v2,rag,3,10998.37,True,good,grounded,complete,"Câu trả lời đã liệt kê đầy đủ các hình thức thi trực tuyến theo đúng ngữ cảnh được cung cấp, bao gồm cả việc đề cập đến khả năng phối hợp các hình thức này.",partial,Câu trả lời được tạo ra liệt kê 3 hình thức thay vì 4 hình thức như đáp án tham khảo và bỏ sót việc đề cập đến sự phối hợp các hình thức là một hình thức riêng biệt.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_005,"Đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến nào được ưu tiên tại Bách khoa?",simple,easy,Ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.,12abd944-cc6b-486f-ac55-2f9bd74b1b06,"Theo quy định về các hình thức thi trực tuyến, đối với các học phần có nhiều lớp học phần và số lượng sinh viên lớn, Trường ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.","12abd944-cc6b-486f-ac55-2f9bd74b1b06,747e2dfa-5162-44c0-b057-ea008bc56246,d9fc3bd3-a9a0-42f7-8100-f567df23b78c",rag_v2,rag,3,11157.57,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 3, mục 3a).",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_006,"Khi thi tự luận trực tuyến tại Bách khoa, sinh viên nộp bài bằng cách nào và trong bao nhiêu phút sau hết giờ?",simple,easy,Sinh viên chụp ảnh bài thi và tải lên hệ thống thi trực tuyến. Thời gian chụp ảnh và nộp bài tối đa là 10 phút sau hết giờ làm bài. Quá thời gian này bài thi sẽ không được công nhận.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Khi thi tự luận trực tuyến, sinh viên thực hiện nộp bài như sau:

*   **Cách thức:** Sinh viên chụp ảnh bài thi đã viết tay (đảm bảo rõ nét) và tải (upload) file lên hệ thống thi trực tuyến.
*   **Thời gian:** Sinh viên có tối đa 10 phút để thực hiện việc chụp ảnh và nộp bài sau khi hết giờ làm bài thi. Nếu quá thời gian này, bài thi sẽ không được công nhận.","28e75db5-29dc-42f4-8c0e-7b280feb3036,f3007816-161b-4959-a480-80081a8406a9,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,5c926a52-9667-4e30-b5a1-bce0c01c8355,0c7c289c-5e41-42ea-8420-3e41bd0542e4,0a39c202-02fb-4908-89d6-9bddf65af39a,dcffe438-793d-490c-936c-51defbc191a7",rag_v2,rag,7,12928.32,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 4, mục 6.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_007,Sinh viên dự thi trực tuyến tại Bách khoa cần đăng nhập bằng tài khoản gì và cần xuất trình giấy tờ nào?,simple,easy,"Đăng nhập bằng tài khoản của trường cấp và xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.",e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Khi tham gia thi trực tuyến tại Đại học Bách khoa Hà Nội, sinh viên cần thực hiện các yêu cầu sau:

*   **Tài khoản đăng nhập:** Sử dụng tài khoản do trường cấp để đăng nhập vào phần mềm thi hoặc phòng thi trực tuyến.
*   **Giấy tờ xuất trình:** Sinh viên cần xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,e82d0dc9-23ec-4df8-9914-ed723a159475,792710f5-a9bf-4f6d-a7c1-4780c52e92fa,9790cfbe-69dc-4501-97c2-156c64de6194,02aa9e31-64fb-494f-a07b-7b741ff6112e",rag_v2,rag,5,7401.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 4 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin về tài khoản đăng nhập và các loại giấy tờ cần xuất trình như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_008,Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến tại Bách khoa cần có thêm thiết bị gì so với thi thông thường?,simple,easy,Cần có thêm thiết bị camera thứ hai phục vụ cho việc giám sát thi.,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Đối với kỳ thi đánh giá chuẩn ngoại ngữ đầu ra theo hình thức trực tuyến, ngoài các thiết bị bắt buộc chung (máy tính có kết nối Internet ổn định, camera giám sát, loa/tai nghe và micro), sinh viên cần có thêm **thiết bị camera thứ hai** phục vụ cho việc giám sát thi.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,cc76675a-03f2-4ce9-bd63-e3505995581a,610b4a6c-583b-4291-ae66-6ac3f03ee546",rag_v2,rag,3,11559.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 4, mục 1 của ngữ cảnh.",correct,"Câu trả lời đã nêu chính xác yêu cầu về camera thứ hai giống như đáp án tham khảo, đồng thời cung cấp thêm ngữ cảnh hợp lý.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_009,Sinh viên có hành vi gian lận trong thi trực tuyến tại Bách khoa bị xử lý theo quy định nào?,simple,easy,Bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo quy định tại tài liệu về tổ chức kiểm tra đánh giá trực tuyến, sinh viên có hành vi gian lận thi sẽ bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.","28e75db5-29dc-42f4-8c0e-7b280feb3036,f97f50c3-b0c3-4275-9d9d-33bedb81ffad,747e2dfa-5162-44c0-b057-ea008bc56246,0d4cea85-002a-4b23-b036-4663b4482925,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb",rag_v2,rag,5,14015.78,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác thông tin từ Điều 4, khoản 7 của tài liệu quy định về thi trực tuyến được cung cấp trong ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham chiếu và bổ sung thêm ngữ cảnh về tài liệu tổ chức thi mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_010,"Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần tối thiểu bao nhiêu đề thi cho một kíp thi?",simple,easy,Tối thiểu 05 đề thi cho 1 kíp thi.,65f9798f-2ed9-4295-9068-f3c7fede4afb,"Đối với các học phần có từ 30 sinh viên trở lên, thi tự luận với đề thi dạng mở cần tối thiểu 05 đề thi cho một kíp thi.","65f9798f-2ed9-4295-9068-f3c7fede4afb,dcffe438-793d-490c-936c-51defbc191a7,d9fc3bd3-a9a0-42f7-8100-f567df23b78c",rag_v2,rag,3,10523.91,True,good,grounded,complete,"Câu trả lời chính xác dựa trên Điều 5, khoản 3, mục a của ngữ cảnh cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
