id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định này áp dụng cho sinh viên khóa nào?,simple,easy,K63 và K64,43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Theo Điều 7 trong Quy định (tài liệu dành cho khóa 70), quy định này được áp dụng từ học kỳ 1 năm học 2025-2026 đối với sinh viên đại học hình thức chính quy và các CTĐT **kể từ khóa 70 trở về sau**.  

- Đối với sinh viên các khóa từ 69 trở về trước, các quy định hiện hành về ngoại ngữ (trừ quy đổi chứng chỉ) vẫn tiếp tục có hiệu lực đến hết khóa đào tạo.  
- Riêng bảng quy đổi tương đương chứng chỉ ngoại ngữ áp dụng cho toàn bộ sinh viên các khóa, với mức quy đổi cao hơn cho khóa 69 trở về trước nếu có sự khác biệt.

Nếu bạn đang hỏi về một quy định khác (ví dụ: quy định cho khóa 63-64 hoặc 68-69), vui lòng nói rõ tên quy định để có câu trả lời chính xác hơn.","4825815f-a9cb-477c-846e-52bd2209a149,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,648800ef-6f78-4f14-b25d-0f6e15270055,43dc8f77-a8cb-4250-9ff4-57163f5c21de,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,89728544-bace-5b19-8837-acb52cc8364e",rag_v2,rag,7,34972.38,True,good,grounded,partial,"Câu trả lời trích dẫn chính xác Điều 7, xác định đối tượng áp dụng là khóa 70 trở về sau, dựa hoàn toàn trên ngữ cảnh. Chưa đề cập đến các quy định khác nhưng câu hỏi không cụ thể, nên tạm chấp nhận.",incorrect,"Generated answer does not mention khóa 63 or 64, instead discussing regulations for khóa 70 and later.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
chunks_001_simple_002,Những đối tượng nào không áp dụng quy định này?,simple,easy,"Ngành Ngôn ngữ Anh, ELITECH và SV nước ngoài",43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Theo các Quy định về phân loại trình độ đầu vào, chương trình môn học và chuẩn ngoại ngữ (áp dụng cho sinh viên đại học hệ chính quy), các đối tượng **không áp dụng** quy định này gồm:

- **Sinh viên thuộc ngành Ngôn ngữ Anh** của Đại học Bách khoa Hà Nội.
- **Sinh viên là người nước ngoài** đang học tại Đại học Bách khoa Hà Nội.

*Lưu ý:* Trong tài liệu dành cho khóa K70, đối tượng người nước ngoài được quy định chi tiết hơn: không áp dụng với người nước ngoài học chương trình có ngôn ngữ giảng dạy chính là tiếng Việt; người nước ngoài học chương trình ngôn ngữ khác được xét tương đương theo Phụ lục. Tuy nhiên, theo nguyên tắc ưu tiên tài liệu đầu tiên (K68/K69), câu trả lời trên đây là chung nhất.","4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,b5e56233-0562-4f16-b606-807e4f5cf8e0,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",rag_v2,rag,4,39545.94,True,good,grounded,complete,"Câu trả lời liệt kê đúng các đối tượng không áp dụng dựa trên ngữ cảnh: sinh viên ngành Ngôn ngữ Anh (suy từ phạm vi áp dụng) và sinh viên là người nước ngoài. Không bịa đặt, đầy đủ và phù hợp câu hỏi.",partial,Generated answer omits 'ELITECH' which is a key category in the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_003,Sinh viên đạt điều kiện nào được miễn 2 học phần tiếng Anh cơ bản?,simple,easy,Đạt điểm thi hoặc có chứng chỉ quốc tế phù hợp,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu của chương trình Cơ điện tử – ĐH Leibniz Hannover (ME-LUH), sinh viên có chứng chỉ tiếng Anh năm thứ nhất tương đương **TOEIC ≥ 300** được miễn 2 học phần tiếng Anh cơ bản.

Ngoài ra, tài liệu dành cho khóa K63, K64 quy định chung rằng sinh viên đạt yêu cầu về điểm thi môn Tiếng Anh trong kỳ thi THPT Quốc gia hoặc có chứng chỉ tiếng Anh quốc tế cũng được miễn 2 học phần này (tuy nhiên tài liệu không nêu rõ ngưỡng điểm cụ thể).","c788754c-50b2-4f77-b454-da84817e116e,d667cb24-43d5-48a9-a2df-4f97b6db5e37,87879cb9-d1f4-4f25-8374-48c610d9e60b,42da1af7-8270-4cd7-9219-78d53d1dfea5,6c764ae6-eb75-457c-a363-805f9702a5df",rag_v2,rag,5,46922.57,False,bad,hallucinated,incomplete,"Failed to parse evaluation: {
  ""pass"": false,
  ""relevance"": ""bad"",
  ""faithfulness"": ""hallucinated"",
  ""completeness"": ""incomplete"",
  ""answer_status"": ""answered"",
  ""should_web_search"": false,
  ""web_search_query"": """",
  ""rea",incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Generated answer conveys the same key condition (điểm thi hoặc ",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Học phần tiếng Anh cơ bản có tính vào GPA không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Dựa trên tài liệu tham khảo, câu trả lời phụ thuộc vào khóa học của bạn:

- **Khóa K63, K64**: Theo tài liệu, điểm thi kết thúc các học phần tiếng Anh cơ bản **không tính vào** điểm trung bình học kỳ, điểm trung bình tích lũy và điểm trung bình tốt nghiệp (tức không tính vào GPA).

- **Khóa K65, K66, K67**: Tài liệu ghi rõ học phần FL1128 (""Tiếng Anh tăng cường"") có cột ""Tính TC trong CTĐT"" là **Không**, còn FL1129 và FL1130 có **Có (3 TC)**. Tuy nhiên, tài liệu **không nói rõ** việc các học phần này có tính vào GPA hay không, chỉ xác nhận có/không tính tín chỉ vào chương trình đào tạo.

- **Khóa K70**: Danh mục học phần FL1131–FL1135 được liệt kê với thời lượng, nhưng **không đề cập** đến việc tính vào GPA.

Nếu bạn thuộc một trong các khóa trên, vui lòng cho biết để tôi trả lời chính xác hơn.","c788754c-50b2-4f77-b454-da84817e116e,6c764ae6-eb75-457c-a363-805f9702a5df,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,3,39820.03,True,good,grounded,partial,"Câu trả lời đã dựa trên ngữ cảnh để trả lời cho từng khóa, không bịa đặt thông tin. Tuy nhiên, chỉ có thông tin rõ ràng cho K63-64; các khóa khác chỉ được đề cập một phần hoặc không có thông tin về GPA, nên tính đầy đủ ở mức partial.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Chưa hoàn thành tiếng Anh cơ bản có được thi chứng chỉ nội bộ không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu ""Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ"", mục 2: **Sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản không được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.**","c788754c-50b2-4f77-b454-da84817e116e,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee",rag_v2,rag,3,20578.96,True,good,grounded,complete,Câu trả lời trích dẫn chính xác quy định từ ngữ cảnh: sinh viên chưa hoàn thành tiếng Anh cơ bản không được phép thi chứng chỉ nội bộ.,correct,"Generated answer explicitly confirms that students who haven't completed basic English are not allowed to take the internal certificate exam, which directly matches the 'No' from the reference answer.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Trượt học phần tiếng Anh cơ bản phải làm gì?,simple,easy,Đăng ký học lại,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu dành cho khóa K63, K64, nếu sinh viên không hoàn thành (trượt) một học phần tiếng Anh cơ bản, thì:

- **Phải đăng ký học lại học phần đó.** Sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản cũng không được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.

Đối với khóa K65–K67 và K70, tài liệu không nêu cụ thể quy định xử lý khi trượt, nhưng nguyên tắc chung thường là học lại học phần chưa đạt.","c788754c-50b2-4f77-b454-da84817e116e,6c764ae6-eb75-457c-a363-805f9702a5df,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,3,35995.67,False,bad,hallucinated,incomplete,Failed to parse evaluation: ,correct,Generated answer fully conveys the key fact from the reference (đăng ký học lại) and adds only additional clarifying context without error.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,Sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần** (không giới hạn số lần cụ thể) và được công nhận điểm thi cao nhất trong các lần thi.,"a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,20983.29,True,good,grounded,complete,"Câu trả lời dựa chính xác trên ngữ cảnh, nói rõ sinh viên được thi nhiều lần không giới hạn và được công nhận điểm cao nhất, đáp ứng đầy đủ câu hỏi.",correct,"Generated answer states that students can take the internal exam 'many times' which matches the reference answer, and the additional detail about recognizing the highest score is consistent and does not introduce incorrect information.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Tôi không tìm thấy thông tin về thời hạn hiệu lực của kết quả thi tiếng Anh nội bộ trong các tài liệu hiện có. Tài liệu [2] chỉ đề cập đến việc nhận kết quả thi và thủ tục cấp giấy chứng nhận, nhưng không nêu rõ giá trị bao lâu.","b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,/clc.hust.edu.vn/faqs-mot-cau-hoi-thuong-gap,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf",rag_v2,rag,10,26488.22,False,good,grounded,incomplete,"Câu trả lời trung thực khi nói không tìm thấy thông tin trong ngữ cảnh, nhưng không trả lời được câu hỏi của người dùng, dẫn đến thiếu đầy đủ.",incorrect,"The generated answer claims no information is available, while the reference answer clearly states the validity is 2 years.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,TOEIC bao nhiêu được cấp chứng nhận nội bộ?,simple,easy,500,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo tài liệu về ""Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ"", sinh viên đạt **điểm TOEIC 500 trở lên** sẽ được cấp Chứng nhận tiếng Anh nội bộ của Trường.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee,802dab5c-4871-45a2-9e86-01e7a65c36d7",rag_v2,rag,3,25405.85,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin trong ngữ cảnh: TOEIC 500 trở lên được cấp chứng nhận nội bộ.,correct,"The generated answer correctly states that a TOEIC score of 500 or above is required, matching the reference answer's threshold of 500.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_010,Chuẩn tiếng Anh từ 64 tín chỉ là bao nhiêu TOEIC?,simple,easy,350,92d8e047-8bb5-4660-93e7-681e3804d5ee,"Chuẩn tiếng Anh từ **64 tín chỉ tích lũy** (từ 64 TC trở lên) có các quy định khác nhau tùy theo khóa và chương trình đào tạo:

- **Khóa K63, K64 (chương trình chuẩn):** Yêu cầu **TOEIC ≥ 350** (nguồn: bảng chuẩn tiếng Anh dành cho K63, K64).
- **Khóa K65, K66, K67 (chương trình chuẩn & chương trình Tài năng):** Yêu cầu **TOEIC ≥ 400** (theo Phụ lục 3 & Phụ lục 4, Bảng 3.2 và 4.2).
- **Khóa K68, K69 (chương trình chuẩn & chương trình Tài năng):** Không quy bằng điểm TOEIC cụ thể mà yêu cầu đạt các học phần tiếng Anh cơ sở hoặc tương đương **Bậc 2.2 (chuẩn)** / **Bậc 2.3 (tài năng)** theo Khung năng lực ngoại ngữ 6 bậc Việt Nam.

Để trả lời chính xác, bạn vui lòng cho biết bạn thuộc khóa (K63-K64, K65-K67 hay K68-K69) và chương trình (chuẩn hay tài năng).","92d8e047-8bb5-4660-93e7-681e3804d5ee,e3a29e1c-9828-458f-8089-ebccfa6e428c,0db1712a-4ff5-42c0-af28-2e759190c6f7,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e,a53edad8-7533-49d8-ba03-b33725bde4dc,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7",rag_v2,rag,7,29908.75,False,bad,hallucinated,incomplete,"Failed to parse evaluation: {
  ""pass"": false,
  ""relevance"": ""partial"",
  ""faithfulness"": ""grounded"",
  ""completeness"": ""complete"",
  ""answer_status"": ""insufficient"",
  ""should_web_search"": false,
  ""web_search_query"": """",
  ""r",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
