id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_001,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa nào trở đi?,simple,easy,Áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.,ac75f157-2b84-4dd1-8127-ca04dcea21d2,"Theo Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC), chương trình này áp dụng với sinh viên các khóa từ K62 đang học tập và có mong muốn tiếp tục học tập theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.","ac75f157-2b84-4dd1-8127-ca04dcea21d2,1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,b985fb9c-7425-42bd-ae10-232d12f95390",rag_v2,rag,7,14915.02,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin về đối tượng áp dụng là sinh viên từ khóa K62 trở đi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_002,Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu bao nhiêu tín chỉ để được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu?,simple,easy,Sinh viên cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo quy định tại tài liệu hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ **118 tín chỉ trở lên** của chương trình đào tạo cử nhân để được phép học tích lũy trước các học phần của chương trình Kỹ sư.

Một số lưu ý kèm theo:
- Sinh viên được học tích lũy trước tối đa 15 tín chỉ. Nếu tích lũy nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ.
- Các học phần học tích lũy trước sẽ chưa được tính vào chương trình đào tạo kỹ sư cho đến khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,da4da67a-5a72-4574-ba57-21e7c93be4c8,0d0a90c8-c722-4c26-ae5c-66c4030a50f0",rag_v2,rag,7,13339.68,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu chính xác số tín chỉ tối thiểu cần tích lũy (118 tín chỉ) và cung cấp thêm các thông tin bổ sung hữu ích mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_003,Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa bao nhiêu tín chỉ của chương trình Kỹ sư chuyên sâu?,simple,easy,Tối đa 15 tín chỉ. Trường hợp học tích lũy trước nhiều hơn 15 tín chỉ cũng chỉ được công nhận tối đa 15 tín chỉ.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Sinh viên chưa tốt nghiệp bậc cử nhân được phép học tích lũy trước tối đa 15 tín chỉ của chương trình đào tạo Kỹ sư chuyên sâu.

Lưu ý:
- Điều kiện để được học tích lũy là sinh viên đã tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.
- Các học phần đã học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình Kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,6381c6e7-76fa-430e-b855-24e7c33898bb",rag_v2,rag,5,9191.27,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu đúng số lượng tín chỉ tối đa (15 tín chỉ) theo yêu cầu của câu hỏi và cung cấp thêm thông tin bổ sung chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Dựa trên các tài liệu cung cấp, việc công nhận các học phần đã tích lũy trước đó vào chương trình đào tạo (đối với chương trình tích hợp) được quy định như sau:

*   **Ngành Hóa học (CH2):** Sinh viên theo học chương trình đào tạo tích hợp sẽ được công nhận 12 tín chỉ kiến thức ngành rộng, bao gồm 6 tín chỉ là đồ án nghiên cứu bậc cử nhân và 6 tín chỉ trong danh mục D1.
*   **Ngành Kỹ thuật điện (EE1):** 
    *   Sinh viên theo học chương trình tích hợp được công nhận 12 tín chỉ kiến thức ngành rộng, bao gồm 8 tín chỉ đồ án nghiên cứu bậc cử nhân và 4 tín chỉ trong khối mô đun tự chọn theo định hướng.
    *   Đối với sinh viên không theo học chương trình tích hợp, mức công nhận tối đa là 6 tín chỉ và cần thực hiện đồ án nghiên cứu đề xuất với thời lượng 6 tín chỉ.

Đối với các ngành khác như Kỹ thuật Cơ điện tử (ME1) hay An toàn không gian số (IT-E15), tài liệu hiện có không đề cập cụ thể về quy định công nhận học phần tích lũy trước đó vào chương trình đào tạo. Nếu bạn đang theo học một trong các ngành này hoặc ngành khác, vui lòng cho biết để tôi có thể hỗ trợ kiểm tra lại thông tin.","b98b1fea-6b84-4784-b6c8-8d77bf8fd929,fef395c3-b560-4e04-b2b3-1b06f6167fb5,2584499d-ba8c-40cf-9a10-873ad3cf8e13,8bb7a80f-9624-4112-a2f2-be81ebca1db8,838508a8-50fd-4dec-8425-1c0b003834e7,e02dfa73-d8c5-4e0e-9189-0edc6fe4c378,1c71f965-a30a-4054-8676-7851eb052284",rag_v2,rag,7,16313.9,False,good,hallucinated,partial,Trợ lý đã bịa đặt thông tin về ngành Kỹ thuật điện (EE1) và các quy định công nhận tín chỉ cho ngành này vì thông tin đó hoàn toàn không có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ đề cập đến ngành Hóa học (CH2) và không có thông tin về 'chương trình Kỹ sư chuyên sâu' như câu hỏi của người dùng.,incorrect,The generated answer provides specific credit recognition details for certain majors instead of addressing the general policy regarding the timing and conditions for credit recognition as stated in the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_005,Sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu phải làm gì?,simple,easy,Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển thực hiện theo quy định và hướng dẫn riêng.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, đối với sinh viên đã tốt nghiệp bậc cử nhân muốn học tiếp chương trình Kỹ sư chuyên sâu tại Đại học Bách khoa Hà Nội, bạn có thể thực hiện theo các hướng dẫn sau:

1. **Tìm hiểu quy định:** Bạn nên tham khảo ""Hướng dẫn học chuyển tiếp chương trình kỹ sư chuyên sâu đặc thù (180 TC)"" được đăng tải trên Cổng thông tin đào tạo của trường tại địa chỉ: [https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=41372](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=41372).
2. **Thủ tục đăng ký:** Nếu cần thực hiện các thủ tục liên quan đến việc đăng ký hoặc thay đổi chương trình đào tạo Kỹ sư chuyên sâu, bạn cần tải mẫu đơn tương ứng, điền đầy đủ thông tin và xin xác nhận của Trường/Khoa quản lý ngành.
3. **Liên hệ hỗ trợ:** Sau khi có đơn đã được xác nhận, bạn chụp và gửi qua email cho chuyên viên phụ trách: **Nguyễn Huy Hùng** (email: [hung.nguyenhuy@hust.edu.vn](mailto:hung.nguyenhuy@hust.edu.vn)).

Để đảm bảo thông tin chính xác và cập nhật nhất cho trường hợp cụ thể của mình, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc chuyên viên phụ trách tại đơn vị quản lý ngành để được hướng dẫn chi tiết.","d7085a52-6ea2-42fa-8955-e65a17fedeee,c6af41fa-6b81-4406-9741-1e12a9b33e0d,3bd80f7a-5584-476c-86be-33d22c8ca522,37b43412-4011-58ad-995c-7e29cea4469f,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,95475683-9f13-5f94-99c8-d6ab0c973c8f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1fec193d-7ca1-4258-b67b-7b721bc94853,57958025-04df-4643-a2eb-f6cdaf6b4ce1,52573dc4-f35b-4db2-8284-b1a26e450891,0db0b300-bac7-4d52-8710-ceb3a85a0ae2,212eb491-0182-43ee-abcb-b92b8d8d5ec7,e207be90-08d7-48a4-bfdd-afefcb3252a6,1c71f965-a30a-4054-8676-7851eb052284,63238a1f-b201-429a-ad20-002a67a82ff3",agent,complex,15,18253.56,True,good,grounded,complete,"Câu trả lời đã cung cấp đầy đủ các bước cần thiết dựa trên ngữ cảnh được cung cấp, bao gồm việc tham khảo hướng dẫn chuyển tiếp, quy trình nộp đơn và thông tin liên hệ của chuyên viên phụ trách.",correct,"Câu trả lời được tạo ra cung cấp thông tin chi tiết và cụ thể hơn dựa trên quy định của một trường đại học cụ thể, đồng thời vẫn bao hàm đúng bản chất là cần thực hiện theo quy định và hướng dẫn xét tuyển.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_006,Sinh viên chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu nào?,simple,easy,Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu chuẩn.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về câu hỏi của bạn, tôi xin cung cấp thông tin như sau:

Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu theo các quy định sau:

*   **Định hướng chuyên ngành:** Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân, sinh viên sẽ cần học bổ sung các học phần theo quy định.
*   **Điều kiện học tích lũy:**
    *   Sinh viên chưa tốt nghiệp cử nhân: Nếu đã tích lũy từ 118 tín chỉ trở lên, bạn được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư.
    *   Sinh viên đã tốt nghiệp cử nhân: Được đăng ký xét tuyển để học chương trình Kỹ sư theo hướng dẫn riêng.

Dữ liệu hiện tại xác nhận sinh viên chương trình Elitech (ví dụ: chương trình tích hợp Cử nhân – Kỹ sư An toàn không gian số) có lộ trình đào tạo liên thông từ bậc Cử nhân lên Kỹ sư.

Để biết chi tiết về các chương trình Kỹ sư chuyên sâu cụ thể mà ngành của bạn được phép chuyển tiếp, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc Văn phòng Viện quản lý ngành học của mình để được tư vấn chính xác nhất.","1fec193d-7ca1-4258-b67b-7b721bc94853,40708bf3-8707-4e3e-8f4f-22adc9e5a154,e5f9f577-740f-40c6-9190-e4d675bc911e,583a2ce8-651b-4044-ad8f-af4240eae6f1,5e88bac4-5c87-4348-95b4-d2a9bc354f5b,7163c687-826a-43b3-9946-d0f4abc97098,fef395c3-b560-4e04-b2b3-1b06f6167fb5,4daf7f58-675a-4960-95cb-975da3fd9def,eb28be49-201d-4234-8527-5786f3170212,db3947c3-9466-436a-8a4e-c7c747e2c36c",agent,complex,10,11167.93,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc sinh viên Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu (KS chuẩn), đồng thời làm rõ các điều kiện liên quan và hướng dẫn sinh viên liên hệ đơn vị chức năng để biết chi tiết cụ thể cho từng ngành.",correct,Câu trả lời đã bao hàm thông tin chính từ đáp án tham khảo và cung cấp thêm các chi tiết bổ sung hữu ích về quy định chuyển tiếp.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_007,Sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì phải làm gì?,simple,easy,Sinh viên sẽ cần phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,212eb491-0182-43ee-abcb-b92b8d8d5ec7",rag_v2,rag,3,23353.16,True,good,grounded,complete,"Các tài liệu được cung cấp chỉ mô tả cấu trúc chương trình đào tạo bậc cử nhân và kỹ sư, không đề cập đến quy định hoặc quy trình xử lý khi sinh viên muốn thay đổi hướng chuyên ngành giữa hai bậc này.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer clearly states that students must take additional courses.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_008,Sinh viên được phép đăng ký học hướng chuyên ngành Kỹ sư như thế nào so với bậc cử nhân?,simple,easy,Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng khác sẽ phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Chào bạn, về quy định đăng ký hướng chuyên ngành Kỹ sư so với bậc Cử nhân, bạn cần lưu ý các điểm sau:

*   **Định hướng chuyên ngành:** Bạn được phép đăng ký học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng đã chọn ở bậc Cử nhân.
*   **Thay đổi hướng chuyên ngành:** Trong trường hợp bạn chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc Cử nhân, bạn sẽ cần phải học bổ sung các học phần theo quy định.
*   **Đăng ký học trước:** Khi đang học bậc Cử nhân (đã tích lũy từ 118 tín chỉ trở lên), bạn được phép đăng ký học tích lũy trước tối đa 15 tín chỉ thuộc chương trình đào tạo Kỹ sư.

Nếu cần hướng dẫn chi tiết về quy trình đăng ký hoặc các học phần bổ sung cụ thể cho trường hợp của mình, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ chính xác nhất.","720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,40708bf3-8707-4e3e-8f4f-22adc9e5a154,720ab953-7802-40d2-bbd5-c485049281a6,37b43412-4011-58ad-995c-7e29cea4469f,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",agent,complex,10,12195.19,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc chọn hướng chuyên ngành Kỹ sư (phù hợp hoặc khác với bậc cử nhân) và quy định về việc học trước các học phần kỹ sư khi đang học bậc cử nhân.,correct,"Câu trả lời đã bao hàm đầy đủ thông tin từ đáp án tham khảo và bổ sung thêm thông tin chi tiết về quy định đăng ký học trước, không làm sai lệch nội dung chính.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.9871
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_009,Sinh viên cần hoàn thành những học phần gì để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân 180 TC?,simple,easy,Cần hoàn thành học phần Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp cử nhân 6 tín chỉ.,720ab953-7802-40d2-bbd5-c485049281a6,"Chào bạn, với tư cách là trợ lý tư vấn học vụ Đại học Bách Khoa Hà Nội, tôi xin giải đáp thắc mắc của bạn như sau:

Để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân, sinh viên cần đáp ứng các yêu cầu chung sau đây:

1.  **Hoàn thành chương trình học:**
    *   Hoàn thành đầy đủ các học phần theo yêu cầu của chương trình đào tạo (CTĐT) trong thời gian quy định.
    *   Điểm trung bình tích lũy toàn khóa đạt từ **2,0 trở lên**.
2.  **Đạt chuẩn đầu ra:**
    *   Đạt chuẩn ngoại ngữ đầu ra theo quy định.
3.  **Điều kiện khác:**
    *   Tại thời điểm xét tốt nghiệp, sinh viên không bị truy cứu trách nhiệm hình sự hoặc không đang trong thời gian bị kỷ luật ở mức đình chỉ học tập.

**Lưu ý về cấu trúc chương trình:**
Các chương trình đào tạo cử nhân tại trường thường được chia thành các khối kiến thức chính bao gồm:
*   **Giáo dục đại cương:** Bao gồm các học phần về Lý luận chính trị, Pháp luật, Toán và khoa học cơ bản, Ngoại ngữ, GDTC/GDQP-AN.
*   **Giáo dục chuyên nghiệp:** Bao gồm các học phần Cơ sở và cốt lõi ngành, Kiến thức bổ trợ (kỹ năng mềm, viết và thuyết trình kỹ thuật), các học phần tự chọn, thực tập kỹ thuật và Đồ án tốt nghiệp/Đồ án nghiên cứu.

*Lưu ý: Cấu trúc tín chỉ chi tiết cho từng khối kiến thức có thể khác nhau tùy theo mã ngành cụ thể mà bạn đang theo học. Bạn nên tra cứu chi tiết trong ""Khung chương trình đào tạo"" của ngành mình trên hệ thống thông tin của trường.*

Nếu bạn cần xác nhận chính thức về lộ trình học tập cá nhân hoặc các quy định cụ thể cho ngành học của mình, vui lòng liên hệ trực tiếp với **Phòng Đào tạo** để được hỗ trợ chi tiết.","bb2fb021-3902-45c9-827f-2921192b764e,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,032d67c0-6960-4dea-9a05-61d60e562fe9,2584499d-ba8c-40cf-9a10-873ad3cf8e13,63238a1f-b201-429a-ad20-002a67a82ff3,8fd80084-2714-48f8-a06a-30264ee58d26,10733c54-298f-4ea9-8ead-a60c4f1ed978,a22d61ee-68ea-4273-b975-c186d2d63842,229d36fa-6606-4d48-b256-c89f3cdf5328,3c76013b-ff3d-4835-97ef-b9a7c5f9acfa",agent,complex,10,16690.07,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ các điều kiện tốt nghiệp dựa trên ngữ cảnh (Điều 23 Quy chế đào tạo kỹ sư) và giải thích rõ ràng về cấu trúc chương trình đào tạo dựa trên thông tin được cung cấp, đồng thời hướng dẫn sinh viên tra cứu chi tiết theo ngành học.",incorrect,"The generated answer fails to mention the specific required modules (Thực tập kỹ thuật và Đề án tốt nghiệp) requested in the question, providing only general graduation requirements instead.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_010,Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu thì điều gì xảy ra?,simple,easy,Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.,720ab953-7802-40d2-bbd5-c485049281a6,"Khi sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu:

*   Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.
*   Trên hệ thống quản lý học tập, trạng thái của sinh viên sẽ là ""Tốt nghiệp ra trường"".","720ab953-7802-40d2-bbd5-c485049281a6,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,1fec193d-7ca1-4258-b67b-7b721bc94853",rag_v2,rag,3,8367.65,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (phần 3 và phần 5 của tài liệu hướng dẫn).",correct,Câu trả lời đã bao gồm thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin phụ xác thực về trạng thái trên hệ thống mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
