id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_danh_gia_diem_ren_luyen_SV_2023_simple_001,Quy định đánh giá điểm rèn luyện sinh viên Bách khoa Hà Nội áp dụng cho đối tượng nào?,simple,easy,"Áp dụng cho sinh viên đại học hình thức đào tạo chính quy, không bao gồm lưu học sinh nước ngoài.",6763c7e6-e904-4a63-b6cd-6d8501577078,"Theo Quy định đánh giá kết quả rèn luyện của sinh viên Đại học Bách khoa Hà Nội, quy định này áp dụng cho đối tượng là **sinh viên đại học hình thức đào tạo chính quy** thuộc Đại học Bách khoa Hà Nội.

Lưu ý: Quy định này không bao gồm lưu học sinh nước ngoài.","6763c7e6-e904-4a63-b6cd-6d8501577078,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,54942498-f09a-442e-b3a6-bbd5d9828312,540719ef-179e-457d-8d6f-5a245f6271bd,22ead6bd-0b7b-44fc-b661-582c2caeb6a9",rag_v2,rag,7,24735.37,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 1 của quy định về đánh giá kết quả rèn luyện).",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_002,Điểm rèn luyện tại Bách khoa Hà Nội được đánh giá bằng thang điểm bao nhiêu và mức Xuất sắc cần đạt bao nhiêu điểm?,simple,easy,Điểm rèn luyện được đánh giá bằng thang điểm 100. Mức Xuất sắc từ 90 đến 100 điểm.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,Điểm rèn luyện tại Đại học Bách khoa Hà Nội được đánh giá bằng thang điểm 100. Mức xếp loại Xuất sắc yêu cầu sinh viên đạt từ 90 đến 100 điểm.,"58a3f5df-9048-43b1-bd1a-2e92c2d749af,f6e06049-71e8-425f-bc49-c4dfbdae6dad,2d9397a2-c900-4852-a039-a9eca2695ac2,6763c7e6-e904-4a63-b6cd-6d8501577078",rag_v2,rag,4,17209.04,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thang điểm và mức điểm xếp loại Xuất sắc giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_003,Điểm rèn luyện từ bao nhiêu đến bao nhiêu được xếp loại Khá tại Bách khoa Hà Nội?,simple,easy,Từ 65 đến dưới 80 điểm được xếp loại Khá.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,"Theo các tài liệu được cung cấp, có sự khác biệt về khung điểm xếp loại Khá như sau:

*   Theo Quy chế đào tạo (Chương IV, Điều 24): Loại Khá là từ 65 điểm đến 79 điểm.
*   Theo quy định tại Điều 3 (Nội dung đánh giá và thang điểm): Loại Khá là từ 65 điểm đến dưới 80 điểm.","f6e06049-71e8-425f-bc49-c4dfbdae6dad,58a3f5df-9048-43b1-bd1a-2e92c2d749af,50b1351d-9de8-4399-9fb9-f45a51bd63f3,2d9397a2-c900-4852-a039-a9eca2695ac2",rag_v2,rag,4,18178.59,True,good,grounded,complete,"Câu trả lời đã phản ánh chính xác thông tin từ các tài liệu được cung cấp trong ngữ cảnh, chỉ ra sự khác biệt nhỏ về cách diễn đạt khung điểm xếp loại Khá giữa các văn bản.",correct,Câu trả lời đã cung cấp thông tin chính xác về khung điểm xếp loại Khá (65 đến dưới 80) và giải thích rõ ràng các cách diễn đạt khác nhau trong văn bản quy định.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_004,Điểm rèn luyện toàn khóa tại Bách khoa Hà Nội được tính là trung bình cộng của bao nhiêu học kỳ tối thiểu?,simple,easy,Tối thiểu 07 học kỳ.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"e32c1875-5a14-4574-8635-081b9bfc8b75,5c189589-c46c-460b-87d7-bf63762eaa04,50b1351d-9de8-4399-9fb9-f45a51bd63f3,3efd2d68-e01f-479f-a824-f8c5acb25274,18f2acf9-7293-4ebd-bd17-879618732b0f,9bd34a49-afe2-4480-8c70-ba14008ef5f9,6d305442-1778-4e2c-a392-449634e7ea87",rag_v2,rag,7,16264.71,True,good,grounded,complete,Thông tin về cách tính điểm rèn luyện toàn khóa (số học kỳ tối thiểu) không có trong các văn bản được cung cấp.,incorrect,"The generated answer fails to provide the required information, whereas the reference answer specifies that the calculation is based on a minimum of 07 semesters.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_005,Điểm rèn luyện của năm học tại Bách khoa Hà Nội được tính như thế nào?,simple,easy,Là trung bình cộng của điểm rèn luyện các học kỳ của năm học đó.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,Điểm rèn luyện của năm học tại Đại học Bách khoa Hà Nội được tính là trung bình cộng của điểm rèn luyện các học kỳ trong năm học đó.,"ac10eee1-e011-4914-90f2-dd49a1c5caf0,58a3f5df-9048-43b1-bd1a-2e92c2d749af,6763c7e6-e904-4a63-b6cd-6d8501577078,22ead6bd-0b7b-44fc-b661-582c2caeb6a9",rag_v2,rag,4,11198.68,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 5, khoản 3).",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_006,Kết quả đánh giá rèn luyện toàn khóa được ghi vào tài liệu nào của sinh viên khi tốt nghiệp?,simple,easy,Được ghi vào bảng điểm kết quả học tập và lưu trong hồ sơ của người học khi tốt nghiệp.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Theo quy định, kết quả đánh giá rèn luyện toàn khóa học của sinh viên được ghi vào các tài liệu sau khi tốt nghiệp:

*   Được cấp trong hồ sơ tốt nghiệp của sinh viên.
*   Được ghi chung vào bảng điểm kết quả học tập và lưu trong hồ sơ của người học.","f6e06049-71e8-425f-bc49-c4dfbdae6dad,709acc59-af70-4f5c-8ff0-4edae3a89605,3eadf358-0021-4cb2-b450-e5cc18076dfa,b0a8fa91-826f-437f-83e8-8413c4cbf558,6c15e6f3-09df-482e-80fe-a6b644a62b65,c6dd14b6-6c76-4236-b771-e8f74f3de111,ac10eee1-e011-4914-90f2-dd49a1c5caf0",rag_v2,rag,7,13690.63,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh (Điều 25 khoản 3 và Điều 6 khoản 2) về việc kết quả rèn luyện toàn khóa được ghi vào hồ sơ tốt nghiệp và bảng điểm kết quả học tập.,correct,"Câu trả lời đã nêu đầy đủ các thông tin chính giống với đáp án tham khảo, mặc dù có trình bày thêm dưới dạng liệt kê.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_007,Sinh viên bị xếp loại rèn luyện Yếu trong hai học kỳ liên tiếp tại Bách khoa sẽ bị ảnh hưởng như thế nào?,simple,easy,Bị hạn chế đăng ký học tập tương đương cảnh báo học tập mức 2.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Theo quy định, sinh viên bị xếp loại rèn luyện Yếu hoặc Kém trong hai học kỳ liên tiếp sẽ chịu các ảnh hưởng sau:

*   **Hạn chế đăng ký học tập:** Sinh viên sẽ bị hạn chế đăng ký học tập, mức độ tương đương với cảnh báo học tập mức 2.
*   **Phối hợp xử lý:** Phòng/Ban chức năng Đào tạo sẽ phối hợp với Phòng/Ban chức năng Công tác sinh viên (CTSV) để thực hiện việc xử lý hạn chế đăng ký học tập này.","709acc59-af70-4f5c-8ff0-4edae3a89605,7d462060-34ee-47b7-8bf2-ade7687f8e02,5d347da2-c4f6-4504-b610-4bb7b016fc4e",rag_v2,rag,3,20652.24,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 6 và Điều 8).",correct,"Câu trả lời đã nêu đúng thông tin cốt lõi là sinh viên bị hạn chế đăng ký học tập tương đương cảnh báo học tập mức 2, đồng thời bổ sung thêm thông tin về quy trình xử lý mà không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_008,Kết quả đánh giá điểm rèn luyện được công bố công khai trước bao nhiêu ngày trước khi ban hành quyết định chính thức?,simple,easy,Trước 14 ngày.,3eadf358-0021-4cb2-b450-e5cc18076dfa,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"cd2f5755-2ee3-4964-825e-133cee1d4fed,10a77213-1105-4d32-9fe2-197392ad6ccd,f30723ed-b476-4c8c-b62d-378188e76137,c708e8d8-c11d-4917-aad8-fae5958c4a69,f5398d42-849a-4c88-9dee-b91d09bd7220,18f2acf9-7293-4ebd-bd17-879618732b0f,b3da5b88-7cdb-49f3-a44a-ec96880cd880",rag_v2,rag,7,14972.51,True,good,grounded,complete,Các tài liệu được cung cấp không chứa thông tin về thời hạn công bố công khai kết quả đánh giá điểm rèn luyện trước khi ban hành quyết định chính thức.,incorrect,Câu trả lời được tạo không cung cấp thông tin chính xác theo yêu cầu trong khi câu trả lời tham chiếu đã nêu rõ thời hạn là 14 ngày.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_009,Sinh viên Bách khoa có quyền khiếu nại kết quả điểm rèn luyện trong thời hạn tối thiểu bao nhiêu ngày?,simple,easy,Tối thiểu 15 ngày.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Theo quy định, sinh viên có quyền khiếu nại kết quả đánh giá rèn luyện trong khoảng thời gian tối thiểu là 15 ngày kể từ khi Hội đồng đánh giá rèn luyện sinh viên cấp Đại học công bố thời gian nhận khiếu nại.","1d027fed-86ee-419d-ad43-39866cc3a23d,ec1d7a3c-baa4-45fc-83f6-3ff6ca9607f7,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,3,15869.75,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin tại Điều 7 trong ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu đúng thời hạn tối thiểu là 15 ngày theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_010,"Khi nhận được đơn khiếu nại điểm rèn luyện, các đơn vị phải trả lời sinh viên trong thời gian tối đa bao nhiêu ngày?",simple,easy,Không quá 07 ngày kể từ ngày nhận được đơn khiếu nại.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Khi nhận được đơn khiếu nại kết quả đánh giá rèn luyện, các đơn vị (Phòng/Ban chức năng CTSV, Đơn vị cấp phát minh chứng tham gia hoạt động, Giảng viên quản lý lớp Trường/Viện/Khoa đào tạo của sinh viên) có trách nhiệm xem xét và trả lời sinh viên trong thời gian không quá 07 ngày kể từ ngày nhận được đơn.","1d027fed-86ee-419d-ad43-39866cc3a23d,e9b377f9-4648-42e1-9e4d-16c9315a99c8,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,3,13703.29,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 7 của ngữ cảnh.",correct,Câu trả lời đã nêu chính xác thời hạn 07 ngày theo yêu cầu và cung cấp thêm thông tin chi tiết về các đơn vị liên quan mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
