id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định này áp dụng cho sinh viên khóa nào?,simple,easy,K63 và K64,43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Dựa trên các tài liệu tham khảo, có nhiều quy định khác nhau áp dụng cho từng khóa sinh viên. Cụ thể:

- **Quy định về chuẩn tiếng Anh (áp dụng cho khóa K63, K64)**: Áp dụng cho sinh viên khóa 63 và 64 (theo nội dung ""Quy định về chuẩn tiếng Anh theo trình độ và chuẩn tiếng Anh đầu ra đối với sinh viên đại học hệ chính quy chuẩn Khóa K63, K64"").
- **Quy định về phân loại trình độ đầu vào, chương trình môn học và chuẩn ngoại ngữ (áp dụng cho khóa K68, K69)**: Áp dụng cho sinh viên khóa 68 và 69 (theo tài liệu có metadata [Khóa: ['K68', 'K69']]).
- **Quy định về ngoại ngữ cho khóa K70**: Áp dụng cho sinh viên khóa 70 (theo tài liệu có metadata [Khóa: ['K70']]).
- **Quy chế đào tạo chung**: Áp dụng cho tất cả các khóa sinh viên đại học hệ chính quy (theo Điều 1, Quy chế đào tạo).

Nếu bạn hỏi về một quy định cụ thể, vui lòng nói rõ tên hoặc khóa để có câu trả lời chính xác hơn.","cb4b2379-702a-44c1-a6cd-1dfa3c97350f,43dc8f77-a8cb-4250-9ff4-57163f5c21de,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,6,39195.0,False,good,hallucinated,partial,"Trợ lý đã bịa đặt thông tin về 'Quy định về ngoại ngữ cho khóa K70' vì thông tin này không hề xuất hiện trong ngữ cảnh được cung cấp. Ngoài ra, việc gán quy định phân loại trình độ đầu vào cho K68, K69 chỉ dựa vào metadata chứ không dựa vào nội dung văn bản (văn bản chỉ ghi chung cho sinh viên đại học hệ chính quy).",correct,"Câu trả lời đã xác định đúng thông tin K63 và K64 theo yêu cầu, đồng thời cung cấp thêm ngữ cảnh cần thiết để làm rõ các quy định khác.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_002,Những đối tượng nào không áp dụng quy định này?,simple,easy,"Ngành Ngôn ngữ Anh, ELITECH và SV nước ngoài",43dc8f77-a8cb-4250-9ff4-57163f5c21de,,"4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,8fbc8520-f66a-4849-a64e-b3e5086459f2",rag_v2,rag,3,41487.94,False,good,grounded,incomplete,"Câu trả lời của trợ lý bị trống (không có nội dung). Ngữ cảnh cung cấp các quy định khác nhau cho các đối tượng khác nhau (ví dụ: quy định về ngoại ngữ cho sinh viên K68/K69 và K70 có sự khác biệt về đối tượng không áp dụng), nên cần tổng hợp thông tin từ các văn bản này để trả lời đầy đủ.",incorrect,The generated answer is empty and fails to provide any of the information required by the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_003,Sinh viên đạt điều kiện nào được miễn 2 học phần tiếng Anh cơ bản?,simple,easy,Đạt điểm thi hoặc có chứng chỉ quốc tế phù hợp,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu dành cho khóa K63, K64, sinh viên được miễn học và công nhận đã hoàn thành 2 học phần tiếng Anh cơ bản nếu thuộc một trong hai trường hợp sau:

- Đạt yêu cầu về điểm thi môn Tiếng Anh trong kỳ thi THPT Quốc gia.
- Có chứng chỉ tiếng Anh quốc tế.

Lưu ý: Quy định này được trích từ tài liệu của khóa K63, K64. Nếu bạn thuộc khóa khác (ví dụ K70), có thể có hệ thống học phần và điều kiện miễn khác, vui lòng cho biết khóa của bạn để được hướng dẫn chi tiết hơn.","c788754c-50b2-4f77-b454-da84817e116e,d667cb24-43d5-48a9-a2df-4f97b6db5e37,87879cb9-d1f4-4f25-8374-48c610d9e60b",rag_v2,rag,3,25911.17,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh cho khóa K63, K64 và có sự lưu ý hợp lý về sự khác biệt quy định đối với các khóa khác (như K70) dựa trên ngữ cảnh được cung cấp.",correct,"Câu trả lời đã bao quát đầy đủ các điều kiện chính (điểm thi và chứng chỉ quốc tế) như trong đáp án tham khảo, đồng thời cung cấp thêm ngữ cảnh cụ thể giúp người dùng hiểu rõ hơn về phạm vi áp dụng.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Học phần tiếng Anh cơ bản có tính vào GPA không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Theo tài liệu về quy định cho khóa K63, K64, điểm thi kết thúc các học phần tiếng Anh cơ bản **không tính** vào điểm trung bình học kỳ, điểm trung bình tích lũy (GPA) và điểm trung bình tốt nghiệp.","c788754c-50b2-4f77-b454-da84817e116e,776186e4-740d-4352-8a93-01fef8397689,73764708-9c65-43c0-b523-5a71c95abdf2",rag_v2,rag,3,19845.81,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định cho sinh viên khóa K63, K64.",correct,"Câu trả lời đã xác nhận thông tin chính là không tính vào GPA, đồng thời cung cấp thêm ngữ cảnh cụ thể về quy định của khóa học.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Chưa hoàn thành tiếng Anh cơ bản có được thi chứng chỉ nội bộ không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Không. Theo tài liệu ""Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ"", sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản **không được phép** đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.","c788754c-50b2-4f77-b454-da84817e116e,92d8e047-8bb5-4660-93e7-681e3804d5ee,b5753397-715c-463b-ac5e-ed49fca74c8c",rag_v2,rag,3,15874.25,True,good,grounded,complete,"Câu trả lời chính xác, trực tiếp và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (mục 2 của phần Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ).",correct,Câu trả lời đã truyền tải đúng thông tin cốt lõi là 'Không' và giải thích rõ ràng lý do dựa trên quy định của trường.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Trượt học phần tiếng Anh cơ bản phải làm gì?,simple,easy,Đăng ký học lại,c788754c-50b2-4f77-b454-da84817e116e,"Nếu bạn trượt (không hoàn thành) một học phần tiếng Anh cơ bản, bạn cần **đăng ký học lại học phần đó**. Cụ thể:

- Theo quy định áp dụng cho khóa K63, K64: *""Sinh viên không hoàn thành học phần nào thì phải đăng ký học lại học phần đó""* (mục 2 của tài liệu).
- Điểm thi kết thúc các học phần tiếng Anh cơ bản là điểm điều kiện để hoàn thành chương trình, không tính vào điểm trung bình.
- Nếu chưa hoàn thành chương trình tiếng Anh cơ bản, bạn sẽ chưa được phép đăng ký thi chứng chỉ tiếng Anh nội bộ của trường.

Để biết thủ tục đăng ký học lại, bạn có thể liên hệ **Ban Đào tạo** theo hướng dẫn tại [tại đây](https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/huong-dan-gui-cau-hoi-toi-phong-dao-tao-cac-van-de-ve-hoc-tap-hoc-phi).","c788754c-50b2-4f77-b454-da84817e116e,880b1a8b-047e-4b22-bebf-5d3232d90283,776186e4-740d-4352-8a93-01fef8397689",rag_v2,rag,3,28560.41,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác quy định từ ngữ cảnh (đăng ký học lại học phần chưa hoàn thành) và cung cấp thông tin hỗ trợ liên hệ Ban Đào tạo phù hợp.,correct,"Câu trả lời đã nêu đúng thông tin cốt lõi là phải đăng ký học lại và cung cấp thêm các thông tin bổ trợ hữu ích, chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần** và được công nhận điểm thi cao nhất trong các lần thi (theo tài liệu dành cho các khóa K63, K64 và K65-K67). Không có giới hạn số lần thi cụ thể trong quy định.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,17508.71,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh cung cấp, khẳng định sinh viên được thi nhiều lần và không có giới hạn cụ thể về số lần thi.",correct,Câu trả lời đã truyền tải đúng thông tin cốt lõi là sinh viên được thi nhiều lần và bổ sung thêm thông tin chi tiết về việc lấy điểm cao nhất.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Tôi không tìm thấy thông tin về thời hạn giá trị của kết quả thi tiếng Anh nội bộ trong các tài liệu tham khảo hiện có. Tài liệu [3] chỉ đề cập đến thủ tục nhận kết quả thi và cấp giấy chứng nhận, nhưng không nêu rõ thời gian hiệu lực của kết quả này.","9550b987-cb8c-4f33-970a-35c0b5c5a380,acb5ce40-efa5-46f2-a93d-914d91287e15,9bd34a49-afe2-4480-8c70-ba14008ef5f9,38456a33-93ab-4004-8d50-a029dc8966a4,1698abf5-ed11-4827-bce1-333407968450,cd2f5755-2ee3-4964-825e-133cee1d4fed,10a77213-1105-4d32-9fe2-197392ad6ccd,/ts.hust.edu.vn/tin-tuc/tsa-2026-3-dot-thi-30-diem-thi-60-000-luot-thi,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan",rag_v2,rag,10,16579.37,False,good,hallucinated,incomplete,"Trợ lý đã bịa đặt thông tin về việc tài liệu [3] đề cập đến thủ tục nhận kết quả thi và cấp giấy chứng nhận (không có tài liệu nào trong ngữ cảnh đề cập đến nội dung này). Ngoài ra, ngữ cảnh cung cấp không chứa thông tin về thời hạn của kết quả thi nội bộ, nên trợ lý cần trả lời là không tìm thấy thông tin thay vì tự suy diễn.",incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn 2 năm như đáp án tham chiếu mà lại khẳng định không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,TOEIC bao nhiêu được cấp chứng nhận nội bộ?,simple,easy,500,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Sinh viên đạt **điểm TOEIC 500 trở lên** sẽ được cấp Chứng nhận tiếng Anh nội bộ của Trường (theo Quy định về chuẩn tiếng Anh cho K63, K64, mục Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ).","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee,62e638d3-744a-451f-bf9f-ba21910b9635",rag_v2,rag,3,16201.99,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp (mục 3 trong phần Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ).",correct,Câu trả lời đã nêu đúng con số 500 theo yêu cầu của câu hỏi và cung cấp thêm ngữ cảnh chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_010,Chuẩn tiếng Anh từ 64 tín chỉ là bao nhiêu TOEIC?,simple,easy,350,92d8e047-8bb5-4660-93e7-681e3804d5ee,"Theo tài liệu tham khảo, yêu cầu chuẩn tiếng Anh từ 64 tín chỉ trở lên phụ thuộc vào **khóa** và **chương trình đào tạo** của bạn. Dưới đây là các mốc TOEIC tương ứng:

- **Đối với khóa K63, K64 (chương trình chuẩn):** Từ 64 TC trở lên yêu cầu **TOEIC tối thiểu 350**.
- **Đối với khóa K65, K66, K67 (chương trình chuẩn và tài năng):** Từ 64 ÷ 95 TC yêu cầu **TOEIC tối thiểu 400**.
- **Đối với khóa K68, K69 (chương trình chuẩn và tài năng):** Không sử dụng thang TOEIC mà dùng Khung năng lực ngoại ngữ 6 bậc của Việt Nam:
  - Chương trình chuẩn: từ 64 ÷ 95 TC yêu cầu đạt tối thiểu **Bậc 2.2**.
  - Chương trình tài năng: từ 64 ÷ 95 TC yêu cầu đạt tối thiểu **Bậc 2.3**.

Bạn vui lòng cho biết **khóa** (ví dụ K63, K65...) và **chương trình** (chuẩn hay tài năng) để tôi trả lời chính xác hơn.","92d8e047-8bb5-4660-93e7-681e3804d5ee,e3a29e1c-9828-458f-8089-ebccfa6e428c,0db1712a-4ff5-42c0-af28-2e759190c6f7,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e,a53edad8-7533-49d8-ba03-b33725bde4dc,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7",rag_v2,rag,7,24065.85,False,good,partially_grounded,complete,"Câu trả lời có sự nhầm lẫn về thông tin trong ngữ cảnh đối với khóa K68, K69. Ngữ cảnh cho K68, K69 (Phụ lục 4) chỉ đề cập đến chương trình Tài năng, không có thông tin về chương trình chuẩn. Việc trợ lý tự suy luận ra yêu cầu cho 'chương trình chuẩn' của khóa K68, K69 là bịa đặt thông tin (hallucinated).",partial,"The generated answer provides the correct reference value (350) for specific cohorts but adds extensive context about other cohorts, making it more comprehensive but less direct than the reference answer.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
