id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,,"2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,c6af41fa-6b81-4406-9741-1e12a9b33e0d,61ad4466-603d-4799-a251-6382f4db1234",rag_v2,rag,3,44482.98,False,bad,hallucinated,incomplete,"Trợ lý chưa đưa ra câu trả lời. Ngữ cảnh cung cấp nhiều quy định khác nhau (ngoại ngữ, học bổng, thi trực tuyến...) nhưng không có văn bản nào nêu rõ phạm vi áp dụng chung cho tất cả các chương trình đào tạo tại trường.",incorrect,The generated answer is empty and fails to provide any information.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_002,KSCLC yêu cầu TOEIC bao nhiêu?,simple,easy,600,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,Chương trình KSCLC yêu cầu chuẩn tiếng Anh đầu ra là TOEIC 600. (Theo tài liệu dành cho các khóa K62–K64.),"26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,fb620361-14d0-4a97-8e80-2a18c8d71c3f",rag_v2,rag,3,13776.52,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp và trả lời đúng trọng tâm câu hỏi.",correct,Câu trả lời đã cung cấp đúng thông tin về mức điểm TOEIC 600 theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,KSCLC yêu cầu chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo Quy chế đào tạo áp dụng cho các khóa K62–K64, chương trình KSCLC yêu cầu chuẩn tiếng Pháp đầu ra là **DELF B1**.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,2e9408a7-caf1-48f5-be5c-141ef26e562e,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7",rag_v2,rag,5,18709.31,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về chuẩn tiếng Pháp đầu ra cho chương trình KSCLC.",correct,Câu trả lời đã nêu chính xác chuẩn tiếng Pháp là DELF B1 theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Không đạt chuẩn ngoại ngữ KSCLC có thể làm gì?,simple,easy,Đề nghị cấp bằng chính quy cùng ngành,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu về chương trình KSCLC, nếu sinh viên không đạt chuẩn ngoại ngữ đầu ra (TOEIC 600 hoặc DELF B1) nhưng đã tích lũy đủ tín chỉ của chương trình, thì có thể:

- **Đề nghị Hiệu trưởng xem xét việc cấp bằng tốt nghiệp đại học hệ chính quy cùng ngành.**

Tài liệu không đề cập đến các biện pháp khác (như học bổ trợ, thi lại) dành riêng cho KSCLC. Các quy định về hạn chế khối lượng học tập (tối đa 14 TC, tối thiểu 8 TC) và điều kiện gỡ bỏ (học 90 tiết tiếng Anh bổ trợ) áp dụng chung cho sinh viên các chương trình khác, không nêu rõ áp dụng cho KSCLC trong các tài liệu hiện có.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,bf63050b-88ed-45e2-ab7a-7e5f6601168b,29fa02a8-f103-451e-aba2-ccdfd9d6c501",rag_v2,rag,3,34853.65,True,good,grounded,complete,"Câu trả lời chính xác, bám sát ngữ cảnh được cung cấp về quy định dành riêng cho sinh viên chương trình KSCLC khi không đạt chuẩn ngoại ngữ đầu ra.",correct,Câu trả lời đã nêu đúng thông tin cốt lõi là đề nghị cấp bằng chính quy cùng ngành và cung cấp thêm ngữ cảnh chi tiết phù hợp với quy định của chương trình KSCLC.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,ĐTTN yêu cầu TOEIC bao nhiêu?,simple,easy,600,40852fba-6e9d-4c21-a405-55e2dea22587,Chương trình Đào tạo tài năng (ĐTTN) yêu cầu chuẩn TOEIC đầu ra là 600.,"40852fba-6e9d-4c21-a405-55e2dea22587,fb620361-14d0-4a97-8e80-2a18c8d71c3f,89f61dba-3efc-4549-adbc-e1c7071a1c41",rag_v2,rag,3,9483.45,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về chuẩn ngoại ngữ đầu ra của chương trình Đào tạo tài năng (ĐTTN).,correct,Câu trả lời đã cung cấp đúng thông tin về yêu cầu TOEIC là 600 điểm như trong đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,ICT yêu cầu TOEIC bao nhiêu?,simple,easy,650,40852fba-6e9d-4c21-a405-55e2dea22587,Chương trình Công nghệ thông tin ICT yêu cầu chuẩn tiếng Anh đầu ra TOEIC 650.,"40852fba-6e9d-4c21-a405-55e2dea22587,fb620361-14d0-4a97-8e80-2a18c8d71c3f,89f61dba-3efc-4549-adbc-e1c7071a1c41",rag_v2,rag,3,11021.76,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đúng thông tin về yêu cầu TOEIC 650 cho chương trình ICT.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Chương trình CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật đầu ra là trình độ **N3** (theo kỳ thi JLPT hoặc chứng chỉ tương đương). Cụ thể, khi xét tốt nghiệp, sinh viên có thể đáp ứng bằng cách:

- Đạt chứng chỉ tiếng Nhật từ N3 trở lên, hoặc
- Hoàn thành toàn bộ các học phần tiếng Nhật yêu cầu (tùy khóa: với K70 là JP1110, JP1120, JP1132, JP2111; với các khóa K65–K69 là các học phần từ Mức 1 đến Mức 4).","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,554c02b9-5ec3-441a-924c-49bf5e34bfe9,31b3a226-d38b-4c25-a2f4-c5aca7984c14,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38",rag_v2,rag,7,31490.63,False,good,hallucinated,partial,"Trợ lý đã đưa vào thông tin về các mã học phần cụ thể (JP1110, JP1120, JP1132, JP2111) không có trong ngữ cảnh được cung cấp. Mặc dù thông tin về chuẩn N3 là chính xác theo ngữ cảnh, việc tự ý bổ sung các mã học phần không có nguồn dẫn là vi phạm quy tắc về tính trung thực.",correct,"Câu trả lời đã nêu đúng yêu cầu chuẩn N3 và cung cấp thêm thông tin chi tiết về cách đáp ứng yêu cầu này, không làm sai lệch thông tin chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,62e638d3-744a-451f-bf9f-ba21910b9635,"Sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường **nhiều lần** (không giới hạn số lần), và kết quả thi cao nhất trong các lần thi sẽ được công nhận. Quy định này áp dụng cho các khóa K63, K64 (theo tài liệu ""Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ"", mục 3) và cả khóa K65-K67 (theo Điều 4, mục 3 của ""Quy định phân loại trình độ đầu vào..."").","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,20889.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp. Trợ lý đã làm rõ việc sinh viên được thi nhiều lần và kết quả cao nhất sẽ được công nhận.",correct,"Câu trả lời đã cung cấp thông tin chính xác là 'nhiều lần' và bổ sung thêm các chi tiết cụ thể về quy định, không làm thay đổi ý nghĩa cốt lõi.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_009,Điểm thi nội bộ được công nhận như thế nào?,simple,easy,Lấy điểm cao nhất,62e638d3-744a-451f-bf9f-ba21910b9635,"Điểm thi tiếng Anh nội bộ của Trường Đại học Bách khoa Hà Nội được công nhận như sau:

- **Sinh viên được thi nhiều lần** và được lấy điểm cao nhất trong các lần thi để công nhận.
- **Kết quả thi có giá trị trong vòng 2 năm** kể từ ngày thi.
- Đối với sinh viên khóa K63, K64, đạt **TOEIC từ 500 trở lên** sẽ được cấp Chứng nhận tiếng Anh nội bộ (cũng có giá trị 2 năm).","cc76675a-03f2-4ce9-bd63-e3505995581a,62e638d3-744a-451f-bf9f-ba21910b9635,a518a642-cf7f-46f9-bb00-97a3d6f9de7a",rag_v2,rag,3,21461.43,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ các quy định về việc công nhận điểm thi nội bộ từ ngữ cảnh, bao gồm việc thi nhiều lần, lấy điểm cao nhất, thời hạn hiệu lực và điều kiện cấp chứng nhận.",correct,Câu trả lời được tạo ra bao hàm thông tin cốt lõi từ câu trả lời tham chiếu (lấy điểm cao nhất) và bổ sung thêm các thông tin chi tiết chính xác khác.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_010,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,62e638d3-744a-451f-bf9f-ba21910b9635,"Kết quả thi tiếng Anh nội bộ (quy đổi TOEIC) hằng tháng tại Trung tâm Khảo thí ngoại ngữ và Trao đổi văn hóa (CLC) **không được nêu rõ thời hạn giá trị** trong tài liệu hiện có. Tài liệu tham khảo chỉ hướng dẫn về thủ tục nhận kết quả và cấp giấy chứng nhận, không đề cập thời gian hiệu lực. Bạn nên liên hệ trực tiếp Trung tâm CLC hoặc Ban Đào tạo để biết thêm chi tiết.","9550b987-cb8c-4f33-970a-35c0b5c5a380,acb5ce40-efa5-46f2-a93d-914d91287e15,9bd34a49-afe2-4480-8c70-ba14008ef5f9,38456a33-93ab-4004-8d50-a029dc8966a4,1698abf5-ed11-4827-bce1-333407968450,cd2f5755-2ee3-4964-825e-133cee1d4fed,10a77213-1105-4d32-9fe2-197392ad6ccd,/ts.hust.edu.vn/tin-tuc/tsa-2026-3-dot-thi-30-diem-thi-60-000-luot-thi,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan",rag_v2,rag,10,19764.73,False,bad,hallucinated,incomplete,"Câu trả lời của trợ lý tự bịa đặt về 'thi tiếng Anh nội bộ (quy đổi TOEIC)' và 'Trung tâm CLC' trong khi ngữ cảnh không hề nhắc đến các thông tin này. Ngữ cảnh chỉ đề cập đến kỳ thi TSA có giá trị 2 năm, không liên quan đến 'thi nội bộ' theo cách người dùng hỏi.",incorrect,"The generated answer claims the validity period is not specified, which directly contradicts the reference answer stating it is 2 years.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
