id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_thi_truc_tuyen_simple_001,Quyết định 1791/QĐ-ĐHBK-ĐT về tổ chức thi trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 06 tháng 8 năm 2021.,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,Quyết định 1791/QĐ-ĐHBK-ĐT được ban hành vào ngày **06 tháng 8 năm 2021** (theo Quyết định về việc ban hành Quy định tổ chức thi theo phương thức trực tuyến của trường Đại học Bách khoa Hà Nội).,"e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,3,20012.61,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã cung cấp chính xác ngày, tháng, năm ban hành của quyết định theo đúng thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_to_chuc_thi_truc_tuyen_simple_002,Hệ thống thi trực tuyến tại Bách khoa Hà Nội bao gồm những phần mềm nào?,simple,easy,"Microsoft Teams (MS Teams), hệ thống Learning Management System (LMS) kết hợp với phần mềm Safe Exam Browser (SEB) và các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.",00389c0c-7125-44f0-a15b-d992823ae0b0,"Hệ thống thi trực tuyến tại Đại học Bách khoa Hà Nội bao gồm các phần mềm sau:

- **Microsoft Teams (MS Teams)**  
- **Hệ thống Learning Management System (LMS)**  
- **Phần mềm Safe Exam Browser (SEB)**  
- Các phần mềm tổ chức thi khác do Hiệu trưởng quyết định.

(Theo Quy định tổ chức thi theo phương thức trực tuyến, Điều 2.)","00389c0c-7125-44f0-a15b-d992823ae0b0,bff9c21a-e42e-4aba-a023-8fb73be20f52,d00d8b97-db4b-464a-823c-979081167e3e,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,4,14788.46,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 2 của Quy định tổ chức thi trực tuyến).",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_003,Quy định tổ chức thi trực tuyến tại Bách khoa Hà Nội áp dụng cho những loại hình thi nào?,simple,easy,Áp dụng cho thi kết thúc học phần trong chương trình đào tạo; thi/kiểm tra ngoại ngữ để phân loại trình độ và phân lớp học; thi đánh giá năng lực ngoại ngữ theo số tín chỉ tích lũy và chuẩn ngoại ngữ đầu ra.,747e2dfa-5162-44c0-b057-ea008bc56246,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT), Điều 3 quy định các hình thức thi trực tuyến được áp dụng gồm:

- **Tự luận với đề thi dạng mở**
- **Trắc nghiệm khách quan**
- **Vấn đáp trực tuyến**
- Hoặc **phối hợp** các hình thức trên.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,7060d712-5765-4580-891f-7520f4b62f63,e3ba59c3-d749-414d-8416-a492c3c3fe7c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,d260b4dc-f8de-4bb5-850d-226941c0b923,8694eb8d-09e7-4385-b921-599a7c96d562",rag_v2,rag,7,45646.61,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác các hình thức thi trực tuyến được quy định tại Điều 3 của văn bản được cung cấp trong ngữ cảnh.,incorrect,"The generated answer lists the formats of the exam (essay, multiple choice, etc.) instead of the types of exams/purposes for which online testing is applied as requested by the question and provided in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_thi_truc_tuyen_simple_004,Có bao nhiêu hình thức thi trực tuyến được áp dụng tại Bách khoa Hà Nội và tên gọi của từng hình thức?,simple,easy,"Bốn hình thức: tự luận với đề thi dạng mở, trắc nghiệm khách quan, vấn đáp trực tuyến, hoặc phối hợp các hình thức trên.",d9fc3bd3-a9a0-42f7-8100-f567df23b78c,"Theo Quy định tổ chức thi theo phương thức trực tuyến (ban hành kèm Quyết định số 1791/QĐ-ĐHBK-ĐT, Điều 3), Trường Đại học Bách khoa Hà Nội áp dụng **03 hình thức thi trực tuyến**:

- **Tự luận với đề thi dạng mở**
- **Trắc nghiệm khách quan**
- **Vấn đáp trực tuyến**

Ngoài ra, có thể phối hợp các hình thức trên trong một kỳ thi.","d9fc3bd3-a9a0-42f7-8100-f567df23b78c,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,e3ba59c3-d749-414d-8416-a492c3c3fe7c",rag_v2,rag,3,31141.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Cả hai câu trả lời đều liệt kê đầy đủ 4 hình thức thi (tự luận, trắc nghiệm, vấn đáp và phối hợp), chỉ khác biệt về cách trình bày.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_005,"Đối với học phần có nhiều lớp và số lượng sinh viên lớn, hình thức thi trực tuyến nào được ưu tiên tại Bách khoa?",simple,easy,Ưu tiên tổ chức thi theo hình thức trắc nghiệm khách quan.,12abd944-cc6b-486f-ac55-2f9bd74b1b06,"Đối với các học phần có nhiều lớp học phần và số lượng sinh viên lớn, hình thức thi trực tuyến được ưu tiên tổ chức là **trắc nghiệm khách quan**.","12abd944-cc6b-486f-ac55-2f9bd74b1b06,747e2dfa-5162-44c0-b057-ea008bc56246,d9fc3bd3-a9a0-42f7-8100-f567df23b78c",rag_v2,rag,3,11458.62,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh tại mục Điều 3, khoản 3a.",correct,Câu trả lời đã truyền tải chính xác và đầy đủ thông tin từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_006,"Khi thi tự luận trực tuyến tại Bách khoa, sinh viên nộp bài bằng cách nào và trong bao nhiêu phút sau hết giờ?",simple,easy,Sinh viên chụp ảnh bài thi và tải lên hệ thống thi trực tuyến. Thời gian chụp ảnh và nộp bài tối đa là 10 phút sau hết giờ làm bài. Quá thời gian này bài thi sẽ không được công nhận.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Khi thi tự luận trực tuyến, sinh viên thực hiện nộp bài như sau:

*   **Cách thức:** Sinh viên chụp ảnh bài thi đã viết tay (đảm bảo rõ nét) và tải (upload) file lên hệ thống thi trực tuyến. Các định dạng file được chấp nhận là JPG, PNG hoặc PDF.
*   **Thời gian:** Sinh viên có tối đa 10 phút để chụp ảnh và nộp bài sau khi hết giờ làm bài thi. Quá thời gian này, bài thi sẽ không được công nhận.","28e75db5-29dc-42f4-8c0e-7b280feb3036,f3007816-161b-4959-a480-80081a8406a9,d9fc3bd3-a9a0-42f7-8100-f567df23b78c,5c926a52-9667-4e30-b5a1-bce0c01c8355,0c7c289c-5e41-42ea-8420-3e41bd0542e4,0a39c202-02fb-4908-89d6-9bddf65af39a,dcffe438-793d-490c-936c-51defbc191a7",rag_v2,rag,7,8748.67,False,good,partially_grounded,complete,"Câu trả lời cung cấp thông tin chính xác về cách thức và thời gian nộp bài dựa trên ngữ cảnh, tuy nhiên lại đưa thêm thông tin về định dạng file (JPG, PNG, PDF) không có trong ngữ cảnh được cung cấp, vi phạm quy tắc về tính trung thực (không bịa đặt thông tin).",correct,Câu trả lời đã truyền tải đầy đủ các thông tin chính từ đáp án tham khảo và bổ sung thêm các chi tiết kỹ thuật hợp lý về định dạng file.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_007,Sinh viên dự thi trực tuyến tại Bách khoa cần đăng nhập bằng tài khoản gì và cần xuất trình giấy tờ nào?,simple,easy,"Đăng nhập bằng tài khoản của trường cấp và xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.",e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Khi tham gia thi trực tuyến tại Đại học Bách khoa Hà Nội, sinh viên cần thực hiện các yêu cầu sau:

*   **Tài khoản đăng nhập:** Sử dụng tài khoản do trường cấp để đăng nhập vào phần mềm thi hoặc phòng thi trực tuyến.
*   **Giấy tờ xuất trình:** Sinh viên cần xuất trình thẻ sinh viên và/hoặc chứng minh nhân dân, căn cước công dân.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,e82d0dc9-23ec-4df8-9914-ed723a159475,792710f5-a9bf-4f6d-a7c1-4780c52e92fa,9790cfbe-69dc-4501-97c2-156c64de6194,02aa9e31-64fb-494f-a07b-7b741ff6112e",rag_v2,rag,5,8242.16,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 4 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin về tài khoản đăng nhập và các loại giấy tờ cần xuất trình như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_008,Sinh viên thi đánh giá chuẩn ngoại ngữ đầu ra trực tuyến tại Bách khoa cần có thêm thiết bị gì so với thi thông thường?,simple,easy,Cần có thêm thiết bị camera thứ hai phục vụ cho việc giám sát thi.,e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,"Đối với kỳ thi đánh giá chuẩn ngoại ngữ đầu ra theo hình thức trực tuyến, ngoài các thiết bị cơ bản (máy tính có kết nối Internet ổn định, camera giám sát, loa/tai nghe và micro), sinh viên cần có thêm **thiết bị camera thứ hai** phục vụ cho việc giám sát thi.","e2ec6ee0-ea82-4a5d-9895-9598ff5c29ad,cc76675a-03f2-4ce9-bd63-e3505995581a,62e638d3-744a-451f-bf9f-ba21910b9635",rag_v2,rag,3,20315.45,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 4, mục 1 của ngữ cảnh.",correct,Câu trả lời đã nêu chính xác yêu cầu về camera thứ hai giống như đáp án tham khảo và cung cấp thêm thông tin bổ trợ hợp lý.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_009,Sinh viên có hành vi gian lận trong thi trực tuyến tại Bách khoa bị xử lý theo quy định nào?,simple,easy,Bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.,28e75db5-29dc-42f4-8c0e-7b280feb3036,"Theo quy định tại tài liệu về các yêu cầu đối với người dự thi trực tuyến, sinh viên có hành vi gian lận thi sẽ bị xử lý kỷ luật theo các quy định hiện hành của Bộ Giáo dục và Đào tạo.","28e75db5-29dc-42f4-8c0e-7b280feb3036,f97f50c3-b0c3-4275-9d9d-33bedb81ffad,747e2dfa-5162-44c0-b057-ea008bc56246,0d4cea85-002a-4b23-b036-4663b4482925,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb",rag_v2,rag,5,14619.78,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ Điều 4, khoản 7 của ngữ cảnh được cung cấp về việc xử lý hành vi gian lận thi trực tuyến.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham chiếu và bổ sung thêm ngữ cảnh hợp lý về nguồn quy định.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_thi_truc_tuyen_simple_010,"Đối với học phần có từ 30 sinh viên trở lên, thi tự luận dạng mở trực tuyến cần tối thiểu bao nhiêu đề thi cho một kíp thi?",simple,easy,Tối thiểu 05 đề thi cho 1 kíp thi.,65f9798f-2ed9-4295-9068-f3c7fede4afb,"Đối với các học phần có từ 30 sinh viên trở lên, hình thức thi tự luận dạng mở trực tuyến yêu cầu tối thiểu **05 đề thi** cho một kíp thi.","65f9798f-2ed9-4295-9068-f3c7fede4afb,b6079877-e159-4022-8b97-64de5f5f1447,12abd944-cc6b-486f-ac55-2f9bd74b1b06",agent,complex,3,6669.56,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin tại Điều 5, khoản 3, mục a của ngữ cảnh cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
