id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
kehoach_list_all_chunks_simple_001,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 30/06/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày 05/05/2026 đến ngày 30/06/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,8068.81,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_002,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 15/08/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày 05/05/2026 đến ngày 15/08/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,33278482-6061-46c5-9591-80f6a3276efc,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,5080.27,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_003,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và 20261 nộp đơn gặp ai tại Ban Đào tạo?,simple,easy,Gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,93f509f0-fab2-47b8-b53a-ecb613d7f719,"Đối với sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027, nơi nhận đơn là Ban Đào tạo (Tầng 1 nhà C1), gặp chuyên viên Nguyễn Kim Huệ.","93f509f0-fab2-47b8-b53a-ecb613d7f719,1c439f64-e234-44b2-9d7c-b416ba23fd81,35d08556-af5c-4513-81e8-ba3229a33997,fa598ac1-3957-4a80-ad28-18f8f338e7b3,c6ade1c2-7f76-4d91-b418-8b53a64f55a8",rag_v2,rag,5,6487.03,False,good,partially_grounded,incomplete,"Câu trả lời bỏ qua thông tin quan trọng từ ngữ cảnh (mục 24 Sổ tay sinh viên) là sinh viên cần gửi đơn qua email (hue.nguyenkim@hust.edu.vn) và không tiếp nhận trực tiếp, thay vì chỉ hướng dẫn gặp trực tiếp chuyên viên.",correct,"The generated answer correctly identifies the location and the specific staff member (Nguyễn Kim Huệ) mentioned in the reference answer, despite a slight variation in the naming of the academic term.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Chào bạn, về việc đăng ký học tập khi tiếp nhận trở lại học tại Đại học Bách khoa Hà Nội, tôi xin thông tin tới bạn như sau:

1. **Thủ tục tiếp nhận:** Theo quy định, sinh viên phải nộp đơn đề nghị tiếp nhận trở lại học chậm nhất 1 tuần trước khi bắt đầu học kỳ mới.
2. **Đăng ký học tập:** Sau khi đã được tiếp nhận trở lại, bạn cần thực hiện quy trình đăng ký học tập theo kế hoạch chung của nhà trường. Đối với học kỳ hè 20253, kế hoạch đăng ký bao gồm:
    * **Đăng ký học phần:** Bạn cần xác định các học phần cần học theo chương trình đào tạo và thực hiện đăng ký trên hệ thống (ctt-sis.hust.edu.vn) theo thời gian quy định (từ 10h00 ngày 16/3/2026 đến 16h ngày 19/4/2026).
    * **Đăng ký lớp:** Sau khi đăng ký học phần thành công, bạn sẽ thực hiện đăng ký lớp (thời gian cụ thể sẽ có thông báo sau). Lưu ý rằng sinh viên đã đăng ký học phần sẽ được ưu tiên đăng ký lớp. Nếu bạn không đăng ký học phần trước, bạn sẽ phải đăng ký lớp vào thời gian ""Đăng ký điều chỉnh"" (dành cho tất cả sinh viên).

Để đảm bảo quyền lợi và thực hiện đúng quy trình, bạn nên theo dõi sát các thông báo trên trang thông tin đào tạo của trường và liên hệ trực tiếp với **Phòng Đào tạo** để được hướng dẫn chi tiết về tình trạng hồ sơ tiếp nhận của cá nhân.","febdd53d-8753-4933-b2ec-dbdf8e4ae2a9,88e7d3dc-faed-4f2d-8da8-242f74d17763,52eaa031-8ee5-40ad-888d-1e2f800b51e5,7eb93900-883a-4e4f-9a10-4f4053e3d6e5,9390fe56-1d81-4068-99a4-fd86e0fccbfc,66bb3caa-bbb5-44c2-bf76-7077d8a48922,38277700-7201-46d1-8e61-992b5ed55991,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,08c2114a-34e6-4841-8be4-647da824797c,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",agent,complex,14,12190.94,False,good,hallucinated,complete,"Trợ lý đã đưa ra thông tin cụ thể về thời gian đăng ký học phần (từ 16/3/2026 đến 19/4/2026) và quy trình đăng ký lớp mà không có trong ngữ cảnh được cung cấp. Đây là hành vi bịa đặt thông tin (hallucination) và thông tin này mang tính thời điểm, cần được xác thực từ nguồn chính thức.",incorrect,"The generated answer contradicts the reference answer by stating that the student needs to register for modules, whereas the reference answer explicitly states that students returning in the summer semester do not need to register for modules.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_005,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày nào?,simple,easy,Cập nhật ngày 28/04/2026.,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày 28/04/2026. Bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/Upload/Nguyễn%20Quốc%20Đạt/files/DTDH_Lichthi/2025-2026/LTGK-CK%2020252A-AB-28042026.pdf).,"/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27236,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25211,73aea3ac-54d2-4a1a-a954-55ed178a11e1,3091d21c-f574-477f-a2a7-e22b96f2f72f,e8327e5e-ea47-4b9e-812c-528ef16f1c3d,97da2544-86a1-436c-8e2f-d464dba15663,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,3c664c5d-8000-4afb-8bfd-456c3bef2e5e",rag_v2,rag,9,8163.63,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp và trả lời đúng trọng tâm câu hỏi của người dùng.",correct,Câu trả lời đã cung cấp chính xác ngày cập nhật theo yêu cầu và bổ sung thêm đường dẫn hữu ích mà không làm sai lệch thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_006,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 27/04/2026 đến ngày 18/05/2026.,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày 27/04/2026 đến ngày 18/05/2026. Bạn có thể xem chi tiết thông báo [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayKeHoach?kehoach=28236).,"31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,68f47a69-4fab-4911-bed5-882f06e12595,f82fc24b-1cc0-4f65-966b-6c65f7dbbf71,e2da6031-35bb-4717-ad0b-6b9743a87649,d6dba542-0a9d-4633-b043-66da6a04f9f7,16304296-b629-4e77-a006-fcfa8c5ff984,537104a4-ac96-4f5d-b661-57b76d224f9f",rag_v2,rag,7,6665.77,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác mốc thời gian theo yêu cầu và thông tin bổ sung không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_007,Điều kiện tín chỉ tích lũy tối thiểu để sinh viên được đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu là bao nhiêu?,simple,easy,Tổng số tín chỉ tích lũy cộng với tín chỉ đang học tại kỳ hiện tại của các học phần bậc cử nhân phải đạt từ 115 TC trở lên.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ **118 tín chỉ trở lên** của chương trình đào tạo cử nhân để được phép đăng ký học tích lũy trước các học phần bậc kỹ sư.

Một số lưu ý kèm theo:
- Sinh viên được học tích lũy trước tối đa 15 tín chỉ.
- Các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,29fa02a8-f103-451e-aba2-ccdfd9d6c501,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,92d8e047-8bb5-4660-93e7-681e3804d5ee",rag_v2,rag,7,10862.75,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",incorrect,The generated answer provides an incorrect threshold (118 credits) compared to the reference answer (115 credits).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_008,Sinh viên đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu được tối đa bao nhiêu tín chỉ?,simple,easy,"Tối đa 15 tín chỉ học phần bậc kỹ sư chuyên sâu (trừ các học phần Đồ án chuyên ngành KS, Thực tập KS và Đồ án tốt nghiệp KS).",68f47a69-4fab-4911-bed5-882f06e12595,"Theo các tài liệu đã cung cấp, sinh viên được đăng ký học tích lũy trước tối đa 15 tín chỉ các học phần thuộc chương trình đào tạo kỹ sư trong quá trình học tập ở bậc cử nhân.","1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,4,8995.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 21, khoản 3 của Quy chế đào tạo kỹ sư).",partial,"Câu trả lời thiếu thông tin quan trọng về việc loại trừ các học phần Đồ án chuyên ngành, Thực tập và Đồ án tốt nghiệp kỹ sư.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_009,"Sau khi đăng ký học tích hợp KSCS thành công, sinh viên được cấp gì?",simple,easy,Sinh viên được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên kỹ sư.,68f47a69-4fab-4911-bed5-882f06e12595,"Sau khi đăng ký học chuyển tiếp lên chương trình đào tạo kỹ sư chuyên sâu (KSCS) thành công và được công nhận tốt nghiệp bậc cử nhân, sinh viên sẽ được:

*   Cấp bằng tốt nghiệp cử nhân theo quy định.
*   Cấp mã số người học mới dựa trên mã số sinh viên bậc cử nhân (đối với sinh viên đã đăng ký học tiếp chương trình đào tạo kỹ sư).","7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,720ab953-7802-40d2-bbd5-c485049281a6,7e4d4297-1f98-4602-aeaa-539cd77c3c1f",rag_v2,rag,3,7161.33,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về việc cấp bằng cử nhân và mã số người học mới khi sinh viên đăng ký học tiếp chương trình kỹ sư.",incorrect,"The generated answer provides different information regarding the student ID and fails to mention the engineer student email, which is the core requirement of the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_010,Học phí các học phần bậc Kỹ sư chuyên sâu được tính như thế nào so với bậc cử nhân?,simple,easy,"Học phí các học phần bậc KSCS được tính theo học phí bậc cử nhân của chương trình đào tạo chuẩn tương ứng, mức học phí trong và ngoài CTĐT là như nhau.",d4df1842-6745-454b-a0b3-e3437844092a,"Học phí đối với các học phần thuộc khung chương trình đào tạo Kỹ sư chuyên sâu được tính như sau:

*   **Mức học phí:** Được tính bằng với mức học phí trên một tín chỉ học phí (TCHP) của chương trình đào tạo đại học chính quy chuẩn tương ứng.
*   **Các trường hợp cụ thể:**
    *   Đối với chương trình Kỹ sư chuyên sâu Kỹ thuật Ô tô số: mức học phí bằng mức học phí chương trình đào tạo cử nhân Kỹ thuật Ô tô.
    *   Đối với chương trình Kỹ sư chuyên sâu Thiết kế vi mạch: mức học phí bằng mức học phí chương trình đào tạo Kỹ thuật Điện tử - Viễn thông.
    *   Đối với chương trình Kỹ sư chuyên sâu Trí tuệ nhân tạo tạo sinh (GenAI): mức học phí bằng mức học phí chương trình đào tạo Khoa học dữ liệu và Trí tuệ nhân tạo (IT-E10).
*   **Lưu ý về chính sách:** Việc hỗ trợ học phí chênh lệch và chế độ miễn giảm học phí theo quy định của Nhà nước không áp dụng với các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu.","8fe4b849-07db-5b96-9173-26b38e8bd1d1,37b43412-4011-58ad-995c-7e29cea4469f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,fe800938-7627-4648-873e-e04252f33280,1fec193d-7ca1-4258-b67b-7b721bc94853,00b56977-9fdc-4772-80e1-05e1da7ea41f,2e32f70a-a561-415f-8e53-7360e45e2423",rag_v2,rag,7,15361.71,True,good,grounded,complete,"Câu trả lời đã trích xuất đầy đủ và chính xác thông tin từ ngữ cảnh được cung cấp về cách tính học phí cho bậc Kỹ sư chuyên sâu, bao gồm cả các trường hợp đặc thù và lưu ý về chính sách miễn giảm.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi là học phí bậc Kỹ sư chuyên sâu được tính bằng mức học phí của chương trình đào tạo chuẩn tương ứng, đồng thời cung cấp thêm các chi tiết cụ thể và lưu ý bổ sung.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
