id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_danh_gia_diem_ren_luyen_SV_2023_simple_001,Quy định đánh giá điểm rèn luyện sinh viên Bách khoa Hà Nội áp dụng cho đối tượng nào?,simple,easy,"Áp dụng cho sinh viên đại học hình thức đào tạo chính quy, không bao gồm lưu học sinh nước ngoài.",6763c7e6-e904-4a63-b6cd-6d8501577078,"Theo các tài liệu tham khảo, Quy định đánh giá kết quả rèn luyện này được ban hành cho **sinh viên của Đại học Bách khoa Hà Nội**. Căn cứ được nhắc đến là Thông tư số 10/2016/TT-BGDDT về Quy chế công tác sinh viên đối với chương trình đào tạo đại học hệ chính quy, do đó đối tượng áp dụng chính là **sinh viên đại học hệ chính quy** của trường.","540719ef-179e-457d-8d6f-5a245f6271bd,c92deb80-a0c6-4d36-a44f-69bd87442f7e,f6e06049-71e8-425f-bc49-c4dfbdae6dad,6c15e6f3-09df-482e-80fe-a6b644a62b65,32c36c72-df33-45c5-9f64-85c4b0809247,e9b377f9-4648-42e1-9e4d-16c9315a99c8,d76f97c5-65c2-4a50-aa90-e9d4ed6725f7",rag_v2,rag,7,37609.25,False,good,hallucinated,incomplete,"Ngữ cảnh được cung cấp trống (no context retrieved), nhưng trợ lý vẫn tự ý đưa ra thông tin và trích dẫn văn bản bên ngoài. Theo quy tắc, nếu không có ngữ cảnh, trợ lý phải báo không đủ thông tin thay vì bịa đặt hoặc tự ý tìm kiếm nguồn ngoài.",partial,Câu trả lời đã nêu đúng đối tượng là sinh viên đại học hệ chính quy nhưng thiếu thông tin quan trọng là quy định này không áp dụng cho lưu học sinh nước ngoài.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_002,Điểm rèn luyện tại Bách khoa Hà Nội được đánh giá bằng thang điểm bao nhiêu và mức Xuất sắc cần đạt bao nhiêu điểm?,simple,easy,Điểm rèn luyện được đánh giá bằng thang điểm 100. Mức Xuất sắc từ 90 đến 100 điểm.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,Điểm rèn luyện tại Đại học Bách khoa Hà Nội được đánh giá bằng **thang điểm 100**. Mức **Xuất sắc** cần đạt từ **90 đến 100 điểm**. (Theo Điều 3 và Điều 24 trong các tài liệu tham khảo).,"58a3f5df-9048-43b1-bd1a-2e92c2d749af,f6e06049-71e8-425f-bc49-c4dfbdae6dad,2d9397a2-c900-4852-a039-a9eca2695ac2,6763c7e6-e904-4a63-b6cd-6d8501577078,e32c1875-5a14-4574-8635-081b9bfc8b75,bb2fb021-3902-45c9-827f-2921192b764e",rag_v2,rag,6,21842.27,False,good,hallucinated,partial,Trợ lý đã tự bịa đặt thông tin về thang điểm và mức xếp loại xuất sắc vì thông tin này không có trong ngữ cảnh được cung cấp.,correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thang điểm và mức điểm xuất sắc theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_003,Điểm rèn luyện từ bao nhiêu đến bao nhiêu được xếp loại Khá tại Bách khoa Hà Nội?,simple,easy,Từ 65 đến dưới 80 điểm được xếp loại Khá.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,"Theo tài liệu tham khảo, điểm rèn luyện được xếp loại Khá khi đạt **từ 65 điểm đến 79 điểm** (theo Điều 24). Một số tài liệu khác quy định là **từ 65 đến dưới 80 điểm**, nhưng ưu tiên theo tài liệu đầu tiên.","f6e06049-71e8-425f-bc49-c4dfbdae6dad,58a3f5df-9048-43b1-bd1a-2e92c2d749af,2d9397a2-c900-4852-a039-a9eca2695ac2,e32c1875-5a14-4574-8635-081b9bfc8b75,895e49cb-8ff6-4700-bbbd-e6c88dcc6a82",rag_v2,rag,5,21266.45,False,good,hallucinated,incomplete,"Ngữ cảnh được cung cấp không chứa thông tin về thang điểm xếp loại rèn luyện (Khá, Giỏi, Xuất sắc...). Trợ lý đã tự ý đưa ra thông tin từ nguồn bên ngoài không có trong ngữ cảnh.",correct,Cả hai câu trả lời đều truyền tải cùng một nội dung chính xác về khung điểm xếp loại Khá (65 đến dưới 80 điểm).,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_004,Điểm rèn luyện toàn khóa tại Bách khoa Hà Nội được tính là trung bình cộng của bao nhiêu học kỳ tối thiểu?,simple,easy,Tối thiểu 07 học kỳ.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,Tôi không tìm thấy thông tin về cách tính điểm rèn luyện toàn khóa (trung bình cộng của bao nhiêu học kỳ tối thiểu) trong các tài liệu tham khảo hiện có. Các tài liệu chỉ đề cập đến điểm rèn luyện từng học kỳ và các tiêu chí xét học bổng liên quan đến điểm rèn luyện học kỳ.,"/ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/Quy%20%C4%91%E1%BB%8Bnh%20HB%20KKHT%20n%C4%83m%202022.pdf,/library.hust.edu.vn/vi/node/1031,/ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/Khung-DGRL-2020-2021.pdf,e32c1875-5a14-4574-8635-081b9bfc8b75,18f2acf9-7293-4ebd-bd17-879618732b0f,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,5181de94-b0aa-46d9-a993-d20c4259162d,9f2e4559-6d1b-41cf-8e53-46a0cb246167,5c189589-c46c-460b-87d7-bf63762eaa04",rag_v2,rag,10,33370.19,True,good,grounded,complete,"Ngữ cảnh không cung cấp thông tin về cách tính điểm rèn luyện toàn khóa, trợ lý đã trả lời trung thực dựa trên ngữ cảnh và đề xuất tìm kiếm thông tin chính thức.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer correctly identifies that the calculation is based on a minimum of 07 semesters.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_005,Điểm rèn luyện của năm học tại Bách khoa Hà Nội được tính như thế nào?,simple,easy,Là trung bình cộng của điểm rèn luyện các học kỳ của năm học đó.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,"Theo Quy định đánh giá kết quả rèn luyện của sinh viên Đại học Bách khoa Hà Nội (Điều 5), điểm rèn luyện của năm học được tính là **trung bình cộng của điểm rèn luyện các học kỳ thuộc năm học đó**.","ac10eee1-e011-4914-90f2-dd49a1c5caf0,58a3f5df-9048-43b1-bd1a-2e92c2d749af,01a026a0-8d35-4898-a00c-080a11634939,f6e06049-71e8-425f-bc49-c4dfbdae6dad,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,2d9397a2-c900-4852-a039-a9eca2695ac2,0775f280-836d-478c-90dd-2f1d29901223",rag_v2,rag,7,15731.21,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 5, khoản 3).",correct,"Câu trả lời đã nêu chính xác cách tính điểm rèn luyện năm học là trung bình cộng của các học kỳ trong năm đó, tương đồng hoàn toàn với đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_006,Kết quả đánh giá rèn luyện toàn khóa được ghi vào tài liệu nào của sinh viên khi tốt nghiệp?,simple,easy,Được ghi vào bảng điểm kết quả học tập và lưu trong hồ sơ của người học khi tốt nghiệp.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Theo Quy chế đào tạo (Chương IV, Điều 25), kết quả đánh giá rèn luyện toàn khóa học của sinh viên được cấp trong hồ sơ tốt nghiệp. Theo Quy định (Điều 6), kết quả này được ghi chung vào bảng điểm kết quả học tập và lưu trong hồ sơ của người học khi tốt nghiệp.

→ Như vậy, kết quả rèn luyện toàn khóa được ghi vào **bảng điểm kết quả học tập** và lưu trong **hồ sơ tốt nghiệp** của sinh viên.","f6e06049-71e8-425f-bc49-c4dfbdae6dad,709acc59-af70-4f5c-8ff0-4edae3a89605,6c15e6f3-09df-482e-80fe-a6b644a62b65,c6dd14b6-6c76-4236-b771-e8f74f3de111,ac10eee1-e011-4914-90f2-dd49a1c5caf0,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,6,25338.56,False,good,hallucinated,incomplete,Ngữ cảnh được cung cấp không chứa thông tin về việc kết quả rèn luyện được ghi vào tài liệu nào khi tốt nghiệp. Trợ lý đã tự ý đưa ra thông tin từ nguồn bên ngoài (Quy chế đào tạo) không có trong ngữ cảnh.,correct,Câu trả lời đã nêu đầy đủ và chính xác các thông tin về việc ghi kết quả rèn luyện vào bảng điểm và lưu trong hồ sơ tốt nghiệp như đáp án tham khảo.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_007,Sinh viên bị xếp loại rèn luyện Yếu trong hai học kỳ liên tiếp tại Bách khoa sẽ bị ảnh hưởng như thế nào?,simple,easy,Bị hạn chế đăng ký học tập tương đương cảnh báo học tập mức 2.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Theo **Điều 6, mục 4** của quy định, sinh viên bị xếp loại rèn luyện **Yếu hoặc Kém trong hai học kỳ liên tiếp** sẽ bị:

- **Hạn chế đăng ký học tập**, tương đương với mức **cảnh báo học tập mức 2**.

Việc xử lý này do Phòng/Ban chức năng Đào tạo phối hợp với Phòng/Ban chức năng Công tác sinh viên thực hiện (theo **Điều 8, mục 2**).","709acc59-af70-4f5c-8ff0-4edae3a89605,7d462060-34ee-47b7-8bf2-ade7687f8e02,5d347da2-c4f6-4504-b610-4bb7b016fc4e",rag_v2,rag,3,20871.38,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,The generated answer correctly identifies the consequence (limitation on registration equivalent to academic warning level 2) and provides additional relevant context without contradicting the reference answer.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_008,Kết quả đánh giá điểm rèn luyện được công bố công khai trước bao nhiêu ngày trước khi ban hành quyết định chính thức?,simple,easy,Trước 14 ngày.,3eadf358-0021-4cb2-b450-e5cc18076dfa,Tôi không tìm thấy thông tin về thời gian công bố kết quả đánh giá điểm rèn luyện trước khi ban hành quyết định chính thức trong các tài liệu tham khảo hiện có.,"cd2f5755-2ee3-4964-825e-133cee1d4fed,3d17ef49-f15b-4846-b700-7b48a37dcd56,10a77213-1105-4d32-9fe2-197392ad6ccd,18f2acf9-7293-4ebd-bd17-879618732b0f,d4df1842-6745-454b-a0b3-e3437844092a,e2da6031-35bb-4717-ad0b-6b9743a87649,f30723ed-b476-4c8c-b62d-378188e76137,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27236,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_Kehoach/2025-2026/KH%20nam%20hoc%202025-2026_Full.pdf,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_Kehoach/2025-2026/KH%20nam%20hoc%202025-2026_CN_KS.pdf",rag_v2,rag,10,27784.18,True,good,grounded,complete,"Ngữ cảnh không cung cấp thông tin về quy định thời gian công bố điểm rèn luyện, trợ lý đã trả lời trung thực dựa trên ngữ cảnh.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer clearly states the 14-day requirement.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_009,Sinh viên Bách khoa có quyền khiếu nại kết quả điểm rèn luyện trong thời hạn tối thiểu bao nhiêu ngày?,simple,easy,Tối thiểu 15 ngày.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Theo tài liệu tham khảo, sinh viên có quyền khiếu nại kết quả điểm rèn luyện trong thời gian tối thiểu là **15 ngày**, kể từ thời điểm Hội đồng đánh giá rèn luyện sinh viên cấp Đại học công bố thời gian nhận khiếu nại.","1d027fed-86ee-419d-ad43-39866cc3a23d,ec1d7a3c-baa4-45fc-83f6-3ff6ca9607f7,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,3,16327.23,False,good,hallucinated,complete,"Ngữ cảnh cung cấp trống (no context retrieved) nhưng trợ lý vẫn đưa ra con số cụ thể (15 ngày), đây là hành vi bịa đặt thông tin.",correct,Câu trả lời đã nêu đúng thời hạn tối thiểu là 15 ngày theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_010,"Khi nhận được đơn khiếu nại điểm rèn luyện, các đơn vị phải trả lời sinh viên trong thời gian tối đa bao nhiêu ngày?",simple,easy,Không quá 07 ngày kể từ ngày nhận được đơn khiếu nại.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Theo Điều 7 của Quy chế đánh giá rèn luyện sinh viên, khi nhận được đơn khiếu nại, các đơn vị có trách nhiệm trả lời sinh viên trong thời gian không quá **07 ngày** kể từ ngày nhận đơn.","1d027fed-86ee-419d-ad43-39866cc3a23d,e9b377f9-4648-42e1-9e4d-16c9315a99c8,3eadf358-0021-4cb2-b450-e5cc18076dfa",rag_v2,rag,3,13533.59,False,good,hallucinated,complete,"Ngữ cảnh được cung cấp trống rỗng, nhưng trợ lý đã tự ý đưa ra thông tin cụ thể (07 ngày) mà không có căn cứ từ ngữ cảnh. Đây là hành vi bịa đặt thông tin.",correct,Câu trả lời đã truyền tải chính xác thông tin về thời hạn 07 ngày theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
