id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
1__QD_Hoc_bong_KKHT_2023_simple_001,Quyết định ban hành Quy định xét cấp học bổng KKHT tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,89046781-0122-48eb-85c2-7baed599923d,Quyết định ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc (ký thay Giám đốc) ký.,"89046781-0122-48eb-85c2-7baed599923d,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6,0b8da89f-51d2-48ec-9752-ade4b2dd1456,eb93021c-c166-41d3-8ce2-7bab03c2cbef,51697373-bff8-4e3d-b4b7-0445464c1e79,56b2f15f-466c-40f3-9ec2-b29c81b15872,60f95c34-f5ea-45a6-806b-2ebb55e8db5e",rag_v2,rag,7,17320.76,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về Quyết định ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội.,correct,Cả hai câu trả lời đều xác định đúng người ký là PGS.TS. Nguyễn Phong Điền với tư cách là Phó Giám đốc ký thay Giám đốc.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_002,Quy định xét cấp học bổng KKHT của Đại học Bách khoa Hà Nội áp dụng đối với đối tượng sinh viên nào?,simple,easy,Áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,"Theo Quy định xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, đối tượng áp dụng là sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.","2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,8fbc8520-f66a-4849-a64e-b3e5086459f2,ba5ffe2a-b465-4912-bac3-ab63163a5e55,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,075114cd-700b-422e-ae89-9f27c672dcd3,01a026a0-8d35-4898-a00c-080a11634939,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,7,6117.73,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác đối tượng áp dụng từ Điều 1, khoản 2 của văn bản quy định về học bổng khuyến khích học tập trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin về đối tượng áp dụng học bổng KKHT tại Đại học Bách khoa Hà Nội như trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_003,Học bổng KKHT tại Đại học Bách khoa Hà Nội được xét theo chu kỳ nào trong năm học?,simple,easy,"Học bổng KKHT được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.",075114cd-700b-422e-ae89-9f27c672dcd3,"Học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.","075114cd-700b-422e-ae89-9f27c672dcd3,61ad4466-603d-4799-a251-6382f4db1234,346ca798-e5db-4dad-bbad-904cfc80453b,b1cd7b78-9893-4784-8f6c-b6dce5f07eb5,9d6ff65f-2a99-4a81-b296-37259497f611",rag_v2,rag,5,6990.27,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 1).",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp về nội dung và ý nghĩa với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_004,Quỹ học bổng KKHT tại Đại học Bách khoa Hà Nội được hình thành từ nguồn nào và chiếm bao nhiêu phần trăm?,simple,easy,Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% học phí của học kỳ lấy điểm xét cấp học bổng.,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, quỹ học bổng khuyến khích học tập (KKHT) được hình thành từ nguồn học phí và bằng 8% (tám phần trăm) học phí của học kỳ lấy điểm xét cấp học bổng.","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc",rag_v2,rag,3,10577.0,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_005,Học bổng KKHT loại A (xuất sắc) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại A (xuất sắc) bằng 1,5 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại xuất sắc (loại A) có giá trị bằng 1,5 lần mức học bổng loại khá.","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,dd0edcae-b5fc-4abe-bac4-d82f3556ef19",rag_v2,rag,3,18058.21,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 2, mục 4c.",correct,Câu trả lời đã nêu chính xác thông tin về tỷ lệ giá trị học bổng loại A so với loại khá theo đúng yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_006,Học bổng KKHT loại B (giỏi) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại B (giỏi) bằng 1,2 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại giỏi (loại B) có giá trị bằng 1,2 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,dd0edcae-b5fc-4abe-bac4-d82f3556ef19",rag_v2,rag,3,8348.48,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_007,Mức học bổng KKHT loại C (khá) được tính như thế nào tại Đại học Bách khoa Hà Nội?,simple,easy,Học bổng loại khá (loại C) bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, mức học bổng loại khá (loại C) được tính bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).","075114cd-700b-422e-ae89-9f27c672dcd3,33e5f90d-f621-4fdd-9f9d-46e19b781547,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc",rag_v2,rag,3,6929.18,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_008,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại C (khá)?,simple,easy,"GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, để được xét học bổng loại C (loại khá), sinh viên cần đạt các tiêu chuẩn sau:

* **GPA:** ≥ 2,5
* **Điểm rèn luyện học kỳ:** ≥ 65 điểm","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,01a026a0-8d35-4898-a00c-080a11634939",rag_v2,rag,3,9485.5,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về GPA và điểm rèn luyện tối thiểu giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_009,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại B (giỏi)?,simple,easy,"GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, để được xét học bổng loại B (giỏi), sinh viên cần đạt các tiêu chuẩn tối thiểu sau:

* **GPA:** ≥ 3,2
* **Điểm rèn luyện học kỳ:** ≥ 80 điểm","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,01a026a0-8d35-4898-a00c-080a11634939",rag_v2,rag,3,8716.98,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về GPA và điểm rèn luyện theo yêu cầu của câu hỏi giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_010,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại A (xuất sắc)?,simple,easy,"GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, để được xét cấp học bổng loại A (xuất sắc), sinh viên cần đạt các tiêu chuẩn sau:

* GPA ≥ 3,6
* Điểm rèn luyện học kỳ ≥ 90 điểm","075114cd-700b-422e-ae89-9f27c672dcd3,2d9397a2-c900-4852-a039-a9eca2695ac2,01a026a0-8d35-4898-a00c-080a11634939",rag_v2,rag,3,19567.08,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 3 của quy định.",correct,Câu trả lời được tạo ra cung cấp đầy đủ và chính xác các thông tin về GPA và điểm rèn luyện giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
