id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
1__QD_Hoc_bong_KKHT_2023_simple_001,Quyết định ban hành Quy định xét cấp học bổng KKHT tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,89046781-0122-48eb-85c2-7baed599923d,Quyết định ban hành Quy định xét cấp học bổng Khuyến khích học tập tại Đại học Bách khoa Hà Nội do **PGS.TS. Nguyễn Phong Điền** – Phó Giám đốc (KT. Giám đốc) ký.,"89046781-0122-48eb-85c2-7baed599923d,e053e3d7-e235-4fbb-8df1-0a39fd36d9b6,0b8da89f-51d2-48ec-9752-ade4b2dd1456,eb93021c-c166-41d3-8ce2-7bab03c2cbef,51697373-bff8-4e3d-b4b7-0445464c1e79,56b2f15f-466c-40f3-9ec2-b29c81b15872,60f95c34-f5ea-45a6-806b-2ebb55e8db5e",rag_v2,rag,7,22343.75,True,good,grounded,complete,Câu trả lời đúng với ngữ cảnh: văn bản quyết định về học bổng KKHT ghi rõ người ký là PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc.,incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Both answers identify PGS.TS. Nguyễ",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_002,Quy định xét cấp học bổng KKHT của Đại học Bách khoa Hà Nội áp dụng đối với đối tượng sinh viên nào?,simple,easy,Áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, đối tượng áp dụng là:

- **Sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất** của Đại học Bách khoa Hà Nội.","2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,8fbc8520-f66a-4849-a64e-b3e5086459f2,ba5ffe2a-b465-4912-bac3-ab63163a5e55,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,075114cd-700b-422e-ae89-9f27c672dcd3,01a026a0-8d35-4898-a00c-080a11634939,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,7,13521.86,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ, dựa trên ngữ cảnh.",correct,"The generated answer exactly restates the reference answer, identifying the same eligible students (chính quy văn bằng thứ nhất) without any inaccuracies.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_003,Học bổng KKHT tại Đại học Bách khoa Hà Nội được xét theo chu kỳ nào trong năm học?,simple,easy,"Học bổng KKHT được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo tài liệu Quy định xét cấp học bổng KKHT, học bổng được xét cấp **theo từng học kỳ chính của năm học**. Cụ thể, Hội đồng xét cấp học bổng căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó (Điều 2).","075114cd-700b-422e-ae89-9f27c672dcd3,61ad4466-603d-4799-a251-6382f4db1234,346ca798-e5db-4dad-bbad-904cfc80453b,b1cd7b78-9893-4784-8f6c-b6dce5f07eb5,9d6ff65f-2a99-4a81-b296-37259497f611",rag_v2,rag,5,12611.18,True,good,grounded,complete,"Câu trả lời trích dẫn đúng quy định trong ngữ cảnh, trả lời chính xác rằng học bổng KKHT được xét theo từng học kỳ chính của năm học.",incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Generated answer conveys the same",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_004,Quỹ học bổng KKHT tại Đại học Bách khoa Hà Nội được hình thành từ nguồn nào và chiếm bao nhiêu phần trăm?,simple,easy,Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% học phí của học kỳ lấy điểm xét cấp học bổng.,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo **Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội**, Điều 2:

- Quỹ học bổng KKHT được hình thành từ **nguồn học phí**.
- Chiếm **8% (tám phần trăm) học phí của học kỳ lấy điểm xét cấp học bổng**.","075114cd-700b-422e-ae89-9f27c672dcd3,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,3,12423.3,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác nội dung từ ngữ cảnh: quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% học phí của học kỳ xét. Đầy đủ, trung thực và liên quan.",correct,The generated answer conveys exactly the same key facts: the scholarship fund comes from tuition fees and equals 8% of the tuition for the semester used for evaluation.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_005,Học bổng KKHT loại A (xuất sắc) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại A (xuất sắc) bằng 1,5 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo Quy chế xét cấp học bổng khuyến khích học tập của Đại học Bách khoa Hà Nội, học bổng loại xuất sắc (loại A) có giá trị bằng **1,5 lần** mức học bổng loại khá.","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,dd0edcae-b5fc-4abe-bac4-d82f3556ef19",rag_v2,rag,3,11767.79,True,good,grounded,complete,"Câu trả lời khớp hoàn toàn với thông tin trong ngữ cảnh: học bổng loại A bằng 1,5 lần mức học bổng loại khá.",incorrect,Parse error: ,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_006,Học bổng KKHT loại B (giỏi) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại B (giỏi) bằng 1,2 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Học bổng KKHT loại B (giỏi) có giá trị bằng **1,2 lần** mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,dd0edcae-b5fc-4abe-bac4-d82f3556ef19",rag_v2,rag,3,13237.93,True,good,grounded,complete,"Câu trả lời khớp chính xác với thông tin trong ngữ cảnh: học bổng loại B bằng 1,2 lần học bổng loại khá.",correct,"The generated answer states exactly the same key fact (1.2 times the scholarship amount) as the reference answer, with only a minor formatting difference.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_007,Mức học bổng KKHT loại C (khá) được tính như thế nào tại Đại học Bách khoa Hà Nội?,simple,easy,Học bổng loại khá (loại C) bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội (Điều 2), mức học bổng KKHT loại C (khá) được tính bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).","075114cd-700b-422e-ae89-9f27c672dcd3,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,eb93021c-c166-41d3-8ce2-7bab03c2cbef",rag_v2,rag,3,14195.42,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác nội dung từ ngữ cảnh (Điều 2, mục 4a) về cách tính học bổng loại C, đầy đủ và không thêm thông tin ngoài ngữ cảnh.",incorrect,"Parse error: {
  ""match"": ""correct"",
  ""reason"": ""Generated answer includes the same key fact as the reference an",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_008,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại C (khá)?,simple,easy,"GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo **Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, Điều 3**, để được xét học bổng KKHT loại C (khá), sinh viên cần đạt:

- **GPA** ≥ 2,5
- **Điểm rèn luyện học kỳ** ≥ 65 điểm","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,3,13207.73,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác từ ngữ cảnh, cung cấp đầy đủ các điều kiện GPA ≥ 2.5 và điểm rèn luyện ≥ 65 cho học bổng loại C, không bịa đặt hay thiếu thông tin.",correct,The generated answer includes the same GPA and điểm rèn luyện thresholds as the reference answer without any omissions or inaccuracies.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_009,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại B (giỏi)?,simple,easy,"GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Điều 3 Quy định xét cấp học bổng KKHT, để được xét học bổng loại B (giỏi), sinh viên cần đạt:

- **GPA tối thiểu:** 3,2.
- **Điểm rèn luyện học kỳ tối thiểu:** 80 điểm.","2d9397a2-c900-4852-a039-a9eca2695ac2,075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,3,13492.34,True,good,grounded,complete,"Câu trả lời trích xuất đúng và đầy đủ thông tin từ ngữ cảnh (GPA >= 3.2, ĐRL >= 80 điểm) cho học bổng loại B.",correct,"The generated answer correctly states that the minimum GPA is 3.2 and the minimum conduct score is 80, matching the reference answer exactly.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_010,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại A (xuất sắc)?,simple,easy,"GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Điều 3, Quy định xét cấp học bổng KKHT, để được xét học bổng loại A (xuất sắc), sinh viên cần đạt:

- **GPA** ≥ **3,6**
- **Điểm rèn luyện học kỳ** ≥ **90 điểm**","075114cd-700b-422e-ae89-9f27c672dcd3,2d9397a2-c900-4852-a039-a9eca2695ac2,50b1351d-9de8-4399-9fb9-f45a51bd63f3",rag_v2,rag,3,21927.05,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và trung thực với ngữ cảnh, đáp ứng đúng câu hỏi về điều kiện xét học bổng loại A.",correct,"The generated answer includes exactly the same GPA and điểm rèn luyện thresholds as the reference answer, and adds no incorrect information.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
