id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,Quyết định được ký bởi **PGS.TS. Nguyễn Phong Điền** – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội.,"be759c89-beb4-4d2f-9512-aafa86c90d01,318c83f1-4089-499c-92b5-9bf138e4b8e7,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,89046781-0122-48eb-85c2-7baed599923d,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e",rag_v2,rag,7,12301.23,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra cung cấp thông tin chính xác và đầy đủ giống hệt với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,"Theo tài liệu tham khảo, Quyết định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp được áp dụng từ **năm học 2023-2024**. (Nguồn: Quyết định ban hành quy định, Điều 2)","b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,ad526e92-c43c-47a6-ae20-aa357cda5dc5,318c83f1-4089-499c-92b5-9bf138e4b8e7,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee",rag_v2,rag,7,10854.05,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 2 của văn bản 4._QĐ_thi_Olympic_và_ĐMST_2023).",correct,Câu trả lời được tạo ra đã cung cấp chính xác thông tin về năm học áp dụng giống như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Theo Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp (ĐMST) ban hành kèm Quyết định số /QĐ-ĐHBK năm 2023 của Giám đốc Đại học Bách khoa Hà Nội, các nội dung chính bao gồm:

- **Phạm vi điều chỉnh (Điều 1):** Quy định về hoạt động tuyển chọn, bồi dưỡng đội tuyển và tham dự các kỳ thi Olympic cấp quốc gia/quốc tế đối với các môn học/học phần tại ĐHBK Hà Nội và các kỳ thi về ĐMST dành cho sinh viên do Giám đốc Đại học cử tham dự.

- **Thành viên tham gia đội tuyển (Điều 2):**  
  - Kỳ thi Olympic môn học: thành viên phải là sinh viên, học viên đang học tập tại ĐHBK Hà Nội.  
  - Kỳ thi ĐMST: thành viên có thể là sinh viên ĐHBK Hà Nội hoặc cơ sở giáo dục đại học khác, nhưng mỗi đội tuyển phải có tối thiểu 50% là sinh viên ĐHBK Hà Nội.

- **Tuyển chọn và tổ chức đội tuyển (Điều 4):**  
  - Đơn vị chuyên môn lập kế hoạch tổ chức đoàn tham dự (bao gồm phương án tuyển chọn, kế hoạch ôn luyện, dự toán chi phí) và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.  
  - Tổ chức tuyển chọn đội tuyển theo kế hoạch đã duyệt.  
  - Phân công giảng viên có trình độ cao giảng dạy cho đội tuyển theo đề cương bồi dưỡng phù hợp nội dung thi.  
  - Đưa đội tuyển tham dự kỳ thi đúng kế hoạch; nếu có thay đổi, Trưởng đoàn báo cáo Giám đốc để điều chỉnh.  
  - Sau kỳ thi, lập báo cáo kết quả gửi Giám đốc.

- **Trách nhiệm của đơn vị chuyên môn (Điều 9):**  
  - Chủ trì lập kế hoạch, tổ chức ôn luyện, cử cán bộ dẫn đoàn và lập báo cáo tổng kết cho kỳ thi Olympic.  
  - Phối hợp với Phòng/Ban Công tác sinh viên trong việc lựa chọn đội tuyển và cử cán bộ hướng dẫn chuyên môn cho kỳ thi ĐMST.

- **Trách nhiệm thi hành (Điều 3):** Các Phòng/Ban Công tác sinh viên, Đào tạo, Tài chính – Kế toán, Hành chính Tổng hợp và các đơn vị, cá nhân liên quan chịu trách nhiệm thi hành quyết định.","/hust-dev.hust.edu.vn/vi/tuyen-sinh/dai-hoc/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2025-651872.html,/thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/75776/quy-trinh-cong-nhan-cac-cuoc-thi-olympic-hoa-hoc-trong-thoi-gian-hoc-o-bac-dai-hoc-moi-nhat,/tdtt.gov.vn/79-nam-ngay-truyen-thong/id/89390/giai-phap-thuc-hien-chuong-trinh-phat-trien-cac-mon-the-thao-trong-diem-chuan-bi-tham-du-cac-ky-olympic-asiad-giai-doan-2026-2046,e8b76bfb-5b0f-445f-bd1f-22735b850b47,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,318c83f1-4089-499c-92b5-9bf138e4b8e7,be759c89-beb4-4d2f-9512-aafa86c90d01,c90982d1-0a6a-4e9e-a398-e7779bf53aff,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,10,37482.0,False,good,hallucinated,complete,"Câu trả lời chứa thông tin về Điều 2 và Điều 9 (thành viên đội tuyển, trách nhiệm chi tiết của đơn vị chuyên môn) không có trong ngữ cảnh được cung cấp. Việc đưa vào các thông tin không có trong tài liệu nguồn vi phạm nguyên tắc tính trung thực (faithfulness).",correct,"The generated answer provides a more detailed and comprehensive breakdown of the regulations while still encompassing all the core themes mentioned in the reference answer (responsibilities, procedures, and support).",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.3869,1.0,0.1429,1.0,0.2,0.3869
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Để trở thành thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội, sinh viên cần đáp ứng các điều kiện sau:

1.  **Điều kiện về tư cách:** Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.
2.  **Điều kiện về tuyển chọn:** Phải vượt qua quá trình tuyển chọn do đơn vị chuyên môn (Trường, Viện hoặc Khoa phụ trách môn học) tổ chức theo kế hoạch đã được phê duyệt.
3.  **Điều kiện về học tập:** Sau khi được chọn, thành viên phải tham dự đầy đủ khóa học bồi dưỡng kiến thức theo kế hoạch của Đại học với thái độ học tập tích cực và ý thức trách nhiệm cao.

Để biết thông tin chi tiết về kế hoạch tuyển chọn cụ thể cho từng môn học, bạn nên liên hệ trực tiếp với đơn vị chuyên môn (Trường/Viện/Khoa) phụ trách môn học đó hoặc theo dõi thông báo từ Phòng Công tác sinh viên.","cabe3ce2-a2a1-40d0-a498-dfe199575f8e,a041e448-d3b6-4908-a543-a66d861b031d,a0dd4bce-8493-4f05-8558-a2af2ee900f4,c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,e8b76bfb-5b0f-445f-bd1f-22735b850b47,0c6f18da-4bb1-499a-8af2-a3d643cd7203,7e841156-f5f6-491b-b469-916185d70776,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,17921f98-af8e-4a8b-9bd2-68ba50c1ba09",agent,complex,10,10424.93,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ các điều kiện về tư cách (Điều 2), quy trình tuyển chọn (Điều 4) và trách nhiệm học tập (Điều 6) từ ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra bao hàm đầy đủ thông tin cốt lõi từ câu trả lời tham chiếu và bổ sung thêm các chi tiết thực tế về quy trình tuyển chọn.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo Điều 2 của Quy định về thi Olympic và ĐMST 2023, đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp yêu cầu tối thiểu **50%** thành viên là sinh viên ĐHBK Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203,2a57e754-46bd-4fce-bad6-167d2450522e,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,14768.78,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 2, khoản 2 của văn bản 4._QĐ_thi_Olympic_và_ĐMST_2023.",correct,"Câu trả lời đã nêu chính xác yêu cầu tối thiểu 50% thành viên là sinh viên Đại học Bách khoa Hà Nội, tương đương với thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp tại Đại học Bách khoa Hà Nội có thể bao gồm:

*   Sinh viên đang học tập tại Đại học Bách khoa Hà Nội.
*   Sinh viên đang học tập tại các cơ sở giáo dục đại học khác.

**Lưu ý:** Số lượng thành viên trong mỗi đội tuyển phải đảm bảo tối thiểu 50% là sinh viên của Đại học Bách khoa Hà Nội.","a0dd4bce-8493-4f05-8558-a2af2ee900f4,6d7608d0-da32-4b16-85eb-6a6c012a36f6,a041e448-d3b6-4908-a543-a66d861b031d,c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,2a57e754-46bd-4fce-bad6-167d2450522e,0c6f18da-4bb1-499a-8af2-a3d643cd7203,8506be76-c97f-493a-93aa-77a5abd758ce,8e1fdef8-31cb-4bc5-93ea-79b96006f341,be759c89-beb4-4d2f-9512-aafa86c90d01",agent,complex,10,9493.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào nội dung tại Điều 2, khoản 2 của văn bản '4._QĐ_thi_Olympic_và_ĐMST_2023' được cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Theo Điều 3 của Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp (ĐMST) của ĐHBK Hà Nội, mục đích tham dự các kỳ thi này bao gồm:

- Khuyến khích sự sáng tạo, tích cực trong hoạt động giảng dạy, học tập và nghiên cứu khoa học.
- Tạo nguồn bồi dưỡng, đào tạo nhân tài.
- Thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp trong sinh viên.
- Tạo tâm thế chủ động tìm kiếm, tự tạo việc làm của sinh viên sau khi tốt nghiệp.
- Góp phần xây dựng thương hiệu và nâng cao vị thế của ĐHBK Hà Nội.","231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,5fdad7ac-7516-4844-bd51-ab35f6657e3b,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c",rag_v2,rag,7,13004.42,True,good,grounded,complete,Câu trả lời trích dẫn chính xác và đầy đủ mục đích tham dự kỳ thi được quy định tại Điều 3 trong ngữ cảnh cung cấp.,correct,"Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các ý chính từ câu trả lời tham chiếu, đồng thời trình bày rõ ràng hơn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp (ban hành kèm Quyết định số /QĐ-ĐHBK năm 2023), đơn vị có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học là:

- **Đơn vị chuyên môn**, cụ thể là các **Trường, Viện hoặc Khoa** (trong ĐHBK Hà Nội) phụ trách môn học. (Điều 4, Khoản 1: ""…các Trường, Viện hoặc Khoa (trong ĐHBK Hà Nội) phụ trách môn học… lập kế hoạch tổ chức đoàn tham dự…"")

Đơn vị chuyên môn chủ trì phối hợp với các đơn vị liên quan để lập kế hoạch, sau đó trình Giám đốc (qua Phòng/Ban chức năng Công tác sinh viên) phê duyệt. Phòng/Ban Công tác sinh viên có vai trò tư vấn, hướng dẫn chứ không trực tiếp lập kế hoạch.","/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/hust-dev.hust.edu.vn/uploads/sys/news/2024_05/de-an-tuyen-sinh-2024final-da-gop.pdf,/hust-dev.hust.edu.vn/vi/tuyen-sinh/dai-hoc/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2025-651872.html,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b,318c83f1-4089-499c-92b5-9bf138e4b8e7,447c46fa-d9bc-450f-bfee-845a73025fe9,be759c89-beb4-4d2f-9512-aafa86c90d01",rag_v2,rag,10,30098.09,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 4, Khoản 1 của tài liệu QĐ thi Olympic và ĐMST 2023).",correct,Câu trả lời đã nêu đầy đủ và chính xác các đơn vị chịu trách nhiệm lập kế hoạch và quy trình phê duyệt tương ứng với thông tin trong câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo **Điều 4, khoản 1** của Quyết định về thi Olympic và ĐMST năm 2023, bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần bao gồm các nội dung sau:

- **Phương án tuyển chọn đội tuyển**;
- **Kế hoạch tổ chức ôn luyện cho đội tuyển**;
- **Kế hoạch tổ chức đoàn tham dự kỳ thi**, cụ thể:
  - Đề xuất Trưởng đoàn và các thành viên của đoàn;
  - Thời gian thực hiện;
  - Phương tiện di chuyển và nơi lưu trú;
- **Dự toán chi tiết về chi phí tham dự kỳ thi**;
- **Đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí triển khai**.","/fami.hust.edu.vn/loai-tin/tin-hoat-dong/page/3,/fami.hust.edu.vn/tin-tuc/doa-hoa-xuat-sac-cua-khoa-toan-tin-trong-dot-tot-nghiep-2023-2b,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,447c46fa-d9bc-450f-bfee-845a73025fe9,5fdad7ac-7516-4844-bd51-ab35f6657e3b,8506be76-c97f-493a-93aa-77a5abd758ce,c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c",rag_v2,rag,9,27340.52,True,good,grounded,complete,"Câu trả lời trích xuất chính xác và đầy đủ các nội dung cần có trong bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic theo quy định tại Điều 4, khoản 1 của tài liệu ngữ cảnh.",correct,Câu trả lời đã liệt kê đầy đủ và chính xác các nội dung cần thiết theo yêu cầu của câu hỏi và khớp với nội dung trong câu trả lời tham chiếu.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Theo Quyết định về thi Olympic và ĐMST 2023, Điều 4 khoản 4 (phần chi tiết): khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, **Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch**.","71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,4,22216.59,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra chứa đựng đầy đủ thông tin cốt lõi từ câu trả lời tham chiếu và bổ sung thêm thông tin nguồn dẫn chứng chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
