id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_001,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do cơ quan nào ban hành và quy định về vấn đề gì?,simple,easy,"Do Bộ Giáo dục và Đào tạo cùng Bộ Lao động, Thương binh và Xã hội ban hành. Quy định tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.",08d0e430-3330-43f5-8c28-ab3347dbccdf,"Theo **Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH** (tài liệu: *Văn bản 01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN*):

- **Cơ quan ban hành:** Bộ Giáo dục và Đào tạo – Bộ Lao động, Thương binh và Xã hội.
- **Nội dung quy định:** Tổ chức dạy, học và đánh giá kết quả học tập môn học **Giáo dục quốc phòng và an ninh** trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.","08d0e430-3330-43f5-8c28-ab3347dbccdf,854b7e9d-aa64-4499-a464-5d0cb6966af9,c26d5448-b29e-45f2-889c-79673fc57cc0",rag_v2,rag,3,16339.66,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu chính xác cơ quan ban hành và nội dung quy định của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, trùng khớp với thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_002,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày nào?,simple,easy,Có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015.,1edf2db3-b901-4141-a927-e23a677a4b6c,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày **23 tháng 10 năm 2015** (theo Điều 14 của Thông tư).,"1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,c26d5448-b29e-45f2-889c-79673fc57cc0",rag_v2,rag,3,11843.51,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 14 của văn bản 01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN.",correct,Cả hai câu trả lời đều cung cấp chính xác ngày có hiệu lực của Thông tư là 23 tháng 10 năm 2015.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_003,Thông tư liên tịch 18/2015 thay thế những văn bản quy phạm pháp luật nào trước đó về GDQP&AN?,simple,easy,"Thay thế Thông tư số 40/2012/TT-BGDĐT ngày 19/11/2012 của Bộ GD&ĐT và Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25/11/2008 của Bộ LĐ-TB&XH về tổ chức dạy, học và đánh giá kết quả môn GDQP&AN.",1edf2db3-b901-4141-a927-e23a677a4b6c,"Theo Điều 14 của Thông tư liên tịch (tài liệu tham khảo), văn bản này thay thế các quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học GDQP&AN ban hành kèm theo:

- **Thông tư số 40/2012/TT-BGDĐT** ngày 19/11/2012 của Bộ Giáo dục và Đào tạo (Quy định tổ chức dạy, học và đánh giá kết quả môn học Giáo dục quốc phòng - an ninh).
- **Quyết định số 63/2008/QĐ-BLĐTBXH** ngày 25/11/2008 của Bộ Lao động - Thương binh và Xã hội (Quy chế tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở dạy nghề).","1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,854b7e9d-aa64-4499-a464-5d0cb6966af9",rag_v2,rag,3,18152.42,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 14 của văn bản.",correct,Câu trả lời đã liệt kê đầy đủ và chính xác các văn bản quy phạm pháp luật bị thay thế bởi Thông tư liên tịch 18/2015 như trong đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_004,Thông tư liên tịch 18/2015 áp dụng đối với những loại cơ sở giáo dục nào?,simple,easy,"Áp dụng với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, gồm: trường trung cấp, trường cao đẳng, trường đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN; cùng các tổ chức, cá nhân có liên quan.",03c9a959-4ba4-412c-b20c-72a8165cfcab,"Theo Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, Điều 1 (Phạm vi điều chỉnh và đối tượng áp dụng), thông tư này áp dụng đối với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, cụ thể gồm:

- Trường trung cấp
- Trường cao đẳng
- Trường đại học
- Học viện
- Đại học vùng
- Đại học Quốc gia
- Trung tâm Giáo dục quốc phòng và an ninh (GDQP&AN)","03c9a959-4ba4-412c-b20c-72a8165cfcab,08d0e430-3330-43f5-8c28-ab3347dbccdf,1edf2db3-b901-4141-a927-e23a677a4b6c,854b7e9d-aa64-4499-a464-5d0cb6966af9",rag_v2,rag,4,10283.75,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã liệt kê đầy đủ các loại hình cơ sở giáo dục theo đúng nội dung của Thông tư liên tịch 18/2015 như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_005,Môn học GDQP&AN có vị trí như thế nào trong chương trình giáo dục tại các cơ sở giáo dục?,simple,easy,"GDQP&AN là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân, an ninh nhân dân, là môn học chính khóa thuộc chương trình giáo dục của các cơ sở giáo dục.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo Quy chế đào tạo (Thông tư liên tịch 01_1_2015), môn học Giáo dục quốc phòng và an ninh (GDQP&AN) là **môn học chính khóa** thuộc chương trình giáo dục của các cơ sở giáo dục, đồng thời là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân và an ninh nhân dân.","927dd722-b363-4d76-8e60-008ce78d898e,4048c721-2b2a-4a78-b11e-479490cef9b1,13231bd4-da8d-4bdc-a3f5-1a2c6f4ff5e5",rag_v2,rag,3,12191.05,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác vị trí của môn học GDQP&AN dựa trên ngữ cảnh được cung cấp từ Thông tư liên tịch 01/2015/TTLT-BGDĐT-BQP.,correct,Câu trả lời đã truyền tải đầy đủ các ý chính từ đáp án tham khảo và bổ sung thêm thông tin về căn cứ pháp lý một cách chính xác.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_006,Môn học GDQP&AN trang bị cho sinh viên những kiến thức gì?,simple,easy,"Trang bị kiến thức cơ bản về nền quốc phòng toàn dân, an ninh nhân dân; quan điểm của Đảng, chính sách pháp luật nhà nước về quốc phòng - an ninh; truyền thống chống ngoại xâm, lực lượng vũ trang, nghệ thuật quân sự Việt Nam; kiến thức về phòng thủ dân sự, kỹ năng quân sự; sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo Điều 2 của tài liệu “Quy định về đánh giá GDQP&AN”, môn học Giáo dục Quốc phòng và An ninh (GDQP&AN) trang bị cho sinh viên những kiến thức sau:

- Hiểu biết cơ bản về nền quốc phòng toàn dân, an ninh nhân dân.
- Quan điểm của Đảng, chính sách, pháp luật của Nhà nước về quốc phòng và an ninh.
- Truyền thống chống ngoại xâm của dân tộc, lực lượng vũ trang nhân dân và nghệ thuật quân sự Việt Nam.
- Kiến thức cơ bản, cần thiết về phòng thủ dân sự và kỹ năng quân sự.
- Xây dựng nền quốc phòng toàn dân, an ninh nhân dân, lực lượng vũ trang nhân dân.
- Sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.","927dd722-b363-4d76-8e60-008ce78d898e,4cc1171a-bff4-4bda-92aa-51428f57d368,4048c721-2b2a-4a78-b11e-479490cef9b1,3c76013b-ff3d-4835-97ef-b9a7c5f9acfa,e2a1951a-2d3a-46fd-8186-10dd4642e834,229d36fa-6606-4d48-b256-c89f3cdf5328,5fcc84bc-744d-45a1-967b-21bfe15e9605",rag_v2,rag,7,12864.05,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác các nội dung kiến thức mà môn GDQP&AN trang bị cho sinh viên theo quy định tại Điều 2 của ngữ cảnh được cung cấp.,correct,"The generated answer covers all the key points mentioned in the reference answer and provides a clear, structured summary.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_007,"Theo Thông tư liên tịch 18/2015, giáo viên dạy GDQP&AN phải mặc trang phục như thế nào khi giảng dạy?",simple,easy,"Khi giảng dạy tại giảng đường hoặc trên thao trường phải mặc trang phục GDQP&AN theo quy định. Giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Thông tư liên tịch số 01/2015/TTLT-BGDĐT-BLĐTBXH (thường gọi tắt là 18/2015), tại Điều 3, khoản 2 quy định:

- Giáo viên, giảng viên dạy GDQP&AN khi giảng dạy tại giảng đường hoặc trên thao trường phải **mang mặc trang phục GDQP&AN theo quy định**.
- Riêng giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải **mang mặc theo Điều lệnh quân đội, công an nhân dân**.","12ba5d70-d4c5-42c9-a41e-715480b304f8,03c9a959-4ba4-412c-b20c-72a8165cfcab,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,3,20804.79,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác thông tin từ Điều 3, khoản 2 của văn bản được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu, mặc dù có trích dẫn thêm thông tin về văn bản pháp luật.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_008,"Dạy, học GDQP&AN phải đảm bảo những nguyên tắc gì theo Điều 3 Thông tư liên tịch 18/2015?",simple,easy,"Phải đảm bảo tính toàn diện, có trọng tâm trọng điểm; kết hợp lý luận và thực tiễn, lý thuyết và thực hành; phù hợp quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Điều 3 của Thông tư liên tịch quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học GDQP&AN (có hiệu lực từ 23/10/2015), việc dạy và học môn này phải đảm bảo các nguyên tắc sau:

- **Tính toàn diện, trọng tâm, trọng điểm**: Sử dụng hình thức phù hợp, kết hợp lý luận với thực tiễn, lý thuyết với thực hành; phù hợp với quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.
- **Trang phục giảng dạy**: Giáo viên, giảng viên khi giảng dạy (tại giảng đường hoặc thao trường) phải mặc trang phục GDQP&AN theo quy định; riêng giáo viên là sĩ quan quân đội, công an biệt phái mặc theo Điều lệnh quân đội, công an nhân dân.
- **An toàn và thực hiện kế hoạch**: Giáo viên, giảng viên, cán bộ quản lý, học sinh, sinh viên phải thực hiện đúng, đủ kế hoạch giảng dạy, học tập, nội quy, quy tắc đảm bảo an toàn về người, vũ khí, trang thiết bị.","12ba5d70-d4c5-42c9-a41e-715480b304f8,cf2ea3f2-4eb4-40c8-b63d-45b52d63fec8,03c9a959-4ba4-412c-b20c-72a8165cfcab,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,4,35491.74,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác các nội dung tại Điều 3 của văn bản được cung cấp.,correct,The generated answer includes all the principles mentioned in the reference answer while providing additional context from the same article of the circular.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_009,Sinh viên nào được miễn toàn bộ môn học GDQP&AN theo Thông tư liên tịch 18/2015?,simple,easy,"Ba đối tượng được miễn: (a) sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do trường quân đội, công an cấp; (b) sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo; (c) sinh viên là người nước ngoài.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Theo Điều 4 của Thông tư liên tịch (có hiệu lực từ 23/10/2015), các đối tượng được miễn **toàn bộ** môn học GDQP&AN gồm:

- Sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do các trường quân đội, công an cấp.
- Sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo.
- Sinh viên là người nước ngoài.

(Các trường hợp miễn từng phần được quy định riêng tại khoản 2 và 3 Điều 4.)","f8a15b5a-4da9-49dc-a892-e25e30f955b6,84073f1e-03d5-4af1-8e92-b27177ccb8d9,c3120733-3886-44a0-b45f-bd96cd2f1232,03c9a959-4ba4-412c-b20c-72a8165cfcab,9ebee123-3237-4f37-9512-c8adaa6eb6e4,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,6,27965.61,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác các đối tượng được miễn toàn bộ môn học GDQP&AN theo khoản 1 Điều 4 của Thông tư liên tịch 18/2015 được cung cấp trong ngữ cảnh.,correct,Câu trả lời đã nêu đầy đủ và chính xác ba đối tượng được miễn toàn bộ môn học GDQP&AN theo quy định.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_010,Sinh viên được miễn học một số học phần trong chương trình GDQP&AN khi nào?,simple,easy,"Khi có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5 điểm trở lên theo thang điểm 10.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,,"f8a15b5a-4da9-49dc-a892-e25e30f955b6,84073f1e-03d5-4af1-8e92-b27177ccb8d9,9ebee123-3237-4f37-9512-c8adaa6eb6e4",rag_v2,rag,3,40695.47,True,good,grounded,complete,"Câu trả lời của trợ lý đã cung cấp đầy đủ các trường hợp được miễn học, miễn thi học phần hoặc miễn nội dung thực hành trong chương trình GDQP&AN dựa trên Điều 4 của văn bản 01/2015/TTLT-BGDĐT-BQP.",incorrect,The generated answer is empty and therefore fails to provide any information.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
