id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
kehoach_list_all_chunks_simple_001,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 30/06/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày 05/05/2026 đến ngày 30/06/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,7561.05,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_002,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 15/08/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày 05/05/2026 đến ngày 15/08/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,33278482-6061-46c5-9591-80f6a3276efc,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,5537.86,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_003,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và 20261 nộp đơn gặp ai tại Ban Đào tạo?,simple,easy,Gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,93f509f0-fab2-47b8-b53a-ecb613d7f719,Sinh viên làm thủ tục tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027 cần nộp đơn cho chuyên viên **Nguyễn Kim Huệ** tại Ban Đào tạo (Tầng 1 nhà C1).,"93f509f0-fab2-47b8-b53a-ecb613d7f719,1c439f64-e234-44b2-9d7c-b416ba23fd81,e0ceeb51-2d84-4c9a-a5d1-d51f4f73d90a,536cfd55-1209-499d-bbeb-302bfa730043,fa598ac1-3957-4a80-ad28-18f8f338e7b3,ef73c8d4-46f2-4f13-bf72-ef8a1c1a1f38",rag_v2,rag,6,7175.72,False,good,hallucinated,incomplete,"Ngữ cảnh mâu thuẫn: Một văn bản thông báo ghi nộp đơn tại Tầng 1 nhà C1 gặp chuyên viên Nguyễn Kim Huệ, nhưng văn bản hướng dẫn thủ tục (mục 24) lại quy định sinh viên gửi đơn qua email cho chuyên viên Nguyễn Kim Huệ và không tiếp nhận trực tiếp. Câu trả lời của trợ lý đã bỏ qua thông tin quan trọng về việc gửi qua email và đưa thông tin địa điểm có thể gây hiểu lầm cho sinh viên.",correct,"Cả hai câu trả lời đều xác định đúng người cần gặp là chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1), sự khác biệt về cách gọi tên kỳ học không làm thay đổi thông tin cốt lõi.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Theo tài liệu về việc tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027, sinh viên tiếp nhận trở lại học **không cần đăng ký học phần**.

Sinh viên thực hiện đăng ký lớp học trực tiếp trên hệ thống đăng ký lớp trong đợt đăng ký điều chỉnh.","1c439f64-e234-44b2-9d7c-b416ba23fd81,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,33278482-6061-46c5-9591-80f6a3276efc,3a8a340a-14a0-4d31-adb2-ddda7085efa9,985eaee0-a4a5-4dc4-a7ee-5de4bc2c3f88,3bdfc505-a39b-49ec-b252-230769593079",rag_v2,rag,7,9761.69,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào văn bản hướng dẫn về việc tiếp nhận sinh viên trở lại học, nêu rõ sinh viên không cần đăng ký học phần mà thực hiện đăng ký lớp trong đợt điều chỉnh.",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ đáp án tham khảo, khẳng định sinh viên không cần đăng ký học phần mà chỉ cần đăng ký lớp học trong đợt điều chỉnh.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_005,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày nào?,simple,easy,Cập nhật ngày 28/04/2026.,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày 28/04/2026. Bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/Upload/Nguyễn%20Quốc%20Đạt/files/DTDH_Lichthi/2025-2026/LTGK-CK%2020252A-AB-28042026.pdf).,"/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27236,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25211,73aea3ac-54d2-4a1a-a954-55ed178a11e1,3091d21c-f574-477f-a2a7-e22b96f2f72f,e8327e5e-ea47-4b9e-812c-528ef16f1c3d,97da2544-86a1-436c-8e2f-d464dba15663,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,3c664c5d-8000-4afb-8bfd-456c3bef2e5e",rag_v2,rag,9,8802.23,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp và trả lời đúng trọng tâm câu hỏi của người dùng.",correct,Câu trả lời đã cung cấp chính xác ngày cập nhật theo yêu cầu và bổ sung thêm đường dẫn hữu ích mà không làm sai lệch thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_006,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 27/04/2026 đến ngày 18/05/2026.,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,"Theo Thông báo đăng ký học tích hợp chương trình Kỹ sư chuyên sâu học kỳ 2025.2, mốc thời gian đăng ký form tích hợp là từ ngày 27/04/2026 đến ngày 18/05/2026.

Bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayKeHoach?kehoach=28236).","31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,68f47a69-4fab-4911-bed5-882f06e12595,f82fc24b-1cc0-4f65-966b-6c65f7dbbf71,060e3c41-3c9c-44db-9822-9ecfa564684e,b5bae25d-078e-4aef-bfe7-62c85f258897,e2da6031-35bb-4717-ad0b-6b9743a87649,d6dba542-0a9d-4633-b043-66da6a04f9f7",rag_v2,rag,7,17041.91,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác mốc thời gian theo yêu cầu của câu hỏi và khớp hoàn toàn với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_007,Điều kiện tín chỉ tích lũy tối thiểu để sinh viên được đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu là bao nhiêu?,simple,easy,Tổng số tín chỉ tích lũy cộng với tín chỉ đang học tại kỳ hiện tại của các học phần bậc cử nhân phải đạt từ 115 TC trở lên.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo Hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ **118 tín chỉ trở lên** của chương trình đào tạo cử nhân để được phép học tích lũy trước các học phần thuộc chương trình đào tạo kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,da4da67a-5a72-4574-ba57-21e7c93be4c8",rag_v2,rag,3,19494.27,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (mục A, phần 2: Điều kiện học chuyển tiếp Cử nhân - Kỹ sư chuyên sâu đặc thù).",incorrect,The generated answer provides an incorrect credit threshold (118 credits) compared to the reference answer (115 credits) and fails to include the credits currently being studied in the current semester.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_008,Sinh viên đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu được tối đa bao nhiêu tín chỉ?,simple,easy,"Tối đa 15 tín chỉ học phần bậc kỹ sư chuyên sâu (trừ các học phần Đồ án chuyên ngành KS, Thực tập KS và Đồ án tốt nghiệp KS).",68f47a69-4fab-4911-bed5-882f06e12595,"Theo Quy chế đào tạo và Hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù, sinh viên đang học bậc cử nhân được đăng ký học tích lũy trước tối đa **15 tín chỉ** các học phần thuộc chương trình đào tạo kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,eef54984-8702-4bed-80cc-c80308ef2150,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,4,9600.53,True,good,grounded,complete,"Câu trả lời chính xác, dựa trên thông tin tại Điều 21, khoản 3 của Quy chế đào tạo và mục 2A trong Hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù được cung cấp trong ngữ cảnh.",partial,"The generated answer correctly identifies the 15-credit limit but fails to mention the specific exclusions (Đồ án chuyên ngành, Thực tập, Đồ án tốt nghiệp) provided in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_009,"Sau khi đăng ký học tích hợp KSCS thành công, sinh viên được cấp gì?",simple,easy,Sinh viên được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên kỹ sư.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù (180 tín chỉ), sau khi đăng ký học tiếp chương trình kỹ sư thành công, sinh viên sẽ được cấp mã số người học mới dựa trên mã số sinh viên bậc cử nhân.","7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,720ab953-7802-40d2-bbd5-c485049281a6,8038a171-9e3d-4b1f-8cfd-28fc5e97e6bf",rag_v2,rag,3,12922.48,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",partial,Câu trả lời của sinh viên thiếu thông tin về việc được cấp email học viên kỹ sư và mô tả mã số học viên chưa chính xác so với đáp án tham khảo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_010,Học phí các học phần bậc Kỹ sư chuyên sâu được tính như thế nào so với bậc cử nhân?,simple,easy,"Học phí các học phần bậc KSCS được tính theo học phí bậc cử nhân của chương trình đào tạo chuẩn tương ứng, mức học phí trong và ngoài CTĐT là như nhau.",d4df1842-6745-454b-a0b3-e3437844092a,"Theo các tài liệu quy định về học phí, mức học phí cho mỗi tín chỉ học phí (TCHP) đối với các học phần thuộc khung chương trình đào tạo Kỹ sư chuyên sâu được tính bằng với mức học phí cho mỗi TCHP của chương trình đào tạo đại học chính quy chuẩn tương ứng.

Ngoài ra, cần lưu ý một số điểm cụ thể sau:
*   **Chương trình Kỹ sư chuyên sâu Kỹ thuật Ô tô số:** Mức học phí bằng mức học phí chương trình đào tạo cử nhân Kỹ thuật Ô tô.
*   **Chương trình Kỹ sư chuyên sâu Thiết kế vi mạch:** Mức học phí bằng mức học phí chương trình đào tạo Kỹ thuật Điện tử - Viễn thông.
*   **Chương trình Kỹ sư chuyên sâu Trí tuệ nhân tạo tạo sinh (GenAI):** Mức học phí bằng mức học phí chương trình đào tạo Khoa học dữ liệu và Trí tuệ nhân tạo (IT-E10).
*   **Chế độ miễn giảm:** Việc hỗ trợ học phí chênh lệch và chế độ miễn giảm học phí theo quy định của Nhà nước không áp dụng với các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu.","8fe4b849-07db-5b96-9173-26b38e8bd1d1,37b43412-4011-58ad-995c-7e29cea4469f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,fe800938-7627-4648-873e-e04252f33280,1fec193d-7ca1-4258-b67b-7b721bc94853,00b56977-9fdc-4772-80e1-05e1da7ea41f",rag_v2,rag,6,10615.27,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về cách tính học phí cho các chương trình kỹ sư chuyên sâu, bao gồm cả các trường hợp đặc thù và lưu ý về chế độ miễn giảm học phí.",correct,"Câu trả lời đã truyền tải đúng thông tin cốt lõi là học phí bậc Kỹ sư chuyên sâu bằng với bậc cử nhân tương ứng, đồng thời cung cấp thêm các chi tiết cụ thể giúp làm rõ hơn nội dung.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
