id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_001,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa nào trở đi?,simple,easy,Áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.,ac75f157-2b84-4dd1-8127-ca04dcea21d2,"Theo Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC), chương trình này áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học tập theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.","ac75f157-2b84-4dd1-8127-ca04dcea21d2,1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,b985fb9c-7425-42bd-ae10-232d12f95390",rag_v2,rag,7,11179.68,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_002,Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu bao nhiêu tín chỉ để được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu?,simple,easy,Sinh viên cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu **118 tín chỉ** trở lên của chương trình đào tạo cử nhân để được phép học tích lũy trước tối đa 15 tín chỉ của chương trình đào tạo Kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,da4da67a-5a72-4574-ba57-21e7c93be4c8,0d0a90c8-c722-4c26-ae5c-66c4030a50f0",rag_v2,rag,7,15895.38,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Cả hai câu trả lời đều nêu đúng con số 118 tín chỉ là điều kiện tối thiểu để sinh viên được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_003,Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa bao nhiêu tín chỉ của chương trình Kỹ sư chuyên sâu?,simple,easy,Tối đa 15 tín chỉ. Trường hợp học tích lũy trước nhiều hơn 15 tín chỉ cũng chỉ được công nhận tối đa 15 tín chỉ.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo quy định tại ""Hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù"" và ""Quy chế đào tạo - Chương III: Đào tạo kỹ sư"", sinh viên chưa tốt nghiệp bậc cử nhân được phép học tích lũy trước tối đa **15 tín chỉ** của chương trình đào tạo kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,da4da67a-5a72-4574-ba57-21e7c93be4c8,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,6381c6e7-76fa-430e-b855-24e7c33898bb",rag_v2,rag,5,13927.14,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (cả phần hướng dẫn học tập và quy chế đào tạo đều quy định mức tối đa là 15 tín chỉ).",correct,Câu trả lời đã nêu đúng con số 15 tín chỉ và truyền tải đầy đủ thông tin cốt lõi từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về vấn đề các học phần đã tích lũy trước chương trình Kỹ sư chuyên sâu, quy định của Đại học Bách Khoa Hà Nội như sau:

1. **Đối với sinh viên chưa tốt nghiệp bậc cử nhân:** Các học phần bạn đã học tích lũy trước **sẽ không được tính** vào chương trình đào tạo (CTĐT) Kỹ sư cho tới khi bạn được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp CTĐT Kỹ sư.
2. **Đối với sinh viên đã tốt nghiệp bậc cử nhân:** Khi bạn được công nhận tốt nghiệp cử nhân và chính thức chuyển sang học CTĐT Kỹ sư, các học phần đã tích lũy trước đó sẽ được xét công nhận thuộc CTĐT Kỹ sư của bạn.

Lưu ý rằng việc công nhận và chuyển đổi tín chỉ sẽ được thực hiện trên cơ sở đối sánh chuẩn đầu ra, nội dung, khối lượng học tập và cách thức đánh giá của từng học phần hoặc nhóm học phần theo quy định.

Nếu cần xác nhận cụ thể về trường hợp của mình, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ chính xác nhất.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,040125ca-904b-49d4-8ef6-ae3318bc1092,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1d2d6f79-e9d1-40fd-b188-9a3e16afe397,37b43412-4011-58ad-995c-7e29cea4469f,03fcc47c-49dd-4eb4-b05a-f62898a5986d,63238a1f-b201-429a-ad20-002a67a82ff3,10733c54-298f-4ea9-8ead-a60c4f1ed978,8fd80084-2714-48f8-a06a-30264ee58d26,212eb491-0182-43ee-abcb-b92b8d8d5ec7,90e9bd29-f531-4914-a856-48b62f0d045c,a94a0dc5-b08b-4727-aca1-05a79ad2a07a",agent,complex,13,14041.48,True,good,grounded,complete,Câu trả lời phản ánh chính xác và đầy đủ các quy định trong ngữ cảnh về việc công nhận học phần tích lũy trước cho chương trình Kỹ sư chuyên sâu đặc thù.,correct,"Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham chiếu và bổ sung thêm các chi tiết giải thích rõ ràng, chính xác về quy trình xét công nhận tín chỉ.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_005,Sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu phải làm gì?,simple,easy,Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển thực hiện theo quy định và hướng dẫn riêng.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, đối với sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu tại Đại học Bách khoa Hà Nội, bạn có thể thực hiện theo các hướng dẫn sau:

1. **Tìm hiểu quy định:** Bạn nên tham khảo ""Hướng dẫn học chuyển tiếp chương trình kỹ sư chuyên sâu đặc thù (180 TC)"" tại cổng thông tin đào tạo của trường để nắm rõ các yêu cầu cụ thể về học phần và điều kiện chuyển tiếp.
2. **Thủ tục đăng ký:** 
   - Bạn cần tải đơn đăng ký thay đổi chương trình đào tạo Kỹ sư chuyên sâu.
   - Điền đầy đủ thông tin và xin xác nhận của Trường/Khoa quản lý ngành.
   - Gửi đơn đã hoàn thiện qua email cho chuyên viên phụ trách: **hung.nguyenhuy@hust.edu.vn** (Nguyễn Huy Hùng).

Để được hướng dẫn chi tiết và xác nhận chính thức về lộ trình học tập cá nhân, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** hoặc chuyên viên phụ trách tại Trường/Khoa quản lý ngành của bạn.","d7085a52-6ea2-42fa-8955-e65a17fedeee,c6af41fa-6b81-4406-9741-1e12a9b33e0d,3bd80f7a-5584-476c-86be-33d22c8ca522,37b43412-4011-58ad-995c-7e29cea4469f,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,95475683-9f13-5f94-99c8-d6ab0c973c8f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1fec193d-7ca1-4258-b67b-7b721bc94853,57958025-04df-4643-a2eb-f6cdaf6b4ce1,52573dc4-f35b-4db2-8284-b1a26e450891",agent,complex,10,11589.22,True,good,grounded,complete,"Câu trả lời đã cung cấp đầy đủ các bước cần thiết dựa trên ngữ cảnh được cung cấp, bao gồm việc tham khảo hướng dẫn học chuyển tiếp và quy trình nộp đơn đăng ký thay đổi chương trình đào tạo.",correct,"The generated answer provides the same core information as the reference answer while adding specific, helpful procedural details for a particular institution.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_006,Sinh viên chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu nào?,simple,easy,Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu chuẩn.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Chào bạn, về việc học chuyển tiếp từ chương trình Elitech lên chương trình Kỹ sư chuyên sâu, tôi xin cung cấp thông tin như sau:

*   **Nguyên tắc chung:** Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu. Bạn được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân.
*   **Trường hợp thay đổi định hướng:** Nếu bạn chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân, bạn sẽ cần học bổ sung các học phần theo quy định.
*   **Điều kiện học chuyển tiếp:**
    *   **Sinh viên chưa tốt nghiệp cử nhân:** Nếu đã tích lũy từ 118 tín chỉ trở lên, bạn được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư. Các học phần này chỉ được tính vào chương trình Kỹ sư sau khi bạn đã tốt nghiệp cử nhân và đăng ký học tiếp chương trình Kỹ sư.
    *   **Sinh viên đã tốt nghiệp cử nhân:** Bạn có thể đăng ký xét tuyển để học chương trình Kỹ sư theo quy định và hướng dẫn riêng.

Ví dụ, đối với chương trình tích hợp Cử nhân Elitech – Kỹ sư An toàn không gian số (mã IT-E15), lộ trình đào tạo đã được thiết kế sẵn để sinh viên chuyển tiếp từ bậc cử nhân lên kỹ sư.

Để biết chi tiết về lộ trình cụ thể cho ngành học của mình hoặc các thủ tục xét tuyển, bạn nên liên hệ trực tiếp với **Phòng Đào tạo** để được hướng dẫn và xác nhận chính thức.","1fec193d-7ca1-4258-b67b-7b721bc94853,40708bf3-8707-4e3e-8f4f-22adc9e5a154,e5f9f577-740f-40c6-9190-e4d675bc911e,583a2ce8-651b-4044-ad8f-af4240eae6f1,5e88bac4-5c87-4348-95b4-d2a9bc354f5b,fef395c3-b560-4e04-b2b3-1b06f6167fb5,c95623c8-0a1f-4a6c-9618-32203ec6e343",agent,complex,7,24210.13,True,good,grounded,complete,"Câu trả lời đã cung cấp đầy đủ thông tin từ ngữ cảnh về việc sinh viên Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu (chuẩn), các điều kiện liên quan cho sinh viên chưa/đã tốt nghiệp cử nhân, và quy định về việc chọn hướng chuyên ngành.",correct,"The generated answer confirms the core information that Elitech students can transition to the Kỹ sư chuyên sâu program while providing additional, accurate, and helpful context regarding the process.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_007,Sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì phải làm gì?,simple,easy,Sinh viên sẽ cần phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu được cung cấp chỉ mô tả cấu trúc chương trình đào tạo (số tín chỉ, các khối kiến thức) của bậc Cử nhân và bậc Kỹ sư, không quy định về quy trình hoặc thủ tục khi sinh viên thay đổi hướng chuyên ngành giữa hai bậc học.","4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,212eb491-0182-43ee-abcb-b92b8d8d5ec7",rag_v2,rag,3,38421.23,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ liệt kê cấu trúc chương trình đào tạo (số tín chỉ, các khối kiến thức) mà không đề cập đến quy định hay thủ tục xử lý khi sinh viên muốn thay đổi hướng chuyên ngành giữa bậc cử nhân và bậc kỹ sư.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer provides a direct and correct response.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_008,Sinh viên được phép đăng ký học hướng chuyên ngành Kỹ sư như thế nào so với bậc cử nhân?,simple,easy,Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng khác sẽ phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Chào bạn, về quy định đăng ký hướng chuyên ngành Kỹ sư (KS) so với bậc cử nhân, bạn cần lưu ý các điểm sau:

*   **Định hướng chuyên ngành:** Bạn được phép học theo hướng chuyên ngành KS phù hợp với định hướng đã chọn ở bậc cử nhân.
*   **Thay đổi hướng chuyên ngành:** Nếu bạn chọn hướng chuyên ngành KS khác với định hướng ở bậc cử nhân, bạn sẽ cần phải học bổ sung các học phần theo quy định.

Nếu cần hướng dẫn chi tiết về lộ trình học bổ sung cho trường hợp cụ thể của mình, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ xác nhận chính thức.","720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,720ab953-7802-40d2-bbd5-c485049281a6,1c9f5d68-3efe-4cc8-bf8f-61251db419a4,40708bf3-8707-4e3e-8f4f-22adc9e5a154,37b43412-4011-58ad-995c-7e29cea4469f,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",agent,complex,10,51489.95,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh về việc lựa chọn hướng chuyên ngành Kỹ sư so với bậc cử nhân, bao gồm cả trường hợp phù hợp và trường hợp cần học bổ sung.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.9643
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_009,Sinh viên cần hoàn thành những học phần gì để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân 180 TC?,simple,easy,Cần hoàn thành học phần Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp cử nhân 6 tín chỉ.,720ab953-7802-40d2-bbd5-c485049281a6,"Chào bạn, để đủ điều kiện tốt nghiệp chương trình đào tạo (CTĐT) cử nhân, sinh viên cần hoàn thành các yêu cầu sau:

1. **Hoàn thành các học phần bắt buộc:** Sinh viên bắt buộc phải hoàn thành học phần **Thực tập kỹ thuật** (2 tín chỉ) và **Đề án tốt nghiệp cử nhân** (6 tín chỉ).
2. **Tích lũy đủ khối lượng tín chỉ:** Bạn cần hoàn thành chương trình đào tạo với khối lượng tối thiểu theo quy định của ngành học (thông thường là 132 tín chỉ đối với bậc cử nhân).
3. **Đăng ký tốt nghiệp:** Khi đã đủ điều kiện, sinh viên cần thực hiện đăng ký tốt nghiệp và đồng thời đăng ký học chuyển tiếp lên CTĐT Kỹ sư (180 tín chỉ).

**Lưu ý:**
* Các học phần cụ thể trong chương trình đào tạo được chia thành khối **Giáo dục đại cương** (51 tín chỉ) và **Giáo dục chuyên nghiệp** (bao gồm cơ sở ngành, kiến thức bổ trợ, tự chọn theo mô-đun, thực tập và đồ án).
* Tùy vào từng ngành đào tạo cụ thể, danh mục các học phần chi tiết có thể có sự khác biệt. Bạn nên kiểm tra kỹ khung chương trình đào tạo của ngành mình đang theo học.

Nếu cần xác nhận chính thức về tiến độ học tập hoặc các học phần còn thiếu, bạn vui lòng liên hệ trực tiếp với **Phòng Đào tạo** để được hỗ trợ chi tiết.","720ab953-7802-40d2-bbd5-c485049281a6,1fec193d-7ca1-4258-b67b-7b721bc94853,6381c6e7-76fa-430e-b855-24e7c33898bb,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,229d36fa-6606-4d48-b256-c89f3cdf5328,8fd80084-2714-48f8-a06a-30264ee58d26,10733c54-298f-4ea9-8ead-a60c4f1ed978,a94a0dc5-b08b-4727-aca1-05a79ad2a07a,a22d61ee-68ea-4273-b975-c186d2d63842,4bd50748-0011-422e-9cd1-214bfae7cc5a,94cb3b90-7b66-42e0-8330-6f7b531e7e54",agent,complex,11,27549.64,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ các thông tin từ ngữ cảnh về điều kiện tốt nghiệp bậc cử nhân (hoàn thành Thực tập kỹ thuật, Đề án tốt nghiệp, khối lượng tín chỉ tối thiểu) và cấu trúc chương trình đào tạo.",correct,Câu trả lời đã nêu chính xác hai học phần bắt buộc theo yêu cầu của câu hỏi và cung cấp thêm thông tin bổ sung hữu ích về chương trình đào tạo 180 tín chỉ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_010,Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu thì điều gì xảy ra?,simple,easy,Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.,720ab953-7802-40d2-bbd5-c485049281a6,"Khi sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu, các quy định sau sẽ được áp dụng:

* **Về học tập:** Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.
* **Về trạng thái trên hệ thống:** Trạng thái sinh viên trên hệ thống quản lý học tập sẽ là ""Tốt nghiệp ra trường"".","720ab953-7802-40d2-bbd5-c485049281a6,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,1fec193d-7ca1-4258-b67b-7b721bc94853",rag_v2,rag,3,9311.79,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các đoạn ngữ cảnh được cung cấp về quy định đối với sinh viên đã tốt nghiệp cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu.",correct,Câu trả lời đã bao gồm thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin về trạng thái hệ thống mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
