id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_001,Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa nào trở đi?,simple,easy,Áp dụng với sinh viên các khóa từ K62 trở đi đang học tập và có mong muốn tiếp tục học theo chương trình đào tạo kỹ sư chuyên sâu đặc thù.,ac75f157-2b84-4dd1-8127-ca04dcea21d2,"Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù 180 TC áp dụng cho sinh viên từ khóa **K62** trở đi, theo mục ""1. Phạm vi áp dụng"" trong tài liệu.","ac75f157-2b84-4dd1-8127-ca04dcea21d2,1fec193d-7ca1-4258-b67b-7b721bc94853,40708bf3-8707-4e3e-8f4f-22adc9e5a154,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,720ab953-7802-40d2-bbd5-c485049281a6,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,b985fb9c-7425-42bd-ae10-232d12f95390",rag_v2,rag,7,15086.42,True,good,grounded,complete,"Câu trả lời trích dẫn đúng thông tin từ ngữ cảnh: hướng dẫn áp dụng cho sinh viên từ khóa K62 trở đi, đầy đủ và chính xác.",correct,"Câu trả lời đã nêu chính xác khóa áp dụng là K62 trở đi, tương đồng với thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_002,Sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy tối thiểu bao nhiêu tín chỉ để được học tích lũy trước các học phần của chương trình Kỹ sư chuyên sâu?,simple,easy,Sinh viên cần tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo tài liệu hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù (180 TC), sinh viên **chưa tốt nghiệp bậc cử nhân** cần tích lũy **tối thiểu 118 tín chỉ** của chương trình cử nhân để được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư chuyên sâu.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,da4da67a-5a72-4574-ba57-21e7c93be4c8,0d0a90c8-c722-4c26-ae5c-66c4030a50f0",rag_v2,rag,7,26632.98,True,good,grounded,complete,"Câu trả lời chính xác dựa trên ngữ cảnh (tối thiểu 118 tín chỉ), không bịa đặt, đầy đủ thông tin trả lời câu hỏi.",correct,Câu trả lời đã nêu chính xác con số 118 tín chỉ theo yêu cầu của câu hỏi và cung cấp thêm thông tin bổ sung hợp lý.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_003,Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa bao nhiêu tín chỉ của chương trình Kỹ sư chuyên sâu?,simple,easy,Tối đa 15 tín chỉ. Trường hợp học tích lũy trước nhiều hơn 15 tín chỉ cũng chỉ được công nhận tối đa 15 tín chỉ.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Sinh viên chưa tốt nghiệp cử nhân được phép học tích lũy trước tối đa **15 tín chỉ** của chương trình Kỹ sư chuyên sâu. (Theo Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, mục 2.A).","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,6381c6e7-76fa-430e-b855-24e7c33898bb",rag_v2,rag,5,16610.91,True,good,grounded,complete,"Câu trả lời đúng với câu hỏi, dựa hoàn toàn vào ngữ cảnh (mục 2.A: tối đa 15 tín chỉ), và cung cấp đầy đủ thông tin cần thiết.",correct,"Câu trả lời đã nêu đúng số lượng tín chỉ tối đa được tích lũy theo quy định, thông tin bổ sung về việc chỉ công nhận tối đa 15 tín chỉ trong trường hợp học vượt không làm thay đổi bản chất câu trả lời.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_004,Các học phần đã học tích lũy trước chương trình Kỹ sư chuyên sâu có được tính vào chương trình đào tạo ngay không?,simple,easy,"Không, các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp chương trình Kỹ sư chuyên sâu.",1fec193d-7ca1-4258-b67b-7b721bc94853,"Theo tài liệu Hướng dẫn học tập Chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC), các học phần đã học tích lũy trước **không được tính vào chương trình đào tạo (CTĐT) ngay**. Cụ thể:

- **Với sinh viên chưa tốt nghiệp bậc cử nhân:** Các học phần tích lũy trước chỉ được xét công nhận thuộc CTĐT Kỹ sư sau khi sinh viên được công nhận tốt nghiệp bậc cử nhân **và** đồng thời đã đăng ký học tiếp CTĐT Kỹ sư (Mục 2.A và Mục 3).
- **Với sinh viên đã tốt nghiệp cử nhân:** Các học phần đã học tích lũy trước sẽ chính thức được tính vào CTĐT Kỹ sư sau khi sinh viên được công nhận tốt nghiệp cử nhân và chuyển sang học CTĐT Kỹ sư (Mục 3).

Tóm lại: **Không được tính ngay** mà chỉ được công nhận sau khi hoàn thành bậc cử nhân và đăng ký học chuyển tiếp.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,3,26317.12,True,good,grounded,complete,"Câu trả lời đúng với câu hỏi, dựa hoàn toàn vào ngữ cảnh, bao gồm đầy đủ thông tin từ các mục liên quan, kết luận chính xác rằng học phần tích lũy trước không được tính ngay mà chỉ được công nhận sau khi sinh viên tốt nghiệp cử nhân và đăng ký học chuyển tiếp.",correct,"Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ đáp án tham khảo, đồng thời giải thích rõ ràng hơn các trường hợp cụ thể mà không làm sai lệch nội dung.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_005,Sinh viên đã tốt nghiệp bậc cử nhân muốn học chương trình Kỹ sư chuyên sâu phải làm gì?,simple,easy,Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học chương trình đào tạo Kỹ sư chuyên sâu. Việc xét tuyển thực hiện theo quy định và hướng dẫn riêng.,1fec193d-7ca1-4258-b67b-7b721bc94853,Sinh viên đã tốt nghiệp bậc cử nhân cần **đăng ký xét tuyển** để học chương trình Kỹ sư chuyên sâu (CTĐT KS). Việc xét tuyển sẽ được thực hiện theo quy định và hướng dẫn riêng.,"1fec193d-7ca1-4258-b67b-7b721bc94853,4fcbf1c2-1091-4b4b-808f-bef06688f08e,720ab953-7802-40d2-bbd5-c485049281a6,b5974b80-f980-41a3-8a0f-bcc685e15acb,40708bf3-8707-4e3e-8f4f-22adc9e5a154,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,7,25657.08,True,good,grounded,complete,"Câu trả lời hoàn toàn dựa trên ngữ cảnh, trả lời đúng và đầy đủ hành động cần làm: đăng ký xét tuyển.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_006,Sinh viên chương trình Elitech có thể học chuyển tiếp lên chương trình Kỹ sư chuyên sâu nào?,simple,easy,Sinh viên các chương trình Elitech có thể học chuyển tiếp lên chương trình đào tạo Kỹ sư chuyên sâu chuẩn.,1fec193d-7ca1-4258-b67b-7b721bc94853,"Sinh viên chương trình Elitech có thể học chuyển tiếp lên **chương trình Kỹ sư chuyên sâu đặc thù (CTĐT KS) chuẩn**, theo quy định tại mục C trong điều kiện học chuyển tiếp. Cụ thể, tài liệu ngành An toàn không gian số (IT-E15) cho thấy chương trình tích hợp Cử nhân Elitech – Kỹ sư An toàn không gian số là một ví dụ.","1fec193d-7ca1-4258-b67b-7b721bc94853,583a2ce8-651b-4044-ad8f-af4240eae6f1,1c71f965-a30a-4054-8676-7851eb052284",rag_v2,rag,3,18463.98,True,good,grounded,partial,"Câu trả lời đúng, dựa trên ngữ cảnh (mục C: chuyển tiếp lên CTĐT KS chuẩn) và đưa ra ví dụ thực tế. Tuy nhiên, chỉ nêu một ví dụ cụ thể, không liệt kê đầy đủ các chương trình KS có thể chuyển tiếp nên tính đầy đủ ở mức một phần.",correct,"Câu trả lời đã nêu đúng thông tin về việc chuyển tiếp lên chương trình Kỹ sư chuyên sâu chuẩn và cung cấp thêm ví dụ cụ thể, không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_007,Sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì phải làm gì?,simple,easy,Sinh viên sẽ cần phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu chỉ mô tả cấu trúc chương trình đào tạo cử nhân và kỹ sư, không có hướng dẫn cụ thể về việc chọn hướng chuyên ngành kỹ sư khác với định hướng ở bậc cử nhân.","4fcbf1c2-1091-4b4b-808f-bef06688f08e,b5974b80-f980-41a3-8a0f-bcc685e15acb,212eb491-0182-43ee-abcb-b92b8d8d5ec7",rag_v2,rag,3,30255.24,False,partial,grounded,incomplete,"Câu trả lời trung thực với ngữ cảnh (không có thông tin), nhưng không trả lời được câu hỏi, cần tìm kiếm thêm trên nguồn chính thức.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer clearly states that students must take additional courses.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_008,Sinh viên được phép đăng ký học hướng chuyên ngành Kỹ sư như thế nào so với bậc cử nhân?,simple,easy,Sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu chọn hướng khác sẽ phải học bổ sung các học phần theo quy định.,40708bf3-8707-4e3e-8f4f-22adc9e5a154,"Theo Hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù (180 TC), sinh viên được phép học theo hướng chuyên ngành Kỹ sư phù hợp với định hướng ở bậc cử nhân. Nếu sinh viên chọn hướng chuyên ngành Kỹ sư khác với định hướng ở bậc cử nhân thì sẽ cần phải học bổ sung các học phần theo quy định.","40708bf3-8707-4e3e-8f4f-22adc9e5a154,1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,da4da67a-5a72-4574-ba57-21e7c93be4c8,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,0d0a90c8-c722-4c26-ae5c-66c4030a50f0",rag_v2_fallback,rag,6,28542.38,False,bad,hallucinated,incomplete,Failed to parse evaluation: ,correct,Câu trả lời được tạo ra truyền tải đầy đủ thông tin chính xác như câu trả lời tham chiếu và bổ sung thêm ngữ cảnh cụ thể về chương trình đào tạo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_009,Sinh viên cần hoàn thành những học phần gì để đủ điều kiện tốt nghiệp chương trình đào tạo cử nhân 180 TC?,simple,easy,Cần hoàn thành học phần Thực tập kỹ thuật 2 tín chỉ và Đề án tốt nghiệp cử nhân 6 tín chỉ.,720ab953-7802-40d2-bbd5-c485049281a6,"Theo tài liệu hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC), để đủ điều kiện tốt nghiệp bậc cử nhân, sinh viên cần hoàn thành hai học phần sau:

- **Thực tập kỹ thuật** (2 tín chỉ)
- **Đề án tốt nghiệp cử nhân** (6 tín chỉ)

Ngoài ra, sinh viên cũng cần hoàn thành toàn bộ chương trình đào tạo cử nhân theo quy định (thường là 132 tín chỉ tùy ngành), nhưng điều kiện cụ thể được nêu trên là hai học phần bắt buộc để được xét tốt nghiệp và chuyển tiếp lên bậc kỹ sư.","720ab953-7802-40d2-bbd5-c485049281a6,2584499d-ba8c-40cf-9a10-873ad3cf8e13,838508a8-50fd-4dec-8425-1c0b003834e7,1d207c88-030f-4638-b19d-29c476377eb8,272d72e7-326c-4c72-8816-a645d10f2391",rag_v2_fallback,rag,5,45350.96,True,good,grounded,complete,"Câu trả lời đúng dựa trên ngữ cảnh, nêu chính xác hai học phần cần hoàn thành (Thực tập kỹ thuật 2TC và Đề án tốt nghiệp cử nhân 6TC) để đủ điều kiện tốt nghiệp bậc cử nhân trong CTĐT 180 TC.",correct,Câu trả lời đã nêu chính xác hai học phần bắt buộc theo yêu cầu và cung cấp thêm ngữ cảnh hợp lý mà không làm sai lệch thông tin chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_3_HD_hoc_chuyen_tiep_ky_su_180_TC_Final_simple_010,Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên Kỹ sư chuyên sâu thì điều gì xảy ra?,simple,easy,Sinh viên sẽ không được phép đăng ký học tập ở kỳ kế tiếp.,720ab953-7802-40d2-bbd5-c485049281a6,"Theo tài liệu hướng dẫn, nếu sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên CTĐT Kỹ sư chuyên sâu đặc thù:

- **Không được phép đăng ký học tập ở kỳ kế tiếp** (theo mục 3, phần ""Về việc đăng ký tốt nghiệp bậc cử nhân"").
- **Trạng thái sinh viên trên hệ thống quản lý học tập sẽ là ""Tốt nghiệp ra trường""** (theo mục 5, phần ""Về thông tin trên hệ thống quản lý học tập"").","720ab953-7802-40d2-bbd5-c485049281a6,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,1fec193d-7ca1-4258-b67b-7b721bc94853",rag_v2,rag,3,31333.05,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác hai hậu quả từ ngữ cảnh: không được đăng ký học kỳ tiếp theo và trạng thái 'Tốt nghiệp ra trường'. Đầy đủ, trung thực và liên quan.",correct,Câu trả lời đã bao gồm thông tin chính từ đáp án tham khảo và bổ sung thêm thông tin chi tiết về trạng thái sinh viên mà không làm sai lệch nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
