id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_001,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do cơ quan nào ban hành và quy định về vấn đề gì?,simple,easy,"Do Bộ Giáo dục và Đào tạo cùng Bộ Lao động, Thương binh và Xã hội ban hành. Quy định tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học.",08d0e430-3330-43f5-8c28-ab3347dbccdf,"Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH do **Bộ Giáo dục và Đào tạo** và **Bộ Lao động - Thương binh và Xã hội** ban hành, quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học **Giáo dục quốc phòng và an ninh** trong các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học.","08d0e430-3330-43f5-8c28-ab3347dbccdf,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,854b7e9d-aa64-4499-a464-5d0cb6966af9",rag_v2,rag,5,12910.87,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_002,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành từ ngày nào?,simple,easy,Có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015.,1edf2db3-b901-4141-a927-e23a677a4b6c,Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH có hiệu lực thi hành kể từ ngày 23 tháng 10 năm 2015 (theo Điều 14 của Thông tư).,"1edf2db3-b901-4141-a927-e23a677a4b6c,08d0e430-3330-43f5-8c28-ab3347dbccdf,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,4,8092.9,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác ngày có hiệu lực và bổ sung thêm thông tin về căn cứ pháp lý mà không làm thay đổi tính đúng đắn của nội dung.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_003,Thông tư liên tịch 18/2015 thay thế những văn bản quy phạm pháp luật nào trước đó về GDQP&AN?,simple,easy,"Thay thế Thông tư số 40/2012/TT-BGDĐT ngày 19/11/2012 của Bộ GD&ĐT và Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25/11/2008 của Bộ LĐ-TB&XH về tổ chức dạy, học và đánh giá kết quả môn GDQP&AN.",1edf2db3-b901-4141-a927-e23a677a4b6c,"Theo quy định tại Điều 14 của Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH, văn bản này thay thế:

- Các quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học GDQP&AN ban hành kèm theo **Thông tư số 40/2012/TT-BGDĐT ngày 19 tháng 11 năm 2012** của Bộ Giáo dục và Đào tạo.
- **Quyết định số 63/2008/QĐ-BLĐTBXH ngày 25 tháng 11 năm 2008** của Bộ Lao động - Thương binh và Xã hội ban hành Quy chế tổ chức dạy, học và đánh giá kết quả học tập môn học Giáo dục quốc phòng và an ninh trong các cơ sở dạy nghề.","1edf2db3-b901-4141-a927-e23a677a4b6c,03c9a959-4ba4-412c-b20c-72a8165cfcab,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6,067507d1-850f-4166-b854-6c1365b6fd72,2ed31f4b-7260-46ec-8e25-5deba83736d3,7c98260f-6b4c-4faf-a818-24ede6b399b3",rag_v2,rag,6,14015.4,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh tại Điều 14.",correct,Câu trả lời đã liệt kê đầy đủ và chính xác các văn bản bị thay thế bởi Thông tư liên tịch 18/2015 như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_004,Thông tư liên tịch 18/2015 áp dụng đối với những loại cơ sở giáo dục nào?,simple,easy,"Áp dụng với các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, gồm: trường trung cấp, trường cao đẳng, trường đại học, học viện, đại học vùng, đại học Quốc gia, trung tâm GDQP&AN; cùng các tổ chức, cá nhân có liên quan.",03c9a959-4ba4-412c-b20c-72a8165cfcab,"Theo Thông tư liên tịch 18/2015 (Điều 1), đối tượng áp dụng bao gồm các cơ sở giáo dục nghề nghiệp và cơ sở giáo dục đại học, cụ thể:

- Trường trung cấp, trường cao đẳng
- Trường đại học, học viện, đại học vùng, đại học Quốc gia
- Trung tâm Giáo dục quốc phòng và an ninh (GDQP&AN)

Ngoài ra, thông tư cũng áp dụng với các tổ chức, cá nhân có liên quan.","03c9a959-4ba4-412c-b20c-72a8165cfcab,7c98260f-6b4c-4faf-a818-24ede6b399b3,08d0e430-3330-43f5-8c28-ab3347dbccdf,1edf2db3-b901-4141-a927-e23a677a4b6c,854b7e9d-aa64-4499-a464-5d0cb6966af9,1d6a5bc6-9d5e-4818-9a7c-3338c2911cf6",rag_v2,rag,6,11979.32,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và bám sát nội dung được cung cấp trong Điều 1 của Thông tư liên tịch 18/2015.",correct,Câu trả lời đã liệt kê đầy đủ và chính xác các đối tượng áp dụng theo Thông tư liên tịch 18/2015 giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_005,Môn học GDQP&AN có vị trí như thế nào trong chương trình giáo dục tại các cơ sở giáo dục?,simple,easy,"GDQP&AN là nội dung cơ bản trong việc xây dựng nền quốc phòng toàn dân, an ninh nhân dân, là môn học chính khóa thuộc chương trình giáo dục của các cơ sở giáo dục.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo Điều 2 của tài liệu, môn học Giáo dục quốc phòng và an ninh (GDQP&AN) **là môn học chính khóa** thuộc chương trình giáo dục của các cơ sở giáo dục.","927dd722-b363-4d76-8e60-008ce78d898e,12ba5d70-d4c5-42c9-a41e-715480b304f8,c3120733-3886-44a0-b45f-bd96cd2f1232,bae4b92c-3738-4703-9dc0-7fb18ac2194b,47c2be76-dc8c-4175-b8ed-41159ce70426,1edf2db3-b901-4141-a927-e23a677a4b6c,f8a15b5a-4da9-49dc-a892-e25e30f955b6",rag_v2,rag,7,10136.88,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác vị trí của môn học GDQP&AN dựa trên Điều 2 của ngữ cảnh được cung cấp.,partial,The generated answer correctly identifies the subject as a compulsory course (môn học chính khóa) but omits the key information regarding its role in building the all-people national defense and people's security.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_006,Môn học GDQP&AN trang bị cho sinh viên những kiến thức gì?,simple,easy,"Trang bị kiến thức cơ bản về nền quốc phòng toàn dân, an ninh nhân dân; quan điểm của Đảng, chính sách pháp luật nhà nước về quốc phòng - an ninh; truyền thống chống ngoại xâm, lực lượng vũ trang, nghệ thuật quân sự Việt Nam; kiến thức về phòng thủ dân sự, kỹ năng quân sự; sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.",927dd722-b363-4d76-8e60-008ce78d898e,"Theo tài liệu tham khảo (Điều 2, Vị trí, mục tiêu môn học), môn học GDQP&AN trang bị cho sinh viên những kiến thức:

- Hiểu biết cơ bản về nền quốc phòng toàn dân, an ninh nhân dân.
- Quan điểm của Đảng, chính sách, pháp luật của Nhà nước về quốc phòng và an ninh.
- Truyền thống chống ngoại xâm của dân tộc, lực lượng vũ trang nhân dân và nghệ thuật quân sự Việt Nam.
- Xây dựng nền quốc phòng toàn dân, an ninh nhân dân, lực lượng vũ trang nhân dân.
- Kiến thức cơ bản, cần thiết về phòng thủ dân sự, kỹ năng quân sự.
- Sẵn sàng thực hiện nghĩa vụ quân sự bảo vệ Tổ quốc.","927dd722-b363-4d76-8e60-008ce78d898e,12ba5d70-d4c5-42c9-a41e-715480b304f8,f8a15b5a-4da9-49dc-a892-e25e30f955b6",rag_v2,rag,3,16022.78,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác thông tin từ Điều 2 của ngữ cảnh được cung cấp để giải đáp câu hỏi của người dùng.,correct,"Câu trả lời được tạo ra bao hàm đầy đủ các ý chính của câu trả lời tham khảo và trình bày rõ ràng, chính xác.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_007,"Theo Thông tư liên tịch 18/2015, giáo viên dạy GDQP&AN phải mặc trang phục như thế nào khi giảng dạy?",simple,easy,"Khi giảng dạy tại giảng đường hoặc trên thao trường phải mặc trang phục GDQP&AN theo quy định. Giáo viên, giảng viên là sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Điều 3 của Thông tư liên tịch (quy định về tổ chức dạy, học và đánh giá kết quả học tập môn học GDQP&AN):

- Giáo viên, giảng viên dạy GDQP&AN khi giảng dạy tại giảng đường hoặc trên thao trường phải **mang mặc trang phục GDQP&AN theo quy định**.
- Đối với giáo viên, giảng viên là **sĩ quan quân đội, công an biệt phái** phải **mang mặc theo Điều lệnh quân đội, công an nhân dân**.","12ba5d70-d4c5-42c9-a41e-715480b304f8,03c9a959-4ba4-412c-b20c-72a8165cfcab,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,3,16892.61,True,good,grounded,complete,"Câu trả lời trích dẫn chính xác thông tin từ Điều 3 trong ngữ cảnh được cung cấp, đáp ứng đầy đủ yêu cầu của người dùng.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác các thông tin quan trọng từ đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_008,"Dạy, học GDQP&AN phải đảm bảo những nguyên tắc gì theo Điều 3 Thông tư liên tịch 18/2015?",simple,easy,"Phải đảm bảo tính toàn diện, có trọng tâm trọng điểm; kết hợp lý luận và thực tiễn, lý thuyết và thực hành; phù hợp quy chế đào tạo từng trình độ; gắn với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.",12ba5d70-d4c5-42c9-a41e-715480b304f8,"Theo Điều 3 Thông tư liên tịch 18/2015, dạy và học môn GDQP&AN phải đảm bảo các nguyên tắc và yêu cầu sau:

- **Tính toàn diện, có trọng tâm, trọng điểm** bằng hình thức phù hợp; kết hợp giữa lý luận và thực tiễn, giữa lý thuyết và thực hành; phù hợp với quy chế tổ chức đào tạo của từng trình độ.
- **Gắn liền với giáo dục ý thức tổ chức kỷ luật, tinh thần tập thể**; gắn kết với giáo dục thực tế, kỹ năng thực hành và hoạt động ngoại khóa.
- **Trang phục**: Giáo viên, giảng viên khi giảng dạy tại giảng đường hoặc trên thao trường phải mặc trang phục GDQP&AN theo quy định; riêng sĩ quan quân đội, công an biệt phái phải mặc theo Điều lệnh quân đội, công an nhân dân.
- **An toàn**: Giáo viên, giảng viên, cán bộ quản lý, học sinh, sinh viên phải thực hiện đúng, đủ kế hoạch giảng dạy, học tập, nội quy, quy tắc về đảm bảo an toàn về người, vũ khí, trang thiết bị.","12ba5d70-d4c5-42c9-a41e-715480b304f8,03c9a959-4ba4-412c-b20c-72a8165cfcab,bae4b92c-3738-4703-9dc0-7fb18ac2194b,067507d1-850f-4166-b854-6c1365b6fd72,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c,2ed31f4b-7260-46ec-8e25-5deba83736d3",rag_v2,rag,7,26879.0,True,good,grounded,complete,Câu trả lời đã trích dẫn đầy đủ và chính xác các nội dung từ Điều 3 của Thông tư liên tịch 18/2015 có trong ngữ cảnh được cung cấp.,correct,The generated answer includes all the principles mentioned in the reference answer while providing additional relevant details from the same article of the circular.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_009,Sinh viên nào được miễn toàn bộ môn học GDQP&AN theo Thông tư liên tịch 18/2015?,simple,easy,"Ba đối tượng được miễn: (a) sinh viên có giấy chứng nhận sĩ quan dự bị hoặc bằng tốt nghiệp do trường quân đội, công an cấp; (b) sinh viên đã có chứng chỉ GDQP&AN tương ứng với trình độ đào tạo; (c) sinh viên là người nước ngoài.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Theo **Thông tư liên tịch 18/2015/TTLT-BGDĐT-BLĐTBXH** (Điều 4, khoản 1), các đối tượng được **miễn toàn bộ môn học GDQP&AN** gồm:

- **Sinh viên có giấy chứng nhận sĩ quan dự bị** hoặc **bằng tốt nghiệp do các trường quân đội, công an cấp**.
- **Sinh viên đã có chứng chỉ GDQP&AN** tương ứng với trình độ đào tạo.
- **Sinh viên là người nước ngoài**.","c3120733-3886-44a0-b45f-bd96cd2f1232,03c9a959-4ba4-412c-b20c-72a8165cfcab,7c98260f-6b4c-4faf-a818-24ede6b399b3,1edf2db3-b901-4141-a927-e23a677a4b6c",rag_v2,rag,4,22770.73,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào nội dung Điều 4, khoản 1 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã liệt kê đầy đủ và chính xác ba đối tượng được miễn học GDQP&AN theo quy định của Thông tư liên tịch 18/2015.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_1_2015_TT_Lien_tich_QD_danh_gia_QP-AN_simple_010,Sinh viên được miễn học một số học phần trong chương trình GDQP&AN khi nào?,simple,easy,"Khi có giấy xác nhận kết quả học tập các học phần, nội dung đó đạt từ 5 điểm trở lên theo thang điểm 10.",f8a15b5a-4da9-49dc-a892-e25e30f955b6,"Sinh viên được miễn học một số học phần/nội dung trong chương trình GDQP&AN trong các trường hợp sau (theo Điều 4, khoản 2 và 3):

- **Miễn học, miễn thi học phần/nội dung**: Sinh viên có giấy xác nhận kết quả học tập các học phần/nội dung đó đạt từ **5 điểm trở lên theo thang điểm 10**.
- **Miễn học các nội dung thực hành kỹ năng quân sự** dành cho:
  - Sinh viên là **người khuyết tật** có giấy xác nhận khuyết tật theo quy định.
  - Sinh viên **không đủ sức khỏe về thể lực** hoặc mắc bệnh lý thuộc diện miễn làm nghĩa vụ quân sự.
  - Sinh viên **đã hoàn thành nghĩa vụ quân sự** hoặc công an nhân dân.","f8a15b5a-4da9-49dc-a892-e25e30f955b6,28a3ac1a-2355-480a-9dd4-a4f2170283c9,740e7a27-9086-41fa-bfe0-d5a156af0e5f",rag_v2,rag,3,27315.41,True,good,grounded,complete,Câu trả lời đã trích xuất chính xác và đầy đủ các thông tin liên quan đến việc miễn học một số học phần hoặc nội dung trong chương trình GDQP&AN từ ngữ cảnh được cung cấp.,correct,Câu trả lời được tạo ra bao hàm đầy đủ thông tin của câu trả lời tham chiếu và bổ sung thêm các trường hợp miễn học khác theo quy định hiện hành.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
