id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
ITE7_fix_chunks_simple_001,Chương trình đào tạo Công nghệ thông tin toàn cầu (IT-E7 / Global ICT) của Đại học Bách khoa Hà Nội có khối lượng kiến thức toàn khóa là bao nhiêu tín chỉ?,simple,easy,133 tín chỉ.,2ffccdea-96f5-4aaa-9581-779b983f9476,Chương trình Global ICT (IT-E7) có khối lượng kiến thức toàn khóa là **133 tín chỉ**.,"2ffccdea-96f5-4aaa-9581-779b983f9476,ac99a827-01b0-40b0-8886-510c26548912,b76faa6f-a62a-4723-9172-bce5c8f44d9b,ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,13188ea5-14f5-536d-8231-68e47ae637ab,eef54984-8702-4bed-80cc-c80308ef2150,89820eec-c53d-4d1f-936c-68fb8c1e8a4c",rag_v2,rag,7,12434.8,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác số lượng tín chỉ theo yêu cầu của câu hỏi và khớp với đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_002,"Theo mục tiêu chung của chương trình Công nghệ thông tin toàn cầu (IT-E7), sinh viên tốt nghiệp cần đạt trình độ ngoại ngữ tiếng Anh ở mức nào?",simple,easy,Đủ để giao tiếp và làm việc trong môi trường quốc tế sử dụng tiếng Anh.,233c86c4-f7a7-46d0-b722-5f68bfc361b6,"Theo tài liệu tham khảo, mục tiêu chung của chương trình Công nghệ thông tin (Global ICT) - IT-E7 nêu rõ sinh viên tốt nghiệp có **trình độ ngoại ngữ tiếng Anh đủ để giao tiếp và làm việc trong môi trường quốc tế**.  

Cụ thể, theo **Chuẩn đầu ra của chương trình giáo dục** (mục 2.3.3), sinh viên cần **đạt trình độ tối thiểu TOEIC 650**.","233c86c4-f7a7-46d0-b722-5f68bfc361b6,a434c1c5-656c-46d4-87d9-cf0d59ec38c5,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,40852fba-6e9d-4c21-a405-55e2dea22587,a53edad8-7533-49d8-ba03-b33725bde4dc,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e",rag_v2,rag,7,25387.3,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác thông tin về mục tiêu chung và chuẩn đầu ra cụ thể về ngoại ngữ (TOEIC 650) từ ngữ cảnh được cung cấp.,correct,"Câu trả lời đã bao hàm đầy đủ thông tin từ đáp án tham khảo và bổ sung thêm thông tin cụ thể về chuẩn đầu ra, không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_003,Chuẩn đầu ra 2.3.3 của chương trình Công nghệ thông tin toàn cầu (IT-E7) yêu cầu sinh viên đạt trình độ tiếng Anh tối thiểu là bao nhiêu điểm TOEIC?,simple,easy,Tối thiểu TOEIC 650 điểm.,a434c1c5-656c-46d4-87d9-cf0d59ec38c5,"Theo tài liệu của chương trình Công nghệ thông tin (Global ICT) [IT-E7], **chuẩn đầu ra 2.3.3** yêu cầu sinh viên đạt trình độ tiếng Anh tối thiểu **TOEIC 650**.","a434c1c5-656c-46d4-87d9-cf0d59ec38c5,92d8e047-8bb5-4660-93e7-681e3804d5ee,40852fba-6e9d-4c21-a405-55e2dea22587,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,e3a29e1c-9828-458f-8089-ebccfa6e428c,a53edad8-7533-49d8-ba03-b33725bde4dc,0db1712a-4ff5-42c0-af28-2e759190c6f7",rag_v2,rag,7,13445.75,True,good,grounded,complete,"Câu trả lời chính xác, dựa trực tiếp vào thông tin trong ngữ cảnh đã cung cấp về chuẩn đầu ra 2.3.3 của chương trình Global ICT.",correct,Câu trả lời đã cung cấp chính xác thông tin về mức điểm TOEIC tối thiểu theo yêu cầu của chuẩn đầu ra 2.3.3.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_004,"Trong cấu trúc chung của chương trình Công nghệ thông tin toàn cầu (IT-E7), khối kiến thức Cơ sở và cốt lõi ngành chiếm bao nhiêu tín chỉ?",simple,easy,49 tín chỉ.,4048c721-2b2a-4a78-b11e-479490cef9b1,Khối kiến thức **Cơ sở và cốt lõi ngành** trong chương trình Công nghệ thông tin (Global ICT) [IT-E7] chiếm **49 tín chỉ**.,"90c56dd2-40b3-4415-bdc6-a9aa28c7f6bd,73b7dd34-a90d-49e5-8b06-de376bd48412,ac99a827-01b0-40b0-8886-510c26548912,13188ea5-14f5-536d-8231-68e47ae637ab",rag_v2,rag,4,18324.39,True,good,grounded,complete,Câu trả lời chính xác và dựa hoàn toàn vào bảng cấu trúc chung của chương trình đào tạo trong ngữ cảnh cung cấp.,correct,Câu trả lời đã cung cấp chính xác số lượng tín chỉ theo yêu cầu của câu hỏi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITE7_fix_chunks_simple_005,Chương trình tiếng Anh HUST start của chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm tổng cộng bao nhiêu tín chỉ và học phần FL1141 – Practical Grammar for writing được học vào kỳ nào?,simple,easy,Chương trình tiếng Anh HUST start gồm 25 tín chỉ và học phần FL1141 được học vào kỳ 1.,a578c467-b1fc-4a6d-be66-7b413e256d1e,"- **Tổng số tín chỉ chương trình tiếng Anh HUST start (IT-E7):** 6 tín chỉ (theo cấu trúc chung của chương trình đào tạo ngành CNTT Global ICT [IT-E7], khối Giáo dục đại cương ghi nhận **Tiếng Anh: 06 tín chỉ**).

- **Học phần FL1141 – Practical Grammar for writing:** được học vào **kỳ 1** (theo danh mục học phần và kế hoạch học tập chuẩn của IT-E7, dòng FL1141 có cột Kỳ ghi là 1).","8ccd3744-993e-4140-b91b-691568856c14,a578c467-b1fc-4a6d-be66-7b413e256d1e,396a72af-68ee-48dc-a26c-04a600d142ab,77b09ab9-3e22-4eac-afce-da7841f70681",rag_v2,rag,4,23252.19,True,good,grounded,complete,Câu trả lời chính xác dựa trên ngữ cảnh được cung cấp: xác định đúng số tín chỉ tiếng Anh trong cấu trúc chương trình (6 tín chỉ) và kỳ học của học phần FL1141 (kỳ 1).,incorrect,The generated answer provides an incorrect number of credits (6 instead of 25) for the HUST start program compared to the reference answer.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
ITE7_fix_chunks_simple_006,Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn trong khối tự chọn của chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm những học phần nào?,simple,easy,"Gồm: IT4409E – Web technologies and e-Services, IT4785E – Mobile Programming, IT4542E – Management of Software Development, IT4142E – Introduction to Data Science, IT3191E – Machine Learning and Data Mining, IT4441E – User Interface and User Experience.",b76faa6f-a62a-4723-9172-bce5c8f44d9b,"Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn (15 tín chỉ) trong chương trình Công nghệ thông tin toàn cầu (IT-E7) gồm 6 học phần sau đây:

- **IT4409E** – Web technologies and e-Services (3 tín chỉ, kỳ 6)
- **IT4785E** – Mobile Programming (2 tín chỉ, kỳ 7)
- **IT4542E** – Management of Software Development (2 tín chỉ, kỳ 7)
- **IT4142E** – Introduction to Data Science (2 tín chỉ, kỳ 7)
- **IT3191E** – Machine Learning and Data Mining (3 tín chỉ, kỳ 6)
- **IT4441E** – User Interface and User Experience (3 tín chỉ, kỳ 7)","b76faa6f-a62a-4723-9172-bce5c8f44d9b,8019408e-a714-46d4-bbac-78dfb42353d4,55db18f7-0295-41b4-8729-4bb9b01d658c",rag_v2,rag,3,18681.04,True,good,grounded,complete,Câu trả lời liệt kê chính xác các học phần thuộc Module 1 — Trí tuệ nhân tạo và Dữ liệu lớn dựa trên bảng danh mục học phần được cung cấp trong ngữ cảnh.,correct,Câu trả lời đã liệt kê đầy đủ các học phần có trong đáp án tham chiếu và cung cấp thêm thông tin chi tiết về số tín chỉ và học kỳ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_007,Học phần ITSS Internship (IT4948) của chương trình Công nghệ thông tin toàn cầu (IT-E7) được thực hiện vào học kỳ thứ mấy và có bao nhiêu tín chỉ?,simple,easy,"Thực hiện vào học kỳ 6, có 2 tín chỉ.",ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,"Theo tài liệu chương trình Công nghệ thông tin (Global ICT) [IT-E7], học phần **IT4948 – ITSS Internship** được thực hiện vào **học kỳ 6** và có **2 tín chỉ**.","ccdf2e19-4698-4a38-942d-a1bad1ecb7a4,90c56dd2-40b3-4415-bdc6-a9aa28c7f6bd,b76faa6f-a62a-4723-9172-bce5c8f44d9b,8a71de1c-d3c1-4913-b575-362aefa5acef,9da3748a-e009-4e5f-8980-f4dc201925e9",rag_v2,rag,5,18461.99,True,good,grounded,complete,"Câu trả lời chính xác dựa trên bảng danh mục học phần trong ngữ cảnh cung cấp (mục 3.2, phần Thực tập kỹ thuật và Đồ án tốt nghiệp Cử nhân).",correct,Câu trả lời đã cung cấp chính xác thông tin về học kỳ và số tín chỉ của học phần IT4948 giống với đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_008,Học phần MI1114E – Giải tích I trong chương trình Công nghệ thông tin toàn cầu (IT-E7) yêu cầu học song hành với học phần nào?,simple,easy,Học song hành với MI1144E (Đại số).,b99cdb88-b583-4871-b2d6-cdb2b1ab99ed,"Theo tài liệu, học phần MI1114E – Giải tích I yêu cầu học song hành với **MI1144E (Đại số)**.","b99cdb88-b583-4871-b2d6-cdb2b1ab99ed,5f4cdf83-81a2-4f5a-98f0-67496a229b0f,ca2aebfd-be5e-47df-9c82-69f7fb3fefe8,d9bf0dc1-6e66-4d25-8de8-713f0c062529,13a01630-4291-4db4-a52d-d39e8bfcf1a8",rag_v2,rag,5,14503.97,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin được cung cấp trong phần mô tả học phần MI1114E tại ngữ cảnh.",correct,Câu trả lời đã cung cấp chính xác thông tin về học phần song hành giống với đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_009,Học phần IT4110E – Tính toán khoa học trong chương trình Công nghệ thông tin toàn cầu (IT-E7) sử dụng công cụ lập trình nào để tính toán?,simple,easy,Sử dụng MATLAB.,4d713a4a-6d5f-4db3-978f-0ae98ecd022c,"Theo tài liệu mô tả học phần IT4110E – Tính toán khoa học trong chương trình IT-E7, nội dung có nêu rõ: **""Tính toán và lập trình trên MATLAB""** và **""Ứng dụng Matlab trong tính toán khoa học""**. Do đó, công cụ lập trình được sử dụng là **MATLAB**.","4d713a4a-6d5f-4db3-978f-0ae98ecd022c,078c2c7b-010a-49fb-b222-1bf3525e3335,8c3b12d9-74c8-4e03-8559-69dbc08346ff",rag_v2,rag,3,15277.86,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào thông tin trong phần [Chi tiết] của học phần IT4110E trong ngữ cảnh được cung cấp.",correct,Câu trả lời đã xác định chính xác công cụ lập trình là MATLAB giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
ITE7_fix_chunks_simple_010,Học phần IT2120 – Kiến thức máy tính trong chương trình Công nghệ thông tin toàn cầu (IT-E7) có tỷ lệ đánh giá như thế nào?,simple,easy,40% điểm quá trình và 60% điểm thi.,428552e0-1ba2-49e2-ae97-df986de9e215,"Tôi không tìm thấy thông tin về tỷ lệ đánh giá của học phần **IT2120 – Kiến thức máy tính** trong chương trình Công nghệ thông tin toàn cầu (IT-E7) từ các tài liệu tham khảo đã cung cấp. Các tài liệu chỉ đề cập đến học phí, danh mục học phần tiếng Nhật… mà không có nội dung về cấu trúc đánh giá môn học cụ thể. Bạn có thể tham khảo thêm trên trang Phòng Đào tạo (ctt.hust.edu.vn) hoặc đề cương chi tiết học phần trên hệ thống đào tạo.","13188ea5-14f5-536d-8231-68e47ae637ab,554c02b9-5ec3-441a-924c-49bf5e34bfe9,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38,05386dd4-5f59-401e-8233-ce48580ea2ec,c61eccd0-db75-5e96-857e-75d4c2100305,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,7,25968.7,True,good,grounded,complete,Thông tin về tỷ lệ đánh giá của học phần IT2120 không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng và hướng dẫn người dùng tìm kiếm nguồn thông tin chính thức.,incorrect,"The generated answer fails to provide the requested information, whereas the reference answer provides the specific grading ratio.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
