id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
1__QD_Hoc_bong_KKHT_2023_simple_001,Quyết định ban hành Quy định xét cấp học bổng KKHT tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,89046781-0122-48eb-85c2-7baed599923d,Quyết định về việc ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc (KT. Giám đốc) ký.,"89046781-0122-48eb-85c2-7baed599923d,075114cd-700b-422e-ae89-9f27c672dcd3,eb93021c-c166-41d3-8ce2-7bab03c2cbef,0b8da89f-51d2-48ec-9752-ade4b2dd1456,51697373-bff8-4e3d-b4b7-0445464c1e79,54942498-f09a-442e-b3a6-bbd5d9828312,f79864aa-2522-417b-bfed-06d466c27725",rag_v2,rag,7,2612.34,True,good,grounded,complete,Câu trả lời dựa chính xác vào thông tin được cung cấp trong ngữ cảnh đầu tiên về Quyết định ban hành Quy định xét cấp học bổng khuyến khích học tập.,correct,"Câu trả lời đã nêu chính xác người ký quyết định là PGS.TS. Nguyễn Phong Điền với chức danh Phó Giám đốc (KT. Giám đốc), tương đương với thông tin trong đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_002,Quy định xét cấp học bổng KKHT của Đại học Bách khoa Hà Nội áp dụng đối với đối tượng sinh viên nào?,simple,easy,Áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,"Theo Quy định xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, đối tượng áp dụng là sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.","075114cd-700b-422e-ae89-9f27c672dcd3,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,0b8da89f-51d2-48ec-9752-ade4b2dd1456,54942498-f09a-442e-b3a6-bbd5d9828312,eb93021c-c166-41d3-8ce2-7bab03c2cbef,f79864aa-2522-417b-bfed-06d466c27725,51697373-bff8-4e3d-b4b7-0445464c1e79",rag_v2,rag,7,3092.49,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 1, khoản 2 của văn bản 'QUY ĐỊNH XÉT CẤP HỌC BỔNG KHUYẾN KHÍCH HỌC TẬP TẠI ĐẠI HỌC BÁCH KHOA HÀ NỘI' được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin về đối tượng áp dụng học bổng KKHT tại Đại học Bách khoa Hà Nội như trong câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
1__QD_Hoc_bong_KKHT_2023_simple_003,Học bổng KKHT tại Đại học Bách khoa Hà Nội được xét theo chu kỳ nào trong năm học?,simple,easy,"Học bổng KKHT được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.",075114cd-700b-422e-ae89-9f27c672dcd3,"Học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội được xét theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.","075114cd-700b-422e-ae89-9f27c672dcd3,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,a7cd0e7c-71d4-4869-9698-5b51b8cb4d6a,fcc28993-fe62-4ee0-a124-14e93d2b5ede,61ad4466-603d-4799-a251-6382f4db1234,a8a28e34-df56-4cde-85f8-dabfa212c436,9d6ff65f-2a99-4a81-b296-37259497f611",rag_v2,rag,7,2334.8,True,good,grounded,complete,"Câu trả lời hoàn toàn chính xác và dựa trên thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 1 của Quy định xét cấp học bổng KKHT).",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp về nội dung và ý nghĩa với câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_004,Quỹ học bổng KKHT tại Đại học Bách khoa Hà Nội được hình thành từ nguồn nào và chiếm bao nhiêu phần trăm?,simple,easy,Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% học phí của học kỳ lấy điểm xét cấp học bổng.,075114cd-700b-422e-ae89-9f27c672dcd3,Quỹ học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội được hình thành từ nguồn học phí và chiếm 8% (tám phần trăm) học phí của học kỳ lấy điểm xét cấp học bổng.,"075114cd-700b-422e-ae89-9f27c672dcd3,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,1158a7c9-5eef-4bfc-9f4b-457edc9e5c2a,e43ff273-cb92-458d-bd95-ea4fe5776081,1237274b-1608-446e-b6fd-4ca32fdbf70c,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc",rag_v2,rag,7,2828.5,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, khoản 3 của Quy định xét cấp học bổng KKHT).",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_005,Học bổng KKHT loại A (xuất sắc) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại A (xuất sắc) bằng 1,5 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại xuất sắc (loại A) có giá trị bằng 1,5 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,1158a7c9-5eef-4bfc-9f4b-457edc9e5c2a,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,e43ff273-cb92-458d-bd95-ea4fe5776081,fcc28993-fe62-4ee0-a124-14e93d2b5ede,95019ca4-cd86-4c2a-91ac-dbea52536411",rag_v2,rag,7,3506.94,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 4c).",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_006,Học bổng KKHT loại B (giỏi) tại Đại học Bách khoa Hà Nội có giá trị bằng bao nhiêu lần mức học bổng loại khá?,simple,easy,"Học bổng loại B (giỏi) bằng 1,2 lần mức học bổng loại khá (loại C).",075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, học bổng loại giỏi (loại B) có giá trị bằng 1,2 lần mức học bổng loại khá (loại C).","075114cd-700b-422e-ae89-9f27c672dcd3,1158a7c9-5eef-4bfc-9f4b-457edc9e5c2a,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,e43ff273-cb92-458d-bd95-ea4fe5776081,fcc28993-fe62-4ee0-a124-14e93d2b5ede,95019ca4-cd86-4c2a-91ac-dbea52536411",rag_v2,rag,7,2760.33,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 2, mục 4b).",correct,Câu trả lời được tạo ra truyền tải chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_007,Mức học bổng KKHT loại C (khá) được tính như thế nào tại Đại học Bách khoa Hà Nội?,simple,easy,Học bổng loại khá (loại C) bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).,075114cd-700b-422e-ae89-9f27c672dcd3,"Theo quy định về xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, mức học bổng loại khá (loại C) được tính bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).","075114cd-700b-422e-ae89-9f27c672dcd3,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,fcc28993-fe62-4ee0-a124-14e93d2b5ede,a8a28e34-df56-4cde-85f8-dabfa212c436,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,874f739b-4012-4751-ac09-16f9062ecc98",rag_v2,rag,7,2687.16,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh về quy định xét cấp học bổng KKHT.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
1__QD_Hoc_bong_KKHT_2023_simple_008,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại C (khá)?,simple,easy,"GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội, để được xét học bổng loại C (loại khá), sinh viên cần đạt các tiêu chuẩn sau:

*   Điểm trung bình học kỳ (GPA) ≥ 2,5.
*   Điểm rèn luyện học kỳ ≥ 65 điểm.","55fbb45d-5a41-4b0b-868f-76239ec21945,075114cd-700b-422e-ae89-9f27c672dcd3,2d9397a2-c900-4852-a039-a9eca2695ac2,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,0775f280-836d-478c-90dd-2f1d29901223,50b1351d-9de8-4399-9fb9-f45a51bd63f3,540719ef-179e-457d-8d6f-5a245f6271bd",rag_v2,rag,7,4008.04,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại mục Điều 3. Tiêu chuẩn xét cấp học bổng.",correct,Câu trả lời đã nêu chính xác các tiêu chuẩn về GPA và điểm rèn luyện theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
1__QD_Hoc_bong_KKHT_2023_simple_009,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại B (giỏi)?,simple,easy,"GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo quy định về xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, học bổng được xét dựa trên thành tích học tập (GPA) và điểm rèn luyện của sinh viên trong học kỳ chính liền trước đó.

Tuy nhiên, tài liệu hiện có **không quy định cụ thể con số tối thiểu** về GPA hay điểm rèn luyện để đạt học bổng loại B (giỏi). Tài liệu chỉ nêu các mức học bổng như sau:

*   **Học bổng loại khá (loại C):** Bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).
*   **Học bổng loại giỏi (loại B):** Bằng 1,2 lần mức học bổng loại khá.
*   **Học bổng loại xuất sắc (loại A):** Bằng 1,5 lần mức học bổng loại khá.

Tôi không tìm thấy thông tin về định mức GPA và điểm rèn luyện tối thiểu cụ thể trong tài liệu này.","55fbb45d-5a41-4b0b-868f-76239ec21945,075114cd-700b-422e-ae89-9f27c672dcd3,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,54942498-f09a-442e-b3a6-bbd5d9828312,0775f280-836d-478c-90dd-2f1d29901223,95019ca4-cd86-4c2a-91ac-dbea52536411,540719ef-179e-457d-8d6f-5a245f6271bd",rag_v2,rag,7,4828.37,True,good,grounded,complete,"Câu trả lời đã phản ánh chính xác thông tin có trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ nêu cách tính mức học bổng mà không cung cấp định mức GPA và điểm rèn luyện cụ thể, do đó trợ lý đã trả lời đúng là không tìm thấy thông tin này trong tài liệu.",incorrect,"The generated answer fails to provide the required GPA and training point thresholds, incorrectly stating that this information is unavailable.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1__QD_Hoc_bong_KKHT_2023_simple_010,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại A (xuất sắc)?,simple,easy,"GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Dựa trên tài liệu ""QUY ĐỊNH XÉT CẤP HỌC BỔNG KHUYẾN KHÍCH HỌC TẬP TẠI ĐẠI HỌC BÁCH KHOA HÀ NỘI"", thông tin về học bổng KKHT như sau:

*   Học bổng KKHT được xét dựa trên thành tích học tập (GPA) và điểm rèn luyện (ĐRL) của sinh viên trong học kỳ chính liền trước đó.
*   Học bổng loại xuất sắc (loại A) có mức giá trị bằng 1,5 lần mức học bổng loại khá (loại C).

Tôi không tìm thấy thông tin cụ thể về con số GPA và điểm rèn luyện tối thiểu chính xác là bao nhiêu để đạt học bổng loại A trong tài liệu hiện có.","55fbb45d-5a41-4b0b-868f-76239ec21945,075114cd-700b-422e-ae89-9f27c672dcd3,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,0775f280-836d-478c-90dd-2f1d29901223,50b1351d-9de8-4399-9fb9-f45a51bd63f3,540719ef-179e-457d-8d6f-5a245f6271bd,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,7,4762.27,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về ngưỡng GPA và điểm rèn luyện cụ thể để đạt học bổng loại A. Trợ lý đã trả lời đúng trọng tâm và thừa nhận sự thiếu hụt thông tin trong ngữ cảnh một cách trung thực.,incorrect,"The generated answer fails to provide the specific GPA and training point requirements mentioned in the reference answer, stating instead that it could not find this information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
