id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_danh_gia_diem_ren_luyen_SV_2023_simple_001,Quy định đánh giá điểm rèn luyện sinh viên Bách khoa Hà Nội áp dụng cho đối tượng nào?,simple,easy,"Áp dụng cho sinh viên đại học hình thức đào tạo chính quy, không bao gồm lưu học sinh nước ngoài.",6763c7e6-e904-4a63-b6cd-6d8501577078,"Quy định đánh giá kết quả rèn luyện của sinh viên Đại học Bách khoa Hà Nội áp dụng cho đối tượng là sinh viên đại học hình thức đào tạo chính quy, không bao gồm lưu học sinh nước ngoài.","6763c7e6-e904-4a63-b6cd-6d8501577078,540719ef-179e-457d-8d6f-5a245f6271bd,22ead6bd-0b7b-44fc-b661-582c2caeb6a9,0775f280-836d-478c-90dd-2f1d29901223,200f6a73-c9c1-4619-b84f-b3bf9e642dff,6c15e6f3-09df-482e-80fe-a6b644a62b65,c92deb80-a0c6-4d36-a44f-69bd87442f7e",rag_v2,rag,7,16743.42,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 1 trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_002,Điểm rèn luyện tại Bách khoa Hà Nội được đánh giá bằng thang điểm bao nhiêu và mức Xuất sắc cần đạt bao nhiêu điểm?,simple,easy,Điểm rèn luyện được đánh giá bằng thang điểm 100. Mức Xuất sắc từ 90 đến 100 điểm.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,"Điểm rèn luyện tại Đại học Bách khoa Hà Nội được đánh giá bằng thang điểm 100.

Theo các tài liệu cung cấp, mức xếp loại **Xuất sắc** là từ 90 đến 100 điểm.","58a3f5df-9048-43b1-bd1a-2e92c2d749af,f6e06049-71e8-425f-bc49-c4dfbdae6dad,2d9397a2-c900-4852-a039-a9eca2695ac2,6763c7e6-e904-4a63-b6cd-6d8501577078,bb2fb021-3902-45c9-827f-2921192b764e",rag_v2,rag,5,10884.18,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đầy đủ và chính xác các thông tin về thang điểm và mức điểm xếp loại Xuất sắc giống như đáp án tham khảo.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_003,Điểm rèn luyện từ bao nhiêu đến bao nhiêu được xếp loại Khá tại Bách khoa Hà Nội?,simple,easy,Từ 65 đến dưới 80 điểm được xếp loại Khá.,58a3f5df-9048-43b1-bd1a-2e92c2d749af,"Theo các tài liệu được cung cấp, có sự khác biệt về khung điểm xếp loại Khá như sau:

*   Theo Quy chế đào tạo (Chương IV, Điều 24): Loại Khá là từ **65 điểm đến 79 điểm**.
*   Theo quy định tại Điều 3 (Nội dung đánh giá và thang điểm): Loại Khá là từ **65 điểm đến dưới 80 điểm**.","f6e06049-71e8-425f-bc49-c4dfbdae6dad,58a3f5df-9048-43b1-bd1a-2e92c2d749af,50b1351d-9de8-4399-9fb9-f45a51bd63f3,2d9397a2-c900-4852-a039-a9eca2695ac2",rag_v2,rag,4,12152.72,True,good,grounded,complete,"Câu trả lời đã phản ánh chính xác thông tin từ các tài liệu được cung cấp, chỉ ra sự khác biệt nhỏ trong cách diễn đạt khung điểm loại Khá giữa hai văn bản trong ngữ cảnh.",correct,Câu trả lời đã cung cấp thông tin chính xác về khung điểm xếp loại Khá (65 đến dưới 80) và giải thích rõ ràng các cách diễn đạt khác nhau trong quy định.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_004,Điểm rèn luyện toàn khóa tại Bách khoa Hà Nội được tính là trung bình cộng của bao nhiêu học kỳ tối thiểu?,simple,easy,Tối thiểu 07 học kỳ.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,"Tôi không tìm thấy thông tin về cách tính điểm rèn luyện toàn khóa (trung bình cộng của bao nhiêu học kỳ tối thiểu) trong tài liệu hiện có. Các tài liệu tham khảo chỉ hướng dẫn cách đạt điểm rèn luyện trong từng học kỳ, không đề cập đến công thức tính tổng kết toàn khóa.","e32c1875-5a14-4574-8635-081b9bfc8b75,55fbb45d-5a41-4b0b-868f-76239ec21945,b8e0dd53-c5a0-4aa1-8142-ef58491699da,5c189589-c46c-460b-87d7-bf63762eaa04,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,18f2acf9-7293-4ebd-bd17-879618732b0f,9bd34a49-afe2-4480-8c70-ba14008ef5f9,/ts.hust.edu.vn/tin-tuc/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2026,/xaydungchinhsach.chinhphu.vn/toan-canh-tuyen-sinh-2026-dai-hoc-bach-khoa-ha-noi-119260227102938251.htm,/vnexpress.net/tuyen-sinh-dai-hoc-bach-khoa-ha-noi-2026-bang-quy-doi-ielts-to-hop-phuong-thuc-xet-tuyen-5043803-p2.html",rag_v2,rag,10,25377.17,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa thông tin về cách đạt điểm rèn luyện trong một học kỳ cụ thể, không có thông tin về quy định tính điểm rèn luyện toàn khóa. Trợ lý đã trả lời đúng và trung thực dựa trên ngữ cảnh.",incorrect,"Câu trả lời được tạo ra không cung cấp thông tin chính xác theo yêu cầu mà lại khẳng định không tìm thấy thông tin, trong khi thông tin này có trong quy định của trường.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_005,Điểm rèn luyện của năm học tại Bách khoa Hà Nội được tính như thế nào?,simple,easy,Là trung bình cộng của điểm rèn luyện các học kỳ của năm học đó.,ac10eee1-e011-4914-90f2-dd49a1c5caf0,"Theo quy định tại Điều 5 về thời gian đánh giá, điểm rèn luyện của năm học được tính là trung bình cộng của điểm rèn luyện các học kỳ trong năm học đó.","ac10eee1-e011-4914-90f2-dd49a1c5caf0,58a3f5df-9048-43b1-bd1a-2e92c2d749af,6763c7e6-e904-4a63-b6cd-6d8501577078,f6e06049-71e8-425f-bc49-c4dfbdae6dad,22ead6bd-0b7b-44fc-b661-582c2caeb6a9",rag_v2,rag,5,19123.39,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 5, khoản 3).",correct,"Câu trả lời đã nêu chính xác cách tính điểm rèn luyện là trung bình cộng của các học kỳ trong năm học, tương đồng với đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_006,Kết quả đánh giá rèn luyện toàn khóa được ghi vào tài liệu nào của sinh viên khi tốt nghiệp?,simple,easy,Được ghi vào bảng điểm kết quả học tập và lưu trong hồ sơ của người học khi tốt nghiệp.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Theo quy định, kết quả đánh giá rèn luyện toàn khóa học của sinh viên được ghi vào các tài liệu sau khi tốt nghiệp:

*   Được ghi chung vào bảng điểm kết quả học tập.
*   Được lưu trong hồ sơ của người học.","f6e06049-71e8-425f-bc49-c4dfbdae6dad,709acc59-af70-4f5c-8ff0-4edae3a89605,3eadf358-0021-4cb2-b450-e5cc18076dfa,b0a8fa91-826f-437f-83e8-8413c4cbf558,6c15e6f3-09df-482e-80fe-a6b644a62b65,c6dd14b6-6c76-4236-b771-e8f74f3de111,ac10eee1-e011-4914-90f2-dd49a1c5caf0",rag_v2,rag,7,10150.39,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 6, Khoản 2 của tài liệu quy định được cung cấp trong ngữ cảnh.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin chính xác như đáp án tham khảo, chỉ thay đổi cách trình bày dưới dạng liệt kê.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
QD_danh_gia_diem_ren_luyen_SV_2023_simple_007,Sinh viên bị xếp loại rèn luyện Yếu trong hai học kỳ liên tiếp tại Bách khoa sẽ bị ảnh hưởng như thế nào?,simple,easy,Bị hạn chế đăng ký học tập tương đương cảnh báo học tập mức 2.,709acc59-af70-4f5c-8ff0-4edae3a89605,"Theo quy định, sinh viên bị xếp loại rèn luyện Yếu trong hai học kỳ liên tiếp sẽ chịu các ảnh hưởng sau:

*   Bị hạn chế đăng ký học tập, mức độ tương đương với cảnh báo học tập mức 2.
*   Phòng/Ban chức năng Đào tạo sẽ phối hợp với Phòng/Ban chức năng Công tác sinh viên (CTSV) để xử lý việc hạn chế đăng ký học tập này.","709acc59-af70-4f5c-8ff0-4edae3a89605,7d462060-34ee-47b7-8bf2-ade7687f8e02,5d347da2-c4f6-4504-b610-4bb7b016fc4e",rag_v2,rag,3,7448.11,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 6 và Điều 8).",correct,"Câu trả lời đã nêu đúng thông tin cốt lõi về việc bị hạn chế đăng ký học tập tương đương cảnh báo mức 2, các thông tin bổ sung về quy trình phối hợp không làm sai lệch nội dung chính.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_008,Kết quả đánh giá điểm rèn luyện được công bố công khai trước bao nhiêu ngày trước khi ban hành quyết định chính thức?,simple,easy,Trước 14 ngày.,3eadf358-0021-4cb2-b450-e5cc18076dfa,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu được cung cấp chỉ đề cập đến mốc thời gian đánh giá rèn luyện (bắt đầu/kết thúc) trong khung kế hoạch năm học, nhưng không có quy định cụ thể về việc công bố công khai kết quả điểm rèn luyện trước bao nhiêu ngày khi ban hành quyết định chính thức.","cd2f5755-2ee3-4964-825e-133cee1d4fed,10a77213-1105-4d32-9fe2-197392ad6ccd,f30723ed-b476-4c8c-b62d-378188e76137,c708e8d8-c11d-4917-aad8-fae5958c4a69,f5398d42-849a-4c88-9dee-b91d09bd7220,6824ee6a-adad-43e6-a1df-59f0ddc26794,3d17ef49-f15b-4846-b700-7b48a37dcd56,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27236,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_Kehoach/2025-2026/KH%20nam%20hoc%202025-2026_Full.pdf",rag_v2,rag,9,33252.47,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về quy định thời hạn công bố công khai điểm rèn luyện trước khi ban hành quyết định chính thức. Trợ lý đã trả lời đúng và trung thực dựa trên phạm vi ngữ cảnh.,incorrect,"The generated answer fails to provide the specific information requested, which is a standard regulation in university student assessment guidelines.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_009,Sinh viên Bách khoa có quyền khiếu nại kết quả điểm rèn luyện trong thời hạn tối thiểu bao nhiêu ngày?,simple,easy,Tối thiểu 15 ngày.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Theo quy định, sinh viên có quyền khiếu nại kết quả đánh giá rèn luyện lên Hội đồng đánh giá rèn luyện sinh viên (thông qua Phòng/Ban chức năng CTSV) trong khoảng thời gian tối thiểu là 15 ngày, kể từ khi Hội đồng công bố thời gian nhận khiếu nại.","1d027fed-86ee-419d-ad43-39866cc3a23d,ec1d7a3c-baa4-45fc-83f6-3ff6ca9607f7,32c36c72-df33-45c5-9f64-85c4b0809247",rag_v2,rag,3,10479.44,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 7.",correct,Câu trả lời đã nêu đúng thời hạn tối thiểu là 15 ngày theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_danh_gia_diem_ren_luyen_SV_2023_simple_010,"Khi nhận được đơn khiếu nại điểm rèn luyện, các đơn vị phải trả lời sinh viên trong thời gian tối đa bao nhiêu ngày?",simple,easy,Không quá 07 ngày kể từ ngày nhận được đơn khiếu nại.,1d027fed-86ee-419d-ad43-39866cc3a23d,"Khi nhận được đơn khiếu nại kết quả đánh giá rèn luyện, các đơn vị (Phòng/Ban chức năng Công tác sinh viên, Đơn vị cấp phát minh chứng tham gia hoạt động, Giảng viên quản lý lớp) có trách nhiệm xem xét và trả lời sinh viên trong thời gian không quá 07 ngày kể từ ngày nhận được đơn.","1d027fed-86ee-419d-ad43-39866cc3a23d,e9b377f9-4648-42e1-9e4d-16c9315a99c8,3eadf358-0021-4cb2-b450-e5cc18076dfa",rag_v2,rag,3,7357.69,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 7 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu chính xác thời hạn 07 ngày theo yêu cầu và cung cấp thêm thông tin chi tiết về các đơn vị liên quan mà không làm sai lệch nội dung chính.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
