id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,simple,easy,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,2180d883-8170-47b1-90dd-93486eb258d4,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản (NNCB) hoặc học phần ngoại ngữ khi đáp ứng các điều kiện sau:

*   **Đạt chứng chỉ:** Sinh viên đạt được chứng chỉ ngoại ngữ theo quy định trong quá trình học tập. Chứng chỉ này phải còn hạn tính tới thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật:** Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn.
*   **Thời hạn nộp đơn:** Đơn đề nghị xét miễn phải được nộp muộn nhất là 2 tuần trước khi học kỳ bắt đầu (theo Khung kế hoạch năm học hoặc Biểu đồ kế hoạch học tập của năm học).

**Lưu ý:**
*   Kết quả miễn học sẽ được ghi bằng ký hiệu ""R"" trong dữ liệu học tập/bảng điểm.
*   Đối với sinh viên khóa K70, các học phần NNCB được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và không tính tín chỉ trong chương trình đào tạo chính khóa.","2180d883-8170-47b1-90dd-93486eb258d4,57f25b7e-9744-47c3-a69a-060d300ab4ce,317f09ff-1255-4b5d-a903-61da23e2a92f,f59645a8-a831-4db5-867c-0f63ca0121e5,87879cb9-d1f4-4f25-8374-48c610d9e60b,be891215-b92e-4f67-af3b-e0d10a53cb6b,d59d8e0c-d956-4f0e-bd34-30f9475acfc7",rag_v2,rag,7,15194.2,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ các điều kiện xét miễn học phần ngoại ngữ từ các văn bản được cung cấp, bao gồm điều kiện về chứng chỉ, quy trình thẩm định/cập nhật hệ thống và thời hạn nộp đơn.",correct,"The generated answer includes the core requirement mentioned in the reference answer while providing additional, accurate procedural details.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,simple,easy,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.",2180d883-8170-47b1-90dd-93486eb258d4,"Theo quy định, kết quả miễn học các học phần ngoại ngữ (bao gồm ngoại ngữ cơ bản) được ghi nhận như sau:

*   Kết quả miễn học được ghi bằng ký hiệu ""R"" trong dữ liệu học tập (bảng điểm).
*   Đối với sinh viên khóa K70, kết quả này có giá trị toàn khóa kể từ ngày nhập điểm R.","/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD_ngoai_ngu_tu_K68_CQ_final.pdf,/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,2180d883-8170-47b1-90dd-93486eb258d4,317f09ff-1255-4b5d-a903-61da23e2a92f,57f25b7e-9744-47c3-a69a-060d300ab4ce",rag_v2,rag,6,9309.26,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 3, khoản 2 của tài liệu quy định về ngoại ngữ).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính từ câu trả lời tham chiếu là kết quả được ghi bằng ký hiệu 'R' và có giá trị toàn khóa.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,"Tôi không tìm thấy thông tin về thời hạn cụ thể để nộp đơn xin miễn học phần ngoại ngữ cơ bản trong các tài liệu hiện có.

Các tài liệu chỉ lưu ý rằng sinh viên cần kiểm tra điều kiện chuẩn tiếng Anh theo quy định hoặc tham gia các kỳ thi lấy chứng chỉ theo Phụ lục 2 của Quy định về ngoại ngữ. Bạn có thể tham khảo thêm các quy định, hướng dẫn và biểu mẫu của Ban Đào tạo [tại đây](https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/huong-dan-gui-cau-hoi-toi-phong-dao-tao-cac-van-de-ve-hoc-tap-hoc-phi).","ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,e7eaa2e8-22ae-4e03-b9af-c40a5d5cc24c,1324555a-4936-48b6-a137-75b1c0dec9fc,937f530c-0e0a-4c08-80b8-45e930464152,e98302fd-2bc0-41cd-9522-3650fc5541f7,ff4fa62d-7f66-4c03-be95-0500ac5d489f,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,/ts.hust.edu.vn/tin-tuc/kiem-tra-tieng-anh-dau-khoa",rag_v2,rag,9,16488.9,True,good,grounded,complete,Ngữ cảnh cung cấp không chứa thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản. Trợ lý đã trả lời đúng là không tìm thấy thông tin và hướng dẫn sinh viên tìm kiếm thêm từ nguồn chính thức.,incorrect,The generated answer fails to provide the specific deadline mentioned in the reference answer and instead claims the information is unavailable.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",simple,easy,Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Trong hai học kỳ đầu, Ban Đào tạo sẽ xếp lớp học các học phần ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,31da4b25-270a-49f6-a2a2-a610f558e7c0,87879cb9-d1f4-4f25-8374-48c610d9e60b,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,317f09ff-1255-4b5d-a903-61da23e2a92f,880b1a8b-047e-4b22-bebf-5d3232d90283,c1a7b1f0-4e0d-454f-bf64-873bde6da1ee",rag_v2,rag,7,8393.64,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 4, khoản 1 của ngữ cảnh cung cấp.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,simple,easy,Từ học kỳ 3 trở đi.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định đối với sinh viên khóa K70, lộ trình đăng ký học các học phần ngoại ngữ cơ bản được thực hiện như sau:

*   **Học kỳ 1 và học kỳ 2:** Ban Đào tạo xếp lớp học cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.
*   **Từ học kỳ 3 trở đi:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản cùng với các học phần khác trong chương trình đào tạo (trừ trường hợp đã học hoặc được miễn học phần). Việc đăng ký này là điều kiện bắt buộc để được đăng ký học tập các học phần khác trong chương trình đào tạo.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,87879cb9-d1f4-4f25-8374-48c610d9e60b,317f09ff-1255-4b5d-a903-61da23e2a92f,880b1a8b-047e-4b22-bebf-5d3232d90283,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,5,10859.67,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào Điều 4 trong ngữ cảnh cung cấp cho khóa K70, phân biệt rõ ràng giữa giai đoạn được xếp lớp và giai đoạn sinh viên tự đăng ký.",correct,"Câu trả lời đã nêu rõ thông tin sinh viên tự đăng ký học phần ngoại ngữ cơ bản từ học kỳ 3 trở đi, khớp với đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Sinh viên có được hủy học phần NNCB đã đăng ký không?,simple,easy,"Không, trừ khi rút toàn bộ đăng ký học tập.",9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định hiện hành của Đại học Bách khoa Hà Nội, sinh viên **không được phép hủy các học phần Ngoại ngữ cơ bản (NNCB)**.

Việc đăng ký học song hành các học phần NNCB là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo từ học kỳ 3 trở đi.

Nếu bạn cần thêm thông tin chi tiết hoặc có trường hợp đặc biệt, vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ và xác nhận chính thức.","ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,a92ed215-3a64-403f-8073-7c2130b4228d,9390fe56-1d81-4068-99a4-fd86e0fccbfc,7eb93900-883a-4e4f-9a10-4f4053e3d6e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,3fa5596c-4f7a-4f02-97d0-ed9c49dced0c,4411b054-65b0-47b2-ba27-763dc57155e2,3bdfc505-a39b-49ec-b252-230769593079",agent,complex,9,9771.43,True,good,grounded,complete,"Câu trả lời chính xác dựa trên Điều 4, khoản 4 của văn bản quy định về lộ trình học tập các học phần ngoại ngữ cơ bản (NNCB), trong đó nêu rõ sinh viên không được phép hủy các học phần này trừ trường hợp xin rút hoặc chủ động rút toàn bộ đăng ký học tập trong học kỳ.",partial,"The generated answer correctly states that students cannot cancel NNCB modules, but it fails to mention the exception allowed in the reference answer (withdrawing from the entire semester's registration).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562
chunks_001_simple_007,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,simple,easy,Phải đánh giá đầy đủ 4 kỹ năng.,930e63ee-8533-412a-95ed-967bac30208c,"Theo quy định, chứng chỉ tiếng Anh dùng để xét chuẩn đầu ra phải đánh giá đầy đủ 4 kỹ năng: nghe, nói, đọc, viết.","930e63ee-8533-412a-95ed-967bac30208c,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,60d576b6-e055-478d-9181-979c6d4ca7b3,92d8e047-8bb5-4660-93e7-681e3804d5ee,0fc121e1-e9b8-49b1-ae89-f4265ce3087f",rag_v2,rag,7,23416.7,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 5, khoản 2).",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham chiếu và làm rõ thêm các kỹ năng cụ thể.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,simple,easy,Trong vòng 2 năm.,930e63ee-8533-412a-95ed-967bac30208c,"Theo các tài liệu tham khảo, thời hạn của chứng chỉ tiếng Anh để xét chuẩn đầu ra được quy định như sau:

*   **Đối với khóa K68, K69:** Các chứng chỉ tiếng Anh có giá trị công nhận trong vòng **2 năm** kể từ ngày cấp.
*   **Đối với khóa K62, K63, K64:** Kết quả thi chứng chỉ tiếng Anh nội bộ của Trường có giá trị trong thời gian **2 năm** kể từ ngày thi.
*   **Đối với các khóa khác (theo Quy định đào tạo 2025):** Chứng chỉ tiếng Anh phải được cấp trong vòng **2 năm** tính đến thời điểm xét chuẩn ngoại ngữ đầu ra và còn hiệu lực tại thời điểm xét.","930e63ee-8533-412a-95ed-967bac30208c,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,fb559e62-7fd5-415c-860a-ca19d9c5a5fd",rag_v2,rag,5,5984.62,True,good,grounded,complete,"Câu trả lời đã tổng hợp chính xác thông tin từ các ngữ cảnh khác nhau cho các khóa sinh viên khác nhau, tất cả đều thống nhất về thời hạn 2 năm.",correct,"Câu trả lời đã nêu rõ thời hạn 2 năm theo yêu cầu của câu hỏi và cung cấp thêm thông tin chi tiết, chính xác cho từng đối tượng cụ thể.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_009,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,simple,easy,Được xếp từ học phần đầu tiên của khối NNCB.,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,"Chào bạn, về quy định đối với sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ đầu vào, Đại học Bách khoa Hà Nội có quy định như sau:

*   **Lộ trình học tập:** Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ sẽ được xếp học từ học phần đầu tiên của khối ngoại ngữ cơ bản tương ứng với từng chương trình đào tạo và phải học toàn bộ các học phần ngoại ngữ theo lộ trình quy định.
*   **Lưu ý về khối lượng học tập:** Nếu sinh viên không đạt chuẩn ngoại ngữ theo số tín chỉ tích lũy, bạn sẽ bị hạn chế khối lượng đăng ký học tập (tối đa 14 tín chỉ và tối thiểu 8 tín chỉ cho một học kỳ chính).
*   **Gỡ bỏ hạn chế:** Để được gỡ bỏ mức hạn chế khối lượng học tập, sinh viên cần đăng ký học tại Trường ít nhất 90 tiết học các học phần tiếng Anh bổ trợ theo quy định.

Nếu cần xác nhận thông tin chi tiết hoặc hỗ trợ về lộ trình học tập cá nhân, bạn vui lòng liên hệ trực tiếp với **Phòng Đào tạo** để được hướng dẫn cụ thể.","2ddfbd79-283d-4ee0-b484-dec733c36868,29fa02a8-f103-451e-aba2-ccdfd9d6c501,d59d8e0c-d956-4f0e-bd34-30f9475acfc7,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,e50ffdc3-a46c-41d0-838f-81b2cf81d314,ca0fcec1-4a43-4bcb-a2ab-c6421f101744,e225bfcb-38c1-4725-bf97-46c271ec5b27",agent,complex,7,11225.66,True,good,grounded,complete,"Câu trả lời đã tổng hợp chính xác các thông tin từ ngữ cảnh về việc phân lớp ngoại ngữ cho sinh viên không đạt điều kiện đầu vào, cũng như các quy định liên quan đến hạn chế khối lượng học tập và điều kiện gỡ bỏ hạn chế.",correct,The generated answer includes the core information from the reference answer while providing additional relevant context regarding the university's specific regulations.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
chunks_001_simple_010,Các học phần NNCB có tính vào tín chỉ chính khóa không?,simple,easy,Không tính tín chỉ trong CTĐT chính khóa.,2180d883-8170-47b1-90dd-93486eb258d4,"Theo quy định, các học phần ngoại ngữ cơ bản (NNCB) được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ** trong chương trình đào tạo chính khóa.","2180d883-8170-47b1-90dd-93486eb258d4,f59645a8-a831-4db5-867c-0f63ca0121e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8",rag_v2,rag,3,26425.93,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 3, khoản 1 của ngữ cảnh.",correct,Câu trả lời đã truyền tải chính xác thông tin là các học phần NNCB không được tính vào tín chỉ của chương trình đào tạo chính khóa.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
