id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
kehoach_list_all_chunks_simple_001,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 30/06/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,"Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ **05/05/2026 đến 30/06/2026** (theo thông báo của Ban Đào tạo, [xem chi tiết](https://ctt.hust.edu.vn/DisplayWeb/DisplayKeHoach?kehoach=28237)).","1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,a227072b-b06a-4354-9e0e-afa8d84de998,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4",rag_v2,rag,7,7725.58,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về thời hạn nhận hồ sơ như trong đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_002,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 15/08/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,"Theo **""TIẾP NHẬN TRỞ LẠI HỌC TỪ KỲ HÈ 20253 VÀ KỲ 1 NĂM HỌC 2026-2027 (20261)""**, thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là:

**Từ 05/05/2026 đến 15/08/2026**.","1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,35d08556-af5c-4513-81e8-ba3229a33997,a227072b-b06a-4354-9e0e-afa8d84de998",rag_v2,rag,7,7075.46,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác mốc thời gian nhận hồ sơ theo đúng yêu cầu của câu hỏi và khớp với đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_003,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và 20261 nộp đơn gặp ai tại Ban Đào tạo?,simple,easy,Gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,93f509f0-fab2-47b8-b53a-ecb613d7f719,"Theo thông báo ""Tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027 (20261)"", sinh viên nộp đơn tại Ban Đào tạo (Tầng 1 nhà C1) và gặp **chuyên viên Nguyễn Kim Huệ**.","/htu.edu/enrollment-management/returning-students,/www.houstonisd.org/schools-academics/student-enrollment/returning-to-hisd-for-the-2025-2026-school-year,/www.houstonisd.org/schools-academics/student-enrollment,1c439f64-e234-44b2-9d7c-b416ba23fd81,fa598ac1-3957-4a80-ad28-18f8f338e7b3,93f509f0-fab2-47b8-b53a-ecb613d7f719,523184f2-7754-4670-90b9-2edc52275057,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,a30e64d8-a90c-4b8c-9d26-5ecb1b5fb504,012a5f10-75fe-4a09-be65-67209ace7897",rag_v2,rag,10,31407.72,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp (văn bản về lịch tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027).",correct,Câu trả lời đã cung cấp đầy đủ và chính xác thông tin về người cần gặp và địa điểm theo yêu cầu của câu hỏi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562
kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Theo tài liệu hướng dẫn tiếp nhận trở lại học từ kỳ hè 20253, sinh viên **không cần đăng ký học phần**. Thay vào đó, sinh viên chỉ cần đăng ký lớp học trong đợt đăng ký điều chỉnh trực tuyến trên hệ thống đăng ký lớp.","1c439f64-e234-44b2-9d7c-b416ba23fd81,fa598ac1-3957-4a80-ad28-18f8f338e7b3,523184f2-7754-4670-90b9-2edc52275057,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,3bdfc505-a39b-49ec-b252-230769593079,a7139882-07f2-4698-a564-e44ce1f77bfa,2cd48eb8-7595-44e8-bad8-61741b6cbfaf,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,012a5f10-75fe-4a09-be65-67209ace7897",rag_v2,rag,9,18100.12,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp về việc tiếp nhận trở lại học từ kỳ hè 20253.",correct,Câu trả lời đã truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_005,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày nào?,simple,easy,Cập nhật ngày 28/04/2026.,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật ngày **28.04.2026** (28 tháng 4 năm 2026).,"/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27236,/ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=25211,73aea3ac-54d2-4a1a-a954-55ed178a11e1,3091d21c-f574-477f-a2a7-e22b96f2f72f,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,e8327e5e-ea47-4b9e-812c-528ef16f1c3d,97da2544-86a1-436c-8e2f-d464dba15663,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,13d0de2d-ee63-421e-96f9-146e136ba8e7",rag_v2,rag,9,14906.45,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra cung cấp chính xác thông tin về ngày cập nhật lịch thi giống như câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_006,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 27/04/2026 đến ngày 18/05/2026.,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là **từ 27/04/2026 đến 18/05/2026** (theo Kế hoạch năm học 2025-2026).,"68f47a69-4fab-4911-bed5-882f06e12595,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,c6a6787f-b0a5-40c5-820e-c9d1afa7ed34,e2da6031-35bb-4717-ad0b-6b9743a87649,537104a4-ac96-4f5d-b661-57b76d224f9f,fa09ee88-19b1-43ab-accd-1c66e25cde3d,d6dba542-0a9d-4633-b043-66da6a04f9f7",rag_v2,rag,7,5451.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh.",correct,Câu trả lời đã cung cấp chính xác mốc thời gian đăng ký theo đúng thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
kehoach_list_all_chunks_simple_007,Điều kiện tín chỉ tích lũy tối thiểu để sinh viên được đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu là bao nhiêu?,simple,easy,Tổng số tín chỉ tích lũy cộng với tín chỉ đang học tại kỳ hiện tại của các học phần bậc cử nhân phải đạt từ 115 TC trở lên.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo **Hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù (180 TC)**, mục 2.A, sinh viên cần tích lũy **từ 118 tín chỉ trở lên** của chương trình đào tạo cử nhân mới được phép đăng ký học tích lũy trước tối đa 15 tín chỉ của CTĐT KS.","1fec193d-7ca1-4258-b67b-7b721bc94853,06ada73c-1835-4f94-8b7f-61d465ebb914,c6af41fa-6b81-4406-9741-1e12a9b33e0d,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,da4da67a-5a72-4574-ba57-21e7c93be4c8,b696067a-87f6-4130-a37e-1e087edd1a28,e3a29e1c-9828-458f-8089-ebccfa6e428c,9f2e4559-6d1b-41cf-8e53-46a0cb246167",rag_v2,rag,8,10141.14,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",partial,"The generated answer provides a different credit threshold (118) compared to the reference answer (115), indicating a discrepancy in the specific requirement.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_008,Sinh viên đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu được tối đa bao nhiêu tín chỉ?,simple,easy,"Tối đa 15 tín chỉ học phần bậc kỹ sư chuyên sâu (trừ các học phần Đồ án chuyên ngành KS, Thực tập KS và Đồ án tốt nghiệp KS).",68f47a69-4fab-4911-bed5-882f06e12595,"Sinh viên được phép học tích lũy trước tối đa **15 tín chỉ** của chương trình đào tạo kỹ sư chuyên sâu đặc thù. (Theo Hướng dẫn học tập chương trình kỹ sư chuyên sâu đặc thù (180 TC) và Quy chế đào tạo 2025, Điều 21, khoản 3). Nếu sinh viên đăng ký vượt quá 15 tín chỉ, chỉ có tối đa 15 tín chỉ được công nhận.","1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,c6af41fa-6b81-4406-9741-1e12a9b33e0d,da4da67a-5a72-4574-ba57-21e7c93be4c8,b696067a-87f6-4130-a37e-1e087edd1a28,06ada73c-1835-4f94-8b7f-61d465ebb914,fe800938-7627-4648-873e-e04252f33280,720ab953-7802-40d2-bbd5-c485049281a6",rag_v2,rag,8,18339.29,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (cả phần hướng dẫn và quy chế đào tạo).",correct,"Cả hai câu trả lời đều nêu đúng con số tối đa là 15 tín chỉ, câu trả lời được tạo ra còn bổ sung thêm thông tin chi tiết về quy định và nguồn tham khảo.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_009,"Sau khi đăng ký học tích hợp KSCS thành công, sinh viên được cấp gì?",simple,easy,Sinh viên được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên kỹ sư.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo tài liệu hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù (180 TC), sau khi đăng ký học tiếp CTĐT KS thành công:

- Sinh viên được **cấp mã số người học mới** dựa trên mã số sinh viên bậc cử nhân.
- Đồng thời được chính thức chuyển sang học CTĐT KS 180 TC.","7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,9f2e4559-6d1b-41cf-8e53-46a0cb246167,720ab953-7802-40d2-bbd5-c485049281a6,ed885f9b-16ee-4054-b003-9d8306b26eb3,8038a171-9e3d-4b1f-8cfd-28fc5e97e6bf,4411b054-65b0-47b2-ba27-763dc57155e2,2cd48eb8-7595-44e8-bad8-61741b6cbfaf,a7139882-07f2-4698-a564-e44ce1f77bfa,01a026a0-8d35-4898-a00c-080a11634939",rag_v2,rag,9,14996.31,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (tài liệu hướng dẫn học tập chương trình Kỹ sư chuyên sâu đặc thù).",partial,"The generated answer provides different information (a new student ID based on the undergraduate ID) compared to the reference answer (which specifies a 'Mã số học viên kỹ sư' and a specific email), making it unclear if they refer to the same system or if the generated answer is inaccurate.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_010,Học phí các học phần bậc Kỹ sư chuyên sâu được tính như thế nào so với bậc cử nhân?,simple,easy,"Học phí các học phần bậc KSCS được tính theo học phí bậc cử nhân của chương trình đào tạo chuẩn tương ứng, mức học phí trong và ngoài CTĐT là như nhau.",d4df1842-6745-454b-a0b3-e3437844092a,"Theo tài liệu **QD HOC PHI - 2025-2026-final.pdf**, mức học phí/một tín chỉ học phí (TCHP) đối với các học phần thuộc khung chương trình đào tạo kỹ sư chuyên sâu (KSCS) được tính **bằng với** mức học phí/một TCHP của chương trình đào tạo đại học chính quy chuẩn tương ứng.

Một số ngoại lệ cụ thể được nêu trong cùng tài liệu:
- CTĐT KSCS **Kỹ thuật Ô tô số**: mức học phí bằng mức học phí CTĐT cử nhân **Kỹ thuật Ô tô**.
- CTĐT KSCS **Thiết kế vi mạch**: mức học phí bằng mức học phí CTĐT **Kỹ thuật Điện tử - Viễn thông**.
- CTĐT KSCS **Trí tuệ nhân tạo tạo sinh (GenAI)**: mức học phí bằng mức học phí CTĐT **Khoa học dữ liệu và Trí tuệ nhân tạo (IT-E10)** (thông tin này cũng được nhắc lại trong **Thông báo về mức học phí năm học 2024-2025**).

Ngoài ra, tài liệu cũng lưu ý rằng chế độ miễn, giảm học phí theo quy định của Nhà nước **không áp dụng** cho các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu.","a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,1fec193d-7ca1-4258-b67b-7b721bc94853,6c965fc0-0be0-4751-87d4-47ba6b1aa880,8fe4b849-07db-5b96-9173-26b38e8bd1d1,fe800938-7627-4648-873e-e04252f33280,37b43412-4011-58ad-995c-7e29cea4469f,17acb6de-5ea4-5be3-88b9-c4c0acbc6571",rag_v2,rag,7,13332.15,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ tài liệu được cung cấp về cách tính học phí cho bậc kỹ sư chuyên sâu, bao gồm cả các trường hợp tương đương cụ thể và lưu ý về chế độ miễn giảm học phí.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham khảo và cung cấp thêm các chi tiết cụ thể, chính xác về cách tính học phí cho các chương trình kỹ sư chuyên sâu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
