dataset,id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
06_Quy_dinh_ngoai_ngu_chunks,chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong tài liệu hiện có.,"ff4fa62d-7f66-4c03-be95-0500ac5d489f,1324555a-4936-48b6-a137-75b1c0dec9fc,1c439f64-e234-44b2-9d7c-b416ba23fd81,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,7d8aa391-43e8-4e39-89eb-bcc9d0d282c0,285e35cc-290a-40b0-bf04-7baec313ebb0,2cd329b9-a791-4429-8290-3865105bb0c7",rag_v2,rag,7,28359.41,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản. Trợ lý đã trả lời đúng dựa trên phạm vi ngữ cảnh.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn trong khi câu trả lời tham chiếu đã nêu rõ thời hạn là muộn nhất 2 tuần trước khi bắt đầu học kỳ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Quy_dinh_ngoai_ngu_chunks,chunks_001_simple_020,Kết quả TOEIC Placement dùng để xét chuẩn đầu ra không?,simple,easy,Không.,b2f484b6-9409-43c9-a49c-a241e0586079,"Tôi không tìm thấy thông tin về việc sử dụng kết quả TOEIC Placement để xét chuẩn đầu ra trong các tài liệu hiện có.

Các tài liệu chỉ đề cập đến yêu cầu về điểm TOEIC đối với một số ngành như sau:
*   **Ngành Hóa học (CH2):** Yêu cầu sử dụng tiếng Anh hiệu quả trong công việc, đạt điểm TOEIC từ 500 trở lên.
*   **Ngành Hệ thống điện và năng lượng tái tạo (EE-E18):** Yêu cầu sử dụng tiếng Anh hiệu quả trong công việc, đạt điểm TOEIC theo quy định của ĐHBK Hà Nội.","89ae65ff-3726-4dee-8c67-5e3a60a3cf50,b9703893-d747-4bb3-8f84-069daa4db1bd,47805b4c-a3e4-44f2-86bd-8598964a884a,8bb7a80f-9624-4112-a2f2-be81ebca1db8,309b3e7a-d553-4a9f-9536-1aece32782c5,6046c1e2-c760-48ad-9020-d9a39aaf33e9,469aca08-b8f6-466e-a566-855759fb6b40",rag_v2,rag,7,27047.95,True,good,grounded,complete,"Câu trả lời phản ánh chính xác thông tin từ ngữ cảnh được cung cấp, xác nhận không có dữ liệu về TOEIC Placement dùng để xét chuẩn đầu ra và liệt kê đúng các yêu cầu TOEIC có trong tài liệu.",correct,"Cả hai câu trả lời đều khẳng định kết quả TOEIC Placement không dùng để xét chuẩn đầu ra, dù câu trả lời được tạo ra có giải thích chi tiết hơn.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blending_rag_dataset,QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,d78b860f-2174-45c7-927e-4abb7c80cbd0,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,a227072b-b06a-4354-9e0e-afa8d84de998,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,047b5a56-39e3-45fd-a643-ebe5b8f974b8",rag_v2,rag,7,14325.13,True,good,grounded,complete,Thông tin về Quyết định 1515/QĐ-ĐHBK-ĐT không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã cung cấp ngày ban hành chính xác.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blending_rag_dataset,QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu chỉ đề cập đến việc sử dụng ứng dụng Microsoft Teams cho quá trình học tập trực tuyến trong giai đoạn giãn cách xã hội do ảnh hưởng của dịch Covid, chứ không quy định về các loại học phần không được áp dụng hình thức này.","0c752539-cb5d-45ab-a4f0-4930315df9e6,55fbb45d-5a41-4b0b-868f-76239ec21945,d00d8b97-db4b-464a-823c-979081167e3e,8ccd3744-993e-4140-b91b-691568856c14,57ead25a-5a79-44a8-9411-26955a1050c2,bff9c21a-e42e-4aba-a023-8fb73be20f52,c00ae769-a899-4f8a-b886-36c24f55841a",rag_v2,rag,7,16767.34,True,good,grounded,complete,Thông tin về các loại học phần không được áp dụng dạy-học trực tuyến không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng là không tìm thấy thông tin và giải thích rõ những gì có trong tài liệu.,incorrect,"The generated answer fails to provide the required information, claiming it is unavailable, whereas the reference answer provides a specific policy regarding practical and laboratory courses.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blending_rag_dataset,QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_006,Tổng số tín chỉ dạy-học trên LMS của các học phần B-Learning không được vượt quá bao nhiêu phần trăm tổng số tín chỉ của chương trình đào tạo?,simple,easy,Không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.,83d42fb2-ce2f-4afd-aae9-c458efd880a8,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"6c965fc0-0be0-4751-87d4-47ba6b1aa880,06ada73c-1835-4f94-8b7f-61d465ebb914,2e9408a7-caf1-48f5-be5c-141ef26e562e,eb023a40-0b82-4105-ab49-a178c9dc17cd,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,f90914dd-eefc-4452-9ce6-2ca73f0bc542,12da1a0f-228c-4c36-8730-24b6903e495f",rag_v2,rag,7,12313.88,True,good,grounded,complete,Thông tin về tỷ lệ tín chỉ cho các học phần B-Learning không có trong ngữ cảnh được cung cấp.,incorrect,"The generated answer fails to provide the required information, whereas the reference answer provides a specific percentage.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blending_rag_dataset,QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_014,Học liệu số từ nguồn mở chỉ được dùng như thế nào trong B-Learning tại Bách khoa?,simple,easy,Chỉ được sử dụng như các học liệu bổ trợ trong giảng dạy học phần và phải tuân thủ các quy định pháp luật về bản quyền và sở hữu trí tuệ.,91a139a1-e9b5-4602-bed7-6f9ceff9dcf3,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"f8f94971-9a39-43c1-9352-6afde07542dd,4a176a50-4d5e-4ca6-81ae-d28ac41459c7,a057b784-1273-4f4f-8867-f5f0bf254539,c50188f4-d2dc-4c0b-a10d-7ea26222c137,428552e0-1ba2-49e2-ae97-df986de9e215,95775427-02cc-4c83-8ce5-372cf6aa7f7d,b074110a-c17f-4c38-b83b-72e9f411ecf5",rag_v2,rag,7,16077.68,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ bao gồm mô tả chương trình đào tạo và danh mục học phần, không chứa thông tin về quy định hay cách thức sử dụng học liệu số nguồn mở trong mô hình B-Learning tại Bách khoa.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer clearly states the usage policy for open-source digital learning materials in B-Learning at Bach Khoa.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blending_rag_dataset,QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_017,Yêu cầu kỹ thuật tối thiểu về hình ảnh của video bài giảng B-Learning là gì?,simple,easy,"Hình ảnh HD 720p hoặc Full HD 1080p theo tỉ lệ khung hình 16:9, đảm bảo nhìn hình ảnh rõ nét và không lóa.",206ba038-5e6c-428d-b412-20d635078b52,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"b485a1ff-a64d-47af-88db-584cbce04c1b,97c02851-5f57-4ef2-a702-0f57f8826e04,23bfa8f6-2355-429b-83c1-7b0a647e7a1e,d3e6963c-a4e8-4357-954b-176876aaba28,1eaa5da6-2d41-499a-8518-d8aae4013c6c,a16d842b-96df-4f32-81d6-ac10dd07bb70,f33997da-b526-4223-b50e-a99c7c5c1fca",rag_v2,rag,7,14213.87,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa thông tin về chương trình đào tạo ngành Kỹ thuật in, không có thông tin về quy định kỹ thuật cho video bài giảng B-Learning.",incorrect,Câu trả lời được tạo ra không cung cấp thông tin theo yêu cầu mà chỉ thông báo không tìm thấy dữ liệu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blending_rag_dataset,QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_021,Giảng viên cần gửi bài giảng B-Learning hoàn chỉnh cho Ban điều phối chậm nhất là bao lâu trước học kỳ mới?,simple,easy,Chậm nhất là 02 tháng trước học kỳ mới.,e6862ba0-3ca6-4ec6-a91c-9f1e0b38a5b5,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"33278482-6061-46c5-9591-80f6a3276efc,93f509f0-fab2-47b8-b53a-ecb613d7f719,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,ff4fa62d-7f66-4c03-be95-0500ac5d489f,e662d3c7-5f40-422b-b094-b471085069b5,35d08556-af5c-4513-81e8-ba3229a33997,1c439f64-e234-44b2-9d7c-b416ba23fd81",rag_v2,rag,7,19310.67,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ chứa thông tin về lịch đăng ký học tập, lịch tiếp nhận sinh viên trở lại học và quy định về hủy/mở lớp, không có thông tin về quy định gửi bài giảng B-Learning của giảng viên.",incorrect,Câu trả lời được tạo ra không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã đưa ra thời hạn cụ thể.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbkkht_rag_dataset,1__QD_Hoc_bong_KKHT_2023_multi_hop_030,"Sinh viên học quá thời gian kế hoạch chuẩn của chương trình đào tạo và đang đăng ký 18 tín chỉ, đạt GPA 3,7 và điểm rèn luyện 91 có được xét học bổng KKHT không?",multi_hop,medium,"Không được xét học bổng. Dù đạt đủ điều kiện về GPA và điểm rèn luyện cho loại A, sinh viên bị loại khỏi xét do đang học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo.","01a026a0-8d35-4898-a00c-080a11634939,2d9397a2-c900-4852-a039-a9eca2695ac2","Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu được cung cấp chỉ bao gồm nội dung chương trình đào tạo của một số ngành và thông tin về mức học phí năm học 2025-2026, không chứa quy định về điều kiện xét học bổng khuyến khích học tập (KKHT).","03fcc47c-49dd-4eb4-b05a-f62898a5986d,6c965fc0-0be0-4751-87d4-47ba6b1aa880,89ae65ff-3726-4dee-8c67-5e3a60a3cf50,f7464bc2-d8e3-4394-9ea5-caa236c450fa,8bb7a80f-9624-4112-a2f2-be81ebca1db8,94cb3b90-7b66-42e0-8330-6f7b531e7e54,176f34cb-66ad-48b7-9b31-ec73e437e454",rag_v2,rag,7,14676.71,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về quy định xét học bổng khuyến khích học tập. Trợ lý đã trả lời chính xác là không tìm thấy thông tin trong tài liệu.,incorrect,"The generated answer fails to provide the correct information based on general academic regulations, instead claiming it cannot find the information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_rag_dataset,kehoach_list_all_chunks_simple_012,Sinh viên đăng ký học tích hợp KSCS biết mình đăng ký thành công bằng cách nào?,simple,easy,Đăng ký là thành công khi sinh viên nhận được email xác nhận từ hệ thống.,d6dba542-0a9d-4633-b043-66da6a04f9f7,"Tôi không tìm thấy thông tin về cách thức sinh viên biết mình đã đăng ký thành công chương trình tích hợp cử nhân - kỹ sư trong tài liệu hiện có.

Tài liệu chỉ cung cấp thông tin về quy trình đăng ký học cùng lúc hai chương trình (Điều 18) và cấu trúc tín chỉ của các chương trình đào tạo.","8038a171-9e3d-4b1f-8cfd-28fc5e97e6bf,ed885f9b-16ee-4054-b003-9d8306b26eb3,862722b6-2331-4310-bc4a-d05c6708a7bd,d1e3676d-116c-4b99-a210-8a24abf425ff,b5974b80-f980-41a3-8a0f-bcc685e15acb,4fcbf1c2-1091-4b4b-808f-bef06688f08e,178c1668-06ff-46b2-8d57-cfaebe02082d",rag_v2,rag,7,14478.65,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về cách xác nhận đăng ký thành công chương trình tích hợp cử nhân - kỹ sư. Trợ lý đã trả lời đúng và trung thực dựa trên ngữ cảnh.,incorrect,"The generated answer fails to provide the information requested, whereas the reference answer provides a clear and direct answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
