id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,simple,easy,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,2180d883-8170-47b1-90dd-93486eb258d4,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản (NNCB) hoặc học phần ngoại ngữ khi đáp ứng các điều kiện sau:

*   **Đạt chứng chỉ ngoại ngữ:** Sinh viên đạt được chứng chỉ ngoại ngữ theo quy định tương ứng với trình độ đạt được trong quá trình học tập.
*   **Chứng chỉ còn hạn:** Chứng chỉ ngoại ngữ phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật:** Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn.
*   **Thời hạn nộp đơn:** Đơn đề nghị xét miễn phải được nộp muộn nhất là **2 tuần** trước khi học kỳ bắt đầu (theo Khung kế hoạch năm học hoặc Biểu đồ kế hoạch học tập của năm học).

**Lưu ý:**
*   Kết quả miễn học sẽ được ghi bằng ký hiệu ""R"" trong dữ liệu học tập/bảng điểm.
*   Danh mục chứng chỉ và các học phần được miễn tương ứng được quy định tại các Phụ lục kèm theo quy định của từng khóa.","2180d883-8170-47b1-90dd-93486eb258d4,57f25b7e-9744-47c3-a69a-060d300ab4ce,317f09ff-1255-4b5d-a903-61da23e2a92f,f59645a8-a831-4db5-867c-0f63ca0121e5,87879cb9-d1f4-4f25-8374-48c610d9e60b,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e,be891215-b92e-4f67-af3b-e0d10a53cb6b",rag_v2,rag,7,10656.15,True,good,grounded,complete,Câu trả lời đã tổng hợp đầy đủ các điều kiện và quy trình xét miễn học phần ngoại ngữ dựa trên các văn bản quy định được cung cấp trong ngữ cảnh.,correct,"Câu trả lời được tạo ra bao hàm đầy đủ ý chính của câu trả lời tham chiếu và cung cấp thêm các thông tin chi tiết, chính xác về quy trình xét miễn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,simple,easy,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.",2180d883-8170-47b1-90dd-93486eb258d4,"Theo quy định, kết quả miễn học các học phần ngoại ngữ cơ bản (NNCB) được ghi nhận như sau:

*   Kết quả miễn học được ghi bằng ký hiệu ""R"" trong dữ liệu học tập.
*   Kết quả này có giá trị toàn khóa kể từ ngày nhập điểm R.","2180d883-8170-47b1-90dd-93486eb258d4,317f09ff-1255-4b5d-a903-61da23e2a92f,31da4b25-270a-49f6-a2a2-a610f558e7c0",rag_v2,rag,3,7430.67,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 3, khoản 2 của tài liệu K70).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính từ đáp án tham khảo và diễn đạt rõ ràng hơn.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong các tài liệu hiện có.,"ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,a92ed215-3a64-403f-8073-7c2130b4228d,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,1c439f64-e234-44b2-9d7c-b416ba23fd81,e7eaa2e8-22ae-4e03-b9af-c40a5d5cc24c",rag_v2,rag,7,15869.05,True,good,grounded,complete,Các tài liệu được cung cấp không chứa thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản. Trợ lý đã trả lời đúng dựa trên ngữ cảnh.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn nộp đơn trong khi câu trả lời tham chiếu đã nêu rõ thời hạn là muộn nhất 2 tuần trước khi bắt đầu học kỳ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",simple,easy,Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Trong hai học kỳ đầu, Ban Đào tạo là đơn vị thực hiện xếp lớp học các học phần ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,14a66cde-ac07-4fcd-b310-76acfd120627,31da4b25-270a-49f6-a2a2-a610f558e7c0,87879cb9-d1f4-4f25-8374-48c610d9e60b,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,29f052b7-36c2-45c4-8400-46c2737d02a9,317f09ff-1255-4b5d-a903-61da23e2a92f",rag_v2,rag,7,12315.88,True,good,grounded,complete,"Câu trả lời hoàn toàn chính xác và dựa trên thông tin được cung cấp tại Điều 4, khoản 1 của tài liệu ngữ cảnh.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,simple,easy,Từ học kỳ 3 trở đi.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo các tài liệu quy định cho khóa K70, lộ trình tự đăng ký học phần ngoại ngữ cơ bản được quy định như sau:

*   **Đối với các chương trình áp dụng quy định chung:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản cùng với các học phần khác trong chương trình đào tạo từ **học kỳ 3** trở đi.
*   **Đối với chương trình Cơ điện tử (Hợp tác với ĐH Nagaoka, Nhật Bản):** Sinh viên tự đăng ký học song hành học phần Tiếng Nhật III vào **học kỳ 3**.
*   **Đối với chương trình Hệ thống nhúng thông minh và IoT:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ tại kỳ tương ứng (theo Bảng 7.2) nếu chưa học hoặc chưa được miễn.

Việc đăng ký học song hành từ học kỳ 3 trở đi (trừ trường hợp đã học hoặc được miễn) là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,87879cb9-d1f4-4f25-8374-48c610d9e60b,28a3ac1a-2355-480a-9dd4-a4f2170283c9,317f09ff-1255-4b5d-a903-61da23e2a92f,14a66cde-ac07-4fcd-b310-76acfd120627,740e7a27-9086-41fa-bfe0-d5a156af0e5f,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e",rag_v2,rag,7,12845.27,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và bám sát ngữ cảnh được cung cấp, phân loại rõ ràng các trường hợp khác nhau theo quy định.",correct,"Câu trả lời đã nêu rõ thông tin chính là từ học kỳ 3 trở đi, đồng thời cung cấp thêm các chi tiết cụ thể cho từng chương trình đào tạo mà không làm sai lệch thông tin cốt lõi.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Sinh viên có được hủy học phần NNCB đã đăng ký không?,simple,easy,"Không, trừ khi rút toàn bộ đăng ký học tập.",9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định của Đại học Bách khoa Hà Nội, sinh viên **không được phép hủy các học phần Ngoại ngữ cơ bản (NNCB)**.

Việc đăng ký học song hành các học phần NNCB (từ kỳ 3 trở đi) là điều kiện bắt buộc để sinh viên được đăng ký các học phần khác trong chương trình đào tạo.

Nếu bạn cần thêm thông tin chi tiết hoặc có trường hợp đặc biệt, vui lòng liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ và xác nhận chính thức.","ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,a92ed215-3a64-403f-8073-7c2130b4228d,9390fe56-1d81-4068-99a4-fd86e0fccbfc,7eb93900-883a-4e4f-9a10-4f4053e3d6e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,3fa5596c-4f7a-4f02-97d0-ed9c49dced0c,4411b054-65b0-47b2-ba27-763dc57155e2,3bdfc505-a39b-49ec-b252-230769593079",agent,complex,9,11617.0,True,good,grounded,complete,"Câu trả lời chính xác, dựa trên thông tin tại Điều 4, khoản 4 của tài liệu về lộ trình học tập các học phần NNCB, đồng thời có nêu rõ ngoại lệ được quy định trong văn bản.",correct,"Cả hai câu trả lời đều khẳng định sinh viên không được hủy học phần NNCB, câu trả lời được tạo ra cung cấp thêm thông tin giải thích chi tiết hơn về lý do và hướng dẫn liên hệ.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562
chunks_001_simple_007,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,simple,easy,Phải đánh giá đầy đủ 4 kỹ năng.,930e63ee-8533-412a-95ed-967bac30208c,"Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đánh giá đầy đủ 4 kỹ năng: nghe, nói, đọc, viết.","930e63ee-8533-412a-95ed-967bac30208c,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,60d576b6-e055-478d-9181-979c6d4ca7b3,92d8e047-8bb5-4660-93e7-681e3804d5ee,0fc121e1-e9b8-49b1-ae89-f4265ce3087f",rag_v2,rag,7,10222.35,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 5, khoản 2).",correct,"Câu trả lời đã nêu đúng yêu cầu về 4 kỹ năng và liệt kê cụ thể các kỹ năng đó, hoàn toàn phù hợp với nội dung của câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,simple,easy,Trong vòng 2 năm.,930e63ee-8533-412a-95ed-967bac30208c,"Theo các tài liệu được cung cấp, thời hạn của chứng chỉ tiếng Anh xét chuẩn đầu ra được quy định như sau:

*   **Đối với sinh viên khóa K68, K69:** Chứng chỉ tiếng Anh có giá trị công nhận trong vòng **2 năm** kể từ ngày cấp.
*   **Đối với các khóa khác (theo quy định chung):** Chứng chỉ tiếng Anh phải được cấp trong vòng **2 năm** tính đến thời điểm xét chuẩn ngoại ngữ đầu ra và còn hiệu lực tại thời điểm xét.
*   **Đối với chứng chỉ tiếng Anh nội bộ (khóa K62, K63, K64):** Kết quả thi có giá trị trong thời gian **2 năm** kể từ ngày thi. Chứng chỉ nội bộ (đạt TOEIC 500 trở lên) cũng có giá trị trong **2 năm** kể từ ngày cấp.","930e63ee-8533-412a-95ed-967bac30208c,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,b73dd4e6-4708-4783-9e17-b5fa5ba98fdb,fb559e62-7fd5-415c-860a-ca19d9c5a5fd",rag_v2,rag,5,8801.06,True,good,grounded,complete,"Câu trả lời đã tổng hợp đầy đủ và chính xác các quy định về thời hạn chứng chỉ tiếng Anh từ các nguồn tài liệu khác nhau trong ngữ cảnh, phân loại rõ ràng theo từng nhóm đối tượng sinh viên.",correct,"Câu trả lời được tạo ra đã bao hàm thông tin cốt lõi là thời hạn 2 năm và cung cấp thêm các chi tiết cụ thể, chính xác hơn cho từng đối tượng sinh viên.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_009,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,simple,easy,Được xếp từ học phần đầu tiên của khối NNCB.,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,"Chào bạn, về vấn đề phân loại trình độ ngoại ngữ đầu vào, theo quy định của Đại học Bách khoa Hà Nội:

Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ đầu vào sẽ phải **học toàn bộ các học phần ngoại ngữ** tương ứng với chương trình đào tạo của mình theo lộ trình quy định.

Nếu cần thêm thông tin chi tiết về lộ trình học tập cụ thể cho ngành của mình, bạn có thể liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ xác nhận chính thức.","63238a1f-b201-429a-ad20-002a67a82ff3,14da736c-a6df-404b-bbfc-83ee554e3c72,e49e1825-a5c4-4a21-924c-c9bb40f40eab,d59d8e0c-d956-4f0e-bd34-30f9475acfc7,2ddfbd79-283d-4ee0-b484-dec733c36868,f59645a8-a831-4db5-867c-0f63ca0121e5,b5e56233-0562-4f16-b606-807e4f5cf8e0,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,6de37c76-ea95-4b6d-a2ee-18a632f1391c",agent,complex,10,12594.94,True,good,grounded,complete,"Câu trả lời đã trích dẫn chính xác thông tin từ ngữ cảnh (Điều 2, khoản 4 của quy định) về việc sinh viên không đáp ứng điều kiện phân loại đầu vào sẽ phải học toàn bộ chương trình ngoại ngữ theo lộ trình.",partial,The generated answer provides a general explanation but fails to mention the specific requirement of starting from the first module of the 'NNCB' (Foreign Language Foundation) block as stated in the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_010,Các học phần NNCB có tính vào tín chỉ chính khóa không?,simple,easy,Không tính tín chỉ trong CTĐT chính khóa.,2180d883-8170-47b1-90dd-93486eb258d4,Các học phần ngoại ngữ cơ bản (NNCB) được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ** trong chương trình đào tạo chính khóa.,"2180d883-8170-47b1-90dd-93486eb258d4,f59645a8-a831-4db5-867c-0f63ca0121e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8",rag_v2,rag,3,12597.84,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 3, khoản 1 của ngữ cảnh cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin là các học phần NNCB không được tính vào tín chỉ của chương trình đào tạo chính khóa.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
