id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Quyết định số 1515/QĐ-ĐHBK-ĐT về tổ chức hoạt động dạy học trên nền tảng công nghệ kết nối và trực tuyến được ban hành vào ngày 29 tháng 6 năm 2021.,"d78b860f-2174-45c7-927e-4abb7c80cbd0,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,78cf807d-0e3e-4781-a9a1-ce3570f1faf1,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,38d83e84-a322-45da-872c-02b7e6f25eb8,c7231541-9cfd-40fe-b795-c457f23ea9cd,d1b6ca77-139d-44dd-b526-070cd79fbf36,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20day%20hoc%20tren%20nen%20tang%20CN%20ket%20noi%20-%20truc%20tuyen.pdf",rag_v2,rag,8,13898.08,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã cung cấp chính xác ngày ban hành theo yêu cầu, mặc dù có bổ sung thêm tên đầy đủ của quyết định.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_002,Quy định dạy-học trực tuyến tại Bách khoa Hà Nội được áp dụng cho những loại hình đào tạo nào?,simple,easy,Áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ.,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,Quy định về tổ chức và triển khai các hoạt động dạy-học trực tuyến tại Đại học Bách khoa Hà Nội được áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ.,"b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d260b4dc-f8de-4bb5-850d-226941c0b923,a8a28e34-df56-4cde-85f8-dabfa212c436,01639421-9da0-41f4-853c-1976160c2896,cf8c7863-fa17-4efc-ab07-d4c51a943d4c,5075916e-0bf3-4b35-bad6-a5032d1948c9,fcc28993-fe62-4ee0-a124-14e93d2b5ede",rag_v2,rag,7,9545.17,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 1, khoản 2 của văn bản quy định được cung cấp trong ngữ cảnh.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_003,Dạy-học trực tuyến theo thời gian thực tại Bách khoa Hà Nội ưu tiên sử dụng phần mềm nào?,simple,easy,Ưu tiên Microsoft Teams (MS Teams).,b59db2df-eead-4a9d-9150-b4400e361391,"Theo quy định về điều kiện thực hiện dạy-học trực tuyến theo thời gian thực tại Đại học Bách khoa Hà Nội, phần mềm được ưu tiên sử dụng là Microsoft Teams (MS Teams).","bff9c21a-e42e-4aba-a023-8fb73be20f52,d00d8b97-db4b-464a-823c-979081167e3e,b59db2df-eead-4a9d-9150-b4400e361391,a8ed9ddf-812d-4e3c-bcf9-c5bada7350fb,3255f500-0ecc-4420-80be-a191126bdbf4",rag_v2,rag,5,6680.42,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 3, khoản 1 về điều kiện thực hiện dạy-học trực tuyến).",correct,Câu trả lời đã nêu chính xác phần mềm được ưu tiên sử dụng là Microsoft Teams giống như đáp án tham chiếu.,1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_004,"Tại Bách khoa Hà Nội, dạy-học trực tuyến được áp dụng mấy hình thức và tên gọi của từng hình thức là gì?",simple,easy,"Ba hình thức: (a) Dạy-học trực tuyến theo thời gian thực; (b) Dạy-học hỗn hợp (B-Learning); (c) Dạy-học trực tuyến ngoài khung thời khóa biểu để bổ trợ, ôn tập kiến thức.","01639421-9da0-41f4-853c-1976160c2896,5075916e-0bf3-4b35-bad6-a5032d1948c9","Theo quy định tại Điều 2 của văn bản ban hành kèm theo Quyết định số 1515/QĐ-ĐHBK-ĐT, Trường Đại học Bách khoa Hà Nội áp dụng 03 hình thức dạy-học trực tuyến, bao gồm:

*   **Dạy-học trực tuyến theo thời gian thực:** Được tổ chức đúng khung thời gian trong thời khóa biểu học tập, sử dụng phần mềm giảng dạy trực tuyến và nội dung theo đề cương học phần.
*   **Dạy-học hỗn hợp (B-Learning):** Kết hợp giữa dạy-học trực tiếp trên lớp theo thời khóa biểu và truyền phát bài giảng điện tử thông qua hệ thống quản trị học tập (LMS).
*   **Dạy-học trực tuyến ngoài khung thời gian:** Được tổ chức ngoài thời khóa biểu nhằm mục đích bổ trợ, tổng kết, ôn tập kiến thức cho các học phần hoặc đáp ứng năng lực ngoại ngữ theo yêu cầu.","01639421-9da0-41f4-853c-1976160c2896,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,3,11313.66,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã nêu đầy đủ 3 hình thức dạy-học trực tuyến tại Bách khoa Hà Nội với nội dung tương đương với đáp án tham khảo.,1.0,0.3333,0.5,1.0,0.6131,1.0,0.2,0.5,1.0,0.6131,1.0,0.1429,0.5,1.0,0.6131
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,"Theo thông tin từ tài liệu, phương thức dạy và học trực tuyến không được áp dụng với những lớp/phần kiến thức đặc thù không thể chuyển sang dạy online, bao gồm:

*   Lớp thí nghiệm.
*   Lớp thực hành.
*   Lớp thực tập.
*   Phần luyện tập của Giáo dục thể chất và Giáo dục Quốc phòng.

Bạn có thể [xem chi tiết](https://www.qdnd.vn/giao-duc-khoa-hoc/cac-van-de/truong-dai-hoc-bach-khoa-ha-noi-trien-khai-phuong-thuc-day-va-hoc-truc-tuyen-651699) về việc triển khai phương thức dạy và học trực tuyến tại đây.","8ccd3744-993e-4140-b91b-691568856c14,c00ae769-a899-4f8a-b886-36c24f55841a,7d76364a-47cd-44fd-b0f3-74399861e752,0c752539-cb5d-45ab-a4f0-4930315df9e6,a578c467-b1fc-4a6d-be66-7b413e256d1e,f5befb75-ff28-4700-b89f-cd85a7ca1240,3904419e-d7e8-468e-b683-986c4b6e96fb,/www.qdnd.vn/giao-duc-khoa-hoc/cac-van-de/truong-dai-hoc-bach-khoa-ha-noi-trien-khai-phuong-thuc-day-va-hoc-truc-tuyen-651699,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20day%20hoc%20tren%20nen%20tang%20CN%20ket%20noi%20-%20truc%20tuyen.pdf,/ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QCDT-2023-upload.pdf",rag_v2,rag,10,10640.99,False,good,hallucinated,incomplete,Thông tin về việc các học phần nào không được áp dụng dạy học trực tuyến không có trong ngữ cảnh được cung cấp. Trợ lý đã tự ý đưa ra thông tin từ nguồn bên ngoài (link báo chí) không có trong dữ liệu đầu vào.,correct,"The generated answer correctly identifies the core categories (experiments, practice, internships) mentioned in the reference answer and provides additional relevant examples consistent with the university's policy.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_006,Tổng số tín chỉ dạy-học trên LMS của các học phần B-Learning không được vượt quá bao nhiêu phần trăm tổng số tín chỉ của chương trình đào tạo?,simple,easy,Không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.,83d42fb2-ce2f-4afd-aae9-c458efd880a8,"Theo quy định tại Điều 2, khoản 5, tổng số tín chỉ được dạy-học trên LMS của các học phần B-Learning không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.","83d42fb2-ce2f-4afd-aae9-c458efd880a8,1fec193d-7ca1-4258-b67b-7b721bc94853,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,3,14695.41,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 2, khoản 5 của ngữ cảnh.",correct,Câu trả lời đã nêu chính xác con số 30% theo yêu cầu của câu hỏi và cung cấp thêm thông tin tham chiếu hợp lệ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_007,Thời lượng kiến thức truyền phát trên LMS trong B-Learning tối đa bằng bao nhiêu phần trăm thời lượng học phần?,simple,easy,Tối đa 70% thời lượng của học phần.,29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo quy định, thời lượng kiến thức được truyền phát trên LMS tối đa là 70% thời lượng của học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,83d42fb2-ce2f-4afd-aae9-c458efd880a8,10373bab-6651-47b6-881d-22da9dadfbd8,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,4,13176.5,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng thông tin từ Điều 4, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin về tỷ lệ phần trăm tối đa của thời lượng kiến thức trên LMS so với học phần theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_008,Điểm quá trình có trọng số tối thiểu là bao nhiêu khi tính điểm học phần B-Learning tại Bách khoa?,simple,easy,"Điểm quá trình có trọng số tối thiểu là 0,3 khi tính điểm học phần.",29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo quy định về điều kiện thực hiện B-Learning, điểm quá trình đối với học phần B-Learning phải có trọng số tối thiểu là 0,3 khi tính điểm học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,2b0fbec5-5367-4be1-bb76-82c39b262de1,05386dd4-5f59-401e-8233-ce48580ea2ec",rag_v2,rag,3,9670.81,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 4, khoản 2 về điều kiện thực hiện B-Learning.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ câu trả lời tham chiếu và không có thông tin sai lệch.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_009,Đối với lớp học phần B-Learning có quy mô từ bao nhiêu người học trở lên phải bố trí trợ lý học tập?,simple,easy,Lớp học phần có quy mô từ 40 người học trở lên phải có tối thiểu một trợ lý học tập.,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Đối với lớp học phần B-Learning có quy mô từ 40 người học trở lên, đơn vị chuyên môn phải có kế hoạch tuyển chọn và bố trí tối thiểu một (01) trợ lý học tập.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,83d42fb2-ce2f-4afd-aae9-c458efd880a8,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,3,13427.7,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 4, khoản 5).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính về quy mô lớp học (từ 40 người trở lên) và yêu cầu bố trí tối thiểu một trợ lý học tập.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_010,Trợ lý học tập trong B-Learning có thể là đối tượng nào?,simple,easy,"Sinh viên năm cuối, học viên cao học hoặc nghiên cứu sinh.",5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo quy định về điều kiện thực hiện B-Learning, trợ lý học tập có thể là một trong các đối tượng sau:

*   Sinh viên năm cuối.
*   Học viên cao học (HVCH).
*   Nghiên cứu sinh (NCS).","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,cd00839e-4c70-4f0f-9a98-c9f07f3aa46d,d213be39-7af8-4d5a-9d27-abf2793e3ff3",rag_v2,rag,3,6860.84,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 4, mục 5 của ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
