id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
kehoach_list_all_chunks_simple_001,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 30/06/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ hè năm học 2025-2026 (20253) là từ ngày 05/05/2026 đến ngày 30/06/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,8497.14,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_002,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 05/05/2026 đến ngày 15/08/2026.,1c439f64-e234-44b2-9d7c-b416ba23fd81,Thời hạn nhận hồ sơ tiếp nhận trở lại học từ kỳ 1 năm học 2026-2027 (20261) là từ ngày 05/05/2026 đến ngày 15/08/2026.,"1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,33278482-6061-46c5-9591-80f6a3276efc,a227072b-b06a-4354-9e0e-afa8d84de998,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1",rag_v2,rag,7,6420.42,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra hoàn toàn trùng khớp với thông tin trong câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_003,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 và 20261 nộp đơn gặp ai tại Ban Đào tạo?,simple,easy,Gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,93f509f0-fab2-47b8-b53a-ecb613d7f719,Sinh viên làm thủ tục tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027 cần nộp đơn và gặp chuyên viên Nguyễn Kim Huệ tại Ban Đào tạo (Tầng 1 nhà C1).,"93f509f0-fab2-47b8-b53a-ecb613d7f719,1c439f64-e234-44b2-9d7c-b416ba23fd81,35d08556-af5c-4513-81e8-ba3229a33997,fa598ac1-3957-4a80-ad28-18f8f338e7b3,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,ef73c8d4-46f2-4f13-bf72-ef8a1c1a1f38",rag_v2,rag,6,7267.26,False,good,partially_grounded,incomplete,"Câu trả lời chưa chính xác hoàn toàn về quy trình. Theo ngữ cảnh từ mục 'Hướng dẫn thủ tục, biểu mẫu, thắc mắc về học tập, học phí', sinh viên cần chụp ảnh đơn và gửi qua email cho chuyên viên Nguyễn Kim Huệ để lưu thời điểm nộp đơn, không tiếp nhận trực tiếp. Thông tin 'nộp đơn trực tiếp tại Tầng 1 nhà C1' trong văn bản kế hoạch có thể gây nhầm lẫn với quy trình chính thức được quy định trong Sổ tay sinh viên.",correct,"The generated answer correctly identifies the person (Nguyễn Kim Huệ) and the location (Ban Đào tạo, Tầng 1 nhà C1) as specified in the reference answer.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_004,Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 có cần đăng ký học phần không?,simple,easy,"Không, sinh viên chỉ đăng ký lớp học trong đợt đăng ký điều chỉnh online trên hệ thống, không cần đăng ký học phần.",1c439f64-e234-44b2-9d7c-b416ba23fd81,"Sinh viên tiếp nhận trở lại học từ kỳ hè 20253 **không cần đăng ký học phần**.

Theo thông báo về việc tiếp nhận trở lại học từ kỳ hè 20253 và kỳ 1 năm học 2026-2027, sinh viên thực hiện đăng ký lớp học trong đợt đăng ký điều chỉnh trực tuyến trên hệ thống đăng ký lớp.","1c439f64-e234-44b2-9d7c-b416ba23fd81,93f509f0-fab2-47b8-b53a-ecb613d7f719,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,a227072b-b06a-4354-9e0e-afa8d84de998,33278482-6061-46c5-9591-80f6a3276efc,ee4cb4f0-dd8d-4992-ab6c-2f862607f3a4,c6ade1c2-7f76-4d91-b418-8b53a64f55a8",rag_v2,rag,7,7384.9,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp về việc tiếp nhận sinh viên trở lại học từ kỳ hè 20253.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ đáp án tham khảo, khẳng định không cần đăng ký học phần và nêu rõ việc đăng ký lớp học trong đợt điều chỉnh.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_005,Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày nào?,simple,easy,Cập nhật ngày 28/04/2026.,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,"Lịch thi giữa kỳ 20252-AB và cuối kỳ 20252A được cập nhật vào ngày **28/04/2026**.

Bạn có thể xem chi tiết tại thông báo của Ban Đào tạo trên Cổng thông tin đào tạo. Nếu cần xác nhận chính thức hoặc có thắc mắc, bạn vui lòng liên hệ trực tiếp với Phòng Đào tạo.","fafcfe1a-6605-4bd8-9f42-862ce2185f6c,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,97da2544-86a1-436c-8e2f-d464dba15663,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,3c664c5d-8000-4afb-8bfd-456c3bef2e5e,dffb1d14-3ce4-46a8-bac7-a8ae45e2bda5,fafcfe1a-6605-4bd8-9f42-862ce2185f6c,97da2544-86a1-436c-8e2f-d464dba15663,3c664c5d-8000-4afb-8bfd-456c3bef2e5e,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6",agent,complex,10,11749.77,True,good,grounded,complete,"Câu trả lời chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp về lịch thi học kỳ 20252.",correct,Câu trả lời đã cung cấp chính xác thông tin về ngày cập nhật lịch thi như trong đáp án tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.9871
kehoach_list_all_chunks_simple_006,Mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu (KSCS) học kỳ 2025.2 là từ ngày nào đến ngày nào?,simple,easy,Từ ngày 27/04/2026 đến ngày 18/05/2026.,31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,"Theo Thông báo đăng ký học tích hợp chương trình Kỹ sư chuyên sâu học kỳ 2025.2, mốc thời gian đăng ký form tích hợp KSCS là từ ngày 27/04/2026 đến ngày 18/05/2026. Bạn có thể xem chi tiết [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayKeHoach?kehoach=28236).","31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,68f47a69-4fab-4911-bed5-882f06e12595,f82fc24b-1cc0-4f65-966b-6c65f7dbbf71,d4407f7a-078f-4476-bc9c-1e2efbdd1491,e2da6031-35bb-4717-ad0b-6b9743a87649,d6dba542-0a9d-4633-b043-66da6a04f9f7,16304296-b629-4e77-a006-fcfa8c5ff984",rag_v2,rag,7,8050.45,True,good,grounded,complete,Câu trả lời cung cấp chính xác mốc thời gian đăng ký form tích hợp chương trình Kỹ sư chuyên sâu học kỳ 2025.2 dựa trên ngữ cảnh được cung cấp.,correct,Câu trả lời đã cung cấp chính xác mốc thời gian đăng ký theo yêu cầu của câu hỏi và khớp hoàn toàn với đáp án tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
kehoach_list_all_chunks_simple_007,Điều kiện tín chỉ tích lũy tối thiểu để sinh viên được đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu là bao nhiêu?,simple,easy,Tổng số tín chỉ tích lũy cộng với tín chỉ đang học tại kỳ hiện tại của các học phần bậc cử nhân phải đạt từ 115 TC trở lên.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù, sinh viên chưa tốt nghiệp bậc cử nhân cần tích lũy từ **118 tín chỉ trở lên** của chương trình đào tạo cử nhân để được phép học tích lũy trước các học phần bậc kỹ sư.

Một số lưu ý kèm theo:
- Sinh viên được học tích lũy trước tối đa 15 tín chỉ.
- Các học phần tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,29fa02a8-f103-451e-aba2-ccdfd9d6c501,7b653b5b-d25b-41e4-8849-c24b2fcdc63e,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,92d8e047-8bb5-4660-93e7-681e3804d5ee",rag_v2,rag,7,14679.97,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",incorrect,The generated answer provides an incorrect threshold (118 credits) compared to the reference answer (115 credits) and includes additional information not requested.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_008,Sinh viên đăng ký học tích lũy trước các học phần bậc kỹ sư chuyên sâu được tối đa bao nhiêu tín chỉ?,simple,easy,"Tối đa 15 tín chỉ học phần bậc kỹ sư chuyên sâu (trừ các học phần Đồ án chuyên ngành KS, Thực tập KS và Đồ án tốt nghiệp KS).",68f47a69-4fab-4911-bed5-882f06e12595,"Theo các tài liệu hướng dẫn về chương trình đào tạo kỹ sư chuyên sâu đặc thù và Quy chế đào tạo, sinh viên được đăng ký học tích lũy trước tối đa **15 tín chỉ** các học phần thuộc chương trình đào tạo kỹ sư trong quá trình học tập ở bậc cử nhân.

Lưu ý:
- Trường hợp sinh viên tích lũy trước nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ.
- Các học phần đã học tích lũy trước sẽ không được tính vào chương trình đào tạo cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đã đăng ký học tiếp chương trình kỹ sư.","1fec193d-7ca1-4258-b67b-7b721bc94853,da4da67a-5a72-4574-ba57-21e7c93be4c8,720ab953-7802-40d2-bbd5-c485049281a6,eef54984-8702-4bed-80cc-c80308ef2150,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb",rag_v2,rag,5,20194.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (cả phần hướng dẫn chương trình kỹ sư chuyên sâu đặc thù và Quy chế đào tạo).",correct,"Câu trả lời đã nêu đúng hạn mức 15 tín chỉ và bổ sung thêm các thông tin giải thích hợp lý, không làm sai lệch nội dung chính.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_009,"Sau khi đăng ký học tích hợp KSCS thành công, sinh viên được cấp gì?",simple,easy,Sinh viên được cấp Mã số học viên kỹ sư (MSHVKS) và email học viên kỹ sư.,68f47a69-4fab-4911-bed5-882f06e12595,"Theo Hướng dẫn học tập chương trình đào tạo kỹ sư chuyên sâu đặc thù (180 tín chỉ), sau khi sinh viên được công nhận tốt nghiệp cử nhân và đăng ký học tiếp chương trình đào tạo kỹ sư thành công, sinh viên sẽ được cấp mã số người học mới dựa trên mã số sinh viên bậc cử nhân.","7db7a349-1fd5-4227-87fc-0d9cd4db1bd2,720ab953-7802-40d2-bbd5-c485049281a6,8038a171-9e3d-4b1f-8cfd-28fc5e97e6bf",rag_v2,rag,3,9136.55,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",partial,Câu trả lời của sinh viên không đề cập đến việc được cấp email học viên kỹ sư và mô tả mã số học viên khác với thông tin trong đáp án tham khảo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kehoach_list_all_chunks_simple_010,Học phí các học phần bậc Kỹ sư chuyên sâu được tính như thế nào so với bậc cử nhân?,simple,easy,"Học phí các học phần bậc KSCS được tính theo học phí bậc cử nhân của chương trình đào tạo chuẩn tương ứng, mức học phí trong và ngoài CTĐT là như nhau.",d4df1842-6745-454b-a0b3-e3437844092a,"Theo các tài liệu quy định về mức học phí, học phí các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu được tính như sau:

* **Mức thu:** Mức học phí cho một tín chỉ học phí (TCHP) của các học phần thuộc khung chương trình đào tạo Kỹ sư chuyên sâu được tính bằng với mức học phí cho một TCHP của chương trình đào tạo đại học chính quy chuẩn tương ứng (tương đương học phí bậc đại học/cử nhân).
* **Các trường hợp cụ thể:**
 * Đối với chương trình Kỹ sư chuyên sâu Kỹ thuật Ô tô số: mức học phí bằng mức học phí chương trình đào tạo cử nhân Kỹ thuật Ô tô.
 * Đối với chương trình Kỹ sư chuyên sâu Thiết kế vi mạch: mức học phí bằng mức học phí chương trình đào tạo Kỹ thuật Điện tử - Viễn thông.
 * Đối với chương trình Kỹ sư chuyên sâu Trí tuệ nhân tạo tạo sinh (GenAI): mức học phí bằng mức học phí chương trình đào tạo Khoa học dữ liệu và Trí tuệ nhân tạo (IT-E10).
* **Lưu ý về chính sách:** Việc hỗ trợ học phí chênh lệch và chế độ miễn giảm học phí theo quy định của Nhà nước không áp dụng với các học phần thuộc chương trình đào tạo Kỹ sư chuyên sâu.","8fe4b849-07db-5b96-9173-26b38e8bd1d1,37b43412-4011-58ad-995c-7e29cea4469f,a6df4b7f-64b5-4c88-b3a2-61af6a4378fb,fe800938-7627-4648-873e-e04252f33280,1fec193d-7ca1-4258-b67b-7b721bc94853,00b56977-9fdc-4772-80e1-05e1da7ea41f,2e32f70a-a561-415f-8e53-7360e45e2423",rag_v2,rag,7,17154.99,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi là học phí bậc Kỹ sư chuyên sâu bằng với bậc cử nhân tương ứng, đồng thời cung cấp thêm các chi tiết cụ thể và lưu ý bổ sung mà không làm sai lệch nội dung chính.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
