id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7,dataset
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong các tài liệu hiện có.,"ff4fa62d-7f66-4c03-be95-0500ac5d489f,d88cceae-b46c-433c-8440-d2a9319fd273,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,a92ed215-3a64-403f-8073-7c2130b4228d,fa62e3fc-27eb-4963-a0fb-24cc0e71bf19,1c439f64-e234-44b2-9d7c-b416ba23fd81,e7eaa2e8-22ae-4e03-b9af-c40a5d5cc24c",rag_v2,rag,7,15869.05,True,good,grounded,complete,Các tài liệu được cung cấp không chứa thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản. Trợ lý đã trả lời đúng dựa trên ngữ cảnh.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn nộp đơn trong khi câu trả lời tham chiếu đã nêu rõ thời hạn là muộn nhất 2 tuần trước khi bắt đầu học kỳ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06_Quy_dinh_ngoai_ngu_chunks
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Tôi không tìm thấy thông tin về Quyết định 1515/QĐ-ĐHBK-ĐT trong tài liệu hiện có.,"4867c8f4-9a82-4d51-9341-47c7bd4e4c77,c7231541-9cfd-40fe-b795-c457f23ea9cd,d78b860f-2174-45c7-927e-4abb7c80cbd0,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,78cf807d-0e3e-4781-a9a1-ce3570f1faf1,267aadce-7f4b-4aa2-b84a-e6b6c9fcdc0f,047b5a56-39e3-45fd-a643-ebe5b8f974b8",rag_v2,rag,7,13240.53,True,good,grounded,complete,Thông tin về Quyết định 1515/QĐ-ĐHBK-ĐT không có trong ngữ cảnh được cung cấp.,incorrect,"The generated answer fails to provide the information requested, while the reference answer provides the specific date.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blending_rag_dataset
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,"Tôi không tìm thấy thông tin này trong tài liệu hiện có. Các tài liệu chỉ đề cập đến việc sử dụng Microsoft Teams cho quá trình học tập trực tuyến trong giai đoạn giãn cách xã hội do ảnh hưởng của dịch Covid, chứ không quy định về các loại học phần không được áp dụng hình thức này.","0c752539-cb5d-45ab-a4f0-4930315df9e6,55fbb45d-5a41-4b0b-868f-76239ec21945,d00d8b97-db4b-464a-823c-979081167e3e,8ccd3744-993e-4140-b91b-691568856c14,57ead25a-5a79-44a8-9411-26955a1050c2,bff9c21a-e42e-4aba-a023-8fb73be20f52,c00ae769-a899-4f8a-b886-36c24f55841a",rag_v2,rag,7,22746.42,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về các loại học phần không được áp dụng dạy-học trực tuyến. Trợ lý đã trả lời đúng là không tìm thấy thông tin và giải thích rõ những gì có trong ngữ cảnh.,incorrect,"The generated answer fails to provide the information requested and claims it cannot be found, whereas the reference answer provides a specific policy regarding the exclusion of practical/lab-based courses from online learning.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blending_rag_dataset
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_014,Học liệu số từ nguồn mở chỉ được dùng như thế nào trong B-Learning tại Bách khoa?,simple,easy,Chỉ được sử dụng như các học liệu bổ trợ trong giảng dạy học phần và phải tuân thủ các quy định pháp luật về bản quyền và sở hữu trí tuệ.,91a139a1-e9b5-4602-bed7-6f9ceff9dcf3,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"f8f94971-9a39-43c1-9352-6afde07542dd,8ccd3744-993e-4140-b91b-691568856c14,4a176a50-4d5e-4ca6-81ae-d28ac41459c7,c00ae769-a899-4f8a-b886-36c24f55841a,a057b784-1273-4f4f-8867-f5f0bf254539,3904419e-d7e8-468e-b683-986c4b6e96fb,c50188f4-d2dc-4c0b-a10d-7ea26222c137",rag_v2,rag,7,199584.18,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ bao gồm mô tả các học phần và cấu trúc chương trình đào tạo, không chứa thông tin về quy định hay cách thức sử dụng học liệu số nguồn mở trong mô hình B-Learning tại Bách khoa.",incorrect,"The generated answer fails to provide the required information, whereas the reference answer clearly states the usage policy for open-source digital learning materials in B-Learning at Bach Khoa.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blending_rag_dataset
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_021,Giảng viên cần gửi bài giảng B-Learning hoàn chỉnh cho Ban điều phối chậm nhất là bao lâu trước học kỳ mới?,simple,easy,Chậm nhất là 02 tháng trước học kỳ mới.,e6862ba0-3ca6-4ec6-a91c-9f1e0b38a5b5,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"33278482-6061-46c5-9591-80f6a3276efc,93f509f0-fab2-47b8-b53a-ecb613d7f719,9b48a0f9-0787-475f-868f-26c1522fc401,ac1040e2-c51c-46e7-aa4d-6f4d1b3b9686,4a927d20-6143-494f-97f3-82122971dbe7,e2da6031-35bb-4717-ad0b-6b9743a87649,ff4fa62d-7f66-4c03-be95-0500ac5d489f",rag_v2,rag,7,47077.88,True,good,grounded,complete,Thông tin về thời hạn giảng viên gửi bài giảng B-Learning không có trong các văn bản được cung cấp.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã đưa ra thời hạn cụ thể.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blending_rag_dataset
1__QD_Hoc_bong_KKHT_2023_simple_009,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại B (giỏi)?,simple,easy,"GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Tôi không tìm thấy thông tin về mức GPA và điểm rèn luyện tối thiểu cụ thể để được xét học bổng khuyến khích học tập (KKHT) loại B trong tài liệu hiện có.

Tài liệu chỉ cung cấp thông tin về các mức học bổng KKHT như sau:
*   **Học bổng loại khá (loại C):** Bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).
*   **Học bổng loại giỏi (loại B):** Bằng 1,2 lần mức học bổng loại khá.
*   **Học bổng loại xuất sắc (loại A):** Bằng 1,5 lần mức học bổng loại khá.

Việc xét cấp học bổng được thực hiện bởi Hội đồng xét cấp học bổng ĐHBK Hà Nội theo từng học kỳ chính, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.","075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3,eb93021c-c166-41d3-8ce2-7bab03c2cbef",rag_v2,rag,3,11423.33,True,good,grounded,complete,Ngữ cảnh cung cấp không chứa thông tin về ngưỡng GPA và điểm rèn luyện cụ thể để đạt học bổng KKHT loại B. Trợ lý đã trả lời đúng dựa trên ngữ cảnh và xác nhận thông tin không có sẵn.,incorrect,"The generated answer fails to provide the specific GPA and training point requirements requested, stating it cannot find the information, whereas the reference answer provides the correct criteria.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hbkkht_rag_dataset
1__QD_Hoc_bong_KKHT_2023_simple_010,Sinh viên Đại học Bách khoa Hà Nội cần đạt GPA và điểm rèn luyện tối thiểu bao nhiêu để được xét học bổng KKHT loại A (xuất sắc)?,simple,easy,"GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.",2d9397a2-c900-4852-a039-a9eca2695ac2,"Theo quy định về xét cấp học bổng khuyến khích học tập (KKHT) tại Đại học Bách khoa Hà Nội, tài liệu hiện có không quy định cụ thể con số tối thiểu về GPA và điểm rèn luyện (ĐRL) để đạt học bổng loại A (xuất sắc).

Các quy định hiện có về học bổng KKHT bao gồm:
*   **Căn cứ xét:** Dựa trên thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.
*   **Mức học bổng loại A (xuất sắc):** Bằng 1,5 lần mức học bổng loại khá (loại C).
*   **Mức học bổng loại khá (loại C):** Bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).

Tôi không tìm thấy thông tin cụ thể về ngưỡng điểm GPA và ĐRL tối thiểu để được xét học bổng trong tài liệu này.","075114cd-700b-422e-ae89-9f27c672dcd3,50b1351d-9de8-4399-9fb9-f45a51bd63f3,e32c1875-5a14-4574-8635-081b9bfc8b75",rag_v2,rag,3,11097.69,True,good,grounded,complete,Ngữ cảnh cung cấp không chứa thông tin về ngưỡng điểm cụ thể (GPA và ĐRL) để đạt học bổng loại A. Trợ lý đã trả lời đúng dựa trên ngữ cảnh và xác nhận thông tin không có sẵn.,incorrect,"The generated answer claims that there is no specific information regarding the GPA and training score requirements, whereas the reference answer provides the correct specific thresholds.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hbkkht_rag_dataset
kehoach_list_all_chunks_simple_016,Sinh viên đăng ký học tích hợp KSCS trên hệ thống nào và chọn mục gì?,simple,easy,Sinh viên đăng nhập vào hệ thống qldt.hust.edu.vn → chọn 'Học tích hợp' → chọn 'Kỹ sư chuyên sâu'.,16304296-b629-4e77-a006-fcfa8c5ff984,"Tôi không tìm thấy thông tin về việc sinh viên cần đăng ký học tích hợp chương trình kỹ sư chuyên sâu trên hệ thống cụ thể nào hoặc chọn mục gì trong tài liệu hiện có.

Tài liệu chỉ cung cấp thông tin về mốc thời gian đăng ký form tích hợp từ ngày 27/04/2026 đến 18/05/2026. Bạn có thể [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayKeHoach?kehoach=28236) để biết thêm về kế hoạch.","31da81f9-f4c7-4885-8b1e-bdd90d3b06d8,d4df1842-6745-454b-a0b3-e3437844092a,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2",rag_v2,rag,3,11730.5,True,good,grounded,complete,Ngữ cảnh cung cấp thông tin về thời gian đăng ký nhưng không đề cập đến tên hệ thống hay mục cần chọn để đăng ký học tích hợp KSCS. Trợ lý đã trả lời đúng là không tìm thấy thông tin này trong ngữ cảnh.,incorrect,"Câu trả lời được tạo không cung cấp thông tin về hệ thống và mục cần chọn như yêu cầu, trong khi thông tin này đã có trong câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kehoach_rag_dataset
kehoach_list_all_chunks_simple_028,"Sinh viên có sai sót về thông tin họ tên, ngày sinh trên văn bằng tốt nghiệp liên hệ ai để sửa?",simple,easy,"Liên hệ chuyên viên Lê Minh Thuyết, email: thuyet.leminh@hust.edu.vn",2cd329b9-a791-4429-8290-3865105bb0c7,"Tôi không tìm thấy thông tin cụ thể về quy trình sửa sai sót thông tin trên văn bằng tốt nghiệp trong tài liệu hiện có.

Tài liệu chỉ cung cấp thông tin liên hệ cho các vấn đề sau:
*   Nếu bạn có thắc mắc về việc cấp giấy tờ hoặc cần hỗ trợ về hồ sơ cá nhân, bạn có thể liên hệ **Ban Công tác sinh viên** (phòng 103-104 C1).
*   Bạn có thể xem thêm các hướng dẫn về thủ tục hành chính [tại đây](https://ctsv.hust.edu.vn/#/viet-giay/1).","8b83bd6e-80b2-4d8c-af5f-018c9b6479f7,e7fcd840-3efc-4315-a430-7d73fc67d481,853be5b5-9f71-4395-bf55-44235d560c66,d7909c70-7a28-445e-9a93-af792265ed0e,cad3eabd-04b3-4ee0-87e3-4c21da70b7b8,a30e64d8-a90c-4b8c-9d26-5ecb1b5fb504,022874a7-f20e-5d9e-a010-58f99ff6017d",rag_v2,rag,7,23036.85,True,good,grounded,complete,"Ngữ cảnh được cung cấp chỉ đề cập đến việc cập nhật thông tin hồ sơ sinh viên khi đang học, không có thông tin cụ thể về việc sửa sai sót trên văn bằng đã cấp. Trợ lý đã trả lời trung thực dựa trên ngữ cảnh và hướng dẫn người dùng liên hệ đơn vị có thẩm quyền.",incorrect,The generated answer fails to provide the specific contact information required by the reference answer and instead states that it cannot find the information.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kehoach_rag_dataset
kehoach_list_all_chunks_multi_hop_048,Sinh viên muốn đăng ký học tích hợp Kỹ sư chuyên sâu 2025.2 cần có điều kiện gì và đăng ký trên hệ thống nào?,multi_hop,medium,"Điều kiện: Tổng tín chỉ tích lũy từ 115 TC trở lên và đã/đang làm ĐATN cử nhân. Đăng ký trên hệ thống qldt.hust.edu.vn, mục 'Học tích hợp' → 'Kỹ sư chuyên sâu'.","537104a4-ac96-4f5d-b661-57b76d224f9f,16304296-b629-4e77-a006-fcfa8c5ff984","Theo hướng dẫn học tập chương trình đào tạo Kỹ sư chuyên sâu đặc thù, điều kiện và quy trình đăng ký như sau:

**Điều kiện học tích lũy trước (khi chưa tốt nghiệp cử nhân):**
*   Sinh viên phải tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân.
*   Được phép học tích lũy trước tối đa 15 tín chỉ của chương trình Kỹ sư. Lưu ý: Các học phần này chưa được tính vào chương trình đào tạo cho đến khi sinh viên được công nhận tốt nghiệp cử nhân và đã đăng ký học tiếp chương trình Kỹ sư.

**Điều kiện khi tốt nghiệp cử nhân:**
*   Sinh viên cần hoàn thành học phần Thực tập kỹ thuật (2 tín chỉ) và Đề án tốt nghiệp cử nhân (6 tín chỉ).
*   Khi đủ điều kiện tốt nghiệp cử nhân, sinh viên cần thực hiện đăng ký tốt nghiệp và đồng thời đăng ký học chuyển tiếp lên chương trình Kỹ sư.
*   Sinh viên đã tốt nghiệp cử nhân nhưng chưa đăng ký học chuyển tiếp sẽ không được phép đăng ký học tập ở kỳ kế tiếp.

**Về hệ thống đăng ký:**
Tôi không tìm thấy thông tin về tên cụ thể của hệ thống cần sử dụng để đăng ký trong tài liệu hiện có.","1fec193d-7ca1-4258-b67b-7b721bc94853,720ab953-7802-40d2-bbd5-c485049281a6,40708bf3-8707-4e3e-8f4f-22adc9e5a154,7db7a349-1fd5-4227-87fc-0d9cd4db1bd2",rag_v2,rag,4,9244.68,True,good,grounded,complete,"Câu trả lời đã cung cấp đầy đủ các điều kiện dựa trên ngữ cảnh, đồng thời xác nhận đúng là ngữ cảnh không đề cập đến tên hệ thống đăng ký cụ thể.",incorrect,"The generated answer provides incorrect conditions (118 credits instead of 115), fails to identify the correct registration system (qldt.hust.edu.vn), and includes irrelevant information while missing the specific instructions for the 2025.2 integration registration.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kehoach_rag_dataset
