id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Sinh viên được xét miễn học phần ngoại ngữ cơ bản khi nào?,simple,easy,Nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy định sẽ được xét miễn các học phần NNCB tương ứng.,2180d883-8170-47b1-90dd-93486eb258d4,"Sinh viên được xét miễn học phần ngoại ngữ cơ bản (NNCB) khi đáp ứng các điều kiện sau:

*   **Đạt chứng chỉ ngoại ngữ:** Sinh viên đạt được chứng chỉ ngoại ngữ theo quy định tương ứng với trình độ đạt được trong quá trình học tập.
*   **Chứng chỉ còn hạn:** Chứng chỉ ngoại ngữ phải còn hạn theo quy định tính tới thời điểm nộp đơn xét miễn.
*   **Thẩm định và cập nhật:** Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn.
*   **Thời hạn nộp đơn:** Đơn đề nghị xét miễn phải được nộp muộn nhất là 2 tuần trước khi bắt đầu học kỳ theo Khung kế hoạch năm học.

Kết quả miễn học sẽ được ghi bằng ký hiệu ""R"" trong dữ liệu học tập và có giá trị toàn khóa kể từ ngày nhập điểm R.","2180d883-8170-47b1-90dd-93486eb258d4,57f25b7e-9744-47c3-a69a-060d300ab4ce,317f09ff-1255-4b5d-a903-61da23e2a92f,f59645a8-a831-4db5-867c-0f63ca0121e5,87879cb9-d1f4-4f25-8374-48c610d9e60b,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e,be891215-b92e-4f67-af3b-e0d10a53cb6b",rag_v2,rag,7,21224.96,True,good,grounded,complete,Câu trả lời đã tổng hợp đầy đủ các điều kiện và thời hạn để xét miễn học phần ngoại ngữ cơ bản dựa trên ngữ cảnh được cung cấp.,correct,"Câu trả lời được tạo ra bao hàm đầy đủ ý chính của câu trả lời tham chiếu và cung cấp thêm các thông tin chi tiết, chính xác về quy trình xét miễn.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,Kết quả miễn học ngoại ngữ cơ bản được ghi nhận như thế nào?,simple,easy,"Kết quả miễn học được ghi bằng ký hiệu ""R"" và có giá trị toàn khóa.",2180d883-8170-47b1-90dd-93486eb258d4,"Theo quy định, kết quả miễn học các học phần ngoại ngữ cơ bản (NNCB) được ghi nhận như sau:

*   Kết quả miễn học được ghi bằng ký hiệu ""R"" trong dữ liệu học tập.
*   Kết quả này có giá trị toàn khóa kể từ ngày nhập điểm R.","2180d883-8170-47b1-90dd-93486eb258d4,317f09ff-1255-4b5d-a903-61da23e2a92f,31da4b25-270a-49f6-a2a2-a610f558e7c0",rag_v2,rag,3,8770.78,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 3, khoản 2 của tài liệu K70).",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính từ đáp án tham khảo và diễn đạt rõ ràng hơn.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,Thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản là khi nào?,simple,easy,Muộn nhất là 2 tuần trước khi bắt đầu học kỳ.,2180d883-8170-47b1-90dd-93486eb258d4,Tôi không tìm thấy thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản trong tài liệu hiện có.,"ff4fa62d-7f66-4c03-be95-0500ac5d489f,1324555a-4936-48b6-a137-75b1c0dec9fc,1c439f64-e234-44b2-9d7c-b416ba23fd81,c6ade1c2-7f76-4d91-b418-8b53a64f55a8,7d8aa391-43e8-4e39-89eb-bcc9d0d282c0,285e35cc-290a-40b0-bf04-7baec313ebb0,2cd329b9-a791-4429-8290-3865105bb0c7",rag_v2,rag,7,28359.41,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về thời hạn nộp đơn xin miễn học phần ngoại ngữ cơ bản. Trợ lý đã trả lời đúng dựa trên phạm vi ngữ cảnh.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn trong khi câu trả lời tham chiếu đã nêu rõ thời hạn là muộn nhất 2 tuần trước khi bắt đầu học kỳ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_004,"Trong hai học kỳ đầu, ai xếp lớp ngoại ngữ cơ bản cho sinh viên?",simple,easy,Ban Đào tạo xếp lớp dựa trên kết quả phân loại đầu vào.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Trong hai học kỳ đầu, Ban Đào tạo là đơn vị chịu trách nhiệm xếp lớp học các học phần ngoại ngữ cơ bản cho sinh viên dựa trên kết quả phân loại trình độ ngoại ngữ đầu vào.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,14a66cde-ac07-4fcd-b310-76acfd120627,31da4b25-270a-49f6-a2a2-a610f558e7c0,87879cb9-d1f4-4f25-8374-48c610d9e60b,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,29f052b7-36c2-45c4-8400-46c2737d02a9,317f09ff-1255-4b5d-a903-61da23e2a92f",rag_v2,rag,7,20280.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 4, khoản 1 của ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Từ học kỳ nào sinh viên tự đăng ký học phần ngoại ngữ cơ bản?,simple,easy,Từ học kỳ 3 trở đi.,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo các tài liệu quy định cho khóa K70, lộ trình tự đăng ký học phần ngoại ngữ cơ bản được quy định như sau:

*   **Đối với các chương trình áp dụng quy định chung:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản cùng với các học phần khác trong chương trình đào tạo từ **học kỳ 3** trở đi.
*   **Đối với chương trình Cơ điện tử (Hợp tác với ĐH Nagaoka, Nhật Bản):** Sinh viên tự đăng ký học song hành học phần Tiếng Nhật III từ **học kỳ 3**.
*   **Đối với chương trình Hệ thống nhúng thông minh và IoT:** Sinh viên tự đăng ký học song hành các học phần ngoại ngữ cơ bản tại kỳ tương ứng (theo quy định tại Bảng 7.2) nếu chưa học hoặc chưa được miễn.

Việc đăng ký học song hành này là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.","9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,87879cb9-d1f4-4f25-8374-48c610d9e60b,28a3ac1a-2355-480a-9dd4-a4f2170283c9,317f09ff-1255-4b5d-a903-61da23e2a92f,14a66cde-ac07-4fcd-b310-76acfd120627,740e7a27-9086-41fa-bfe0-d5a156af0e5f,e04cb1d9-26ff-40a7-98ee-e7b02ae72f7e",rag_v2,rag,7,13097.38,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp, phân loại rõ ràng theo các chương trình đào tạo khác nhau.",correct,"Câu trả lời đã nêu rõ thông tin chính là từ học kỳ 3 trở đi, đồng thời cung cấp thêm các chi tiết cụ thể cho từng chương trình đào tạo mà không làm sai lệch thông tin gốc.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Sinh viên có được hủy học phần NNCB đã đăng ký không?,simple,easy,"Không, trừ khi rút toàn bộ đăng ký học tập.",9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,"Theo quy định của Đại học Bách khoa Hà Nội, sinh viên **không được phép hủy** các học phần Ngoại ngữ cơ bản (NNCB) đã đăng ký.

Việc đăng ký học song hành các học phần NNCB (kể từ kỳ 3 trở đi) là điều kiện bắt buộc để sinh viên được đăng ký học tập các học phần khác trong chương trình đào tạo.

Nếu bạn cần thêm thông tin chi tiết hoặc hỗ trợ về các trường hợp đặc biệt, vui lòng liên hệ trực tiếp với Phòng Đào tạo để được giải đáp chính thức.","ff4fa62d-7f66-4c03-be95-0500ac5d489f,d4407f7a-078f-4476-bc9c-1e2efbdd1491,1c439f64-e234-44b2-9d7c-b416ba23fd81,9390fe56-1d81-4068-99a4-fd86e0fccbfc,7eb93900-883a-4e4f-9a10-4f4053e3d6e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8,3fa5596c-4f7a-4f02-97d0-ed9c49dced0c,4411b054-65b0-47b2-ba27-763dc57155e2,3bdfc505-a39b-49ec-b252-230769593079,03b524cd-cae3-43da-89ca-179ddb2dac13",agent,complex,10,18594.92,True,good,grounded,complete,"Câu trả lời chính xác dựa trên Điều 4, khoản 4 của văn bản quy định về lộ trình học tập các học phần NNCB, trong đó nêu rõ sinh viên không được phép hủy trừ trường hợp xin rút hoặc chủ động rút toàn bộ đăng ký học tập trong học kỳ.",partial,"The generated answer fails to mention the exception that cancellation is possible if the student withdraws from their entire semester registration, which is a key fact in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1667,0.3562
chunks_001_simple_007,Chứng chỉ tiếng Anh xét chuẩn đầu ra cần đủ bao nhiêu kỹ năng?,simple,easy,Phải đánh giá đầy đủ 4 kỹ năng.,930e63ee-8533-412a-95ed-967bac30208c,"Theo các tài liệu quy định về chuẩn đầu ra tiếng Anh, yêu cầu về chứng chỉ được quy định như sau:

*   **Đối với các chương trình tiên tiến (Elitech) có ngoại ngữ chính là tiếng Anh:** Điều kiện xét nhận đồ án/khóa luận tốt nghiệp và xét tốt nghiệp là IELTS 5.5 hoặc chứng chỉ tiếng Anh tương đương **4 kỹ năng**.
*   **Đối với các chương trình đào tạo hợp tác quốc tế có ngoại ngữ chính là tiếng Anh:** Điều kiện xét nhận đồ án/khóa luận tốt nghiệp và xét tốt nghiệp là IELTS 5.5 hoặc chứng chỉ tiếng Anh tương đương **4 kỹ năng**.

Đối với chương trình đào tạo chuẩn và chương trình đào tạo Tài năng, tài liệu không đề cập cụ thể yêu cầu về số lượng kỹ năng đối với chứng chỉ tiếng Anh xét chuẩn đầu ra.","7b653b5b-d25b-41e4-8849-c24b2fcdc63e,a53edad8-7533-49d8-ba03-b33725bde4dc,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e,880b1a8b-047e-4b22-bebf-5d3232d90283",rag_v2,rag,5,12535.41,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ ngữ cảnh được cung cấp, làm rõ yêu cầu về chứng chỉ 4 kỹ năng đối với các chương trình Elitech và hợp tác quốc tế, đồng thời xác nhận thông tin không được đề cập trong các phần còn lại của ngữ cảnh.",correct,"Câu trả lời đã nêu rõ yêu cầu về 4 kỹ năng đối với các chương trình được đề cập, phù hợp với thông tin cốt lõi của câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_008,Chứng chỉ tiếng Anh xét chuẩn đầu ra được cấp trong bao lâu?,simple,easy,Trong vòng 2 năm.,930e63ee-8533-412a-95ed-967bac30208c,"Theo quy định tại Điều 5 của tài liệu về chuẩn ngoại ngữ đầu ra, chứng chỉ tiếng Anh xét chuẩn đầu ra phải đáp ứng các yêu cầu sau:

*   Được cấp trong vòng 2 năm tính đến thời điểm xét chuẩn ngoại ngữ đầu ra.
*   Còn hiệu lực tại thời điểm xét.
*   Phải đánh giá đầy đủ 4 kỹ năng: nghe, nói, đọc, viết.","930e63ee-8533-412a-95ed-967bac30208c,fb559e62-7fd5-415c-860a-ca19d9c5a5fd,880b1a8b-047e-4b22-bebf-5d3232d90283",rag_v2,rag,3,18902.23,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 5 của tài liệu.",correct,"Câu trả lời đã bao gồm thông tin chính là chứng chỉ có thời hạn 2 năm, đồng thời cung cấp thêm các chi tiết bổ sung chính xác và không mâu thuẫn với câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_009,Sinh viên không đủ điều kiện phân loại đầu vào sẽ học thế nào?,simple,easy,Được xếp từ học phần đầu tiên của khối NNCB.,7f4e79f9-1f86-45fa-ae34-9e4c03934a44,"Chào bạn, về vấn đề phân loại trình độ ngoại ngữ đầu vào, quy định của Đại học Bách khoa Hà Nội như sau:

*   **Đối với sinh viên không đáp ứng điều kiện phân loại:** Nếu bạn không thuộc diện được xét miễn học các học phần ngoại ngữ dựa trên kết quả kiểm tra đầu khóa, chứng chỉ quốc tế hoặc điểm thi tốt nghiệp THPT, bạn sẽ phải **học toàn bộ chương trình ngoại ngữ** theo quy định của chương trình đào tạo.
*   **Về việc xếp lớp:** Căn cứ vào kết quả phân loại (hoặc việc không đáp ứng điều kiện phân loại), sinh viên sẽ được xếp vào các lớp học ngoại ngữ tương ứng với trình độ để đảm bảo lộ trình học tập.

Để biết chính xác lộ trình học tập cá nhân hoặc các thủ tục liên quan, bạn có thể liên hệ trực tiếp với **Phòng Đào tạo** hoặc **Viện Ngoại ngữ** để được hướng dẫn chi tiết.","c1a7b1f0-4e0d-454f-bf64-873bde6da1ee,6de37c76-ea95-4b6d-a2ee-18a632f1391c,33c2924f-186a-44a1-a0d8-b06183684405,d59d8e0c-d956-4f0e-bd34-30f9475acfc7,2ddfbd79-283d-4ee0-b484-dec733c36868,b5e56233-0562-4f16-b606-807e4f5cf8e0,31da4b25-270a-49f6-a2a2-a610f558e7c0,35ffa9a7-83be-4092-b468-31448a5a7819,63238a1f-b201-429a-ad20-002a67a82ff3,14da736c-a6df-404b-bbfc-83ee554e3c72,94468416-ab83-4153-b5aa-6b10f77cfab7",agent,complex,11,16809.14,True,good,grounded,complete,"Câu trả lời phản ánh chính xác thông tin từ ngữ cảnh (Điều 2, khoản 4 của các văn bản quy định) về việc sinh viên không đáp ứng điều kiện phân loại sẽ phải học toàn bộ chương trình ngoại ngữ theo quy định.",partial,The generated answer provides general information about language requirements but fails to specify the key fact that students are placed into the first module of the NNCB (Basic Language) block as stated in the reference answer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_010,Các học phần NNCB có tính vào tín chỉ chính khóa không?,simple,easy,Không tính tín chỉ trong CTĐT chính khóa.,2180d883-8170-47b1-90dd-93486eb258d4,"Theo quy định, các học phần ngoại ngữ cơ bản (NNCB) được xếp vào khối kiến thức ngoại ngữ bổ trợ tăng cường và **không tính tín chỉ** trong chương trình đào tạo chính khóa.","2180d883-8170-47b1-90dd-93486eb258d4,f59645a8-a831-4db5-867c-0f63ca0121e5,9ac21eae-68a5-4a5e-9f98-5bc5d65798c8",rag_v2,rag,3,25483.74,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 3, khoản 1 của ngữ cảnh được cung cấp.",correct,Câu trả lời đã truyền tải chính xác thông tin là các học phần NNCB không được tính vào tín chỉ của chương trình đào tạo chính khóa.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
