id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
4__QD_thi_Olympic_va_DMST_2023_simple_001,Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Đại học Bách khoa Hà Nội do ai ký?,simple,easy,Do PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc Đại học Bách khoa Hà Nội ký.,be759c89-beb4-4d2f-9512-aafa86c90d01,"Quyết định ban hành Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp do PGS.TS. Nguyễn Phong Điền – Phó Giám đốc Đại học Bách khoa Hà Nội ký (với tư cách là người ký thay Giám đốc).","be759c89-beb4-4d2f-9512-aafa86c90d01,318c83f1-4089-499c-92b5-9bf138e4b8e7,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,7,6666.2,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh (Người ký: PGS.TS. Nguyễn Phong Điền – KT. Giám đốc / Phó Giám đốc).,correct,"Câu trả lời đã nêu đúng người ký và chức danh, đảm bảo đầy đủ thông tin như đáp án tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_002,Quyết định về công tác tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội được áp dụng từ năm học nào?,simple,easy,Được áp dụng từ năm học 2023-2024.,b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,"Quyết định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp được áp dụng từ năm học 2023-2024.","b7b3c4b9-0cda-42ce-8356-7b5701a3d9b7,318c83f1-4089-499c-92b5-9bf138e4b8e7,4fa7d6ae-492e-44bc-88c2-2b769e971395,e8b76bfb-5b0f-445f-bd1f-22735b850b47,be759c89-beb4-4d2f-9512-aafa86c90d01,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,17921f98-af8e-4a8b-9bd2-68ba50c1ba09",rag_v2,rag,7,4528.98,True,good,grounded,complete,Câu trả lời chính xác và dựa hoàn toàn vào thông tin tại Điều 2 của văn bản được cung cấp trong ngữ cảnh.,correct,Câu trả lời đã nêu chính xác năm học áp dụng và diễn giải rõ ràng hơn về nội dung của quyết định.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_003,Quy định về tổ chức đội tuyển thi Olympic và ĐMST tại Bách khoa Hà Nội bao gồm những nội dung chính nào?,simple,easy,"Bao gồm: mục đích, nhiệm vụ và quy trình thực hiện của các đơn vị liên quan; trách nhiệm và quyền lợi của cá nhân tham gia; và phương thức hỗ trợ của Đại học.",0c6f18da-4bb1-499a-8af2-a3d643cd7203,"Quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về Đổi mới, sáng tạo (ĐMST) và khởi nghiệp tại Đại học Bách khoa Hà Nội bao gồm các nội dung chính sau:

*   **Quy trình tuyển chọn và tổ chức đội tuyển:**
    *   Các đơn vị chuyên môn (Trường, Viện, Khoa) lập kế hoạch (phương án tuyển chọn, kế hoạch ôn luyện, kế hoạch tham dự, dự toán kinh phí) trình Giám đốc Đại học phê duyệt.
    *   Đơn vị chuyên môn chủ trì tuyển chọn đội tuyển và phân công giảng viên có trình độ cao bồi dưỡng kiến thức theo đề cương phù hợp.
    *   Đơn vị chuyên môn tổ chức đưa đội tuyển tham dự kỳ thi, thực hiện đúng quy định của ban tổ chức và báo cáo kết quả sau khi kết thúc kỳ thi.
*   **Trách nhiệm và quyền lợi của cá nhân tham gia:**
    *   **Thành viên đội tuyển:** Phải tham dự đầy đủ khóa bồi dưỡng với thái độ tích cực; được hỗ trợ toàn bộ chi phí học tập và tham dự thi; được khen thưởng nếu đạt giải. Sinh viên đạt giải được miễn thi, công nhận điểm học phần hoặc cộng điểm thưởng theo quy định.
    *   **Giảng viên/Cán bộ:** Được ghi nhận thành tích khi bình xét thi đua khen thưởng nếu có sinh viên đạt giải cao.
*   **Trách nhiệm của Phòng/Ban chức năng Công tác sinh viên:**
    *   Tham mưu cho Giám đốc Đại học về công tác tổ chức đội tuyển.
    *   Chủ trì phối hợp tổ chức tuyển chọn đội tuyển cho các kỳ thi về ĐMST và khởi nghiệp.
    *   Tư vấn, hướng dẫn các đơn vị chuyên môn tổ chức đoàn thi Olympic.
    *   Đề xuất khen thưởng và tổ chức lễ khen thưởng cho cán bộ, sinh viên đạt thành tích.
    *   Kiểm tra, giám sát các hoạt động liên quan đến công tác tuyển chọn và tổ chức đội tuyển.

Bạn có thể xem chi tiết văn bản quy định [tại đây](https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/EU7K3Ly3sh9Bj3ifsXAtf7QBsltPAyU5PLtY-MDZCprifg?e=0rwnz7).","e8b76bfb-5b0f-445f-bd1f-22735b850b47,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,318c83f1-4089-499c-92b5-9bf138e4b8e7,be759c89-beb4-4d2f-9512-aafa86c90d01,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c,cabe3ce2-a2a1-40d0-a498-dfe199575f8e,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,8415.05,False,good,hallucinated,complete,"Câu trả lời chứa thông tin không có trong ngữ cảnh được cung cấp (cụ thể là các nhiệm vụ chi tiết của Phòng Công tác sinh viên như: chủ trì phối hợp tổ chức thi ĐMST, tư vấn hướng dẫn, đề xuất khen thưởng, kiểm tra giám sát). Các thông tin này không xuất hiện trong các đoạn văn bản đã trích dẫn.",correct,"Câu trả lời đã bao quát đầy đủ các nội dung chính được nêu trong câu trả lời tham chiếu (quy trình, trách nhiệm, quyền lợi) và cung cấp thêm thông tin chi tiết cụ thể hơn.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4__QD_thi_Olympic_va_DMST_2023_simple_004,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần đáp ứng điều kiện gì?,simple,easy,Phải là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,Thành viên đội tuyển tham dự kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội cần đáp ứng điều kiện là sinh viên hoặc học viên đang học tập tại Đại học Bách khoa Hà Nội.,"c90982d1-0a6a-4e9e-a398-e7779bf53aff,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b,2a57e754-46bd-4fce-bad6-167d2450522e",rag_v2,rag,7,4705.33,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2, khoản 1 của ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_005,Đội tuyển tham dự kỳ thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội yêu cầu tối thiểu bao nhiêu phần trăm thành viên là sinh viên Bách khoa?,simple,easy,Tối thiểu 50% thành viên trong mỗi đội tuyển phải là sinh viên Đại học Bách khoa Hà Nội.,c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp yêu cầu số lượng thành viên là sinh viên ĐHBK Hà Nội tối thiểu là 50%.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,447c46fa-d9bc-450f-bfee-845a73025fe9,0c6f18da-4bb1-499a-8af2-a3d643cd7203,2a57e754-46bd-4fce-bad6-167d2450522e,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,9539.53,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong Điều 2, khoản 2 của ngữ cảnh.",correct,Câu trả lời đã truyền tải chính xác thông tin về tỷ lệ tối thiểu 50% thành viên là sinh viên Bách khoa Hà Nội theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_006,Thành viên đội tuyển thi Đổi mới sáng tạo và khởi nghiệp tại Bách khoa Hà Nội có thể đến từ những đơn vị nào?,simple,easy,"Có thể là sinh viên đang học tại Đại học Bách khoa Hà Nội hoặc các cơ sở giáo dục đại học khác, miễn là tối thiểu 50% là sinh viên Bách khoa.",c90982d1-0a6a-4e9e-a398-e7779bf53aff,"Theo quy định, thành viên đội tuyển tham dự kỳ thi về đổi mới, sáng tạo và khởi nghiệp có thể đến từ các đơn vị sau:

*   Sinh viên đang học tập tại Đại học Bách khoa Hà Nội.
*   Sinh viên đang học tập tại các cơ sở giáo dục đại học khác.

Lưu ý: Số lượng thành viên trong mỗi đội tuyển phải đảm bảo tối thiểu 50% là sinh viên của Đại học Bách khoa Hà Nội.","c90982d1-0a6a-4e9e-a398-e7779bf53aff,8e1fdef8-31cb-4bc5-93ea-79b96006f341,8506be76-c97f-493a-93aa-77a5abd758ce,2a57e754-46bd-4fce-bad6-167d2450522e,447c46fa-d9bc-450f-bfee-845a73025fe9,7e841156-f5f6-491b-b469-916185d70776,0c6f18da-4bb1-499a-8af2-a3d643cd7203",rag_v2,rag,7,5473.44,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào Điều 2, khoản 2 của ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin quan trọng từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_007,Mục đích của việc tổ chức đội tuyển tham dự kỳ thi Olympic và ĐMST tại Bách khoa Hà Nội là gì?,simple,easy,"Khuyến khích sự sáng tạo, tích cực trong giảng dạy, học tập và nghiên cứu khoa học; tạo nguồn bồi dưỡng nhân tài; thúc đẩy tinh thần ĐMST và khởi nghiệp trong sinh viên; tạo tâm thế chủ động tìm kiếm việc làm sau tốt nghiệp; góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.",231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,"Mục đích của việc tổ chức đội tuyển tham dự các kỳ thi Olympic môn học và kỳ thi về đổi mới, sáng tạo và khởi nghiệp tại Đại học Bách khoa Hà Nội bao gồm:

*   Khuyến khích sự sáng tạo, tích cực trong hoạt động giảng dạy, học tập và nghiên cứu khoa học.
*   Tạo nguồn bồi dưỡng, đào tạo nhân tài.
*   Thúc đẩy tinh thần đổi mới sáng tạo và khởi nghiệp trong sinh viên.
*   Tạo tâm thế chủ động tìm kiếm, tự tạo việc làm của sinh viên sau khi tốt nghiệp.
*   Góp phần xây dựng thương hiệu và nâng cao vị thế của Đại học Bách khoa Hà Nội.","231f382f-c9ba-4ac5-a7e6-5f3a0a494cb2,0c6f18da-4bb1-499a-8af2-a3d643cd7203,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,e8b76bfb-5b0f-445f-bd1f-22735b850b47,c90982d1-0a6a-4e9e-a398-e7779bf53aff,be759c89-beb4-4d2f-9512-aafa86c90d01,5fdad7ac-7516-4844-bd51-ab35f6657e3b",rag_v2,rag,7,7884.78,True,good,grounded,complete,Câu trả lời đã trích dẫn đầy đủ và chính xác các mục đích được nêu tại Điều 3 trong ngữ cảnh cung cấp.,correct,Câu trả lời được tạo ra đã truyền tải đầy đủ và chính xác các ý chính từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_008,Đơn vị nào có trách nhiệm lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội?,simple,easy,"Các Trường, Viện hoặc Khoa (đơn vị chuyên môn) phụ trách môn học lập kế hoạch và trình Giám đốc (qua Phòng/Ban Công tác sinh viên) phê duyệt.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định về công tác tổ chức đội tuyển tham dự các kỳ thi Olympic môn học tại Đại học Bách khoa Hà Nội, đơn vị có trách nhiệm lập kế hoạch tổ chức đoàn tham dự là **đơn vị chuyên môn** (các Trường, Viện hoặc Khoa phụ trách môn học).

Cụ thể, trách nhiệm của đơn vị chuyên môn bao gồm:
*   Lập kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học và trình Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) phê duyệt.
*   Bản kế hoạch cần bao gồm: Phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (đề xuất Trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ.","/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,/www.facebook.com/dhbkhanoi/posts/%C4%91%E1%BA%A1i-h%E1%BB%8Dc-b%C3%A1ch-khoa-h%C3%A0-n%E1%BB%99i-gi%C3%A0nh-9-gi%E1%BA%A3i-th%C6%B0%E1%BB%9Fng-t%E1%BA%A1i-olympic-to%C3%A1n-h%E1%BB%8Dc-hs-sv-to%C3%A0n-qu%E1%BB%91/1024937086426808,/sep.hust.edu.vn/sinh-vien/olympic-vat-ly-sinh-vien,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,8506be76-c97f-493a-93aa-77a5abd758ce,5fdad7ac-7516-4844-bd51-ab35f6657e3b,318c83f1-4089-499c-92b5-9bf138e4b8e7,447c46fa-d9bc-450f-bfee-845a73025fe9,be759c89-beb4-4d2f-9512-aafa86c90d01",rag_v2,rag,10,9602.36,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 4, Chương II của tài liệu quy định).",correct,Câu trả lời đã nêu đầy đủ và chính xác thông tin về đơn vị chịu trách nhiệm lập kế hoạch theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_009,Bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học tại Bách khoa Hà Nội cần bao gồm những nội dung gì?,simple,easy,"Gồm: phương án tuyển chọn đội tuyển; kế hoạch tổ chức ôn luyện; kế hoạch tổ chức đoàn tham dự (trưởng đoàn, thành viên, thời gian, phương tiện, nơi lưu trú) kèm dự toán chi phí và đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí.",e8b76bfb-5b0f-445f-bd1f-22735b850b47,"Theo quy định tại Điều 4, bản kế hoạch tổ chức đoàn tham dự kỳ thi Olympic môn học cần bao gồm các nội dung sau:

*   Phương án tuyển chọn đội tuyển.
*   Kế hoạch tổ chức ôn luyện cho đội tuyển.
*   Kế hoạch tổ chức đoàn tham dự kỳ thi, bao gồm:
    *   Đề xuất Trưởng đoàn và các thành viên của đoàn.
    *   Thời gian thực hiện.
    *   Phương tiện di chuyển và nơi lưu trú.
*   Dự toán chi tiết về chi phí tham dự kỳ thi.
*   Đề xuất hỗ trợ của Đại học về cơ sở vật chất và kinh phí triển khai.","/fami.hust.edu.vn/wp-content/uploads/THONG-BAO-OLYMPIC-2025.pdf,/users.soict.hust.edu.vn/linhdt/drl/STSV.pdf,/sep.hust.edu.vn/tin-tuc/thong-bao/thong-bao-so-1-ve-cuoc-thi-olympic-vat-ly-sinh-vien-toan-quoc-lan-thu-24-nam-2022.html,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776,447c46fa-d9bc-450f-bfee-845a73025fe9,5fdad7ac-7516-4844-bd51-ab35f6657e3b,8506be76-c97f-493a-93aa-77a5abd758ce,c90982d1-0a6a-4e9e-a398-e7779bf53aff,cc597d5b-9fa8-4e29-bca2-d2ab70c7080c",rag_v2,rag,10,9206.31,True,good,grounded,complete,Câu trả lời đã trích xuất đầy đủ và chính xác các nội dung cần có trong bản kế hoạch theo Điều 4 của ngữ cảnh được cung cấp.,correct,Câu trả lời được tạo ra đã bao quát đầy đủ các nội dung chính có trong câu trả lời tham chiếu một cách chi tiết và rõ ràng.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
4__QD_thi_Olympic_va_DMST_2023_simple_010,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải làm gì?",simple,easy,Trưởng đoàn phải báo cáo Giám đốc Đại học (qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,"Khi có sự thay đổi về kế hoạch triển khai trong quá trình tham dự kỳ thi Olympic, Trưởng đoàn phải báo cáo Giám đốc Đại học (thông qua Phòng/Ban chức năng Công tác sinh viên) để quyết định điều chỉnh kế hoạch.","/soict.hust.edu.vn/thong-tin-ve-cuoc-thi-olympic-tin-hoc-cap-truong-2023.html,/soict.hust.edu.vn/bo-phan/trung-tam-may-tinh-va-thuc-hanh,71c18d8e-8d4f-4b09-996f-2d6bf25b20ee,2a57e754-46bd-4fce-bad6-167d2450522e,e8b76bfb-5b0f-445f-bd1f-22735b850b47,7e841156-f5f6-491b-b469-916185d70776",rag_v2,rag,6,7041.03,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 4, khoản 4).",correct,"Câu trả lời được tạo ra truyền tải chính xác và đầy đủ thông tin như câu trả lời tham chiếu, chỉ thay đổi từ nối 'qua' thành 'thông qua' nhưng không làm thay đổi ý nghĩa.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
