id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_001,Quyết định 5777/QĐ-ĐHBK về quản lý sinh viên nước ngoài tại Đại học Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 18 tháng 7 năm 2023.,56b2f15f-466c-40f3-9ec2-b29c81b15872,"Theo tài liệu tham khảo, Quyết định 5777/QĐ-ĐHBK được ban hành vào ngày **18 tháng 7 năm 2023**.","56b2f15f-466c-40f3-9ec2-b29c81b15872,ea86d08d-0051-4f6f-a93e-3a2983ccc1c8,54942498-f09a-442e-b3a6-bbd5d9828312",rag_v2,rag,3,12591.3,True,good,grounded,complete,"Câu trả lời chính xác, thông tin được trích xuất trực tiếp từ ngữ cảnh được cung cấp.",correct,"Câu trả lời đã cung cấp chính xác ngày, tháng, năm ban hành quyết định theo đúng thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_002,Lưu học sinh Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại Đại học Bách khoa Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.",07c0b91d-2e67-46fa-89d7-313c05fd4a6d,"Theo **Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội** ([xem chi tiết](https://drive.google.com/file/d/1kbAR6K4iKNMyOp0LKF9d7sOEI8FqF3im/view?usp=sharing)), Lưu học sinh Hiệp định được định nghĩa như sau:

- **Lưu học sinh Hiệp định:** Là sinh viên nước ngoài được tiếp nhận học tập dài hạn tại ĐHBK Hà Nội theo các Hiệp định, thỏa thuận của Chính phủ Việt Nam với các đối tác nước ngoài.","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1,44f35944-3bf7-4ddb-84fc-e1570e33919f",rag_v2,rag,6,21929.88,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra đã truyền tải chính xác và đầy đủ thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_003,Lưu học sinh ngoài Hiệp định tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) theo thỏa thuận, hợp đồng đào tạo ký kết giữa Đại học Bách khoa Hà Nội với cá nhân sinh viên hoặc các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, **Lưu học sinh ngoài Hiệp định** là sinh viên nước ngoài được tiếp nhận học tập dài hạn hoặc học tích lũy tín chỉ (từ 1 học kỳ trở lên) tại ĐHBK Hà Nội theo thỏa thuận, hợp đồng đào tạo ký kết giữa ĐHBK Hà Nội với:

- Cá nhân sinh viên; hoặc
- Các tổ chức, cá nhân gửi đào tạo, tài trợ học bổng cho sinh viên.","8fbc8520-f66a-4849-a64e-b3e5086459f2,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,6763c7e6-e904-4a63-b6cd-6d8501577078",rag_v2,rag,5,15814.05,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"The generated answer conveys the exact same information as the reference answer, only formatted with bullet points for better readability.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_004,Lưu học sinh trao đổi tại Đại học Bách khoa Hà Nội là những đối tượng nào?,simple,easy,"Là người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của Đại học Bách khoa Hà Nội hoặc các đơn vị thuộc/trực thuộc.",8fbc8520-f66a-4849-a64e-b3e5086459f2,"Theo Quy định quản lý, hỗ trợ sinh viên nước ngoài học tập tại Đại học Bách khoa Hà Nội, Lưu học sinh trao đổi là:

- Người học nước ngoài đến thực tập, nghiên cứu, trao đổi theo các thỏa thuận, dự án, chương trình hợp tác của ĐHBK Hà Nội hoặc các đơn vị thuộc/trực thuộc ĐHBK Hà Nội.","8fbc8520-f66a-4849-a64e-b3e5086459f2,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,54942498-f09a-442e-b3a6-bbd5d9828312,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,40828341-95ce-4b09-b4aa-6a90ba4643b1",rag_v2,rag,5,16518.29,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_005,Hồ sơ quản lý lưu học sinh học tập dài hạn tại Đại học Bách khoa Hà Nội cần có những giấy tờ gì?,simple,easy,"Gồm: lý lịch tóm tắt có dán ảnh (1 bản); quyết định tiếp nhận của Đại học (1 bản); bản sao hộ chiếu có thị thực nhập cảnh còn thời hạn (1 bản); bản sao bảo hiểm y tế còn hiệu lực; ảnh 4x6cm chụp không quá 6 tháng (4 ảnh); các văn bản, quyết định liên quan (nếu có).",8502405d-fb25-42ca-9d31-770bc2d5e0a4,"Chào bạn, theo quy định của Đại học Bách khoa Hà Nội, hồ sơ quản lý đối với lưu học sinh (LHS) học tập dài hạn (bằng tiếng Việt hoặc tiếng Anh) bao gồm các giấy tờ sau:

*   **Lý lịch tóm tắt:** 01 bản (có dán ảnh, theo mẫu).
*   **Quyết định tiếp nhận:** 01 bản của ĐHBK Hà Nội.
*   **Hộ chiếu:** 01 bản sao có thị thực nhập cảnh Việt Nam còn thời hạn.
*   **Bảo hiểm y tế:** 01 bản sao có giá trị trong thời hạn LHS học tập tại ĐHBK Hà Nội.
*   **Ảnh:** 04 ảnh cỡ 4x6 cm (chụp không quá 6 tháng tính đến ngày nộp hồ sơ).
*   **Các văn bản, quyết định khác:** Các giấy tờ liên quan trực tiếp đến LHS (nếu có) trong quá trình học tập tại trường.

Lưu ý: Lưu học sinh có trách nhiệm tuân thủ pháp luật Việt Nam, đăng ký cư trú và bắt buộc phải có bảo hiểm y tế trong suốt quá trình học tập. Nếu cần hỗ trợ thêm hoặc xác nhận chính thức, bạn vui lòng liên hệ trực tiếp với đơn vị quản lý lưu học sinh của Nhà trường.","c9332def-5384-40cf-acf0-a16a2692257a,1a979efd-fcf1-4220-9273-ace27e538698,7fb3baf7-b7bc-4f70-9995-156c082d2bb1,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,8fbc8520-f66a-4849-a64e-b3e5086459f2,44f35944-3bf7-4ddb-84fc-e1570e33919f,8502405d-fb25-42ca-9d31-770bc2d5e0a4,56b2f15f-466c-40f3-9ec2-b29c81b15872,40828341-95ce-4b09-b4aa-6a90ba4643b1,e7cb5ced-e3c0-4995-86b6-4b381e2844ab",agent,complex,10,7739.76,False,good,hallucinated,incomplete,"Câu trả lời liệt kê danh sách các giấy tờ (lý lịch, quyết định tiếp nhận, hộ chiếu, ảnh...) không hề xuất hiện trong ngữ cảnh được cung cấp. Ngữ cảnh chỉ đề cập đến trách nhiệm của lưu học sinh (bảo hiểm y tế, cư trú, học phí) chứ không liệt kê danh mục hồ sơ quản lý cụ thể.",correct,"Câu trả lời được tạo ra đã bao gồm đầy đủ các thành phần hồ sơ như trong đáp án tham khảo và trình bày rõ ràng, chính xác.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1429,0.3333
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_006,Lưu học sinh tại Đại học Bách khoa Hà Nội có được xét cấp học bổng không?,simple,easy,"Có, lưu học sinh được xét/đăng ký xét cấp các loại học bổng dành cho sinh viên Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Có. Theo quy định tại Điều 3 (Quyền lợi của lưu học sinh), lưu học sinh được **xét/đăng ký xét cấp các loại học bổng dành cho sinh viên Đại học Bách khoa Hà Nội**.","40828341-95ce-4b09-b4aa-6a90ba4643b1,eb93021c-c166-41d3-8ce2-7bab03c2cbef,2e44c6a8-8202-4de7-b6d0-bbbecd3885cc,51697373-bff8-4e3d-b4b7-0445464c1e79,0b8da89f-51d2-48ec-9752-ade4b2dd1456,3ae29a11-42b1-4ad0-aca6-a24f12b9f173,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0",rag_v2,rag,7,27006.71,True,good,grounded,complete,"Câu trả lời trực tiếp trích dẫn thông tin từ Điều 3 trong ngữ cảnh được cung cấp, xác nhận quyền lợi của lưu học sinh về việc xét/đăng ký xét cấp học bổng.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác như đáp án tham khảo và bổ sung thêm căn cứ pháp lý cụ thể.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_007,Lưu học sinh tại Đại học Bách khoa Hà Nội được hỗ trợ các thủ tục gì liên quan đến thị thực nhập cảnh?,simple,easy,"Được hỗ trợ làm các thủ tục cấp, gia hạn, thay đổi thị thực nhập cảnh phù hợp với kế hoạch học tập tại Đại học Bách khoa Hà Nội.",40828341-95ce-4b09-b4aa-6a90ba4643b1,"Chào bạn, dưới đây là thông tin hỗ trợ về thủ tục thị thực (visa) dành cho lưu học sinh tại Đại học Bách khoa Hà Nội:

*   **Các hỗ trợ cụ thể:** Nhà trường hỗ trợ lưu học sinh trong việc thực hiện các thủ tục hành chính liên quan đến **cấp mới, gia hạn hoặc thay đổi thị thực nhập cảnh** để phù hợp với kế hoạch học tập tại trường.
*   **Quy trình thực hiện:**
    *   Lưu học sinh cần chuẩn bị hồ sơ theo mẫu quy định.
    *   Gửi hồ sơ đến **Ban Công tác sinh viên** hoặc **Ban Hợp tác đối ngoại** (tùy theo đối tượng sinh viên) để được hướng dẫn và xử lý theo quy định của pháp luật Việt Nam và của Đại học.
*   **Lưu ý:**
    *   Lưu học sinh có trách nhiệm tuân thủ các quy định về xuất nhập cảnh và cư trú tại Việt Nam.
    *   Lưu học sinh phải chi trả các khoản phí liên quan đến việc cấp, gia hạn hoặc thay đổi thị thực theo quy định hiện hành của Nhà nước Việt Nam.
    *   Trong quá trình học tập, nếu có thay đổi liên quan đến cư trú, lưu học sinh cần thông báo kịp thời cho Nhà trường.

Để được hỗ trợ chi tiết và xác nhận các thủ tục hành chính, bạn nên liên hệ trực tiếp với **Ban Công tác sinh viên** hoặc **Ban Hợp tác đối ngoại** của Đại học Bách khoa Hà Nội.","eb40bd76-ada2-4ebe-b7ad-f250292f08ab,93f5ee18-1d06-478e-b4a4-ec9535f41d86,a041e448-d3b6-4908-a543-a66d861b031d,44f35944-3bf7-4ddb-84fc-e1570e33919f,8502405d-fb25-42ca-9d31-770bc2d5e0a4,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,40828341-95ce-4b09-b4aa-6a90ba4643b1,8fbc8520-f66a-4849-a64e-b3e5086459f2,7b92ab2b-5cc3-4278-8e44-abc1733a4c13,f724ba64-2b4e-4d8f-a8c0-26fd38e480da",agent,complex,10,8159.35,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác dựa trên các thông tin được cung cấp trong ngữ cảnh về việc hỗ trợ thị thực cho lưu học sinh tại Đại học Bách khoa Hà Nội.",correct,"Câu trả lời được tạo ra đã bao hàm đầy đủ thông tin cốt lõi từ câu trả lời tham chiếu và cung cấp thêm các thông tin hữu ích, chính xác về quy trình thực hiện.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1429,1.0,0.1429,0.3333
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_008,Tập thể lưu học sinh cùng một nước tại Đại học Bách khoa Hà Nội có thể chọn ai để làm đầu mối liên hệ với Đại học?,simple,easy,Tập thể lưu học sinh cùng một nước được cử đại diện làm đầu mối liên hệ với Đại học để giải quyết những việc có liên quan đến tập thể lưu học sinh nước mình.,40828341-95ce-4b09-b4aa-6a90ba4643b1,"Tôi không tìm thấy thông tin về việc tập thể lưu học sinh cùng một nước có thể chọn ai làm đầu mối liên hệ với Đại học trong các tài liệu tham khảo hiện có. Các tài liệu chỉ đề cập đến định nghĩa các nhóm lưu học sinh, quy định chung và thủ tục chuyển trường, nhưng không có điều khoản cụ thể về đầu mối liên hệ của tập thể lưu học sinh cùng quốc tịch.","2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,54942498-f09a-442e-b3a6-bbd5d9828312,0c42364f-64a4-499f-b3d5-e045a574f702,c6e404c2-99af-4697-bf94-f2f834ec2282,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,3587ced3-b302-470a-8ff4-4a9c03309165,19e1a4a3-2372-433c-b73c-de35923497c3",rag_v2,rag,7,32192.07,True,good,grounded,complete,Các tài liệu được cung cấp không chứa thông tin về việc chỉ định đầu mối liên hệ cho tập thể lưu học sinh cùng quốc tịch. Trợ lý đã trả lời đúng dựa trên ngữ cảnh và xác định được sự thiếu hụt thông tin.,incorrect,"The generated answer fails to provide the information requested, whereas the reference answer clearly states that the group can appoint a representative.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_009,Lưu học sinh tại Đại học Bách khoa Hà Nội có bắt buộc phải có bảo hiểm y tế không và cần đăng ký khám chữa bệnh ở đâu?,simple,easy,"Có, lưu học sinh bắt buộc phải có bảo hiểm y tế và đăng ký khám, chữa bệnh tại một trong các bệnh viện tại Hà Nội hoặc Trung tâm Y tế của Đại học Bách khoa Hà Nội trong toàn bộ quá trình học tập.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Chào bạn, về vấn đề bảo hiểm y tế (BHYT) đối với lưu học sinh tại Đại học Bách khoa Hà Nội, tôi xin cung cấp thông tin như sau:

1. **Quy định về BHYT:** Lưu học sinh **bắt buộc** phải có bảo hiểm y tế trong toàn bộ quá trình học tập tại Đại học Bách khoa Hà Nội.

2. **Nơi đăng ký khám, chữa bệnh:** Lưu học sinh có thể đăng ký khám, chữa bệnh tại một trong các địa điểm sau:
   - Trung tâm Y tế của Đại học Bách khoa Hà Nội (địa chỉ: số 5 phố Tạ Quang Bửu, Hà Nội).
   - Hoặc các bệnh viện khác tại Hà Nội.

Nếu bạn cần hỗ trợ thêm về các thủ tục hành chính hoặc tư vấn cụ thể hơn, bạn có thể liên hệ với các đơn vị quản lý lưu học sinh của Nhà trường để được hướng dẫn chi tiết.","0e407510-3c1b-4a3c-8008-ef02d280b5a7,5c706c54-e110-4d33-904d-7f49c91d0a39,e2336e32-5532-4a31-9810-8d086c348eeb,496f8813-537b-4893-b751-bdbc59085d37,44f35944-3bf7-4ddb-84fc-e1570e33919f,8502405d-fb25-42ca-9d31-770bc2d5e0a4,4d982f49-7443-47b7-8e38-88037215cd43,40828341-95ce-4b09-b4aa-6a90ba4643b1",agent,complex,8,7459.0,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 4, Chương II về trách nhiệm của lưu học sinh).",correct,The generated answer accurately conveys all the information from the reference answer and provides additional helpful context regarding the location of the medical center.,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.3869,1.0,0.1429,1.0,0.2,0.3869
5__Quy_dinh_QLSV_nuoc_ngoai_2023_simple_010,Lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm gì về việc đóng học phí?,simple,easy,"Phải đóng học phí đầy đủ, đúng hạn theo quy định hiện hành của Đại học Bách khoa Hà Nội đối với lưu học sinh.",44f35944-3bf7-4ddb-84fc-e1570e33919f,"Theo Điều 4 trong tài liệu quy định về trách nhiệm của lưu học sinh, lưu học sinh tại Đại học Bách khoa Hà Nội có trách nhiệm:

- **Đóng học phí đầy đủ, đúng hạn** theo quy định hiện hành của ĐHBK Hà Nội đối với lưu học sinh.","44f35944-3bf7-4ddb-84fc-e1570e33919f,54942498-f09a-442e-b3a6-bbd5d9828312,07c0b91d-2e67-46fa-89d7-313c05fd4a6d,e7cb5ced-e3c0-4995-86b6-4b381e2844ab,5eaa4fca-7a38-4882-9cb3-acc85f8af1eb,2e46bdf5-00a5-42da-a9ad-0ad21ebee6f0,b9cc03bd-2987-48b5-9c32-eacc526db405",rag_v2,rag,7,16013.43,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp trong ngữ cảnh (Điều 4, khoản 8).",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
