id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,"Tùy thuộc vào văn bản quy định cụ thể, đối tượng áp dụng được xác định như sau:

*   **Đối với quy định về chuẩn ngoại ngữ đầu ra (áp dụng cho các khóa K62-K64):** Quy định áp dụng cho sinh viên các chương trình: Đào tạo tài năng (ĐTTN), Kỹ sư chất lượng cao PFIEV (KSCLC), Tiên tiến, Công nghệ thông tin Việt-Nhật và Công nghệ thông tin ICT.
*   **Đối với các quy định về phân loại trình độ ngoại ngữ đầu vào, chương trình môn học và chuẩn ngoại ngữ:** Quy định áp dụng cho sinh viên đại học hệ chính quy (không bao gồm sinh viên ngành Ngôn ngữ Anh và sinh viên là người nước ngoài).
*   **Đối với Quy chế đào tạo chung:** Quy định áp dụng cho sinh viên đại học, học viên chương trình thạc sĩ, kỹ sư (kỹ sư chuyên sâu) và nghiên cứu sinh (NCS) của Đại học Bách khoa Hà Nội.

Để biết chính xác quy định nào áp dụng cho chương trình của bạn, vui lòng cho biết bạn đang theo học khóa nào hoặc chương trình cụ thể nào.","648800ef-6f78-4f14-b25d-0f6e15270055,61401637-bc11-4144-a5cc-727f5936e8fc,f59645a8-a831-4db5-867c-0f63ca0121e5,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,b5e56233-0562-4f16-b606-807e4f5cf8e0,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",rag_v2,rag,7,26631.45,False,good,hallucinated,partial,"Trợ lý đã đưa ra thông tin không có trong ngữ cảnh (ví dụ: việc loại trừ sinh viên ngành Ngôn ngữ Anh, hoặc các quy định áp dụng cho học viên thạc sĩ, NCS). Ngữ cảnh chỉ đề cập đến sinh viên đại học hệ chính quy và các nhóm chương trình cụ thể như ĐTTN, KSCLC, Tiên tiến, v.v. tùy theo từng văn bản quy định.",partial,"The generated answer includes the specific programs mentioned in the reference answer but adds broader context that may or may not be relevant depending on the specific regulation, making it less precise than the reference.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,KSCLC yêu cầu TOEIC bao nhiêu?,simple,easy,600,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,Chương trình KSCLC yêu cầu chuẩn tiếng Anh đầu ra theo điểm thi dạng thức TOEIC với mức TOEIC 600.,"26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,2e9408a7-caf1-48f5-be5c-141ef26e562e",rag_v2,rag,3,14329.31,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp đúng thông tin về mức điểm TOEIC 600 theo yêu cầu của chương trình KSCLC.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,KSCLC yêu cầu chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo tài liệu về chương trình KSCLC (áp dụng cho khóa K62, K63, K64), chuẩn tiếng Pháp đầu ra là **DELF B1** theo kết quả của kỳ thi đánh giá trình độ tiếng Pháp DELF (diplôme d'études en langue française).","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,2e9408a7-caf1-48f5-be5c-141ef26e562e,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,29f052b7-36c2-45c4-8400-46c2737d02a9,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,7,8072.19,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về chuẩn tiếng Pháp đầu ra cho chương trình KSCLC.",correct,Câu trả lời đã nêu chính xác chuẩn tiếng Pháp là DELF B1 và cung cấp thêm thông tin ngữ cảnh hợp lý.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Không đạt chuẩn ngoại ngữ KSCLC có thể làm gì?,simple,easy,Đề nghị cấp bằng chính quy cùng ngành,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Đối với sinh viên chương trình KSCLC, nếu đã tích lũy đủ số tín chỉ của chương trình đào tạo nhưng không đạt chuẩn ngoại ngữ đầu ra (TOEIC 600 và DELF B1), sinh viên có thể đề nghị Hiệu trưởng xem xét việc cấp bằng tốt nghiệp đại học hệ chính quy cùng ngành.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,bf63050b-88ed-45e2-ab7a-7e5f6601168b,29fa02a8-f103-451e-aba2-ccdfd9d6c501",rag_v2,rag,3,20449.52,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định đối với sinh viên chương trình KSCLC không đạt chuẩn ngoại ngữ đầu ra.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham khảo và bổ sung thêm ngữ cảnh cụ thể về điều kiện tích lũy tín chỉ và chuẩn ngoại ngữ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,ĐTTN yêu cầu TOEIC bao nhiêu?,simple,easy,600,40852fba-6e9d-4c21-a405-55e2dea22587,"Yêu cầu về chứng chỉ TOEIC để xét Đồ án tốt nghiệp (ĐTTN) phụ thuộc vào chương trình đào tạo cụ thể của bạn như sau:

*   **Đối với chương trình đào tạo PFIEV và chương trình Công nghệ thông tin Việt - Pháp (Khóa K68, K69):**
    *   Điều kiện xét nhận Đồ án tốt nghiệp cử nhân: TOEIC 500 (hoặc DELF B1).

*   **Đối với chương trình đào tạo chất lượng cao PFIEV (Khóa K65, K66, K67):**
    *   Điều kiện xét nhận đồ án/khóa luận tốt nghiệp: TOEIC 500 (hoặc DELF B1).

*   **Đối với chương trình đào tạo tiên tiến CNTT Việt-Pháp (Khóa K65, K66, K67):**
    *   Điều kiện xét nhận đồ án/khóa luận tốt nghiệp: TOEIC 500 **và** DELF B1.

Vì bạn chưa cung cấp thông tin về ngành hoặc chương trình đào tạo cụ thể, vui lòng cho biết bạn đang theo học chương trình nào để nhận được thông tin chính xác nhất.","f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,bcf80e92-ff6d-4f03-8d93-3309053d4305,08a8bb6e-240d-4b80-b852-a5d8f4fbe231",rag_v2,rag,3,9946.73,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin từ các bảng dữ liệu được cung cấp trong ngữ cảnh cho từng nhóm đối tượng sinh viên khác nhau, đồng thời có lưu ý về sự cần thiết của thông tin chương trình đào tạo cụ thể.",partial,"The generated answer provides specific details for niche programs but fails to mention the standard 600 TOEIC requirement that applies to the majority of students, which is the core information provided in the reference answer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_006,ICT yêu cầu TOEIC bao nhiêu?,simple,easy,650,40852fba-6e9d-4c21-a405-55e2dea22587,"Đối với chương trình Công nghệ thông tin ICT, chuẩn tiếng Anh đầu ra yêu cầu đạt TOEIC 650.","40852fba-6e9d-4c21-a405-55e2dea22587,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7",rag_v2,rag,3,18326.89,True,good,grounded,complete,Câu trả lời chính xác dựa trên thông tin được cung cấp trong ngữ cảnh về chuẩn ngoại ngữ đầu ra của chương trình Công nghệ thông tin ICT.,correct,Câu trả lời đã cung cấp đúng thông tin về yêu cầu TOEIC 650 cho chương trình ICT.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Đối với chương trình Công nghệ thông tin Việt-Nhật, yêu cầu về chuẩn tiếng Nhật được quy định như sau:

*   **Chuẩn đầu ra:** Yêu cầu đạt trình độ tiếng Nhật N3 (căn cứ theo kết quả kỳ thi JLPT hoặc chứng chỉ tương đương).
*   **Điều kiện xét tốt nghiệp:**
    *   Đối với khóa K70: Đạt chứng chỉ tiếng Nhật từ N3 hoặc đạt toàn bộ các học phần tiếng Nhật gồm: {JP1110, JP1120, JP1132, JP2111}.
    *   Đối với các khóa từ K65 trở đi: Ngoài các học phần cơ bản (JP1110 đến JP2111), chương trình còn yêu cầu các học phần tiếng Nhật định hướng kỹ thuật (từ JP2126 đến JP3120).
*   **Điều kiện tích lũy:**
    *   Từ 32 tín chỉ: Yêu cầu đạt các học phần tiếng Nhật ở Mức 1 & Mức 2 (JP1110 và JP1120).
    *   Từ 64 tín chỉ: Yêu cầu đạt chứng chỉ tiếng Nhật N3 hoặc đạt các học phần tiếng Nhật từ Mức 1 đến Mức 4.

Bạn vui lòng cho biết khóa học hiện tại của bạn để nhận được thông tin chi tiết và chính xác nhất về danh mục học phần áp dụng cho khóa đó.","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,554c02b9-5ec3-441a-924c-49bf5e34bfe9,31b3a226-d38b-4c25-a2f4-c5aca7984c14,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38",rag_v2,rag,7,18360.46,False,good,hallucinated,complete,"Trợ lý đã đưa ra các thông tin về mã học phần (JP1110, JP1120, JP1132, JP2111, JP2126, JP3120) và yêu cầu cụ thể cho khóa K70, K65... mà hoàn toàn không có trong ngữ cảnh được cung cấp. Đây là hành vi bịa đặt thông tin.",correct,"The generated answer correctly identifies JLPT N3 as the required standard while providing additional, helpful context regarding specific academic requirements.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,62e638d3-744a-451f-bf9f-ba21910b9635,"Theo các tài liệu đã cung cấp, sinh viên được phép tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường nhiều lần. Kết quả thi sẽ được công nhận dựa trên điểm thi cao nhất trong các lần thi đó.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,42106.17,True,good,grounded,complete,Câu trả lời phản ánh chính xác thông tin từ ngữ cảnh là sinh viên được thi nhiều lần và được công nhận điểm cao nhất.,correct,"Câu trả lời đã truyền tải đúng thông tin chính là sinh viên được thi nhiều lần, đồng thời bổ sung thêm thông tin hữu ích về việc công nhận kết quả.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_009,Điểm thi nội bộ được công nhận như thế nào?,simple,easy,Lấy điểm cao nhất,62e638d3-744a-451f-bf9f-ba21910b9635,"Việc công nhận kết quả các kỳ thi ngoại ngữ nội bộ của Trường Đại học Bách khoa Hà Nội được quy định như sau:

*   **Nguyên tắc công nhận:** Sinh viên được phép tham dự các kỳ thi nhiều lần và nhà trường sẽ công nhận điểm thi cao nhất trong các lần thi đó.
*   **Thời hạn hiệu lực:** Kết quả thi có giá trị trong vòng 02 năm kể từ ngày thi.
*   **Điều kiện tham dự (đối với sinh viên K63, K64):** Sinh viên phải hoàn thành chương trình tiếng Anh cơ bản mới được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ.
*   **Lưu ý về chương trình đào tạo:** Đối với sinh viên thuộc chương trình đào tạo tiên tiến, chương trình đào tạo tài năng và chương trình đào tạo hợp tác quốc tế, việc xét công nhận đạt chuẩn ngoại ngữ đầu ra yêu cầu phải có chứng chỉ ngoại ngữ quốc tế (không sử dụng kết quả thi nội bộ cho mục đích này).","cc76675a-03f2-4ce9-bd63-e3505995581a,62e638d3-744a-451f-bf9f-ba21910b9635,a518a642-cf7f-46f9-bb00-97a3d6f9de7a",rag_v2,rag,3,10282.14,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác và bám sát các thông tin được cung cấp trong ngữ cảnh về quy định công nhận kết quả thi ngoại ngữ nội bộ của trường.",correct,"Câu trả lời được tạo ra đã bao hàm thông tin cốt lõi từ câu trả lời tham chiếu (lấy điểm cao nhất) và cung cấp thêm các thông tin bổ sung chính xác, hữu ích.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_010,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,62e638d3-744a-451f-bf9f-ba21910b9635,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"cd2f5755-2ee3-4964-825e-133cee1d4fed,10a77213-1105-4d32-9fe2-197392ad6ccd,b3da5b88-7cdb-49f3-a44a-ec96880cd880,22ac7873-a3a0-47ac-b591-59009531051a,82921303-6af6-42a8-a257-9978315c71d8,dca512e6-269b-4ad8-be4c-c8d64cb607b2,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6",rag_v2,rag,7,12447.61,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về thời hạn giá trị của kết quả thi nội bộ. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn giá trị của kết quả thi nội bộ như trong câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
